ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0022411	cellular component disassembly	174/4568	462/28891	1.42483886099745e-30	9.09332161088571e-27	5.33339683127044e-27	11848/100504663/245860/18826/11555/22003/75909/18708/93760/226419/54712/232227/106583/14089/268396/216781/22241/68943/21916/11783/66169/65973/20741/13829/76055/93739/66155/329015/105083/230895/50754/50875/14232/194401/16412/83431/52639/380969/15194/105787/108155/17997/13040/232341/12257/16001/227753/17281/59026/80280/57436/11983/74747/22059/225115/13347/12534/13482/67443/15944/269254/68041/75452/12177/99412/20742/104015/56208/108124/67064/320827/276770/67006/67871/54194/13838/16865/27360/18472/13631/12484/67886/78610/216965/74374/67379/74187/81601/75608/66853/69754/68732/69408/228421/225845/271639/77044/20405/56193/56215/211253/73804/74781/11519/116733/80986/212307/208194/67526/72119/209131/109242/260315/16801/114741/72685/12305/80877/225326/245944/269523/66270/319162/54636/14063/30060/77573/12795/53972/22320/68953/20739/75669/237891/21973/19704/18815/19684/11740/66437/16800/12345/235040/67588/246103/12260/100502841/12313/224432/74244/68350/320502/70381/14466/53619/15512/230674/76366/22367/12421/54396/108853/70218/71648/11739/20740/286942/16337/227634/20586/20479/225363/74392/15451	174
GO:0044772	mitotic cell cycle phase transition	162/4568	454/28891	1.50572809919974e-25	4.80477836454638e-22	2.81808901092331e-22	328440/71276/224023/12452/93760/16319/19192/116871/76454/12428/67628/12193/320595/12914/19645/100088/12445/16906/12532/23834/70127/18032/12704/50875/26992/16412/56190/71375/18763/18647/15574/12013/83383/80280/12905/76464/22059/12534/99375/21423/83560/72584/723962/12315/66923/67857/67991/12449/208768/27375/27354/18514/17120/50927/194655/67849/52679/216965/75608/17246/68592/69754/72400/52276/68077/54601/67141/217232/66977/12576/26554/74370/12189/66214/330177/77044/19941/12144/108000/14841/59046/17829/12055/13685/50883/18027/68067/27214/116733/68431/116748/12192/20877/56453/53892/50523/56317/56371/319195/229776/68193/12021/57913/68014/52696/14199/227331/18854/30963/12545/72993/68612/12795/68953/18761/233805/231803/240665/26427/12122/723951/77891/13924/13559/60364/19684/20466/404710/68142/14165/19651/19052/269424/66591/12313/72772/239985/12314/81702/13872/12572/52468/238555/15512/12567/52004/12325/67153/13557/19363/12530/19708/66671/69188/246735/12580/319944/93695/24100/20460/20586/20479	162
GO:0006338	chromatin remodeling	169/4568	489/28891	7.95749957242516e-25	1.69282540904058e-21	9.92872578229609e-22	328440/212391/235441/104248/93760/68729/116871/54343/21849/81898/93762/98999/14775/67628/328572/320595/71175/19645/102635290/20591/21969/16906/170823/16905/16468/70127/13548/18519/252870/53890/76073/26992/15191/108155/110052/244059/238247/225280/12648/226830/218214/14479/22059/21423/67246/66511/54169/66403/72612/66923/15081/73139/76719/233904/66578/20817/218973/51869/75605/214899/23837/50927/72103/52615/30841/55982/52808/81601/214162/16969/193796/17913/50912/101685/13831/116848/13626/234366/208727/67772/12189/93759/12593/77044/235134/15441/22378/22083/12053/14055/71514/68703/69726/12055/20918/208146/110749/330409/53892/77853/17955/114741/107932/170644/94246/23808/56200/15193/381022/18626/63830/319162/329559/22130/19720/319150/15353/14312/54446/21375/225888/11546/18600/17692/18140/70790/260423/18676/74355/13018/80838/229542/29871/56353/194388/244349/20466/68142/64050/70673/217827/53605/50708/15161/239985/18673/22385/224826/22589/14957/71148/230674/71952/17769/30941/99982/14815/101867/19708/66233/84505/666704/71954/15289/226976/80859/22632/20586/56086	169
GO:1901990	regulation of mitotic cell cycle phase transition	126/4568	343/28891	2.08821921483505e-21	3.33175375726932e-18	1.95413355998775e-18	328440/224023/93760/16319/19192/116871/76454/67628/12193/12914/19645/16906/12532/23834/70127/50875/26992/56190/71375/18763/15574/83383/80280/12905/76464/22059/12534/99375/21423/83560/72584/723962/66923/67991/208768/27375/27354/18514/17120/67849/52679/216965/17246/68592/69754/72400/52276/68077/54601/67141/66977/12576/26554/74370/12189/66214/330177/77044/19941/12144/108000/14841/17829/12055/68067/27214/116733/116748/12192/20877/56453/56317/56371/319195/229776/12021/57913/68014/52696/14199/227331/18854/30963/12545/72993/68612/12795/18761/233805/231803/26427/12122/723951/13924/60364/19684/20466/68142/14165/19651/19052/269424/66591/72772/239985/81702/13872/12572/52468/238555/15512/12567/52004/67153/19363/12530/19708/66671/69188/246735/12580/93695/24100/20460/20586/20479	126
GO:0045787	positive regulation of cell cycle	131/4568	365/28891	3.61170419351771e-21	4.60997923260601e-18	2.703835813084e-18	328440/11848/71276/18712/66700/226419/16319/109333/116871/54375/14283/19247/20851/22210/58186/67628/16848/12914/230861/19645/12445/20698/16906/12532/19141/23834/21349/12704/50875/18519/71472/232341/18763/71819/13616/16001/22059/12534/99375/21423/54624/72584/22038/14632/56208/67903/73139/267019/20817/19358/53380/18514/18472/17120/67849/52679/65964/12317/81601/26934/17246/12145/12540/52276/70099/67141/12576/26554/74370/12189/14156/66214/19014/52683/319675/71514/68053/108907/20913/13685/50883/27214/52040/116748/20877/211660/17702/56317/319195/229776/12021/76123/12545/68612/231803/225467/723951/11350/83770/20399/240641/19684/20466/68142/14165/14211/18750/66591/13645/110606/225523/81702/20899/67241/22589/15512/16974/20821/213389/12567/19363/18124/12530/69188/15289/16337/18754/18828/20460/13490/20479	131
GO:0010506	regulation of autophagy	114/4568	300/28891	7.56437972949832e-21	6.7304909642249e-18	3.94755411911523e-18	170822/100504663/20617/17168/56484/224023/11555/225020/68970/22224/216781/252972/22241/98732/18718/68943/230784/22590/22433/74302/328572/75744/319236/329015/230895/50754/235439/170749/14232/11975/50868/233979/52639/15194/105787/54673/17762/232341/97998/12257/17281/18145/22059/14083/15944/223649/12177/99412/71712/56208/20848/19877/67006/56480/68118/78610/74374/81601/75608/69754/56367/29810/74370/93759/271639/60599/56374/52187/15368/110147/100855/106759/14580/229722/67526/226641/209131/75747/54609/76482/277854/225326/19720/54636/320706/15977/12795/13853/75669/226407/12122/19260/18709/73158/11740/67588/14679/20539/74244/70381/77040/66612/20821/20128/230674/73205/12421/54396/216805/17425/64930/71648/11739/15289	114
GO:0034101	erythrocyte homeostasis	78/4568	168/28891	8.38217913245041e-21	6.7304909642249e-18	3.94755411911523e-18	15122/16331/241525/56484/22778/230257/226419/15129/16909/20679/20851/18174/216781/52065/11717/11656/67017/98366/13829/14582/19645/22761/12183/70026/21349/50875/100900/14151/19824/80280/50794/238247/11983/20514/21423/16452/20848/233904/56417/21814/20533/12484/16969/26934/20085/20088/208638/13828/18023/223770/19014/107371/20044/12053/19255/100038882/15368/12192/226844/234549/16658/19746/66154/12010/223690/56199/14381/14751/11740/17189/21833/16923/224792/13819/99982/69188/20586/217864	78
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	151/4568	451/28891	8.43684232431827e-21	6.7304909642249e-18	3.94755411911523e-18	22214/207304/226757/224023/104318/68970/628100/230249/64209/22210/12398/76454/68795/19185/50789/71538/66894/20438/70247/74251/75744/170823/433693/30945/56736/66105/50754/63958/12234/252870/26374/71472/108155/17155/76608/23807/109689/216869/71745/17846/26420/66440/50849/93765/99375/52551/232566/75452/56726/56812/240263/19165/67903/12330/15204/12449/107035/140630/55992/19358/53380/223455/74374/12317/67338/228769/81601/19173/17246/69754/80890/12488/68077/76857/217232/319701/26554/57443/67025/93759/216440/234684/14154/56438/68053/54644/26442/68431/18024/74126/19179/27419/56371/54609/67586/75234/192193/20747/269523/66753/72293/18854/227693/219158/20437/230904/434246/68612/12795/13853/67163/77891/56353/74646/66089/18521/12387/106052/231863/67118/18786/19359/66244/74244/108086/14466/17156/17463/224826/19822/93687/67245/230815/68135/13666/59025/140499/21762/19182/217410/217069/16396/68818/329795/170737/76788/67812/14828/74841/81004/108143	151
GO:0016032	viral process	121/4568	329/28891	1.16024991150862e-20	8.22746103916448e-18	4.82555401792358e-18	12048/107373/109333/23962/21849/58185/384309/13030/216781/252972/98999/20853/328572/12914/217695/78781/319236/70008/18563/66949/98910/233979/57444/19824/227753/83383/17254/12648/12454/18145/55944/228607/22059/67246/12455/22038/246727/67064/56417/20817/12767/19358/16865/27354/78610/75608/52513/229906/12215/94091/22221/16476/19106/13211/100038882/54198/17999/116733/67526/12015/58235/69834/22670/19324/71955/100317/225326/16647/269523/19720/230908/229900/27979/19205/15977/26361/13669/20823/80287/22320/20612/68953/66085/24014/15587/330192/69550/21973/73711/73158/18521/13207/67738/192231/246728/66101/18988/15161/74244/18673/27103/77040/20568/67241/20821/20128/243262/21974/19182/217069/84505/20597/17069/16650/15289/14114/16337/18828/20586/20479/15451	121
GO:0072594	establishment of protein localization to organelle	150/4568	452/28891	2.93176701940488e-20	1.87105371178419e-17	1.09740668642145e-17	12468/238799/100504663/19325/15525/19386/18708/68729/21849/108705/64209/27057/245474/98732/68943/22433/30059/66169/20813/77938/328572/22631/71175/170770/56495/16905/433693/218210/75734/230895/50754/12465/105787/54673/17155/17762/12257/69276/18969/19298/228607/11983/26413/22059/67952/66384/11781/12534/52551/76582/15944/12177/20818/56208/67669/16452/11426/20848/56417/71805/12464/56428/12469/217337/69089/170829/75608/69754/497652/320727/29810/71983/12189/234865/19014/271639/74257/22378/224008/11632/56274/66069/385493/212999/56044/65098/17999/116733/110750/16536/12491/19058/234549/15510/11600/75311/225326/192193/16647/15239/245944/230908/18854/72993/445007/13853/70790/18761/75669/93757/226407/12122/15587/330192/140723/19260/70769/18709/16792/66437/13207/12402/17713/11776/73078/19335/20472/66306/231430/56794/30056/19259/68653/67749/70297/13557/53600/54396/68051/27058/66233/107939/68818/16650/14828/668173/18141/16211/108672/68299	150
