ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0034101	erythrocyte homeostasis	14/354	168/28891	2.27986088956386e-08	8.06158810549781e-05	6.6739927725022e-05	15122/16331/241525/56484/230257/226419/15129/16909/20679/20851/18174/216781/52065/11717	14
GO:0042744	hydrogen peroxide catabolic process	7/354	30/28891	6.24338984460767e-08	8.56403807822532e-05	7.08995888769487e-05	15122/20617/15129/12359/15135/101488143/14775	7
GO:0030218	erythrocyte differentiation	13/354	156/28891	7.26586941025904e-08	8.56403807822532e-05	7.08995888769487e-05	15122/16331/241525/56484/230257/226419/15129/16909/20679/20851/18174/216781/52065	13
GO:0010506	regulation of autophagy	17/354	300/28891	2.14231621708271e-07	0.000189380753590111	0.000156783721044921	170822/100504663/17168/20617/56484/224023/11555/225020/68970/22224/216781/252972/22241/98732/18718/68943/230784	17
GO:0002262	myeloid cell homeostasis	14/354	215/28891	4.8656449283017e-07	0.000310342156419076	0.00025692472523263	15122/16331/241525/56484/230257/226419/15129/16909/20679/20851/18174/216781/52065/11717	14
GO:0042743	hydrogen peroxide metabolic process	8/354	58/28891	5.27809097680827e-07	0.000310342156419076	0.00025692472523263	15122/20617/15129/12359/15135/68943/101488143/14775	8
GO:0030099	myeloid cell differentiation	21/354	480/28891	6.14365128657673e-07	0.000310342156419076	0.00025692472523263	15122/16331/241525/56484/70564/230257/18708/226419/22228/15129/16909/15467/19247/20679/110794/20851/18174/216781/12398/52065/18718	21
GO:0072593	reactive oxygen species metabolic process	14/354	257/28891	4.00782826008503e-06	0.00177146009095758	0.0014665487356969	15122/73389/11848/20617/56484/22228/15129/12359/268396/15135/68943/230784/101488143/14775	14
GO:0022411	cellular component disassembly	19/354	462/28891	5.16892228220205e-06	0.00192135075459265	0.00159063957148195	11848/100504663/245860/18826/11555/22003/75909/18708/93760/226419/54712/232227/106583/14089/268396/216781/22241/68943/21916	19
GO:0046486	glycerolipid metabolic process	17/354	380/28891	5.43368426072581e-06	0.00192135075459265	0.00159063957148195	64898/100504663/16331/103199/13480/74182/18708/14081/84652/67452/12359/74551/19247/23945/13026/18718/14775	17
GO:0031331	positive regulation of cellular catabolic process	16/354	349/28891	7.55665145857371e-06	0.00227291264089822	0.00188168910881696	80912/213541/18458/17168/20617/56484/11555/69125/216781/252972/22241/98732/18718/68943/230784/239528	16
GO:0006513	protein monoubiquitination	7/354	59/28891	7.71350443743739e-06	0.00227291264089822	0.00188168910881696	22187/217342/224023/67615/384309/58186/67898	7
GO:0007059	chromosome segregation	17/354	416/28891	1.75648380577456e-05	0.00477763595170679	0.00395528863470368	11848/54204/80912/18005/74117/224023/16563/104318/93760/16319/51944/110958/218914/22210/211651/58186/93762	17
GO:0061515	myeloid cell development	8/354	98/28891	2.83338117285039e-05	0.00626042875159833	0.00518285673916258	15122/230257/15129/19247/20679/18174/216781/18718	8
GO:0048821	erythrocyte development	6/354	49/28891	2.9089679963055e-05	0.00626042875159833	0.00518285673916258	15122/230257/15129/20679/18174/216781	6
GO:0010508	positive regulation of autophagy	10/354	160/28891	3.00974967748363e-05	0.00626042875159833	0.00518285673916258	17168/56484/11555/216781/252972/22241/98732/18718/68943/230784	10
GO:0016236	macroautophagy	13/354	268/28891	3.0098215151915e-05	0.00626042875159833	0.00518285673916258	100504663/245860/353047/11555/225020/224647/75909/192652/22241/98732/18718/68943/230784	13
GO:0098813	nuclear chromosome segregation	14/354	312/28891	3.53239759058694e-05	0.00693919882239746	0.00574479397627035	11848/54204/18005/74117/224023/16563/93760/16319/51944/110958/218914/22210/211651/93762	14
GO:0048872	homeostasis of number of cells	16/354	401/28891	4.11769141338543e-05	0.00749887361595145	0.00620813512918581	15122/16331/241525/56484/230257/226419/15129/16909/19247/20679/20851/18174/216781/52065/11717/19353	16
GO:0140694	non-membrane-bounded organelle assembly	16/354	402/28891	4.24144435291371e-05	0.00749887361595145	0.00620813512918581	217869/11848/71276/54204/18005/213541/18826/22003/16563/104318/75547/16319/68729/22224/268396/21916	16
GO:0000280	nuclear division	17/354	450/28891	4.70818776808133e-05	0.00792769140377885	0.00656314294888931	328440/22187/11848/54204/18005/74117/224023/16563/16319/223989/51944/110958/218914/22210/211651/68166/93762	17
