ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0048638	regulation of developmental growth	25/435	405/28891	3.43637234837875e-09	1.36011617548831e-05	1.1285770238886e-05	22778/338346/13508/20354/52822/20352/12774/16468/14602/20397/17762/56449/16885/17260/21416/12534/14083/14025/11426/20848/12288/21814/12767/100705/11990	25
GO:0045927	positive regulation of growth	20/435	324/28891	1.29005629434094e-07	0.000255302140650073	0.000211840823070723	22778/338346/13508/20354/52822/55948/14602/17762/56449/16885/17260/12534/14083/14025/11426/67211/21814/12767/100705/30841	20
GO:0048639	positive regulation of developmental growth	16/435	221/28891	2.82250081350616e-07	0.000372381940661912	0.000308989562741727	22778/338346/13508/20354/52822/14602/17762/56449/16885/17260/12534/14025/11426/21814/12767/100705	16
GO:0032970	regulation of actin filament-based process	19/435	402/28891	1.3339032738345e-05	0.0131989728945924	0.0109520479325359	75547/668940/12704/50875/544963/16885/17260/52428/227753/260409/20742/320827/12288/234686/11856/18821/17913/12488/108686	19
GO:0006260	DNA replication	15/435	276/28891	2.18913123532737e-05	0.015302405279051	0.0126974028538175	107373/14245/56452/76901/57753/69237/12534/71711/66403/71567/26429/27354/52679/108686/67141	15
GO:0050767	regulation of neurogenesis	21/435	494/28891	2.31971782906281e-05	0.015302405279051	0.0126974028538175	13508/20354/52822/20352/12774/76901/15213/12704/16412/23966/17762/16885/14083/14025/51791/65254/11426/13838/12767/14375/171469	21
GO:0050770	regulation of axonogenesis	12/435	186/28891	2.75587753573318e-05	0.015582518980617	0.0129298314458459	13508/20354/52822/20352/12774/17762/16885/14083/14025/22439/11426/13838	12
GO:0031345	negative regulation of cell projection organization	13/435	221/28891	3.40039560480509e-05	0.0162338824042272	0.0134703101250469	20354/52822/20352/12774/12704/16412/668253/213027/14083/14025/65254/17152/13838	13
GO:0009314	response to radiation	19/435	433/28891	3.69138306311382e-05	0.0162338824042272	0.0134703101250469	94229/11826/50754/26374/16412/105787/230484/15574/21353/26420/72584/51791/12290/12288/56428/19046/65964/214162/14375	19
GO:0046889	positive regulation of lipid biosynthetic process	9/435	114/28891	5.88678010315762e-05	0.0180955490308947	0.0150150562422253	18519/433256/68801/26420/74205/21416/19017/68041/15558	9
