ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0003712	transcription coregulator activity	169/4534	497/28407	1.66928673813168e-23	2.08326984918834e-20	1.3389436783751e-20	212391/64898/109108/19250/67488/16909/68729/116871/54343/21849/50724/12398/104263/102162/59035/107182/59024/328572/14245/320595/12914/67956/71175/319236/22761/13806/433693/67037/100072/224613/270110/68196/13548/277250/18519/26992/15191/17979/228880/109689/56381/58172/231986/268448/338523/57748/211329/19017/54169/16478/74106/72895/328365/56222/14025/547253/72475/66213/327987/15257/13016/17152/68879/56233/66935/21848/75605/214899/30841/14030/81601/67219/320376/227737/29806/208727/13017/12189/19014/93759/12593/70439/22378/54132/14055/21343/223701/13211/12395/11632/67673/68703/17829/208146/13712/104721/108098/21887/67279/107932/71371/381022/19663/17977/21886/80707/76199/19720/18854/30937/13498/225895/27878/238330/60533/15259/20481/268903/18676/15587/56353/218613/244349/13207/16475/20467/20466/58521/15258/12387/70673/230753/23989/269424/15161/54650/18673/219249/56406/20821/71148/20128/385312/52690/226169/30941/668166/230085/99982/320165/14815/17344/20024/170826/108829/60406/217069/69188/26901/66233/641340/13496/81004/15289/11886/80859/20586/217864/108143	169
GO:0140993	histone modifying activity	87/4534	196/28407	3.94080019117169e-21	2.45905931929114e-18	1.58046828719623e-18	68729/104263/59035/328572/320595/12914/67956/76055/268936/20591/16468/76901/13548/277250/18519/76073/105787/17979/232811/59026/232232/14050/226830/218214/338523/12534/54169/234135/72895/16452/233904/56233/75605/214899/52615/30841/81601/214162/14049/193796/229906/13626/208727/223770/224836/93759/12593/21817/107823/15235/14055/14841/208043/110147/69726/635253/20877/228019/23808/70088/381022/17977/225888/18600/17692/18140/18676/244349/70673/18750/23989/269424/70315/20874/22385/224826/213389/71148/230674/71952/52690/22367/99982/108829/84505/71954/108143	87
GO:0030695	GTPase regulator activity	142/4534	429/28407	8.96827717753564e-19	2.79810247939112e-16	1.79837558139004e-16	217869/102442/17168/66251/68339/75547/19386/232227/74334/94190/16443/98732/76954/230784/19159/105689/79566/98366/67894/100088/67016/209773/74760/108903/20662/347722/109905/69632/69780/98910/140580/66687/544963/109689/58996/71085/329727/232201/213027/51791/99326/19731/54645/109934/234353/192786/67903/328967/238130/230837/232237/15357/11856/237422/268706/71310/101489/223666/26934/74206/16897/14569/108686/217835/75415/71729/218581/380711/74563/231801/26382/67299/19414/16476/78514/66691/24001/100855/544817/78618/214137/76795/50779/243362/14020/320560/107045/16801/18220/277854/70497/56692/29809/50782/211914/76123/269608/14682/223864/114713/66790/67865/78255/227801/53972/68576/226407/218397/105841/277360/19419/320292/110351/16800/404710/70719/66508/68813/102098/13645/19415/224617/16413/216963/56784/241694/219140/263406/73205/70314/211673/216805/74018/381605/67046/72238/74694/101497/69440/14270/54126/73910	142
GO:0060589	nucleoside-triphosphatase regulator activity	142/4534	429/28407	8.96827717753564e-19	2.79810247939112e-16	1.79837558139004e-16	217869/102442/17168/66251/68339/75547/19386/232227/74334/94190/16443/98732/76954/230784/19159/105689/79566/98366/67894/100088/67016/209773/74760/108903/20662/347722/109905/69632/69780/98910/140580/66687/544963/109689/58996/71085/329727/232201/213027/51791/99326/19731/54645/109934/234353/192786/67903/328967/238130/230837/232237/15357/11856/237422/268706/71310/101489/223666/26934/74206/16897/14569/108686/217835/75415/71729/218581/380711/74563/231801/26382/67299/19414/16476/78514/66691/24001/100855/544817/78618/214137/76795/50779/243362/14020/320560/107045/16801/18220/277854/70497/56692/29809/50782/211914/76123/269608/14682/223864/114713/66790/67865/78255/227801/53972/68576/226407/218397/105841/277360/19419/320292/110351/16800/404710/70719/66508/68813/102098/13645/19415/224617/16413/216963/56784/241694/219140/263406/73205/70314/211673/216805/74018/381605/67046/72238/74694/101497/69440/14270/54126/73910	142
GO:0019787	ubiquitin-like protein transferase activity	148/4534	457/28407	1.55682810328057e-18	3.8858429457883e-16	2.49748003094694e-16	320253/217342/242785/67921/22214/207304/54484/19386/68729/21849/67615/81018/67845/217333/384309/216781/22210/71865/58186/80985/208650/68795/65247/50789/105689/66894/59024/71779/66589/20438/319236/56791/68497/66155/69116/30945/56736/76901/73469/66105/66949/50754/63958/217340/12234/211007/76073/26374/76608/23807/19824/59026/224703/75841/69104/50849/381485/93765/99375/328365/66213/15204/55983/105239/140630/55992/207742/21848/223455/71861/67338/17248/17246/12540/80890/67219/208727/26554/12189/72399/19014/94091/56515/240354/56438/17999/22196/76952/108098/74126/77853/22670/67279/56550/29864/672511/94089/66743/12021/75234/78889/19720/209462/18854/218203/217558/329581/50764/68031/20437/238330/230904/434246/68612/18140/22193/70790/77891/109910/66089/12402/106052/67588/67118/23989/68350/74164/108086/84585/65255/224826/19822/20821/671564/67245/20128/70928/140499/17344/217069/109161/67345/226098/16396/170737/668173/213211/74153	148
GO:0016755	aminoacyltransferase activity	151/4534	473/28407	3.04851133261038e-18	6.34090357182958e-16	4.07537830780545e-16	320253/217342/242785/67921/22214/207304/54484/19386/68729/21849/67615/81018/67845/217333/384309/216781/22210/71865/58186/80985/208650/68795/65247/50789/105689/66894/59024/71779/66589/20438/319236/56791/68497/66155/69116/30945/56736/76901/73469/66105/66949/50754/63958/217340/12234/211007/76073/26374/76608/23807/19824/59026/224703/75841/69104/50849/381485/93765/99375/328365/66213/15204/55983/105239/140630/55992/207742/21848/223455/71861/67338/17248/17246/12540/80890/67219/13828/208727/26554/12189/72399/19014/94091/56515/21817/240354/56438/17999/22196/76952/108098/74126/77853/22670/67279/56550/29864/672511/94089/66743/12021/75234/78889/19720/209462/18854/218203/217558/329581/50764/68031/20437/238330/230904/434246/68612/18140/22193/70790/77891/109910/66089/12402/106052/67588/67118/23989/68350/74164/108086/84585/65255/224826/19822/20821/671564/67245/20128/640543/70928/140499/17344/217069/109161/67345/226098/16396/170737/668173/213211/74153	151
GO:0051020	GTPase binding	118/4534	337/28407	6.30869321598009e-18	1.12474987622045e-15	7.22890861740877e-16	12048/170822/65246/238799/100504663/18826/75547/19386/208846/109333/233489/380714/74334/22241/57258/98732/19353/105689/67894/20655/100088/13806/66482/218210/75734/94186/109905/98910/56419/76895/544963/17988/74998/69104/213027/434204/260409/76582/20742/56208/192786/213993/83671/19877/238130/23790/13660/17913/16897/14569/320727/12757/217835/233103/75695/74370/19275/67299/20170/20405/52187/66691/212999/116733/78618/19352/110750/14020/320560/11765/72404/16568/277854/14688/20430/29809/209462/227743/11303/101314/227801/106039/226407/218397/110157/110351/11977/16800/404710/11736/66508/67588/52055/68813/13543/30948/14693/77040/20909/216963/263406/73205/22379/68051/74018/215445/16558/67046/17919/74694/101497/231830/243725/16211/245049/14270/54126/231858	118
GO:0004842	ubiquitin-protein transferase activity	140/4534	431/28407	9.86871151587911e-18	1.53951899647714e-15	9.89468180934195e-16	320253/217342/242785/22214/207304/54484/68729/21849/67615/81018/67845/217333/384309/216781/22210/71865/58186/80985/208650/68795/65247/50789/105689/66894/59024/71779/66589/20438/319236/56791/68497/69116/30945/56736/76901/73469/66105/66949/50754/63958/217340/12234/211007/76073/26374/76608/23807/19824/59026/224703/75841/69104/50849/381485/93765/99375/66213/15204/55983/105239/140630/55992/207742/21848/223455/71861/67338/17248/17246/12540/80890/67219/26554/12189/72399/19014/94091/56515/240354/56438/17999/22196/76952/108098/74126/77853/22670/67279/56550/29864/672511/94089/66743/12021/75234/78889/19720/209462/218203/217558/329581/50764/68031/20437/238330/230904/434246/68612/18140/22193/70790/77891/109910/66089/12402/106052/67588/67118/23989/68350/74164/108086/84585/65255/224826/19822/20821/67245/20128/70928/140499/217069/109161/67345/226098/16396/170737/668173/213211/74153	140
GO:0044389	ubiquitin-like protein ligase binding	122/4534	358/28407	1.98537742028874e-17	2.75305668946705e-15	1.76942408685382e-15	22187/19088/229512/69228/18708/68729/21849/230979/22210/52065/58186/68943/22433/30940/22631/19645/70247/16451/93739/56791/170823/66105/50754/71472/14950/22190/22033/69053/109689/216869/80280/71745/14109/12608/21353/57436/110213/22059/93765/19017/99375/72584/67443/20818/72416/56812/56208/15204/22143/12767/100503670/21938/12317/67338/17246/22154/69754/76857/11758/67501/14763/18400/12576/26554/12189/19275/67025/16476/56438/100038882/54473/67673/50883/56044/51789/18024/56550/15510/22273/18626/15239/20747/269523/72293/11984/18854/21991/21939/226178/19084/68612/20481/13171/12122/19260/17127/14255/14751/16792/11740/18521/12387/22627/18749/68350/65255/67241/17130/213539/230674/55943/140499/17344/110253/217410/12370/16396/213019/14828/56489/19229/319182	122
GO:0061630	ubiquitin protein ligase activity	118/4534	345/28407	4.85820321874954e-17	5.98571408144691e-15	3.8470935644927e-15	217342/207304/54484/68729/21849/81018/67845/217333/384309/216781/71865/58186/80985/208650/68795/65247/105689/66894/59024/71779/20438/319236/68497/69116/30945/56736/76901/73469/66105/66949/50754/63958/217340/12234/211007/76073/26374/23807/19824/59026/224703/75841/69104/50849/381485/99375/66213/15204/55983/105239/140630/55992/207742/21848/223455/71861/67338/17246/12540/80890/67219/26554/72399/19014/94091/56515/56438/17999/76952/108098/74126/77853/22670/67279/56550/29864/672511/94089/66743/75234/78889/19720/209462/218203/217558/329581/50764/68031/20437/238330/230904/434246/18140/70790/66089/12402/106052/67588/67118/23989/68350/74164/108086/84585/65255/224826/19822/20821/67245/20128/70928/217069/67345/226098/16396/170737/668173/213211	118
