ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0003712	transcription coregulator activity	133/3385	497/28407	6.97586756623111e-20	8.40592041730849e-17	5.6981823488372e-17	211329/93759/108829/641340/13496/21886/14055/12189/13207/22378/58172/14025/66213/14030/50724/67279/268448/70439/327987/68729/18673/19014/23989/52690/217864/238330/108143/19720/12593/18676/54169/54650/16475/67488/20024/223701/328572/71175/56233/381022/208146/547253/12914/80859/268903/13548/224613/67673/18519/64898/116871/277250/60533/107182/11632/212391/226169/81601/225895/75605/13211/74106/27878/30941/19250/16909/56406/228880/17979/68879/227737/66935/15257/15191/67037/17829/72475/66233/230753/67219/99982/56381/13806/100072/70673/433693/230085/76199/30841/67956/21343/69188/13016/19017/109108/72895/214899/13498/54343/108098/21848/338523/231986/104263/20821/319236/20128/21849/13017/109689/80707/68196/22761/12398/102162/270110/320165/60406/16478/20467/15587/12387/26901/29806/59035/20586/20466/21887/59024/320595/13712/15161/668166	133
GO:0004842	ubiquitin-protein transferase activity	119/3385	431/28407	4.38810081914832e-19	2.64383074353686e-16	1.79219275561005e-16	71865/17246/67588/209462/67345/12189/217333/217340/217342/672511/66213/211007/94089/66089/22210/216781/94091/67279/78889/67338/68729/19014/23989/217558/207304/68497/238330/19720/105239/50789/105689/223455/30945/75841/56438/67118/208650/22196/224703/22670/19824/224826/56515/56550/56736/320253/240354/50764/76073/226098/69104/12234/76952/74126/17248/26374/26554/65247/80985/70928/16396/68612/81018/66589/329581/68795/22193/71861/56791/66105/381485/66949/80890/67845/29864/76608/75234/67219/12540/68350/69116/63958/242785/668173/140499/74164/67615/50849/72399/384309/108086/19822/58186/71779/108098/22214/21848/54484/65255/20821/319236/20128/434246/21849/77891/15204/66894/99375/20437/77853/74153/84585/23807/213211/140630/17999/59024/59026/20438	119
GO:0061630	ubiquitin protein ligase activity	101/3385	345/28407	2.57267406518999e-18	7.10026100979813e-16	4.81310551963603e-16	71865/17246/67588/209462/67345/217333/217340/217342/672511/66213/211007/94089/66089/216781/94091/67279/78889/67338/68729/19014/23989/217558/207304/68497/238330/19720/105239/105689/223455/30945/75841/56438/67118/208650/224703/22670/19824/224826/56515/56550/56736/50764/76073/226098/69104/12234/76952/74126/26374/26554/65247/80985/70928/16396/81018/329581/68795/71861/66105/381485/66949/80890/67845/29864/75234/67219/12540/68350/69116/63958/668173/74164/50849/72399/384309/108086/19822/58186/71779/108098/21848/54484/65255/20821/319236/20128/434246/21849/15204/66894/99375/20437/77853/84585/23807/213211/140630/17999/59024/59026/20438	101
GO:0016755	aminoacyltransferase activity	125/3385	473/28407	2.73933730121467e-18	7.10026100979813e-16	4.81310551963603e-16	71865/17246/67588/209462/19386/67345/12189/217333/217340/217342/672511/66213/211007/94089/66089/22210/216781/94091/67279/78889/67338/68729/19014/23989/217558/207304/68497/238330/19720/105239/50789/105689/223455/30945/75841/56438/67118/208650/22196/224703/22670/19824/224826/56515/56550/56736/320253/240354/50764/76073/226098/69104/12234/76952/74126/17248/26374/66155/26554/67921/65247/80985/13828/640543/70928/16396/21817/68612/81018/66589/329581/68795/22193/71861/56791/66105/381485/66949/80890/67845/29864/76608/75234/67219/12540/68350/69116/63958/242785/668173/140499/74164/67615/50849/72399/384309/108086/19822/58186/71779/108098/22214/21848/54484/65255/20821/319236/20128/434246/21849/77891/15204/66894/99375/20437/77853/74153/84585/23807/213211/140630/17999/59024/59026/20438	125
GO:0019787	ubiquitin-like protein transferase activity	122/3385	457/28407	2.94616639410711e-18	7.10026100979813e-16	4.81310551963603e-16	71865/17246/67588/209462/19386/67345/12189/217333/217340/217342/672511/66213/211007/94089/66089/22210/216781/94091/67279/78889/67338/68729/19014/23989/217558/207304/68497/238330/19720/105239/50789/105689/223455/30945/75841/56438/67118/208650/22196/224703/22670/19824/224826/56515/56550/56736/320253/240354/50764/76073/226098/69104/12234/76952/74126/17248/26374/66155/26554/67921/65247/80985/70928/16396/68612/81018/66589/329581/68795/22193/71861/56791/66105/381485/66949/80890/67845/29864/76608/75234/67219/12540/68350/69116/63958/242785/668173/140499/74164/67615/50849/72399/384309/108086/19822/58186/71779/108098/22214/21848/54484/65255/20821/319236/20128/434246/21849/77891/15204/66894/99375/20437/77853/74153/84585/23807/213211/140630/17999/59024/59026/20438	122
GO:0061659	ubiquitin-like protein ligase activity	102/3385	362/28407	3.26383181283737e-17	6.55486222411505e-15	4.44339208203824e-15	71865/17246/67588/209462/19386/67345/217333/217340/217342/672511/66213/211007/94089/66089/216781/94091/67279/78889/67338/68729/19014/23989/217558/207304/68497/238330/19720/105239/105689/223455/30945/75841/56438/67118/208650/224703/22670/19824/224826/56515/56550/56736/50764/76073/226098/69104/12234/76952/74126/26374/26554/65247/80985/70928/16396/81018/329581/68795/71861/66105/381485/66949/80890/67845/29864/75234/67219/12540/68350/69116/63958/668173/74164/50849/72399/384309/108086/19822/58186/71779/108098/21848/54484/65255/20821/319236/20128/434246/21849/15204/66894/99375/20437/77853/84585/23807/213211/140630/17999/59024/59026/20438	102
GO:0140993	histone modifying activity	65/3385	196/28407	3.98315138315218e-15	6.85671059528339e-13	4.64800823056555e-13	93759/108829/14055/18750/20877/14841/52615/68729/23989/52690/108143/12593/18676/54169/328572/56233/381022/12914/13548/268936/110147/224826/224836/18519/193796/277250/16452/76073/225888/76055/20874/81601/75605/69726/226830/21817/14049/17979/228019/229906/84505/230674/70088/14050/99982/18600/70673/71954/30841/208043/67956/72895/214899/338523/104263/233904/13626/234135/15235/59035/214162/70315/320595/59026/20591	65
GO:0140104	molecular carrier activity	41/3385	96/28407	3.02256426890772e-14	4.55273743004225e-12	3.08619720088472e-12	53605/16647/15122/544763/216635/16211/30056/76582/238799/69089/57258/65246/17189/26426/71983/14297/226043/12460/19298/19231/110750/68205/30059/66471/50927/16650/230866/231042/231430/72103/101488143/15129/15135/101685/67669/12317/56495/212999/66069/11977/236792	41
GO:0044389	ubiquitin-like protein ligase binding	93/3385	358/28407	1.73912155167554e-13	2.32849052196558e-11	1.57843078842131e-11	17246/69754/56208/12189/19084/15239/22210/22433/22187/55943/18626/22059/67338/68729/20747/80280/19088/18708/319182/72293/19229/19645/18521/22631/56438/110213/51789/30940/69053/67673/11984/22154/72416/56550/56489/11758/22033/56812/19275/26554/70247/14950/16396/68612/21939/12608/14828/18024/56791/19260/66105/229512/16451/230674/16792/67025/68943/68350/21938/230979/140499/100038882/269523/170823/100503670/50883/22190/14255/19017/58186/12122/21991/57436/12576/69228/65255/21849/54473/18400/14751/15204/109689/93739/67443/99375/52065/12317/20818/71472/22273/12387/17127/17130	93
GO:0003713	transcription coactivator activity	73/3385	265/28407	3.31418502087291e-12	3.99359295015186e-10	2.70716586968145e-10	211329/93759/641340/12189/22378/58172/327987/68729/19014/23989/52690/108143/19720/18676/54169/67488/20024/223701/328572/381022/12914/268903/13548/67673/18519/64898/116871/60533/226169/81601/225895/13211/74106/27878/30941/16909/56406/17979/68879/227737/67037/72475/230753/99982/70673/21343/69188/13016/19017/109108/214899/13498/108098/21848/20821/319236/20128/21849/13017/109689/80707/102162/320165/16478/15587/12387/26901/59035/20586/59024/13712/15161/668166	73
