ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-MMU-2262752	Cellular responses to stress	167/2258	440/8582	2.58786848609332e-08	2.43983694167545e-05	2.02211388190382e-05	22187/17135/231042/233016/17168/104248/19386/19192/234663/12359/59015/26445/26397/59035/230784/101488143/14775/12428/19185/20655/328572/19645/70247/16906/218210/19166/22145/66679/66335/66105/68196/50868/19172/14950/22190/69654/66142/12013/15505/71745/20111/68275/12608/66359/26420/26413/17164/66440/22059/67443/66403/11652/22146/14782/319481/69912/72416/67669/22143/71805/53380/70207/27354/268706/58233/52615/228769/81601/19173/17248/17246/217232/13626/54563/29810/11758/110651/18667/29806/76650/12576/26554/234865/19014/93759/52187/16476/56438/11973/15368/110147/67673/21672/26399/108664/13427/112405/68097/109778/110920/26442/11757/226641/18024/53598/19179/56453/56317/56371/56550/277854/170644/67605/56692/12460/17977/269523/14229/11984/17972/26462/445007/68612/11964/68576/80838/77891/69736/16475/75560/20467/20466/12345/101142/66508/22627/50493/67204/77128/238463/231430/68350/17463/66144/14957/13819/15512/23950/213539/12567/11863/12325/13666/14870/22152/17992/14815/21762/19182/216805/107939/54130/52892/14828/81004/19171/18141	167
R-MMU-8953897	Cellular responses to stimuli	167/2258	443/8582	4.47266167126572e-08	2.43983694167545e-05	2.02211388190382e-05	22187/17135/231042/233016/17168/104248/19386/19192/234663/12359/59015/26445/26397/59035/230784/101488143/14775/12428/19185/20655/328572/19645/70247/16906/218210/19166/22145/66679/66335/66105/68196/50868/19172/14950/22190/69654/66142/12013/15505/71745/20111/68275/12608/66359/26420/26413/17164/66440/22059/67443/66403/11652/22146/14782/319481/69912/72416/67669/22143/71805/53380/70207/27354/268706/58233/52615/228769/81601/19173/17248/17246/217232/13626/54563/29810/11758/110651/18667/29806/76650/12576/26554/234865/19014/93759/52187/16476/56438/11973/15368/110147/67673/21672/26399/108664/13427/112405/68097/109778/110920/26442/11757/226641/18024/53598/19179/56453/56317/56371/56550/277854/170644/67605/56692/12460/17977/269523/14229/11984/17972/26462/445007/68612/11964/68576/80838/77891/69736/16475/75560/20467/20466/12345/101142/66508/22627/50493/67204/77128/238463/231430/68350/17463/66144/14957/13819/15512/23950/213539/12567/11863/12325/13666/14870/22152/17992/14815/21762/19182/216805/107939/54130/52892/14828/81004/19171/18141	167
R-MMU-3247509	Chromatin modifying enzymes	83/2258	194/8582	3.69688501169946e-07	8.85590745493038e-05	7.33969270469892e-05	93760/116871/54343/50724/104263/59035/326619/320595/67956/268936/69386/20591/76901/18601/277250/108155/232811/238247/226830/218214/338523/18599/54169/234135/76719/233904/75605/214899/319168/52615/30841/193796/13626/234366/223770/319179/107823/208043/110147/319185/69726/360198/77853/107932/94246/319159/319160/23808/71371/70088/17977/319162/18034/319150/192285/15353/225888/18600/17692/260423/18676/382207/319184/229542/319165/70673/269424/15161/12567/66262/230674/52690/99982/319152/319164/319178/60406/93871/71954/226976/20586/319182/217864	83
R-MMU-4839726	Chromatin organization	83/2258	194/8582	3.69688501169946e-07	8.85590745493038e-05	7.33969270469892e-05	93760/116871/54343/50724/104263/59035/326619/320595/67956/268936/69386/20591/76901/18601/277250/108155/232811/238247/226830/218214/338523/18599/54169/234135/76719/233904/75605/214899/319168/52615/30841/193796/13626/234366/223770/319179/107823/208043/110147/319185/69726/360198/77853/107932/94246/319159/319160/23808/71371/70088/17977/319162/18034/319150/192285/15353/225888/18600/17692/260423/18676/382207/319184/229542/319165/70673/269424/15161/12567/66262/230674/52690/99982/319152/319164/319178/60406/93871/71954/226976/20586/319182/217864	83
R-MMU-69278	Cell Cycle, Mitotic	180/2258	498/8582	4.05861936522932e-07	8.85590745493038e-05	7.33969270469892e-05	22187/64898/231042/242705/19088/66700/18005/16563/104318/19386/216274/16319/19192/234663/59015/78833/26445/218914/12428/19185/326619/14245/71175/19645/100088/70247/12445/69386/16906/12532/16905/30939/218210/19166/23834/21781/22145/66679/67037/17220/244329/13548/83431/69922/19172/225849/17997/22190/69654/68121/71819/73699/20842/18969/18968/68275/19046/26413/66440/22059/12534/69745/11652/83922/17219/22146/99412/69912/382030/16452/26429/22143/71805/53380/18472/17120/319168/67849/216965/228769/19173/75608/22154/52276/70099/67141/17931/217232/71876/54563/66977/319179/12576/228421/74549/234865/52683/16328/108000/56438/319185/59046/13427/68097/73804/22196/27214/116733/26442/66979/170791/20877/53598/19179/217708/56317/72119/56371/229776/19324/109145/319159/319160/71955/68014/52696/18536/100710/12545/26886/445007/68612/232440/68953/272551/319184/11350/77891/20843/69263/13559/13589/69736/16475/319165/12995/19651/22627/14211/18750/19052/238463/70315/19348/12572/17463/12567/22367/22152/13557/21762/12530/19182/319164/22628/319178/66671/13006/72590/107939/71648/54130/72083/19171/17218/18141/226849/16211/319182/56086	180
R-MMU-3700989	Transcriptional Regulation by TP53	112/2258	286/8582	9.4012286223342e-07	0.000170945673782777	0.000141678164676931	22187/69125/18718/230784/12428/328572/67956/22631/268936/12532/219022/21981/55948/252870/26992/105787/22190/66142/73699/15574/68275/22629/226830/12905/66359/74747/53325/22059/57748/12534/11652/69131/12455/14782/12177/108099/72416/13716/15257/22062/98053/70207/27354/268706/52679/67338/81601/17248/17246/216456/19355/234366/223770/12576/223970/12189/57314/29813/70439/60599/52187/12144/232791/21343/27224/110147/67673/21672/26399/50883/19352/23894/20877/72119/114741/75747/107932/12021/57913/70088/56692/18854/227743/68428/68576/229542/14381/69263/14751/15258/12995/66508/22627/50493/19052/27632/231430/13872/12572/66262/17992/52846/22628/66671/234594/64930/54401/52892/22427/20021/69562/108143	112
R-MMU-72706	GTP hydrolysis and joining of the 60S ribosomal subunit	49/2258	110/8582	2.49248948288261e-05	0.00349413405422823	0.0028959054007256	22187/217869/20005/20103/19899/67427/76808/27370/54709/55944/19921/20084/270106/20115/226982/98221/267019/67671/100503670/20090/20085/20088/67025/68436/19941/20044/68052/27050/11837/54127/319195/68193/20102/66481/27979/19933/13669/268449/19988/19934/66085/67204/67891/13681/67248/13682/68135/56040/26451	49
R-MMU-68886	M Phase	136/2258	382/8582	2.63419245261308e-05	0.00349413405422823	0.0028959054007256	22187/64898/231042/19088/66700/18005/16563/104318/19386/216274/16319/19192/234663/59015/26445/218914/19185/326619/14245/71175/19645/100088/70247/69386/16906/16905/30939/218210/19166/22145/66679/67037/244329/83431/69922/19172/225849/17997/22190/69654/68121/71819/73699/20842/26413/66440/12534/83922/22146/99412/69912/382030/22143/71805/53380/18472/17120/319168/67849/216965/228769/19173/75608/22154/52276/70099/67141/217232/71876/54563/66977/319179/228421/74549/234865/52683/16328/108000/319185/59046/13427/68097/73804/22196/116733/26442/170791/20877/53598/19179/56317/19324/319159/319160/71955/68014/52696/18536/100710/26886/445007/68612/232440/68953/319184/77891/20843/13589/69736/319165/12995/22627/14211/18750/19052/238463/70315/19348/17463/22367/22152/21762/19182/319164/22628/319178/13006/107939/54130/72083/19171/18141/226849/16211/319182/56086	136
R-MMU-195258	RHO GTPase Effectors	91/2258	238/8582	2.93958719809639e-05	0.00349413405422823	0.0028959054007256	11848/74117/16563/19386/208846/16319/234663/109333/59015/19353/22631/66713/12532/22145/67037/55948/12704/56419/83431/225849/11308/544963/73699/22629/19046/16885/26413/52428/14083/22146/12315/69912/67771/19877/22143/18472/17120/56443/216965/17904/14787/12540/52276/17931/71876/66977/228421/234865/108000/223701/80987/13427/12385/68097/73804/17886/19354/20877/68014/20430/225326/77579/52696/17972/101314/12638/26886/445007/75669/11350/13589/69736/404710/12387/233406/22627/18750/19052/13543/238463/12313/215280/12314/22152/22628/22379/54401/226849/98932/56212/14270	91
R-MMU-72613	Eukaryotic Translation Initiation	51/2258	117/8582	3.52295825815862e-05	0.00349413405422823	0.0028959054007256	22187/217869/18458/20005/20103/19899/67427/76808/27370/54709/55944/19921/20084/270106/20115/226982/98221/267019/67671/100503670/20090/20085/20088/67025/68436/19941/20044/68052/27050/13685/11837/54127/319195/68193/20102/66481/27979/19933/13669/268449/19988/19934/66085/67204/67891/13681/67248/13682/68135/56040/26451	51
R-MMU-72737	Cap-dependent Translation Initiation	51/2258	117/8582	3.52295825815862e-05	0.00349413405422823	0.0028959054007256	22187/217869/18458/20005/20103/19899/67427/76808/27370/54709/55944/19921/20084/270106/20115/226982/98221/267019/67671/100503670/20090/20085/20088/67025/68436/19941/20044/68052/27050/13685/11837/54127/319195/68193/20102/66481/27979/19933/13669/268449/19988/19934/66085/67204/67891/13681/67248/13682/68135/56040/26451	51
R-MMU-156827	L13a-mediated translational silencing of Ceruloplasmin expression	48/2258	109/8582	4.31856604105468e-05	0.00384023787676404	0.00318275298966695	22187/18458/20005/20103/19899/67427/76808/27370/54709/55944/19921/20084/270106/20115/98221/267019/67671/100503670/20090/20085/20088/67025/68436/19941/20044/68052/27050/11837/54127/319195/68193/20102/66481/27979/19933/13669/268449/19988/19934/66085/67204/67891/13681/67248/13682/68135/56040/26451	48
