ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0050767	regulation of neurogenesis	454/16544	494/28891	3.82950658470474e-67	2.48726452676573e-63	3.16438175683497e-64	20312/20352/23966/70827/20539/13003/11423/21844/21938/69743/12767/21817/12227/54673/21960/17295/22059/22352/16579/14375/20481/15902/12950/13838/54712/330914/65254/52822/20720/13631/69807/76901/20869/11865/16412/56381/17196/19699/230598/14580/70237/665113/14254/58234/19266/13841/16202/13654/22084/13640/19280/18109/76089/16195/24136/18390/18096/59041/15251/66991/22041/16193/21907/50849/20194/20355/16176/387216/12257/214968/16971/14025/244667/16590/15982/18128/30948/18129/74117/15901/14912/12064/268902/269878/233489/16885/20482/11921/19211/18039/83431/11426/17096/22629/63953/18508/20354/16542/56637/18479/18996/17755/20317/19055/76454/269951/320790/13508/18755/328572/20893/24088/22068/18844/20187/16975/13190/108151/14173/18016/104015/14297/74143/20430/12162/20238/20563/17919/216049/230674/67490/21926/17118/12724/13051/20320/17158/234219/20348/22341/12978/12156/15978/12704/53605/20358/22601/15213/14083/68151/18125/192119/26396/20353/16878/118454/319740/17756/114606/623459/245886/17762/66713/216344/24001/75788/16835/240057/545156/17344/16842/18080/68585/18845/16870/20393/74053/12484/433759/79362/12306/20359/18759/13169/211323/13392/18627/16728/76893/171207/14461/14102/104156/16000/233064/22416/14634/18186/54214/22062/243743/51791/235472/20660/27279/12316/19268/18222/14366/329559/12550/22339/13844/20357/15205/13047/12361/213541/216858/67095/70086/16800/13131/19262/12385/14056/22241/20562/216190/12032/238276/15364/23999/22422/12017/20315/12904/12561/18481/228357/17356/67784/19645/17242/217715/55927/12168/242620/56710/21838/224617/14168/19130/12774/78748/11858/22368/18472/239667/13193/13555/14725/71955/13138/29869/227292/58861/19016/20585/71918/98733/11816/21752/70433/17190/20346/28000/232560/235402/14359/56711/12166/12010/67838/19744/19876/140570/22413/27374/360213/100313531/20429/19047/15206/26419/20356/218877/22326/12323/73181/17869/18212/19317/23873/94091/213084/13649/19712/18213/13490/13385/13690/67299/17863/66354/53872/14365/18121/723950/29819/15207/217166/108138/20351/65079/107503/109880/99412/15208/83433/57810/17751/15182/56320/15904/19242/20807/71653/22129/72162/56708/20361/108100/18606/320027/16653/77125/20681/228550/11516/13390/18011/19283/17173/65086/382253/15228/22596/108071/71751/18015/319757/18846/15214/12579/18420/17136/13388/18536/20983/229285/74006/723951/18997/18208/14843/12159/140571/17257/14268/67287/83557/224171/14184/83701/171469/13004/21803/18742/22067/20360/20423/99982/12387/244058/64383/20732/14567/27083/13048/66993/54713/14599/231672/56717/22671/20666/76965/56198/235611/17760/20845/19164/330790/50913/381530/574437/330938/13389/74132/18223/17172/67891/15114/19697/20616/14265/22421/103743/97165/20674/319583/12568/13489/73940/246048/20350/20347/84653/18049/20349/229715/66515/11484/70083/20927/225908/76527/22418/19716/12677/54485/11421/73191	454
GO:0044772	mitotic cell cycle phase transition	417/16544	454/28891	1.51230904186841e-61	4.91122361346768e-58	6.24822419929845e-59	80280/56190/19363/68034/68592/52004/108058/12144/70127/19054/67628/116871/214498/22059/229776/15902/12189/66591/218793/12452/19192/106795/24100/71375/16412/53892/12571/18028/21423/18647/22591/11820/67991/18761/30949/11461/12445/12193/68431/20466/229841/18514/12444/66214/18032/13557/107976/66991/12122/18018/26992/18763/237459/67857/104418/18767/17120/99375/71276/26931/66923/18671/381293/270201/240665/218630/56469/12449/269424/380694/69754/59126/18669/16600/23834/19211/19708/19891/12013/68964/13860/15170/18557/19055/19052/76454/14726/77044/12531/21335/74268/329152/68612/67155/12325/330177/108911/12298/75608/63955/59008/75430/387219/50523/270669/21987/109019/13205/20877/19188/20620/12442/18795/16323/12192/16319/74996/67849/18854/194655/216965/12704/381921/330216/12443/12043/239985/12532/12428/269582/12447/238555/244281/19941/54124/16952/235559/118454/320595/30963/71007/12545/56696/208628/11504/268697/319651/67941/20479/56371/68142/69917/74370/17420/16906/56317/114714/52206/11920/18027/105513/11477/70385/83560/226026/72584/381534/20133/74335/17829/93760/83383/20135/12322/66209/13194/229543/19651/100088/22680/22410/219103/208643/12576/67629/67153/12315/15586/53869/107771/327799/218294/13685/29861/75770/11491/14056/57376/216190/116733/81702/69274/93695/68014/69681/52276/68094/19645/54451/69581/116748/225182/723962/238271/76464/237256/214444/26427/235661/52468/20460/12580/12575/68077/52679/104394/17246/15937/12236/77035/20588/50496/228361/52696/209091/13555/15574/69957/11479/26554/227292/77011/19360/57913/231803/12314/21752/12905/234736/11789/13383/13872/12235/83797/26951/68067/12313/12427/20184/14841/66442/50875/12055/76843/67141/234069/12530/22687/208768/12323/72993/17869/12453/404710/56150/73866/13649/11651/76707/52563/18817/271697/13684/16493/70891/72776/18392/17222/17863/224023/77891/723950/13924/110957/328440/12534/15904/237877/231600/387218/56453/54394/17283/227331/12914/57261/69716/67974/18715/11799/70681/76499/12021/12578/15468/19090/105837/75826/20555/75604/60364/382985/54601/72400/12577/67052/19650/68193/12579/12450/233805/448987/27354/14235/67655/18764/225131/12566/723951/244879/66977/12054/66197/69188/27401/17257/50850/68501/50883/53317/636931/18973/70799/18555/70601/12034/57775/59036/12448/27214/21803/13559/13076/20586/56456/13871/20104/59046/78832/14199/72611/22137/66993/12567/72008/16798/72057/108000/18214/14165/22209/24075/67121/228714/19684/79263/210766/12649/209334/217232/208583/26380/19357/66671/17193/18014/66371/235041/72290/12568/319195/67045/83766/12795/68251/107047/246735/12572/15512/11792/72088/68953/72772/27375/19186/50927/268709	417
GO:0001667	ameboidal-type cell migration	429/16544	471/28891	1.56616858816084e-60	3.39075499336822e-57	4.3138327779167e-58	20352/16476/11852/14462/17260/12215/14645/74769/12767/13829/108655/234779/71371/100169/23790/55982/192197/17295/13655/72674/30953/269608/19229/20541/14119/27494/18024/72446/16480/16412/332397/16398/13616/56753/18707/319939/14775/232227/242687/16202/70097/22084/11818/13618/381290/230738/69601/23871/68750/239528/24136/66214/67338/14314/14158/50754/15251/13641/21907/18754/20778/18810/54132/20355/67916/13614/50525/54357/18607/11600/58233/23991/214968/238328/15587/16401/16590/20671/70839/22411/18128/114715/68465/14472/74117/11857/52392/19141/16600/16414/269878/11749/13036/19211/11426/16410/72007/74030/16413/63953/18508/20354/16542/18479/11826/20317/18741/14751/26365/24111/17886/18187/13642/13482/19245/212307/21813/21418/18750/108911/11482/17128/19247/68743/12317/26921/20620/12562/108151/14173/19274/12540/12162/20563/15116/21926/13615/330662/18854/73230/14089/101401/11947/71093/13001/20971/20348/22341/19303/12331/16416/53618/15978/20358/15370/69683/18591/23797/14164/19279/14673/83409/14083/11881/328949/12631/18803/50884/19353/107351/16952/192119/20353/14389/269275/56048/12512/19878/16776/30955/15368/23942/18704/13078/75723/17395/56218/16367/68585/78560/60595/12458/14026/243362/20359/21814/18438/79221/18815/17311/171207/12261/14461/16000/26406/11745/11477/18186/68813/23938/241324/107321/16392/21961/13590/72461/16974/12752/22339/20855/19713/11845/20357/94352/11541/20583/18787/15586/53869/18710/14182/56332/20779/11491/16421/216190/56233/12339/21336/11855/14824/20315/67903/20397/18481/15507/12721/67784/11475/19015/12168/338366/20683/18613/16973/19130/83397/18472/13836/19270/18720/21808/11479/15184/29875/384783/19016/22682/11816/13869/20692/11789/12927/26941/68606/20346/18133/73139/20684/20997/13731/19876/16336/107586/14181/16415/20356/218877/12165/72993/66313/21812/21825/18188/109254/15289/231858/723924/14172/18127/22346/11806/384009/11651/76707/109333/13645/20202/22160/11350/17381/320924/68992/20351/12822/109880/16189/14674/53868/380664/105450/20807/229096/80837/18709/21687/26397/15117/20361/18606/21380/241639/80903/19877/18645/20681/76499/11684/11848/18935/22349/14175/93759/13197/23789/66864/12558/18505/52014/320795/18015/319757/69216/101489/14170/13617/21667/20130/192897/107831/105844/628324/27217/12159/14257/11601/17257/14268/14179/79264/21983/22122/104831/226352/14234/13636/15200/14756/12554/68792/74144/240185/18643/21803/18858/14275/64074/14573/11501/20360/17292/20423/14178/57260/101540/56717/18214/11819/14165/20401/21857/67384/55985/11602/17286/230917/70445/66601/73608/22421/235041/18119/18760/56426/12622/71709/20350/223650/20347/17293/20349/16400/12154/22418/13846/54485/11502/16002/68328	429
GO:0030099	myeloid cell differentiation	434/16544	480/28891	6.95260305166603e-59	1.12892892051427e-55	1.43626141988364e-56	16331/80280/15129/16476/19746/387162/13828/16795/14462/17260/12398/18708/216161/20514/15467/13829/108655/22761/20533/216781/17268/66193/27419/241525/18718/214498/20679/22778/105855/52065/234515/17684/229323/15902/19229/17342/22034/12400/109801/14582/70026/16909/16598/15242/12571/56199/208638/12606/21423/15122/68235/14218/14728/11820/18023/65113/223690/72828/17132/214133/12183/242687/14284/13132/19824/20044/14683/11733/18035/11656/23871/16596/29813/217127/630146/233328/16535/381319/21399/18032/14247/70080/50754/15251/21898/22041/22042/18174/18018/245944/212937/56484/19743/19664/26416/70747/12912/66154/93675/23991/16168/99375/387164/50794/14309/16449/19698/19411/16590/56792/235320/14281/18003/18129/11308/21873/16409/226421/107817/22177/12349/17096/53314/29809/12768/13819/15170/56637/18996/100900/67017/16364/21934/22695/20848/19055/26365/17886/97086/13856/71982/56417/21847/13386/22083/235497/328572/21813/19152/18750/11983/18605/24088/19247/20375/19401/54368/20308/19014/18081/230721/230257/16452/215653/12394/18795/15977/16323/100038909/12192/14460/211770/22228/235627/67490/16658/69656/21926/20304/321019/12675/320404/18854/238247/18726/70564/107371/12978/12156/16416/15978/80752/54624/110794/12633/102791/16825/16160/13423/237339/83924/12611/244349/14389/16878/26379/20302/17480/18729/16149/545486/16842/11480/320910/59003/16969/98366/26934/20259/74370/21814/102466649/74511/11655/54411/22388/14151/107173/17311/11450/14461/14102/216984/19255/16477/11518/18383/723848/12370/17536/233904/14118/227377/15163/317757/246746/22339/98386/109711/15900/15405/72147/15526/20846/12367/14127/217864/17000/21930/12703/107771/68027/19165/12520/20687/101488212/20779/387231/224109/93694/12977/77573/227326/11757/57816/57259/226419/18725/12986/19645/227358/18733/27060/210710/70673/15404/20683/14815/209446/18472/13836/11479/14159/19016/224792/67087/76044/83408/67773/11789/100201/16923/17082/27220/78926/12010/216820/23845/192176/23897/14734/50875/67588/14390/21349/17986/11740/18771/93686/16420/272382/232790/17869/14628/12981/17129/15289/17874/14057/22038/229700/14724/14063/75302/723814/12775/18103/11774/16171/66317/19659/20851/319653/17863/56406/18089/16889/170826/15361/16189/83433/18722/170741/12053/56492/21833/20535/12504/12262/20807/233405/14729/238377/20185/12311/15469/15354/16948/70809/77125/19090/16418/620235/241764/74481/93759/78249/399568/83430/235505/21950/21832/69301/12577/20085/18015/237625/13388/83554/223870/21943/64602/18997/12159/69188/22402/229615/15416/14184/67050/12326/20480/21803/20586/13871/11501/99982/12387/20104/223770/14466/100038882/14308/56717/14008/26565/74614/19164/104416/53621/97165/66663/14381/26564/15499/13637/12608/56760/76527/18102/13345/74443/75766/14082	434
GO:0030900	forebrain development	391/16544	425/28891	2.88183859682805e-58	3.74350833727964e-55	4.76261747054742e-56	16795/30957/21416/73668/235439/14042/12767/100182/12227/23790/21960/67263/22778/20481/15902/71137/66797/14602/328365/15242/18028/19699/12928/11820/19218/238057/20602/58234/13839/19280/14360/67102/232906/20466/69601/327826/76089/171167/24136/18032/15251/21907/14270/18293/19664/66725/13167/12912/94229/15452/244667/381293/70839/18128/14472/77053/16409/268902/269610/67269/13845/22177/11921/19211/77579/83431/20689/71877/252838/18508/56637/18479/11826/18996/110082/18741/20473/21335/268882/545428/23879/18187/76510/320790/76574/21418/14682/15531/26570/16565/74244/18844/83993/228662/433693/20187/16975/16560/244329/13190/19434/319565/18507/30928/14173/668158/18016/94190/18795/16323/68146/20563/223701/19091/19823/11878/12978/12156/21420/58198/654470/50768/68169/14013/18124/216850/19353/192119/76260/18012/11783/16842/15209/18227/14633/21386/18080/233552/207615/68585/16870/81907/433759/20359/218772/211323/110350/13392/18736/56847/18423/12028/14461/233064/22416/14634/18186/22062/320165/243743/75409/64930/16392/93760/218194/211612/12316/102774/15495/16974/18222/11924/329559/70762/98660/13844/15205/77630/110876/13175/21375/30841/77040/14836/11682/67199/19165/14182/114142/22414/20511/20779/13131/22589/723944/20562/12032/15364/70223/22422/237847/20315/12570/13865/74762/17356/18541/22627/15387/17242/75420/57752/242620/230676/20460/14168/19130/73710/67749/239719/235380/22151/18472/241062/13193/13555/14725/329628/13869/13813/70433/11932/16568/16871/20346/14359/22142/12166/12010/19876/59058/13395/21974/14842/244585/14766/15572/18131/11977/26362/67378/56207/20356/11922/56217/11804/18212/52028/192157/14810/13649/15565/75717/231580/65960/67299/12569/99512/18121/24113/65079/107503/15208/14534/12667/57810/18992/15182/15904/20807/67703/72832/14183/58208/17967/20185/20361/15194/16653/235626/110648/11848/13390/269295/13046/15228/140486/226162/12558/18092/21869/17701/22771/21350/18015/319757/13380/16874/18846/213326/210529/18420/65100/723967/18424/18536/217734/13797/22174/12140/18183/14843/12159/22187/231380/18740/14179/16875/14184/230025/68273/21821/13162/16873/64704/20586/16869/11925/20423/99982/12387/22773/100609/209012/12825/214593/54713/22255/225523/11819/14165/19305/14790/13488/59030/19164/12929/50913/73242/330938/20462/18223/17172/14601/16485/15114/22284/20664/244152/18014/22421/19378/20674/72338/12568/56335/11444/14632/12425/246179/18993/13489/20287/18991/20349/11803/22418/226407/170758/73191/22594	391
GO:0031400	negative regulation of protein modification process	427/16544	473/28891	1.81730153503852e-57	1.9672289116792e-54	2.50277492106182e-55	80280/67603/16476/20677/19252/12593/74769/13829/19271/19735/235584/23790/21405/19264/17295/105855/52065/238871/12189/15234/20541/213539/20459/77446/72446/15242/17974/232431/18519/19259/67605/50918/19088/14728/56310/72828/93742/16202/24063/14869/14629/22084/114716/11461/170719/14360/381290/230738/67742/69601/79566/108099/18115/94245/233328/14678/64144/117198/16193/12389/18754/19017/18810/67916/17872/50873/22436/16337/69847/16150/18768/18546/11600/66725/217303/16176/24066/13167/18767/69237/12257/23991/70012/20617/105352/228852/15587/110355/24064/211329/208650/114715/15353/19260/19023/69754/64384/80985/107895/208092/19122/16885/19211/17096/171580/54725/16413/63953/18508/20354/19062/66867/15170/56637/110854/108954/320365/66917/56812/26365/21770/192231/56417/19249/11540/225884/18755/333433/19246/18750/14682/268373/15357/18605/232341/387219/50523/74521/80794/69726/328660/18753/215653/18016/18260/97541/20563/211770/80750/67490/12018/21926/26936/20319/98496/19060/12953/232854/12156/15978/217124/66861/109689/73205/97998/75296/18125/21929/12335/26904/70686/19878/24056/108837/215748/19263/17762/18762/237107/12062/19085/12952/268697/97064/209743/73914/406217/63913/18627/71059/11450/12028/68082/19261/26914/16000/20947/66801/547253/103136/19255/17973/76469/28084/51791/83383/20660/16974/237523/13844/12367/76055/16173/105787/12703/208643/12576/12702/72114/19277/22088/56715/16183/19165/14694/327799/19084/17131/22210/14586/73047/27050/13805/69274/14232/12017/16362/100503670/65019/15507/22627/56013/19645/68917/13163/723962/214444/15502/18518/56334/52468/70834/12580/23882/12575/21838/224617/18769/101490/18613/226591/56468/108909/230908/26903/227292/19016/74155/100504663/70769/72948/11816/17472/19720/11789/230126/13542/68606/12402/71890/57741/75141/110532/19281/67141/103844/108900/108079/269016/52615/66914/52033/545902/22258/216805/56150/14226/18213/11651/18817/216869/11350/72349/11770/22185/228775/22223/106504/78388/18230/11441/244923/15182/71974/66259/20730/387218/229007/58805/17283/19733/14154/28135/19087/20404/671535/19877/217039/231125/12578/54401/19090/100037258/240754/237782/16332/75826/20555/15259/15378/15525/93759/13853/66915/57321/235505/13197/12070/74019/72400/12577/12328/12391/260299/17171/320795/18015/69216/13380/233805/56693/18148/107831/231474/243911/170643/23980/18752/108155/110524/229615/11640/12061/16210/52023/225896/57320/13405/381759/66277/53626/21803/13492/20597/100336/66787/12387/66824/64383/59046/209200/20821/14466/100038882/16798/76857/18786/56717/11819/67121/66971/13488/68045/19164/67025/20648/12929/14114/56398/72330/57438/170835/19697/70315/22375/12568/320472/19049/14381/13489/76571/240518/19716/18226/70369/230899/214384	427
GO:0051656	establishment of organelle localization	439/16544	491/28891	4.18445492177916e-56	3.49649064571614e-53	4.4483532383407e-54	70827/53413/216781/58994/27419/380752/74772/20528/27278/52906/17912/17910/11777/20869/15242/16412/11542/14579/18519/224092/56743/12617/14048/93742/24063/212073/15239/216131/229841/94245/75687/59041/14158/12523/15251/66991/50873/53378/381269/18607/66725/217303/17120/20617/117197/16401/381293/20969/76895/24064/16590/54204/77053/64933/17916/16553/67269/67774/208092/59014/233489/18039/77579/83431/17096/64540/66482/18508/67037/245049/54161/17755/12934/228421/22631/17886/21335/16905/89867/16190/75914/18221/76510/227648/71923/22350/19326/17920/108911/75608/70450/100019/16211/18005/27096/17913/16560/244329/69150/19069/20877/217449/319565/52639/338367/104015/12540/208943/214459/16319/14460/17919/11840/67849/217325/67581/103583/68942/20971/107371/81601/50518/226778/19294/67898/68166/108907/20963/14083/73804/12631/68861/68581/18124/442827/67177/18159/207425/17758/66251/100502766/14389/17756/75665/246177/114606/15368/17762/18762/16580/75964/228355/78798/12121/56632/66196/20619/231646/380732/268697/19419/20336/71602/212514/20479/64009/68428/60595/59040/13426/26934/66994/16573/19215/11776/233222/16906/56208/14461/50907/11920/54418/105513/16886/386649/70385/83560/76123/13589/320165/214084/66397/108012/56273/17451/20844/19329/101706/12752/110033/16574/20910/26972/51944/16897/12652/22680/22320/14127/19214/66439/226751/11541/72114/67629/22088/67095/56715/53869/67511/232946/234686/68053/68196/76205/16800/22210/24015/20562/116733/73178/214585/105782/17918/71435/109359/54141/28040/52276/103967/19645/20911/24046/14191/19354/76464/214444/27060/66934/13424/57752/270058/213993/383592/77097/67749/228785/19324/18472/102058/56742/12229/320714/26554/14159/380684/381318/16151/240756/19349/109246/11891/11789/26412/18241/13383/26941/13191/26951/22142/94040/70591/20615/12615/12890/14070/360213/70612/66442/20054/17828/72823/210998/26419/18806/12560/13605/73689/77038/56150/230872/76707/26875/52563/109181/18817/11775/19384/11774/70891/19339/107338/67299/22223/327814/211556/59045/16189/214952/17921/14126/234852/353258/15183/14183/78232/28135/97895/15194/71878/16783/11799/101994/70681/225898/21749/54160/76499/319613/110380/16418/18571/93670/78906/11778/93759/67968/97112/69940/233752/72400/67052/105504/74717/27681/78933/12190/237625/66226/16797/16561/18536/20983/18148/668929/103573/74006/69654/231452/66977/18208/22187/77048/192167/17257/100041286/51810/50850/52023/13429/72415/16163/16572/67839/69737/56444/236732/12387/64383/56418/268491/234857/73470/72080/26754/72124/108000/225523/241035/14165/17350/74401/30931/17760/16562/74369/19164/320022/211446/384619/230917/12921/56398/212733/11981/235180/15114/108030/20616/18457/66371/12568/71703/382543/56426/12794/67045/17922/66682/14533/225642/19428/17281/14125/68953/226407/18226/230899/332110	439
GO:0022411	cellular component disassembly	417/16544	462/28891	4.3066859377566e-56	3.49649064571614e-53	4.4483532383407e-54	80280/13040/18826/11555/18708/56193/20739/15277/13829/216781/20742/208194/21405/56422/22059/19230/21916/74392/13838/54712/20405/20741/15550/13631/68732/16412/17318/17957/257632/66437/11739/230895/246103/225115/232227/13010/225326/19704/271221/319801/23871/209131/66270/329015/50754/15251/210356/106583/16193/245944/16001/11519/56215/50873/319162/16337/320878/12176/22367/74374/22003/244962/12257/23991/105083/56486/108124/76709/194401/18003/69754/16409/93739/208092/83431/171580/13860/56637/76561/17755/276770/228421/74781/235040/14726/77044/100502841/65970/75909/66615/13482/208691/380842/212307/70218/54636/11983/75608/232341/13421/74244/320827/16765/26921/52639/104015/21973/78246/15451/230674/67490/237891/227634/21926/245860/13051/27412/14089/225845/68942/71648/81601/216965/67443/269523/320502/11520/65973/68995/106042/70381/73804/13423/12631/12332/67379/72119/14489/12611/269514/17758/192119/13043/269275/17756/11783/260315/75788/68572/280411/78798/14086/20479/20393/56629/18195/15481/14026/12484/20259/16573/73914/72512/22388/211323/19888/18815/18627/56208/74187/12343/12028/20947/11938/105513/78610/54396/66853/11518/93760/56273/268396/100756/12752/54194/59026/11845/270086/380969/76055/22320/16865/68041/105787/109242/67890/66747/67886/20583/108853/107771/80877/18706/14296/16800/213948/12305/224432/56085/24015/22241/77573/57376/226519/13805/238276/23999/116733/14232/23794/16801/13035/27360/226419/65019/12177/74747/20595/12345/11472/68094/14853/77057/56404/20787/194952/67846/227298/51800/227753/270058/73420/14168/320528/68184/72018/16784/14186/20588/18472/228361/102058/26903/63873/21809/21808/29869/100504663/286942/66643/30800/269254/17386/11789/94178/13191/75669/83797/78926/14219/15944/12313/77987/20615/21968/16145/66840/50875/67588/80986/234695/72685/11740/67006/225363/108079/23830/20356/101612/17869/21812/69408/14063/76707/235072/546144/18817/231580/72349/94232/209815/72650/107338/67727/29877/99512/22333/20408/99412/83433/66361/80743/12534/16593/12262/234852/68943/77006/15194/20404/14248/66826/17754/319278/56431/76499/12578/12266/12340/71893/110380/237782/57436/69697/12660/11848/22349/67871/54723/67526/12421/56471/210933/23805/12259/213556/12539/75452/13804/74006/20262/381038/108155/50850/230709/53619/22351/12034/606496/56640/71742/12632/20833/229534/12344/26926/64704/20586/14464/20257/114741/16578/73470/93677/76559/66993/100502698/76366/14466/18214/19305/20401/208158/17997/19684/21767/17228/13347/14251/66905/67998/66169/66734/66371/66663/12568/26918/14852/15499/67841/12795/30060/23829/72175/78428/106064/12260/66155/17281/70997/20927/15512/211253/68953/51897/68350/53972	417
GO:1903706	regulation of hemopoiesis	409/16544	452/28891	8.99342968824461e-56	6.49025842501653e-53	8.25712550324213e-54	16331/16476/20677/14462/17260/18708/16159/12399/108655/22761/268936/12505/16950/17268/67596/66193/19264/241525/214498/13655/22778/105855/234515/14375/22694/229323/15902/74048/19229/17342/22034/12400/14582/328365/16909/17221/12571/56199/12606/68235/14728/65113/223690/72828/12522/269023/11461/14683/18035/12193/80859/230738/23871/217127/630146/14255/16153/207952/50754/15251/16193/26992/56484/21672/75863/26416/12912/93675/23991/16168/99375/50794/16184/66923/14309/16449/19411/235320/14281/14256/18003/18129/18534/69754/21873/16409/226421/192656/22177/12349/17096/252838/63953/12768/15170/56637/18996/229473/67017/12479/22695/20848/19055/26365/77044/67122/16190/22164/97086/67155/21847/22637/13386/22083/235497/21813/18750/12142/66262/108723/20375/74244/19401/20308/19014/18081/16196/215653/12394/15977/16323/100038909/12192/14460/211770/16658/21926/20304/320404/18726/70564/65963/81601/12978/16416/15978/54624/14190/81897/102791/14087/239985/30936/20963/16825/16160/238555/83924/16952/192119/12477/244349/16878/26379/20302/17480/59009/18729/240354/20227/18762/16149/16842/11480/12487/16969/232174/19419/98366/21807/11486/12484/20259/74370/74511/11776/107173/74039/14998/17311/11450/14461/14102/14634/14456/16768/74131/216984/19255/18383/12370/93760/17536/100504404/21414/233904/14118/22433/15163/317757/240873/15405/72147/15526/20846/74256/217864/16173/22410/21930/12703/239114/20583/12772/14960/21417/21946/107771/68027/15284/16183/14000/101488212/268564/243910/17131/70088/93694/12977/57376/227326/319817/57765/57816/16362/57259/15507/18725/12986/68094/19645/227358/17242/22724/20667/18733/17387/16197/70673/15404/74734/381305/56468/209446/20588/228361/11479/14159/15519/67087/83408/11789/100201/230126/54169/16923/27220/83797/78926/78783/15944/12010/23897/16147/67588/14390/21349/234695/26362/16818/93686/15001/387168/234069/20663/17869/19885/15289/16186/229700/75302/723814/12775/107527/11350/18103/11774/16171/66317/19659/20851/17863/170826/109880/16189/83433/18722/57757/170741/12053/14534/214812/56492/20535/12504/19242/12262/20668/238377/15469/18950/20662/15354/16948/70809/57432/19374/12578/19090/16418/620235/723840/241764/11848/16169/83430/17173/21950/21832/104709/69301/18015/237625/66494/16859/13388/83554/223870/21943/18997/56457/12159/229615/211651/216799/15416/14184/56436/67050/74748/320713/21803/246779/60505/20586/56456/11501/20423/99982/12387/66993/223770/100038882/72057/19373/14308/56717/74614/69068/66058/21947/22780/53621/97165/56335/26564/15499/83766/278672/12608/242100/320940/76527/18102/14357/13345/74443/75766/14082	409
GO:0007389	pattern specification process	443/16544	498/28891	4.31302756476548e-55	2.80131140331518e-52	3.56392277720095e-53	277939/71870/73668/17260/14042/140859/12227/17268/22059/17684/20481/71137/66910/15242/59024/74025/19699/14048/17427/24063/13654/19206/327826/18514/65256/24136/22420/15251/13641/72634/212937/13614/544696/26407/66743/19664/17130/13172/19411/20671/619289/22411/235320/18128/14472/18129/11308/54562/16409/268902/269878/70028/22632/106633/110796/13411/18508/110082/18741/20473/15258/23872/67122/218850/269941/18187/233651/11481/23796/21815/328572/21813/21418/20893/22158/18747/11482/17128/98376/68897/19434/17127/14173/27428/12162/68146/81898/16658/20319/24069/216285/27412/17126/74453/16373/15110/68713/17702/234219/20348/12156/212712/654470/65973/14164/106042/15213/16825/100121/68151/73916/50884/76260/17765/18012/16776/21415/240057/68922/21388/16842/11480/14633/21386/232174/244631/14609/12705/18845/51938/216274/16870/71233/12020/12006/16814/79362/231214/104346/110350/14313/13392/18423/11920/22416/14634/11477/320145/18186/225164/21407/24117/241324/140484/17305/16392/207165/13590/17536/16974/11764/20855/15405/15205/12005/29871/81896/21375/30841/207607/14367/14836/20471/21417/19165/12808/14182/22414/14296/213575/11835/19821/13805/18510/13198/237222/22422/14232/18503/70122/13865/72475/228357/93840/230824/235542/55927/74407/12168/242620/56334/15399/20460/18749/15257/15404/16973/100503311/14186/22138/320202/66042/108909/241062/14451/20472/380614/14725/15376/19719/12167/71950/67087/17300/13869/13813/17240/11789/15375/16568/16871/13542/20346/71521/384452/18553/20997/12166/18530/546726/19876/22413/59058/16147/14734/12614/244585/14766/107586/20465/12151/15206/26419/12627/497652/11838/75691/433809/15229/15395/21812/15413/14561/70495/15412/225876/76779/15245/15400/56184/23863/18121/22431/24113/67661/231413/15207/329795/15208/17285/93836/14534/12667/57810/74934/20807/57246/214575/320772/105278/12022/14183/16348/21380/15194/18552/230909/12266/19090/75826/22289/13390/67694/67968/15228/12591/74019/226162/18505/622473/13626/21869/23805/116810/15414/240590/15407/17701/12259/22771/18504/15432/319757/19726/23967/13380/57354/15214/13388/13617/21667/83675/71227/76365/18424/240888/13797/18764/15430/194908/24087/381738/18183/12590/14843/12153/12159/21410/16848/14179/15416/76166/380718/21385/226352/14234/15431/436022/432611/171567/18515/72938/71860/22772/16372/13082/21821/224143/14275/14464/14573/382089/17537/16869/13798/68270/17292/20423/12387/22773/246102/15401/66993/209448/54713/16917/22255/214162/83453/18509/11819/14165/24075/20890/15285/69327/56198/16371/19164/21892/12929/22061/17286/20462/13389/210510/17172/77485/14174/18091/21389/20664/53883/18014/22421/19378/15425/18119/13543/213081/17877/14632/214766/15426/12622/26564/17965/15437/11694/20350/84653/17293/226049/67685/11695/14463/22418/109065/19335/54485/233826/73191/217011	443
