ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030218	erythrocyte differentiation	18/411	156/28891	1.10467741483885e-11	4.20882095053601e-08	3.55124718412404e-08	16331/80280/15129/19746/387162/13828/20514/13829/22761/20533/216781/241525/20679/22778/52065/14582/70026/16909	18
GO:0034101	erythrocyte homeostasis	18/411	168/28891	3.87081915353017e-11	7.37391048747497e-08	6.22183247099007e-08	16331/80280/15129/19746/387162/13828/20514/13829/22761/20533/216781/241525/20679/22778/52065/14582/70026/16909	18
GO:0002262	myeloid cell homeostasis	18/411	215/28891	2.20692702876195e-09	2.80279732652767e-06	2.36489654239964e-06	16331/80280/15129/19746/387162/13828/20514/13829/22761/20533/216781/241525/20679/22778/52065/14582/70026/16909	18
GO:0030099	myeloid cell differentiation	25/411	480/28891	3.22665375551002e-08	3.07338770212329e-05	2.59321067613884e-05	16331/80280/15129/19746/387162/13828/12398/18708/216161/20514/15467/13829/22761/20533/216781/66193/27419/241525/20679/22778/52065/109801/14582/70026/16909	25
GO:0048872	homeostasis of number of cells	21/411	401/28891	3.76634185761741e-07	0.000286995249550447	0.000242155958592917	16331/80280/15129/19746/387162/13828/14042/20514/20739/13829/22761/20239/20533/216781/241525/20679/22778/52065/14582/70026/16909	21
GO:0015711	organic anion transport	20/411	436/28891	5.3422170758223e-06	0.0031301737270514	0.00264112462008978	14664/20539/64008/20501/30805/20514/80879/20533/20522/21405/268860/14081/16423/20528/100604/14077/12286/70026/229517/17254	20
GO:0048821	erythrocyte development	7/411	49/28891	5.750975351538e-06	0.0031301737270514	0.00264112462008978	15129/19746/13828/13829/20533/216781/20679	7
GO:1905039	carboxylic acid transmembrane transport	11/411	144/28891	7.27826704647735e-06	0.00329212570753352	0.00277777370101046	14664/20539/20501/30805/20514/80879/20522/14081/100604/70026/17254	11
GO:1903825	organic acid transmembrane transport	11/411	145/28891	7.77667489968548e-06	0.00329212570753352	0.00277777370101046	14664/20539/20501/30805/20514/80879/20522/14081/100604/70026/17254	11
GO:0046486	glycerolipid metabolic process	18/411	380/28891	1.02131996038156e-05	0.00389122904905376	0.0032832749042161	16331/23945/230779/14755/21416/18708/210992/30805/15450/67216/50767/103199/84652/54673/14081/14077/225651/193742	18
GO:0022604	regulation of cell morphogenesis	15/411	277/28891	1.17831324568868e-05	0.00408124860552171	0.00344360636586913	13828/27059/11423/12767/20739/13829/269587/260409/54673/23790/241525/13838/54712/57255/13631	15
GO:0046942	carboxylic acid transport	17/411	362/28891	2.00251910920755e-05	0.0062194301591943	0.00524772474269358	14664/20539/64008/20501/30805/20514/80879/20522/21405/268860/14081/100604/14077/12286/70026/229517/17254	17
GO:0015849	organic acid transport	17/411	364/28891	2.14777528217697e-05	0.0062194301591943	0.00524772474269358	14664/20539/64008/20501/30805/20514/80879/20522/21405/268860/14081/100604/14077/12286/70026/229517/17254	17
GO:0034248	regulation of amide metabolic process	20/411	482/28891	2.28535491413964e-05	0.0062194301591943	0.00524772474269358	15129/66612/20698/387162/217869/213988/214290/15467/12227/72416/75841/230784/234384/56422/22059/13838/19653/15983/13631/66870	20
