ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0007389	pattern specification process	409/13824	498/28891	2.02343398026628e-57	1.31401802678492e-53	3.01172173483845e-54	216274/216285/17877/327826/24117/14632/14561/17684/15214/544696/14609/13654/83675/23805/71137/17172/74407/17285/207165/12006/432611/207607/19719/12808/17268/18423/11764/16568/15110/194908/71860/84653/217011/21410/16869/21385/380718/18121/15416/15414/15413/15412/15407/65256/14836/22632/56184/13411/320145/66042/17286/15228/21869/15375/320772/20471/15251/23967/76260/14313/16392/14165/14634/17300/21418/13614/12022/26564/17702/212937/18014/14451/19206/105278/16371/16372/13865/17260/15229/22772/54713/218850/22418/26419/12166/18183/12159/18424/14463/20855/12153/18530/11482/19411/209448/15426/15425/110082/14042/54562/11838/14573/17305/328572/22422/12614/106042/19090/12929/21380/12667/75826/20462/22061/15205/224143/76779/73916/68146/19876/268902/70028/20465/23872/26407/13388/12005/18091/210510/17240/12266/21815/20997/213575/20473/20472/225164/11789/14164/21417/12590/19434/74934/17128/74453/17126/110796/246102/18552/240590/226049/19726/13380/16973/15242/546726/13082/24087/225876/18504/16814/226162/14179/24069/13797/14633/226352/13798/12227/14048/19821/214575/98376/171567/240888/18514/93840/71870/19165/320202/13590/68897/108909/18845/19335/12627/619289/20671/241062/81898/212712/12168/18187/14367/13869/22420/16147/18505/71227/14472/55927/74019/22431/18508/17536/54485/12156/107586/18503/15376/21407/140484/16658/12162/16776/14464/12151/71233/11308/18510/67122/16871/18128/69327/13805/16917/241324/16870/24136/11480/11477/21375/73668/14725/13390/13392/15432/15431/15430/15437/22138/18012/50884/23796/228357/11695/15257/22414/100503311/11694/53883/18741/16842/12167/18749/68151/59058/51938/14173/24063/380614/20319/15213/72634/18129/72475/72938/242620/20460/66743/29871/329795/56198/230824/12259/17965/18509/76166/230909/67087/15206/15207/433809/15208/20481/68922/100121/75691/21812/16348/12622/70122/65973/67694/18764/17765/116810/21386/21388/654470/30841/56334/20346/22255/16848/12591/20348/19699/66993/20423/15285/381738/67661/15194/17701/12020/231214/19664/213081/14843/231413/27428/20893/81896/71950/22158/16974/79362/22413/73191/319757/15258/77485/15401/15400/15399/15404/15405/15395/21415/24113/232174/384452/22421/277939/233651/16409/14183/214766/68713/14174/17537/269878/13389/436022/13172/27412/18553/269941/11819/17292/17293/13626/22411/14234/104346/20664/18186/14182/234219/21892/13617/15245/244585/16373/14766/235542/74025/20350/21667/21813/13813/11481/12387/57246/57810/214162/235320/11920/17127/17130/110350/93836/19378/17427/67685/67968/382089/76365/22771/12705/70495/622473/83453/22289/14734/22773/11835/13641	409
GO:0001667	ameboidal-type cell migration	389/13824	471/28891	6.52205074267416e-56	2.01399758478942e-52	4.61607084254655e-53	17311/19279/15978/380664/12512/21907/83397/52014/20397/71371/12822/16414/71709/216190/70097/16000/16480/15184/14824/16416/26406/18613/66313/18750/11818/14674/26941/192897/68585/56218/14172/723924/14257/16189/11749/20692/26397/11541/73139/18858/11684/20317/66601/18015/67338/319939/192197/16400/19141/192119/14026/11651/19878/16413/11491/30955/22160/79221/17286/18760/11855/66864/11845/15251/80837/53618/11852/238328/20620/16398/16392/14165/56048/14756/68750/21418/109254/13614/20354/17260/11881/13618/19270/72993/22418/218877/12339/12165/105450/12159/57260/19229/68813/20855/94352/13655/66214/11482/11479/15370/16421/20683/20356/11600/18133/18606/15117/239528/14083/19245/107831/223650/18810/17886/14573/105844/20401/18591/56233/13731/20583/50525/68606/21380/20357/14314/19876/16415/18815/64074/15116/22084/20681/19015/21926/22339/20359/18188/14158/19274/13078/20541/12458/20997/18754/19877/12558/212307/11789/15200/14164/328949/240185/20358/14119/320924/17128/107321/16952/22682/107351/19211/11475/16973/54132/14179/76707/226352/74117/12767/381290/72674/14645/18214/23797/27217/13590/338366/63953/21808/19130/20353/26921/20671/12168/18187/13869/14268/21961/22349/18505/16367/20684/14472/52392/72446/18508/114715/21825/54485/214968/14178/241639/107586/74030/11602/20779/18803/20971/17395/12162/13616/16776/18128/11350/69601/241324/24136/269275/11477/13482/14089/18024/16401/50884/16410/14462/18741/13645/229096/72007/14173/18645/70839/30953/56426/50754/20351/53868/13636/628324/20202/67916/18710/13615/12331/11426/230738/242687/12540/108911/13836/56717/18707/230917/24111/269608/384009/21812/16600/54357/12622/21687/16476/21814/23790/19303/19247/18438/108151/20778/20346/15507/18787/13846/14673/231858/20349/19353/15289/243362/20348/18127/55982/20423/14181/20563/18935/16590/16542/55985/11745/19016/67784/20315/19713/68465/16974/11857/17295/319757/109880/11826/13197/56753/71093/21336/20355/12154/14461/232227/22421/101401/108655/16202/18704/12752/12721/330662/11501/16002/14175/14170/101540/11816/269878/26365/21803/60595/14751/68992/11819/17292/17293/20352/29875/72461/14389/18479/22411/12562/73608/384783/12927/234779/12554/14234/18186/16412/11601/11502/14182/78560/22341/16336/15368/13617/13642/320795/56332/20350/14775/104831/21667/76499/21813/75723/235041/68743/73230/23871/74144/11806/58233/20361/18854/23938/53869/17381/21983/13036/74769/80903/68792/18481/27494/21857/171207/13641	389
GO:0050767	regulation of neurogenesis	404/13824	494/28891	9.30396174063484e-56	2.01399758478942e-52	4.61607084254655e-53	53605/216344/15978/74053/15364/16971/17863/20393/15214/15182/17118/21907/12484/18390/13654/216049/114606/216190/17172/16000/54712/15114/11858/17762/11421/14599/108100/13649/66713/14025/68585/16878/18016/76901/213084/320027/13169/94091/12323/22671/22368/18208/83431/84653/13385/11484/20317/18015/103743/18121/217166/192119/18109/15902/20666/15982/15228/18080/18755/15251/238276/18222/66354/16195/14634/20238/15904/20354/56320/18212/21752/12950/13003/108138/18420/17755/18996/76965/13190/54713/71918/22418/218877/26419/12166/12159/27374/73181/14365/18039/70086/19645/239667/20356/18606/17869/14083/328572/12257/22422/140570/58234/65079/71751/104156/74143/15205/545156/20357/56637/13490/224171/19876/268902/246048/21844/104015/50913/22129/13508/19317/17356/13388/27279/22084/20681/24001/21926/22339/66515/83433/20359/19280/13640/17158/11516/20983/30948/12385/20358/12978/17190/17919/17344/17196/225908/14297/77125/19211/14102/20562/319740/56708/18742/18011/71653/22326/74117/12767/12227/171469/12316/21960/16579/29819/63953/19130/18845/20353/70827/12168/17756/14268/22596/227292/98733/13838/20720/55927/18627/59041/53872/18508/12064/20732/54485/228550/214968/16176/19262/12156/22352/100313531/15901/13555/21817/329559/12162/12561/723951/18128/16870/24136/14725/13390/13392/228357/17242/18049/229715/16842/19055/54673/65086/68151/723950/20585/665113/20482/14359/20674/14173/229285/72162/20429/76089/24088/15213/12904/12032/73940/20351/16800/360213/20194/76893/18129/13131/16975/242620/230674/19268/56198/11426/213541/83557/13844/56381/21938/70433/56717/69743/15206/15207/15208/20481/67490/13841/17096/56711/381530/69807/56710/19266/320790/12579/67299/18096/12704/18125/231672/13048/19047/108151/20346/16885/13047/11423/20349/75788/74132/14254/20348/19699/66993/19744/20423/16193/22629/14184/20563/14843/16590/16542/19712/52822/20893/19016/67784/20315/79362/232560/17295/22413/19283/73191/319757/243743/19242/109880/14056/11921/20355/14461/18844/22421/16202/78748/11865/13631/14912/17173/11816/269878/21803/18223/13389/64383/17136/245886/20927/20430/244058/18213/269951/20352/108071/14366/233489/23966/18479/17760/12550/71955/76527/76454/20539/244667/18186/16412/20845/211323/18536/234219/22341/330790/13004/18997/387216/17751/20312/319583/20187/22041/23999/20350/235611/54214/13051/12387/67095/12774/16835/330914/57810/20660/21838/13489/330938/235402/20361/20320/12306/235472/66991/22601/22068/20616/23873/623459/58861/12361/70237/18481/13193/22067/382253/14168/574437/27083/140571/16728/171207/18846	404
GO:0003002	regionalization	372/13824	455/28891	2.34811846833618e-51	3.81217033334378e-48	8.73747240586146e-49	216274/216285/17877/327826/24117/14632/14561/17684/15214/544696/14609/13654/83675/71137/17172/74407/17285/207165/12006/432611/207607/12808/18423/11764/16568/15110/194908/71860/84653/217011/21410/16869/21385/380718/18121/15416/15414/15413/15412/15407/65256/14836/22632/56184/13411/320145/66042/17286/15228/21869/15375/20471/15251/23967/16392/14165/14634/17300/13614/12022/26564/17702/212937/18014/14451/19206/105278/16371/16372/13865/17260/15229/22772/54713/218850/22418/26419/12166/12159/18424/14463/12153/18530/11482/19411/209448/15426/15425/110082/14042/54562/11838/14573/328572/22422/12614/106042/19090/12929/21380/12667/75826/20462/22061/15205/224143/76779/73916/68146/19876/268902/23872/26407/13388/12005/18091/210510/17240/12266/21815/20997/213575/20473/20472/225164/11789/14164/12590/74934/17128/74453/17126/110796/246102/18552/240590/226049/19726/13380/16973/15242/546726/13082/24087/225876/18504/16814/226162/14179/24069/13797/14633/226352/13798/12227/19821/214575/98376/171567/240888/18514/93840/71870/19165/320202/13590/68897/108909/18845/19335/12627/619289/20671/241062/81898/12168/18187/14367/16147/18505/71227/14472/55927/74019/22431/18508/54485/12156/107586/18503/15376/21407/140484/16658/16776/14464/12151/71233/11308/18510/67122/16871/18128/69327/13805/16917/241324/16870/24136/11480/11477/21375/73668/14725/13390/13392/15431/15430/15437/22138/18012/50884/23796/228357/11695/15257/22414/100503311/53883/18741/16842/12167/18749/68151/59058/51938/14173/24063/380614/20319/15213/72634/18129/72475/72938/242620/20460/66743/29871/329795/56198/12259/17965/18509/76166/230909/67087/15206/15207/433809/15208/20481/68922/100121/75691/21812/16348/12622/70122/67694/18764/17765/116810/21386/654470/30841/56334/20346/16848/12591/20348/19699/66993/20423/15285/381738/67661/15194/17701/12020/231214/19664/213081/14843/231413/20893/81896/22158/16974/79362/22413/73191/319757/15258/77485/15401/15400/15399/15404/15405/15395/21415/24113/232174/384452/22421/277939/16409/14183/214766/68713/14174/269878/13389/436022/13172/18553/269941/11819/17292/17293/13626/22411/14234/104346/20664/18186/14182/234219/21892/13617/15245/244585/16373/14766/235542/74025/20350/21667/21813/13813/11481/12387/57246/57810/214162/235320/11920/17127/17130/110350/19378/17427/67685/382089/76365/70495/622473/22289/14734/22773/11835	372
GO:0007015	actin filament organization	382/13824	471/28891	5.26009869970911e-51	6.8318161911822e-48	1.56584832871341e-48	114774/14219/73910/17118/171580/14609/69288/11994/74392/16798/114606/319277/67282/237436/11858/67803/18613/56699/14784/108100/11465/238021/170758/12808/56193/66713/108686/20742/268396/76884/18016/78926/71774/30794/13169/11840/246177/14457/77579/11687/19062/17913/76566/237860/216961/59040/338367/237891/320472/217124/14026/76820/19878/16413/20259/12632/11845/80837/20741/109711/11852/21809/14744/76260/18708/26401/11472/140580/19720/68732/218194/67252/75477/56320/97895/218397/72114/14063/544963/18753/63985/19229/246710/20410/18826/66214/268709/56419/105855/20356/19219/211401/223601/78757/14787/18810/17886/19354/104445/20401/18693/207495/58234/19230/223864/223881/65970/13731/50525/68606/13383/224105/16419/15163/56370/208177/78885/16423/50873/27361/23969/12954/17916/80880/12488/66616/14158/68767/22350/268970/260409/213556/18754/104215/225288/17922/30948/13367/22240/225115/75415/104027/170826/68166/17919/107351/54132/20411/27360/18175/71653/211673/12043/76707/74117/67771/11352/17926/16456/21346/20739/54418/13800/19130/17974/56363/17912/329165/76709/241112/22349/26554/227357/18761/14260/228543/19261/59030/56431/15901/20779/545481/20971/140579/277360/74103/76467/64930/269233/11350/108897/227753/74192/24136/74194/17996/77767/241431/329416/22138/50884/723953/74569/11853/12340/13609/71994/118449/211556/242253/208188/18706/18645/229320/24088/229474/99889/170643/404710/16800/23897/59069/20194/12331/66938/17357/242687/16765/230837/12540/12345/72754/56717/56226/73205/22004/21812/677884/14745/23790/231637/231646/63873/19303/12704/56378/23912/29816/73121/16885/13717/215114/56221/231830/14086/19353/66898/56443/11867/245880/22388/20563/74734/77569/320827/52822/27428/12391/68089/58991/28006/194401/93675/13860/12344/17295/12343/93677/73178/109624/14489/109880/22793/54324/243725/12922/67653/56753/12332/19240/12386/21336/11519/232201/320502/207278/69710/16332/56212/20947/320878/70497/12721/66824/13043/233977/232906/22323/63986/60595/50918/52428/58804/243961/384619/72088/14453/20430/27385/21872/70420/29875/18479/17921/22411/109689/234686/234695/12927/72042/234857/69581/11459/18186/234094/102098/50768/14107/53318/326618/20312/17973/22041/23999/76499/22351/22437/235041/69524/11806/12363/19200/102774/235431/17127/74492/22003/71602/68178/66991/17918/208943/50875/67968/17920/102502/71584/69693/54004/100034363/399591/666244/18481/110380/58194/19241/11856/66747/208431/192176/102866/22376	382
GO:0010959	regulation of metal ion transport	375/13824	461/28891	1.05930797726661e-50	1.14652433406157e-47	2.62782715764034e-48	114774/15978/74053/237611/12512/20393/432442/14360/14609/22353/11735/69563/215748/11540/16000/67972/15114/16416/11421/12299/19739/16518/26941/19058/17846/20856/70357/16533/108072/16163/103988/11840/22368/56089/19674/68460/57785/16499/14166/216869/18436/94045/246788/19062/20304/75909/246198/12295/217154/12313/12061/11651/73389/30955/11622/66109/14226/18760/238161/238276/15512/23967/238871/20191/16392/11472/19720/15216/75607/13488/56085/105243/93692/26556/14062/19056/83997/12289/69179/12159/16854/319984/19229/20855/19057/15558/16539/18693/53357/18591/12257/12805/105722/223864/22337/110213/75785/114141/14167/15205/13383/107589/12374/13490/246133/16509/18091/12018/14652/17691/83433/211482/57440/210148/20541/18754/12314/225055/16867/11516/30948/13367/20730/140492/12322/18596/16573/11555/83814/225642/246317/12482/14126/14682/13409/19211/14419/29866/80906/14873/225865/11554/66395/24115/12043/13167/269109/71111/12767/381290/11539/11931/240899/12523/12372/98660/24012/23797/19165/21808/433294/329152/57814/20720/64095/56398/12335/214585/56461/19122/18795/18798/12296/14225/20648/18803/59091/16538/241794/14683/13616/18389/12287/14810/11350/13830/12298/14526/53416/228071/23796/241528/241556/11928/18049/19260/229709/68312/229715/108058/109676/13645/19055/65086/19218/12918/22065/70839/102637511/16497/329693/20193/76742/18578/100102/14579/15444/67149/269587/18386/20544/74777/242735/230899/433809/16498/11603/269513/26409/17096/19059/52076/545622/20530/320790/65973/18764/66383/29867/18125/57816/170756/18439/18438/109305/14467/18787/12293/16511/18127/13483/16527/22629/15194/22393/100986/80334/12425/116873/109552/14825/17329/15945/56066/58799/16438/12391/11941/20315/108017/12288/232341/69810/15170/12504/16493/16485/381812/101118/20928/12389/12311/317757/83408/12922/11517/26903/57442/233571/20866/18704/20277/70261/12478/12721/13491/16535/13400/69301/21803/80297/11652/233081/66438/84506/18301/56188/17178/54378/20927/16502/26557/16170/80982/56437/78688/18021/66894/234779/69047/57340/13057/16412/16150/67887/26558/74166/14065/110784/13617/12286/14681/20312/22041/81897/14678/20840/333433/108737/20271/12387/12768/244701/13430/319239/56379/235281/72828/21838/53376/72821/399548/11936/13489/18854/69106/546134/17999/17918/14697/22068/22063/11933/12766/11977/12361/18823/66240/279561/19733/14199/14168/192176/54652/13405	375
GO:0060562	epithelial tube morphogenesis	328/13824	395/28891	2.42584453168413e-48	2.25049062696525e-45	5.15811153052836e-46	216285/14160/15364/21853/17684/21412/270685/13982/14609/69718/74392/16000/11783/18612/15184/57265/22412/14674/207607/12808/19058/16568/15110/54710/15478/216527/18208/11684/83429/21410/16869/21385/380718/18121/19401/65256/192119/18109/19878/22160/11622/66042/207304/15375/20471/20474/15251/238057/11852/18654/23967/20191/14165/14634/56044/21418/13614/17702/100503085/19206/105278/271127/16371/16372/17260/15229/24064/65100/22772/71228/15209/22418/12165/105450/12159/17387/73181/14463/14365/11482/19411/239337/20356/252973/14368/68588/11600/239405/14042/211401/17869/14573/18141/12614/140570/58234/106042/22337/21380/104156/74143/15205/13383/12374/76779/73916/68146/19876/13388/18763/22084/20681/18091/18132/56299/21926/12305/22339/71461/16772/21815/20997/20472/381157/225164/14164/14815/20496/17128/18018/240641/16973/15242/19045/225876/18504/16814/12234/14179/24069/12043/14633/12767/75605/14048/11352/98711/18514/93840/269152/13800/21808/241035/19335/12627/20353/20671/12370/12765/22420/16147/13838/18505/14472/22034/12505/22431/107515/14260/20732/54485/12156/107586/15376/74533/20779/58231/20971/17979/99377/21420/12162/64138/16776/18510/67122/18128/64930/11350/13805/16870/24136/11477/14725/15431/50884/23796/17242/14462/22414/229700/12977/18741/13645/99683/16842/114249/16911/23908/18749/11608/51938/20674/14173/24063/329628/20319/15213/18129/207920/20460/21846/329795/93760/29876/230824/269593/13836/17769/67087/18707/433809/15208/20481/13841/26409/21923/21687/18764/19303/21386/654470/30841/56334/20349/14254/243362/20423/67661/231214/14362/20563/19664/79464/18595/16542/11839/15945/27428/12391/78783/81896/67784/20315/19713/330409/22158/16974/17313/19227/17295/22413/319757/56753/384452/108655/277939/16202/233651/11535/21676/12850/16411/14183/14174/232906/22323/269878/21803/20733/21677/244058/17292/18479/18021/77411/12826/14234/18186/94109/50768/12367/234366/13617/15245/13642/58198/16373/74025/235626/636931/21813/12387/57246/19143/18854/102774/17127/19378/22601/18667/13036/22289/11609/14734/22773/94275/11835	328
GO:0050678	regulation of epithelial cell proliferation	348/13824	426/28891	6.03197061176027e-48	4.8964521440964e-45	1.12226400592487e-45	327826/15978/15364/12567/216439/14632/21929/11846/19272/13982/14609/22353/110829/12822/16000/20848/18612/14824/16416/18750/11818/74370/13649/68585/14172/18148/16160/14257/16568/22433/20692/11541/20317/66601/18015/20296/20304/18121/20913/18053/217166/192119/58208/13386/75745/11651/18109/11491/20666/22160/18760/18094/20471/20474/13983/12192/18654/21809/238328/23967/16392/14165/68750/12161/14451/19206/13039/17260/21828/66549/13618/18792/22418/12165/105450/12166/503844/12159/11727/11731/219033/21816/14180/18092/13655/19645/56373/66214/16840/11482/15370/16682/20683/20356/107587/54375/15117/211401/13132/17869/78757/223650/18591/22337/22410/20583/19090/21380/22061/12737/15205/13383/106389/268857/73916/19876/13052/15312/22084/18091/19015/21926/12393/22339/19274/22436/116871/225341/11789/14164/328949/240185/21417/18018/16601/19211/18089/18504/21416/17283/20724/14633/240725/16153/75605/14048/214498/14645/23797/63953/15284/21808/19130/226841/54139/387201/241035/68833/20846/12633/14369/13869/16147/19275/20254/13345/18508/21825/54485/14178/16449/107586/15901/14563/228852/18803/67996/58231/72043/99296/16776/67122/107771/18128/353156/13805/69601/11909/16401/23796/13046/17242/14462/246691/14066/13645/13722/13123/11608/208188/20674/14173/380614/19302/16159/68259/56426/20319/15213/404710/381457/13601/18129/207920/30923/21846/11983/12399/12540/15530/110351/18780/18158/56717/18707/74155/15208/14595/21812/18124/18028/12578/12579/67694/21687/16476/67733/21814/56221/18609/14254/15289/20423/16193/67661/12571/14184/14181/19664/18935/16542/71920/16438/58991/19016/81896/11689/20315/12122/12444/16974/12576/20449/114142/12390/12389/22413/319757/19242/21848/56753/13396/13395/71093/19695/21336/26903/21802/68888/14461/22421/108655/56312/14183/56213/15372/16002/12577/12443/12273/101540/11816/26365/26367/21803/22695/15451/68992/11819/12173/66333/77411/12560/12550/73608/384783/338521/12554/67866/13057/14182/353310/22341/15368/13617/13642/257632/14775/12530/20271/67561/12387/12771/270152/13489/16173/23938/17127/19378/17381/235505/22601/83946/76365/18667/12766/11977/64103/12229/12361/14205/19733/30878/14734/140571/11878/94275/11835	348
GO:0003012	muscle system process	361/13824	446/28891	7.32279339102554e-48	5.28380225347998e-45	1.21104442747487e-45	114774/237611/216459/14219/15214/56484/21337/216033/16000/109272/67972/16480/17896/110880/12299/18750/26399/16518/20606/17268/245944/29856/11548/24052/11749/14654/26397/11541/214384/26398/17883/544791/57785/11448/216874/18436/193034/21385/11640/12295/217154/12313/12652/65256/12062/52690/22632/19878/238130/14226/18760/238161/11847/12671/238871/17993/16398/20191/11472/70430/109620/13614/16468/13488/56320/212937/18014/17129/407785/17260/76469/26556/14062/68018/13618/12325/11534/16531/12289/12159/11731/140781/50769/14463/11549/68813/20855/15558/15370/19219/12818/67731/22402/14083/14573/53357/170762/328572/19013/19230/17880/67451/13383/107589/56637/106393/28185/268860/21844/20655/246133/16509/18091/74116/18585/106628/17929/57440/20541/12314/19877/14465/13511/30948/14815/140492/11555/83814/17128/17131/67655/18018/19091/11475/15566/110355/80906/11474/11551/11554/240725/12767/381290/11539/17928/21952/12292/19735/277328/17926/11931/226594/12372/98660/19165/11545/17700/12633/17901/16011/241113/57814/18159/11449/208727/20192/67092/11552/18429/12156/59030/12296/14225/228785/20648/668940/11486/72043/13616/14464/18128/66139/107951/227753/19224/20265/11435/22138/54598/228139/11928/242202/59006/108058/109676/114249/21338/19055/229877/56376/19218/208188/18706/22065/56458/18441/102637511/60596/18167/16905/11444/59069/14613/18578/230674/13615/230738/16818/19204/20544/433766/74777/15552/230857/21938/18158/230899/56717/13806/74155/433809/11603/22004/18124/52076/16600/68268/231602/63873/18125/21386/17906/18438/114674/17969/57080/14254/12293/16511/18127/100986/12494/11787/16590/109552/30937/12391/18430/58991/19016/12288/21937/16493/16485/319552/16523/20928/12389/17295/16508/93677/109624/14489/12723/14056/21336/12154/66277/243547/320502/108655/50501/57442/11785/17540/21676/12310/20277/11937/11674/434246/101490/21953/16535/13043/233979/13400/333654/232975/20190/66438/84506/56188/243931/16623/233199/71960/21955/21954/68667/20927/17927/13009/17258/233335/232854/75547/18479/78688/18021/58994/68196/13057/234214/11739/14559/12845/326618/74166/16795/13617/17125/67378/17897/20840/333433/20271/20264/24046/57246/16521/235281/72821/399548/13489/110834/108015/330953/17127/74492/22003/50875/69642/71544/66240/70008/11609/14168/192176/13405/11835	361
GO:0034765	regulation of monoatomic ion transmembrane transport	389/13824	490/28891	1.65054278272638e-47	1.07186248310251e-44	2.45670262607905e-45	15978/74053/237611/12512/432442/14360/94221/15275/11735/69563/215748/15114/16416/70207/110880/12299/54377/18750/19739/16517/16518/26941/14813/19058/17846/70357/16533/108072/16189/16163/246049/11840/56089/193003/68460/57785/16499/14166/18436/94045/11418/20296/75909/12295/217154/217826/12313/12061/68020/11651/22630/30955/11622/66109/14226/18760/238161/238271/238276/15512/23967/238871/20191/15165/11472/13614/75607/13488/26385/56085/93692/26556/14062/19056/16531/105675/83997/12294/12289/69179/12159/19229/19057/20273/68073/16539/239408/110862/11838/12300/18693/53357/58234/105722/223864/16512/110213/14811/75785/14167/13383/12856/13490/11820/15980/246133/16509/209195/16522/16516/12018/114584/224796/83433/57440/20541/225030/18754/12314/225055/16867/30948/13367/140492/16573/11555/83814/225642/246317/68539/12482/14126/13409/240595/19211/14419/27060/29866/80906/14873/225865/11554/66395/12043/170706/13167/269109/71111/381290/12292/12290/11931/240899/12372/98660/16524/16513/24012/19165/21808/16510/226922/433294/329152/57814/64095/16492/56398/12335/56461/19122/18795/12296/14225/20648/18803/59091/16538/17395/16500/241794/13616/18389/12287/14810/11350/13830/12298/16519/170738/20269/110876/20265/20274/53416/228071/23796/241528/18049/19260/56543/16491/16490/242151/99738/68312/229715/108058/109676/19055/19218/22065/102637511/16497/329693/20193/76742/13040/18578/100102/14579/60613/15444/19204/20544/74777/29876/13844/56365/242735/230899/56717/57320/433809/16498/11603/26409/17096/19059/52076/545622/20530/320790/65973/18764/66383/29867/18125/57816/252972/74096/18439/18438/14467/12293/19699/16511/13483/16527/22629/15194/100986/80334/116873/109552/18671/18669/17329/15945/56066/58799/12391/17992/11689/108017/12288/319734/232341/69810/15170/12504/16493/16485/16494/381812/101118/16523/20928/12389/12638/16508/12311/12723/403088/232748/77574/317757/83408/11517/26903/57442/233571/20866/18704/70261/54376/12478/12721/13491/16535/233979/69301/21803/11944/233081/66438/84506/18301/56188/17178/81905/54378/16504/14814/16514/20927/16502/80982/108071/56437/78688/66894/234779/66733/57340/13057/16412/11945/16150/11739/74166/14065/110784/13617/12286/20312/81897/56808/20840/333433/108737/20271/20264/24046/12772/244701/13430/319239/16521/56379/235281/72828/21838/72821/399548/11936/13489/18854/69106/330953/17999/17918/14697/22068/22063/11933/245537/12766/11977/18823/66240/279561/19733/14199/14168/192176/54652/13405/13058	389
