ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030695	GTPase regulator activity	399/16366	429/28407	4.7726614593824e-62	3.07598031057196e-59	7.03339583487932e-60	17168/16476/53322/544963/22324/140580/50779/217692/223435/217869/74334/21844/268970/73910/58996/231874/108903/226652/231207/19735/16443/74563/117600/20469/50778/211673/230784/110279/319934/69993/105855/72238/225358/269608/64214/105689/50780/74760/19414/68339/236915/71302/238130/330914/259302/57257/102098/67016/223754/329727/98402/231532/105841/268706/234094/56508/76117/319939/277360/232227/217835/240168/22084/110596/232906/19731/102442/67046/69601/79566/94176/69632/76089/78514/30938/215632/66691/231801/232237/78808/14270/27414/243621/18582/232201/214804/328967/66725/223666/231821/29815/19387/27387/13667/22411/210293/57915/217944/320634/75974/236920/320292/98910/66790/14569/263406/11857/70785/108067/98710/19159/19739/72536/74002/78255/78618/320127/347722/69710/76954/74030/234353/381605/16413/29809/241308/13196/18220/71704/74694/76088/105445/108911/14682/15357/216439/12549/54610/218397/14784/109934/223864/107566/73341/94190/18795/241694/20563/70497/77980/71729/69780/72318/71810/330662/217325/71310/66096/226970/244668/104252/14020/50768/245666/211914/24012/26382/83409/109689/114713/73205/210789/212285/329260/70296/381112/66251/71085/213649/24056/245886/207592/19417/24001/237422/228355/240057/545156/230098/67894/72754/19419/108699/98366/19730/109270/75547/26934/19157/243362/11856/100855/67865/224014/219140/54324/106952/171207/50907/19261/270163/66508/213522/99326/66656/18186/68813/76123/19415/213783/75415/207212/76795/74206/51791/17207/229877/227377/223254/71544/109294/16897/109905/19395/100088/218581/243780/98732/19418/52850/233071/72121/103724/229898/56715/192786/16800/268739/26431/19158/67425/16801/214137/11855/67903/268480/67792/71435/245638/271981/56533/12663/239027/216859/233046/107746/217715/22325/20403/14469/14697/66687/17925/19765/19734/140500/320560/216363/21838/224617/227801/216963/29875/54153/545481/20166/244548/216445/69440/56349/277854/70719/67231/52666/73167/54645/209354/319899/213027/380711/20663/19889/73728/13605/19347/13998/77038/208869/544817/108686/404710/216805/94221/109904/71972/56784/68016/13645/20334/228359/12662/380698/105835/209815/211922/67299/192236/209773/15463/19732/58175/57785/54126/226089/20662/216991/74055/54189/237782/108995/207227/320484/228482/50753/210933/18015/78816/94254/218460/209478/101489/14163/244654/18545/230972/329877/70727/77669/235633/79264/76484/56692/385263/74018/229541/320435/67839/230837/14567/381085/232089/227800/110351/244867/19737/224045/213990/56032/20401/228850/72542/27054/228998/72325/215821/71709/71824/213498/70314/223332/98845/68576/66628/226407/19893/385354/53972/19386/76131	399
GO:0060589	nucleoside-triphosphatase regulator activity	399/16366	429/28407	4.7726614593824e-62	3.07598031057196e-59	7.03339583487932e-60	17168/16476/53322/544963/22324/140580/50779/217692/223435/217869/74334/21844/268970/73910/58996/231874/108903/226652/231207/19735/16443/74563/117600/20469/50778/211673/230784/110279/319934/69993/105855/72238/225358/269608/64214/105689/50780/74760/19414/68339/236915/71302/238130/330914/259302/57257/102098/67016/223754/329727/98402/231532/105841/268706/234094/56508/76117/319939/277360/232227/217835/240168/22084/110596/232906/19731/102442/67046/69601/79566/94176/69632/76089/78514/30938/215632/66691/231801/232237/78808/14270/27414/243621/18582/232201/214804/328967/66725/223666/231821/29815/19387/27387/13667/22411/210293/57915/217944/320634/75974/236920/320292/98910/66790/14569/263406/11857/70785/108067/98710/19159/19739/72536/74002/78255/78618/320127/347722/69710/76954/74030/234353/381605/16413/29809/241308/13196/18220/71704/74694/76088/105445/108911/14682/15357/216439/12549/54610/218397/14784/109934/223864/107566/73341/94190/18795/241694/20563/70497/77980/71729/69780/72318/71810/330662/217325/71310/66096/226970/244668/104252/14020/50768/245666/211914/24012/26382/83409/109689/114713/73205/210789/212285/329260/70296/381112/66251/71085/213649/24056/245886/207592/19417/24001/237422/228355/240057/545156/230098/67894/72754/19419/108699/98366/19730/109270/75547/26934/19157/243362/11856/100855/67865/224014/219140/54324/106952/171207/50907/19261/270163/66508/213522/99326/66656/18186/68813/76123/19415/213783/75415/207212/76795/74206/51791/17207/229877/227377/223254/71544/109294/16897/109905/19395/100088/218581/243780/98732/19418/52850/233071/72121/103724/229898/56715/192786/16800/268739/26431/19158/67425/16801/214137/11855/67903/268480/67792/71435/245638/271981/56533/12663/239027/216859/233046/107746/217715/22325/20403/14469/14697/66687/17925/19765/19734/140500/320560/216363/21838/224617/227801/216963/29875/54153/545481/20166/244548/216445/69440/56349/277854/70719/67231/52666/73167/54645/209354/319899/213027/380711/20663/19889/73728/13605/19347/13998/77038/208869/544817/108686/404710/216805/94221/109904/71972/56784/68016/13645/20334/228359/12662/380698/105835/209815/211922/67299/192236/209773/15463/19732/58175/57785/54126/226089/20662/216991/74055/54189/237782/108995/207227/320484/228482/50753/210933/18015/78816/94254/218460/209478/101489/14163/244654/18545/230972/329877/70727/77669/235633/79264/76484/56692/385263/74018/229541/320435/67839/230837/14567/381085/232089/227800/110351/244867/19737/224045/213990/56032/20401/228850/72542/27054/228998/72325/215821/71709/71824/213498/70314/223332/98845/68576/66628/226407/19893/385354/53972/19386/76131	399
GO:0061629	RNA polymerase II-specific DNA-binding transcription factor binding	357/16366	382/28407	4.44815547615904e-57	1.91122413625634e-54	4.37011766078783e-55	80280/16476/67238/14462/21416/17260/18708/269389/108655/22761/67278/13435/101700/192197/22059/17684/22378/15902/234959/14582/13982/16909/13560/18024/11865/67154/56381/59024/12606/21423/13017/22591/20602/13654/11461/18035/20466/23871/13016/18600/12490/14255/15251/66894/18018/19017/217410/26443/19664/26416/268903/12912/53380/17261/99311/19411/14121/20671/211329/15982/14281/14472/18129/56438/16600/16478/22629/16543/13207/13819/56637/69790/18996/327987/18193/18741/20848/15258/23872/11632/21343/224829/328572/14886/20893/17128/20375/208727/14245/19183/12317/19014/50868/83602/17127/57316/52639/78656/15260/214855/14460/21848/211770/58231/11863/17978/17258/17126/15110/13001/12953/72199/58198/15370/50911/15213/16825/13009/109689/66959/14465/18751/14816/18124/321000/11545/76260/18012/23942/208908/21781/17344/21388/16842/18227/208266/21386/12952/16969/109108/56736/60595/433759/79362/101206/23989/218772/72512/72569/79221/18736/18627/56399/14461/11864/19822/19255/22062/11518/320165/16392/21428/93760/233904/65102/102774/15163/104263/321006/15205/20186/20846/210719/14836/71769/20687/114142/73680/243910/20779/230673/11835/57376/15364/13198/11886/107765/20747/228980/212391/57259/15507/52668/27223/19645/11622/225182/56404/13163/55927/230753/19015/15502/57752/20683/19130/21412/22259/268980/17979/14725/77632/15184/56642/19016/116870/26922/17300/67773/13813/75613/52690/22337/15375/16871/71492/68776/21804/78926/20684/20997/71890/11909/18933/19281/20184/641340/13712/224111/21349/67378/22200/319594/52028/67381/15289/216154/665596/19712/234594/56070/22260/57751/72504/20851/235459/66354/56406/20181/223499/170826/15361/14084/277744/15182/15904/20807/57246/58805/77006/15183/12914/21678/20185/18572/232286/209456/12578/15468/19090/57436/15378/15525/238803/20182/93759/19013/22762/11746/21869/19359/20591/320795/15214/23957/13388/67655/76804/76365/18148/13211/27217/73845/17927/66233/18740/14897/233908/14884/230025/57320/266692/319182/66200/59036/109113/170930/17977/12042/20586/93761/14228/99982/12387/270627/68879/24068/209200/66993/16798/24075/15108/80285/59030/18171/12929/229906/228790/71990/74132/26380/19697/18091/21389/15511/20674/15499/107392/12608/67685/13433/20592/14463/107932/11792/19716/214384	357
GO:0003712	transcription coregulator activity	442/16366	497/28407	6.37679078954843e-54	2.05492083193198e-51	4.69868795019358e-52	76199/12398/269389/12593/238330/22761/12227/71371/238317/116871/17684/20481/433586/22378/234959/12189/338523/12400/16911/244183/20128/70439/67933/353282/328365/56353/16909/12051/64898/69807/67154/16480/56381/59024/18519/67956/100072/13017/22591/56310/106931/70571/20602/68703/209387/80859/20466/74106/23871/13016/70350/217127/217218/13496/381022/19250/21372/26992/19017/57748/54132/13548/270118/50873/21849/20024/81004/268903/226169/18033/21885/14025/381379/15587/21887/211329/18128/56469/269424/21413/218613/269997/93679/268996/217069/77578/16478/11569/13207/67037/56222/69790/66505/16364/109594/327987/108829/18193/15258/80707/21888/11632/229003/21343/19663/67155/227737/224829/216825/56312/328572/66172/28077/21418/15161/27878/208727/14245/270110/19183/433693/74490/19014/57316/14173/107566/78656/14055/18673/59035/214855/223701/21848/69656/17978/329650/231986/18854/80292/69097/81601/224440/72199/225895/12443/58521/22601/16825/109689/56790/277250/18751/268448/12395/59022/244349/21886/81489/320595/244579/114606/23942/22195/320705/208908/17344/208266/109108/19383/76681/12705/97064/18746/60595/433759/79362/101206/58172/23989/75796/79221/104625/211323/22057/18627/67219/109331/12261/22416/70427/80288/70625/547253/15951/320165/17829/107321/219249/667823/56273/104263/94275/67788/109711/21411/29806/217864/64899/219103/77630/58206/30841/22088/71175/319236/68196/66935/13549/13806/14056/98415/15364/56233/11886/12396/66464/107765/17937/67151/212391/212085/57259/234388/72475/20933/68729/27223/11472/54343/320376/381695/625480/225182/56404/13163/22286/26901/216874/230753/66597/69792/70673/15257/14200/17936/14815/239719/102162/30941/17979/103806/14201/15184/71458/666528/19016/69809/319601/116870/26885/67773/19720/109593/272359/52690/54169/57441/68776/21804/50724/83797/104721/18676/67500/57741/19777/216820/214742/27374/67040/641340/67673/13712/108098/74735/93686/13176/18985/66213/100502940/18983/100683/67381/94112/15289/216154/211652/78921/230085/30937/56070/109115/225876/56856/12180/18103/382206/72895/28019/66354/228775/56406/231151/170826/107182/15361/668166/69642/212163/67279/14534/67014/12607/15183/75605/12914/52915/13498/20185/57261/23947/671535/14030/232286/320271/67057/15468/67525/104383/101739/231051/15259/238803/20182/93759/22762/214158/269881/21869/320795/16475/23957/17938/386655/76804/68050/72693/18148/13211/56309/244879/69188/54650/98403/66233/229615/72462/17257/51810/66855/24105/68975/67488/233908/382252/208146/72065/12848/57320/224613/101604/320713/17152/229534/17977/12042/13436/20586/99982/12387/22773/68879/24068/20821/66993/75329/26754/72057/233902/102638837/71148/74112/80285/74716/81000/20467/15191/60533/69090/192191/50701/228790/71990/26896/21665/60406/13180/269966/20220/97165/11797/385312/233893/14797/18432/434156/67224/107932/56361/11792/76022/214384	442
GO:0003779	actin binding	403/16366	448/28407	2.26849929162938e-52	5.84819117382053e-50	1.33722063506574e-50	55991/215114/18826/544963/217692/231830/14260/12767/20739/13829/20533/269587/20742/100169/23790/12296/13367/72041/19230/17909/13821/21916/19241/27361/20741/17912/11565/17910/229474/14457/16412/286940/257632/56226/56376/100503085/225115/58234/74103/242687/11867/21346/212073/54004/668940/77767/71409/399591/18754/57748/18810/217125/54132/11519/13548/17897/50873/56419/72042/320878/54366/56443/66725/22003/22288/57778/22323/78885/238328/20617/22379/102866/76709/194401/30948/74117/76448/226251/104027/263406/17916/20198/17698/211401/231637/13823/11749/19240/77579/11426/171580/22629/215280/19200/231148/63986/245049/503844/13860/107684/17755/226841/228421/667663/71994/93688/26365/22330/17886/76467/65970/18301/22350/216961/14453/75646/76580/17920/75477/72333/13518/22068/20649/77113/17913/68743/226594/319876/18175/360013/319565/338367/18016/94190/208943/20430/27428/29856/223701/17919/237891/21954/237436/26936/17118/17996/12331/99662/66898/217124/320502/170736/215789/68166/56378/13009/14083/667772/12631/12332/237860/244281/21894/13043/225288/54483/17756/13803/246177/26557/66713/20538/53318/102502/110253/70292/66196/231646/59003/14086/71602/74189/64009/60595/68524/64099/68142/14026/20259/326618/76612/13169/434204/22388/224014/107589/109624/21953/12343/270163/54418/14525/217169/13800/16531/11518/21961/218194/329421/80889/15163/223513/213019/67252/109711/16796/228545/208431/338355/16351/70549/69538/66747/208846/242894/13822/234686/218699/12808/12385/15567/216033/238276/23999/73178/17896/67425/241431/69693/17918/12570/67903/268534/27360/100034363/68802/22437/52589/17356/12721/26367/20276/12345/11472/243725/58800/14469/17925/227753/118449/270058/67771/12774/239719/22138/68810/63873/67803/13138/14201/63985/29875/71960/52690/78926/59069/94040/67399/70599/192176/50875/29816/74192/11752/69310/69312/11727/11838/20650/74376/108686/328019/404710/18127/230872/235431/13649/14473/11350/12569/22376/20743/18693/77569/14623/72565/17357/17921/80743/114774/56320/71653/75454/21952/14248/68089/241639/17754/319713/59006/18645/56431/76499/12340/110380/16332/69697/15444/22349/78906/23789/544791/226541/668894/68760/213556/16475/320712/219033/17883/72296/666244/57342/244654/14300/640524/11514/51810/231003/16985/16210/208076/22351/14468/18126/13405/22157/18643/12632/30794/12344/12386/22067/56370/11731/171531/237560/234857/93677/11474/245880/108897/232533/80297/19684/15191/17906/20648/230917/330938/233199/170947/66999/227357/17880/68767/238021/18457/13419/66822/17922/71774/74492/68794/13726/70997/98845/22004/140781/12798/11421/268709/59011	403
GO:0005543	phospholipid binding	429/16366	492/28407	4.95639680713406e-47	1.0647992473993e-44	2.43472123859217e-45	215114/544963/54670/21844/27260/69178/72789/53413/269587/20742/58994/382083/192197/71943/69024/319934/19230/11772/74772/17909/74479/13854/228765/71302/330914/69368/17912/18805/16518/225861/19771/18783/71795/16438/21664/14218/20324/277360/225115/58240/93742/13132/16439/237542/13026/71607/271221/15239/11818/232906/246256/69601/235283/209131/76089/16535/329015/72287/20778/74478/53378/381269/23970/74741/217303/22318/217695/244962/231821/13855/56486/20617/17304/16449/252972/30948/72145/329324/66616/70785/19159/93739/211401/218038/56356/11749/233489/74002/14432/78618/20544/347722/69710/18739/240058/11736/207278/71801/11303/218503/26424/76561/17755/74781/216705/13196/229593/26365/228071/69482/71982/12492/54636/76722/56440/22158/382018/170755/435626/69226/19156/17913/226594/71835/100017/238055/69150/52639/94190/20980/18795/74143/55925/19063/16558/72345/80751/109135/17118/170625/102607/226778/67443/54198/26382/18979/70381/114713/12631/97998/12332/18951/17969/212285/268448/329260/225471/76303/16952/21894/14389/246177/18704/74412/83435/56379/66895/383075/64652/231834/214763/19419/79196/71602/18738/83671/15481/26934/20259/12306/18759/228812/16440/72569/227449/216238/106952/260302/14731/19204/11745/14456/386649/99889/54396/668218/54722/17972/17207/268396/20844/101706/26377/246746/211978/226101/66871/22334/74718/319508/16510/69787/76080/54524/319924/233071/17846/11747/666173/15165/69028/14058/217463/64011/218699/14066/72125/192786/66696/14738/13131/28006/105298/216190/70160/23999/211383/545192/74438/142682/11744/56305/26367/11472/27226/244882/227753/27359/226971/14745/69260/21838/227801/74486/227743/11750/14719/108909/102058/26903/69146/19894/69217/12229/77407/74020/16069/14159/29875/18705/23943/11687/54153/66629/236899/11816/50500/52635/50724/272636/15944/216445/18559/216810/21968/66592/114128/16145/66840/234695/29816/234577/26362/72823/20979/11752/18806/70568/66700/18796/73728/72993/279706/106039/21825/56324/108686/15289/14073/11806/11651/26875/238266/380698/54525/76742/110058/107338/320119/171283/17772/18830/18781/18693/22333/55988/101113/83433/68018/22113/333605/12751/67804/14248/216991/27062/22249/231602/18645/233979/231125/19374/104601/71893/57436/16332/13139/68099/228983/227231/18784/22349/207495/65086/69940/11746/72183/66113/19679/18015/211429/546134/208898/236643/347708/218441/60510/244654/20983/18148/107831/17195/108155/74105/26970/18799/216799/79264/329502/269224/193003/22351/18416/22157/266692/18643/230597/14369/102141/13447/18780/76559/235406/72008/100502698/171284/18618/231134/54526/27008/23969/26359/26565/20981/80976/24057/236781/105243/71911/78134/230163/171180/20616/66734/193034/12684/17194/434246/116939/11808/83492/53420/26423/68953/18226/56520/27280/14786/59091	429
GO:0042578	phosphoric ester hydrolase activity	319/16366	350/28407	1.07593817344218e-44	1.98126329366709e-42	4.53026599344074e-43	16331/74776/67603/68440/237928/433022/224860/19252/11928/19271/234779/11431/235584/103199/19054/58994/14050/19264/23959/229776/234515/243382/238871/18587/19053/16329/78600/225651/107569/18805/64898/66513/19267/53892/18578/19259/241489/319468/13537/319939/19248/24000/18583/14048/72828/19266/14683/19280/74302/18798/319801/19042/76429/170749/72469/227120/76952/19012/19250/19272/66763/270198/18218/67916/18582/67857/170768/17931/435391/54611/23984/14049/57319/11647/105352/240672/14121/19260/320634/19023/20975/16330/103466/242291/12350/212111/231637/19211/403178/54384/226849/63953/67905/12768/19062/17330/15170/110854/114663/79560/19055/19052/21770/12531/98432/545622/319638/19244/19249/19245/12457/19246/244650/14682/18605/19247/103850/14245/19045/19046/56318/19274/104015/319520/18795/76987/69692/244416/67446/20304/18575/228966/19060/11650/242083/19043/77015/14120/19279/12532/18979/225600/14083/18803/66959/56045/207728/237860/70686/18807/15368/27389/235534/19263/104759/68616/233552/320981/83493/64436/77626/68082/66659/209558/14208/19255/19276/227721/19253/320717/21961/235044/19268/229791/18588/237523/100678/20598/18576/66408/242202/64899/269437/67444/74182/19277/218294/18584/19262/382051/24018/381511/69274/29863/269180/68401/72519/50773/18574/100340/272031/18640/52468/66569/14672/97287/72391/101490/19056/240892/19270/50784/227292/27355/73419/219135/56420/67881/68606/19256/19281/14688/13850/238011/66358/72685/16818/19047/81535/18806/12530/18796/56209/72102/545902/73373/233537/14377/18577/72349/19275/218232/17772/18573/13924/77116/269614/66525/53412/53332/70881/71584/75454/18606/110855/68991/18639/74055/19058/230718/71910/16332/18797/269615/13853/434233/19283/18585/19057/70567/76768/59047/19258/67655/194908/14051/66461/73547/14378/18799/75590/110385/330554/104831/75769/14756/51792/140491/71887/20597/242864/56734/105651/320139/19273/11432/218461/234129/75219/56405/72542/170835/223978/320472/68695/56294/23827/329506/269823/110332/209039/11792/70021/237178/67870/104884/80915/68106/100503915	319
GO:0004674	protein serine/threonine kinase activity	386/16366	441/28407	2.582674318074e-43	4.16133399499674e-41	9.51511590869369e-42	18712/223435/140859/74769/15467/108058/264064/69922/53859/102414/19108/110279/214230/56274/19229/13143/13631/20869/12571/102626/18647/57740/55984/665113/230809/16202/18761/72113/69181/12445/70584/20868/18604/108099/65964/233328/225638/17347/59041/19079/74137/18754/29857/26385/237459/13548/26407/20111/69847/16150/22625/51789/26416/69635/18607/22367/66725/68961/233020/26399/140780/98267/17346/110355/381836/53416/59126/70661/108737/192656/26408/16885/26410/26411/17691/56637/18479/18557/72149/667663/338372/15258/71481/223255/14773/77976/225028/17164/674895/11481/269774/101568/207565/20817/16706/223775/14772/17165/13728/18755/21813/12325/78334/18750/330177/18099/236900/170755/232341/18747/11482/50523/18005/70415/74178/26921/23954/20877/18753/20620/11836/228012/19091/67333/58231/53608/231876/17776/17279/12675/73086/56480/13001/213435/216965/226778/12704/80752/381921/23797/399510/20963/18751/75607/26396/269275/19878/30955/18762/12545/545156/11480/546071/26403/71091/69131/245269/244631/227541/333050/20393/18746/20112/13400/73914/266632/18759/320129/21814/107589/21969/11920/26406/26401/27373/16886/11477/110651/381983/23938/117229/20872/12322/26409/329421/17451/328329/110157/11790/70762/381113/50772/192292/213452/321006/11302/234854/12361/105787/12748/20623/13175/226751/26413/18706/224105/26405/13549/241113/75770/22241/13805/233789/53886/69562/226419/69681/18481/104175/56532/12750/58800/27219/12168/66878/53415/18749/26417/230661/15257/215303/245038/12236/235344/228785/22138/66042/26559/11479/29869/12167/104318/70425/234878/228026/116904/59125/26412/26404/75669/12235/19106/12166/238564/26420/14841/76367/26419/108079/70568/71340/12323/26398/52033/26415/50932/21812/19134/213084/225724/12265/11651/109333/18817/231580/271697/380698/18103/11652/240505/320119/66587/217718/106504/101320/52163/109880/12534/19094/17169/68943/105278/26397/23955/57261/18715/19877/19082/212225/72388/19090/228550/107951/329509/15259/56542/330721/13000/16589/382253/24086/26448/20874/58988/269881/71751/320795/217866/27206/14312/20815/93687/12566/279561/18752/16179/50883/57869/269224/75292/214897/18555/279029/245000/606496/12326/268930/71742/108097/67071/435766/17152/27214/232944/27103/270672/106763/13666/270627/19092/22137/209012/18004/12747/12567/23939/16798/56527/101540/20873/56717/67121/232533/12995/78943/56489/223649/12041/12649/93843/77485/24013/208583/66671/26400/18711/12568/26918/18760/67045/225997/12795/12454/12572/332110/381835	386
GO:0016755	aminoacyltransferase activity	409/16366	473/28407	7.14091149852136e-43	1.02273721351045e-40	2.33854411647483e-41	22214/13828/65247/238330/71816/21817/216781/101700/54484/75841/66949/66589/234959/12189/105689/22193/22034/218793/244183/68867/23887/20128/384309/20834/56791/51813/328365/105239/381485/69807/76901/59024/66854/217342/74126/170737/11798/214854/320253/30945/209387/13654/76073/19824/218203/69104/71779/94093/71861/207215/65256/67338/76952/12234/50754/67030/66894/50849/207521/50873/66743/331046/21849/99375/224703/66381/67150/208650/100502936/224619/72925/94088/56469/108089/268291/80985/16924/93679/74145/56438/217069/21927/74153/67196/233877/83814/54197/69790/74176/56424/329152/66510/68612/73469/108086/66172/28077/70790/76580/22030/387524/208727/68718/672511/80794/84585/56550/19014/330812/14598/78889/93834/12540/50789/50762/103213/21848/22031/19823/67490/67921/73998/209462/67345/80751/17999/223455/103583/18854/28105/69097/19647/207304/106052/55983/381338/230904/24017/94090/21929/74365/192120/26965/216860/54483/71007/59009/22195/240354/68477/22194/75788/72486/70238/17344/59003/76892/76681/21818/56736/50760/225055/207182/67664/67615/213753/23989/269695/380918/66795/117146/67219/109331/26401/20439/12418/19822/225164/58186/381534/26374/216080/68497/18744/217340/67128/70536/242521/667823/17248/65255/75234/74287/22036/338364/19302/59026/67711/228545/320311/244421/237353/59044/76072/213211/20438/72137/407821/68098/56715/23806/319236/71673/11796/215919/22210/22652/19821/21816/14339/240396/81003/140630/319817/55992/70928/212085/207742/68729/68795/19820/69116/22196/212114/22670/230903/100763/671564/80890/232539/67138/66597/69792/17246/17237/381305/105193/101358/22222/22213/226098/224938/26554/74264/66825/71458/668173/20585/94089/19720/272359/76980/67245/234736/28000/12402/108660/218215/211007/67702/67588/70093/18140/63958/22192/76843/108098/74735/269016/66213/66313/15204/433766/94094/242785/29864/94091/71991/70392/328234/66799/240055/93765/102632837/57751/241636/76608/233038/58230/74198/77891/67610/66089/386611/330171/23807/81018/225743/233040/212163/67279/93836/224826/70294/231600/381270/23802/22129/71865/52915/268281/69587/74164/11799/66889/12021/12578/140887/67525/53323/217558/18011/229644/109161/12211/66053/214158/226541/20437/16396/21402/68031/77853/211147/216150/109910/20610/98403/229615/108937/24105/68501/68975/14897/11907/636931/78913/109113/56515/70348/386454/170930/107568/56631/270627/209200/20821/381845/103737/27385/268470/231672/19373/22671/268933/22209/77772/216438/224170/79263/70797/22644/74132/100040608/140499/67845/234329/239083/72399/666747/53621/622117/434246/11797/67841/195018/71522/66155/67027/240518/74165/193670/19893/68350/14357/217333/66105/19386/70208	409
GO:0015631	tubulin binding	344/16366	387/28407	4.39951106979871e-42	4.72580814080878e-40	1.08058166626635e-40	237711/74334/17245/21844/223723/14260/108903/19735/72416/192197/244071/68339/233276/77521/229474/17318/18578/74410/381933/16581/72972/14683/14360/229841/76071/18294/19017/57748/232987/13548/50873/12626/50525/66725/56486/20617/381293/102103/56350/13430/16553/67269/19122/233406/83431/11426/17096/269713/28193/71877/18479/243371/17755/320982/226841/228421/71994/67166/52570/170833/74393/219072/380842/22350/14453/212307/70218/74711/73094/108911/16970/16565/269954/13518/213582/76478/16765/26921/16560/328660/13205/22253/66140/74143/240641/16558/12589/237891/227634/68519/17776/13006/237436/12125/103583/19060/28105/68121/320244/320159/216965/67443/30960/108907/16559/20866/74281/68475/269152/73804/668880/70892/17758/328108/100502766/320234/71007/17756/17762/72726/16554/260315/104943/16580/78798/64652/20538/18080/14609/319675/17858/68142/74081/13426/26934/16573/29870/104346/434204/406217/19888/218977/74187/66146/54418/13589/319991/51791/69281/102774/56273/329366/78785/101706/110033/70762/16574/14595/67809/51944/22680/219103/109242/15505/16570/14433/67886/67629/56491/53869/72549/75050/16800/52055/381110/27050/75786/237222/66711/66411/71819/109359/52589/54141/103967/17988/214444/72425/270058/19364/73420/73873/14168/383592/66302/100503311/104069/18472/26903/63873/239667/13193/56742/13138/216963/14159/72205/70430/286942/72948/11789/231912/20744/56724/16568/13191/78926/52250/320923/236266/272589/360213/50875/16569/69310/381350/69312/218035/73689/16582/72993/16571/12465/103268/68617/108686/70737/16551/58251/78317/76707/18817/14272/29877/51885/110957/66468/73412/67534/110012/14623/319953/107503/99412/16593/12301/54126/209737/74360/328580/15194/23947/70998/71878/16564/16552/11799/17754/70681/56430/225898/235626/21749/21371/76499/320256/319613/69697/66884/67694/74019/56471/100504234/74004/12391/67971/23805/78933/18015/12190/69216/16561/74006/20262/319670/79264/50850/105000/75811/11640/16576/382010/232933/13429/69987/232944/16572/20257/22327/171531/64383/23924/16578/73470/232943/56527/56330/259279/208158/17997/100764/15191/17760/16562/74895/330938/18970/56398/13494/16563/235180/68767/66734/14265/382913/14632/231807/73721/13726/100732/70997/237930/18102/227736	344
