ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030492	hemoglobin binding	4/402	13/28407	2.55337681013996e-05	0.011664893170052	0.00959981638875093	15129/15135/101488143/20533	4
GO:0097371	MDM2/MDM4 family protein binding	4/402	14/28407	3.53481611213697e-05	0.011664893170052	0.00959981638875093	80280/12048/22059/19192	4
GO:0051721	protein phosphatase 2A binding	5/402	38/28407	0.000189190483689571	0.0274522401820536	0.0225922742168097	20698/94186/11555/22059/52065	5
GO:0046943	carboxylic acid transmembrane transporter activity	10/402	174/28407	0.000198541228271862	0.0274522401820536	0.0225922742168097	14664/20539/20501/30805/20514/80879/20522/70026/229517/17254	10
GO:0005342	organic acid transmembrane transporter activity	10/402	175/28407	0.000207971516530709	0.0274522401820536	0.0225922742168097	14664/20539/20501/30805/20514/80879/20522/70026/229517/17254	10
GO:0030506	ankyrin binding	4/402	23/28407	0.000282707659370362	0.02772103455913	0.022813482986461	11928/20533/67300/20741	4
GO:0015171	amino acid transmembrane transporter activity	7/402	90/28407	0.000294010972596833	0.02772103455913	0.022813482986461	14664/20539/30805/20514/70026/229517/17254	7
GO:0030695	GTPase regulator activity	16/402	429/28407	0.000456929995318134	0.0310394840122239	0.0255444557421172	17168/544963/140580/50779/217869/74334/58996/231874/108903/74563/20469/230784/225358/269608/74760/68339	16
GO:0060589	nucleoside-triphosphatase regulator activity	16/402	429/28407	0.000456929995318134	0.0310394840122239	0.0255444557421172	17168/544963/140580/50779/217869/74334/58996/231874/108903/74563/20469/230784/225358/269608/74760/68339	16
GO:0005516	calmodulin binding	10/402	195/28407	0.000491980148562342	0.0310394840122239	0.0255444557421172	20698/544963/94186/18708/269587/16534/12286/13143/13631/67808	10
GO:0042578	phosphoric ester hydrolase activity	14/402	350/28407	0.000517324733537064	0.0310394840122239	0.0255444557421172	16331/237928/224860/19252/11928/19271/11431/235584/103199/14050/229776/238871/225651/107569	14
GO:0031720	haptoglobin binding	3/402	13/28407	0.000723954508474907	0.0398174979661199	0.0327684672257063	15129/15135/101488143	3
GO:0005344	oxygen carrier activity	3/402	14/28407	0.000911756239571324	0.0412354159895164	0.0339353662688843	15129/15135/101488143	3
GO:0047372	acylglycerol lipase activity	3/402	14/28407	0.000911756239571324	0.0412354159895164	0.0339353662688843	23945/15450/193742	3
GO:0008514	organic anion transmembrane transporter activity	11/402	250/28407	0.000937168545216282	0.0412354159895164	0.0339353662688843	14664/20539/20501/30805/20514/80879/20533/20522/70026/229517/17254	11
