ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030695	GTPase regulator activity	34/443	429/28407	1.06194908769395e-14	3.4407150441284e-12	2.91197618257131e-12	16476/53322/22324/217692/223435/21844/268970/73910/226652/231207/19735/16443/117600/50778/211673/110279/319934/69993/105855/72238/64214/105689/50780/19414/236915/71302/238130/330914/259302/57257/102098/67016/223754/98402	34
GO:0060589	nucleoside-triphosphatase regulator activity	34/443	429/28407	1.06194908769395e-14	3.4407150441284e-12	2.91197618257131e-12	16476/53322/22324/217692/223435/21844/268970/73910/226652/231207/19735/16443/117600/50778/211673/110279/319934/69993/105855/72238/64214/105689/50780/19414/236915/71302/238130/330914/259302/57257/102098/67016/223754/98402	34
GO:0005096	GTPase activator activity	21/443	238/28407	2.01663979225916e-10	4.35594195127979e-08	3.68655905883166e-08	16476/217692/268970/73910/226652/19735/117600/50778/110279/69993/105855/72238/64214/50780/19414/71302/238130/330914/259302/67016/223754	21
GO:0005085	guanyl-nucleotide exchange factor activity	13/443	201/28407	1.80684968837132e-05	0.00292709649516154	0.0024772860201091	53322/22324/223435/21844/16443/211673/110279/319934/105689/236915/238130/57257/102098	13
GO:0042578	phosphoric ester hydrolase activity	17/443	350/28407	4.14011367569065e-05	0.00536558732369509	0.00454105100007333	74776/67603/68440/433022/234779/19054/58994/19264/23959/234515/243382/18587/19053/16329/78600/18805/19267	17
GO:0003713	transcription coactivator activity	14/443	265/28407	8.0562706505648e-05	0.00870077230260999	0.00736371405077941	269389/116871/17684/433586/234959/12400/244183/20128/67933/328365/12051/69807/67154/16480	14
GO:0005543	phospholipid binding	20/443	492/28407	0.000107638964056486	0.00897412630139179	0.00759506140842288	215114/54670/21844/69178/20742/58994/319934/19230/74772/17909/13854/228765/71302/72789/330914/69368/17912/18805/16518/19771	20
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	16/443	343/28407	0.000110791682733232	0.00897412630139179	0.00759506140842288	16476/12916/22654/16978/14462/104348/108168395/108655/14581/330463/20481/14011/16597/11906/233987/15242	16
GO:0001217	DNA-binding transcription repressor activity	16/443	349/28407	0.000135193937986946	0.0097339635350601	0.00823813353113436	16476/12916/22654/16978/14462/104348/108168395/108655/14581/330463/20481/14011/16597/11906/233987/15242	16
GO:1990782	protein tyrosine kinase binding	9/443	128/28407	0.000186823075085136	0.0121061352655168	0.0102457707494059	21844/320664/234779/22352/238130/16480/18708/17974/16412	9
GO:0016208	AMP binding	4/443	20/28407	0.000231884320014328	0.0128409604052231	0.0108676744170261	71870/68738/432442/239283	4
GO:0035091	phosphatidylinositol binding	14/443	294/28407	0.000237795563059687	0.0128409604052231	0.0108676744170261	215114/69178/319934/19230/74772/17909/228765/72789/330914/69368/17912/18805/16518/19771	14
GO:1901981	phosphatidylinositol phosphate binding	11/443	199/28407	0.000312821810415061	0.0148359549652149	0.0125560957389165	215114/69178/19230/74772/17909/228765/72789/330914/17912/16518/19771	11
GO:0071837	HMG box domain binding	4/443	22/28407	0.000341566588968156	0.0148359549652149	0.0125560957389165	16476/14462/17260/15242	4
GO:0003712	transcription coregulator activity	19/443	497/28407	0.000343424883454049	0.0148359549652149	0.0125560957389165	269389/116871/17684/20481/433586/234959/12400/16911/244183/20128/67933/353282/328365/56353/12051/69807/67154/16480/56381	19
GO:0061629	RNA polymerase II-specific DNA-binding transcription factor binding	16/443	382/28407	0.000371683142170904	0.0150531672579216	0.0127399287546738	16476/14462/17260/269389/108655/13435/101700/17684/15902/234959/13982/18024/11865/67154/18708/56381	16
GO:0042285	xylosyltransferase activity	3/443	11/28407	0.000566272182493612	0.0206963815075722	0.0175159434136535	16795/216395/72050	3
GO:1902936	phosphatidylinositol bisphosphate binding	8/443	120/28407	0.000602682151570009	0.0206963815075722	0.0175159434136535	215114/69178/19230/74772/228765/17912/16518/19771	8
GO:0008514	organic anion transmembrane transporter activity	12/443	250/28407	0.000606838346672641	0.0206963815075722	0.0175159434136535	11987/328059/54403/108115/103098/320106/171405/21366/27405/20512/26457/20527	12
GO:0051015	actin filament binding	11/443	219/28407	0.000698755643484186	0.0226396828488876	0.0191606152765927	55991/215114/217692/20742/12296/19230/17909/17912/11565/14457/286940	11
GO:0044325	transmembrane transporter binding	9/443	169/28407	0.00140072530729909	0.0432223809109434	0.0365803451179362	55991/108058/13367/15902/16498/13854/19053/20541/20405	9
GO:0019902	phosphatase binding	11/443	243/28407	0.00161743722574832	0.0476408782856777	0.0403198466322906	13032/13003/17295/319934/22352/16579/69556/20405/16480/18708/14600	11
