ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-MMU-9012999	RHO GTPase cycle	373/7168	395/8582	1.64144770525235e-11	1.83349708676688e-08	1.54296084293721e-08	544963/22324/11852/223435/18708/268970/73910/58996/75089/226652/67300/20742/16443/260409/69922/117600/70804/13367/110279/69993/105855/22352/214230/19230/225358/269608/19229/236915/71302/238130/330914/259302/57257/102098/16480/26891/17974/16412/56381/231532/241275/234094/76117/277360/70598/13830/242687/23912/11461/54004/15239/110596/232906/70584/20868/70350/327826/94176/78514/11465/71409/22042/232237/66894/12389/14270/328232/20355/58909/226525/195727/12988/16709/232201/56419/214804/57778/223666/22379/16449/381293/68653/210293/320634/75974/236920/11308/244418/263406/11857/106628/21873/17970/21927/233489/72536/69288/69710/71228/11736/54216/229658/214345/233877/13171/51796/68349/71704/18221/21763/22637/23853/76088/19249/66087/330177/17920/216197/13518/228543/12549/68743/18844/14784/56699/109934/227937/67586/66922/74201/73341/94190/12540/140579/53382/20430/68146/237038/70497/74194/22143/14269/330662/66898/269523/19647/12704/104252/50768/26382/104215/17969/50884/19353/207425/66251/71085/19878/76884/213649/59009/24001/545156/230098/64652/19299/26403/20619/72754/14609/108699/68428/75547/26934/326618/243362/11856/54411/434204/224014/16906/219140/54324/106952/109331/270163/66508/66146/20947/213522/208994/386649/76577/68813/76626/75415/207212/17973/17972/75409/20844/329366/227377/223254/71544/98386/66871/109711/109294/218581/77480/242202/19418/233071/226751/223881/208846/18710/18706/268301/224105/16800/108670/26431/53817/16801/214137/11855/105782/59079/22319/71435/27360/18481/239027/246710/107746/67784/12345/211499/93840/68917/69581/17063/170791/329165/68202/22325/11853/19354/13057/19765/74734/11858/83397/13836/75739/56374/233103/216963/26554/15519/29875/23943/19349/320557/545481/20166/59069/216445/52428/56349/50875/70719/68187/52666/73167/109620/16818/210998/319899/18806/12709/20663/71782/13605/56212/244895/544817/56324/108686/104445/404710/13058/94221/109904/71972/56784/109333/228359/52331/101314/12461/14787/15381/106504/53332/99412/14674/72565/208263/83669/80837/54126/18709/77006/108100/20662/101565/19877/71893/238505/11848/224480/386750/207495/20874/228482/622434/11671/76983/320795/12539/78816/217866/19285/14163/223870/58220/230972/15369/105827/76763/269061/84004/12848/108037/74018/69668/20257/56418/70361/245880/244867/12468/11854/20401/235611/19655/14251/20462/12638/22284/13511/71703/213498/13726/269682/170758/14786/53972/74159/27061	373
R-MMU-9675108	Nervous system development	241/7168	250/8582	9.10258328913162e-11	2.95000381321154e-08	2.48254573358894e-08	20452/11852/223435/18708/74769/12767/20739/67300/20742/53857/16443/19264/11772/13838/54712/65254/57257/11876/11771/17974/16412/19699/18707/58234/13841/18761/11867/11461/11733/13640/14360/110596/232906/12831/327826/11465/13641/29857/53378/26416/56443/12912/623279/22323/20416/214968/76709/22145/74117/13430/17698/13845/22177/16885/14432/17096/16410/15529/20354/17390/56637/12934/13848/13642/13508/67951/22146/22350/18750/18747/19247/58194/18844/218397/57764/14784/22359/12540/20563/22143/330662/13449/73086/13001/18717/16416/22186/56378/12826/14083/15461/18803/208117/19353/21894/26396/19878/66713/104099/545156/17395/545486/12833/12824/18845/14026/14585/16402/18186/78294/13800/17973/243743/14388/227377/18222/22153/114255/14783/19713/13844/223881/20450/18710/26413/19165/14182/18706/224105/270190/20779/13131/19262/14586/20315/20564/18481/67784/103967/22240/22325/11853/12517/18749/26417/67771/73710/215798/22151/13836/11773/13138/216963/14159/15519/384783/20346/12827/22142/269116/14812/67399/19876/170822/26419/13176/76829/16571/26415/18188/14810/13649/14733/11350/107448/26394/12569/14588/20743/22612/20351/226548/227613/12839/83433/19094/54126/18709/53867/17967/20361/20404/68089/20662/16653/19877/71770/18645/11848/56705/13000/18846/22152/20130/665033/12933/22187/140571/22190/13636/13429/18643/13639/13448/14587/14573/20418/110351/12825/12832/23939/22147/12995/80297/19684/235611/232910/16399/13638/12841/13842/12568/20349/13637/213498/12834/22144/13846/14786/230735/53972	241
R-MMU-9006934	Signaling by Receptor Tyrosine Kinases	376/7168	400/8582	9.61961512917211e-11	2.95000381321154e-08	2.48254573358894e-08	67603/15235/20698/13859/22324/140580/74334/18708/16206/74769/75778/19271/67300/235584/13367/105855/11772/19229/13854/15234/19053/13982/57257/20405/20459/214058/73699/71436/11771/16480/17974/16412/12928/102626/16398/56716/319939/19248/14254/225326/242687/24063/13654/114716/11461/15239/215449/14360/116701/12831/327826/14255/11465/14158/19272/21682/12389/18754/11975/29857/16001/20111/12988/16337/20020/13033/26416/18607/12912/20416/17346/14425/24064/16590/11908/94212/114715/14256/11308/11972/12064/17970/20750/399558/17096/16410/16542/15170/17444/20848/19052/80707/56424/545622/18187/18596/17164/114143/101568/54635/328572/19246/18750/18747/19247/58194/242341/218397/14784/11974/18753/12562/16452/14173/319520/12540/140579/20430/15451/17999/330662/73086/54426/22341/19303/16416/81897/22186/18591/23797/14164/22601/12826/14083/15461/12223/18803/17969/18751/50884/208117/19353/26396/19878/76884/18762/14177/66420/17395/12833/16367/12824/20393/20112/19730/109270/433759/21814/54411/211323/18815/17179/17311/21871/260302/76890/16000/110651/18186/217169/78294/19255/17973/17972/19253/12388/14388/19268/20844/22339/14783/11845/109905/18576/77480/12315/11984/11682/18710/26413/19165/14182/18706/224105/20779/12385/373864/84092/17937/67903/59079/396184/18481/15507/107746/17242/20852/329165/19341/22325/13057/27060/23921/227290/18749/26417/338375/18654/11964/227743/80857/18595/74915/14186/16775/18550/14180/11773/140494/20021/14159/15519/384783/12314/13869/18791/18590/230126/12927/16923/71785/75669/12827/12402/18553/12313/11966/19205/67588/26362/16818/13858/14181/21826/26415/18212/21828/56324/13058/231329/66237/14172/78757/18127/13649/75717/18213/11651/11973/13645/66335/72349/11652/101314/20851/12843/228775/224116/20408/22612/11839/226548/12839/109880/20733/66290/72514/15182/19242/64654/20807/19094/54126/18709/15183/53867/14183/108100/20404/71355/20662/16653/80903/19877/21802/98053/18552/71770/54401/11848/14175/19283/56705/76252/12539/16396/71920/14170/69241/19342/665033/71520/108664/18183/22187/14257/14268/14179/22190/15200/51792/12842/68705/107568/12387/20732/20418/17749/12825/14178/245880/110935/12832/12814/23939/19273/16591/69833/56717/14165/12815/73834/17228/18211/232910/12929/68775/433702/12649/14205/12841/18049/67710/66144/14176/16400/15382/12834/69920/107932/13867/16334/27371/19882/14786/16002	376
R-MMU-422475	Axon guidance	240/7168	249/8582	1.05640243982508e-10	2.95000381321154e-08	2.48254573358894e-08	20452/11852/223435/18708/74769/12767/20739/67300/20742/53857/16443/19264/11772/13838/54712/65254/57257/11876/11771/17974/16412/19699/18707/58234/13841/18761/11867/11461/11733/13640/14360/110596/232906/12831/327826/11465/13641/29857/53378/26416/56443/12912/623279/22323/20416/214968/76709/22145/74117/13430/17698/13845/22177/16885/14432/17096/16410/15529/20354/17390/56637/12934/13848/13642/13508/67951/22146/22350/18750/18747/19247/58194/18844/218397/57764/14784/22359/12540/20563/22143/330662/13449/73086/13001/18717/16416/22186/56378/12826/14083/15461/18803/208117/19353/21894/26396/19878/66713/104099/545156/17395/545486/12833/12824/18845/14026/14585/16402/18186/78294/13800/17973/243743/14388/227377/18222/22153/114255/14783/19713/13844/223881/20450/18710/26413/19165/14182/18706/224105/270190/20779/13131/19262/14586/20315/20564/18481/67784/103967/22240/22325/11853/12517/18749/26417/67771/73710/22151/13836/11773/13138/216963/14159/15519/384783/20346/12827/22142/269116/14812/67399/19876/170822/26419/13176/76829/16571/26415/18188/14810/13649/14733/11350/107448/26394/12569/14588/20743/22612/20351/226548/227613/12839/83433/19094/54126/18709/53867/17967/20361/20404/68089/20662/16653/19877/71770/18645/11848/56705/13000/18846/22152/20130/665033/12933/22187/140571/22190/13636/13429/18643/13639/13448/14587/14573/20418/110351/12825/12832/23939/22147/12995/80297/19684/235611/232910/16399/13638/12841/13842/12568/20349/13637/213498/12834/22144/13846/14786/230735/53972	240
R-MMU-109582	Hemostasis	451/7168	492/8582	4.71625817817435e-08	1.05361207700415e-05	8.86656537496778e-06	16331/23945/22324/11852/14462/18708/20344/19363/56193/19073/74769/22761/18022/268936/234779/12505/53857/225849/14701/13660/16423/16579/19241/15234/19053/238130/57257/20541/20720/16822/73699/56055/228139/68732/16412/18783/241489/16438/12928/56508/19088/21824/11820/14676/16439/18761/21346/14065/14683/22371/215449/11818/14360/381290/229841/20399/94176/20363/14678/11465/18793/12523/22041/18754/20194/12988/239273/18788/26416/15081/18607/104418/11600/83964/217837/23984/20416/26931/16401/20969/70839/210293/80884/22145/15353/56744/71946/75974/74145/67972/18436/16414/14702/320127/17096/16410/15529/16136/218454/54216/20725/226849/15170/53313/228421/751864/22631/108829/19052/14726/26365/22330/110197/70945/76088/67951/22146/18755/19246/70218/19152/104009/18750/14682/18747/16565/16408/19247/22068/231871/18441/223601/19156/12419/80718/54368/69524/14784/27999/238055/18753/223864/16452/12540/20340/240641/14460/67374/19091/16558/58217/22143/54519/15078/330662/13449/20971/22341/16416/14062/192285/18591/67072/14673/20963/14083/109689/12527/15461/269152/73804/18439/18803/14465/18125/18751/207728/19124/19353/21894/100502766/12512/30955/16554/16149/16580/14708/17075/545486/19085/19419/13052/60595/433759/14675/26934/16573/12306/319152/11551/319150/16440/22388/18815/242851/12506/114714/12343/14461/19261/17540/16000/11938/16402/66066/20912/14456/66082/20655/68813/17133/319991/20343/13590/21859/270152/12491/72461/22153/110157/67059/110033/21788/22339/109711/16411/19222/109905/19395/242202/14127/57440/217864/18440/11941/19123/74840/16570/11747/12315/14058/18710/26413/18706/19084/14066/75050/20779/320207/14700/19128/71819/97908/26367/12345/11472/271457/18792/14071/20911/99571/18574/22325/14191/19354/17135/14697/23921/27359/227290/14672/18749/227333/108078/26417/26968/18613/14064/16784/73710/16456/14695/320202/22151/21808/16069/12314/17289/66866/286942/14693/18791/20692/18590/16568/12927/16923/14706/71660/12759/22142/110891/75396/100163/12313/14688/192176/16569/16818/319899/17319/56697/109552/16571/11804/26932/12258/56212/360198/117586/319148/20909/58992/18127/21933/16551/11806/14724/11651/227612/13645/240334/14733/216869/12843/18573/20737/319149/22612/11625/227613/380921/14674/628900/381484/15182/11552/109232/18709/21687/209737/94045/14068/68117/20662/16653/16564/14696/14067/16552/231602/76192/22065/19039/13139/11848/18585/235505/22762/104709/56541/16797/22152/68038/16561/22365/67988/269060/18752/11937/110524/319151/11601/74764/50915/14268/20970/11640/26946/16426/20719/18126/51792/12842/56248/320707/72017/21803/14677/56077/26438/14679/16572/14464/20339/99982/14709/16578/73470/11657/243862/232943/22147/21857/22363/21767/16562/64337/11602/16399/68891/232345/16563/217480/14205/14069/78287/18106/13601/260423/16427/56760/14463/20255/11674/22144/13041/14786/109821/18405/16002	451
R-MMU-195258	RHO GTPase Effectors	223/7168	238/8582	1.637233380441e-06	0.000304798280992099	0.00025649989626909	544963/11852/53857/225849/13367/105855/19053/73699/241275/12617/225326/242687/11867/11461/54004/445007/229841/11465/71409/14270/59015/232987/16709/56419/26416/18607/56443/17931/57778/17120/26931/19387/22379/381293/76709/22145/74117/11308/17970/66570/16885/233406/77579/83431/22629/215280/67733/67938/226849/67037/228421/55948/22631/19052/17886/18221/67951/22146/18750/108911/226747/80987/19046/14784/20877/18753/66140/18016/12540/20430/16319/223701/237038/22143/17978/216965/12704/56378/12532/104215/14083/73804/17969/18751/50884/19353/19878/76884/18762/66713/208628/545486/14026/13426/16573/22628/22630/70385/13589/17973/103468/17972/22153/12550/66336/17904/71876/67629/12315/208846/26413/224105/20779/12385/11835/75786/68014/60411/18481/22627/52276/329165/11853/19354/13057/66934/13424/235661/26417/12236/67771/73710/22151/18472/52696/12229/29875/71960/12314/13542/75669/12235/20166/26951/22142/234663/12313/52428/12615/192176/66442/19047/26932/56212/404710/56150/13058/94221/76707/109333/18817/52504/20202/11350/13385/101314/320394/14787/234865/66468/13427/227613/20807/19094/17283/68097/108100/68089/19877/56430/320271/18645/76499/54401/71893/13544/11848/224480/67052/320795/22152/103573/102920/66977/74764/18643/51792/72415/20201/110379/16572/12387/73470/245880/232943/72124/108000/26886/22147/11854/69928/98932/236930/23988/12638/16563/269966/68549/13543/22144/69912/100043813/19386	223
R-MMU-9006925	Intracellular signaling by second messengers	238/7168	256/8582	4.55559631900438e-06	0.000680531880188537	0.000572694688788921	22324/18708/74769/75778/225849/11512/18718/116871/22034/15234/19053/13982/19192/73699/494448/268706/67605/56716/18707/19088/55984/11798/11515/117150/14360/327826/14255/52187/66894/18754/26443/252870/56484/16337/18607/12912/53380/26931/18719/110355/16590/14256/245670/16180/234366/54383/19211/66998/226849/19052/19167/56424/98432/18596/207565/244650/18750/18747/19247/77647/21951/14784/26440/19188/13619/18753/14173/12524/83490/30951/228769/17999/18575/18854/12519/13001/66096/18717/15370/22186/18591/11513/23797/14164/83409/12223/14013/19353/26446/23942/14177/19177/19085/12487/16367/329934/216848/20393/23997/109270/433759/266632/211323/19182/17311/66508/67089/12418/78294/14388/108083/19646/12371/109294/26442/29871/12576/12315/18710/26413/54167/14182/18706/19084/20779/14056/19821/69077/229542/67151/56458/18574/104111/19354/66997/12575/18749/54170/26417/14302/17246/15937/227743/80857/18595/14186/14180/18720/268980/23996/384783/12314/59029/12416/13869/19720/18590/19179/17082/104110/12313/19744/17463/224129/16913/16818/12151/16912/52615/26932/56212/17874/14172/78757/13649/11651/13645/68441/11652/74493/21762/228775/18573/11839/19173/19185/15182/64654/18709/14183/19171/80903/21802/13983/77125/14175/54601/13000/58988/13626/103554/12478/22123/70247/71920/14170/68031/18752/18183/19175/22187/11514/16179/14179/22190/56692/99377/15200/19170/51792/14178/245688/16591/73162/56717/14165/12995/19172/57296/73902/19181/14176/26445/107932/68576/13867/16334/19186	238
R-MMU-9013149	RAC1 GTPase cycle	155/7168	163/8582	4.88868941303465e-06	0.000680531880188537	0.000572694688788921	544963/22324/223435/18708/58996/226652/69922/117600/110279/69993/105855/214230/225358/71302/238130/330914/259302/57257/102098/16412/231532/241275/234094/76117/277360/242687/232906/70584/94176/78514/22042/232237/12389/14270/58909/195727/16709/232201/56419/214804/57778/223666/16449/210293/75974/11308/263406/11857/17970/72536/69710/229658/23853/76088/330177/12549/56699/109934/73341/94190/12540/20430/237038/70497/330662/66898/12704/50768/17969/50884/19353/76884/213649/24001/545156/230098/64652/20619/108699/26934/219140/54324/106952/66508/20947/213522/68813/75415/17972/227377/223254/71544/98386/109294/218581/19418/233071/226751/18710/18706/224105/26431/214137/11855/59079/22319/71435/18481/239027/170791/329165/22325/13057/19765/13836/75739/233103/216963/29875/23943/19349/216445/70719/52666/319899/18806/20663/13605/544817/104445/404710/13058/109904/109333/228359/101314/14674/54126/18709/108100/20662/71893/224480/320795/78816/105827/84004/74018/56418/245880/244867/20401/213498/13726/53972	155
R-MMU-6806834	Signaling by MET	67/7168	67/8582	5.48324702031946e-06	0.000680531880188537	0.000572694688788921	74334/18708/16206/19271/15234/20405/214058/16412/12928/16398/319939/15239/215449/12831/20416/20848/19246/19247/58194/14784/15451/54426/22186/14083/15461/19353/12824/260302/217169/78294/19255/14388/20844/11845/109905/18706/20779/373864/84092/107746/19341/16775/12402/13858/56324/12843/224116/20408/20733/53867/20404/71355/20662/16653/56705/19342/22187/14268/22190/12842/20732/12825/12832/12814/12815/12929/16400	67
R-MMU-9013404	RAC2 GTPase cycle	80/7168	81/8582	7.387355552038e-06	0.000825167615162644	0.000694411421891572	22324/223435/18708/69922/70804/110279/105855/71302/238130/330914/57257/16412/277360/242687/232906/70584/94176/22042/12389/195727/56419/223666/68653/210293/11308/17970/229658/23853/330177/56699/109934/94190/12540/20430/70497/330662/66898/17969/50884/26934/66508/20947/17972/75409/71544/98386/218581/18710/18706/224105/26431/59079/22319/71435/170791/329165/22325/19354/13057/13836/75739/233103/216963/29875/23943/19349/18806/71782/104445/13058/109904/228359/52331/101314/18709/84004/70361/13511/71703/13726	80
