ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030099	myeloid cell differentiation	445/16688	480/28891	1.8968095452785e-67	1.23197779965839e-63	1.35571966446748e-64	16331/223690/12398/80280/16476/15467/18023/15129/18708/217127/19746/387162/27419/16909/216781/15122/22761/20514/11656/17260/11518/102791/16795/52065/70026/242687/66193/54624/100900/110794/13829/20848/56199/18174/107817/12183/226419/20679/21423/20533/216161/108655/19014/13828/98386/14462/18032/26416/17268/233328/234515/214498/56417/15902/13856/22042/214133/22083/16598/99375/16969/11733/229323/23991/17342/13423/12400/22228/14118/13132/18718/19229/328572/241525/11983/245944/26379/11757/21898/105855/14728/12571/17684/109801/16596/217864/12606/77573/12349/59003/70747/15242/68235/11820/17132/65113/230721/72828/29813/21813/20375/70564/26934/12192/18035/14683/19743/381319/56484/70080/16590/14247/235320/23871/14460/50794/16535/630146/22778/66154/67490/15251/14582/19824/18003/56637/16452/17886/14284/20044/212937/19055/19411/15977/235497/54411/208638/226421/18018/18605/19664/16449/19165/387164/12675/19698/11308/67017/22041/22177/16168/16364/22695/21399/13819/56792/14281/320404/16409/29809/21873/15170/26365/93694/21847/18771/14309/17096/12768/19247/12394/215653/14151/18996/53314/12912/100038909/69656/18129/83924/20302/211770/16825/235627/20308/14389/24088/13386/233904/16323/16878/18854/18472/97086/18750/18795/16658/12978/50754/12633/54368/18081/20304/12156/15163/321019/67773/19401/20259/80752/19152/227377/17311/107371/16160/16842/18726/16416/17869/20687/12611/545486/98366/21934/320910/21814/71982/16149/21803/723848/237339/15405/11480/21926/23897/16477/17480/244349/238247/14734/19645/246746/12520/15978/227358/57259/20807/97165/20846/209446/11450/216984/22388/15900/67087/18383/74511/107173/56717/109711/66317/14102/18725/68027/11655/16889/72147/17000/20085/22339/11789/224109/14461/12977/317757/15526/23845/102466649/70673/20779/17536/107771/74370/21943/12703/230257/216820/227326/16923/14218/12986/229700/15469/22034/100201/14815/12370/16420/13836/100038882/76044/101488212/99982/93675/14127/18733/11479/12053/50875/14628/18089/20586/15404/16418/19255/319653/20683/20185/104416/170826/14159/224792/387231/21930/27220/57816/14063/210710/272382/14057/53621/27060/12262/223870/17129/20851/11774/15289/56406/83408/12159/13871/16189/14381/78926/22402/21349/19016/67588/19659/22038/93759/232790/238377/14390/83433/235505/12504/15361/93686/17082/17874/12326/620235/16171/14729/12367/56492/21833/18103/233405/18015/75302/12775/17863/21832/723814/20535/69188/15354/18722/19164/14724/192176/19090/13388/12311/241764/83554/12981/11740/16948/78249/74481/77125/70809/21950/67050/69301/17986/12608/18997/234549/18102/83430/12577/399568/18729/237625/17150/12985/170741/12010/12387/20480/14184/229615/20104/26564/14308/15499/14082/64602/74614/14008/26565/11501/223770/13637/14466/58181/74443/76527/20850/14104/16191/15416/16187/56760/66663/226844/17189/16846/75766/14723	445
GO:0050767	regulation of neurogenesis	455/16688	494/28891	1.51532705939445e-66	4.92102462538347e-63	5.41530038594122e-64	70827/20312/230674/20352/20539/54712/12227/50849/13631/233489/22352/230598/11423/13841/21844/21938/16579/13003/69743/12767/22059/21817/12257/22416/19699/22084/18016/18222/14297/19280/26396/15902/23966/17295/20869/20481/14580/13654/328572/16971/17196/67838/387216/66713/69807/21960/16412/56381/58234/76901/20720/22629/12950/68585/22368/13640/16202/18096/330914/14254/16590/83431/24136/13838/20320/76089/665113/16975/18627/269878/13169/67490/15251/16195/22241/19266/14025/56637/18109/66991/21907/59041/16176/13690/71955/19211/19055/16193/214968/15982/16885/30948/11865/76454/13190/15901/14375/329559/22041/18128/65254/19744/233064/12064/63953/20482/20194/74117/20317/52822/14912/11426/17096/18039/20354/18996/20430/320790/12017/13051/20660/18508/108151/17755/22341/18755/20893/20238/16542/18129/14056/118454/54673/14173/18606/18479/53872/24088/22068/16878/18472/268902/68151/20348/20187/22601/14083/18759/18844/15213/12978/11921/232560/12385/319740/74143/12156/12904/114606/216049/192119/22062/234219/433759/16870/104015/17158/24001/269951/216344/623459/238276/20563/16842/17118/27279/14366/17869/18845/12162/16835/18080/12306/94091/545156/243743/17756/75788/21803/21926/17344/20359/12484/28000/19645/20358/15978/211323/53605/14634/13392/23873/245886/20353/18186/20355/244667/74053/20807/12550/13508/97165/76893/20393/22422/16728/213541/104156/240057/12032/217166/20357/217715/16000/55927/20666/18390/12774/56717/79362/14102/12704/13844/216858/98733/22413/171207/12361/54214/22339/213084/12724/16800/14461/70086/18125/15205/235472/13555/67095/27374/19262/21752/13047/67784/17356/12168/20315/13131/78748/71918/12561/57810/228357/12316/109880/15364/18481/242620/67891/29869/11816/20346/239667/19268/70237/19876/216190/14725/99982/20360/17762/14365/14168/58861/99412/73181/21838/19242/56710/51791/235402/23999/13649/70433/56711/224617/20356/227292/107503/13193/382253/12159/29819/140570/218877/108138/66354/360213/13490/67299/19016/26419/19317/22596/22326/12323/18212/108100/13138/20562/22129/14359/100313531/14567/15214/18846/20585/19130/17190/83433/17919/12166/17751/20347/83557/19047/65086/19283/723950/20429/14843/71751/18015/15182/13390/17242/17863/15904/319757/18213/12568/330938/71653/18223/72162/19712/320027/12677/19164/83701/13388/14268/56320/11516/65079/18011/16653/77125/12579/17257/229285/20361/18121/18997/22671/54485/231672/13004/17172/244058/66515/20845/20351/22067/381530/56708/15208/22418/74006/11858/17760/17136/14599/246048/12010/12387/20349/18420/228550/67287/171469/14184/723951/19697/20423/18049/17173/140571/22421/224171/20616/20674/108071/13048/15228/13489/14265/320563/76965/74132/67414/20681/18208/27083/15206/13385/20927/11538/20983/50913/13389/18742/64383/20732/54713/66993/57434/76527/319583/15207/320191/229715/18536/84653/73940/574437/56198/103743/15114/225908/20350/73191/210108/70083	455
GO:0044772	mitotic cell cycle phase transition	421/16688	454/28891	6.14398183179813e-64	1.3301720665843e-60	1.46377672413717e-61	12189/52004/56190/80280/20466/19192/68592/19891/12449/108058/24100/19363/74335/12532/19054/71375/12144/194655/56371/21423/68612/68034/229776/22059/66591/11461/53892/70127/11920/18032/381293/75430/240665/116871/214498/15902/66214/19188/99375/67628/19708/12193/54124/20877/66923/17120/12428/12445/16412/67857/12571/16319/75608/59008/69917/67849/68964/11820/30949/69754/76464/12452/239985/23834/12444/12192/13860/68142/18761/19052/229841/328440/319651/12442/218793/26931/67941/107976/18514/13194/237459/56469/26992/320595/216965/104418/18763/66991/13557/229543/21335/68067/19211/19055/208768/18671/105513/12122/381921/269424/76454/18018/67991/71276/18767/18669/224023/270201/270669/22680/77891/380694/77011/59126/22591/231803/387219/67155/231600/67629/16600/15170/56317/53317/235559/50523/219103/12531/12443/74268/12325/77044/26427/14199/218630/21987/68014/12315/14726/12453/18557/68431/12236/20620/63955/14056/118454/108911/19360/52563/268697/234736/329152/382985/12013/13205/20588/26951/93760/16323/109019/18854/100088/114714/18795/330216/53869/74996/56696/16952/208643/18028/54601/83560/14841/75770/234069/70385/12576/330177/71007/11504/17869/66197/20133/12043/244281/208628/30963/227331/269582/12235/21803/18647/20135/12545/19651/19645/12447/57376/16906/20460/12298/108000/52206/18027/69274/238555/214444/17420/66671/27401/52276/15586/218294/381534/66209/76843/11799/233805/226026/56456/11477/83797/13684/12704/20479/77035/75826/12322/11789/404710/93695/67141/12313/13555/22410/69957/29861/17829/52679/21752/107771/74370/81702/69681/17246/83383/26554/59036/11491/327799/69581/12580/104394/238271/116733/13685/235661/216190/72400/59046/19941/237877/11479/12314/52696/50875/20586/225182/110957/107995/13559/27354/12914/50883/13649/72993/13924/217232/228361/56453/67153/54451/20184/18392/227292/209091/66442/12054/271697/72508/56150/106795/68094/70891/73866/13871/18817/12034/15512/15937/17222/12578/237256/12530/50496/68077/16493/14235/12323/13872/18555/67655/75604/13383/22687/57261/723962/72776/60364/12021/72772/12427/12055/19357/76707/723950/12905/12572/72584/70601/12795/66977/54394/76499/12448/22137/52468/17863/15904/12575/12568/387218/67121/225131/69188/57913/69716/15574/27214/18764/19090/72057/12450/68501/11651/105837/18214/15468/50927/12579/14165/68251/116748/20555/72611/17257/57775/70681/72290/17283/18014/26380/67052/319195/67045/12566/12577/636931/12534/78832/50850/18973/67974/234664/22209/19650/66371/723951/12237/20104/448987/27375/18715/210766/228714/16798/11792/70799/72008/235041/107047/208583/68953/13076/319944/77045/17535/66993/28036/24075/268709/83766/79263/19684/28010/68193/72088/209334/12366	421
GO:0001667	ameboidal-type cell migration	433/16688	471/28891	1.0096173119208e-62	1.6393661102314e-59	1.80402672314269e-60	192197/16476/14645/14775/20352/12215/11947/12317/232227/17260/242687/56753/55982/11852/13829/19245/67338/12767/15587/108655/58233/14462/100169/22084/23790/71371/74769/27494/14673/234779/11826/66214/17295/13655/23991/18607/30953/319939/269608/18720/19229/72446/16480/30955/72674/16412/20541/18024/13001/14119/26397/18707/16398/69601/13616/332397/21813/230738/50525/68585/70097/11818/16202/11857/16590/24136/13482/54132/15368/23871/269878/20778/13641/13618/29875/15251/68750/60595/14314/13614/67916/21907/18810/17886/18741/19211/214968/18754/17128/14472/114715/52392/54357/74030/16401/68465/16410/18128/381290/19141/11600/21961/63953/74117/13642/20317/22411/66864/12631/16367/14751/13197/14158/70839/11749/16600/13036/12331/83409/26365/16414/11426/16413/20354/72007/19247/69683/73230/18187/18508/108151/212307/20671/21418/22341/20620/16542/108911/12339/14173/20971/71093/11848/15370/18606/18479/14389/18854/18472/18750/20348/12562/14083/53869/50754/19274/16952/11855/239528/269275/26921/12540/238328/192119/12458/11881/11482/18709/107351/330662/17311/56218/19353/23942/19279/50884/14164/19878/20563/12261/16416/15116/328949/13615/78560/12162/18803/15507/18815/16392/12512/14674/21814/18710/16421/101401/79221/68743/26406/21803/241324/18704/56048/17395/21926/16776/20359/94352/12752/101540/53618/20358/15978/14089/75723/23938/68813/20353/18186/14026/19303/20355/243362/20807/13590/23797/19713/15586/20997/20357/14824/16000/18591/72461/20583/56717/11477/19877/22682/20855/109333/171207/22339/56233/11789/14461/18438/66313/56332/11845/338366/20779/16974/11745/26941/21336/13078/13869/67784/12168/20315/12721/14182/15184/11491/109880/18481/14181/11816/20346/12927/20130/13836/18613/19876/216190/11475/107321/20360/18119/11541/16973/11479/21808/12822/11806/20683/107586/384009/11350/72993/22346/83397/18127/12165/19015/16415/69216/380664/17381/19270/13731/20356/21687/320795/384783/723924/67903/15289/12159/73139/320924/22160/16189/218877/21825/101489/18133/19016/80903/109254/14172/231858/93759/20401/20684/21812/19130/15117/20347/105844/80837/20397/76707/18645/24111/18015/76499/18787/68992/319757/14257/18935/21983/104831/20202/74144/105450/241639/14268/18188/13645/229096/11651/12554/23789/18214/52014/71709/11819/14165/13617/107831/13636/16336/17286/18858/22122/11601/27217/17257/64074/21857/20361/21667/22349/79264/628324/14175/54485/14756/20692/20351/18505/14275/21380/22418/20613/12622/12558/20349/11684/14178/192897/20423/68606/240185/15200/22421/226352/70445/20681/24071/18570/57260/68792/14573/53868/235041/105940408/17292/11501/18760/14170/14179/11946/17293/12154/66601/11602/230917/20850/223650/73608/21939/56426/16400/16666/55985/13846/67384/20350/15185	433
GO:0022411	cellular component disassembly	424/16688	462/28891	7.19234471480955e-61	9.3428557845376e-58	1.02812674975909e-58	11555/80280/13040/18708/230674/52639/21916/18826/329015/54712/20739/216781/232227/276770/11518/68732/319162/66437/93739/13631/20741/56422/74187/13829/269523/226419/208194/56193/15277/235040/22059/13010/20742/72119/12257/19704/56486/21973/227634/230895/194401/17957/21405/67379/232341/54636/23991/19230/109242/13423/67443/54194/246103/74392/81601/17318/74747/11983/245944/16412/20405/75608/100502841/228421/77573/12176/14232/15550/69754/12177/75909/16001/270086/108124/320878/257632/225115/209131/66270/13860/319801/83431/56215/271221/13838/13482/50873/23871/18627/67490/15251/76055/108853/22241/216965/11739/18003/56637/225363/24015/18412/16337/76709/16193/105513/244962/22003/106583/74374/78246/208092/225326/22367/107338/56208/210356/225845/245860/66853/71648/12631/16409/171580/68942/77044/380842/12028/27360/68572/16765/65019/12305/13051/14726/212307/20615/100504663/65970/17755/69408/54396/11472/76561/66615/280411/11848/20588/102058/23830/93760/74244/59026/12332/18472/208691/68943/13421/50754/11519/106042/269275/15451/26921/192119/20259/73804/74781/104015/66169/227753/70218/18195/16801/238276/65973/11520/14489/70381/17869/12611/78798/105083/68995/18815/27412/23794/94178/56085/17756/75788/320827/56273/13191/20947/21926/12752/12484/78610/56629/269514/57376/16865/211323/11783/73914/14089/13043/67526/67886/14026/72512/57436/20393/22388/77057/21968/16145/15481/16573/194952/20583/83797/20479/30800/66826/213948/11789/16800/100756/11845/12313/237891/22320/68184/67846/268396/107771/380969/51800/14086/11938/260315/235072/66840/75452/227298/13805/13035/20595/72175/320502/80877/29869/14853/67727/116733/66747/77006/14248/76559/66155/21809/16784/21808/14168/50875/99412/12343/26903/66643/20586/224432/17386/226519/20787/18706/12345/67871/108155/15944/23999/67890/14296/63873/228361/270058/14186/14063/320528/110380/209815/234852/105787/20356/77987/68041/231580/99512/73420/17758/15194/12262/68094/72349/72685/54723/18817/12034/15512/56404/78926/12340/12578/67588/80743/12259/72650/72018/20401/64704/21812/12539/83433/29877/108079/16593/80986/66905/286942/100502698/76707/12795/12421/76499/20408/13804/14219/12660/19888/94232/20262/12568/229534/71893/22351/66361/56471/69697/19305/67006/76366/114741/11740/56431/18214/14251/234695/16578/53972/21767/67064/12632/20404/20257/26926/546144/75669/67998/22349/12266/76959/56640/606496/208158/12534/22333/101612/50850/12344/13368/213556/74006/319278/17754/269254/73470/14852/66371/78428/211253/68350/230709/70997/17281/17997/17228/15499/210933/66734/237782/12260/30060/20927/93677/53619/68953/381038/51897/26927/14466/23829/66993/57028/71742/67453/20740/19684/23805/66663/14464/26918/20833/16009/15185	424
GO:1903706	regulation of hemopoiesis	415/16688	452/28891	9.83498307475233e-60	1.06463691784194e-56	1.17157079083453e-57	16331/223690/16476/18708/217127/16950/16909/207952/22761/17260/102791/17221/66193/54624/268936/20677/20848/56199/229473/16159/12399/11461/108655/12505/19014/14462/26416/67596/11776/17268/74048/234515/214498/15902/19264/22083/13655/99375/16969/229323/23991/17342/12400/14118/12522/19229/81601/12193/241525/66923/26379/21672/105855/14728/12571/217864/12606/12349/328365/22694/68235/16196/65113/69754/14087/72828/269023/21813/80859/230738/20375/70564/239985/12192/18035/14683/56484/16153/26362/14255/252838/235320/23871/14460/12479/50794/630146/22778/15251/78783/21807/26992/14582/18003/56637/20227/20662/19055/16193/19411/75863/15977/235497/226421/14375/16184/16449/67017/22177/16168/22695/63953/14281/320404/16409/67155/21873/230126/15170/26365/93694/21847/18534/14309/17096/74256/77044/22433/192656/66262/12768/20667/12394/215653/18996/14998/30936/12912/100038909/14256/18129/83924/20302/211770/56457/59009/12142/16825/11848/20588/20308/22724/13386/93760/233904/16323/74244/16878/97086/18750/65963/16658/12978/50754/20963/16952/18081/20304/319817/108723/22637/192119/15163/232174/19401/20259/17311/16190/234069/57432/16160/211651/16842/18726/100504404/16416/17869/56468/81897/74039/98366/15507/19419/16149/21803/70088/12477/14190/15405/11480/21926/12484/23897/18762/17480/244349/19645/15978/57376/239114/227358/14634/57259/12487/97165/20846/17131/238555/209446/11450/216984/67087/18383/21414/74511/56456/20583/107173/56717/83797/74131/66317/381305/14102/18725/68027/72147/14456/11789/14461/12977/317757/16197/15526/22410/16362/70673/18950/17536/107771/74370/21943/12703/16183/15284/227326/16923/14000/216799/12986/229700/15469/14960/22034/100201/57765/109880/240873/21417/240354/11486/12370/56436/16818/100038882/101488212/99982/93675/18733/11479/12053/74734/20586/15404/16418/19255/170826/14159/19242/15944/11350/67122/21930/228361/27220/16859/57816/16768/243910/53621/12262/223870/20851/68094/11774/15289/83408/12159/16189/268564/22164/78926/21349/387168/12578/67588/19659/214812/19885/16147/21946/107527/238377/14390/83433/16173/12504/57757/15519/93686/620235/16171/56492/18103/20663/104709/18015/75302/12775/12772/17242/17863/320940/21832/723814/20535/16169/66494/15354/16186/18722/19090/320713/13388/241764/72057/83554/17387/19374/14534/16948/234695/70809/54169/69068/21950/56335/21947/67050/69301/12015/15001/12608/18997/18102/83430/18729/237625/19373/74748/12985/170741/12010/12387/14184/229615/20423/66058/60505/26564/17173/20668/14308/15499/723840/14082/246779/74614/11501/16453/223770/66993/58181/74443/76527/278672/20850/16191/15416/83766/16187/16846/75766/22780/242100	415
GO:0007389	pattern specification process	448/16688	498/28891	1.09953821493453e-57	1.02021438657139e-54	1.12268638788052e-55	277939/12227/140859/17260/14042/17427/73668/71870/74025/59024/22059/66910/68146/11920/22416/19699/106633/18747/17268/20481/13654/328572/24069/544696/17684/14232/15242/13198/21813/22420/327826/14048/654470/66743/65256/26407/24136/19206/71137/235320/269878/18514/22632/13641/15251/110796/70028/13614/18741/212937/19411/17128/17130/14472/619289/19664/24063/19165/11308/54562/18128/13172/73916/22411/16409/497652/23796/16568/13411/269941/233651/17127/218850/68922/20473/18187/18508/20671/207165/21418/23872/74453/110082/14609/20893/18129/15258/27428/81898/11481/14173/16825/21815/16373/22158/17702/13626/268902/68151/20348/16658/15213/76260/72475/68897/19434/18012/106042/244631/12156/20319/14766/23863/232174/235542/234219/11482/16870/15110/320145/546726/15257/93836/100121/50884/68713/14164/65973/17126/241062/16842/24117/380614/18845/12162/16392/27412/14633/12006/98376/212712/18423/241324/15405/11480/16776/21388/21386/14734/216285/51938/20460/17305/15375/14634/13392/21415/18186/70495/225164/56334/71233/20807/231214/13590/13542/22422/76166/20997/67087/240057/14313/14367/55927/21407/17765/14451/11477/79362/207607/104346/20855/22413/30841/320202/75826/11789/81896/15205/70122/71521/12020/20471/12705/216274/17536/16974/18749/71950/13869/66042/18503/16871/12168/213575/12167/110350/57810/14182/93840/100503311/228357/19719/237222/12808/13805/21417/12929/242620/20346/12614/76779/20472/19876/18510/14725/11835/74019/18119/20465/230824/19821/16973/225876/21375/320772/13813/59058/12627/15404/13865/11764/16814/15376/17300/13543/22138/107586/15399/75691/18504/67122/14296/12005/14186/11838/140484/68270/12151/22414/108909/230909/56184/15194/12159/74934/12667/22771/14183/74407/24087/26419/329795/15400/15229/384452/53883/12259/15407/16147/29871/15214/16348/21812/105278/12166/57246/18530/17285/433809/245866/17701/14843/12591/17240/15413/214575/57354/67968/382089/13390/15395/231413/24113/319757/76365/22431/19726/12590/19164/71227/12022/21869/214162/18764/19090/13388/380718/20890/13797/244585/72938/14534/22289/16372/171567/67694/23967/18183/67661/15432/11819/83675/14165/16869/13617/240888/15245/17286/15414/22061/15431/15412/116810/13082/381738/18552/224143/16917/109065/21667/18121/18014/22772/12266/13798/15430/54485/17537/233826/17172/77485/18505/14275/21380/69327/18515/18424/15208/22418/18553/20613/15401/21410/12387/16371/12622/21892/20664/21821/17877/240590/13380/22773/20423/622473/11694/12153/14836/18095/21389/26564/14561/436022/22421/15426/246102/22255/226162/15228/16848/15425/210510/226352/20462/194908/15285/71860/15206/14573/83453/213081/14174/17292/13389/15422/18091/14179/15437/17293/19335/21385/209448/19378/11695/54713/66993/57434/22408/15427/66248/15207/18509/226049/15416/24075/432611/84653/23805/14464/56198/12160/170765/214766/20350/17965/73191/14463	448
GO:0051090	regulation of DNA-binding transcription factor activity	400/16688	436/28891	2.28997947500828e-57	1.85917708627235e-54	2.04591587306661e-55	20312/20698/80280/18712/216781/225849/16478/55982/16978/228607/20848/22033/66894/20679/21423/20128/56274/226169/53380/22416/19699/18032/14581/71371/327987/109689/15902/234779/19053/66214/22042/16969/101700/23991/382056/54672/59016/328572/22393/74343/24069/16480/69807/11757/21898/21672/67154/244183/59035/19017/12051/13839/13982/73086/22670/11542/21941/252870/68235/11820/69601/14087/21416/16001/13198/107869/257632/230738/20375/217410/18035/66743/18761/209387/16153/16590/19206/76510/319555/245527/27050/383619/15368/171285/16975/18514/67490/68729/12289/12523/19122/18763/18036/13614/67916/71890/16452/22030/21335/16176/50868/94088/19211/19055/16193/15982/16365/11909/12389/26443/226421/18605/66725/15901/24058/99311/16180/12675/16150/270669/12064/14362/245522/14158/12359/16600/22036/16414/17691/108960/74256/223453/192656/93679/26563/217069/268373/142980/170799/18996/13051/18755/20893/14056/15258/94353/211770/22031/56312/24088/17702/12042/68943/18759/20747/54324/208727/20963/12633/21929/18012/225471/12156/108723/52440/15163/432940/14747/13009/15110/57748/227541/434341/211651/16396/14366/14489/81897/12611/74039/108116/21934/18751/66568/17846/69097/14130/21814/56273/21803/12335/21926/17344/71268/21899/16179/101540/18762/244349/15375/73914/23938/69296/72512/319594/15162/20807/77596/17131/12491/12759/75801/64010/15903/76681/268973/20997/67087/55927/27103/16151/22413/12322/223513/16800/230073/112405/59079/26413/56532/15205/19227/22410/17470/26754/667823/18038/22029/16974/21943/11745/13078/107607/16182/332579/212085/11924/19290/216799/15378/22034/15184/20186/15364/240873/240354/26417/268857/70461/19720/77006/19820/214899/11835/99982/74735/18119/66597/19821/16973/17979/15183/83396/13813/20586/94094/15376/69504/13543/13607/12914/170826/241066/111173/69159/671535/16415/11746/57265/57320/243910/14283/17002/13211/67245/12034/16189/22164/223664/19016/12578/67588/67025/16174/214158/14084/66521/231889/93759/20684/19130/16173/233490/12922/57751/17874/21833/381810/71751/24105/23957/56784/15182/319757/67405/269881/66200/381457/216869/192176/67525/18764/66824/93765/14368/11514/23947/11651/18214/15468/16653/14251/19106/209361/13983/56644/54638/21947/18148/56489/30954/57321/109552/17283/17986/18014/11705/18997/22772/14239/73845/329659/20821/16334/22418/12985/319236/12753/12387/66930/107392/19697/106759/22773/18013/20423/12879/18049/18095/21389/241035/231162/17984/15499/56398/72388/230594/26565/11501/18760/195359/22408/16191/21939/66083/19223/56198/224762/20379/68576	400
GO:0051656	establishment of organelle localization	442/16688	491/28891	3.93238676671376e-57	2.83787244997843e-54	3.12291299953058e-55	70827/20617/52639/15239/27419/108907/216781/19326/233489/117197/68166/18005/227648/67898/13589/58994/11920/20528/22210/71923/381293/53413/11776/74772/20869/52906/54161/18607/22187/100502766/19069/212073/81601/17912/67037/54204/20877/17120/232946/16412/380752/77579/22631/16319/75608/11777/381269/228421/27278/216131/77053/16905/67849/11542/27096/15242/76464/75665/93742/56743/14048/26934/14579/75687/16553/18221/229841/16590/83431/76510/17910/50873/15368/14460/11840/94245/15251/67774/12523/18519/66251/60595/64540/66991/59041/17886/16211/21335/24015/64933/67269/20969/75914/105513/12617/17916/338367/66725/224092/208092/24063/16401/217303/76895/107338/22680/56208/69654/214585/16580/24064/12631/14158/13605/67629/12934/68942/17096/320714/18039/19294/320165/89867/100019/20619/18508/20615/17755/20054/16560/20336/17920/51944/217325/17918/245049/108911/70450/52563/53378/380732/268697/20971/69150/59014/26951/14389/102058/214459/18472/213993/67177/110033/66994/22350/77038/14083/53869/67581/71602/20963/103583/19324/226778/12540/54141/16574/68861/114606/212514/83560/73804/64009/75964/442827/104015/68581/107371/97112/16190/319565/50518/70385/13426/208943/217449/18124/105782/67511/78798/230872/16886/12121/17451/59040/19419/68196/17756/246177/56273/17913/13191/66482/18159/12752/18762/77097/19645/66439/16906/108000/19215/231646/386649/214444/24046/100041286/13424/52276/71435/16573/50907/26972/11799/233222/226751/72114/52023/101706/207425/16151/19339/22088/57752/20479/103967/383592/12652/11789/16800/14461/19329/109359/20844/108012/228355/12890/14070/22320/20911/67095/97895/68053/26754/28135/214084/76205/26941/54418/73178/20910/26554/59045/76123/56715/319613/240756/211556/116733/66196/66397/12229/72400/22223/11541/14127/67749/244329/28040/26412/17762/228785/22142/15183/19214/16418/26875/14159/19349/214952/68428/72415/109246/94040/270058/110380/72823/11891/234852/18241/226407/109181/27060/66934/384619/380684/66442/17758/15194/18806/56150/11774/70891/231452/18817/16189/18571/381318/360213/101994/14183/67299/71878/26419/353258/78232/70591/20562/93759/210998/13383/17919/105504/78933/234686/327814/70612/16783/19354/17828/76707/67968/66977/67839/76499/14126/11778/12560/12568/16797/66226/233752/19164/21749/51810/14191/12921/11775/192167/14165/12615/16897/67064/77048/93670/78906/17257/225898/12190/18148/16561/18226/27681/74717/54160/70681/67052/76959/67045/19428/71703/69940/237625/16163/103573/50850/19384/74006/17760/12387/668929/73470/13429/17921/66371/56418/236732/67842/235180/12237/66682/241035/20224/73689/20616/14533/69737/11981/17281/74401/14125/72080/56398/268491/18208/18570/320022/20983/68953/30931/64383/16572/382543/211446/230917/320191/17922/225523/18536/234857/18457/56742/74369/56426/108030/432516/332110/225642/72124/15114/15185/12794	442
GO:0031400	negative regulation of protein modification process	428/16688	473/28891	6.45731886478251e-57	4.19402860267624e-54	4.61528369388139e-55	12189/80280/16476/20617/192231/15353/52065/67603/19062/17872/70012/108954/13829/20677/14869/12593/108837/14678/19088/15587/19271/11461/75296/12257/22210/56310/15357/22084/23790/18016/74769/80985/97541/233328/235584/19735/109689/21405/56417/56812/69847/232341/17295/19264/15234/77446/23991/226591/21770/66917/17974/72446/14360/110854/105855/14728/20541/19017/238871/19252/19259/14232/15242/22436/69601/69754/67742/18115/170719/20459/72828/24066/230738/93742/64144/50918/16202/14629/213539/108099/114716/27050/50873/232431/18627/94245/67490/19122/18519/76055/211329/18546/67916/71890/333433/56637/18810/320365/16176/11540/18412/16337/71059/19211/17973/16193/18754/19023/114715/18768/16885/12389/18605/66725/64384/18767/208092/24063/19165/217303/105352/208650/16150/381290/67605/19260/228852/11600/225884/117198/63953/13167/107895/24064/387219/13197/74521/230126/171580/14694/15170/26365/14682/230908/19249/50523/110355/17096/16413/268373/20354/12028/232854/65019/215653/12017/15525/20660/18508/68082/100504663/100503670/18755/80750/211770/66867/268697/19246/70686/328660/14154/18750/22258/69726/54725/216805/21929/208643/12156/20319/24056/215748/97998/68917/217124/19084/76469/18753/69237/28084/12576/73205/19261/79566/18260/19878/20563/26904/97064/56468/15507/19085/100037258/12062/63913/98496/12952/19277/21803/20947/12335/21926/103136/19263/18762/26914/19645/22375/15978/12953/66801/73914/19060/56334/209743/69274/17131/12018/214444/11450/78388/103844/13542/16000/233805/72114/52023/56717/20597/19877/13844/22088/547253/80794/237107/75826/57741/11789/52615/13163/18125/73047/18518/67141/70834/14586/237523/75141/16362/28135/12702/110532/16974/56013/12703/16183/66914/83383/18769/406217/70769/56715/15378/327799/225896/13805/106504/12580/12929/11816/11770/68045/18613/19720/72948/100038882/72400/74019/217039/59046/22223/26936/17762/52033/66259/26903/19255/17472/23980/21838/170643/108900/108155/12402/11350/51791/19281/20115/671535/22185/69216/224617/18230/57320/105787/66861/108909/227292/320795/15502/320472/56150/16210/11640/72349/13853/101490/110524/545902/18817/23882/13492/14381/229007/13405/269016/19016/12578/53626/67025/56693/74155/14226/11441/58805/93759/22627/20730/235505/16173/18752/723962/108079/12367/71974/100336/18015/19087/15182/244923/52468/18213/12575/12568/387218/67121/12061/19164/12328/216869/19090/13488/66824/231125/11651/16332/66915/12391/11819/107831/20555/17171/12070/18148/20404/18226/240754/57321/17283/57438/66277/76571/12577/260299/20821/12387/209200/66787/19697/13380/54401/229615/68606/18786/231474/381759/76857/13489/243911/16798/228775/56398/70315/237782/15259/11538/12069/227733/14114/64383/14870/170835/20648/14466/19733/76497/56401/16009	428
