ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030695	GTPase regulator activity	399/16512	429/28407	1.19835781784109e-60	7.72341613598582e-58	1.70292953061628e-58	74334/16476/50779/14270/217869/230784/102442/232227/108903/140580/53322/67016/68339/329727/71085/217692/17168/231801/69632/19387/223435/74760/66508/21844/58996/18582/16443/20469/70497/73910/226652/268970/225358/232906/71302/231874/15357/22084/100855/19731/105689/13667/238130/64214/19735/109689/66691/544963/210789/71810/117600/231207/319934/110279/76954/72238/69993/231532/98710/319939/269608/236915/211673/50780/78514/102098/98402/277360/18220/105855/223754/75547/103724/57257/50778/74563/259302/19414/69601/30938/110596/56508/94176/192786/215632/217835/218581/26934/76117/26382/236920/240168/330914/71729/66790/11857/76089/105841/104252/77980/78808/67046/29875/234094/219140/66251/29815/27414/214804/76795/67894/20662/75974/210293/14784/243621/70296/105445/19739/66725/320634/19765/217944/99326/74030/27387/78255/231821/14569/66687/218397/234353/19157/57915/232201/78618/70785/22411/320292/229877/328967/29809/347722/13605/263406/19159/83409/14682/69710/98910/270163/239027/19158/13196/72536/16413/216439/76088/223666/320127/66096/107566/233071/54645/74694/71704/223864/217325/69780/108911/226970/268706/50768/232237/228359/212285/100088/244668/18795/74002/77038/54324/12549/216805/241694/109934/11855/211914/24012/22324/20334/24056/108067/330662/227377/245638/24001/71310/14020/16801/381112/73205/26431/19261/79566/11856/241308/20563/54126/230098/54610/237422/98366/106952/109270/207212/19730/19419/545156/114713/329260/72318/229898/244548/72754/108699/213783/72121/19417/94190/245886/68813/18186/216859/140500/224014/243362/209773/73341/277854/69440/209354/223254/67865/74206/71435/50907/240057/381605/217715/228850/245666/207592/243780/19415/171207/109905/213522/109294/16800/380711/404710/19418/73167/98732/71544/52850/228355/213649/56692/214137/19395/213027/20403/17207/271981/320560/56533/76123/56715/107746/12662/230837/19732/70719/66656/67425/319899/12663/268739/13998/227801/268480/73728/54153/216363/22325/67792/21838/27054/67231/17925/19347/74018/51791/14697/233046/208869/75415/19889/211922/224617/209815/226407/94221/19386/14469/108686/216963/67903/216445/74055/101489/67299/52666/228482/329877/109904/107045/14567/56349/20401/68016/207227/227800/19734/15463/105835/20663/70727/14163/192236/67839/56784/18015/57785/320484/380698/228998/20166/226089/544817/71972/13645/71824/50753/94254/71709/244867/18545/56032/53972/16897/545481/54189/76484/58175/385263/79264/229541/218460/244654/216991/78816/320435/66628/110351/108995/235633/19737/209478/215821/210933/101497/237782/223332/70314/19893/213498/230972/381085/19385/385354/99371/213990/216831/72542/68576/76131	399
GO:0060589	nucleoside-triphosphatase regulator activity	399/16512	429/28407	1.19835781784109e-60	7.72341613598582e-58	1.70292953061628e-58	74334/16476/50779/14270/217869/230784/102442/232227/108903/140580/53322/67016/68339/329727/71085/217692/17168/231801/69632/19387/223435/74760/66508/21844/58996/18582/16443/20469/70497/73910/226652/268970/225358/232906/71302/231874/15357/22084/100855/19731/105689/13667/238130/64214/19735/109689/66691/544963/210789/71810/117600/231207/319934/110279/76954/72238/69993/231532/98710/319939/269608/236915/211673/50780/78514/102098/98402/277360/18220/105855/223754/75547/103724/57257/50778/74563/259302/19414/69601/30938/110596/56508/94176/192786/215632/217835/218581/26934/76117/26382/236920/240168/330914/71729/66790/11857/76089/105841/104252/77980/78808/67046/29875/234094/219140/66251/29815/27414/214804/76795/67894/20662/75974/210293/14784/243621/70296/105445/19739/66725/320634/19765/217944/99326/74030/27387/78255/231821/14569/66687/218397/234353/19157/57915/232201/78618/70785/22411/320292/229877/328967/29809/347722/13605/263406/19159/83409/14682/69710/98910/270163/239027/19158/13196/72536/16413/216439/76088/223666/320127/66096/107566/233071/54645/74694/71704/223864/217325/69780/108911/226970/268706/50768/232237/228359/212285/100088/244668/18795/74002/77038/54324/12549/216805/241694/109934/11855/211914/24012/22324/20334/24056/108067/330662/227377/245638/24001/71310/14020/16801/381112/73205/26431/19261/79566/11856/241308/20563/54126/230098/54610/237422/98366/106952/109270/207212/19730/19419/545156/114713/329260/72318/229898/244548/72754/108699/213783/72121/19417/94190/245886/68813/18186/216859/140500/224014/243362/209773/73341/277854/69440/209354/223254/67865/74206/71435/50907/240057/381605/217715/228850/245666/207592/243780/19415/171207/109905/213522/109294/16800/380711/404710/19418/73167/98732/71544/52850/228355/213649/56692/214137/19395/213027/20403/17207/271981/320560/56533/76123/56715/107746/12662/230837/19732/70719/66656/67425/319899/12663/268739/13998/227801/268480/73728/54153/216363/22325/67792/21838/27054/67231/17925/19347/74018/51791/14697/233046/208869/75415/19889/211922/224617/209815/226407/94221/19386/14469/108686/216963/67903/216445/74055/101489/67299/52666/228482/329877/109904/107045/14567/56349/20401/68016/207227/227800/19734/15463/105835/20663/70727/14163/192236/67839/56784/18015/57785/320484/380698/228998/20166/226089/544817/71972/13645/71824/50753/94254/71709/244867/18545/56032/53972/16897/545481/54189/76484/58175/385263/79264/229541/218460/244654/216991/78816/320435/66628/110351/108995/235633/19737/209478/215821/210933/101497/237782/223332/70314/19893/213498/230972/381085/19385/385354/99371/213990/216831/72542/68576/76131	399
GO:0061629	RNA polymerase II-specific DNA-binding transcription factor binding	359/16512	382/28407	6.94331371089698e-58	2.98331045778207e-55	6.57787614716556e-56	192197/67238/80280/16476/18708/20466/52639/22378/67278/16909/12317/22761/11863/17260/11518/16478/13560/56438/17261/52690/101206/78656/20848/66894/269389/21423/59024/22059/11461/108655/53380/19014/14462/26416/327987/13435/11632/109689/15902/16969/101700/21343/234959/19822/13654/328572/13017/18193/67154/56381/13207/18024/17684/13001/19017/12606/13982/22629/21416/13198/20602/72199/56399/19183/20375/12490/217410/18035/14255/23871/14460/18627/56736/15251/234594/14121/230753/268903/52668/60595/211329/14582/71890/58231/56637/18741/50868/18600/19411/17128/15982/23989/14472/11909/26443/11865/18018/13016/17978/19664/99311/21428/13819/14245/22591/14281/224829/16600/230673/16543/57316/104263/17127/320165/11886/14886/18996/109108/69790/15525/15260/20671/21848/12912/23872/22200/208908/20893/18129/15258/208266/18572/211770/16825/18227/15370/93760/321006/233904/12042/15213/20747/76260/83602/208727/224111/17258/18012/212391/68879/15163/67773/22062/58198/433759/223499/75613/13009/15110/72569/23942/14816/17126/16842/66959/18124/218772/20687/15507/14465/50911/16392/18751/321000/79221/12952/214855/17344/21388/21386/19645/12953/57376/18736/15375/11864/57259/21781/72512/319594/57436/65102/20807/20846/20591/11545/20997/55927/209456/79362/57752/216154/11622/21804/13163/14461/210719/15205/22259/20779/319182/71492/22260/232286/268980/19359/16871/107765/72504/27223/59036/15378/15184/73680/20186/15364/12929/77632/71769/77006/14725/11835/99982/116870/68776/17979/52028/15183/13813/20586/641340/225182/270627/14884/19255/20683/20185/17300/12914/170826/235459/228980/19281/109113/19015/18933/11746/102774/57320/21412/243910/20184/320795/13211/15502/20851/56070/15289/56406/22337/114142/66354/56404/78926/21349/19016/12578/15108/665596/14084/56642/58805/66233/231889/93759/15214/20684/19130/67655/57246/15361/57751/19013/20181/18740/67381/228790/230025/21678/22762/23957/15182/15904/76365/26922/19712/238803/20182/66200/266692/21869/67378/19090/13388/13433/76804/242285/17927/15468/71990/27217/18148/170930/12608/26380/73845/93761/233908/107932/12387/17977/209200/107392/19697/14836/18095/21389/20674/14228/16798/11792/15499/74132/18171/13712/12069/14897/229906/80285/24068/18091/277744/26927/66993/24075/66083/15511/20592/14463	359
GO:0003712	transcription coregulator activity	445/16512	497/28407	7.75843260662626e-55	2.50015490748531e-52	5.51257053628708e-53	12189/12398/64898/217127/20466/22378/238330/16909/70439/12227/22761/74106/19250/67956/217218/19383/16478/76199/338523/52690/101206/78656/12593/218613/269389/59024/15587/20128/226169/19014/269997/22416/268448/56222/13496/56310/71371/327987/116871/225895/11632/109689/21849/100072/20481/16911/66505/21343/12400/67933/21885/433586/234959/81601/328572/16480/67037/69807/13017/18193/67154/244183/56381/13207/59035/17684/19017/238317/12051/70625/217864/328365/26901/20602/56353/72199/381022/19183/80859/277250/106931/81004/68703/209387/50873/54132/23871/353282/18627/70350/20024/12396/54343/68729/21372/102162/230753/18519/56469/268903/26992/60595/67219/211329/320595/66172/13548/14025/108098/18412/18033/381379/23989/216825/21887/269424/13016/17978/19663/18128/21413/108829/268996/16364/382252/270118/14245/22591/77578/224829/67155/11569/104625/26885/219103/12443/57316/104263/21888/93679/109594/15161/217069/98415/70571/320165/11886/229003/109108/107566/69790/22057/80707/66464/21848/30941/74490/21418/80292/208908/69656/11472/66935/227737/234388/14056/15258/208266/14055/433693/14173/231986/67151/16825/224440/270110/18673/56312/67788/27878/18854/12042/67673/22601/28077/208727/72475/212391/68879/12395/114606/80288/71458/67773/69792/329650/433759/58172/56790/15257/57748/23942/320271/12261/97064/81489/58521/18751/69097/68196/79221/67500/56273/214855/20933/17344/244579/57441/21886/59022/244349/223701/66855/72895/211323/94275/17937/30937/57259/77630/97165/29806/18746/109331/17936/76681/104721/56309/13549/212163/107182/15191/109711/83797/70427/79362/22088/30841/216154/547253/21804/57741/56233/13163/15951/14200/71175/21411/12705/26754/27374/667823/17829/70673/64899/14030/13806/19777/232286/216820/107765/27223/66213/224613/75796/212085/67488/12607/18676/272359/22286/15184/14201/50724/15364/14815/17938/56856/19720/211652/214899/320376/625480/12848/99982/107321/74735/78921/58206/66597/116870/216874/68776/225876/17979/94112/12180/101739/15183/20586/641340/225182/219249/109593/214742/20185/12914/52915/239719/170826/381695/67279/103806/671535/57320/100683/228880/320795/13211/56070/15289/75605/56406/67040/13176/66354/56404/231151/320705/19016/60406/13180/68975/75329/22195/230085/214158/66233/100502940/69642/74112/231889/93759/60533/15361/72462/57261/93686/68050/18985/69809/18103/67057/67381/228790/109115/668166/22762/24105/23957/229534/69188/269881/238803/20182/101604/51810/67525/21869/17152/18983/320713/72065/72057/666528/76804/242285/21665/23947/14534/81000/18432/15468/71990/54650/72693/54169/69090/71148/20220/17257/386655/18148/208146/382206/104383/67014/233908/102638837/20467/107932/20821/192191/319236/231051/13498/12387/17977/28019/13436/229615/22773/12879/16475/26896/11792/228775/13712/15259/80285/24068/269966/50701/434156/66993/22417/233902/98403/22215/11797/223527/233893/224762/74716/76022	445
GO:0003779	actin binding	401/16512	448/28407	2.01356914845621e-49	5.19098126472011e-47	1.14455509491195e-47	269587/20617/21916/215114/18826/55991/20739/11518/27361/231830/229474/242687/217692/20741/13829/68166/52690/17909/20533/12767/14260/76580/20742/100169/23790/18016/13821/217125/22330/194401/544963/72041/13367/19230/22323/14457/286940/19241/12296/212073/17912/13823/66713/16412/77579/17896/56419/74103/58234/228421/21346/360013/59003/11565/54366/22629/320878/100503085/257632/225115/77767/16351/13860/56376/68142/54004/75477/22288/17910/50873/54132/13169/29875/11867/76467/399591/71409/60595/434204/13548/56443/18810/17886/667663/76709/72042/18754/57778/17916/78885/107684/338367/30948/20198/66725/231637/22003/56378/19240/14453/63986/72333/76448/319876/70292/21961/74117/12631/29856/263406/11749/171580/12331/26365/17897/270163/11426/226251/228545/21954/13800/56226/71994/27360/231148/20430/17698/77113/26557/93688/215280/65970/237436/17755/104027/17920/11472/226594/102866/216961/17918/245049/99662/27428/18301/17996/226841/211401/66898/13518/22068/12332/19200/22350/14083/71602/22379/12385/11519/75646/13803/64099/238328/217124/15163/20259/64009/13009/227753/319565/57748/237860/208943/213019/76612/238276/17118/20649/170736/230872/215789/110253/244281/68760/53318/667772/17756/68743/246177/17913/16796/326618/21953/68524/223701/208846/109624/13043/94190/208431/14026/231646/224014/102502/13822/225288/26367/70549/107589/15567/22388/20538/217169/242894/21894/16531/15191/12774/109711/54483/218194/241431/329421/268534/80889/338355/72296/223513/67252/404710/22437/237891/14525/69538/218699/54418/17356/73178/14086/232533/18175/12570/52589/12721/118449/503844/100034363/58800/14201/12808/320502/243725/66747/216033/66196/67425/70599/14248/668940/26936/29816/50875/12343/12345/68802/20276/67803/68810/17925/239719/22138/67399/11350/23999/13649/20650/18127/63873/94040/74376/270058/11838/59069/110380/14623/11727/14469/108686/235431/80297/16210/67903/67771/71960/16985/78926/13405/72565/12340/80743/14473/13138/328019/69693/20743/22376/63985/69310/17919/59006/74192/234686/77569/12569/11752/18645/74189/76499/330938/71653/56370/69312/319713/114774/22351/51810/15444/192176/208076/241639/69697/56320/11514/23789/18693/14300/56431/11474/16332/668894/14468/12632/78906/320712/640524/21952/13726/66999/68794/75454/219033/22349/244654/171531/17906/140781/22067/17357/12344/227357/666244/66822/213556/11731/226541/17754/57342/17921/17883/71096/170947/16475/18126/70997/245880/93677/17880/108897/30794/71774/12386/20648/13419/22157/231003/230917/17922/268709/19201/544791/234857/20740/68767/237560/18457/19684/22004/432516/233199/21956/15185	401
GO:0016755	aminoacyltransferase activity	418/16512	473/28407	5.5542378151789e-48	1.19323542396093e-45	2.63095475455843e-46	12189/22214/224619/384309/238330/217342/65247/216781/74126/56791/320253/50849/75841/84585/54197/56438/66510/54484/68477/67338/76073/66894/30945/68612/59024/71779/76580/21817/20128/21927/19014/13828/22210/71816/105239/224703/105689/207304/80985/21849/381485/50789/99375/56424/101700/67921/22193/68867/71861/20834/234959/19822/13654/20438/69807/51813/230904/67196/244183/74153/23887/69104/76892/170737/76901/80751/328365/22670/11798/59003/213211/218203/66854/207521/94093/69116/223455/106052/76952/15204/66381/66743/65256/209387/218793/50873/83814/56736/207215/67490/68729/22196/268291/56469/67219/66589/19824/66172/56550/67615/672511/22030/108098/94088/214854/216860/67150/331046/23989/140630/67030/67369/208650/68497/77891/50762/28105/14598/269695/233877/108089/231600/22036/66949/228545/117146/19302/93679/19823/217069/16924/74145/12211/108086/69790/81003/668173/21848/17999/24017/211007/100502936/93834/70238/387524/209462/74176/59009/234736/67345/22031/329152/192120/66089/59026/381338/11796/18854/73998/78889/22194/330812/28077/208727/50754/21929/103583/58186/71673/319817/12540/217333/71458/17248/69792/66795/68718/71865/94090/103213/93836/94089/71007/20439/74164/50760/16396/225055/72925/320311/68795/55983/19647/69097/94091/244421/215919/207182/75788/67128/17344/26374/380918/69587/240396/75234/232539/28000/242785/18744/65255/68098/225164/26401/242521/12418/70790/76072/66825/12234/216080/230903/67664/21818/109331/67711/76681/70536/212163/381534/70294/381270/76843/11799/54483/381305/74365/22222/80794/237353/226098/59044/66313/213753/72486/26965/667823/67138/22213/29864/73469/338364/14339/55992/17246/218215/66213/212085/26554/407821/56715/18140/272359/22034/217340/23807/240354/81018/19720/66053/72137/23806/19820/53323/76608/74287/21816/105193/74735/66155/66597/101358/19821/80890/22652/224938/270627/94094/108660/100763/74264/52915/58230/12402/76980/109113/21402/67279/56515/224826/53621/268281/229644/233040/19386/67245/211147/433766/70348/330171/67610/70928/216150/328234/67702/66799/207742/233038/269016/12578/67588/68975/17237/22195/66105/214158/22129/240055/20585/70392/212114/57751/386611/268933/22192/12021/140499/20437/24105/70093/195018/77853/217558/109161/74198/11907/108937/66889/241636/67845/67525/72399/93765/22644/20610/68501/18011/63958/386454/71991/102632837/27385/140887/70797/170930/23802/225743/22671/107568/231672/66771/636931/671564/227738/19373/20821/78913/226541/319236/209200/22209/229615/68350/68031/103737/666747/622117/74132/75212/71522/50764/268470/70208/14897/193670/381845/109910/195359/19893/77772/434246/224170/216438/98403/234329/239083/79263/76497/100040608/107986/22215/11797/640543/66394/67027/224762/71956/140629	418
GO:0005543	phospholipid binding	430/16512	492/28407	2.17066059595762e-46	3.99711644027053e-44	8.81320843471514e-45	192197/269587/225861/382083/74479/20617/52639/15239/71943/215114/329015/76303/93739/16439/233489/252972/18739/69024/17909/21844/23970/71835/69178/20742/58994/232906/71302/268448/56486/56440/53413/13026/229593/72789/74772/544963/22318/319934/54636/19230/16438/67443/19771/13132/13854/69368/16518/17912/218503/228765/18783/54198/277360/71795/18805/381269/27260/80751/329324/21664/69601/19156/28006/11736/237542/74412/192786/93742/225115/209131/228983/235283/58240/26934/11818/26382/71607/330914/20324/26362/271221/76089/74741/20778/16535/29875/66616/20544/54670/17304/211978/11772/18559/74478/13855/30948/244962/72345/218038/16449/217303/207278/11303/231821/107338/72145/260302/66700/78618/72287/26424/240058/69217/70785/12631/216810/347722/19159/228071/11749/14432/26365/69710/71801/56356/13196/216705/76722/233071/69226/17755/19204/56305/19063/54396/11472/382018/226594/76561/53378/211401/12492/238055/11750/69150/228812/22158/14389/102058/69482/12332/170755/64652/212285/50500/18795/74002/18759/234577/170625/20980/71602/16952/16510/18951/225471/109135/74143/226778/22334/17969/14731/97998/54722/100017/217695/20259/74781/214763/227753/216238/227449/56379/83435/72569/269224/64011/17118/70381/106952/66895/17972/99889/17846/12306/19419/71982/114713/329260/246177/18979/17913/18704/246746/15165/94190/52635/57436/386649/23943/26367/668218/79196/21968/16145/15481/21894/67804/26377/83671/101706/69028/14456/211383/16440/114128/102607/319924/666173/66871/18738/20844/226101/11747/12751/435626/69787/70160/268396/54524/218699/66696/11745/17207/76742/217463/14066/231834/246256/55925/27359/14738/13131/74020/66840/216799/14218/50724/545192/27226/11744/11816/72125/216190/66629/14058/12229/14248/76559/74718/14073/16069/29816/142682/26903/227801/14719/105298/73728/54153/26875/11806/21838/226971/14159/108155/15944/76080/236899/66592/18796/23999/106039/72993/227743/74438/244882/11746/74486/69260/60510/72823/383075/22113/69146/108909/13139/18705/108686/18806/15289/207495/216445/70568/22249/14369/21825/319508/56324/20979/19894/77407/72183/54525/14745/11687/18781/83433/110058/55988/18618/65086/66113/333605/100502698/11752/18645/18015/272636/104601/18784/17772/71893/24057/18416/380698/211429/320119/22351/19679/231602/233979/266692/238266/27062/231125/101113/227231/74105/19374/11651/18799/208898/18693/16332/193003/234695/107831/18148/230597/18226/12015/107197/22349/79264/244654/171283/546134/26359/236643/69940/22333/16558/171284/216991/68018/12684/18830/14705/68099/17195/78134/236781/235406/23969/27280/20616/218441/26970/18780/102141/347708/72008/66734/71911/20983/68953/26565/80976/231134/232889/53420/22157/434246/105243/11814/27008/26423/116939/279706/14786/13447/193034/216831/210535/11808/230163/83492/17194/171180	430
GO:0019787	ubiquitin-like protein transferase activity	402/16512	457/28407	5.06510421594331e-45	8.16114916793867e-43	1.79944491882197e-43	12189/22214/224619/384309/238330/217342/65247/216781/74126/56791/320253/50849/75841/84585/54197/56438/66510/54484/68477/67338/76073/66894/30945/68612/59024/71779/76580/20128/21927/19014/22210/71816/105239/224703/105689/207304/80985/21849/381485/50789/99375/56424/101700/67921/22193/68867/71861/20834/234959/19822/13654/20438/69807/51813/230904/67196/244183/74153/69104/76892/170737/76901/80751/328365/22670/11798/59003/213211/218203/66854/207521/94093/69116/223455/106052/76952/15204/66381/66743/65256/209387/218793/50873/83814/56736/207215/67490/68729/22196/268291/56469/67219/66589/19824/66172/56550/67615/672511/22030/108098/94088/214854/216860/67150/23989/140630/67030/208650/68497/77891/50762/28105/269695/233877/108089/231600/22036/66949/228545/117146/19302/93679/19823/217069/16924/12211/108086/69790/81003/668173/21848/17999/24017/211007/100502936/93834/70238/387524/209462/59009/234736/67345/22031/329152/192120/66089/59026/381338/11796/18854/73998/78889/22194/330812/28077/208727/50754/21929/103583/58186/71673/319817/12540/217333/71458/17248/69792/66795/68718/71865/94090/103213/93836/94089/71007/20439/74164/50760/16396/225055/72925/320311/68795/55983/19647/69097/94091/244421/215919/75788/67128/17344/26374/380918/69587/240396/75234/232539/28000/242785/18744/65255/68098/225164/26401/242521/12418/70790/76072/66825/12234/216080/230903/67664/109331/67711/76681/212163/381534/70294/381270/76843/11799/54483/381305/74365/22222/80794/237353/226098/59044/66313/213753/72486/26965/667823/67138/22213/29864/73469/338364/14339/55992/17246/218215/66213/212085/26554/407821/56715/18140/272359/22034/217340/23807/240354/81018/19720/66053/72137/23806/19820/53323/76608/74287/105193/74735/66155/66597/101358/19821/80890/22652/224938/270627/94094/108660/100763/74264/52915/58230/12402/76980/109113/21402/67279/56515/224826/53621/268281/229644/233040/19386/67245/211147/433766/70348/330171/67610/70928/216150/328234/67702/66799/207742/233038/269016/12578/67588/68975/17237/22195/66105/214158/22129/240055/20585/70392/212114/57751/386611/268933/22192/12021/140499/20437/24105/70093/195018/77853/217558/109161/74198/108937/66889/67845/67525/72399/93765/22644/20610/68501/18011/63958/386454/71991/102632837/27385/140887/70797/170930/23802/225743/22671/107568/231672/66771/636931/671564/227738/19373/20821/78913/226541/319236/209200/22209/229615/68350/68031/103737/666747/622117/74132/75212/50764/268470/70208/14897/193670/381845/109910/195359/19893/77772/434246/224170/216438/98403/234329/239083/79263/76497/100040608/107986/22215/11797/66394/67027/224762/71956/140629	402
GO:0004842	ubiquitin-protein transferase activity	380/16512	431/28407	3.68372925125288e-43	5.2759188942944e-41	1.16328292144828e-41	12189/22214/224619/384309/238330/217342/65247/216781/74126/56791/320253/50849/75841/84585/54197/56438/66510/54484/68477/67338/76073/66894/30945/68612/59024/71779/76580/20128/21927/19014/22210/71816/105239/224703/105689/207304/80985/21849/381485/50789/99375/56424/101700/22193/68867/71861/20834/234959/19822/20438/69807/51813/230904/67196/244183/74153/69104/76892/170737/76901/80751/22670/11798/59003/213211/218203/66854/207521/94093/69116/223455/106052/76952/15204/66381/66743/65256/209387/218793/50873/83814/56736/207215/68729/22196/268291/67219/66589/19824/66172/56550/67615/672511/22030/108098/94088/214854/216860/67150/23989/140630/67030/208650/68497/77891/50762/28105/269695/233877/108089/231600/22036/66949/228545/117146/19302/93679/19823/217069/16924/12211/108086/69790/81003/668173/21848/17999/24017/211007/100502936/93834/70238/387524/209462/59009/234736/67345/22031/329152/192120/66089/59026/381338/11796/73998/78889/22194/330812/28077/50754/21929/103583/58186/71673/319817/12540/217333/71458/17248/69792/68718/71865/94090/103213/93836/94089/71007/20439/74164/50760/16396/225055/72925/320311/68795/55983/19647/69097/94091/244421/215919/75788/67128/26374/380918/69587/240396/75234/232539/28000/242785/18744/65255/68098/225164/26401/242521/70790/76072/66825/12234/216080/230903/67664/109331/67711/76681/212163/381534/70294/381270/76843/11799/54483/381305/74365/22222/80794/237353/226098/59044/66313/213753/72486/26965/667823/67138/22213/29864/73469/338364/55992/17246/218215/66213/212085/26554/407821/56715/18140/272359/22034/217340/23807/240354/81018/19720/66053/72137/23806/19820/53323/76608/74287/105193/74735/66597/101358/19821/80890/22652/224938/270627/94094/108660/100763/74264/58230/12402/76980/109113/21402/67279/56515/224826/53621/268281/229644/233040/67245/211147/433766/70348/330171/67610/70928/216150/328234/67702/66799/207742/233038/269016/67588/68975/17237/22195/66105/214158/22129/240055/20585/70392/212114/57751/386611/268933/22192/12021/140499/20437/24105/70093/77853/217558/109161/74198/108937/66889/67845/67525/72399/93765/22644/68501/18011/63958/386454/71991/27385/140887/70797/23802/225743/22671/107568/231672/66771/636931/227738/19373/20821/78913/226541/319236/209200/22209/68350/68031/103737/666747/622117/74132/75212/50764/268470/70208/14897/193670/381845/109910/195359/19893/77772/434246/224170/216438/234329/239083/79263/76497/100040608/107986/22215/11797/66394/67027/224762/71956/140629	380
GO:0004674	protein serine/threonine kinase activity	387/16512	441/28407	8.19199068987686e-43	1.05594759992513e-40	2.32824998554395e-41	108737/15467/18712/13143/14772/26385/140859/19079/68961/108058/264064/13631/72149/18005/13728/223435/104318/226419/101568/102414/18099/17346/11920/56274/20111/57740/26416/51789/74769/18747/233328/18604/26396/69922/69847/232341/20869/110279/18607/19108/78334/53859/19229/30955/20877/214230/12445/17347/12571/13001/26397/69181/73086/72113/17165/20868/140780/233020/21813/207565/12750/16202/18761/108099/70584/26407/102626/26411/69131/665113/71091/237459/22241/216965/13548/58231/56637/59041/667663/18754/98267/381921/29857/69635/16885/269774/22625/66725/74137/381836/22367/12675/16150/225638/53416/59126/213435/70661/20817/26399/228012/70415/50523/65964/17691/110355/12325/26408/399510/26410/192656/230809/236900/338372/18557/18755/12236/53886/20620/15258/16706/71481/11481/53415/18479/17164/321006/11836/170755/231876/18750/223775/66878/225028/223255/68943/18759/266632/674895/20112/107951/20963/77976/67333/17776/23954/74178/19091/244631/269275/226778/26921/14773/14841/75770/80752/18753/11482/192292/56480/15257/228026/269224/227541/330177/19878/53608/320129/56542/16886/213452/21969/12748/17451/18751/26409/21814/545156/12235/26406/11480/18647/16179/101540/12545/18762/70762/245269/381113/73914/23938/546071/26401/18746/23797/78943/20393/234854/107589/328329/75607/66671/11790/13549/12747/226751/56717/11302/11477/27103/19877/12704/110651/109333/329421/18004/215303/93687/55984/12361/213084/12322/26403/26405/26413/56532/110157/381983/13400/27219/27373/69562/50772/20872/18749/66042/69681/232533/58988/12168/117229/12167/20623/58800/13175/17169/109880/245038/13805/106504/116904/333050/18481/26417/29869/14312/104175/330721/19134/224105/233789/11479/26412/19082/52033/228785/59125/270627/18706/26420/235344/26559/26398/241113/22138/17279/50883/16589/70425/50932/225724/230661/105787/23955/231580/320795/26448/271697/72508/382253/18817/70568/240505/234878/26404/52163/20874/20873/26419/238564/12323/217866/18555/21812/105278/12166/18752/57261/212225/108079/12326/18103/76367/217718/12572/12795/11652/71340/71751/26415/435766/22137/268930/13000/245000/329509/12568/12265/67121/380698/269881/320119/17152/27214/19090/75292/11651/93843/66587/56527/57869/209012/19106/27206/269019/101320/67071/24086/56489/19094/75669/232944/270672/108097/67045/606496/12566/77485/12534/228550/214897/20815/19092/279561/279029/23939/18711/18715/26400/16798/13666/15259/72388/208583/12454/18760/106763/223649/110542/71742/381835/12041/26918/225997/24013/332110/238323	387
