ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0061629	RNA polymerase II-specific DNA-binding transcription factor binding	18/414	382/28407	1.51084710067917e-05	0.00439384681973656	0.0035679357633951	192197/67238/80280/18708/20466/52639/22378/67278/16909/12317/22761/11863/11518/16478/13560/56438/17261/52690	18
GO:0031720	haptoglobin binding	4/414	13/28407	2.86463835267443e-05	0.00439384681973656	0.0035679357633951	15135/15129/101488143/15122	4
GO:0004601	peroxidase activity	7/414	61/28407	2.94055787152771e-05	0.00439384681973656	0.0035679357633951	15135/15129/14775/101488143/230784/15122/625249	7
GO:0035091	phosphatidylinositol binding	15/414	294/28407	3.11902508624528e-05	0.00439384681973656	0.0035679357633951	192197/269587/225861/382083/74479/52639/15239/71943/329015/76303/16439/233489/252972/18739/69024	15
GO:0016684	oxidoreductase activity, acting on peroxide as acceptor	7/414	63/28407	3.63714731618512e-05	0.00439384681973656	0.0035679357633951	15135/15129/14775/101488143/230784/15122/625249	7
GO:0005344	oxygen carrier activity	4/414	14/28407	3.964373070439e-05	0.00439384681973656	0.0035679357633951	15135/15129/101488143/15122	4
GO:0003712	transcription coregulator activity	20/414	497/28407	4.90690651731605e-05	0.00466156119145024	0.00378532788478666	12189/12398/64898/217127/20466/22378/238330/16909/70439/12227/22761/74106/19250/67956/217218/19383/16478/76199/338523/52690	20
GO:0140104	molecular carrier activity	8/414	96/28407	8.24593746159293e-05	0.00635832327724007	0.00516314972888668	26426/15135/15129/101488143/12317/15122/66929/65246	8
GO:0008514	organic anion transmembrane transporter activity	13/414	250/28407	8.60524954814446e-05	0.00635832327724007	0.00516314972888668	80879/58207/20539/73095/110172/30805/20514/20501/70026/11732/72401/70456/67863	13
GO:0004842	ubiquitin-protein transferase activity	17/414	431/28407	0.000225398438127735	0.0133681066926446	0.010855304682749	12189/22214/224619/384309/238330/217342/65247/216781/74126/56791/320253/50849/75841/84585/54197/56438/66510	17
GO:0046943	carboxylic acid transmembrane transporter activity	10/414	174/28407	0.000251081154233699	0.0133681066926446	0.010855304682749	80879/58207/20539/30805/20514/20501/70026/72401/70456/67863	10
GO:0005342	organic acid transmembrane transporter activity	10/414	175/28407	0.000262908765079389	0.0133681066926446	0.010855304682749	80879/58207/20539/30805/20514/20501/70026/72401/70456/67863	10
GO:0044389	ubiquitin-like protein ligase binding	15/414	358/28407	0.000276065911086073	0.0133681066926446	0.010855304682749	12189/80280/18626/18708/230674/72416/15239/12317/56791/19891/52065/93739/20020/56438/269523	15
GO:0034593	phosphatidylinositol bisphosphate phosphatase activity	4/414	23/28407	0.000316101849013124	0.0133681066926446	0.010855304682749	170749/16331/103199/19062	4
GO:0016209	antioxidant activity	7/414	89/28407	0.00032765040418863	0.0133681066926446	0.010855304682749	15135/15129/14775/101488143/230784/15122/625249	7
GO:0004439	phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity	3/414	10/28407	0.000341741073345802	0.0133681066926446	0.010855304682749	16331/103199/19062	3
GO:0034594	phosphatidylinositol trisphosphate phosphatase activity	3/414	10/28407	0.000341741073345802	0.0133681066926446	0.010855304682749	16331/103199/19062	3
GO:0019787	ubiquitin-like protein transferase activity	17/414	457/28407	0.000441433952285471	0.0162686941410603	0.0132106689265753	12189/22214/224619/384309/238330/217342/65247/216781/74126/56791/320253/50849/75841/84585/54197/56438/66510	17
GO:0034595	phosphatidylinositol phosphate 5-phosphatase activity	3/414	11/28407	0.000464819832601723	0.0162686941410603	0.0132106689265753	16331/103199/19062	3
GO:0048487	beta-tubulin binding	5/414	46/28407	0.00053815788970965	0.0177257811186904	0.0143938673745757	192197/74334/72416/20617/108903	5
