ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030695	GTPase regulator activity	31/441	429/28407	1.67101775773562e-12	5.21357540413512e-10	4.67884972165972e-10	16476/53322/217692/223435/21844/16443/73910/226652/268970/232906/71302/105689/238130/64214/19735/210789/117600/231207/319934/110279/72238/69993/231532/319939/236915/211673/50780/78514/102098/98402/277360	31
GO:0060589	nucleoside-triphosphatase regulator activity	31/441	429/28407	1.67101775773562e-12	5.21357540413512e-10	4.67884972165972e-10	16476/53322/217692/223435/21844/16443/73910/226652/268970/232906/71302/105689/238130/64214/19735/210789/117600/231207/319934/110279/72238/69993/231532/319939/236915/211673/50780/78514/102098/98402/277360	31
GO:0005096	GTPase activator activity	19/441	238/28407	7.22229204826242e-09	1.50223674603858e-06	1.34816118234232e-06	16476/217692/73910/226652/268970/232906/71302/238130/64214/19735/210789/117600/110279/72238/69993/231532/50780/78514/277360	19
GO:0042578	phosphoric ester hydrolase activity	21/441	350/28407	1.67307876734242e-07	2.61000287705418e-05	2.34231027427939e-05	68440/243382/74776/433022/67603/19054/58994/19280/234515/18798/23959/234779/19053/19264/16329/319939/78600/19267/18587/319468/403178	21
GO:0004721	phosphoprotein phosphatase activity	11/441	162/28407	4.88411783583081e-05	0.00609537905911685	0.0054702119761305	68440/243382/74776/67603/19054/19280/19053/19264/319939/19267/319468	11
GO:0016791	phosphatase activity	14/441	263/28407	7.08368296673095e-05	0.0069879260716339	0.00627121570531248	68440/243382/74776/67603/19054/19280/234515/23959/19053/19264/16329/319939/19267/319468	14
GO:0005085	guanyl-nucleotide exchange factor activity	12/441	201/28407	7.83901963164059e-05	0.0069879260716339	0.00627121570531248	53322/223435/21844/16443/105689/238130/319934/110279/236915/211673/102098/277360	12
GO:0005543	phospholipid binding	20/441	492/28407	0.000101286930534045	0.00790038058165551	0.00709008513738315	215114/17909/21844/69178/20742/58994/232906/71302/74772/319934/19230/16438/19771/13854/69368/16518/17912/228765/18783/277360	20
GO:0016208	AMP binding	4/441	20/28407	0.000227917271386149	0.0142220377344957	0.0127633671976244	68738/71870/432442/239283	4
GO:0035615	clathrin adaptor activity	4/441	20/28407	0.000227917271386149	0.0142220377344957	0.0127633671976244	215114/11767/108800/13854	4
GO:0140312	cargo adaptor activity	4/441	21/28407	0.000278107232708329	0.0152373988049628	0.0136745886711205	215114/11767/108800/13854	4
GO:0004722	protein serine/threonine phosphatase activity	7/441	84/28407	0.000335666259215847	0.0152373988049628	0.0136745886711205	68440/243382/74776/67603/19054/19053/319468	7
GO:0071837	HMG box domain binding	4/441	22/28407	0.000335760739149034	0.0152373988049628	0.0136745886711205	16476/17260/14462/13654	4
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	15/441	343/28407	0.000341864716778013	0.0152373988049628	0.0136745886711205	16476/330463/104348/22654/233987/12916/16978/108168395/108655/14462/14581/20481/72230/14011/16597	15
GO:0008081	phosphoric diester hydrolase activity	7/441	86/28407	0.00038779151414017	0.0159897741885139	0.0143497973486664	433022/58994/18798/234779/78600/18587/403178	7
GO:0001217	DNA-binding transcription repressor activity	15/441	349/28407	0.000409994209961896	0.0159897741885139	0.0143497973486664	16476/330463/104348/22654/233987/12916/16978/108168395/108655/14462/14581/20481/72230/14011/16597	15
GO:1902936	phosphatidylinositol bisphosphate binding	8/441	120/28407	0.000585147809912018	0.0214783666697117	0.01927545726769	215114/69178/74772/19230/19771/16518/17912/228765	8
GO:0051015	actin filament binding	11/441	219/28407	0.000673354043779573	0.0233429401843585	0.0209487924731423	215114/55991/217692/17909/20742/19230/14457/286940/12296/212073/17912	11
GO:0035091	phosphatidylinositol binding	13/441	294/28407	0.000753552183046307	0.0247482401168893	0.0222099590792596	215114/17909/69178/74772/319934/19230/16438/19771/69368/16518/17912/228765/18783	13
GO:1901981	phosphatidylinositol phosphate binding	10/441	199/28407	0.0011632134455482	0.0362922595011038	0.0325699764753496	215114/17909/69178/74772/19230/19771/16518/17912/228765/18783	10
GO:0044325	transmembrane transporter binding	9/441	169/28407	0.00135787818910682	0.0403483804763168	0.0362100850428484	55991/108058/16498/15902/19053/13367/16438/13854/14360	9
GO:0046875	ephrin receptor binding	4/441	32/28407	0.00146037520194169	0.0414215511823462	0.0371731869585158	217692/13841/21844/14360	4
