ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0044772	mitotic cell cycle phase transition	409/15555	454/28891	4.50984675196267e-64	2.92869448072456e-60	4.82316242104639e-61	52679/17246/52468/723962/12567/69917/68094/12566/17863/21987/67141/12534/52696/16798/237256/216166/21423/27375/56371/216190/69754/237459/327799/12905/19192/12189/217232/69681/11799/74370/71276/13649/70385/12450/380694/72290/68067/19052/19360/118454/12323/19941/68964/20877/22059/75604/14841/216965/54394/237877/22680/20555/53892/72508/114714/83560/15574/80280/23834/57376/12313/26931/209334/56696/50496/54451/11491/194655/20135/15902/59036/17420/238271/15512/19363/12192/70127/71375/12572/268697/20620/218630/14165/16323/238555/13557/15904/66197/20184/218294/21752/69716/66671/218793/70601/12325/72993/66923/11792/19188/219103/50523/67153/72400/105513/19645/66214/11479/448987/382985/19357/319944/105837/68501/17869/27401/77044/22410/83797/19090/224023/208643/75826/13383/12914/83383/68193/11820/11504/12013/60364/72057/67045/12449/18763/12575/57261/11629/106795/15937/79263/66591/12445/239985/67052/70891/50850/116871/12193/12314/225182/63955/13872/11789/52563/12532/16906/12322/107047/70799/319195/225131/67655/18018/67974/13194/16952/226026/68034/67155/19211/240665/52004/68431/19708/78832/67849/17283/16319/12043/20479/76707/18557/13924/381293/214498/108989/18514/66977/18214/208768/110957/108000/76843/109019/329152/271697/12021/227292/387219/319651/26554/227331/18761/74268/12236/76464/68142/12235/17222/12531/18795/30963/228714/13555/75608/19650/68612/56190/723951/67121/99152/67991/59126/67857/12298/11477/66442/228361/104418/26427/229776/72776/108058/28036/229841/19055/13684/723950/56456/12428/269424/12427/18767/53317/404710/17829/229543/381534/18392/12580/12448/20460/50927/12795/52276/116748/269582/100088/19891/93760/68592/108911/14726/27354/67628/16600/66209/214444/18028/20104/12578/18027/70681/18764/12545/231600/18973/50883/12704/330177/56317/59008/77045/208628/12054/231803/330216/17120/11461/72611/69188/72772/12568/66993/12571/107976/21335/18647/52206/27214/18671/18669/81702/12453/12452/12122/12034/15170/16493/12444/14235/12576/13860/12366/14056/93695/56150/24100/22591/75430/20133/24075/74996/233805/18817/30949/77035/381921/12055/68953/12237/71007/57913/75770/12577/12443/68077/12315/13871/21803/29861/12447/77891/57775/77011/12144/244281/234664/104394/116733/234736/56453/76454/69581/16412/234069/99375/69957/13685/68251/18032/26992/19651/235559/208583/15586/12530/20588/270201/76499/636931/235661/69274/387218/19054/17535/20586/67629/235041/12649/22687/26951/19684/11920/246735/20466/13076/18854/56469/53869/67941/12442/66991/59046/50875/22137/54601/13205/320595/270669/18555/22209/72584/73866/14199/209091/17257/18715	409
GO:0030099	myeloid cell differentiation	426/15555	480/28891	4.05052890880668e-62	1.31520673668953e-58	2.16596703755136e-59	17311/15978/67588/17684/17863/18605/237339/56484/14628/14728/14727/93759/83554/19152/216161/13637/21423/16969/20851/20850/20848/27419/20533/16416/18750/246746/22778/107817/74370/14104/17268/245944/15122/237625/16878/387164/16160/107829/78926/16189/16191/12981/216781/216820/20185/14723/18472/387162/102466649/18015/216984/101488212/20304/20308/20302/18103/18102/217127/15416/18023/80280/19014/12985/21833/19401/12775/238377/13386/217864/76044/320910/15902/75302/20259/18035/238247/15251/12192/109711/19164/14281/53314/18708/83924/16323/16364/19766/66154/18003/18081/26564/14057/212937/17129/17260/11774/14063/27220/18996/321019/104416/70564/12159/110794/19229/13829/19645/21943/18174/11479/19411/20683/29813/105855/21847/18383/13132/211770/17869/22402/15499/93686/17886/223690/328572/57259/223770/223870/26934/12703/19090/21832/12053/224109/22042/15163/56637/14390/11820/12394/15361/26416/109801/18771/21926/19824/19743/78249/224792/22339/20807/70026/68027/13819/14309/12326/11789/15526/65113/14815/16948/20044/16149/12978/170826/14151/387231/19255/620235/18018/21873/16452/77125/14102/16889/15242/107371/27060/18089/12675/16825/14218/11757/26379/107173/21934/226419/226421/214498/29809/14127/19165/320404/98386/226844/381319/16171/98366/17082/21399/20846/12633/12370/12912/227326/16331/227358/227377/22034/16909/14308/399568/17536/13828/12010/14118/215653/12156/18795/16449/56406/16418/20779/16658/241764/12608/67017/14683/545486/72147/18718/11308/14582/11480/21930/16420/20687/241525/20375/14462/630146/70747/229700/12977/16842/214133/97086/19055/12349/229323/24088/50754/14466/56417/23897/229615/18129/21349/17480/230721/12986/11983/242687/19746/66193/99982/17150/13836/56717/67087/723848/100201/70673/100038882/67490/17096/230257/21898/20104/15977/16476/21814/100900/57816/19247/16923/77573/13856/170741/80752/15467/15289/74511/69188/20535/12571/14284/59003/14184/11518/17089/22388/19664/16590/319653/56792/19016/15170/17000/93675/70809/93694/56760/12183/53621/12311/23845/317757/83408/71982/15404/15405/68235/54368/14461/17342/108655/22228/20480/15129/22083/20679/233904/67773/16409/12520/16535/12577/14082/20514/13871/19698/70080/20085/26365/21803/22695/54624/22177/12611/12606/232790/18733/18722/18725/100038909/18726/18729/272382/15469/50794/233328/23991/233405/14159/14389/12400/17132/15900/22761/12398/56199/99375/244349/11733/20377/52065/12367/97165/16598/16795/18997/234515/16168/18032/16596/13423/16477/234549/22041/11655/102791/235627/21813/17874/208638/12387/12768/20586/14247/23871/117149/72828/235320/66317/64602/18854/235497/50875/235505/22038/19659/56492/11656/69656/17986/11740/67050/14734/15354/192176/54411/14381/210710/209446/14460	426
GO:0031400	negative regulation of protein modification process	419/15555	473/28891	1.44165140639332e-60	3.12069474437275e-57	5.13936080314251e-58	237523/13853/19263/15978/73914/52468/723962/21929/18605/211329/15182/14360/171580/11793/14728/14727/18768/67141/93759/215748/11540/16798/110532/15353/12952/103136/69754/16000/327799/67603/28084/69847/12189/72349/192231/71059/17762/18613/18750/19084/217303/12702/208092/114716/18148/18016/14694/18412/22210/15525/16362/79566/26936/216805/268373/56310/216869/103844/16009/19062/22627/18230/18015/52615/20555/217039/320472/11640/70834/217124/80280/56013/65019/19049/74521/12061/66787/19878/16413/20115/19088/18755/19164/18260/268697/238871/18115/19720/20677/105352/12593/94245/20354/23882/51791/12328/26914/72948/69237/76469/72114/15357/24064/100037258/68045/18753/24056/100504663/50523/72400/52033/13829/14586/19645/52023/105855/170719/11600/105787/97998/211770/107831/18810/671535/66914/12257/14114/66725/12703/19090/68606/12929/73047/208643/75826/328660/77446/547253/209200/56637/83383/208650/67742/18546/50873/17171/224617/22084/19252/12018/106504/12575/13163/21926/76497/21770/18519/14154/64144/22436/20541/75296/18754/56468/19877/16210/11789/24074/24066/269016/20730/19255/17131/14682/13380/19211/15242/14870/14869/225884/110355/76055/70769/240518/19697/17283/225896/13167/107895/108900/108954/240754/381290/19264/19735/117198/63913/226591/26904/69726/19165/63953/213539/17974/227292/387219/56812/98496/18627/74019/66915/72446/80985/15259/18508/114715/12335/16176/19261/19122/215653/12156/228775/66971/20648/228852/19281/15378/18769/54401/52840/19246/11538/20459/229007/67121/76857/110854/11350/227733/13805/69601/57438/66861/68082/19271/12953/19260/16183/24063/97064/18767/20319/14466/56417/229615/108079/67916/12580/69216/56401/230738/100336/70012/67025/13844/66259/71890/56717/230908/74155/57320/18762/13542/100038882/67490/73205/17096/15502/12017/68917/230126/214444/20404/12578/18786/16476/19249/17472/100503670/110524/23790/21405/23980/18125/56334/56715/16885/58805/76571/15507/66801/19085/11461/320365/15234/12568/108099/16193/231125/20563/19017/22223/19023/231474/12391/19016/232341/15170/18205/16974/70686/12576/232431/19277/12389/17295/381759/20617/56150/13197/26903/66277/16332/20821/20597/16202/20947/233805/18817/78388/66824/101490/64384/12577/19060/11816/80794/260299/26365/21803/64383/50918/18226/67605/12028/17872/545902/69903/22088/19259/71974/22185/11441/233328/11819/232854/18213/23991/27050/109689/56513/57321/93742/16150/20377/16337/52065/12367/14232/75141/320795/80750/17973/28135/235584/15587/14678/22258/97541/19087/56693/333433/69274/387218/12387/72828/20660/21838/12402/54725/16173/66867/59046/244923/14629/235505/108837/209743/74769/18518/108155/70315/12069/406217/19716/12070/237107/14381	419
GO:0051098	regulation of binding	368/15555	405/28891	3.90629852855329e-60	6.34187566110627e-57	1.04442086973951e-57	15978/15364/13198/16971/15214/15182/18821/13180/93759/69563/20610/208266/16969/14797/21665/67933/16000/54409/15184/68528/217356/19719/16878/14694/15525/15110/22416/216820/791070/20877/53422/216869/53313/12928/319939/83560/18121/18102/278507/12985/19401/12313/17169/16413/15902/20666/22160/66603/59036/13665/19164/20620/16398/16392/15216/193385/16364/17300/94245/17702/18193/15387/56541/21752/69237/211286/18996/66573/22418/26419/218914/56291/12159/73181/12143/72400/219150/13592/19645/21943/56274/11600/16341/67819/13132/17869/54562/15499/55944/17305/14958/18591/328572/66725/223864/110213/50505/12741/208643/75826/15205/66849/80285/209200/56637/83383/208650/11820/21844/50873/18763/56424/215001/224647/12575/57261/14251/15516/17240/224860/211482/18519/106759/98053/268970/19877/68010/72512/16948/93687/11555/17191/17128/207259/17126/16452/13380/15958/107182/15925/72832/107975/21416/13728/64143/226352/74117/16153/98415/13211/11352/19298/20739/23893/19165/11545/67459/21808/18005/215243/213539/69028/227120/22218/17756/56812/13838/20684/51801/18627/74019/208727/22034/15259/18508/12064/50755/12010/77006/228607/12156/228775/15901/228788/13589/13555/266692/20779/58231/20568/17395/11538/59022/67839/11350/99412/227737/16870/14526/16401/18012/14462/18049/15257/68576/67704/28036/18741/13645/16842/19055/229906/170822/18441/97112/76089/50754/15213/11490/68911/229534/20615/20194/100102/66743/19268/230709/269587/12395/68040/16765/100017/67025/99982/12540/110351/18509/170731/71890/56273/67087/13806/57320/20481/11603/192656/67490/73205/433700/21812/246179/242466/16600/22166/72701/21898/18028/12578/16476/21814/54723/74585/11938/29816/56334/209354/19384/231803/16848/11461/67238/18609/15289/12568/66993/20423/100732/13667/11518/16976/12933/17701/79264/101202684/74318/19712/109552/52163/19016/67784/232560/12389/17295/319757/109624/15258/13848/13063/18979/13666/26903/11519/20821/94088/24075/233744/18817/26417/21849/13017/16334/22113/68188/13871/11816/18793/21803/64383/75613/12028/17927/244058/12144/109689/75687/497652/22751/67443/22761/67177/104346/244667/19053/21951/97165/16795/15368/18997/74256/14339/23802/102122/74025/76500/22437/12387/244694/23988/59035/20586/11804/57810/72828/20660/67557/17127/12306/22038/245000/22284/237107/385354/434784/14265/17257/18715/14460/245522	368
GO:0072594	establishment of protein localization to organelle	402/15555	452/28891	2.92390084396533e-59	3.79756241614216e-56	6.25407001572373e-57	13853/12461/103468/15978/13198/69917/56535/21929/18634/103213/140740/17155/70297/19386/15275/12534/108705/11776/52551/216190/69754/432486/16480/20848/28084/56208/12189/17762/13207/16647/140723/445007/260302/22378/217337/15239/20335/19058/245944/12464/72129/74203/75219/15944/18412/15525/22433/16145/54396/20787/57785/216853/22059/19069/69723/68299/56322/18015/103737/68729/11640/27681/16211/19014/15519/19325/93757/18760/18035/75266/30056/19164/18708/218544/76582/20191/14634/56044/218035/195236/13557/218210/20963/74257/26914/21752/218441/11774/238799/70572/72993/18753/69019/56794/27057/53600/12159/100504663/69089/75751/14180/71844/70478/16648/12759/12177/380918/66148/218699/12465/56274/22631/70790/223513/11600/105787/110862/105782/66914/12300/223696/170762/328572/12257/68653/71175/18141/66725/106042/224008/26413/239739/381038/209018/11815/15163/66449/28185/12469/21454/22084/240055/26416/12575/56462/224727/15516/224824/72836/70891/20473/20472/16867/225326/66384/66306/71983/15183/72930/66810/17714/58801/67105/107305/271564/16452/240614/77125/11632/70769/12631/18969/226407/72265/21854/226432/19225/108989/21749/641376/14545/19298/27058/98732/170829/19335/214854/15510/68115/22218/66821/68818/75734/66541/18761/20813/214585/228607/241639/65969/76161/20844/75608/67067/15378/18769/67145/58231/110750/664799/52838/66865/18128/227699/227720/227738/14828/57743/14725/11909/69482/30059/56428/18633/12953/19260/74718/20661/229801/19055/54673/242274/13605/69276/58869/67713/67749/67890/19302/67437/16649/18767/50754/16905/56417/56338/13858/66233/230673/11426/230738/16650/16792/11983/68943/230895/170731/230908/56273/668173/433693/75471/15502/68512/69934/66212/12578/21687/230500/17472/29867/75387/330192/19384/194309/107939/71735/66437/11781/67604/100494/75788/381686/12190/12491/73078/66169/213990/20423/16193/74504/17713/381716/66661/231430/269113/12492/192193/110379/81896/12122/74043/17113/19305/12034/21937/320727/16543/101185/320938/319757/69923/15277/12468/19349/53421/14275/269966/233726/11865/70261/54376/29810/21849/77938/170770/12051/606496/21803/66525/81904/81905/56330/18226/12028/22088/19259/19428/65098/67669/78688/497652/68051/12550/116733/270096/26356/234865/67952/16783/70160/67384/52348/21856/15568/76687/18709/622675/56495/212999/66887/234549/71805/64209/20818/75669/15587/72825/104831/13663/15481/20660/12402/16154/22687/75311/66069/18854/72565/53869/235442/320528/17999/83946/22771/108672/22284/30058/76976/76219/279706/58194/17986/11609/16784/26926/27061/192176/27643/245474/21855/385493	402
GO:0022411	cellular component disassembly	406/15555	462/28891	1.6010892658689e-56	1.7329122820921e-53	2.85387139319789e-54	260315/73914/67588/68094/78428/56422/20393/171580/12484/11793/77987/108853/74747/12534/74392/23805/69754/11783/17997/54712/67998/56208/217207/72349/70218/23829/18195/52639/286942/68572/208092/66840/56193/245944/20742/268396/75452/15944/18412/78926/22333/16145/54396/216781/319162/194952/20787/14248/29869/83431/22059/276770/56486/78246/18472/16009/216965/237891/75909/73470/80280/65019/21973/57376/12313/192119/22367/14026/16593/20259/12632/11845/15251/15512/20741/21809/20595/18708/15550/105083/11472/68732/18003/380842/14186/56085/14063/320806/17755/246103/100504663/114741/56215/13035/56471/12177/105513/13829/271221/18826/211253/13421/66270/20356/106064/105787/17869/15499/20401/57028/12257/106042/19230/77044/380969/83797/65970/74374/14852/20583/74006/381038/100502698/56637/67846/67841/68942/23794/224432/104015/50873/18815/66643/71893/106583/54194/21926/12305/14251/20405/66905/50850/78798/213556/77057/212307/225326/67453/11789/225363/72512/225115/16573/11555/67064/100502841/12660/14296/76055/107338/27360/12631/81601/329015/225845/20479/76707/210356/226419/16865/67886/226519/18214/66155/20739/21808/210933/26921/19888/12421/17756/76709/22349/227298/245860/13838/53972/18627/23830/51800/66615/228421/69408/17754/80743/77006/70997/56431/17957/13010/72119/75608/66734/227634/269254/20740/99412/13805/227753/67871/71648/269275/13482/14089/20833/228361/66361/12340/99512/76561/67006/56629/208691/18706/67890/50754/20257/80877/94232/16800/14466/229534/20615/13040/280411/72685/108079/12795/73804/230674/230709/11983/93760/16765/12260/12259/68943/68350/12345/14726/230895/170731/56273/66454/13368/269514/67490/76959/109242/269523/21916/21812/67727/209131/20404/11520/12578/65973/231580/22241/54723/100756/63873/21405/11938/77573/68184/72650/66437/74781/14086/70381/75788/76366/66169/213948/12568/66993/16193/11518/15194/22388/73472/320827/74244/232341/194401/19305/12034/319801/57436/13860/12344/12343/14489/22320/12332/15277/64704/13191/26903/11519/232227/320502/20947/320878/13631/18817/26918/12752/16409/68953/12176/66853/13043/108124/16801/67379/606496/15451/12611/56640/12028/101612/27412/16001/23991/29877/20408/78610/234695/116733/93739/67443/234852/73420/102058/16412/80986/211323/16337/94178/69697/11739/19704/14232/270058/21968/24015/13423/257632/270086/74187/75669/23999/11848/17758/20588/16578/76499/22351/208194/13051/17281/12539/235040/20586/235072/235130/23871/15481/19684/71742/22003/320528/17386/546144/50875/30800/244962/108155/68041/59026/110380/17318/66747/72018/11740/16784/68995/26926/14168/66826/54636/209815/14853	406
GO:1903706	regulation of hemopoiesis	398/15555	452/28891	5.93989335908881e-56	5.5105239248461e-53	9.07508519223192e-54	17311/15978/67588/68094/67596/17863/56484/12484/12142/14728/14727/74048/83554/11776/16969/69754/14534/20851/20850/20848/16416/18750/22778/74370/17268/237625/16878/16160/15944/107829/78926/21414/16189/16191/16362/22433/216799/104709/16859/18015/216984/101488212/20304/20308/20302/18103/18102/217127/15416/57765/19014/12985/19401/12775/57376/238377/192119/13386/15519/217864/15902/75302/20259/59032/18035/20663/15251/268564/12192/14281/18708/83924/14634/16323/238555/20677/19766/18003/12522/18081/20963/26564/66494/13024/17260/11774/27220/18996/54169/328365/278672/66923/70564/12159/18950/56335/17387/239114/19229/13655/19645/21807/21943/11479/19411/105855/14000/21847/18383/211770/17869/15499/93686/223690/57259/14375/74039/223770/16197/77044/223870/22410/83797/12703/20583/19090/21832/12053/15163/56637/80859/14390/12394/72057/26416/268936/57757/15001/14998/14960/100504404/21926/239985/20662/68027/12193/56468/14309/22694/11789/15526/65113/16948/269023/21417/16149/12978/170826/240354/19255/17131/620235/16952/21873/67155/14102/16825/20227/81601/26379/107173/12015/16153/226421/20668/19264/214498/381305/22164/240873/74748/320404/63953/15284/17221/16171/98366/22637/107527/20846/12370/12487/12477/12912/16147/227326/16331/227358/66262/19374/19373/22034/12505/16909/14308/17536/16184/16169/19419/12010/14118/57432/215653/16449/20667/16418/16658/241764/11486/12608/67017/18534/14683/56436/72147/67122/14582/11350/319817/11480/21930/241525/20375/228361/17242/14462/630146/229700/12977/16842/97086/19055/12349/56456/16183/60505/229323/16159/16196/229473/50754/12479/22724/23897/19885/229615/18129/21349/17480/70088/230738/12986/16818/93760/12399/66193/99982/56717/67087/100201/70673/18762/100038882/192656/17096/230126/30936/252838/15977/12578/320713/16476/57816/16923/15507/170741/108723/11461/14255/15289/14190/74511/20535/66993/20423/16193/12571/14184/74734/78783/211651/74244/15170/16768/21940/93675/70809/93694/53621/19242/109880/317757/83408/65963/15404/15405/68235/16950/232174/14461/17342/108655/22083/16190/233904/16409/17173/14082/21946/56457/26365/21803/26362/22695/54624/22177/243910/12606/18733/18722/18725/100038909/18726/18729/100328588/15469/387168/14256/50794/207952/23991/14159/723840/12400/234695/22761/14087/56199/234069/99375/14456/244349/20377/69068/75863/97165/59009/18997/234515/16168/21672/26992/74256/81897/102791/11848/20588/21813/12387/12768/12772/20586/23871/72828/235320/16173/66317/214812/235497/19659/56492/16186/67050/74131/320940/15354/209446/14460	398
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	397/15555	451/28891	9.81778767216747e-56	7.96958914288195e-53	1.3124831940687e-53	13853/17246/216440/13198/268291/77987/17155/237353/93759/216080/70377/22213/216150/70294/23805/52551/56371/69754/22027/327799/93765/27419/72053/217232/24086/67163/66313/12006/70382/170930/217365/104318/319701/67245/17846/103573/216622/66753/103583/193670/75452/14694/26420/12330/66089/22210/21402/108660/18858/100041286/56486/216869/116891/628100/67128/21927/67338/66884/217069/20747/57765/26446/72194/19179/110616/65256/26931/74251/116870/217410/108089/27362/217379/207304/70611/69554/66244/94090/104771/19164/71816/71991/20620/15216/214158/14238/105193/218215/76577/12328/213311/100503085/56085/72293/73296/14198/50789/66413/268721/105418/26419/67089/56291/19173/28199/66597/52033/12759/219158/380918/432879/18521/448987/223455/30945/223499/106052/68135/67819/13132/211770/239510/30840/239554/72844/27373/56438/27401/66725/106042/223870/22410/74374/67118/70620/224023/21762/224109/268882/224111/56637/76302/252870/78913/50873/69259/12449/213753/79043/214931/56424/12005/54197/15511/193740/224727/79263/12488/71765/224826/14154/20834/50758/224938/56468/59025/71745/11789/52563/56736/269016/240263/93687/107035/83814/225131/13194/207521/68034/77125/226144/12234/30838/68431/81601/74126/225896/67812/226418/381293/56207/66967/26374/226541/66799/19165/226757/76843/78896/22218/68818/56812/26554/14897/70247/57443/22222/17754/17222/77006/228769/24105/228775/16396/56407/108687/68612/76425/76857/30839/227693/14828/59029/68795/18024/66861/19182/228361/17156/229644/26442/66105/81004/71492/212114/97064/20439/80890/50754/94232/14466/399673/19185/381534/414872/108802/14084/76608/12795/329795/75234/67586/433766/230815/67025/66825/50762/230904/63958/74646/57320/140499/107568/269514/67490/433693/68970/269523/66212/19359/230249/68053/66440/18786/170823/231600/330171/50849/59008/80751/100494/14673/231863/108086/75788/320118/19181/64295/213990/53312/20423/59003/19822/22393/70797/242960/52206/53323/68098/56353/58799/192193/74244/101358/14794/232539/232566/12389/22214/76788/26965/387524/13666/68477/22644/66740/11993/55992/11865/18817/233877/434246/68077/606496/23996/233038/233040/50760/64383/57296/66245/77891/75744/15204/22215/109815/232854/76375/109689/50788/234684/66894/17463/170737/76454/12398/99375/69957/244373/68867/19053/108159/59009/66498/74841/12745/67903/19358/12317/20437/80750/23802/64209/71472/23807/20588/72179/636931/68292/12387/140630/75717/71999/18854/23806/14155/56469/74165/14629/71538/11797/70348/211949/74125/108155/56726/22284/53380/54609/20438/11836/22209/17772/27061/21372/54644/236904	397
GO:0007015	actin filament organization	411/15555	471/28891	2.61184145832398e-55	1.740068948382e-52	2.8656574515036e-53	114774/432516/73910/17118/171580/14609/69288/11994/74392/16798/12798/114606/319277/22027/67282/237436/11858/67803/18613/56699/14784/108100/11465/12808/56193/66713/108686/20742/268396/76884/18016/78926/30794/13169/11840/17910/14248/246177/14457/77579/442801/11687/18643/19062/17913/76566/237860/216961/21927/59040/338367/237891/66196/320472/217124/217125/12985/14026/76820/19878/16413/20259/12632/11845/80837/20741/109711/11852/21809/14744/76260/18708/26401/11472/140580/19720/68732/218194/67252/75477/97895/218397/57748/72114/14063/544963/68760/18753/218952/63985/268747/19229/246710/20410/13829/18826/66214/56419/105855/20356/19219/211401/223593/223601/78757/14787/18810/17886/19354/104445/20401/57028/18693/207495/58234/19230/223864/223881/65970/13731/50525/68606/13383/224105/16419/15163/56370/208177/78885/16423/50873/56716/27361/214952/12954/17916/80880/11629/12488/20807/66616/14158/68767/22350/268970/260409/213556/18754/104215/225288/30948/13367/319262/22240/225115/75415/104027/170826/68166/17919/107351/54132/20411/23789/245857/11854/27360/12631/18175/71653/104252/12333/211673/12043/76707/74117/21956/67771/11352/17926/16456/21346/20739/54418/13800/19130/17974/56363/17912/329165/76709/22349/26554/18761/14260/623781/228543/19261/56431/15901/20779/545481/20971/140579/277360/74103/76467/64930/20740/269233/11350/108897/227753/74192/24136/74194/17996/77767/241431/329416/22138/50884/74569/11853/12340/13609/71994/118449/211556/242253/208188/18759/18706/18645/229320/24088/229474/99889/404710/16800/23897/59069/20194/12331/66938/242687/16765/230837/12540/12345/72754/71890/56717/56226/73205/22004/230101/21916/21812/14745/23790/231637/231646/63873/19303/12704/56378/23912/29816/73121/16885/13717/215114/56221/231830/14086/19353/66898/56443/11867/245880/11518/22388/20563/74734/77569/320827/52822/27428/12391/68089/101314/58991/28006/194401/93675/13860/12344/17295/12343/73178/109624/14489/109880/22793/54324/243725/67653/56753/12332/19240/21333/12386/21336/236266/11519/232201/320502/207278/69710/16332/56212/20947/320878/70497/12721/233877/66824/107702/13043/233977/70394/232906/22323/101497/63986/60595/50918/52428/243961/384619/14453/20430/27385/21872/29875/434204/18479/17921/22411/109689/234683/234686/234695/72042/234857/69581/18186/234094/67384/102098/50768/14107/53318/18709/326618/20312/17973/22041/23999/11848/76499/22351/22437/15894/235041/69524/11806/19684/12363/19200/102774/235431/17127/22003/71602/68178/66991/17918/208943/50875/67968/17920/102502/71584/69693/54004/100034363/399591/666244/18481/110380/58194/19241/11856/66747/385354/208431/192176/102866/22376	411
GO:1901987	regulation of cell cycle phase transition	395/15555	449/28891	2.67950253831537e-55	1.740068948382e-52	2.8656574515036e-53	52679/17246/52468/723962/12567/21853/69917/68094/12566/67141/327762/12534/52696/71733/237256/12696/216166/21423/208266/27375/56371/216190/12952/69754/327799/12905/19192/12189/69681/11799/74370/13649/68145/18148/70385/12450/72290/107829/68067/19052/19360/118454/19941/68964/20877/22059/75604/14841/216965/69109/54394/237877/22680/20555/21385/114714/83560/15574/20913/268465/80280/23834/57376/26931/209334/56696/54451/11491/20135/15902/59036/17420/238271/15512/19363/12192/70127/71375/12572/268697/14165/16323/238555/20184/26914/14451/218294/28114/21752/69716/66671/674895/218793/70601/72993/66923/319955/11792/19188/219103/67153/72400/219158/19645/66214/19355/382985/106052/19357/105837/68501/15499/77044/22410/83797/19090/224023/21380/208643/75826/22061/13383/80285/209200/12914/83383/68193/11820/11504/60364/72057/67045/268930/18763/193838/26416/12575/57261/11629/53817/15937/52040/79263/71702/66591/239985/67052/116871/12193/20473/17685/225182/13872/11789/52563/12532/225372/16906/12978/107047/70799/319195/225131/225160/13194/28000/16952/68034/67155/19211/52004/19367/71711/19708/67849/17283/16319/12043/20479/226419/381290/13924/381293/214498/108989/71449/226591/18514/66977/18214/208768/110957/108000/19130/76843/77065/109019/329152/12021/227292/387219/26554/227331/18761/74268/27103/12236/76464/19361/68142/27223/12235/12531/18795/30963/13555/19650/71878/68612/56190/723951/67991/59126/12298/11477/66442/65964/11909/228361/104418/26427/229776/72776/108058/28036/229841/723950/56456/20674/269424/17349/18767/53317/17829/229543/381457/381534/18392/12580/20460/12795/52276/116748/269582/19891/93760/68592/108911/14726/27354/67490/17451/67628/16600/66209/214444/20104/12578/70681/18764/12545/231600/50883/433938/330177/19247/231724/56317/59008/77045/208628/12054/231803/330216/17120/11461/100683/72611/12190/69188/72772/66993/55982/12571/107976/52206/11787/27214/81702/74729/211651/12122/12034/15170/28019/16493/12444/72440/12576/12366/14056/93695/56150/24100/22591/75430/20133/11785/117229/74996/233805/18817/30949/381921/67278/12055/12237/71007/57913/12577/12443/68077/13871/21803/54624/29861/107503/77011/12144/244281/234664/116733/234736/234779/56453/76454/67177/234854/234069/99375/69957/69068/18004/68251/26992/19651/235559/208583/56289/15586/12530/20588/270201/235661/69274/387218/19054/17535/20586/67629/235041/12649/235323/26951/19684/11920/246735/20466/13076/18854/14155/66131/53869/67941/66991/50875/22137/245000/54601/13205/270669/72584/73866/14199/17257	395
