ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030218	erythrocyte differentiation	20/429	156/28891	2.30673993779471e-13	9.22695975117884e-10	7.75793063289905e-10	11733/13828/80280/16909/15129/22761/56199/216781/14582/241525/20514/20679/387162/11518/56484/20533/70026/52065/16331/100900	20
GO:0034101	erythrocyte homeostasis	20/429	168/28891	9.48489271848805e-13	1.89697854369761e-09	1.59495959134575e-09	11733/13828/80280/16909/15129/22761/56199/216781/14582/241525/20514/20679/387162/11518/56484/20533/70026/52065/16331/100900	20
GO:0030099	myeloid cell differentiation	31/429	480/28891	9.70795337484487e-12	1.29439378331265e-08	1.08831266781156e-08	11733/13828/18708/80280/16909/15129/12398/22761/56199/216781/14582/241525/20514/20679/50754/387162/11518/17260/56484/27419/22042/233328/18032/20533/12349/70026/52065/14218/16331/216161/100900	31
GO:0002262	myeloid cell homeostasis	20/429	215/28891	9.07465907089238e-11	9.07465907089238e-08	7.62987782407925e-08	11733/13828/80280/16909/15129/22761/56199/216781/14582/241525/20514/20679/387162/11518/56484/20533/70026/52065/16331/100900	20
GO:0048872	homeostasis of number of cells	24/429	401/28891	9.87262142017391e-09	7.89809713613913e-06	6.64063693420119e-06	11733/13828/80280/16909/15129/22761/56199/216781/14582/241525/20514/14042/20679/387162/11518/17260/56484/18032/20533/70026/21672/52065/16331/100900	24
GO:0015711	organic anion transport	23/429	436/28891	1.97140457008736e-07	0.000131426971339157	0.00011050241406016	80879/14664/268706/268860/20514/20539/11732/12286/66437/20501/12491/20617/26357/20528/20533/20522/70026/16423/68066/330064/26889/59033/67863	23
GO:0003018	vascular process in circulatory system	16/429	247/28891	1.03877028739088e-06	0.000593583021366214	0.000499078356122383	11555/21391/19271/12333/18441/20514/12291/23945/11607/14042/213435/11512/14775/12491/26357/330064	16
GO:1905039	carboxylic acid transmembrane transport	12/429	144/28891	1.74946302114645e-06	0.000746812431030672	0.000627912030827105	80879/14664/268706/20514/20539/20501/12491/20522/70026/330064/26889/67863	12
GO:0015670	carbon dioxide transport	5/429	15/28891	1.87347920762844e-06	0.000746812431030672	0.000627912030827105	15129/11826/11829/15135/12349	5
GO:1903825	organic acid transmembrane transport	12/429	145/28891	1.88208437317837e-06	0.000746812431030672	0.000627912030827105	80879/14664/268706/20514/20539/20501/12491/20522/70026/330064/26889/67863	12
GO:0061515	myeloid cell development	10/429	98/28891	2.05373418533435e-06	0.000746812431030672	0.000627912030827105	11733/13828/15129/22761/56199/216781/20679/50754/233328/20533	10
GO:0019755	one-carbon compound transport	7/429	43/28891	3.07944250587026e-06	0.00102648083529009	0.000863054281250481	15129/11826/11829/15135/20533/12349/59033	7
GO:0042744	hydrogen peroxide catabolic process	6/429	30/28891	4.54432453251161e-06	0.00139116061059874	0.00116967319759552	15129/101488143/15135/14775/20617/21672	6
GO:1901653	cellular response to peptide	18/429	346/28891	5.09421228130304e-06	0.00139116061059874	0.00116967319759552	18708/11555/13838/19271/67856/11607/12286/14678/11512/12928/66437/12491/19387/20528/12349/18604/74551/117150	18
GO:0006779	porphyrin-containing compound biosynthetic process	6/429	31/28891	5.56464244239496e-06	0.00139116061059874	0.00116967319759552	11733/20741/216792/56199/14664/68066	6
GO:0033014	tetrapyrrole biosynthetic process	6/429	31/28891	5.56464244239496e-06	0.00139116061059874	0.00116967319759552	11733/20741/216792/56199/14664/68066	6
GO:0015669	gas transport	5/429	19/28891	6.90716486883539e-06	0.00162521526325539	0.00136646388581604	15129/11826/11829/15135/12349	5
GO:0048821	erythrocyte development	7/429	49/28891	7.60326284983062e-06	0.00164184100312292	0.00138044263288888	11733/13828/15129/56199/216781/20679/20533	7
GO:0000302	response to reactive oxygen species	13/429	195/28891	7.79874476483388e-06	0.00164184100312292	0.00138044263288888	20698/18104/12333/11826/234384/12928/56484/14775/12491/26462/20533/21672/18604	13
GO:0045646	regulation of erythrocyte differentiation	7/429	51/28891	9.98923174737725e-06	0.00199784634947545	0.00167976818067738	16909/22761/56199/14582/241525/56484/16331	7
GO:0034248	regulation of amide metabolic process	21/429	482/28891	1.31275989047682e-05	0.00250049502947966	0.00210238989978618	66612/72416/15129/13838/56422/20698/17346/234384/12227/207952/18458/387162/208691/20617/213988/23879/214424/75841/18604/17872/12457	21
GO:0009308	amine metabolic process	10/429	129/28891	2.39871428889756e-05	0.00425868690033079	0.00358065911751497	18263/268860/228608/11607/71562/381290/15452/20617/17069/18245	10
GO:1901652	response to peptide	20/429	464/28891	2.4487449676902e-05	0.00425868690033079	0.00358065911751497	18708/11555/11423/13838/19271/12333/67856/11607/12286/14678/11512/12928/66437/12491/19387/20528/12349/18604/74551/117150	20
GO:0034620	cellular response to unfolded protein	8/429	83/28891	3.30303342461831e-05	0.00549683055848663	0.00462167727220125	18708/80280/56199/14828/72661/214424/17872/27368	8
GO:0046942	carboxylic acid transport	17/429	362/28891	3.43551909905414e-05	0.00549683055848663	0.00462167727220125	80879/14664/268706/268860/20514/20539/12286/66437/20501/12491/20617/26357/20522/70026/330064/26889/67863	17
GO:0015849	organic acid transport	17/429	364/28891	3.68046334847122e-05	0.00550324343663064	0.00462706915264076	80879/14664/268706/268860/20514/20539/12286/66437/20501/12491/20617/26357/20522/70026/330064/26889/67863	17
GO:0006576	biogenic amine metabolic process	9/429	109/28891	3.71468931972568e-05	0.00550324343663064	0.00462706915264076	18263/268860/228608/11607/71562/15452/20617/17069/18245	9
GO:0006778	porphyrin-containing compound metabolic process	6/429	43/28891	3.96401253378962e-05	0.00565052308811744	0.00475090033329874	11733/20741/216792/56199/14664/68066	6
GO:0045744	negative regulation of G protein-coupled receptor signaling pathway	7/429	63/28891	4.09662923888514e-05	0.00565052308811744	0.00475090033329874	11555/380714/14678/109689/381290/20617/26385	7
GO:0006401	RNA catabolic process	15/429	297/28891	4.34436494915438e-05	0.00579248659887251	0.00487026175878886	72416/56422/109075/12227/56190/78781/619605/18458/387162/56055/213988/23879/69724/12457/57444	15
GO:0140962	multicellular organismal-level chemical homeostasis	8/429	88/28891	5.04663105547517e-05	0.00651178200706474	0.00547503776646628	11733/13828/11826/11829/14042/11512/27419/210992	8
GO:0007269	neurotransmitter secretion	11/429	174/28891	6.28342536354647e-05	0.00745941419436965	0.00627179693447658	380714/20698/14664/18441/12286/17260/12048/67808/20617/60425/59033	11
GO:0099643	signal release from synapse	11/429	174/28891	6.28342536354647e-05	0.00745941419436965	0.00627179693447658	380714/20698/14664/18441/12286/17260/12048/67808/20617/60425/59033	11
GO:0002573	myeloid leukocyte differentiation	14/429	272/28891	6.3405020652142e-05	0.00745941419436965	0.00627179693447658	18708/12398/22761/14582/50754/17260/27419/22042/233328/18032/12349/14218/16331/216161	14
GO:0031331	positive regulation of cellular catabolic process	16/429	349/28891	7.70428950996268e-05	0.00858820937679033	0.00722087604180134	66612/11555/17168/216781/12227/78781/27059/18458/387162/56484/20617/213988/23879/329015/12457/117150	16
GO:0006801	superoxide metabolic process	7/429	70/28891	8.11993825869617e-05	0.00858820937679033	0.00722087604180134	18104/11607/14678/27419/12491/21672/14218	7
GO:0030968	endoplasmic reticulum unfolded protein response	7/429	70/28891	8.11993825869617e-05	0.00858820937679033	0.00722087604180134	18708/80280/14828/72661/214424/17872/27368	7
GO:0006979	response to oxidative stress	17/429	389/28891	8.33666043913761e-05	0.00858820937679033	0.00722087604180134	20698/18104/12333/11826/234384/69051/625249/12928/56484/27419/14775/12491/20617/26462/20533/21672/18604	17
GO:0019439	aromatic compound catabolic process	19/429	467/28891	8.37350414237057e-05	0.00858820937679033	0.00722087604180134	72416/56422/109075/12227/56190/78781/71562/619605/18458/387162/15452/56055/213988/107569/23879/15445/69724/12457/57444	19
GO:0031623	receptor internalization	10/429	150/28891	8.66246784620227e-05	0.00866246784620227	0.0072833117812148	11423/232227/16976/109689/67300/12491/20617/22042/11772/15239	10
GO:0021695	cerebellar cortex development	7/429	71/28891	8.89428220052134e-05	0.0086773484883135	0.00729582326846359	20720/78286/14828/12286/27419/18032/235439	7
GO:0001894	tissue homeostasis	14/429	283/28891	9.66598843577127e-05	0.00899161714955467	0.00756005705074399	11555/13040/12215/11732/14042/11518/22295/27419/22042/233328/18032/12349/16331/26889	14
GO:0060249	anatomical structure homeostasis	14/429	283/28891	9.66598843577127e-05	0.00899161714955467	0.00756005705074399	11555/13040/12215/11732/14042/11518/22295/27419/22042/233328/18032/12349/16331/26889	14
GO:0033013	tetrapyrrole metabolic process	6/429	52/28891	0.000118286981361798	0.0105854525762999	0.00890013710033638	11733/20741/216792/56199/14664/68066	6
GO:0009101	glycoprotein biosynthetic process	14/429	289/28891	0.00012051483427448	0.0105854525762999	0.00890013710033638	70827/14537/15450/71001/103534/20441/102580/14042/57170/50785/215015/58250/20442/13200	14
GO:0001505	regulation of neurotransmitter levels	12/429	220/28891	0.000121732704627449	0.0105854525762999	0.00890013710033638	380714/20698/14664/18441/12286/17260/12048/67808/20617/60425/26889/59033	12
GO:0072593	reactive oxygen species metabolic process	13/429	257/28891	0.000136676737267584	0.011542467808791	0.00970478543397031	15129/101488143/18104/11607/15135/14678/56484/27419/14775/12491/20617/21672/14218	13
GO:0044270	cellular nitrogen compound catabolic process	18/429	446/28891	0.000141395230657689	0.011542467808791	0.00970478543397031	72416/56422/109075/12227/56190/78781/71562/619605/18458/387162/15452/56055/213988/107569/23879/69724/12457/57444	18
GO:0046700	heterocycle catabolic process	18/429	446/28891	0.000141395230657689	0.011542467808791	0.00970478543397031	72416/56422/109075/12227/56190/78781/71562/619605/18458/387162/15452/56055/213988/107569/23879/69724/12457/57444	18
GO:0017157	regulation of exocytosis	12/429	226/28891	0.000156582692807774	0.0125064508761114	0.0105152922497832	380714/18441/12291/12286/14678/12048/67808/20617/54204/15239/60425/59033	12
GO:1901361	organic cyclic compound catabolic process	19/429	491/28891	0.000159894845499234	0.0125064508761114	0.0105152922497832	72416/56422/109075/12227/56190/78781/71562/619605/18458/387162/15452/56055/213988/107569/23879/15445/69724/12457/57444	19
GO:0035967	cellular response to topologically incorrect protein	8/429	104/28891	0.000164600022957404	0.0125064508761114	0.0105152922497832	18708/80280/56199/14828/72661/214424/17872/27368	8
GO:0071496	cellular response to external stimulus	15/429	335/28891	0.000165710474108476	0.0125064508761114	0.0105152922497832	11928/17168/11826/20469/14645/18712/14828/193385/19079/68526/74302/22042/18604/57748/27368	15
GO:0034655	nucleobase-containing compound catabolic process	17/429	414/28891	0.00017553563092346	0.0129225734336209	0.0108651637158996	72416/56422/109075/12227/56190/78781/619605/18458/387162/15452/56055/213988/107569/23879/69724/12457/57444	17
GO:0010506	regulation of autophagy	14/429	300/28891	0.000177685384712287	0.0129225734336209	0.0108651637158996	66612/11555/17168/68970/216781/20539/50754/56484/74302/20617/235439/329015/117150/22224	14
GO:0006836	neurotransmitter transport	12/429	230/28891	0.000184283336901619	0.0130700316277468	0.0109891450133292	380714/20698/14664/18441/12286/17260/12048/67808/20617/60425/26889/59033	12
GO:0046928	regulation of neurotransmitter secretion	8/429	106/28891	0.000187830902789718	0.0130700316277468	0.0109891450133292	20698/18441/12286/17260/12048/67808/20617/59033	8
GO:0045123	cellular extravasation	7/429	80/28891	0.000189515458602328	0.0130700316277468	0.0109891450133292	14537/12333/193385/14042/381485/12928/16423	7
GO:0045453	bone resorption	7/429	81/28891	0.000204828121895183	0.0134080500346092	0.0112733473317306	11555/13040/14042/22042/233328/12349/16331	7
GO:0009991	response to extracellular stimulus	18/429	460/28891	0.000206478723680099	0.0134080500346092	0.0112733473317306	11555/17168/20469/14645/18712/14828/19079/68526/56484/74302/20501/22042/18604/57748/27368/12457/74551/192197	18
GO:0001958	endochondral ossification	5/429	37/28891	0.000207824775536443	0.0134080500346092	0.0112733473317306	12393/14042/17260/237928/18032	5
GO:0036075	replacement ossification	5/429	37/28891	0.000207824775536443	0.0134080500346092	0.0112733473317306	12393/14042/17260/237928/18032	5
GO:0046849	bone remodeling	8/429	108/28891	0.000213689475373614	0.0135675857380072	0.0114074832718245	11555/13040/14042/226551/22042/233328/12349/16331	8
