ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0032496	response to lipopolysaccharide	23/444	401/28891	8.17342300296888e-08	9.84902000179787e-05	7.69102534465337e-05	17260/21938/110279/14728/22034/244183/21898/16159/212937/215257/214498/387165/67154/19218/22169/387164/257632/18578/69601/108655/17079/16162/234779	23
GO:0007411	axon guidance	18/444	252/28891	8.51260805804096e-08	9.84902000179787e-05	7.69102534465337e-05	14462/17260/11658/223435/13839/71436/214968/13640/107515/13723/13841/14009/13616/14042/18187/108655/19206/399558	18
GO:0097485	neuron projection guidance	18/444	252/28891	8.51260805804096e-08	9.84902000179787e-05	7.69102534465337e-05	14462/17260/11658/223435/13839/71436/214968/13640/107515/13723/13841/14009/13616/14042/18187/108655/19206/399558	18
GO:0071222	cellular response to lipopolysaccharide	20/444	312/28891	9.73223320335758e-08	9.84902000179787e-05	7.69102534465337e-05	17260/21938/110279/14728/22034/244183/21898/16159/212937/215257/214498/387165/67154/22169/387164/257632/18578/69601/17079/234779	20
GO:0071219	cellular response to molecule of bacterial origin	20/444	322/28891	1.62089075728757e-07	0.000112692591033933	8.80007933417154e-05	17260/21938/110279/14728/22034/244183/21898/16159/212937/215257/214498/387165/67154/22169/387164/257632/18578/69601/17079/234779	20
GO:1903706	regulation of hemopoiesis	24/444	452/28891	1.78149520969606e-07	0.000112692591033933	8.80007933417154e-05	14462/17260/13024/14728/22034/20677/16159/12571/18534/214498/17268/13655/67596/14309/12505/50794/14683/19264/108655/75863/269023/18383/229323/12912	24
GO:0002237	response to molecule of bacterial origin	23/444	421/28891	1.94873551689113e-07	0.000112692591033933	8.80007933417154e-05	17260/21938/110279/14728/22034/244183/21898/16159/212937/215257/214498/387165/67154/19218/22169/387164/257632/18578/69601/108655/17079/16162/234779	23
GO:0043087	regulation of GTPase activity	20/444	345/28891	4.85758349815852e-07	0.000225814269589341	0.000176336657888702	50778/110279/21844/13839/57257/240168/231532/13640/231207/14744/19414/22324/17295/20194/76117/14683/69601/110829/210789/69993	20
GO:0002429	immune response-activating cell surface receptor signaling pathway	18/444	284/28891	5.02057417565234e-07	0.000225814269589341	0.000176336657888702	14462/17260/14728/22034/57257/69368/21898/233079/67596/16822/257632/18578/170737/19264/69601/108655/14289/234779	18
GO:0071216	cellular response to biotic stimulus	20/444	349/28891	5.82086225156111e-07	0.000235628503943194	0.000184000519383558	17260/21938/110279/14728/22034/244183/21898/16159/212937/215257/214498/387165/67154/22169/387164/257632/18578/69601/17079/234779	20
GO:0002768	immune response-regulating cell surface receptor signaling pathway	18/444	294/28891	8.29267090972987e-07	0.000305059967555175	0.00023821902500733	14462/17260/14728/22034/57257/69368/21898/233079/67596/16822/257632/18578/170737/19264/69601/108655/14289/234779	18
GO:0010959	regulation of metal ion transport	23/444	461/28891	9.44559574329684e-07	0.000305059967555175	0.00023821902500733	110784/13483/13367/12296/14065/14579/16438/67972/74166/19218/70839/18578/13616/432442/14683/14167/269513/240899/16533/14225/17691/234779/116873	23
GO:0006935	chemotaxis	23/444	462/28891	9.80150639831121e-07	0.000305059967555175	0.00023821902500733	21844/17250/57257/16159/214968/107515/233079/13655/22324/17295/432867/217835/70839/257632/18578/13616/50930/20750/17101/238130/18187/14289/12912	23
GO:0042330	taxis	23/444	464/28891	1.05504929490426e-06	0.000305059967555175	0.00023821902500733	21844/17250/57257/16159/214968/107515/233079/13655/22324/17295/432867/217835/70839/257632/18578/13616/50930/20750/17101/238130/18187/14289/12912	23
GO:0007638	mechanosensory behavior	5/444	16/28891	3.18372560406767e-06	0.000859181416351062	0.000670928279930892	66797/212937/20512/14009/18189	5
GO:1902105	regulation of leukocyte differentiation	19/444	363/28891	4.19809845423301e-06	0.000996492460926663	0.000778153437737354	14462/13024/14728/22034/20677/16159/12571/18534/13655/67596/14309/12505/14683/19264/108655/75863/269023/18383/12912	19
GO:0050900	leukocyte migration	20/444	398/28891	4.33972468138419e-06	0.000996492460926663	0.000778153437737354	14462/110279/57257/20344/16159/233079/22324/19218/217835/70839/257632/18578/13616/50930/14042/20750/17101/65256/14289/20868	20
GO:0060326	cell chemotaxis	18/444	331/28891	4.43104355155137e-06	0.000996492460926663	0.000778153437737354	21844/17250/57257/16159/233079/13655/22324/17295/432867/217835/257632/18578/13616/50930/20750/17101/238130/14289	18
GO:0030217	T cell differentiation	18/444	339/28891	6.15842377104532e-06	0.00131206839079955	0.00102458429830743	14462/13024/14728/20677/16159/58240/12571/18534/13655/22324/67596/12051/12505/19264/12500/108655/75863/269023	18
GO:0009410	response to xenobiotic stimulus	18/444	346/28891	8.14336811218074e-06	0.00164821770590538	0.00128708076004625	17260/74519/17250/66797/57257/76108/20512/15107/320024/14862/18578/14121/14683/17101/19259/12515/12912/13110	18
GO:0032663	regulation of interleukin-2 production	8/444	68/28891	9.64108758927834e-06	0.00185843440768565	0.00145123739501769	14462/14728/20742/22034/257632/18578/19264/234779	8
GO:0061333	renal tubule morphogenesis	9/444	92/28891	1.24159838841957e-05	0.00222016291668013	0.00173370845610319	14462/17260/14260/56753/107515/15478/54710/12505/19206	9
GO:0007264	small GTPase mediated signal transduction	20/444	428/28891	1.26145620265917e-05	0.00222016291668013	0.00173370845610319	110279/21844/74012/57257/240168/231532/53322/76108/14065/14744/19414/73910/17295/117600/232227/14121/238130/69601/226652/64143	20
GO:0072009	nephron epithelium development	10/444	120/28891	1.71194621603178e-05	0.00271310502827489	0.00211864322860139	14462/17260/14260/56753/107515/15478/54710/12505/14042/19206	10
GO:0071625	vocalization behavior	5/444	22/28891	1.77874065191185e-05	0.00271310502827489	0.00211864322860139	66797/212937/14042/108655/18189	5
GO:1904062	regulation of monoatomic cation transmembrane transport	18/444	367/28891	1.79971754339744e-05	0.00271310502827489	0.00211864322860139	110784/13483/13367/17992/12296/14065/14579/74166/19218/18578/13616/432442/14167/240899/16533/14225/234779/116873	18
GO:0060675	ureteric bud morphogenesis	8/444	74/28891	1.81406981816133e-05	0.00271310502827489	0.00211864322860139	14462/14260/56753/107515/15478/54710/12505/19206	8
GO:0002757	immune response-activating signaling pathway	20/444	440/28891	1.87665367568421e-05	0.00271310502827489	0.00211864322860139	14462/17260/14728/22034/57257/67933/69368/21898/107515/233079/67596/16822/257632/18578/170737/19264/69601/108655/14289/234779	20
GO:0032623	interleukin-2 production	8/444	76/28891	2.2096894229583e-05	0.0030844216497018	0.00240860157428087	14462/14728/20742/22034/257632/18578/19264/234779	8
GO:0002764	immune response-regulating signaling pathway	20/444	450/28891	2.58217394761122e-05	0.00344480283793372	0.00269002052275717	14462/17260/14728/22034/57257/67933/69368/21898/107515/233079/67596/16822/257632/18578/170737/19264/69601/108655/14289/234779	20
GO:0072171	mesonephric tubule morphogenesis	8/444	78/28891	2.67521994168026e-05	0.00344480283793372	0.00269002052275717	14462/14260/56753/107515/15478/54710/12505/19206	8
GO:0071805	potassium ion transmembrane transport	13/444	212/28891	2.72316429876183e-05	0.00344480283793372	0.00269002052275717	110784/94249/13483/20512/15451/16795/74166/19218/70839/13616/432442/240899/16533	13
GO:0043270	positive regulation of monoatomic ion transport	15/444	277/28891	2.889824481018e-05	0.00354162839863523	0.00276563087193197	13483/17992/12296/14065/16438/67972/70839/13616/432442/14683/14167/240899/16533/234779/116873	15
GO:0072073	kidney epithelium development	11/444	155/28891	2.97468788422919e-05	0.00354162839863523	0.00276563087193197	14462/17260/14260/56753/107515/15478/13841/54710/12505/14042/19206	11
GO:0031663	lipopolysaccharide-mediated signaling pathway	7/444	59/28891	3.30732833886785e-05	0.00382516146163916	0.00298703969973539	22034/244183/21898/212937/67154/17079/234779	7
GO:0031223	auditory behavior	4/444	13/28891	3.5250610366796e-05	0.00386842641911803	0.00302082497831585	66797/212937/20512/18189	4
GO:0072080	nephron tubule development	9/444	105/28891	3.60348530691367e-05	0.00386842641911803	0.00302082497831585	14462/17260/14260/56753/107515/15478/54710/12505/19206	9
GO:0071711	basement membrane organization	6/444	41/28891	3.63142796261079e-05	0.00386842641911803	0.00302082497831585	15451/16795/18073/14309/14042/399558	6
GO:0002220	innate immune response activating cell surface receptor signaling pathway	8/444	82/28891	3.85497978466515e-05	0.00400127132521142	0.00312456256230755	22034/69368/21898/233079/257632/170737/69601/234779	8
GO:0045580	regulation of T cell differentiation	12/444	190/28891	4.14017451751851e-05	0.00413198407220338	0.0032266351593579	14462/13024/14728/20677/16159/18534/13655/67596/12505/19264/75863/269023	12
GO:0060993	kidney morphogenesis	9/444	107/28891	4.18506291898069e-05	0.00413198407220338	0.0032266351593579	14462/14260/20677/56753/107515/15478/54710/12505/19206	9
GO:0072006	nephron development	11/444	162/28891	4.46540669113558e-05	0.00430380149659925	0.00336080608859152	14462/17260/14260/56753/107515/15478/18073/54710/12505/14042/19206	11
GO:0060562	epithelial tube morphogenesis	18/444	395/28891	4.71238425788788e-05	0.00443621662230933	0.00346420806032737	14462/17260/14260/22034/56753/107515/15478/13841/20481/17295/54710/12505/14042/108655/65256/19206/17684/21923	18
GO:0072078	nephron tubule morphogenesis	8/444	86/28891	5.44057587158036e-05	0.00493923055647338	0.00385700784301268	14462/14260/56753/107515/15478/54710/12505/19206	8
GO:0043254	regulation of protein-containing complex assembly	19/444	437/28891	5.49074543086221e-05	0.00493923055647338	0.00385700784301268	14260/76820/75744/13854/20742/20344/21898/105439/224008/73910/17295/70839/12557/78808/218333/69601/12912/64143/234779	19
GO:0061326	renal tubule development	9/444	112/28891	5.9954972302315e-05	0.00527603756260372	0.00412001789070599	14462/17260/14260/56753/107515/15478/54710/12505/19206	9
GO:0030099	myeloid cell differentiation	20/444	480/28891	6.33556866228971e-05	0.00541176808718083	0.00422600883238091	14462/17260/14728/22034/21898/12571/212937/214498/17268/16795/14309/387164/20044/50794/14683/108655/18383/229323/12912/17684	20
GO:0072088	nephron epithelium morphogenesis	8/444	88/28891	6.41711630891007e-05	0.00541176808718083	0.00422600883238091	14462/14260/56753/107515/15478/54710/12505/19206	8
GO:0010996	response to auditory stimulus	5/444	29/28891	7.341258855748e-05	0.00586576963791234	0.00458053521496015	66797/212937/20512/231252/18189	5
