ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0003712	transcription coregulator activity	440/15385	497/28407	1.99655442536497e-62	2.2080709588495e-59	6.34715591454024e-60	12593/16909/238317/12398/76199/22761/12227/238330/71371/74106/109689/13496/13016/217218/57748/22378/268903/11632/116871/218613/19250/27223/269997/211329/226169/56310/70625/56469/217127/12189/353282/70439/50873/56222/67956/93679/20466/208266/15587/56353/69792/59035/21343/67037/100072/327987/18193/116870/81489/13207/244183/67933/16825/19183/66172/381379/18627/59024/101206/19383/72199/15258/16478/269389/26901/268448/13549/433759/59022/67500/26992/225895/54343/20481/66464/107566/19014/208908/433586/208727/320165/108098/328572/12396/81601/72475/232286/58172/67154/67151/270118/12051/12261/64898/219103/15161/13163/234959/68729/80707/277250/58206/69097/19017/230753/57441/14056/106931/217069/67788/56381/71148/69656/216825/28019/71458/23989/18673/20933/217864/60595/50724/81004/30941/69807/18854/12042/17684/212391/13498/20128/102162/26885/80859/98415/57320/12607/70427/234388/104625/231986/23942/216154/30937/58521/214742/21848/56790/68776/22057/78656/15289/209387/14030/17938/15183/67773/219249/12395/77578/56309/14025/20602/14815/67279/13176/23871/70571/67219/13211/68703/57259/16364/18128/338523/28077/244349/78921/66935/68879/67673/66213/109108/11569/15257/69790/20024/29806/21885/20586/16480/101739/56233/21804/224613/212163/14245/109331/21888/216820/93759/18148/272359/75605/270110/671535/14055/66233/72567/433693/12400/70350/547253/57261/16911/109594/22591/12848/244579/320271/109115/320376/641340/381022/214855/231051/30841/18033/223701/15191/19720/66505/14173/67155/108829/74735/19663/211323/21665/21887/51810/17257/13017/225876/72895/329650/239719/320595/15364/233908/104263/83797/107182/100683/328365/67057/76804/67381/269424/21411/20185/60406/21372/381695/20182/94112/67488/320705/56406/104721/66855/17978/22215/60533/21413/13548/103806/268996/71175/54132/52915/67525/228790/214158/107932/107321/77630/11792/99982/18751/70673/57316/21849/79221/22601/193740/225182/21886/67040/24105/66597/56361/18676/15951/224440/434156/229615/382252/224829/227737/17937/109711/22195/11797/211652/14534/94275/68196/214899/52690/54169/18746/80285/20220/18432/18412/17977/22416/109593/12914/56273/17979/71990/69188/72057/19016/111241/18519/97165/20467/26896/81000/27878/212085/223527/22088/68050/216874/269966/12387/11472/192191/56070/12705/231151/17936/14200/320795/97064/14797/114606/320713/54650/12180/22294/98403/229003/74490/170826/72065/15361/80292/208146/17344/69090/68975/69809/23947/67014/64899/230085/22773/76681/93686/75796/80288/666528/20821/667823/625480/228880/13806/12443/18103/17152/79362/15259/382206/17829/75329/107765/100502940/11886/19777/22286/27374/21869/74716/21418/22762/66354/72693/23957/56312/101604/224762/14201/238803/18985/13436/217031/13712/386655/72462/13180/229534/66556/385312/17933/72195/57756/228775/56856/24068/102638837/385338/668166/319236/15184/66993	440
GO:0030695	GTPase regulator activity	389/15385	429/28407	5.13903248762491e-62	2.2080709588495e-59	6.34715591454024e-60	50779/17168/58996/268706/20469/232227/19731/109689/68339/544963/329727/108903/219140/19387/269608/22084/74760/231801/29809/277360/230784/50778/231874/14270/18220/13667/74563/15357/110279/83409/66790/100855/217869/19735/21844/98710/16443/66508/238130/223435/14784/70497/66691/79566/75547/77980/230098/57257/270163/71310/76954/240168/104252/231532/232237/20403/14020/26382/240057/66251/223666/53322/56715/192786/233071/231207/18582/218581/26934/19159/71810/19414/107566/102442/66687/73910/328967/67894/22324/217325/217715/94190/71085/227377/225358/140500/244548/19157/109905/217835/108067/117600/76117/76795/103724/16476/70785/77038/50780/69440/78808/76123/545156/13196/67016/67903/69601/19765/16897/16801/105689/30938/226652/210789/69993/140580/209354/16413/171207/234094/66096/268970/223754/320292/228359/98732/20662/105855/71729/57785/19732/66725/19158/105841/70296/26431/98366/226089/259302/13998/100088/319939/24012/228355/102098/277854/211922/75415/67231/236915/330914/94176/105445/20663/71704/57915/14569/380711/217692/216963/210293/319934/71302/72238/381605/20563/98910/64214/214804/109294/218397/212285/211914/54324/224617/69780/228850/51791/56692/52666/228998/347722/229877/54645/20334/76089/56349/73728/78255/12549/234353/27054/56508/320127/114713/108911/237422/211673/98402/243362/69632/404710/215632/17925/67046/227800/236920/320634/241694/213783/73205/22411/109934/217944/14682/13605/231821/226407/216439/27414/101489/223254/78618/105835/216859/67865/216805/73341/74206/227801/329260/11857/69710/19739/94221/107746/76088/19417/224014/74002/70719/268480/74055/79264/19419/72318/381085/241308/109270/15463/232201/108686/50907/19730/229541/74030/226970/329877/70314/78514/243621/29815/68016/223864/213027/209478/54610/268739/76131/19889/263406/232906/74018/72121/74334/19261/107045/24056/18186/216363/244668/18795/213990/27387/29875/544817/108699/19386/68813/209815/52850/20401/54189/71435/72542/56533/108995/11856/75974/50768/245666/14567/74694/228482/207592/67299/235633/19347/239027/110596/230837/72536/71544/13645/53972/233046/229898/209773/232089/216991/67792/243780/66656/381112/19415/192236/224045/72754/58175/330662/213522/214137/245886/24001/14469/18015/208869/101497/66628/18545/16800/54153/12663/106952/19395/72325/17207/320560/67425/76484/385354/210933/68576/73167/12662/14163/14697/545481/50753/19737/71709/22325/244654/72825/271981/207212/320435/442801/218460/320484/319899/207227/94254/385263/380698/225870/71824/67839/109904/71972/213649/19893/21838/50782/56784/78816/192232/110351/216445	389
GO:0060589	nucleoside-triphosphatase regulator activity	389/15385	429/28407	5.13903248762491e-62	2.2080709588495e-59	6.34715591454024e-60	50779/17168/58996/268706/20469/232227/19731/109689/68339/544963/329727/108903/219140/19387/269608/22084/74760/231801/29809/277360/230784/50778/231874/14270/18220/13667/74563/15357/110279/83409/66790/100855/217869/19735/21844/98710/16443/66508/238130/223435/14784/70497/66691/79566/75547/77980/230098/57257/270163/71310/76954/240168/104252/231532/232237/20403/14020/26382/240057/66251/223666/53322/56715/192786/233071/231207/18582/218581/26934/19159/71810/19414/107566/102442/66687/73910/328967/67894/22324/217325/217715/94190/71085/227377/225358/140500/244548/19157/109905/217835/108067/117600/76117/76795/103724/16476/70785/77038/50780/69440/78808/76123/545156/13196/67016/67903/69601/19765/16897/16801/105689/30938/226652/210789/69993/140580/209354/16413/171207/234094/66096/268970/223754/320292/228359/98732/20662/105855/71729/57785/19732/66725/19158/105841/70296/26431/98366/226089/259302/13998/100088/319939/24012/228355/102098/277854/211922/75415/67231/236915/330914/94176/105445/20663/71704/57915/14569/380711/217692/216963/210293/319934/71302/72238/381605/20563/98910/64214/214804/109294/218397/212285/211914/54324/224617/69780/228850/51791/56692/52666/228998/347722/229877/54645/20334/76089/56349/73728/78255/12549/234353/27054/56508/320127/114713/108911/237422/211673/98402/243362/69632/404710/215632/17925/67046/227800/236920/320634/241694/213783/73205/22411/109934/217944/14682/13605/231821/226407/216439/27414/101489/223254/78618/105835/216859/67865/216805/73341/74206/227801/329260/11857/69710/19739/94221/107746/76088/19417/224014/74002/70719/268480/74055/79264/19419/72318/381085/241308/109270/15463/232201/108686/50907/19730/229541/74030/226970/329877/70314/78514/243621/29815/68016/223864/213027/209478/54610/268739/76131/19889/263406/232906/74018/72121/74334/19261/107045/24056/18186/216363/244668/18795/213990/27387/29875/544817/108699/19386/68813/209815/52850/20401/54189/71435/72542/56533/108995/11856/75974/50768/245666/14567/74694/228482/207592/67299/235633/19347/239027/110596/230837/72536/71544/13645/53972/233046/229898/209773/232089/216991/67792/243780/66656/381112/19415/192236/224045/72754/58175/330662/213522/214137/245886/24001/14469/18015/208869/101497/66628/18545/16800/54153/12663/106952/19395/72325/17207/320560/67425/76484/385354/210933/68576/73167/12662/14163/14697/545481/50753/19737/71709/22325/244654/72825/271981/207212/320435/442801/218460/320484/319899/207227/94254/385263/380698/225870/71824/67839/109904/71972/213649/19893/21838/50782/56784/78816/192232/110351/216445	389
GO:0061629	RNA polymerase II-specific DNA-binding transcription factor binding	351/15385	382/28407	1.01073578532914e-59	3.25709606822317e-57	9.3626051693647e-58	18708/80280/16909/22761/14582/67238/109689/14462/11518/17260/67278/13016/13560/192197/22378/268903/11632/66894/27223/56438/211329/21423/26416/13001/11461/22059/14460/52639/20466/208266/19822/21343/327987/13198/18193/116870/13207/20687/17261/16825/19183/18627/59024/22629/101206/72199/15258/18024/93760/16478/269389/13435/16969/321006/433759/11909/50868/12317/19014/208908/208727/320165/328572/232286/56736/67154/20848/11863/230673/21428/56399/13163/234959/20807/71890/16476/102774/19017/230753/52668/15982/14121/56381/108655/23989/233904/21349/60595/21416/12912/12042/17684/58231/209456/18129/212391/14816/15260/19359/20671/101700/22200/234594/235459/223499/57320/15902/23942/216154/14084/217410/21848/14886/170930/16842/268980/68776/77006/78656/15289/20893/18124/11835/224111/16871/26443/19255/15183/15213/14255/20846/67773/20747/15525/20602/23871/13982/18018/13211/57259/17258/19645/78926/73680/22062/211770/68879/12953/56637/109108/18736/69790/83602/16600/20586/77632/319594/21804/14884/14245/16543/107392/18572/17126/321000/93759/18148/75613/14281/66233/22591/22260/67378/19015/15511/23872/12929/24075/19411/641340/214855/109113/20375/270627/13017/13654/15251/14461/12490/15364/233908/104263/20851/16798/13433/14228/12606/57376/17127/76804/67381/319182/57436/20185/18996/19664/20182/56406/17978/114142/14465/20683/13819/218772/228790/20591/15370/107932/15205/11865/18741/58198/74132/15110/11792/99982/18751/18600/57316/79221/193740/52028/57751/21781/225182/72512/50911/15108/15375/20184/18933/224829/19697/20186/20779/21386/14472/99311/53380/18035/52690/66959/80285/57752/11746/17977/17300/66083/266692/19281/12914/17979/209200/19090/71990/18012/21412/19016/111241/14836/11864/14725/15163/21389/11622/12387/56070/11545/15182/17128/320795/13009/228980/15904/210719/19130/15507/16392/170826/15361/20592/17344/18227/56642/57246/14897/73845/12952/15502/22337/76260/71769/72569/15499/66200/26922/19712/18171/15214/20181/67655/20684/79362/243910/21388/71492/12608/15378/229906/107765/11886/72504/59036/21869/19716/230025/22259/14463/93761/13813/22762/66354/76365/23957/58805/238803/18740/20997/665596/18072/13712/12578/17927/69852/24074/20674/24068/15184/12069/66993/27217	351
GO:0016755	aminoacyltransferase activity	411/15385	473/28407	2.50786374955421e-53	6.46527274635075e-51	1.85845903124859e-51	66589/13828/22214/69104/216781/56791/238330/71861/384309/74153/71779/50754/381485/320253/65247/75841/217342/224703/66894/54484/56438/12234/21817/207182/76952/224619/56469/76901/12189/22030/76073/74126/67196/50873/76580/105239/21927/67338/93679/68612/68867/80985/54197/69792/56424/218793/19822/59003/22034/108086/233877/244183/73469/268749/672511/213211/66172/59024/66381/56550/228545/22193/56715/68477/67345/99375/30945/76892/223455/67150/66510/207742/11798/218203/18140/68497/207304/70238/19014/23887/208727/108098/12540/67030/17999/56736/50789/22196/22210/117146/80751/66743/67921/668173/234959/12211/213753/68729/234736/81003/69116/69097/108660/217069/170737/231600/67128/67711/22213/17246/71458/23989/216860/65256/140630/76843/105689/268281/69807/18854/207215/71673/22670/70790/211007/22036/338364/26965/72137/101700/20128/20438/20585/21848/319817/170930/67845/75234/208650/15204/71816/28000/209387/217340/22222/381305/19823/214854/67279/50849/69587/216150/94093/67219/51813/20834/386611/20610/23806/17248/56515/28077/21402/93836/74287/66213/71991/103583/108089/109910/69790/100763/84585/67615/26374/11799/242521/74176/212163/77891/53323/109331/80794/83814/94091/16396/387524/272359/70294/12021/66949/72925/58230/330812/68795/66313/16924/11907/140499/101358/240396/76072/29864/23807/14339/19720/103737/109113/11796/74735/193670/80890/329152/66795/71007/268933/270627/59026/13654/74164/53621/20437/66089/19824/22209/94088/108937/225164/192120/328365/68718/68031/55983/224938/56631/215919/240354/58186/331046/22215/78889/230904/52915/67525/22194/70208/14598/214158/66155/94090/216080/26401/76608/21818/74132/103213/240055/229644/66053/21849/23802/22031/71865/57751/207521/671564/74145/54483/78913/73998/24105/66597/140887/100040608/81018/381338/229615/226541/19820/59009/93834/67027/19647/65255/269016/22195/11797/105193/407821/94089/28105/224826/67841/19386/77733/19302/380918/21929/93765/59044/67588/66854/66799/70536/67245/237353/225743/381534/22192/79263/70797/268291/209200/67138/67118/386454/70348/227738/212085/63958/244421/76497/11793/26554/74198/233040/212114/77853/24017/22652/225055/74264/98403/109161/70928/17344/21816/12418/68975/195018/19763/17237/211147/70093/76681/22644/14897/74365/72486/20821/667823/100502936/66105/636931/72399/218215/20439/140629/74165/19821/68350/209462/50764/76980/232539/107986/195359/104836/18011/107568/224170/622117/106052/233038/226098/75788/18744/329581/217558/71956/66825/320311/66394/67664/67490/67702/67610/381270/224762/242785/12402/68501/50760/68274/433766/19373/328234/239083/19893/240518/27385/12578/68098/330171/50762/94094/434246/22129/319236/55992/22671	411
GO:0019787	ubiquitin-like protein transferase activity	399/15385	457/28407	5.19114438097641e-53	1.11523085117977e-50	3.20575933702403e-51	66589/22214/69104/216781/56791/238330/71861/384309/74153/71779/50754/381485/320253/65247/75841/217342/224703/66894/54484/56438/12234/76952/224619/56469/76901/12189/22030/76073/74126/67196/50873/76580/105239/21927/67338/93679/68612/68867/80985/54197/69792/56424/218793/19822/59003/22034/108086/233877/244183/73469/268749/672511/213211/66172/59024/66381/56550/228545/22193/56715/68477/67345/99375/30945/76892/223455/67150/66510/207742/11798/218203/18140/68497/207304/70238/19014/208727/108098/12540/67030/17999/56736/50789/22196/22210/117146/80751/66743/67921/668173/234959/12211/213753/68729/234736/81003/69116/69097/108660/217069/170737/231600/67128/67711/22213/17246/71458/23989/216860/65256/140630/76843/105689/268281/69807/18854/207215/71673/22670/70790/211007/22036/338364/26965/72137/101700/20128/20438/20585/21848/319817/170930/67845/75234/208650/15204/71816/28000/209387/217340/22222/381305/19823/214854/67279/50849/69587/216150/94093/67219/51813/20834/386611/20610/23806/17248/56515/28077/21402/93836/74287/66213/71991/103583/108089/109910/69790/100763/84585/67615/26374/11799/242521/212163/77891/53323/109331/80794/83814/94091/16396/387524/272359/70294/12021/66949/72925/58230/330812/68795/66313/16924/140499/101358/240396/76072/29864/23807/14339/19720/103737/109113/11796/74735/193670/80890/329152/66795/71007/268933/270627/59026/13654/74164/53621/20437/66089/19824/22209/94088/108937/225164/192120/328365/68718/68031/55983/224938/56631/215919/240354/58186/22215/78889/230904/52915/67525/22194/70208/214158/66155/94090/216080/26401/76608/74132/103213/240055/229644/66053/21849/23802/22031/71865/57751/207521/671564/54483/78913/73998/24105/66597/140887/100040608/81018/381338/229615/226541/19820/59009/93834/67027/19647/65255/269016/22195/11797/105193/407821/94089/28105/224826/67841/19386/77733/19302/380918/21929/93765/59044/67588/66854/66799/67245/237353/225743/381534/22192/79263/70797/268291/209200/67138/67118/386454/70348/227738/212085/63958/244421/76497/11793/26554/74198/233040/212114/77853/24017/22652/225055/74264/98403/109161/70928/17344/12418/68975/195018/19763/17237/211147/70093/76681/22644/14897/74365/72486/20821/667823/100502936/66105/636931/72399/218215/20439/140629/74165/19821/68350/209462/50764/76980/232539/107986/195359/104836/18011/107568/224170/622117/106052/233038/226098/75788/18744/329581/217558/71956/66825/320311/66394/67664/67490/67702/67610/381270/224762/242785/12402/68501/50760/68274/433766/19373/328234/239083/19893/240518/27385/12578/68098/330171/50762/94094/434246/22129/319236/55992/22671	399
GO:0004842	ubiquitin-protein transferase activity	376/15385	431/28407	8.05724247282957e-50	1.48368364963962e-47	4.26488624125715e-48	66589/22214/69104/216781/56791/238330/71861/384309/74153/71779/50754/381485/320253/65247/75841/217342/224703/66894/54484/56438/12234/76952/224619/76901/12189/22030/76073/74126/67196/50873/76580/105239/21927/67338/93679/68612/68867/80985/54197/69792/56424/218793/19822/59003/22034/108086/233877/244183/73469/268749/672511/213211/66172/59024/66381/56550/228545/22193/56715/68477/67345/99375/30945/76892/223455/67150/66510/207742/11798/218203/18140/68497/207304/70238/19014/108098/12540/67030/17999/56736/50789/22196/22210/117146/80751/66743/668173/234959/12211/213753/68729/234736/81003/69116/69097/108660/217069/170737/231600/67128/67711/22213/17246/71458/23989/216860/65256/140630/76843/105689/268281/69807/207215/71673/22670/70790/211007/22036/338364/26965/72137/101700/20128/20438/20585/21848/319817/67845/75234/208650/15204/71816/28000/209387/217340/22222/381305/19823/214854/67279/50849/69587/216150/94093/67219/51813/20834/386611/23806/17248/56515/28077/21402/93836/74287/66213/71991/103583/108089/109910/69790/100763/84585/67615/26374/11799/242521/212163/77891/53323/109331/80794/83814/94091/16396/387524/272359/70294/12021/66949/72925/58230/330812/68795/66313/16924/140499/101358/240396/76072/29864/23807/19720/103737/109113/11796/74735/193670/80890/329152/71007/268933/270627/59026/74164/53621/20437/66089/19824/22209/94088/108937/225164/192120/68718/68031/55983/224938/56631/215919/240354/58186/22215/78889/230904/67525/22194/70208/214158/94090/216080/26401/76608/74132/103213/240055/229644/66053/21849/23802/22031/71865/57751/207521/54483/78913/73998/24105/66597/140887/100040608/81018/381338/226541/19820/59009/93834/67027/19647/65255/269016/22195/11797/105193/407821/94089/28105/224826/77733/19302/380918/21929/93765/59044/67588/66854/66799/67245/237353/225743/381534/22192/79263/70797/268291/209200/67138/67118/386454/70348/227738/212085/63958/244421/76497/26554/74198/233040/212114/77853/24017/22652/225055/74264/109161/70928/68975/19763/17237/211147/70093/76681/22644/14897/74365/72486/20821/667823/100502936/66105/636931/72399/218215/20439/140629/74165/19821/68350/209462/50764/76980/232539/107986/195359/104836/18011/107568/224170/622117/106052/233038/226098/75788/18744/329581/217558/71956/66825/320311/66394/67664/67702/67610/381270/224762/242785/12402/68501/50760/68274/433766/19373/328234/239083/19893/240518/27385/68098/330171/50762/94094/434246/22129/319236/55992/22671	376
GO:0015631	tubulin binding	341/15385	387/28407	1.66438680583198e-47	2.68174324089678e-45	7.70873889016919e-46	72416/68339/108903/20617/223723/57748/192197/16581/13006/381293/83431/233406/13430/16765/76478/50873/73804/14260/244071/67443/17318/19735/21844/70218/229474/219072/237711/29870/56350/269954/68142/13191/20866/11426/108907/170833/68475/100502766/227634/66146/16580/76071/213582/26934/18294/13589/27050/72726/216965/218977/51944/74281/16574/53869/12125/67886/240641/56486/219103/15505/12626/233276/228421/71994/109242/18578/231912/12301/102774/16568/14595/19017/54141/75050/14683/101706/74187/110033/68121/67971/71878/22680/70430/67809/13138/18472/103268/272589/64652/236266/22350/13494/73873/74081/74410/108989/104943/66725/19060/75786/67629/17245/16571/237436/434204/19364/237222/229841/22253/17754/72549/70762/110012/15194/77521/74019/12465/235626/216963/30960/19348/78926/328580/380842/16578/18817/20538/23924/212307/71819/70681/319953/103583/51791/12190/20744/17776/11799/14272/16593/74143/13726/13518/50875/108911/14265/67166/328108/56430/17096/100764/15191/74711/28193/232987/63873/16551/71007/239667/73094/320244/78785/109359/74895/209737/51885/13205/381933/56491/16573/50850/383592/69216/67269/76707/320982/50525/230376/11789/320159/13548/14360/668880/72972/259279/13426/66711/73738/16554/56742/79264/16560/16561/107503/52570/17756/78798/16565/17988/74360/108686/16558/71877/66734/21749/17762/99412/17758/328660/52589/226841/72425/18102/22327/74334/11538/260315/19888/17997/414089/100503311/28105/70998/102103/16552/17755/14609/16569/56724/52055/74006/66468/12589/68767/14168/16563/68519/319613/243371/54418/69312/70737/72948/231807/70892/269713/14453/56273/18479/319675/406217/26921/19122/69281/320234/381110/76499/13429/69310/70997/320191/330938/69697/21371/269152/16553/23805/360213/66884/329366/73689/56527/18970/319991/73412/237891/17858/231093/16970/74393/22294/29877/18080/105000/12391/100732/16570/214444/73470/232933/23947/68617/67694/72205/381350/16559/100504234/26903/18015/320256/102124/16562/16800/16582/78933/72993/270058/52250/16564/56330/103967/14623/382010/286942/20257/78317/320923/218035/17760/319670/225898/104069/66302/66411/235180/171531/73420/110957/56471/104346/14159/237930/64383/433700/17984/69987/232943/11640/58251/74004/14317	341
GO:0004674	protein serine/threonine kinase activity	380/15385	441/28407	2.06592649983799e-47	2.95886584254574e-45	8.50533482974236e-46	17346/140859/18712/104318/213435/19079/51789/18005/233328/20111/13143/26385/18604/214230/13631/665113/108737/69847/18607/207565/26416/13001/264064/72149/381921/102414/230809/69922/110279/65964/20877/20869/18747/30955/26411/13728/18099/11920/223435/107951/26396/78334/17347/18647/14772/22241/12748/228012/69131/17279/269774/15258/58800/15467/12571/232341/72113/546071/68961/55984/13549/321006/101568/226419/12675/12545/12445/70584/244631/53886/216965/170755/12236/59041/17165/228026/224105/140780/73086/110157/231876/56480/399510/22367/192292/12750/66671/545156/12704/66878/12534/26420/330177/26417/58231/17691/19106/213452/20868/223255/27103/18759/268930/50523/19134/22625/234854/12235/105787/14773/71091/18761/235344/66725/12454/23955/21969/53415/19229/108099/233020/53608/20817/21812/20872/74178/237459/26397/56274/19878/26409/74137/667663/12566/213084/98267/53416/68943/19108/70762/233789/74769/59126/269224/16706/69635/16886/26407/26410/26404/20874/18817/17164/26403/19082/56637/15257/56717/17776/26399/231580/109333/70425/67121/12325/26412/12572/108058/29857/226751/67333/16589/674895/78943/110355/57261/217718/18754/26405/13805/20620/27214/18004/69562/14841/23939/59125/108097/12041/245269/12568/29869/20963/12747/20112/56542/223649/270627/269275/26398/66587/16885/328329/26448/606496/16798/263803/20873/110651/11477/18555/236900/75607/26413/245000/66042/240505/13175/23938/26408/13548/17169/70415/208583/69181/72508/16150/19877/12322/20393/223775/58988/18557/18755/21813/225638/11482/26401/381113/192656/70661/26419/12361/93687/225028/16179/14312/101320/18751/13000/23797/50883/11480/16202/22137/27206/53859/77976/18762/71742/338372/106504/13400/18750/228785/12167/108079/238564/23954/230661/381836/18481/333050/52033/19766/24086/26406/227541/22138/18706/21814/18746/73914/26400/18753/18749/320129/107589/80752/11481/329509/245038/18479/329421/19090/17451/101540/26921/12795/232533/226778/209012/13666/12323/71481/19091/12567/20815/20623/50772/320795/11836/27219/266632/117229/56527/12326/102626/19094/104175/11302/105278/241113/11790/11652/69681/116904/320119/67045/18103/77485/382253/17152/71751/67071/26414/15259/269019/215303/18715/12168/269209/18760/109880/12649/75292/71340/26415/381983/26559/12265/110542/271697/27373/56489/75770/225724/279561/228550/57740/52163/11479/75669/56532/380698/76367/50932/56613/12995/225997/234878/70568/212225/270672/330721/103236/217866/93843/214897/26918	380
GO:0051020	GTPase binding	303/15385	337/28407	1.30794189871695e-46	1.68593710744615e-44	4.84626892998281e-45	380714/231830/69104/94186/544963/12048/65246/19387/68051/22084/29809/18286/13660/14270/56419/17919/21927/52187/12757/16211/23991/18747/13367/66508/238130/76820/22330/66691/17913/20742/75547/110750/19353/233877/22241/240168/104252/54411/233489/14020/56715/192786/75665/243819/218210/18582/71810/67894/100504663/56699/230673/224105/110157/109905/56488/217835/76582/117600/66863/72729/56289/70450/16568/66482/102058/77040/56208/116733/19765/16897/105689/212999/20655/22608/74204/66592/260409/228359/98732/27277/70572/23790/13542/57785/215445/66725/208846/74998/54170/20405/70296/26431/213993/226089/434204/100088/15183/73296/19878/277854/57778/27756/260302/67231/73192/11736/105148/101314/11303/94176/107508/18826/105445/233726/14569/216963/11977/210293/98910/218397/223601/14470/50884/26403/54004/20430/109333/11799/20170/238799/76884/111173/56508/320938/320127/76895/57258/108911/98402/72404/74370/404710/227743/78287/20620/17925/67046/227800/20660/18195/230584/83671/320634/19349/214459/213783/73205/241275/20909/12389/13605/226407/71409/72836/223254/237038/78618/263803/13860/105835/15519/13544/19305/280408/18996/243725/227801/329260/11857/228361/19877/18755/19417/74055/12176/17988/14693/74105/56705/50907/56187/17970/74053/16558/74030/245049/80291/30948/170731/213027/18643/19275/263406/142687/72322/11517/22379/74018/170822/18481/226432/171580/69470/74334/74155/19352/13543/216363/100503311/29875/235380/19386/68813/52850/16569/14688/320727/58869/52055/74006/67588/75974/216190/233103/623781/14567/75695/18479/74694/67299/235633/19347/66011/11765/75734/12121/245670/54214/320795/330662/12306/105504/229707/245886/320051/57912/106039/13722/208869/13806/101497/27359/209462/116837/14799/382253/242662/16800/12663/329165/268451/72325/22376/320560/17918/17356/116838/12662/14163/109880/100213/75751/231858/244654/320311/75767/320435/192176/228550/171531/104445/19894/103573/225870/208628/104346/269589/217866/56513/226422/192232/69903/110351	303
