ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0003712	transcription coregulator activity	350/9646	497/28407	9.22392491357823e-63	1.17605042648122e-59	5.55377373743868e-60	17938/17684/72567/211329/69090/13180/67500/93759/108829/641340/71371/216154/13496/208266/14797/21886/21665/67933/14534/19183/14055/12189/217218/13207/22378/57316/58172/14025/18148/66213/104625/18412/103806/14030/50724/22416/192191/216820/216825/20185/52915/56310/66172/12261/67279/18432/268448/70439/217031/327987/68729/217069/22057/217127/18673/19014/23989/52690/217864/116870/104721/14245/79221/17977/69792/238317/238330/66354/218613/19720/214158/57441/12593/17152/18676/18193/57748/66505/54169/328365/54650/11792/27374/219103/20220/66597/67381/219249/67488/20024/67154/223527/69790/671535/67040/223701/328572/57259/74716/21411/71175/67057/56233/381022/83797/239719/94112/208146/547253/80285/12914/80859/268903/13548/50873/72057/224613/67673/15361/111241/68776/57261/13163/20182/193740/69097/224762/109115/224829/18519/64898/12607/116871/225182/268996/106931/78656/277250/24068/15183/14815/56070/170826/21413/212163/107321/21888/60533/107182/54132/11632/212391/72199/225876/16825/226169/93679/67788/66556/81601/225895/23942/98415/17978/12227/75605/13211/74106/27878/30941/15951/51810/19250/214742/98403/214855/14200/18627/208727/16909/15259/27223/58521/12848/24105/228775/228790/13436/12396/19383/56406/269389/228880/17979/68879/59022/20933/68975/227737/320271/66935/381379/15257/18033/12042/81004/14173/269424/433586/56790/15191/67037/229534/229615/71148/72475/66233/56222/68050/56309/230753/67525/433759/66464/67219/99982/12395/56381/56273/13806/68703/57320/100072/57756/26885/433693/230085/74735/109331/76804/101739/320713/56361/76199/71990/30841/67151/208908/67956/20602/21343/100683/15289/381695/69188/231051/72195/13016/19017/109108/56353/72895/101206/19016/214899/13498/28019/107932/54343/11569/108098/21848/15258/338523/14056/231986/104263/22591/232286/269966/20821/319236/109594/269997/78921/101604/67773/233908/21804/21849/272359/13549/434156/60595/58206/19777/22088/22215/109689/80707/68196/22761/12398/66855/102162/270110/244349/320165/19663/60406/97165/16478/234388/70625/20467/81489/320795/26992/107566/81000/15587/12387/26901/29806/234959/59035/20586/23871/80288/20466/18854/21887/56469/11797/59024/71458/26896/320595/382252/69656/13712/22294/385338/320376/72065/15161/17257/21372/385312/668166	350
GO:0140098	catalytic activity, acting on RNA	277/9646	380/28407	8.60361033120957e-55	5.4848015861461e-52	2.59013953129046e-52	68281/72068/216443/19075/103135/73681/76563/338359/56200/94213/23887/216151/66420/70428/28088/80861/69684/52686/72047/78943/13207/68572/107817/338371/68730/71701/67939/104458/193116/66628/104625/27041/69125/194908/268420/52513/68626/13681/20020/52898/216877/67493/103677/20557/237890/78394/217038/237911/217057/67487/27225/192119/328162/104721/19819/328092/66132/104806/76357/68737/211064/66254/13206/72198/218629/56196/68916/208366/69955/105148/212880/214290/211948/75901/67011/11792/497106/58809/78416/19752/54159/56335/67053/70152/668178/110960/14000/17749/68260/239528/69833/67040/78929/72026/74351/75284/74108/223989/70120/15547/13682/106248/52575/56409/74157/112403/108077/22321/53817/224481/68915/69192/67676/66136/224805/20016/224907/67993/106794/72167/100037283/76781/225363/15115/107045/240255/68857/70223/114615/14156/59028/20589/54364/107328/70044/226414/67997/212442/98685/13211/24014/226539/15278/381314/107508/52477/212679/68736/23874/208718/76894/11834/329504/69185/320632/20017/13434/66044/24128/74455/71715/228866/228889/67005/227674/227682/329384/227522/71586/75422/228019/17454/53975/20226/66715/66368/229780/210529/108943/12457/229487/71807/230577/72181/68276/140546/66966/230738/214150/107271/50912/72946/71957/24018/109093/116940/69934/74753/69663/56361/117109/384281/71990/67848/12909/100929/100609/20022/231803/330216/20018/72587/78890/13204/211006/78796/231464/70047/14911/381802/110109/67755/56463/353172/20019/26918/214580/101437/27267/71723/14113/69920/272396/57444/244141/66369/71986/67619/13680/234733/234734/71941/212728/67276/408022/234374/19704/68278/212528/66590/69724/80750/26383/20021/101985/234594/97541/67789/72831/208194/102436/67667/69305/13209/104444/382137/244871/77591/102614/213550/69606/208084/24127/83703/13205/215201/54632	277
GO:0019787	ubiquitin-like protein transferase activity	313/9646	457/28407	5.7952116710372e-52	2.46296496019081e-49	1.16310914941518e-49	268281/71865/17246/67588/21929/70208/68031/103213/11793/209462/19386/67345/20610/22213/216150/70294/93765/12189/66313/170930/338364/217340/217342/11799/672511/67245/67030/103583/193670/71673/66213/211007/94089/59044/66089/76901/22210/21402/407821/216781/108660/56631/94091/52915/216860/66172/67279/67128/195018/21927/78889/71956/67338/103737/76892/68729/207742/217069/19014/23989/65256/108089/104836/217558/207304/69792/66381/68497/238330/81003/71991/26401/19720/214158/218203/105239/66795/50789/105689/328365/239083/268749/66597/223455/30945/70790/69790/75841/56438/67118/66053/70238/209200/67841/17237/224170/208650/78913/50873/224619/213753/22196/268933/56424/240055/58230/224703/19763/54197/79263/22670/69097/19824/195359/224762/76497/224826/18140/224938/12211/225055/225164/67664/56515/56550/56736/320253/83814/240354/240396/225743/212163/50764/28000/109910/109113/76073/69104/12234/93679/76952/18011/240518/74126/17248/67196/19821/26374/381305/226541/66799/66155/76843/98403/381338/12021/26554/14897/67921/65247/208727/22034/80985/228545/22222/70928/140629/24105/16396/68612/81018/66589/329581/22030/68975/227738/319817/72137/68795/22193/71861/56791/107986/229644/94093/66105/381485/20585/19302/66949/80890/50754/229615/67845/29864/76608/66743/67525/75234/67219/12540/68350/69116/230904/63958/242785/668173/76580/140499/107568/51813/74164/67615/73469/74735/109331/76072/192120/242521/69587/671564/231600/330171/117146/50849/72399/80751/56715/74198/384309/108086/74132/140887/100763/59003/19822/70797/53323/55983/58186/67027/71779/101358/108098/22214/53621/21848/54484/26965/387524/67138/73998/68477/22644/66510/74287/20821/94094/319236/55992/67150/19647/67711/233877/434246/21849/22192/272359/66394/77891/100040608/15204/22215/108937/66894/234736/170737/68718/99375/77733/244421/20437/14339/23802/67610/77853/22036/74153/84585/23807/234959/213211/12402/140630/109161/18854/23806/56469/74165/93836/17999/11797/70348/19823/59024/270627/19893/19820/71458/59026/20438/22209/11798	313
GO:0016755	aminoacyltransferase activity	319/9646	473/28407	1.21693541820331e-50	3.87898164552304e-48	1.83180805055866e-48	268281/71865/17246/67588/21929/70208/68031/103213/11793/209462/19386/67345/23887/20610/22213/216150/70294/93765/12189/66313/170930/338364/217340/217342/11799/672511/67245/67030/103583/193670/71673/66213/211007/94089/59044/66089/76901/22210/21402/407821/216781/108660/56631/94091/52915/216860/66172/67279/67128/195018/21927/78889/71956/67338/103737/76892/68729/207742/217069/19014/23989/65256/108089/104836/217558/207304/69792/66381/68497/238330/81003/71991/26401/19720/214158/218203/105239/66795/50789/105689/328365/239083/268749/66597/223455/30945/70790/69790/75841/56438/67118/66053/70238/209200/67841/17237/224170/208650/78913/50873/224619/213753/22196/268933/56424/240055/58230/224703/19763/54197/79263/22670/69097/19824/195359/224762/76497/224826/18140/224938/12211/225055/225164/67664/56515/56550/56736/320253/83814/240354/240396/225743/212163/50764/28000/109910/109113/76073/69104/12234/93679/76952/18011/240518/74126/17248/67196/19821/26374/381305/226541/66799/66155/76843/98403/381338/12021/26554/14897/67921/65247/208727/22034/80985/228545/22222/13828/70928/140629/24105/16396/207182/21817/68612/81018/66589/329581/22030/68975/227738/319817/72137/68795/22193/71861/56791/107986/229644/94093/66105/381485/20585/19302/66949/80890/50754/229615/67845/29864/76608/66743/67525/75234/67219/12540/68350/69116/230904/63958/242785/668173/76580/140499/107568/51813/74164/67615/73469/74735/109331/76072/192120/242521/69587/671564/231600/330171/117146/50849/72399/80751/56715/74198/384309/108086/74132/140887/100763/59003/19822/70797/53323/55983/58186/67027/71779/101358/108098/22214/53621/21848/54484/26965/387524/67138/73998/68477/22644/66510/74287/20821/94094/319236/55992/67150/19647/67711/233877/434246/21849/22192/11907/272359/66394/77891/100040608/15204/22215/108937/66894/234736/170737/68718/99375/77733/244421/20437/14339/23802/67610/77853/22036/74153/84585/23807/331046/234959/213211/12402/140630/109161/18854/23806/56469/74165/93836/17999/11797/70348/19823/59024/270627/19893/19820/71458/59026/20438/22209/11798	319
GO:0004842	ubiquitin-protein transferase activity	295/9646	431/28407	6.13387911601248e-49	1.56413917458318e-46	7.38648179865082e-47	268281/71865/17246/67588/21929/70208/68031/103213/209462/67345/22213/216150/70294/93765/12189/66313/338364/217340/217342/11799/672511/67245/67030/103583/193670/71673/66213/211007/94089/59044/66089/76901/22210/21402/407821/216781/108660/56631/94091/216860/66172/67279/67128/21927/78889/71956/67338/103737/76892/68729/207742/217069/19014/23989/65256/108089/104836/217558/207304/69792/66381/68497/238330/81003/71991/26401/19720/214158/218203/105239/50789/105689/239083/268749/66597/223455/30945/70790/69790/75841/56438/67118/66053/70238/209200/17237/224170/208650/78913/50873/224619/213753/22196/268933/56424/240055/58230/224703/19763/54197/79263/22670/69097/19824/195359/224762/76497/224826/18140/224938/12211/225055/225164/67664/56515/56550/56736/320253/83814/240354/240396/225743/212163/50764/28000/109910/109113/76073/69104/12234/93679/76952/18011/240518/74126/17248/67196/19821/26374/381305/226541/66799/76843/381338/12021/26554/14897/65247/22034/80985/228545/22222/70928/140629/24105/16396/68612/81018/66589/329581/22030/68975/227738/319817/72137/68795/22193/71861/56791/107986/229644/94093/66105/381485/20585/19302/66949/80890/50754/67845/29864/76608/66743/67525/75234/67219/12540/68350/69116/230904/63958/242785/668173/76580/140499/107568/51813/74164/67615/73469/74735/109331/76072/192120/242521/69587/231600/330171/117146/50849/72399/80751/56715/74198/384309/108086/74132/140887/100763/59003/19822/70797/53323/55983/58186/67027/71779/101358/108098/22214/53621/21848/54484/26965/387524/67138/73998/68477/22644/66510/74287/20821/94094/319236/55992/67150/19647/67711/233877/434246/21849/22192/272359/66394/77891/100040608/15204/22215/108937/66894/234736/170737/68718/99375/77733/244421/20437/23802/67610/77853/22036/74153/84585/23807/234959/213211/12402/140630/109161/23806/74165/93836/17999/11797/70348/19823/59024/270627/19893/19820/71458/59026/20438/22209/11798	295
GO:0061659	ubiquitin-like protein ligase activity	250/9646	362/28407	1.04343935717232e-42	2.21730863399118e-40	1.04710054789924e-40	268281/71865/17246/67588/70208/68031/103213/11793/209462/19386/67345/70294/66313/338364/217340/217342/11799/672511/67245/67030/103583/193670/71673/66213/211007/94089/59044/66089/76901/407821/216781/56631/94091/52915/216860/66172/67279/195018/78889/71956/67338/76892/68729/207742/217069/19014/23989/65256/108089/104836/217558/207304/69792/66381/68497/238330/81003/19720/214158/218203/105239/105689/328365/239083/268749/66597/223455/30945/70790/69790/75841/56438/67118/66053/70238/209200/67841/17237/224170/208650/78913/50873/224619/213753/268933/56424/240055/58230/224703/19763/54197/79263/22670/69097/19824/195359/224762/76497/224826/18140/224938/225164/67664/56515/56550/56736/83814/240396/225743/212163/50764/28000/109113/76073/69104/12234/93679/76952/18011/240518/74126/19821/26374/381305/98403/381338/26554/14897/65247/22034/80985/228545/22222/70928/140629/16396/81018/329581/68975/227738/319817/68795/71861/229644/94093/66105/381485/20585/19302/66949/80890/50754/229615/67845/29864/66743/67525/75234/67219/12540/68350/69116/230904/63958/668173/76580/107568/51813/74164/73469/74735/109331/76072/192120/69587/231600/117146/50849/72399/80751/56715/74198/384309/108086/74132/100763/59003/19822/70797/53323/55983/58186/67027/71779/108098/21848/54484/26965/387524/67138/73998/68477/66510/74287/20821/94094/319236/55992/19647/67711/434246/21849/272359/66394/100040608/15204/22215/66894/234736/170737/68718/99375/77733/244421/20437/23802/77853/22036/84585/23807/234959/213211/12402/140630/18854/23806/56469/74165/93836/17999/11797/70348/19823/59024/19893/19820/59026/20438/22209/11798	250
GO:0061630	ubiquitin protein ligase activity	240/9646	345/28407	6.81762325931554e-42	1.24178137937533e-39	5.86418120951652e-40	268281/71865/17246/67588/70208/68031/103213/209462/67345/70294/66313/338364/217340/217342/11799/672511/67245/67030/103583/193670/71673/66213/211007/94089/59044/66089/76901/407821/216781/56631/94091/216860/66172/67279/78889/71956/67338/76892/68729/207742/217069/19014/23989/65256/108089/104836/217558/207304/69792/66381/68497/238330/81003/19720/214158/218203/105239/105689/239083/268749/66597/223455/30945/70790/69790/75841/56438/67118/66053/70238/209200/17237/224170/208650/78913/50873/224619/213753/268933/56424/240055/58230/224703/19763/54197/79263/22670/69097/19824/195359/224762/76497/224826/18140/224938/225164/67664/56515/56550/56736/83814/240396/225743/212163/50764/28000/109113/76073/69104/12234/93679/76952/18011/240518/74126/19821/26374/381305/381338/26554/14897/65247/22034/80985/228545/22222/70928/140629/16396/81018/329581/68975/227738/319817/68795/71861/229644/94093/66105/381485/20585/19302/66949/80890/50754/67845/29864/66743/67525/75234/67219/12540/68350/69116/230904/63958/668173/76580/107568/51813/74164/73469/74735/109331/76072/192120/69587/231600/117146/50849/72399/80751/56715/74198/384309/108086/74132/100763/59003/19822/70797/53323/55983/58186/67027/71779/108098/21848/54484/26965/387524/67138/73998/68477/66510/74287/20821/94094/319236/55992/19647/67711/434246/21849/272359/66394/100040608/15204/22215/66894/234736/170737/68718/99375/77733/244421/20437/23802/77853/22036/84585/23807/234959/213211/12402/140630/23806/74165/93836/17999/11797/70348/19823/59024/19893/19820/59026/20438/22209/11798	240
GO:0051020	GTPase binding	235/9646	337/28407	2.53951912720801e-41	4.04735860898776e-39	1.91132229047761e-39	216363/73192/67588/209462/19386/56208/57778/18195/56699/260302/70450/11799/74370/20742/66011/94176/76884/16568/192786/72729/16897/57785/13543/18643/11736/280408/17913/380714/216963/21927/16211/217835/27277/15519/19878/238130/94186/208846/76582/20620/66482/14569/67046/56705/218210/76895/105148/73296/218397/544963/238799/105689/70572/223254/105445/22330/100504663/105504/75751/56187/57258/65246/18826/56419/223601/17988/104445/106039/105835/19387/74006/66863/13544/78618/224105/20655/22084/215445/27756/72322/72836/20405/71810/19765/260409/19877/13367/15183/17919/226089/69104/74055/20170/225870/213993/26403/104252/74998/67894/13660/226407/14270/226422/226432/329260/29809/98732/107508/74018/19275/210293/75734/18582/77040/623781/69470/16558/56488/67231/12048/16569/110750/241275/18286/263803/70296/227743/66691/227800/227801/98910/50884/228359/228361/109905/229707/13722/109333/170822/19352/13605/404710/16800/57912/230584/230673/22608/242662/54170/100088/110351/108911/170731/13806/14688/13542/52187/73205/66592/12757/11303/67299/14020/22241/192232/23790/26431/75665/19894/80291/75695/56715/14693/231830/231858/19353/50907/277854/101314/110157/111173/19305/320727/320560/12121/320938/109880/243725/11517/52055/19349/78287/66508/19347/233726/74105/74204/233877/20909/14470/101497/320435/233103/245886/69903/243819/75547/23991/29875/434204/233489/56513/74334/68051/116733/11765/72325/102058/75767/213027/17925/320795/18747/212999/56289/54214/235380/17918/11977/54004/382253/72404/192176/54411/14567	235
GO:0140097	catalytic activity, acting on DNA	181/9646	237/28407	6.26914326191088e-41	8.88128628770707e-39	4.19409350387488e-39	268281/117599/56351/19714/77987/71567/338359/327762/21665/50776/207165/170472/338371/268395/19360/27041/54125/21975/216848/237877/19364/237911/114714/18102/268465/21973/192119/209334/104721/104806/19363/211064/104884/12572/56196/76251/108138/17686/27015/21974/319955/218914/11792/67772/71726/19355/72107/69694/93696/72960/14375/71175/17217/106344/77782/13419/12648/18207/75178/193838/15361/111241/17687/80905/320209/17685/17688/76781/225182/13872/26447/14156/20589/107182/15201/19367/69745/56626/13006/71711/55947/18969/226409/17219/13211/21749/26909/17215/56210/54380/50755/19361/68142/66634/13436/21969/71389/269400/227525/74044/140917/55993/20585/21427/21748/68058/623474/19366/19646/93760/13368/320790/191578/330149/18973/75560/231642/22256/72151/19718/72041/17220/18861/69263/57434/19687/333789/18294/330409/107932/19691/13990/72103/17216/67967/16881/13870/13871/22594/18807/18971/78286/244059/68048/57444/18975/12144/27050/214987/21750/209966/18970/22427/408022/234258/74549/19704/234396/17218/93762/13423/214627/109151/26383/319583/81000/72831/17350/17874/208194/17535/13433/20586/104444/208084/236930/22589/13205/69537/245474/18968	181
GO:0003713	transcription coactivator activity	195/9646	265/28407	6.57694489456313e-40	8.38560474056799e-38	3.9600131365159e-38	17938/17684/211329/69090/13180/67500/93759/641340/71371/216154/208266/67933/14534/19183/12189/217218/22378/58172/18148/104625/103806/22416/216825/52915/56310/217031/327987/68729/217069/19014/23989/52690/116870/14245/17977/69792/66354/19720/214158/17152/18676/57748/54169/328365/11792/219103/66597/67381/219249/67488/20024/67154/223527/69790/67040/223701/328572/74716/21411/67057/381022/239719/12914/268903/13548/67673/15361/111241/68776/57261/13163/20182/69097/224762/109115/224829/18519/64898/12607/116871/268996/78656/24068/14815/170826/60533/54132/72199/16825/226169/93679/67788/81601/225895/23942/98415/17978/13211/74106/27878/30941/18627/16909/24105/228790/56406/269389/17979/68879/59022/68975/227737/12042/14173/269424/433586/67037/229534/72475/56222/56309/230753/67525/66464/99982/68703/57320/57756/74735/109331/76804/101739/320713/56361/67151/208908/21343/100683/15289/69188/231051/72195/13016/19017/109108/101206/19016/214899/13498/28019/108098/21848/15258/22591/232286/269966/20821/319236/109594/67773/233908/21804/21849/13549/60595/22088/22215/109689/80707/102162/244349/320165/19663/97165/16478/234388/320795/26992/107566/15587/12387/26901/234959/59035/20586/23871/80288/18854/11797/59024/26896/13712/72065/15161/668166	195
