ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030695	GTPase regulator activity	26/435	429/28407	3.44054742737939e-09	1.12505900875306e-06	1.01224526942373e-06	50778/110279/19735/21844/223435/57257/240168/231532/53322/231207/19414/73910/22324/217835/117600/76117/232227/70785/50780/78808/238130/69601/30938/226652/210789/69993	26
GO:0060589	nucleoside-triphosphatase regulator activity	26/435	429/28407	3.44054742737939e-09	1.12505900875306e-06	1.01224526942373e-06	50778/110279/19735/21844/223435/57257/240168/231532/53322/231207/19414/73910/22324/217835/117600/76117/232227/70785/50780/78808/238130/69601/30938/226652/210789/69993	26
GO:0005096	GTPase activator activity	17/435	238/28407	1.84320120453458e-07	4.01817862588538e-05	3.61526130994677e-05	50778/110279/19735/240168/231532/19414/73910/217835/117600/76117/50780/78808/238130/69601/226652/210789/69993	17
GO:0005085	guanyl-nucleotide exchange factor activity	12/435	201/28407	6.88545735504409e-05	0.00915184456488641	0.00823415598224932	110279/21844/223435/57257/240168/53322/22324/217835/232227/70785/238130/30938	12
GO:0045499	chemorepellent activity	5/435	29/28407	7.21590875202531e-05	0.00915184456488641	0.00823415598224932	71436/214968/13640/13841/399558	5
GO:0016247	channel regulator activity	10/435	145/28407	8.39618767420772e-05	0.00915184456488641	0.00823415598224932	13483/12296/14579/16438/12505/14167/240899/16533/18189/116873	10
GO:0035615	clathrin adaptor activity	4/435	20/28407	0.000216310491264382	0.0172648749287915	0.0155336634237799	13854/11767/215114/108800	4
GO:0099106	ion channel regulator activity	9/435	136/28407	0.000257383302241351	0.0172648749287915	0.0155336634237799	13483/12296/14579/16438/14167/240899/16533/18189/116873	9
GO:0008373	sialyltransferase activity	4/435	21/28407	0.000263988913284274	0.0172648749287915	0.0155336634237799	26938/20449/54613/20444	4
GO:0140312	cargo adaptor activity	4/435	21/28407	0.000263988913284274	0.0172648749287915	0.0155336634237799	13854/11767/215114/108800	4
GO:0005246	calcium channel regulator activity	5/435	42/28407	0.00043900818189819	0.0261010319055833	0.0234837869551281	12296/14579/16438/18189/116873	5
GO:0032813	tumor necrosis factor receptor superfamily binding	5/435	48/28407	0.000819737613985031	0.0446756999621842	0.0401959058085642	22034/53322/22033/50930/69601	5
