ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-MMU-9012999	RHO GTPase cycle	365/6898	395/8582	8.61760874666239e-12	9.62586897002189e-09	7.31136068401041e-09	18708/58996/13830/195727/544963/70804/67300/22042/219140/269608/15239/214230/66894/12988/23912/242687/277360/381293/14270/11461/54216/56419/18221/21927/69922/110279/327826/11465/18710/13367/16443/22143/66508/238130/223435/14784/70497/77480/98386/20742/75547/19353/230098/233877/57257/270163/104252/54411/233489/231532/26891/21763/232237/26382/17973/66251/223666/66146/233071/51796/218581/26934/19354/68743/70584/73910/22324/12540/94190/71085/56699/227377/269523/17974/225358/22319/170791/224105/211499/68653/117600/56374/76117/71228/56381/545156/16906/105782/12704/19765/16801/226652/16412/23943/330177/69993/20868/68428/64652/234094/260409/68917/20619/268970/76577/19230/228359/20662/105855/320557/140579/208846/77006/26431/19229/14674/76983/259302/434204/68349/19878/102098/57778/101565/75415/22352/11736/53817/236915/330914/101314/94176/71782/20663/71704/216963/210293/58909/71302/11308/214804/109294/20355/54324/16818/20874/18844/50884/26403/12461/244895/54004/52666/20430/109333/16449/228543/16480/11852/56349/109331/76884/12549/214345/244418/59069/13726/13518/226751/50875/18709/243362/70350/404710/208263/12345/74201/12848/269061/56212/21873/236920/320634/19349/109934/74194/241275/20947/75089/12389/13605/20462/71409/17920/69288/223254/237038/263803/223870/15519/106628/53382/59079/19249/227937/66087/70598/73341/15369/71893/11857/69710/14251/15381/94221/107746/328232/76088/75739/19877/22284/67586/66898/27360/224014/207425/70719/11848/23853/232201/108686/17970/14269/104215/216197/78514/72565/622434/238505/76626/106504/12468/20844/99412/263406/59009/17969/232906/19647/22379/74018/108100/56418/18481/109711/13171/208994/74159/29875/19285/544817/108699/229658/68813/18706/20401/14609/71435/11856/75974/74734/50768/233103/56384/108037/11858/66922/228482/68146/70361/11854/108670/239027/110596/326618/66871/72536/76763/19299/224480/226525/17972/17063/71544/53972/26554/75409/22637/329366/320795/13057/15516/11671/52428/13836/12539/53332/386750/27061/72754/13058/14252/330662/210998/213522/223881/214137/24001/107971/101497/16800/106952/329165/109620/68187/242202/67784/73167/207495/20257/14163/16709/246710/245880/545481/22325/13511/207212/442801/12638/14787/268301/104445/319899/69581/18806/56324/80837/109904/83397/71972/213649/58220/11853/105827/84004/218952/52331/56784/217866/78816/56513/19655/269682/216445	365
R-MMU-195258	RHO GTPase Effectors	225/6898	238/8582	2.20837753117819e-10	1.23337885116302e-07	9.36816994805063e-08	544963/59015/19387/445007/17120/18607/242687/381293/83431/26416/19052/71876/14270/11461/233406/56419/22145/80987/18221/18016/73804/12617/20877/11465/13367/77579/73699/22143/22631/103468/67037/14784/19353/53857/225849/22629/66336/12532/17973/70385/235661/19354/12385/13589/55948/66713/66570/320394/216965/17886/12540/19046/56378/12236/224105/13427/26931/22628/228421/20807/66934/22146/12704/26932/22627/56150/26951/26417/18472/226849/226747/74117/12235/105855/13542/75786/13424/67629/208846/11867/12313/102920/11835/229841/19878/76709/69736/57778/72415/51792/101314/234663/67052/108000/11308/17904/16319/18817/17931/13385/52696/50884/215280/54004/54401/67938/20430/109333/68549/11852/227613/17283/76884/108911/26886/404710/12315/56430/320271/238463/56212/69928/22151/223701/225326/232987/68097/234865/67951/241275/19047/71409/16885/16573/237038/236930/263803/100043813/13544/76707/23988/26413/52504/66442/14026/67771/71893/17978/12615/72124/94221/19877/12237/13426/60411/14083/11848/18751/17970/104215/18762/69912/22630/12314/18750/18643/19053/17969/22379/108100/545486/18481/20779/13543/52276/29875/19386/110379/66468/66977/16563/18753/67733/11854/224480/76499/17972/56455/269966/12387/22152/320795/13057/52428/12550/19094/98932/13058/22142/73470/71960/11350/74764/20202/18645/329165/22342/16709/245880/73710/12638/14787/22153/192176/103573/20201/75669/12229/72155/208628/56443/22144/11853/232943/68089	225
R-MMU-9006934	Signaling by Receptor Tyrosine Kinases	361/6898	400/8582	3.10228441329559e-08	1.15508389655039e-05	8.77347802496928e-06	18708/15235/20698/17346/19271/12928/67300/11772/20111/15239/11972/56716/12988/13033/18607/242687/26416/19052/11461/17444/214058/11975/11908/16206/12831/114143/14256/22186/20020/84092/327826/11465/20416/18747/18710/13367/73699/56424/15461/14784/77480/26396/13854/19353/57257/67603/208117/54411/116701/11773/71436/17973/66420/15451/433759/16452/12385/101568/11974/19165/22324/328572/11984/12540/17999/17974/20848/224105/73086/13859/109905/19272/11771/20807/16001/80707/21871/20750/67903/18187/14388/16412/26417/12912/399558/140580/20459/16590/66290/14186/20662/105855/14254/140579/19246/226548/12313/20405/94212/19229/235584/19255/15183/78757/14255/319939/19878/260302/11973/15234/51792/14425/101314/66237/384783/74769/75778/13982/66335/114716/19303/11308/98053/232910/12064/16542/230126/218397/19247/16818/11964/11966/17164/50884/242341/19342/56717/54401/20430/16480/76884/13858/227290/21682/16396/29857/373864/24064/22187/18709/11845/12315/18212/227743/18754/17096/12929/114715/54635/23939/225326/14173/76890/211323/75717/20112/13654/12388/12389/16653/215449/20851/16923/18552/18550/110651/15519/66144/59079/26413/18553/24063/14182/19248/16337/17311/12223/71770/14360/14205/58194/107746/19877/22341/20393/107932/16410/69241/14083/16398/11848/18751/109270/23797/22601/56705/19730/14783/17970/18591/12833/20852/18762/71355/20021/18803/12314/18750/18815/20844/18590/14180/14268/19053/17969/16775/108100/17937/18481/18596/74334/319520/20779/14181/22339/18186/14158/26362/20850/19242/18706/80857/67710/12843/19283/21814/67588/18753/15200/18749/16416/14177/545622/72514/15170/19253/78294/81897/17749/20408/17972/13645/12387/18213/12826/80903/13649/71785/69920/18205/15182/17395/231329/17242/69833/217169/16000/53867/13057/12825/12814/14164/19341/12562/15507/102626/12539/19094/18791/140494/20404/18127/14183/18183/13058/18576/16367/64654/330662/12824/11652/68705/11839/107971/19882/12827/11682/22190/13869/19268/21826/329165/27060/14257/338375/67112/110935/107568/12839/19205/23921/12832/396184/20732/109880/245880/18654/12649/16591/26415/71520/14175/73834/12842/22325/18595/76252/12402/75669/18049/56324/14171/19273/14172/54426/14159/16370/21802/16334/72349/665033/18211/20733/14170/22612/68775/228775/17179/14165/27371/12815	361
R-MMU-9013149	RAC1 GTPase cycle	154/6898	163/8582	2.01778158452537e-07	5.6346550747871e-05	4.27982093980908e-05	18708/58996/195727/544963/22042/219140/214230/242687/277360/14270/56419/69922/110279/18710/66508/238130/223435/70497/98386/19353/230098/57257/231532/232237/223666/233071/218581/26934/70584/22324/12540/94190/56699/227377/225358/22319/170791/224105/117600/76117/545156/12704/19765/226652/16412/23943/330177/69993/64652/234094/20619/228359/20662/105855/26431/14674/259302/102098/57778/75415/330914/101314/94176/20663/216963/210293/58909/71302/11308/214804/109294/54324/50884/52666/20430/109333/16449/76884/12549/13726/226751/18709/404710/19349/109934/241275/20947/12389/13605/223254/237038/59079/73341/71893/11857/69710/76088/75739/66898/70719/23853/232201/17970/78514/263406/17969/232906/74018/108100/56418/18481/29875/544817/108699/229658/68813/18706/20401/71435/75974/50768/233103/239027/72536/224480/17972/71544/53972/320795/13057/13836/13058/330662/213522/214137/24001/101497/106952/329165/16709/245880/22325/442801/104445/319899/18806/109904/213649/105827/84004/218952/78816/56513/216445	154
R-MMU-8953897	Cellular responses to stimuli	394/6898	443/8582	5.15611398763445e-07	8.87777160111293e-05	6.74314084766246e-05	72416/17168/72630/101488143/268706/14828/59015/19192/104248/14775/20111/26462/445007/11972/21672/26440/56716/665113/75430/56438/26416/230784/67605/54130/19182/22059/22145/12359/233016/114143/52187/26446/227720/83409/77128/66998/22186/20466/67443/68612/228769/14957/58233/329679/59035/22143/66508/11920/103468/17250/216850/213539/53857/19646/81489/17992/19069/15368/11757/56371/59008/12017/13191/56550/20463/21898/18024/12571/109151/17135/140742/66997/68033/218210/21762/235661/67204/66679/110920/54563/12858/50868/11974/170644/19014/26442/110323/217365/77683/18141/328572/23997/11984/12861/81601/269523/17165/11863/67151/12868/71962/13427/12460/15505/69654/16476/22146/29810/14056/71805/12857/12428/16906/17246/19188/22428/71844/19167/22627/12343/26420/81004/26417/17684/52615/20655/69077/18759/26965/15260/66290/66096/18667/116940/80838/19177/52563/52206/108989/76650/22123/13424/69957/19744/18415/66359/54170/109778/112407/23996/56317/59029/11835/224111/26443/15183/16912/72787/26397/69736/277854/12566/18477/20602/14815/11973/12447/23871/12448/66237/245688/101142/22346/66335/13875/19645/234663/19166/319481/230676/17248/238055/17222/21402/216742/11964/11966/19173/17164/67673/66403/56637/22166/242341/56692/23950/56717/29806/26399/27401/319594/77891/12325/227613/108058/70207/93759/14281/17463/12576/56351/22187/78943/98402/19171/12345/26905/238463/15511/23872/19185/22151/23939/68097/234865/68275/57296/67951/20112/268933/56453/15251/12013/70247/15364/26398/68441/226641/71745/14228/110651/15519/66144/67089/26413/21372/17087/14782/216805/19170/13626/15369/13627/26408/17978/50527/72124/13819/227699/19181/107939/22194/12322/13426/216080/67923/26419/19175/19179/52892/23797/231430/52717/193740/19172/66440/17970/17535/69912/67669/17748/50493/11758/108079/26445/17969/15481/69802/75560/67665/545486/53598/69482/14950/231042/50758/252875/13665/56760/68196/269113/103554/53380/19386/110379/26400/14229/18412/17977/78294/56445/56444/26921/111241/20467/53417/101148/17972/56455/269966/13666/12323/12567/270802/26554/110147/245670/22152/67305/11806/12427/66413/75512/13057/17750/15516/12867/80909/102626/15512/19094/217232/229003/13058/15361/22142/67384/13063/11652/15502/14780/52466/170762/66105/270669/15499/27354/22190/68350/66142/20181/27060/14870/338375/15526/26414/68576/110935/80888/112405/12608/17751/73710/73834/11657/20656/22153/12575/76252/103573/69590/50932/16913/22144/99152/73442/18226/14776/14958/12344/112406/68775/70356/66993	394
R-MMU-3700989	Transcriptional Regulation by TP53	260/6898	286/8582	5.82825077223323e-07	8.87777160111293e-05	6.74314084766246e-05	72416/268706/12227/19079/12144/21672/57748/117150/56716/18607/19367/237911/268936/26416/230784/19052/13001/216456/53325/22059/12177/12189/70439/52187/83409/67338/67956/22186/20020/20877/20869/78783/73699/22631/66508/11920/107951/21343/19646/17992/69131/234366/22629/13716/20463/12532/15258/66420/64930/140742/68742/68033/72119/433759/12858/57913/26992/66464/21399/55948/268697/110323/77683/20922/23894/74747/328572/12861/81601/70088/17165/21975/12868/80751/26931/226182/219103/22628/60599/13163/69125/252870/27224/231724/66671/21981/12857/12428/17246/12534/22627/18854/209456/229542/19718/68428/66096/234594/105787/104625/23942/19744/226830/66359/68776/54170/18718/66262/108099/14660/78757/75747/12566/18477/51792/12447/12448/327762/245688/333654/223970/17248/232791/98053/22062/108961/12455/67673/19082/22166/15257/20924/14381/56692/57314/56717/26399/54401/106344/14884/231464/52846/12572/70207/18148/12028/12576/22187/69260/12021/227743/20620/24075/114741/15574/69562/13871/108097/68275/12568/209361/270627/225655/319801/53621/24116/68441/69263/108083/13197/235559/23988/18996/52679/14782/78893/69181/22427/20393/107932/67923/69241/52892/109270/13000/23797/50883/12366/231430/56187/225182/17535/13872/216848/29813/77976/22630/20021/50493/72068/14751/108079/19053/223770/69802/99730/19352/67710/72949/72151/20833/407786/12450/19355/78294/26909/74386/12569/14885/17749/233058/69920/17420/110147/15182/245670/619332/53376/12427/231329/69833/66494/228980/12867/19094/241113/13063/11652/16009/68705/27354/22190/66142/67655/68576/58202/12905/12649/72504/228829/27374/12575/22061/12995/18997/14776/24074/228140/219022/241764	260
R-MMU-1280215	Cytokine Signaling in Immune system	397/6898	447/8582	6.78806941228428e-07	8.87777160111293e-05	6.74314084766246e-05	66589/18708/20698/19271/56791/74153/12928/19192/56484/20617/20892/20111/54607/20491/26440/16331/12988/56438/16391/26416/19052/21938/19182/17444/97908/56469/22059/22145/11908/22030/26446/14256/21941/15976/66998/22186/228607/230979/16211/228769/14087/59025/20416/108960/18747/18710/73699/22143/22631/15461/14784/22034/53857/67603/24015/12330/56550/19043/17973/72775/16177/56417/66997/21762/16452/101568/54473/11909/13681/26442/22324/23997/230861/67030/319150/17999/20848/22318/67151/66369/73086/15975/110157/56480/208643/66724/100037258/16476/22146/50930/217069/56208/319149/360198/19188/319152/16151/19167/12534/16162/26420/18383/26987/14088/26417/12912/21942/19106/20969/226849/69077/22608/26965/18707/24014/22200/19177/20662/67781/109658/231130/22123/286940/19246/18036/16180/68652/21934/12367/19229/235584/15289/23996/59029/21937/16168/26443/19255/16912/66513/14255/15979/26397/19823/26409/21935/16195/14600/223664/51792/319148/384783/74769/13211/20663/71966/19166/23806/26410/19247/21402/16818/19173/17164/67673/319151/13684/103583/13690/26399/20586/12325/227613/16170/20849/108058/71885/21682/18148/211550/16184/17874/14281/17463/270151/12576/22187/230828/18709/260423/11820/237313/19171/15962/16880/238463/69928/15511/12703/17096/12929/19185/21949/22151/18033/23939/11796/16198/57296/20614/16154/20963/75717/67951/16176/20112/13682/20909/20399/12931/16653/70247/17082/26398/16201/20851/16923/16175/77799/110651/80750/67089/26413/230073/16194/13608/19170/14360/19181/66892/107746/22194/16193/16150/245527/12322/72049/19698/216080/192656/12978/67923/26419/19116/12362/15978/16190/19175/16179/19179/15977/12370/23797/22031/193740/242517/53859/19172/14783/16199/20852/18034/100040608/18803/17762/16178/15162/19053/26445/93834/15481/12983/19697/545486/107527/319520/11797/60534/26406/211948/20907/20850/103554/53380/16164/18035/18706/213208/104806/242700/93765/19283/73914/26400/18753/18412/50498/67245/15170/24110/22192/16197/57916/78294/12702/23992/21926/12323/434341/12977/56708/22152/101831/60504/66413/266632/18414/20908/100038882/102626/15512/19094/17858/16186/15974/27279/326623/16367/93871/22142/107607/209590/20203/21943/22164/11652/13607/17000/22218/112419/16192/16161/66105/22190/240873/12981/26414/218624/22027/16878/67513/20911/21936/54131/21940/16181/73710/77125/242519/69146/53603/13035/338374/12985/22153/16169/230396/12402/237211/216233/16157/16913/60505/24099/13019/22144/240518/56468/18413/72349/330496/15980/22612/16332/12804/16189/21939	397
R-MMU-9006925	Intracellular signaling by second messengers	234/6898	256/8582	6.90071312097727e-07	8.87777160111293e-05	6.74314084766246e-05	18708/268706/11512/19192/56484/26440/117150/56716/66894/116871/18607/207565/494448/19052/13001/19088/67605/19182/52187/26446/12371/14256/83409/66998/22186/228769/327826/18747/18710/73699/56424/66508/14784/18717/19353/22034/19646/225849/18719/234366/55984/66997/21762/433759/19354/11798/26442/22324/23997/17999/67151/26931/252870/14056/244650/19211/17246/19188/26932/19167/11515/14388/26417/12912/18854/52615/226849/69077/229542/16590/18707/66096/14186/19177/77647/22123/18720/23942/19744/268980/16180/12313/54170/18718/23996/59029/26443/16912/78757/14255/15234/51792/384783/245688/74769/75778/13982/19166/109294/19247/16818/19173/56692/56717/83490/17874/18573/17463/12576/22187/18709/110355/12315/19171/54601/227743/18754/56212/19084/13619/19185/19720/12524/14173/57296/98432/211323/54383/70247/11513/17082/19085/68441/108083/68031/67089/26413/14182/19170/13626/16337/17311/56458/12223/14360/19181/12487/14013/15370/20393/107932/58988/21951/74493/19175/16179/19179/109270/13000/23797/19172/18591/216848/12314/18750/18590/14180/19053/26445/18575/18596/20779/103554/53380/18706/80857/104111/18753/15200/18749/14177/78294/224129/12519/13645/80903/13649/15182/245670/18574/14302/66413/266632/14164/30951/14183/18183/16367/64654/12418/19763/11652/11839/13983/22190/13869/19821/54167/73162/329934/11514/67112/68576/12151/29871/12416/16591/14175/77125/18595/241915/12575/15937/16913/14171/14172/12995/21802/16334/432530/14170/104110/228775/14165	234
R-MMU-2262752	Cellular responses to stress	391/6898	440/8582	7.15308365353772e-07	8.87777160111293e-05	6.74314084766246e-05	72416/17168/72630/101488143/268706/14828/59015/19192/104248/14775/20111/26462/445007/11972/21672/26440/56716/665113/75430/56438/26416/230784/67605/54130/19182/22059/22145/12359/233016/114143/52187/26446/227720/83409/77128/66998/22186/20466/67443/68612/228769/14957/58233/329679/59035/22143/66508/11920/103468/17250/216850/213539/53857/19646/81489/17992/19069/15368/11757/56371/59008/12017/13191/56550/20463/21898/18024/12571/109151/17135/140742/66997/68033/218210/21762/235661/67204/66679/110920/54563/12858/50868/11974/170644/19014/26442/110323/217365/77683/18141/328572/23997/11984/12861/81601/269523/17165/11863/67151/12868/71962/13427/12460/15505/69654/16476/22146/29810/14056/71805/12857/12428/16906/17246/19188/22428/71844/19167/22627/12343/26420/81004/26417/17684/52615/20655/69077/18759/26965/15260/66290/66096/18667/116940/80838/19177/52563/52206/108989/76650/22123/13424/69957/19744/18415/66359/54170/109778/112407/23996/56317/59029/11835/224111/26443/15183/16912/72787/26397/69736/277854/12566/18477/20602/14815/11973/12447/23871/12448/66237/245688/101142/22346/66335/13875/19645/234663/19166/319481/230676/17248/238055/17222/21402/216742/11964/11966/19173/17164/67673/66403/56637/22166/242341/56692/23950/56717/29806/26399/27401/319594/77891/12325/227613/108058/70207/93759/14281/17463/12576/56351/22187/78943/98402/19171/12345/26905/238463/15511/23872/19185/22151/23939/68097/234865/68275/57296/67951/20112/268933/56453/15251/12013/70247/15364/26398/68441/226641/71745/14228/110651/15519/66144/67089/26413/21372/17087/14782/216805/19170/13626/15369/13627/26408/17978/50527/72124/13819/227699/19181/107939/22194/12322/13426/216080/67923/26419/19175/19179/52892/23797/231430/52717/193740/19172/66440/17970/17535/69912/67669/50493/11758/108079/26445/17969/15481/69802/75560/67665/545486/53598/69482/14950/231042/50758/252875/13665/56760/68196/269113/103554/53380/19386/110379/26400/14229/18412/17977/78294/56445/56444/26921/111241/20467/53417/101148/17972/56455/269966/13666/12323/12567/270802/26554/110147/245670/22152/67305/11806/12427/66413/75512/13057/15516/12867/80909/102626/15512/19094/217232/229003/13058/15361/22142/67384/13063/11652/15502/14780/52466/170762/66105/270669/15499/27354/22190/68350/66142/20181/27060/14870/338375/15526/26414/68576/110935/80888/112405/12608/73710/73834/11657/20656/22153/12575/76252/103573/69590/50932/16913/22144/99152/73442/18226/14776/14958/12344/112406/68775/70356/66993	391
R-MMU-2555396	Mitotic Metaphase and Anaphase	201/6898	219/8582	1.98325264482595e-06	0.000190437643499044	0.000144647543382396	59015/19192/19387/445007/26440/17120/75430/13006/23825/83431/19052/71876/19182/105988/22145/18221/73804/16905/26446/218914/69922/66998/22186/68612/67849/16211/12617/20877/228769/73699/22143/103468/67037/98386/105513/53857/225849/59008/67141/66336/100710/75608/12442/66997/70385/21762/235661/13589/268697/26442/66570/320394/216965/23997/12236/71955/67151/170791/22196/13427/26931/228421/66934/22146/22367/71805/16906/19188/26932/116733/19167/12534/56150/26951/18472/226849/69077/20842/226747/12235/19177/52563/52206/22123/75786/13424/69957/67629/23996/56317/102920/59029/100088/229841/26443/16912/72787/69736/72415/51792/71782/234663/67052/19166/108000/16319/17222/18817/319965/52696/19173/66700/68549/77891/227613/13726/17463/22187/108911/26886/19171/56430/238463/69928/19185/22151/232987/68097/234865/57296/208092/67951/19047/70247/19384/50850/236930/100043813/24061/76707/67089/52504/66442/19170/12615/72124/20843/227699/19181/107939/22194/12237/13426/216080/60411/19175/19179/52717/19172/66440/69912/19053/26445/545486/69482/52276/19357/71978/103554/53380/19386/110379/66468/66977/16563/67733/78294/68942/76499/56455/269966/30939/68953/22152/66413/217232/22142/73470/22218/170762/22190/73710/22153/103573/16913/72155/208628/22144/64383/99152/70315	201
