ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0044772	mitotic cell cycle phase transition	417/15732	454/28891	9.21851179103008e-70	5.98557970591583e-66	8.57806781396904e-67	67141/68251/19055/12452/108989/19054/76843/52696/24100/109019/208768/214498/108000/20460/56190/18514/28036/12237/381921/56456/11920/56371/12567/17869/21803/12447/69754/83560/19188/330177/52468/66671/208583/194655/52206/382985/67974/231600/68953/18028/75430/12054/12013/209334/77011/67052/12366/116871/12144/108911/22059/26554/66214/18027/12450/53317/13685/56150/233805/108058/22687/12444/20466/12568/24075/76707/72611/229543/26931/12534/70127/50875/17535/11820/14056/67121/78832/12571/30949/229841/12298/27401/12572/19363/11461/67045/19357/105513/63955/83383/69917/11491/20104/16906/66197/12448/13205/20588/68193/106795/66442/26427/12122/71375/12193/12021/22137/20586/12704/237459/15512/26992/116748/12576/74370/52679/229776/18392/18018/320595/12445/12034/12453/270201/52004/19891/227331/269582/218294/269424/13860/319651/234736/70385/71007/18973/69274/13557/381293/19052/18795/12043/77891/21423/12236/12532/13194/20620/219103/72772/68142/228361/16600/239985/76454/99375/20133/246735/75826/13555/68067/66209/22591/67857/81702/231803/107976/20479/12313/18763/21335/93695/18761/26951/68612/13684/11477/18032/77044/268697/15170/68077/76464/11792/12530/17257/18555/16412/23834/12443/12192/16319/244281/72993/329152/67155/234069/75608/68964/13871/50850/104418/12649/14199/13872/12055/235661/74268/17246/22680/228714/12449/214444/72290/15574/72400/12428/17863/235559/52563/67991/53869/387219/15902/17120/14235/74996/225131/13559/240665/15468/19645/12905/21987/17420/11789/216190/30963/116733/19211/66591/19651/12580/227292/56696/17283/225182/59008/57913/67153/12314/105837/76499/27354/218630/70681/12545/19360/67629/53892/18817/66991/54394/18715/107047/12531/13924/11651/29861/67941/208643/93760/79263/100088/69716/20135/12566/17829/270669/54601/20877/27214/448987/19192/68592/104394/11799/69188/68014/56453/77045/67849/70891/68431/218793/12795/56469/19708/27375/68034/19650/75770/72584/18669/17193/15937/18557/14165/12323/14726/330216/18647/15586/50523/271697/226026/69957/12189/16323/21752/71276/22209/67628/217232/12575/83766/723962/70799/18854/12577/66977/723951/50927/59036/404710/238271/210554/319944/12914/12579/99152/72008/77035/68094/59126/13383/235041/12325/74335/59046/69581/12235/57261/17222/57376/11629/328440/110957/56317/319195/380694/216965/16952/19684/327799/20184/12442/72057/16798/381534/66923/12322/83797/12578/72776/19186/114714/66993/22410/237877/107771/14841/19941/216021/13076/18671/11479/16493/54451/12315/67655/60364/636931/234664/50496/68501/237256/209091/210766/66983/18214/208628/244879/72088/18014/66371/80280/52276/238555/57775/69681/723950/75604/72508/11504/15904/18767	417
GO:0050767	regulation of neurogenesis	441/15732	494/28891	3.31594427841568e-64	1.07652130998765e-60	1.54278670637866e-61	13838/76089/24136/20354/19055/21817/21960/216344/63953/330914/108138/21938/19280/11423/56637/232560/30948/23873/12724/74143/16579/230598/18096/545156/16193/11858/21844/17869/21803/104156/69807/387216/24001/14173/56717/56711/217166/76893/20720/22059/12017/382253/75788/74117/20352/12568/71955/16202/238276/320790/16878/56381/67838/15213/17118/74132/14056/17344/20807/53605/170731/59041/12227/17196/171207/27374/13654/18222/18627/13508/12010/665113/22422/11538/13047/20539/54712/11426/18508/67490/12704/13631/22084/19744/53872/16590/319583/23966/18016/13003/58234/70827/13841/13190/14265/22352/55927/107503/11865/22241/18536/623459/14025/13051/12767/16975/68585/12316/54673/269878/67414/26396/192119/14297/217715/18039/13690/20660/66713/20585/13385/19016/16885/76454/27279/13555/15214/16542/230674/13169/15251/233489/12385/18129/20357/245886/69743/20317/233064/67784/14461/83431/13844/18844/17257/16412/20481/433759/18186/51791/18479/16842/18845/19266/70433/28000/22041/16176/20187/79362/319740/17096/72162/268902/235472/20430/67287/17863/16195/20359/20194/330938/15902/17158/18125/14254/22368/17190/19164/20348/16835/20353/22129/109880/18390/20360/12166/58861/23999/114606/19645/19047/18742/22629/216190/17295/97165/211323/19211/15901/20238/12774/227292/16971/66354/19262/17755/19268/66991/108100/18080/12032/216049/12550/16800/15978/20869/70237/14366/26419/20393/67095/18109/329559/140570/213084/15182/13640/12978/17762/171469/12257/360213/243743/104015/71918/76901/12306/239667/12156/12950/231672/66515/16000/12904/83433/15206/20351/19712/18755/12387/12168/68151/19317/22062/21838/20563/21926/213541/18759/98733/20482/14083/13131/74006/244667/12323/20358/269951/22341/20666/84653/17919/16870/99982/54214/224617/15364/12162/20346/12484/52822/21752/17242/328572/78748/20320/14168/50849/18011/24088/240057/723951/70086/22339/14634/22413/65079/22068/12561/214968/18223/140571/74053/16728/20350/15205/13490/14061/242620/19130/18846/13392/229285/18472/20315/218877/18996/20562/12579/18015/99152/56320/13138/20429/73940/12361/228357/20347/11421/100313531/14725/77125/19876/67299/228550/22596/17760/20845/18128/14375/20355/108071/14365/15207/18212/70083/22067/71751/13004/14359/20893/73181/17356/57810/18420/21907/22421/14567/18121/108151/83557/18481/17751/14102/66993/12064/17756/99412/11516/76527/16653/22326/229589/54485/57434/18205/13388/235402/18997/65086/14912/22418/22416/29869/15982/14599/17172/22601/67891/19697/17173/14580/103743/381530/14184/56710/319757/229715/19699/320191/20349/65254/14268/330790/18208/94091/13390/15114/18606/20312/12677/71653/574437/13048/11921/19283/18049/15208/210108/18213/723950/29819/76965/11595/12159/20732/83701/54713/56198/216858/11484/11816/225908/15904/50913/234219/320027/17136/20681/244058	441
GO:0030099	myeloid cell differentiation	427/15732	480/28891	3.85004334087238e-61	8.33277713742812e-58	1.19418888187059e-58	226419/19055/72828/22761/11518/19664/235497/29813/68235/21898/226844/17684/14628/214498/56637/50794/22778/238247/18035/21399/93694/214133/11757/23871/21349/17869/21803/16909/83554/229323/17260/67017/56717/18718/56484/235320/12394/21813/100900/20846/20085/20514/14683/22695/14728/21814/11308/19229/234515/14118/16878/50875/11820/20480/17268/50754/12571/16795/226421/20807/54368/29809/12606/102791/15289/15467/54624/14247/56199/12912/320404/20104/110794/16416/11740/12010/13856/12400/98386/14815/20044/20586/399568/67490/12367/107371/14460/16409/18103/100201/12633/59003/74370/16590/19698/15242/235627/18018/53621/17342/17886/20679/20848/19401/18771/14462/233328/22228/16476/12183/13386/12370/11480/630146/217864/13423/18708/18795/14582/20304/223690/21423/20687/14281/107817/108655/12398/17089/321019/14723/26379/19016/208638/18003/99375/18605/22083/12520/22388/15251/227377/18129/21847/107173/66154/18032/15170/16477/14461/16418/22042/16658/18383/14082/12192/105855/56792/54411/16842/67588/16969/22041/13132/13871/27419/67087/212937/18081/19165/17096/216781/26416/20185/216161/381319/11450/17863/16889/16452/57259/16923/15902/16598/65113/16364/12768/18023/19164/215653/14727/20850/14159/16596/11733/11656/19743/57816/53314/14104/19645/192176/14381/22038/217127/16160/12611/15900/16535/11789/52065/97165/14284/98366/66317/70080/93675/17132/15361/320910/20308/14309/11983/15978/83430/18174/224109/12703/104416/15977/20375/74511/12053/26934/70747/67050/18750/15404/11774/211770/209446/16331/234549/216820/15405/242687/83924/14151/233904/21833/19255/12978/224792/15354/245944/16168/19766/19247/56417/69188/70026/233405/14724/17129/15129/20779/12156/68027/21950/14127/69656/12349/12262/244349/71982/23845/230721/83433/66193/12986/13819/12387/74481/22034/15469/21873/21926/230257/72147/67773/223870/26365/27060/20851/22177/78926/99982/20683/238377/241525/14466/109801/16323/97086/170826/80752/93759/16420/328572/14729/16825/15526/70673/19411/24088/18854/16189/12577/20259/22339/19152/723814/16149/20302/229615/14734/620235/18472/19014/18996/23991/107829/14389/232790/117149/18015/11655/14057/12977/14390/241764/17000/66663/16191/387164/237339/14008/77125/545486/13829/101488212/14063/93686/64602/14218/17311/70564/15163/16449/11501/237625/17874/12675/26564/16948/12775/227326/21930/229700/21934/77573/109711/22402/18726/170741/19824/18102/223770/387231/14102/13637/210710/12608/23897/76044/13836/107771/319653/17082/21832/76527/69301/27220/56760/13388/18997/723848/26565/317757/58181/235505/11479/17150/20535/75302/17536/16171/12504/14184/18089/216984/18729/227358/83408/12985/56406/21943/19659/80280/74614/20377/12981/17480/387162/12159/12326/13828/19746	427
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	404/15732	451/28891	7.06600288507534e-60	1.14698891831985e-56	1.64377540800174e-57	18024/19053/71991/104771/109689/74244/76843/68970/78913/19359/56637/71816/240263/21762/56371/217410/69754/20438/232566/52206/234684/230903/56468/231600/17463/50789/109815/66245/12330/74646/319701/70247/224938/26554/107035/192193/432879/22215/50762/75788/64209/216150/228769/68292/93765/74125/66894/77006/70611/100494/26931/19822/54197/68477/11797/13198/116870/236904/75744/58799/67812/76302/50754/23806/17846/14794/27401/14154/19182/100041286/223499/103583/15204/106042/27373/216440/193670/26446/57320/219158/70294/67163/54609/26442/50873/22393/76425/21372/20588/14897/18521/224826/14673/216869/67490/56353/74374/17155/56812/268291/74251/59003/53312/433693/71538/20834/269523/14629/106052/108687/71492/12317/12005/11865/70377/116891/56438/57296/386649/14084/53380/381293/77891/66440/212114/320118/12398/13194/20620/76788/100503085/67245/15511/66498/228361/66413/76454/99375/12234/217069/207304/67903/226541/107568/81004/110616/54644/67089/56736/68053/80750/27362/50760/26420/70348/230815/68612/329795/14694/225896/67118/68077/57765/64295/170930/68098/20439/26374/56424/12389/140499/21927/66212/18786/207521/13132/27419/19165/66861/387524/30843/330171/17246/223455/23996/74841/55992/12449/22210/19185/52563/224727/14198/19164/17772/20747/225131/72179/68818/75234/83814/30840/66349/69259/16396/94090/11836/227693/68135/17754/28199/68867/74126/11789/59025/80890/15216/68795/59029/59008/12488/80751/19358/22218/140630/239554/30945/67128/56291/66244/71472/18817/13666/108086/224111/22213/19181/30838/67819/217365/224109/72053/67338/11651/26419/71999/56404/23805/244373/213311/108660/231863/211770/79263/218215/19179/606496/17156/22284/21402/67586/93687/414872/448987/66105/22222/77987/71745/23807/56726/76375/268882/68431/269514/12006/231672/12795/13853/56469/252870/66799/56085/65256/108155/52033/68034/75452/108159/12387/24105/63958/70382/230249/52551/67025/57443/223870/213990/66725/237353/22214/226418/216080/101358/242960/230904/75717/69957/14466/93759/22209/170737/217232/56407/216622/50849/18854/19173/81601/24086/232539/22644/23802/76577/214931/104318/226757/11993/56207/76857/108089/229644/74165/50758/66967/228775/53323/170823/77125/17222/70620/72194/213753/233902/66825/70797/271005/211949/327799/69554/434246/233877/381534/12759/66597/59009/239510/71765/20437/27061/56486/50788/433766/94232/268721/399673/73296/105193/22410/18858/26965/233040/226144/30839/103573/76608/238896/72330/380918/66313/14155/636931/66089/214158/628100/66753/97064/68999/14238/233038/232854/75212/22225/66740/108802/78896/70369/207213/227619/105418/108143/72293/217379/14828	404
GO:0022411	cellular component disassembly	412/15732	462/28891	9.8806495679175e-60	1.28310115288977e-56	1.83884088800823e-57	13838/226419/232227/12176/21968/11518/74244/75909/16001/235072/56637/108853/12332/56193/65973/22320/74392/16193/78610/23871/17869/69754/18706/52639/276770/15277/15481/68953/24015/12177/225115/270086/22367/11783/209131/230895/22059/74187/75788/194401/12568/59026/23830/76707/77006/54194/238276/12534/232341/244962/56431/50875/108124/100502841/26926/50754/170731/105513/72119/106042/78428/16578/27360/11740/50873/212307/18627/20588/22333/319162/73804/13482/11793/14296/68943/54712/20586/67490/15512/67841/17997/66270/16409/74374/13631/93739/16337/246103/14489/269523/19230/12034/106583/68041/20947/22241/320878/329015/225363/13051/99512/13860/15194/66840/13423/18708/13010/100504663/192119/228421/100502698/26921/213948/228361/208691/12660/18003/30800/230674/54396/70381/22388/13191/67890/15251/271221/11555/20479/12313/76055/74747/230709/67064/12345/66734/12343/77044/105787/12340/94178/66437/67443/83431/20742/224432/16412/56422/67588/20833/225845/54723/75608/71648/319801/380969/78246/50850/21916/320827/66905/12631/16801/22003/21973/216781/54636/67846/56215/109242/381038/72018/225326/68942/20595/18412/320806/20787/11520/20741/57028/20405/66361/171580/23999/20615/78798/74781/11739/12611/102058/19305/63873/17754/13035/11789/12421/107338/15944/226519/257632/13043/116733/211323/231580/66169/66826/68732/68995/18826/227634/105083/66853/76499/18195/227298/16784/17755/237891/56273/72685/65019/320528/16573/13347/18817/15550/14251/16765/11983/16800/17758/15451/114741/235040/20393/16865/208194/56404/23805/237782/66454/209815/93760/70218/12539/67006/234852/268396/606496/68572/210356/66155/21812/12632/14232/77057/245944/67886/12257/270058/104015/77987/67998/75669/67871/12262/269514/16145/12795/83433/13804/56085/73914/280411/13421/108155/76366/75452/27412/260315/21926/51800/106064/74006/18815/14186/14726/11519/78926/245860/11472/320502/17957/12484/14466/13040/76709/227753/14464/20739/14168/14086/72349/80877/93677/20259/81601/73420/101612/19704/14026/19888/208092/269254/56629/11845/76561/18472/23991/17228/57436/68350/68094/66663/17318/16593/12683/67453/21767/13829/57376/16009/14063/29877/216965/19684/194952/23794/14248/20262/211253/76959/26903/71742/380842/77573/67379/68184/21405/83797/14089/69408/56486/21809/12578/67526/94232/66993/72512/546144/286942/13368/17756/11938/80986/100756/99412/107771/14852/12305/21808/65970/12266/67727/66747/70997/50874/12259/29869/110380/53619/12752/20740/229534/51897/269275/20401/66615/208158/66643/17386/17281/18214/66371/26918/80280/11848/69697/64704/20408/108079/20404/23829/71893/30060/319278/80743/56208/76559/235130/14853/217207	412
GO:0051090	regulation of DNA-binding transcription factor activity	392/15732	436/28891	3.62185462598721e-59	3.91945034775583e-56	5.61705173574157e-57	14158/19053/12042/19055/18148/11542/109689/107869/68235/16001/21898/73086/66568/16978/67916/171285/18035/18514/27103/16193/66521/11757/21803/217410/54672/383619/66200/30954/69807/21416/93679/26413/11909/66214/240354/22670/208727/216877/19017/59035/93765/66894/77006/21814/66743/214899/74256/13198/19820/71890/11820/20684/14056/14581/14747/17846/99311/76510/226421/17344/20807/56312/234779/12359/223453/70461/13982/57320/170799/22393/71268/13614/16478/68943/216869/20586/67490/15368/12633/16590/22033/14489/12034/228607/55927/20679/20848/16180/13051/22164/16151/432940/16975/14084/16414/22030/16153/53380/21423/55982/69296/14087/67245/16600/19016/332579/52440/101700/18605/217069/26443/24069/19720/18119/57321/107392/67154/19206/18763/21335/18761/12491/21929/18032/56274/241066/209361/108116/22042/18712/12389/16974/67588/94088/71371/16969/212085/16176/16480/15258/13607/75801/230738/67087/216781/27050/73845/381810/24058/94094/16452/26563/13211/15902/108960/192656/319236/18036/12051/20747/18012/20821/15184/108723/15468/15110/192176/18751/54324/268373/16396/12523/17979/12611/257632/240873/66083/19211/15901/50868/17283/81897/226169/22218/329659/16150/268973/56273/20997/19821/14251/223664/16800/20963/74343/19290/106759/22031/20375/11651/74039/14366/16365/109552/13009/15183/211770/21672/327987/434341/15182/225849/12289/270669/20128/14130/21833/17131/57748/269209/68576/56784/19766/19122/319555/225471/21941/11745/68729/19106/12156/211651/13983/382056/13839/244349/18038/101540/83396/252870/77596/73914/69601/18755/12387/24105/15376/216799/22034/142980/17702/59016/21926/67025/59079/18759/22029/66725/74735/12922/26417/99982/13543/245527/319594/17691/15364/170826/93759/328572/667823/76681/24088/19227/111173/16189/16182/269881/195359/13078/22413/227541/15205/56532/19130/14362/56489/18996/23991/66824/12914/117149/22036/16973/64010/54638/94353/23957/18762/16191/11514/16174/72388/14239/230594/107607/20379/15163/15903/11501/17874/15162/11924/16334/12675/16179/71751/69159/11835/671535/20893/12759/66597/22773/12322/20698/21934/11746/67525/16415/12578/268857/243910/17002/17470/72512/12064/69504/22410/23938/245522/112405/16653/13813/15375/18997/66930/26565/22418/22416/15378/209387/67405/15982/14252/11705/18013/19697/21947/21389/21939/18760/214158/319757/223513/19699/22408/71609/21899/19223/12985/18214/12335/21943/18014/20312/22772/80280/381457/15223/16173/56644/56398/18049/17984/244183/231889/224762/230073/56198/20186/23947	392
GO:0001667	ameboidal-type cell migration	417/15732	471/28891	2.32110827818672e-58	2.15299372146663e-55	3.08550333521363e-56	18024/11818/14158/24136/20354/74769/232227/14751/14119/16398/72446/63953/68750/67916/229096/114715/16413/16401/23871/21803/17260/11826/14173/56717/108911/381290/21961/21813/66214/384783/72461/30955/14472/74117/20352/76707/21814/16202/19229/30953/20684/26406/21418/50754/19245/50884/20807/238328/234779/13655/15289/171207/20541/19877/27494/18741/11491/16416/22682/19279/212307/13614/18710/13482/14673/328949/56753/11426/18508/16421/74030/15368/22084/16590/52014/338366/20778/20130/56048/12317/18754/17886/12339/14462/16476/12767/14164/18787/13001/16414/68585/18570/69683/18810/269878/192119/108655/11881/20620/55982/11947/26921/319939/16600/19016/19713/18709/83409/68606/11600/26397/16542/67903/13590/15251/107351/18119/101489/13641/26941/20357/15370/20317/11857/12540/12927/11477/29875/67784/384009/100169/14461/23942/12215/14775/18720/17257/11852/16412/11946/269608/70839/16974/18186/72993/18479/14645/107321/71371/14314/72007/23789/16480/13645/230738/12631/23797/17128/11541/239528/54132/23790/20359/18187/18607/53869/104831/241324/20348/13197/20353/20850/109880/20360/15184/19141/68465/18803/12331/22411/11789/13642/216190/17295/107831/19211/13618/24111/56218/21336/101401/70097/109254/50525/14674/53618/71093/76499/15507/75723/52392/243362/20997/19878/15978/54357/67338/13616/18438/11651/11855/20671/192197/72674/18750/66864/19353/73230/242687/68743/79221/94352/12458/21812/109333/69216/16367/19247/22160/12562/68813/11745/20779/101540/330662/230917/16000/14182/19303/192897/79264/20351/15116/69601/12261/12168/20563/15587/21926/263803/14083/26365/18707/53868/13036/14165/20358/22341/18815/18935/16392/11749/18188/20683/60595/56233/15586/13731/12162/20346/20202/20397/70445/20855/93759/17395/11482/380664/22346/14234/332397/240185/18854/12154/16410/16189/83397/20971/18704/22339/13078/231858/214968/14026/11845/20350/19130/12622/22122/18472/20315/218877/23991/14389/19274/13869/18015/16973/16776/19225/18613/235041/14824/105450/18133/20347/58233/20692/21687/80837/16336/19876/13829/12512/320795/17381/17311/19015/18128/11475/20355/107586/16952/11501/12822/18591/226352/56332/723924/100038489/21907/55985/22421/74144/14089/108151/18481/16415/12721/68328/13617/14172/73608/73139/13836/18858/23938/21808/56426/14756/67384/54485/17292/11502/21825/11350/14175/68992/105940408/13615/57260/22418/21667/66601/11479/15200/20613/12752/66313/78560/14181/21939/18760/14170/269275/20401/17293/76905/13636/319757/18127/20349/27217/14268/19270/18214/11601/18643/21983/18606/21380/21333/16400/105844/11848/64074/241639/68792/11602/12159/14178/18645/11816/12554/21390/18505/20681	417
GO:0007264	small GTPase mediated signal transduction	384/15732	428/28891	2.15644746851947e-57	1.75022667663711e-54	2.5082888975937e-55	24063/75687/76089/19053/217692/56041/64143/74769/232227/75547/109689/329877/232906/14766/216344/330914/319974/211673/110596/99326/320127/23881/11858/21844/76088/24001/29815/67657/215449/22630/19342/69288/84092/20662/77446/26554/320292/30955/57257/54366/19765/19731/432879/11352/75415/105445/108058/210293/228850/20163/241694/18220/57295/50884/268970/53322/270160/170731/140580/238130/16443/19877/27494/320404/212307/14062/99662/13856/56212/56508/14673/228359/243621/56350/14569/54126/15368/74012/22084/19744/19414/56715/70497/22241/102098/228355/228998/13860/234353/232201/17926/78255/114713/381293/68585/233071/56382/72729/15461/54153/192786/20620/214804/102442/110279/26921/236915/319939/24066/73910/13169/107351/227377/19418/56699/18129/109905/11857/12540/18032/69632/223864/100169/13844/11303/193385/11852/16412/217944/269608/21927/18186/320271/117600/12549/17207/57785/104418/56289/27387/380711/12614/330171/19341/94176/64652/13430/104252/11548/71085/20430/231532/16889/68339/56297/104445/12928/50753/14784/64095/16211/241308/110168/13449/14235/233103/98710/226751/27261/75974/18596/74206/66863/623781/17295/19159/211323/227743/12488/24064/83813/14674/93840/319899/244668/245666/226652/243362/19417/19415/229541/108100/14251/16765/215632/19878/16800/19157/76123/74754/19732/17532/99167/12053/11855/26934/70527/213439/19353/333050/19354/223601/16797/242687/14064/23912/105841/66922/246710/56784/213438/76108/23921/74002/240168/68813/260409/74734/20779/107746/19328/104215/330662/330863/12662/16000/56349/74018/19395/94190/108155/69601/20663/20563/18176/13131/16706/14165/14726/13448/53378/71966/236920/74563/67168/71544/329165/11853/19158/16410/14744/240057/216805/108686/65079/404710/19226/114255/11845/228543/76484/12175/71704/101314/68760/244418/18015/75985/11608/59040/19730/12977/11607/19419/50768/22325/18613/235041/69581/16456/320484/14745/80837/67425/19876/67299/14063/20469/11629/12402/17311/233046/18128/623279/17925/12675/57912/19684/11554/223881/227801/68016/214952/69159/56044/53978/20262/216724/227326/98845/233877/74194/78826/57810/75104/12843/14567/108699/56486/11517/77407/57874/13617/72065/110351/74055/21808/16653/545481/11350/11549/67653/76041/268480/68178/76829/72318/12663/73167/19338/20401/67169/21858/216963/19337/239530/76281/20166/223513/19699/213498/70727/56392/18208/26431/16400/11848/71653/18049/58804/212539/170758/319642/17165/385354/260299/78134/208869/75083/11816/12554/14121/18053/14065	384
GO:1901987	regulation of cell cycle phase transition	398/15732	449/28891	4.5472658102297e-56	3.28059965620239e-53	4.70150055700943e-54	67141/68251/226419/17685/108989/18148/19054/71878/76843/52696/24100/109019/208768/214498/108000/69109/20460/56190/18514/28036/27103/12237/381921/56456/11920/56371/12567/21803/69754/83560/19188/330177/52468/66671/208583/225160/52206/382985/71449/231600/75430/12054/209334/77011/52040/67052/12366/116871/12144/108911/381290/11909/22059/26554/66214/12450/53317/56150/233805/108058/12444/20466/72611/229543/226591/26931/12534/70127/50875/17535/11820/14056/12571/30949/235323/229841/12298/12572/234779/19363/11461/20913/67045/19357/28019/18004/77065/54624/219158/83383/69917/11491/20104/16906/13205/20588/68193/268930/66442/26427/12122/71375/12193/12021/22137/20586/67490/15512/26992/116748/12576/74370/52679/229776/18392/19355/12034/106052/327762/270201/27223/52004/19891/227331/107503/269582/218294/269424/234736/70385/71007/69274/381293/19052/18795/12043/21423/12236/19361/12532/13194/55982/219103/72772/68142/228361/16600/239985/76454/99375/20133/246735/75826/13555/68067/66209/22591/81702/231803/107976/20479/18763/93695/18761/26951/67177/68612/11477/77044/268697/15170/12696/68077/76464/11792/12530/17257/23834/12443/12192/16319/244281/72993/329152/67155/234069/68964/74729/11787/100683/28000/13871/104418/56289/12649/14199/231724/13872/12055/235661/74268/17246/22680/214444/225372/209200/26416/72290/208266/674895/15574/72400/235559/52563/67991/53869/387219/15902/17120/71711/74996/225131/15468/19645/12905/17420/319955/11789/53817/216190/30963/116733/19211/66591/19651/50784/12580/227292/56696/17283/225182/59008/57913/67153/105837/27354/70681/12545/19360/67629/12190/18817/66991/54394/107047/12531/13924/11651/29861/67941/208643/93760/79263/69716/20135/12566/17829/270669/12978/54601/20877/27214/19192/19247/68592/11799/69188/21853/68014/56453/77045/211651/67849/19367/67278/218793/12795/19708/27375/68034/19650/234854/72584/17193/17349/15937/14165/14726/330216/66131/193838/15586/69957/12189/16323/21752/245000/67628/12575/117229/83766/723962/70799/18854/12577/71702/66977/723951/59036/238271/268465/210554/19130/107829/12952/12914/14632/12579/72008/68094/59126/13383/235041/74335/12235/21385/57261/433938/57376/11629/65964/328440/110957/56317/319195/17451/216965/16952/19684/327799/20184/72057/381534/26914/68145/20473/66923/71733/83797/12578/72776/19186/114714/66993/72440/22410/237877/14841/19941/216021/13076/16493/54451/60364/14155/234664/68501/80285/237256/332110/210766/66983/69068/18214/208628/18014/21380/66371/80280/381457/52276/238555/69681/723950/75604/22061/11504/18767	398
GO:0031400	negative regulation of protein modification process	415/15732	473/28891	1.3932673059024e-55	9.04648461722426e-53	1.29647189307128e-53	24063/67141/20354/72828/20617/18148/74769/14682/109689/72446/19088/63953/56637/18519/100037258/67916/66917/20597/93742/114715/16193/235584/16413/15353/21803/69754/12953/52468/333433/56468/54401/97998/52023/19735/56717/72948/17974/67742/381290/19085/64144/14360/77446/320365/12017/13167/56150/17872/233805/107895/19062/19017/14728/12568/16202/226591/98496/232341/208650/70769/20677/71890/70012/67121/15357/117198/76497/14154/12929/67603/11461/108837/20541/19259/15525/57320/19877/52840/83383/69726/19252/50873/18627/14678/75296/19271/11538/11793/216869/18508/20115/67490/12367/19264/12593/547253/22084/28135/56812/16337/12576/54725/18753/18016/15242/16210/69237/56715/14629/18546/18754/20947/231474/229007/12061/50918/233328/16476/63913/69274/192231/66971/100504663/18810/22436/20660/238871/19016/22185/16885/12062/24066/15502/68606/75826/18605/11600/108099/108954/11640/70834/94245/71059/19720/76055/57321/237107/56334/66787/80750/21929/19023/66801/268697/105787/15170/217303/14694/225896/13844/15234/17973/101490/12389/114716/105855/16974/51791/18786/18115/97541/16176/230738/19165/66861/73205/66867/23882/17096/170719/214444/215748/209200/21770/64384/22210/27050/23790/72400/18412/11450/22088/70686/387219/12702/18125/230908/110524/19164/215653/13197/14727/230126/171580/217124/19060/20821/19260/19645/14381/268373/22627/71974/11789/52065/23980/17295/68082/107831/19211/12580/227292/17283/68917/24064/16150/15507/65019/18769/19277/18817/74019/19878/15978/12703/11651/237782/66915/19049/100336/18750/208643/19246/209743/13163/211770/68045/18260/52615/170835/15182/103136/58805/74521/19255/17131/17762/14232/328660/69216/14226/12070/19122/12257/232431/56417/108909/110532/67605/12156/26904/100503670/16000/26936/13853/19733/105352/73914/108155/73047/52033/69601/18755/12387/75141/12069/80985/19261/103844/18768/18518/21838/57741/108900/20563/15587/28084/21926/67025/72114/320472/11540/26365/66725/78388/14586/12018/224617/13542/50523/12189/14466/56693/110854/93759/12575/66914/19087/69847/24056/110355/723962/211329/72349/406217/12577/217039/216805/243911/16183/208092/229615/244923/16362/228852/23991/12952/66824/18015/20319/76857/18613/545902/74155/59046/228775/18762/19084/13829/16009/19249/320795/56401/213539/12402/15259/70315/327799/231125/22223/56013/671535/26903/16798/22258/26914/14870/21405/12578/19263/80794/76469/18752/106504/66259/18205/170643/11350/235505/15378/225884/57438/56310/72330/53626/74770/16332/19697/14869/13405/97064/13492/18230/237523/20648/230899/232854/12335/11441/11770/80280/16173/56398/20377/108079/20404/17171/18213/70369/260299/381759/240754/11816/18767/227733	415
