ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0044772	mitotic cell cycle phase transition	415/15512	454/28891	4.0628748832333e-70	2.63802466168338e-66	4.09708856646053e-67	52679/17246/52468/723962/12567/69917/68094/12566/17863/21987/67141/216021/12534/52696/15468/16798/237256/21423/27375/56371/216190/69754/237459/327799/12905/19192/12189/217232/69681/11799/74370/71276/70385/12450/380694/72290/68067/19052/19360/12323/19941/68964/20877/22059/75604/14841/216965/54394/237877/22680/66983/53892/72508/114714/83560/15574/80280/23834/57376/12313/26931/74335/209334/11651/56696/50496/54451/11491/194655/20135/15902/59036/17420/238271/15512/19363/12192/70127/71375/12572/268697/20620/218630/14165/16323/238555/13557/210554/15904/66197/20184/18014/218294/21752/69716/66671/218793/12325/72993/66923/11792/19186/19188/219103/50523/67153/72400/105513/328440/19645/66214/11479/382985/19357/319944/105837/68501/17869/27401/77044/22410/83797/208643/75826/13383/12914/83383/68193/11820/11504/12013/60364/72057/67045/12449/18763/12575/57261/11629/106795/15937/79263/66591/12445/239985/67052/70891/50850/116871/12193/12314/225182/63955/13872/11789/52563/12532/16906/12322/107047/70799/319195/225131/67655/18018/67974/13194/16952/226026/68034/67155/19211/240665/52004/68431/19708/78832/67849/17283/16319/12043/20479/76707/18557/13924/381293/214498/108989/18514/66977/18214/208768/110957/108000/76843/109019/329152/271697/12021/227292/387219/319651/26554/227331/18761/74268/12236/76464/72008/68142/12235/17222/12531/18795/30963/228714/13555/75608/19650/68612/56190/723951/67121/99152/107771/67991/59126/67857/12298/11477/66442/228361/104418/26427/66371/229776/72776/108058/28036/229841/19055/13684/13559/723950/56456/12428/269424/53317/404710/17829/229543/381534/18392/12580/12448/20460/50927/12795/52276/116748/269582/100088/19891/93760/68592/108911/14726/27354/67628/16600/66209/214444/18028/20104/12578/12579/18027/70681/12545/231600/18973/12704/330177/56317/59008/77045/208628/12054/83766/231803/330216/17120/11461/72611/69188/72772/12568/66993/12571/107976/21335/18647/52206/27214/18671/18669/81702/12453/12452/17193/12122/12034/15170/16493/12444/14235/12576/13860/12366/14056/93695/56150/24100/22591/75430/20133/24075/74996/233805/18817/30949/77035/381921/12055/68953/12237/71007/57913/75770/12577/12443/68077/12315/13871/21803/29861/12447/72088/77891/57775/77011/12144/244281/234664/104394/116733/234736/56453/76454/69581/16412/234069/99375/69957/13685/68251/18032/26992/19651/235559/208583/15586/12530/20588/270201/76499/636931/235661/69274/19054/17535/20586/67629/235041/12649/22687/26951/19684/11920/244879/246735/20466/13076/18854/56469/68014/53869/67941/12442/66991/59046/50875/22137/54601/13205/320595/270669/18555/22209/72584/14199/209091/17257/210766/18715	415
GO:0030099	myeloid cell differentiation	425/15512	480/28891	1.00016003735648e-61	3.2470195612778e-58	5.04291218835529e-59	17311/15978/83430/67588/17684/17863/18605/237339/56484/14628/14728/14727/93759/83554/19152/216161/13637/21423/16969/20851/20850/20848/27419/16416/18750/22778/107817/74370/14104/17268/245944/237625/16878/387164/16160/107829/78926/16189/16191/12981/216781/216820/20185/14723/18472/387162/18015/216984/101488212/20304/20308/20302/18103/18102/217127/18023/80280/19014/12985/21833/19401/12775/238377/13386/217864/76044/320910/15902/75302/20259/18035/238247/15251/12192/109711/19164/14281/53314/18708/83924/16323/16364/19766/66154/18003/18081/14057/212937/17129/17260/11774/14063/27220/18996/321019/104416/70564/12159/110794/19229/13829/19645/21943/18174/11479/19411/20683/29813/105855/21847/18383/13132/211770/17869/22402/93686/17886/223690/328572/57259/223770/223870/26934/12703/26565/14724/21832/11450/12053/14729/224109/22042/15163/56637/14390/11820/12394/13388/15361/26416/109801/18771/21926/19824/19743/224792/22339/20807/83433/70026/21950/68027/13819/14309/12326/11789/15526/65113/14815/16948/20044/16149/12978/170826/14151/387231/19255/620235/18018/21873/16452/77125/14102/16889/15242/107371/27060/18089/12675/16825/14218/11757/74481/26379/107173/21934/58181/226419/226421/214498/29809/14127/19165/320404/98386/226844/381319/16171/98366/17082/21399/20846/12633/12370/12912/227326/16331/227358/227377/22034/16909/399568/17536/13828/12010/14118/215653/12156/18795/16449/56406/16418/20779/16658/241764/74614/12608/67017/14683/545486/72147/18718/11308/107771/14582/11480/21930/16420/20687/241525/20375/14462/630146/70747/229700/12977/16842/214133/97086/19055/12349/229323/24088/50754/14466/56417/23897/229615/18129/21349/17480/230721/12986/11983/242687/19746/66193/99982/12262/17150/13836/56717/67087/723848/100201/70673/67490/17096/230257/21898/20104/15977/16476/21814/100900/57816/19247/16923/77573/13856/170741/80752/15467/15289/74511/69188/20535/12571/14284/59003/14184/11518/17089/22388/19664/16590/319653/56792/19016/15170/12504/17000/93675/93694/56760/12183/53621/23845/317757/83408/71982/15404/15405/68235/54368/14461/17342/108655/22228/20480/15129/22083/20679/233904/67773/16409/11501/12520/16535/12577/14082/20514/13871/19698/70080/69301/20085/26365/21803/22695/54624/22177/14008/12611/12606/232790/18726/18729/15469/50794/233328/23991/233405/14159/14389/12400/76527/17132/15900/22761/12398/56199/99375/244349/11733/52065/12367/97165/16598/16795/18997/234515/16168/18032/16596/13423/16477/234549/22041/66663/11655/102791/235627/21813/17874/208638/12387/12768/20586/14247/23871/117149/72828/235320/66317/64602/18854/235497/50875/235505/22038/19659/11656/69656/11740/67050/14734/15354/192176/54411/14381/210710/209446/14460/723814	425
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	403/15512	451/28891	3.59045220984665e-61	7.77093539951144e-58	1.20689586562565e-58	13853/17246/216440/13198/268291/77987/17155/237353/93759/216080/70377/22213/216150/70294/23805/52551/56371/69754/327799/93765/27419/72053/217232/24086/67163/66313/12006/70382/170930/217365/104318/319701/67245/17846/103573/216622/66753/103583/193670/75452/14694/26420/12330/66089/22210/21402/108660/18858/100041286/56486/216869/116891/628100/67128/21927/67338/217069/20747/57765/26446/72194/19179/110616/65256/26931/74251/70369/11651/116870/217410/108089/27362/217379/207304/70611/271005/69554/66244/94090/104771/19164/108143/71816/71991/20620/238896/15216/214158/14238/105193/218215/76577/213311/100503085/56085/72293/73296/14198/50789/66413/268721/105418/26419/67089/56291/19173/28199/66597/52033/12759/219158/380918/432879/18521/223455/30945/106052/223499/68135/67819/13132/211770/239510/30840/239554/27373/56438/27401/66725/106042/223870/22410/74374/67118/70620/21762/224109/268882/224111/56637/76302/252870/78913/50873/69259/12449/213753/214931/56424/12005/54197/15511/224727/79263/12488/71765/224826/14154/20834/50758/224938/56468/59025/71745/11789/52563/56736/240263/93687/107035/83814/225131/13194/207521/68034/77125/226144/12234/30838/68431/81601/74126/225896/67812/226418/381293/56207/66967/26374/226541/66799/19165/226757/76843/78896/22218/68818/56812/26554/14897/70247/57443/22222/17754/17222/77006/386649/228769/24105/228775/16396/56407/108687/68612/76425/76857/227619/30839/227693/14828/59029/68795/18024/66861/19182/228361/17156/229644/26442/66105/81004/71492/212114/97064/20439/80890/50754/94232/14466/399673/207213/19185/381534/414872/108802/14084/76608/12795/329795/75234/67586/433766/230815/67025/66825/50762/230903/230904/63958/74646/57320/140499/107568/269514/67490/433693/68970/269523/66212/19359/230249/68053/66440/18786/170823/231600/330171/50849/231672/59008/80751/100494/14673/231863/108086/75788/320118/19181/64295/213990/53312/59003/19822/22393/70797/242960/52206/53323/68098/56353/58799/192193/74244/101358/14794/22225/232539/232566/12389/22214/76788/26965/387524/13666/68477/22644/66740/11993/75212/55992/11865/18817/233877/233902/434246/68077/606496/66349/23996/233038/233040/50760/57296/66245/77891/75744/15204/22215/109815/232854/76375/109689/50788/234684/66894/17463/170737/76454/12398/99375/69957/244373/68867/19053/108159/59009/66498/68999/74841/67903/19358/12317/20437/80750/23802/64209/71472/23807/20588/72179/636931/68292/12387/72330/30843/140630/75717/71999/18854/23806/14155/56469/56404/74165/14629/71538/11797/70348/211949/74125/108155/56726/22284/53380/54609/20438/11836/22209/17772/27061/21372/54644/236904	403
GO:0022411	cellular component disassembly	409/15512	462/28891	2.16422217998488e-59	3.51307365366045e-56	5.4561180221724e-57	260315/73914/67588/68094/78428/56422/20393/171580/12484/11793/77987/108853/74747/12534/74392/23805/69754/11783/17997/54712/67998/56208/72349/70218/23829/18195/52639/286942/68572/208092/66840/56193/245944/20742/268396/75452/15944/18412/78926/22333/16145/54396/216781/319162/194952/20787/14248/237782/29869/83431/22059/276770/56486/78246/18472/216965/237891/75909/80280/65019/21973/57376/12313/192119/76559/22367/14026/16593/20259/12632/11845/15251/238276/15512/20741/21809/20595/18708/15550/105083/11472/68732/18003/380842/14186/56085/14063/320806/17755/246103/100504663/114741/56215/17228/13035/12177/105513/13829/271221/18826/211253/13421/66270/106064/105787/17869/20401/57028/12257/106042/19230/77044/380969/83797/65970/74374/14852/74006/208158/381038/30060/100502698/56637/67846/67841/68942/23794/224432/104015/50873/18815/66643/71893/106583/54194/21926/12305/14251/83433/20405/66905/12266/50850/78798/77057/212307/225326/67453/11789/225363/72512/67526/225115/16573/11555/67064/12683/100502841/12660/14296/76055/107338/27360/12631/81601/329015/225845/20479/76707/210356/226419/16865/67886/226519/18214/66155/20739/21808/26921/19888/12421/17756/76709/227298/245860/13838/18627/23830/51800/66615/228421/69408/17754/80743/77006/70997/56431/17957/13010/72119/75608/66734/53619/14464/20262/107771/227634/269254/20740/13804/99412/227753/67871/71648/269275/13482/14089/20833/51897/228361/66361/66371/12340/99512/76561/67006/56629/208691/18706/67890/50754/80877/94232/16800/14466/229534/20615/50874/13040/280411/72685/108079/12795/73804/230674/230709/11983/93760/16765/12262/12259/68943/68350/12345/14726/230895/170731/56273/13347/66454/13368/269514/67490/76959/109242/269523/21916/21812/67727/209131/20404/11520/12578/65973/231580/22241/54723/100756/63873/21405/11938/77573/68184/66437/74781/14086/70381/75788/76366/66169/213948/12568/66993/16193/11518/15194/22388/320827/74244/232341/194401/19305/12034/319801/57436/13860/12343/93677/14489/22320/12332/15277/64704/13191/26903/11519/232227/320502/20947/320878/13631/18817/26918/12752/16409/68953/12176/66853/13043/108124/16801/67379/606496/15451/12611/101612/27412/16001/23991/29877/20408/78610/116733/93739/67443/234852/73420/102058/16412/80986/211323/16337/94178/69697/11739/19704/14232/270058/21968/24015/13423/257632/270086/74187/66663/75669/23999/21767/11848/17758/20588/16578/76499/208194/13051/17281/319278/12539/235040/20586/235072/23871/15481/19684/71742/56404/22003/320528/17386/546144/50875/30800/244962/108155/68041/59026/110380/66747/17318/72018/11740/16784/68995/26926/14168/66826/54636/209815/14853	409
GO:0050767	regulation of neurogenesis	432/15512	494/28891	3.91045822273215e-59	5.07812104803997e-56	7.88677679447873e-57	53605/216344/15978/74053/15364/16971/17863/20393/15214/15182/17118/21907/12484/18390/13654/216049/20869/26396/114606/216190/16000/54712/15114/11858/14580/17762/11421/14599/108100/66713/14025/68585/16878/18016/76901/213084/320027/13169/94091/22416/12323/29869/22368/18208/83431/84653/22059/216858/13385/18472/20317/18015/103743/18121/217166/192119/18109/15902/20666/15982/18080/18755/15251/238276/19164/18222/12677/217715/66354/16195/14634/210108/20238/15904/20354/51791/56320/21752/12950/13003/108138/18420/17755/18996/76965/13190/54713/71918/218877/26419/12166/12159/27374/73181/14365/18039/70086/19645/239667/18606/17869/14083/328572/14375/12257/22422/140570/58234/74006/65079/12724/71751/104156/67838/74143/15205/545156/20357/56637/13490/19876/268902/21844/104015/50913/22129/13508/19317/17356/13388/27279/224617/22084/20681/70083/240057/24001/21926/22339/20807/66515/83433/20359/19280/13640/17158/11516/30948/12385/20358/12978/17190/17919/17344/17196/225908/28000/14297/77125/19211/14102/20562/319740/18742/18011/19697/71653/22326/74117/12767/12227/171469/12316/21960/16579/29819/63953/19130/18845/20353/70827/12168/17756/22596/227292/98733/13838/20720/55927/18627/59041/53872/18508/12064/20732/54485/228550/12010/214968/16176/19262/12156/22352/100313531/15901/13555/21817/329559/11538/12162/12561/723951/99152/18128/99412/16870/24136/14725/13390/13392/228357/14061/17242/18049/229715/16842/19055/54673/65086/68151/723950/20585/665113/18759/20482/67414/14359/14173/229285/72162/20429/76089/24088/15213/12904/12032/73940/20351/16800/360213/20194/20360/229589/76893/18129/13131/16975/230598/242620/230674/19268/56198/11426/433759/213541/83557/99982/13844/56381/21938/170731/70433/56717/69743/15206/15207/22062/15208/20481/67490/13841/17096/56711/12017/381530/69807/56710/19266/320790/12579/67299/18096/22241/50849/12704/18125/231672/13048/19047/108151/20346/16885/13047/11423/83701/75788/74132/14254/20348/12568/66993/19744/57434/16193/65254/22629/14184/20563/16590/16542/19712/52822/20893/19016/67784/20315/16653/79362/232560/17295/22413/19283/319757/243743/109880/14056/11921/20355/14461/18844/22421/16202/13690/78748/11865/13631/14912/17173/11816/269878/21803/18223/233064/17136/245886/107503/20430/244058/18213/11595/269951/20352/14366/233489/23966/18479/17760/12550/71955/76527/76454/20539/244667/18186/16412/20845/320191/211323/18536/234219/22341/97165/330790/13004/18997/387216/17751/20312/319583/20187/22041/23999/20347/20350/13138/54214/13051/12387/67095/12774/16835/330914/57810/20660/21838/330938/235402/20320/67287/67891/12306/235472/66991/22601/22068/23873/623459/58861/12361/70237/18481/22067/382253/14168/14265/574437/140571/16728/171207/17257/14567/18846	432
GO:0007264	small GTPase mediated signal transduction	383/15512	428/28891	1.40973133985334e-58	1.52556426494462e-55	2.36933793610439e-56	17311/216344/215449/117600/73910/69288/110279/16000/71966/11858/18613/14674/56699/14784/19157/21858/108100/170758/108686/68585/94176/11548/74563/216724/192786/72729/13169/216805/18208/57785/83813/56486/76281/380711/12928/216963/21927/16706/18015/59040/319939/16400/18053/16211/268480/68339/212539/217944/19878/22630/30955/238130/11855/56784/11845/20663/80837/217692/11852/14744/76041/20620/14165/56044/140580/193385/11607/14569/56349/27261/14121/19418/14063/14062/14064/110596/24064/76108/105445/110168/68760/71704/64652/11549/68813/246710/13449/67168/432879/223513/223601/105841/239530/19354/72318/104445/20401/73167/12614/223864/223881/69159/26934/66863/65079/12053/77446/67657/12549/56297/19876/21844/16443/22084/214952/240057/24001/320484/19732/11629/14251/12488/19765/19328/268970/240168/260409/20662/104215/19877/212307/74002/24066/75415/18596/623279/76088/107351/16889/74055/71085/12675/56350/56392/20469/11554/71653/104252/19395/211673/64143/98710/381293/19731/11352/78255/17926/226652/16456/93840/12663/226751/320404/21808/26921/74018/329165/26554/210293/227326/64095/227377/19419/623781/228543/84092/75083/20163/241694/20779/228850/545481/76829/228998/20262/215632/18128/22325/19730/107746/11350/27387/99326/241308/227743/69601/227801/320271/74194/56508/108699/50884/16410/228355/228359/104418/18049/18176/11853/109905/12977/99662/76123/57257/29815/108058/214804/99167/11608/24063/19338/74012/76089/213498/404710/16800/229541/57912/18129/13131/74754/100169/242687/16765/13844/12540/110351/14726/170731/269608/57295/68016/11303/54366/14745/53378/329877/67299/231532/22241/330171/26431/77407/333050/19415/17165/23912/56715/319974/54153/23921/13856/14673/75104/19353/19159/243362/19744/20563/74734/23881/56041/320292/101314/70727/243621/14235/11857/13860/16653/17295/320127/12843/11517/67653/13448/20166/70527/232201/232227/56212/19226/66922/53322/70497/16797/233877/330662/76484/15461/98845/232906/11816/260299/19342/233046/74206/233071/233103/58804/67425/18220/19158/20430/75547/75985/109689/75687/54126/12554/69581/19341/330863/244668/18186/16412/17207/19414/211323/102098/19053/244418/50768/50753/234353/53978/17925/14065/15368/13617/18032/114255/14766/208869/56289/11848/67169/13430/235041/319899/330914/57810/69632/12402/19684/270160/102442/57874/12175/68178/19417/71544/114713/74769/17532/108155/78134/78826/213438/213439/12662/319642/27494/245666/56382/75974/19337/385354/72065/14567/236915/94190/236920	383
GO:0051090	regulation of DNA-binding transcription factor activity	387/15512	436/28891	5.97957278951095e-57	5.54648087461352e-54	8.61418155240826e-55	67405/73914/15364/13198/67588/21929/18605/66521/15182/13982/18119/93759/170799/71371/15468/16414/21423/11705/16969/20186/93765/16480/20848/15184/15223/20698/67245/17846/18148/171285/16189/16191/15110/216781/22416/216799/268373/13543/216869/216877/14252/327987/68729/217069/20747/80280/18013/12985/21833/73086/22031/30954/11651/217410/15902/15982/18760/26443/18035/56784/15375/64010/75801/18755/13983/59079/20379/19720/214158/19766/13614/20963/17702/18014/19206/57748/66200/16365/18996/212085/22772/12289/56532/66597/12759/21943/66214/432940/223453/67154/56274/223513/211770/11514/76510/671535/223664/328572/74039/66725/22410/22408/69159/26565/26413/71751/16180/15205/22042/15163/268857/12914/17470/83396/11820/252870/72388/18763/18712/17691/21926/18038/14251/22670/195359/224762/77596/20807/106759/14158/268973/19106/13078/20997/72512/19290/15183/225471/12322/170826/240354/17131/17344/16452/19211/16973/12675/319594/226169/24069/93679/107392/21416/19697/11757/225849/17283/21934/16153/56489/226421/19821/13211/22164/240873/18514/18214/14130/12523/383619/19130/22033/16182/16174/12633/22218/241066/269209/20684/16978/55927/208727/209361/22034/12359/12064/18761/27103/56398/12335/16176/77006/228607/19122/12156/15376/24105/15901/14239/15162/99311/16396/15378/21939/17979/19223/22030/332579/22029/69601/227541/11909/18012/20375/18049/69296/11542/68576/66568/11924/19055/12042/107869/18759/329659/24088/16800/74343/381457/26563/67916/16975/230594/14084/66743/56198/230738/67525/23957/67025/15903/99982/68943/21941/71890/56273/67087/57320/18762/192656/67490/230073/74735/16600/69807/21898/12578/21814/14581/69504/14747/108723/231889/12491/55982/16193/21335/22393/14362/19017/21899/16590/109552/11745/20893/211651/108960/19016/111173/214899/12034/381810/56644/16974/16653/19227/12389/22413/319757/14489/15258/54324/14056/52440/68235/107607/12922/11746/20821/101700/94088/94094/667823/76681/319236/244183/20128/209387/20679/18751/56312/26417/21389/66824/66930/11501/24058/16334/101540/12051/21803/269881/18036/243910/12611/13009/16001/108116/23991/70461/14366/73845/27050/109689/71609/59016/66894/57321/234779/14087/112405/16150/244349/19053/142980/382056/16478/319555/15368/18997/18032/21672/257632/74256/434341/20312/54672/66083/81897/22036/17002/71268/13813/17874/13051/12387/50868/59035/20586/117149/16173/23938/94353/13607/19820/23947/53380/270669/21947/22773/16179/192176/16151/54638/245522/245527/11835	387
GO:1901987	regulation of cell cycle phase transition	396/15512	449/28891	1.62186790098708e-56	1.31634853513864e-53	2.04440716992845e-54	52679/17246/52468/723962/12567/14632/21853/69917/68094/12566/67141/216021/327762/12534/52696/71733/15468/237256/50784/12696/21423/208266/27375/56371/216190/12952/69754/327799/12905/19192/12189/69681/11799/74370/68145/18148/70385/12450/72290/107829/68067/19052/19360/19941/68964/20877/22059/75604/14841/216965/69109/54394/237877/22680/66983/21385/114714/83560/15574/20913/268465/80280/23834/57376/26931/74335/209334/11651/56696/54451/11491/20135/15902/59036/17420/238271/15512/19363/12192/70127/71375/12572/268697/14165/16323/238555/210554/20184/26914/18014/218294/21752/69716/66671/674895/218793/72993/66923/319955/11792/19186/19188/219103/67153/72400/219158/328440/19645/66214/19355/382985/106052/19357/105837/68501/332110/77044/22410/83797/21380/208643/75826/22061/13383/80285/209200/12914/83383/68193/11820/11504/60364/72057/67045/268930/18763/193838/26416/12575/57261/11629/53817/15937/52040/79263/71702/66591/239985/67052/116871/12193/20473/17685/225182/13872/11789/52563/12532/225372/16906/12978/107047/70799/319195/225131/225160/13194/28000/16952/68034/67155/19211/52004/19367/71711/19708/67849/17283/16319/12043/20479/226419/381290/13924/381293/214498/108989/71449/226591/18514/66977/18214/208768/110957/108000/19130/76843/77065/109019/329152/12021/227292/387219/26554/227331/18761/74268/27103/12236/76464/19361/72008/68142/27223/12235/12531/18795/30963/13555/19650/71878/68612/56190/723951/67991/59126/12298/11477/66442/65964/11909/228361/104418/26427/66371/229776/72776/108058/28036/229841/723950/56456/269424/17349/53317/17829/229543/381457/381534/18392/12580/20460/12795/52276/116748/269582/19891/93760/68592/108911/14726/27354/67490/17451/67628/16600/66209/214444/20104/12578/12579/70681/12545/231600/433938/330177/19247/231724/56317/59008/77045/208628/12054/83766/231803/330216/17120/11461/100683/72611/12190/69188/72772/66993/55982/12571/107976/52206/11787/27214/81702/74729/211651/17193/12122/12034/15170/28019/16493/12444/72440/12576/12366/14056/93695/56150/24100/22591/75430/20133/117229/74996/233805/18817/30949/381921/67278/12055/12237/71007/57913/12577/12443/68077/13871/21803/54624/29861/107503/77011/12144/244281/234664/116733/234736/234779/56453/76454/67177/234854/234069/99375/69957/18004/68251/26992/19651/235559/208583/56289/15586/12530/20588/270201/235661/69274/19054/17535/20586/67629/235041/12649/235323/26951/19684/11920/246735/20466/13076/18854/14155/68014/66131/53869/67941/66991/50875/22137/245000/54601/13205/270669/72584/14199/17257/210766	396
GO:0031400	negative regulation of protein modification process	411/15512	473/28891	1.3042940409559e-54	9.40975689769628e-52	1.46141952191316e-52	237523/13853/19263/15978/73914/52468/723962/21929/18605/211329/15182/14360/171580/11793/14728/14727/18768/67141/93759/215748/11540/16798/110532/15353/12952/103136/69754/16000/327799/67603/28084/69847/12189/72349/192231/71059/17762/18613/18750/19084/217303/12702/208092/114716/18148/170835/18016/14694/18412/22210/15525/16362/26936/216805/237782/268373/56310/216869/103844/19062/22627/18230/18015/52615/217039/320472/11640/70834/217124/80280/56013/65019/19049/74521/12062/12061/66787/70369/11651/19878/16413/20115/19088/14226/18755/19164/18260/268697/238871/18115/19720/20677/105352/12593/94245/20354/23882/51791/26914/72948/69237/76469/72114/15357/24064/100037258/68045/18753/24056/100504663/50523/72400/52033/13829/14586/19645/52023/105855/170719/11600/105787/97998/211770/107831/18810/671535/66914/12257/66725/12703/68606/12929/73047/208643/75826/11450/328660/77446/547253/209200/56637/83383/208650/67742/18546/50873/17171/224617/22084/19252/12018/106504/12575/13163/21926/76497/21770/18519/14154/64144/22436/20541/75296/18754/56468/19877/16210/11789/24066/19255/17131/14682/19211/15242/14870/14869/225884/110355/76055/70769/19697/17283/225896/13167/107895/108900/108954/240754/381290/19264/19735/117198/63913/226591/26904/69726/19165/108909/63953/213539/17974/227292/387219/56812/98496/18627/74019/66915/72446/80985/15259/18508/114715/56398/12335/16176/19261/19122/215653/12156/53626/228775/66971/20648/228852/15378/18769/54401/52840/19246/11538/229007/67121/76857/110854/11350/227733/69601/57438/66861/68082/19271/12953/11770/19260/16183/24063/97064/20319/170643/14466/56417/229615/108079/67916/12580/69216/56401/230738/100336/70012/67025/13844/66259/230899/71890/56717/230908/74155/57320/18762/13542/57741/67490/73205/17096/15502/12017/68917/230126/214444/20404/12578/18786/16476/19249/100503670/110524/23790/21405/23980/18125/56334/56715/16885/58805/15507/66801/19085/11461/320365/15234/12568/108099/16193/231125/13492/20563/19017/22223/19023/231474/19016/232341/15170/16974/70686/12576/232431/19277/12389/17295/381759/20617/56150/13197/26903/16332/20821/20597/16202/20947/233805/18817/78388/66824/101490/64384/12577/19060/11816/80794/260299/26365/21803/243911/50918/18752/67605/17872/545902/22088/19259/71974/22185/11441/233328/232854/18213/23991/27050/109689/57321/93742/16150/16337/52065/12367/14232/75141/320795/80750/17973/28135/235584/15587/14678/22258/97541/19087/56693/333433/69274/12387/72330/74770/66917/72828/20660/21838/12402/54725/16173/66867/59046/244923/14629/235505/108837/209743/74769/18518/108155/70315/12069/406217/12070/237107/19733/14381/13405	411
GO:0051098	regulation of binding	361/15512	405/28891	2.95811054509043e-54	1.92070117692722e-51	2.98302094968067e-52	15978/15364/13198/16971/15214/15182/18821/13180/93759/69563/20610/208266/16969/14797/21665/67933/16000/54409/15184/11421/68528/217356/192170/19719/16878/14694/15525/15110/22416/216820/20877/53422/216869/53313/12928/319939/83560/18121/18102/278507/12985/19401/12313/69952/17169/11651/16413/15902/20666/22160/66603/59036/19164/20620/16398/16392/15216/193385/16364/17300/94245/17702/18193/15387/56541/21752/69237/211286/18996/66573/26419/218914/56291/12159/73181/12143/72400/219150/13592/19645/21943/56274/68588/11600/16341/67819/13132/17869/54562/55944/17305/14958/18591/328572/19013/66725/223864/110213/50505/12741/208643/75826/11450/15205/66849/80285/209200/56637/83383/208650/11820/21844/50873/18763/56424/224647/12575/57261/14251/15516/17240/224860/211482/18519/106759/98053/268970/19877/68010/72512/16948/93687/11555/17191/17128/207259/17126/16452/15958/107182/15925/72832/107975/21416/13728/64143/226352/74117/16153/98415/13211/11352/19298/20739/19165/11545/67459/21808/18005/215243/213539/227120/22218/17756/56812/13838/20684/51801/18627/74019/208727/22034/15259/18508/12064/50755/12716/12010/77006/228607/12156/228775/15901/228788/13589/13555/266692/20779/58231/20568/17395/11538/59022/67839/11350/99412/227737/16870/14526/16401/18012/14462/18049/15257/68576/67704/28036/18741/13645/16842/19055/229906/170822/18441/97112/76089/50754/15213/11490/68911/229534/20615/20194/100102/66743/19268/230709/269587/12395/68040/16765/100017/67025/99982/12540/110351/18509/170731/71890/56273/67087/13806/57320/20481/11603/192656/67490/73205/21812/246179/242466/16600/22166/72701/21898/18028/12578/16476/21814/54723/74585/11938/29816/56334/209354/19384/231803/16848/11461/67238/15289/12568/66993/100732/13667/11518/16976/17701/79264/101202684/74318/19712/109552/52163/19016/67784/232560/12389/17295/319757/109624/15258/13848/13063/18979/13666/26903/11519/20821/94088/24075/233744/18817/26417/21849/13017/16334/22113/68188/13871/11816/18793/21803/75613/244058/12144/233532/109689/75687/497652/22751/54126/67443/22761/67177/104346/244667/19053/21951/97165/16795/15368/18997/74256/14339/23802/102122/74025/76500/22437/12387/244694/23988/59035/20586/11804/57810/72828/20660/17127/12306/22038/245000/22284/237107/385354/14265/17257/18715/14460/245522	361
