ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0034329	cell junction assembly	73/1372	481/28891	1.34306656317493e-18	6.10451103223952e-15	4.36234341006227e-15	19272/216028/14799/18858/11418/16981/320772/109711/18191/18708/18212/17260/22418/12563/18163/14083/107831/70620/106347/208177/320712/19876/21826/74762/22339/13640/83814/75739/226352/74117/13518/26921/14268/21961/12064/14260/71436/104010/171171/19271/99633/192167/386750/76089/320747/260305/13841/242384/19266/15569/12740/50791/19699/20563/319387/16979/66797/243725/243499/22421/20450/353310/211323/50768/13642/16795/270190/235431/17920/60367/625713/14168/94190	73
GO:0051963	regulation of synapse assembly	38/1372	144/28891	2.19271229606305e-18	6.10451103223952e-15	4.36234341006227e-15	216028/11418/16981/320772/18708/18212/17260/22418/14083/107831/70620/320712/19876/21826/74762/13640/74117/12064/71436/171171/99633/192167/386750/320747/13841/242384/19266/15569/20563/319387/16979/243725/243499/22421/20450/211323/270190/60367	38
GO:0007416	synapse assembly	47/1372	222/28891	3.585674708507e-18	6.65501225898899e-15	4.75573698180928e-15	216028/14799/11418/16981/320772/18191/18708/18212/17260/22418/14083/107831/70620/320712/19876/21826/74762/13640/74117/12064/71436/171171/99633/192167/386750/320747/13841/242384/19266/15569/50791/19699/20563/319387/16979/66797/243725/243499/22421/20450/211323/13642/16795/270190/17920/60367/14168	47
GO:1901888	regulation of cell junction assembly	49/1372	246/28891	9.94797641678734e-18	1.3847583172168e-14	9.89561864617267e-15	216028/11418/16981/320772/18708/18212/17260/22418/14083/107831/70620/208177/320712/19876/21826/74762/22339/13640/83814/226352/74117/26921/12064/14260/71436/171171/19271/99633/192167/386750/76089/320747/260305/13841/242384/19266/15569/20563/319387/16979/66797/243725/243499/22421/20450/211323/50768/270190/60367	49
GO:0007411	axon guidance	48/1372	252/28891	1.39710568475009e-16	1.29651407544809e-13	9.26501664623745e-14	16773/11735/76884/58208/14009/319504/76260/16392/17260/22418/65079/545156/19876/268902/13508/22339/20359/13640/19274/353237/20358/13176/226251/14633/110648/12064/214968/71436/14462/22253/12167/13841/18124/230316/18028/108151/20349/19699/20563/13839/12661/20315/18205/210801/13642/13617/270190/104360	48
GO:0097485	neuron projection guidance	48/1372	252/28891	1.39710568475009e-16	1.29651407544809e-13	9.26501664623745e-14	16773/11735/76884/58208/14009/319504/76260/16392/17260/22418/65079/545156/19876/268902/13508/22339/20359/13640/19274/353237/20358/13176/226251/14633/110648/12064/214968/71436/14462/22253/12167/13841/18124/230316/18028/108151/20349/19699/20563/13839/12661/20315/18205/210801/13642/13617/270190/104360	48
GO:0050803	regulation of synapse structure or activity	53/1372	317/28891	1.21636337415279e-15	9.67530181040391e-13	6.91406549518428e-13	17118/14360/216028/12323/11418/217480/16981/319504/320772/11852/18708/26564/18212/17260/22418/14083/107831/70620/104156/545156/320712/19876/21826/74762/13640/74117/12064/71436/171171/69601/99633/192167/386750/320747/170731/13841/242384/19266/15569/50791/19699/20563/319387/16979/243725/12386/243499/22421/140919/20450/211323/270190/60367	53
GO:0050807	regulation of synapse organization	52/1372	309/28891	1.71423631984959e-15	1.19310847861531e-12	8.52607011714663e-13	17118/14360/216028/12323/11418/217480/16981/319504/320772/11852/18708/26564/18212/17260/22418/14083/107831/70620/104156/545156/320712/19876/21826/74762/13640/74117/12064/71436/171171/69601/99633/192167/386750/320747/170731/13841/242384/19266/15569/50791/19699/20563/319387/16979/243725/12386/243499/22421/20450/211323/270190/60367	52
GO:0016358	dendrite development	53/1372	327/28891	4.62016963658534e-15	2.8583449485008e-12	2.04260131301668e-12	74053/20393/17118/14360/52463/12808/14025/12323/18212/17260/22418/26419/93688/18163/239420/93686/60597/110197/545156/320712/19876/67102/13508/83814/664805/109294/74117/17756/12064/228662/69601/192167/665113/13175/76089/13131/15572/329934/170731/242443/19266/12704/19699/13839/66797/243725/12386/232227/22421/270190/270120/17920/22068	53
GO:1901890	positive regulation of cell junction assembly	32/1372	129/28891	7.14705343924116e-15	3.97947935496948e-12	2.84377494740332e-12	216028/11418/16981/18708/18212/107831/70620/21826/22339/13640/226352/74117/26921/12064/14260/71436/19271/99633/192167/386750/320747/260305/242384/19266/20563/319387/16979/66797/243499/22421/20450/270190	32
GO:0001667	ameboidal-type cell migration	65/1372	471/28891	1.17274557107997e-14	5.93622485433931e-12	4.24208445806916e-12	71371/70097/11818/18858/66864/53618/11852/16392/68750/17260/19270/22418/20855/18133/239528/14083/107831/13731/14314/19876/16415/22339/20359/14158/19274/328949/20358/14119/226352/74117/18214/63953/26921/20671/14268/21961/18505/214968/74030/263803/69601/241324/24136/14462/72007/20202/67916/21814/108151/20349/243362/20563/20315/21333/12154/232227/22421/101401/14389/100038489/13642/13617/73230/23871/74144	65
GO:0051962	positive regulation of nervous system development	58/1372	391/28891	1.34792023670688e-14	6.25434989831991e-12	4.46941973223859e-12	74053/20393/17118/216028/18390/17172/14025/12323/11484/11418/16981/18708/18212/12950/22418/26419/14083/107831/70620/104156/545156/19876/268902/13508/21826/22339/13640/74117/14268/12064/12156/71436/24136/99633/192167/665113/386750/320747/242620/170731/242384/69807/19266/18096/19699/20563/319387/16979/20315/18205/243499/22421/78748/20450/108071/23966/211323/270190	58
