ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030695	GTPase regulator activity	393/15551	429/28407	3.80595335197305e-64	2.45293693534663e-61	6.6904653661e-62	76089/217692/67016/20403/232227/14682/75547/109689/329877/71302/319934/329727/100855/232906/330914/211673/110596/99326/320127/545156/16413/218581/67046/21844/76088/108903/231207/24001/223435/29815/19735/66687/244548/237422/217869/108911/66508/232089/544963/20662/320292/57257/71810/50779/19765/217835/19731/20334/75415/105445/210293/107045/228850/241694/27054/66628/18220/15357/14270/29809/268970/53322/98732/140580/13998/98402/171207/19387/238130/231801/16443/223754/105689/30938/77038/234094/218397/140500/66790/56508/69993/228359/243621/74030/14569/13667/54126/22084/19414/231874/56715/13196/227800/70497/72536/76131/22324/64214/102098/19386/78514/228355/67865/16476/228998/213649/234353/232201/277360/78255/69780/50780/114713/18795/233071/72754/54153/54610/192786/214804/102442/259302/217715/50778/94221/110279/108067/236915/319939/83409/245638/73910/71310/67903/103724/101489/227377/19418/109905/245886/328967/74694/11857/57915/72238/11856/29875/69632/223864/76117/78808/69440/230784/217944/269608/226407/105855/211914/18186/51791/117600/98910/12549/320634/17207/216363/228482/13645/57785/27387/73205/16801/380711/78618/19739/94176/104252/224045/71085/213783/231532/72542/69710/106952/68339/50753/14784/241308/56692/219140/209354/98710/77980/442801/54324/67894/75974/22411/239027/268706/230098/74206/381112/66096/223254/19159/76795/224014/70719/109294/320435/381605/98366/319899/231821/244668/27414/245666/226652/58996/243362/19417/19415/229541/232237/270163/215632/16800/19157/76123/277854/19732/19893/216445/11855/26934/226970/210789/237782/15463/209815/229877/211922/17168/67792/100088/347722/213522/19734/105841/214137/50907/68576/56784/109934/26382/74002/240168/207212/68813/225358/13605/213027/70296/107746/18582/66691/223666/330662/12662/56349/74018/19395/79264/94190/69601/19261/71435/20663/21838/20563/213990/72121/66725/230837/271981/381085/212285/224617/56032/320560/236920/71729/74563/71544/229898/19158/24056/70314/329260/109270/240057/101497/216805/209478/380698/108686/404710/216991/72825/67231/76484/243780/94254/71704/18015/263406/209773/73341/19730/19419/50768/22325/52850/320484/67425/207592/67299/54645/192236/56533/20469/19889/233046/216859/17925/54189/227801/68016/268739/71972/78816/98845/14697/24012/14567/544817/108699/52666/14020/110351/74055/230972/74760/105835/545481/244867/14469/76954/19347/268480/216439/218460/109904/72318/217325/16897/12663/71824/73167/225870/67839/20401/216963/14163/20166/223332/213498/66251/192232/70727/72325/19737/26431/107566/74334/244654/226089/70785/108995/385354/19385/208869	393
GO:0060589	nucleoside-triphosphatase regulator activity	393/15551	429/28407	3.80595335197305e-64	2.45293693534663e-61	6.6904653661e-62	76089/217692/67016/20403/232227/14682/75547/109689/329877/71302/319934/329727/100855/232906/330914/211673/110596/99326/320127/545156/16413/218581/67046/21844/76088/108903/231207/24001/223435/29815/19735/66687/244548/237422/217869/108911/66508/232089/544963/20662/320292/57257/71810/50779/19765/217835/19731/20334/75415/105445/210293/107045/228850/241694/27054/66628/18220/15357/14270/29809/268970/53322/98732/140580/13998/98402/171207/19387/238130/231801/16443/223754/105689/30938/77038/234094/218397/140500/66790/56508/69993/228359/243621/74030/14569/13667/54126/22084/19414/231874/56715/13196/227800/70497/72536/76131/22324/64214/102098/19386/78514/228355/67865/16476/228998/213649/234353/232201/277360/78255/69780/50780/114713/18795/233071/72754/54153/54610/192786/214804/102442/259302/217715/50778/94221/110279/108067/236915/319939/83409/245638/73910/71310/67903/103724/101489/227377/19418/109905/245886/328967/74694/11857/57915/72238/11856/29875/69632/223864/76117/78808/69440/230784/217944/269608/226407/105855/211914/18186/51791/117600/98910/12549/320634/17207/216363/228482/13645/57785/27387/73205/16801/380711/78618/19739/94176/104252/224045/71085/213783/231532/72542/69710/106952/68339/50753/14784/241308/56692/219140/209354/98710/77980/442801/54324/67894/75974/22411/239027/268706/230098/74206/381112/66096/223254/19159/76795/224014/70719/109294/320435/381605/98366/319899/231821/244668/27414/245666/226652/58996/243362/19417/19415/229541/232237/270163/215632/16800/19157/76123/277854/19732/19893/216445/11855/26934/226970/210789/237782/15463/209815/229877/211922/17168/67792/100088/347722/213522/19734/105841/214137/50907/68576/56784/109934/26382/74002/240168/207212/68813/225358/13605/213027/70296/107746/18582/66691/223666/330662/12662/56349/74018/19395/79264/94190/69601/19261/71435/20663/21838/20563/213990/72121/66725/230837/271981/381085/212285/224617/56032/320560/236920/71729/74563/71544/229898/19158/24056/70314/329260/109270/240057/101497/216805/209478/380698/108686/404710/216991/72825/67231/76484/243780/94254/71704/18015/263406/209773/73341/19730/19419/50768/22325/52850/320484/67425/207592/67299/54645/192236/56533/20469/19889/233046/216859/17925/54189/227801/68016/268739/71972/78816/98845/14697/24012/14567/544817/108699/52666/14020/110351/74055/230972/74760/105835/545481/244867/14469/76954/19347/268480/216439/218460/109904/72318/217325/16897/12663/71824/73167/225870/67839/20401/216963/14163/20166/223332/213498/66251/192232/70727/72325/19737/26431/107566/74334/244654/226089/70785/108995/385354/19385/208869	393
GO:0003712	transcription coregulator activity	442/15551	497/28407	2.6271343785905e-62	1.12879207133439e-59	3.0788171314008e-60	15191/104721/12042/18033/268903/57316/18148/22761/108098/109689/218613/106931/19383/223701/17684/70625/18519/64898/328365/238330/54343/230753/67500/23871/16909/433586/68703/54169/74106/69807/93679/56790/14173/116871/17978/26901/16911/223527/270110/21885/109108/208727/60406/22215/20466/19017/27878/103806/59035/15161/17938/13498/11886/11797/214899/116870/56381/101206/14056/232286/21418/17344/56312/100072/68879/15289/12227/28019/219249/12848/101604/70350/27374/57320/21849/50873/21886/18627/51810/76804/109331/21372/108829/67488/13017/16478/26885/12400/234959/57441/14815/20586/272359/26992/12593/56353/18103/547253/12607/13548/69792/17936/21848/67279/224613/433693/381379/76199/104263/320165/320595/66213/58172/381695/27223/21665/56309/14025/269424/227737/104625/66935/225876/320376/238317/67956/217864/66505/72199/12398/216154/219103/12396/19016/68196/320713/20602/70439/22591/56070/269389/217069/81004/228790/70571/67788/19720/80707/12395/67154/50724/22294/21887/18673/11569/13207/20024/23942/11792/217218/17257/15257/229003/12443/20481/433759/320271/107932/269997/67155/13496/107321/18676/382252/71371/212085/100683/13549/16480/15258/67381/13016/79362/80292/231051/67037/11632/54132/20185/21888/208266/59024/69790/18412/71458/22088/13211/57259/21413/16364/268448/56222/224829/319236/12051/231986/20821/80859/15184/114606/15468/14030/216825/18751/30841/217127/66855/19663/17979/107182/277250/94112/24068/97165/211323/101739/26896/225182/226169/66172/66464/71175/80288/75796/66354/69809/56273/74112/270118/15361/30941/234388/214855/52690/58206/212163/98415/17977/56404/14201/109594/68975/74490/18746/15183/72475/233908/13163/13712/327987/216820/13806/22057/79221/81489/12180/17829/20128/100502940/57748/21411/14055/77578/20467/268996/58521/14245/30937/29806/20933/69188/68729/18193/69656/244349/56469/19250/225895/353282/19183/12261/12387/24105/57741/56361/15587/216874/67773/81000/15951/67933/74735/104383/99982/21343/67014/434156/11472/15364/60595/56233/12189/78921/59022/22378/170826/93759/328572/667823/16825/102162/111241/70673/76681/13176/211329/18854/67219/19777/77630/13180/50701/17937/56856/98403/269881/81601/230085/20174/60533/233893/381022/208908/12705/229615/66233/19014/211652/12914/75605/22286/107765/67673/22195/28077/64899/228775/23957/214742/57261/625480/208146/18432/224440/18985/93686/320795/641340/233902/69642/15259/18128/23989/14200/320705/109115/68050/72057/671535/66597/22773/52915/109711/72462/83797/22762/67525/54650/212391/244579/238803/67057/668166/66993/72065/666528/16475/71990/68776/67151/338523/78656/329650/21804/22416/72195/69090/209387/13436/71148/56310/72895/22601/229534/94275/269966/239719/76022/228880/242285/214158/97064/70427/80285/74716/382206/56406/244879/107566/72693/20182/67224/244183/17152/231889/14797/224762/386655/20220/108143/56505/23947	442
GO:0061629	RNA polymerase II-specific DNA-binding transcription factor binding	345/15551	382/28407	1.21407459382154e-52	3.91235537858991e-50	1.0671076693063e-50	18024/12042/268903/57316/18148/22761/11518/109689/19664/17684/19359/56637/18035/230753/23871/21349/217410/16909/229906/12953/71769/52639/66200/17260/21416/83602/17978/11909/22059/20846/14255/14472/109108/268980/208727/20466/19017/24075/12490/22200/66894/77006/19822/11886/13198/116870/71890/56381/101206/15213/74132/20684/234594/232286/209456/99311/17344/20807/14886/12606/68879/12929/223499/11461/20591/15289/13982/13654/15525/57320/12912/18741/321006/18627/76804/72504/14897/13017/13435/16478/65102/13560/234959/13433/20586/67378/14460/21848/18018/104263/320165/71492/12317/27223/55927/20848/11865/270627/14884/56438/56399/14462/16476/14084/13001/18600/18708/53380/14582/21423/20687/72199/14281/108655/216154/15511/16600/19016/18227/20602/101700/15502/22591/15214/56070/269389/26443/228790/15251/107392/67154/11864/56736/18129/21781/15370/58231/17126/17261/230673/109113/13207/14461/23942/11792/170930/17258/433759/16842/107932/67238/16543/16969/18572/15258/67381/13016/79362/17128/11632/22260/14228/209200/277744/26416/26922/20185/73845/208266/59024/69790/21388/11863/13211/57259/218772/15902/50911/224829/18124/20747/18012/15184/15468/15110/19645/18751/17979/24068/22629/66083/18933/50868/225182/20181/66354/15507/52668/15361/20997/224111/11545/214855/17127/52690/20375/17977/56404/20671/192197/93760/13009/15183/233908/13163/211770/13712/327987/102774/22337/15182/58805/23872/11622/79221/233904/19255/665596/14245/20779/18193/67278/15108/19183/15260/13819/17300/19712/12387/12069/22062/76260/67773/20851/16392/78926/99982/21343/319594/20683/15364/60595/22378/170826/72569/93759/328572/321000/16825/14465/111241/19411/211329/235459/21678/59036/19013/16871/208908/15205/19130/319182/66233/19014/18996/12952/12914/107765/57436/21428/23957/22259/14725/57376/320795/641340/18736/19015/75613/15163/23989/69852/20184/11835/16798/20893/210719/230025/18091/20592/11746/22762/212391/228980/12578/243910/238803/14816/12608/66993/72512/266692/21386/71990/13813/68776/15375/13388/78656/66959/21804/15378/67655/15982/18740/19697/21389/73680/242285/57752/80285/77632/27217/14836/56406/80280/56642/114142/20182/231889/58198/76365/15904/20186/14121	345
GO:0016755	aminoacyltransferase activity	409/15551	473/28407	2.98502055560181e-50	7.69538299234147e-48	2.09894076962317e-48	74153/12211/108098/21817/71991/11907/76843/320253/19302/78913/67345/71816/66854/328365/65247/238330/20438/230903/231600/71861/69807/18140/50789/93679/224938/26554/77853/19647/240354/14339/22670/242785/208727/225164/22192/22215/50762/75788/216150/70208/211007/140887/93765/59026/66894/71865/66743/109910/19822/54197/68477/11797/208650/19820/94089/67921/74132/207182/50754/23806/268281/17344/668173/76497/269695/103583/15204/330812/193670/13654/224619/213211/100502936/21849/70294/105689/50873/109331/14897/67711/11793/224826/225055/22196/12021/234959/28105/272359/26401/67490/67841/217558/268291/59003/69792/319817/21848/67279/20834/56715/106052/66213/53621/76580/56515/66589/270627/218203/56438/19386/224703/81003/22193/73998/234736/67030/51813/71007/22030/384309/209462/77891/212114/66510/381338/72925/20585/67245/217340/99375/101700/381270/12234/217069/207304/226541/107568/24017/19720/67664/56736/105239/76952/50760/21929/216860/70348/12540/68612/109113/67369/17248/67118/58186/170930/68098/20439/26374/217342/56424/244421/140499/21927/207521/329152/67588/94088/58230/74145/212085/20610/28000/381305/387524/56791/77733/330171/224170/216781/69587/17246/223455/55992/107986/209200/74287/69116/22210/59024/69790/94094/71458/72137/67150/407821/67138/67196/103737/22129/319236/70093/74198/20821/75234/83814/100763/214854/18744/16396/94090/93836/228545/386611/19823/68867/242521/74126/100040608/67615/56631/80890/76073/68795/74164/66172/80751/140630/11798/30945/67128/78889/331046/76892/108086/19821/22213/19893/67338/22031/212163/66889/68975/108660/79263/218215/70536/20128/66155/66949/21402/66795/207215/68031/66105/22222/70790/11799/17999/76901/381485/68729/68497/23807/66394/218793/231672/72486/56469/66799/65256/24105/80985/227738/63958/59044/22034/71956/67702/109161/237353/74735/22214/338364/108937/67845/216080/101358/207742/74365/226098/230904/54484/12189/65255/17237/22209/216438/667823/170737/76681/50849/18011/94093/268933/18854/67219/29864/98403/672511/23887/329581/195359/67027/240055/232539/22644/23802/67610/229615/381845/56550/19014/70238/22036/22195/108089/229644/68350/28077/74165/53323/12418/75841/69104/213753/12402/103213/74264/70392/23989/66825/50764/70797/70928/55983/102632837/93834/54483/434246/11796/233877/381534/81018/74176/66597/59009/52915/20437/73469/67525/19824/21816/117146/12578/433766/22652/71779/240396/22194/14598/66381/80794/105193/19763/26965/233040/16924/84585/209387/76608/140629/68718/380918/217333/71522/66313/636931/66089/195018/71673/214158/328234/68501/76980/66053/21818/233038/94091/225743/215061/75212/192120/239083/244183/224762/76072/104836/13828/215919	409
GO:0019787	ubiquitin-like protein transferase activity	395/15551	457/28407	1.82622772900626e-48	3.92334590448178e-46	1.07010537103174e-46	74153/12211/108098/71991/76843/320253/19302/78913/67345/71816/66854/328365/65247/238330/20438/230903/231600/71861/69807/18140/50789/93679/224938/26554/77853/19647/240354/14339/22670/242785/208727/225164/22192/22215/50762/75788/216150/70208/211007/140887/93765/59026/66894/71865/66743/109910/19822/54197/68477/11797/208650/19820/94089/67921/74132/50754/23806/268281/17344/668173/76497/269695/103583/15204/330812/193670/13654/224619/213211/100502936/21849/70294/105689/50873/109331/14897/67711/11793/224826/225055/22196/12021/234959/28105/272359/26401/67490/67841/217558/268291/59003/69792/319817/21848/67279/20834/56715/106052/66213/53621/76580/56515/66589/270627/218203/56438/19386/224703/81003/22193/73998/234736/67030/51813/71007/22030/384309/209462/77891/212114/66510/381338/72925/20585/67245/217340/99375/101700/381270/12234/217069/207304/226541/107568/24017/19720/67664/56736/105239/76952/50760/21929/216860/70348/12540/68612/109113/17248/67118/58186/170930/68098/20439/26374/217342/56424/244421/140499/21927/207521/329152/67588/94088/58230/212085/20610/28000/381305/387524/56791/77733/330171/224170/216781/69587/17246/223455/55992/107986/209200/74287/69116/22210/59024/69790/94094/71458/72137/67150/407821/67138/67196/103737/22129/319236/70093/74198/20821/75234/83814/100763/214854/18744/16396/94090/93836/228545/386611/19823/68867/242521/74126/100040608/67615/56631/80890/76073/68795/74164/66172/80751/140630/11798/30945/67128/78889/76892/108086/19821/22213/19893/67338/22031/212163/66889/68975/108660/79263/218215/20128/66155/66949/21402/66795/207215/68031/66105/22222/70790/11799/17999/76901/381485/68729/68497/23807/66394/218793/231672/72486/56469/66799/65256/24105/80985/227738/63958/59044/22034/71956/67702/109161/237353/74735/22214/338364/108937/67845/216080/101358/207742/74365/226098/230904/54484/12189/65255/17237/22209/216438/667823/170737/76681/50849/18011/94093/268933/18854/67219/29864/98403/672511/329581/195359/67027/240055/232539/22644/23802/67610/229615/381845/56550/19014/70238/22036/22195/108089/229644/68350/28077/74165/53323/12418/75841/69104/213753/12402/103213/74264/70392/23989/66825/50764/70797/70928/55983/102632837/93834/54483/434246/11796/233877/381534/81018/66597/59009/52915/20437/73469/67525/19824/117146/12578/433766/22652/71779/240396/22194/66381/80794/105193/19763/26965/233040/16924/84585/209387/76608/140629/68718/380918/217333/66313/636931/66089/195018/71673/214158/328234/68501/76980/66053/233038/94091/225743/215061/75212/192120/239083/244183/224762/76072/104836/215919	395
GO:0003779	actin binding	388/15551	448/28407	4.21805515170781e-48	7.64081782004627e-46	2.08405794119918e-46	15191/17909/217692/20617/11518/56443/223701/231830/55991/12332/77113/30948/215114/56419/73178/212073/78885/225115/170736/17912/544963/21961/13367/54366/13726/74192/27428/74117/194401/59069/19240/238276/56431/50875/17118/66898/230872/215280/238328/56226/319565/14300/107684/72042/237436/21346/17896/27360/50873/51810/99662/22350/56376/208846/11426/13548/59003/18016/16210/19230/58234/76580/18754/17886/320878/12767/13860/19241/18810/22330/216033/234686/18175/228421/100503085/66713/16531/18457/68142/22288/67903/226541/13169/14525/22388/13822/16351/12385/70599/320712/12345/269587/72041/75477/29856/14457/12343/667663/29875/12340/286940/100169/93688/17916/20742/72333/16412/26557/244281/74103/226251/23789/22379/70292/21916/12808/231637/12631/70394/22003/13800/75454/17897/211401/54132/54004/23790/22323/20430/110253/330938/11867/22437/17913/63985/17698/20741/68166/232533/17920/171580/217124/208943/23999/20198/229474/64009/68767/18301/102502/192176/326618/228545/12331/76612/58800/63873/17754/338367/22629/64099/77579/231148/257632/13043/224014/20276/12774/18826/434204/76499/59011/15567/17755/237891/17996/109624/66822/54418/21954/72296/270163/243725/21894/118449/52690/26367/63986/14453/14201/226841/13009/242687/19200/68743/104027/107589/57748/30794/12632/270058/71409/245049/17918/12296/217125/338355/69693/76448/94040/328019/230917/26936/27361/71602/94190/11565/77767/15444/360013/13823/668940/14083/26365/68802/66725/74189/29816/17919/69310/66999/11519/18693/78926/11749/215789/11472/226594/320502/60595/237860/242894/76709/69538/227753/20739/24131/21952/14086/399591/67771/14260/319876/93677/11727/20259/53318/217169/231646/108686/218699/213019/235431/22068/66196/404710/12386/14026/246177/57778/71994/68760/56320/263406/70549/13138/20743/17357/68524/13518/12798/11421/503844/20649/17880/11514/67425/52589/13829/20650/11629/17910/218194/16985/67252/15163/80297/227357/16796/17925/68810/71960/245857/54483/19684/22067/14248/56378/98845/17356/78906/68089/102866/208431/13821/109711/13803/225288/77569/12721/67399/17756/75646/76467/668894/16475/65970/71096/114774/11350/66747/234857/14469/238021/20538/70997/50874/13419/140781/72565/219033/110380/329421/17921/80889/20740/12569/16332/667772/17868/14468/18126/239719/68794/268534/71774/13405/74376/170947/231003/21953/22157/223513/18127/216961/245880/17883/20648/233199/18643/241639/71653/69697/244654/237560/640524/11838/100034363/208076/67803/319713/14473/80743/18645/12570/69312/108897/22004	388
GO:0051020	GTPase binding	306/15551	337/28407	4.74216777039334e-48	7.64081782004627e-46	2.08405794119918e-46	76582/73192/107508/12176/75547/68051/170822/231830/30948/320127/17988/320727/56419/67046/94186/13722/56488/108911/66508/22608/544963/71810/268451/13367/382253/19765/217835/105445/110157/66641/72404/210293/12048/27277/14270/50884/75665/72836/29809/20655/170731/98732/70572/98402/19387/238130/241275/19877/105689/54170/218397/56508/228359/245670/208846/15519/74030/14569/54126/22084/74370/14470/56715/227800/11977/22241/19386/20909/13860/110750/209462/100504663/72729/22330/192786/20620/20660/228361/12757/78287/218210/77040/76820/233489/56187/56699/109905/245886/12121/74694/11857/226422/18747/29875/80291/230673/213993/11303/20742/12389/226407/74204/21927/117600/98910/18479/54411/67588/320634/16568/216363/22379/212999/57785/56289/73205/78618/11765/94176/214459/104252/52055/54004/23790/20430/213783/76895/217866/104445/16211/17913/320938/243819/105148/13660/100213/238799/58869/233103/20405/109880/171580/380714/192176/67894/75974/102058/19305/66482/104346/216190/66863/623781/223254/116733/227743/75767/18826/320435/434204/18195/19417/19878/243725/16800/18286/277854/66592/233726/75734/280408/224105/17970/15183/19353/106039/11736/100088/223601/13806/74105/109333/76884/50907/16558/71409/245049/17918/240168/11799/68813/13605/65246/12306/260409/213027/70296/18582/20170/66691/330662/215445/12662/74018/109181/18755/263803/66725/74006/17919/16569/70450/13543/54214/229707/13542/320560/329165/329260/111173/237038/101497/404710/231858/105504/74053/230584/57778/67231/19894/18996/23991/101314/263406/13544/19349/14695/19352/52850/74155/67299/228550/69104/320795/235380/83671/226432/17925/56705/57912/227801/75751/233877/17356/19275/14567/69470/27756/27359/18481/116838/14020/11517/14688/73296/110351/74055/14799/230972/105835/74998/103573/19347/14693/57258/16897/12663/142687/225870/242662/66011/216963/52187/14163/75695/27008/20166/269589/26403/192232/72325/26431/208628/18643/74766/241770/74334/260302/244654/58804/226089/212733/116837/208869/56208/18053	306
GO:0019001	guanyl nucleotide binding	343/15551	387/28407	9.22891020930659e-48	1.18960652597962e-45	3.24469053674568e-46	242202/69635/64143/21817/14682/13494/232906/216344/235072/74143/19330/98878/241489/218639/11858/80981/226861/11566/53857/67657/54195/215449/217869/19342/224624/69288/14675/17274/11841/213895/271457/14683/14687/23984/15516/26942/80718/212508/68365/56298/66628/19324/30877/381812/226421/56427/270160/170731/226043/56451/107999/233870/106393/54170/13627/14678/217378/19344/56738/56212/230737/14673/245670/55932/56350/78600/15519/72433/74012/18103/19744/16337/101592/14672/207728/69237/26905/19339/20130/207704/214763/19326/233328/81003/68146/56382/231279/15461/67414/217371/68895/217715/229900/224092/20224/52398/22151/68441/54396/22154/109136/19325/237107/104303/109905/14679/333329/53860/226422/76877/12540/20509/67166/103967/11852/56422/28088/235442/442827/235661/67844/19341/11861/22146/56055/17857/14228/19346/13430/70359/219144/24018/14661/56297/19345/320806/238463/53869/14676/20917/13660/209354/100972/56526/331026/74551/19091/69834/73707/20818/74222/11840/52065/15944/11891/14674/72046/14579/19139/210145/68080/67295/28030/18080/22143/22153/17532/59021/60596/18534/19384/110639/11855/71619/18000/19353/56248/19354/226982/12788/56327/103080/227613/230103/347722/58222/23912/56045/68708/76784/66067/66922/246710/103733/76108/19428/67951/100503545/74734/109168/13495/19328/104215/14528/16145/328778/19329/74254/11565/14685/75423/433653/75141/320982/76166/67059/56412/18176/213990/53868/11842/66725/74006/68724/106572/11749/22142/76308/71966/217151/54204/19331/270192/75869/22145/229898/242681/11853/14919/242851/73710/11845/68203/20362/228543/232441/56437/634650/75985/19349/59040/210146/22152/68939/19335/26908/69581/18160/80885/80837/545486/14917/65967/19889/20624/107526/19334/16205/17858/223881/331487/214952/69159/56044/67042/74194/231931/56795/626578/69908/18102/19336/66397/77407/68328/72512/259300/73296/72065/11843/14852/18951/16653/14680/77015/317758/67653/108083/14469/317757/216439/14677/66401/140743/110855/30952/57440/11639/14468/19338/14670/12790/239555/52187/236573/19337/11844/73991/57837/14686/12265/20166/100210/18952/83408/227624/19332/11848/245650/212539/230073/19416/170758/24050/319642/13429/100702/276952/14681/67286/13628/216749/14853	343
GO:0032561	guanyl ribonucleotide binding	343/15551	387/28407	9.22891020930659e-48	1.18960652597962e-45	3.24469053674568e-46	242202/69635/64143/21817/14682/13494/232906/216344/235072/74143/19330/98878/241489/218639/11858/80981/226861/11566/53857/67657/54195/215449/217869/19342/224624/69288/14675/17274/11841/213895/271457/14683/14687/23984/15516/26942/80718/212508/68365/56298/66628/19324/30877/381812/226421/56427/270160/170731/226043/56451/107999/233870/106393/54170/13627/14678/217378/19344/56738/56212/230737/14673/245670/55932/56350/78600/15519/72433/74012/18103/19744/16337/101592/14672/207728/69237/26905/19339/20130/207704/214763/19326/233328/81003/68146/56382/231279/15461/67414/217371/68895/217715/229900/224092/20224/52398/22151/68441/54396/22154/109136/19325/237107/104303/109905/14679/333329/53860/226422/76877/12540/20509/67166/103967/11852/56422/28088/235442/442827/235661/67844/19341/11861/22146/56055/17857/14228/19346/13430/70359/219144/24018/14661/56297/19345/320806/238463/53869/14676/20917/13660/209354/100972/56526/331026/74551/19091/69834/73707/20818/74222/11840/52065/15944/11891/14674/72046/14579/19139/210145/68080/67295/28030/18080/22143/22153/17532/59021/60596/18534/19384/110639/11855/71619/18000/19353/56248/19354/226982/12788/56327/103080/227613/230103/347722/58222/23912/56045/68708/76784/66067/66922/246710/103733/76108/19428/67951/100503545/74734/109168/13495/19328/104215/14528/16145/328778/19329/74254/11565/14685/75423/433653/75141/320982/76166/67059/56412/18176/213990/53868/11842/66725/74006/68724/106572/11749/22142/76308/71966/217151/54204/19331/270192/75869/22145/229898/242681/11853/14919/242851/73710/11845/68203/20362/228543/232441/56437/634650/75985/19349/59040/210146/22152/68939/19335/26908/69581/18160/80885/80837/545486/14917/65967/19889/20624/107526/19334/16205/17858/223881/331487/214952/69159/56044/67042/74194/231931/56795/626578/69908/18102/19336/66397/77407/68328/72512/259300/73296/72065/11843/14852/18951/16653/14680/77015/317758/67653/108083/14469/317757/216439/14677/66401/140743/110855/30952/57440/11639/14468/19338/14670/12790/239555/52187/236573/19337/11844/73991/57837/14686/12265/20166/100210/18952/83408/227624/19332/11848/245650/212539/230073/19416/170758/24050/319642/13429/100702/276952/14681/67286/13628/216749/14853	343
