ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030695	GTPase regulator activity	392/15333	429/28407	2.34425632451549e-65	1.51087320115023e-62	4.33070510476283e-63	78808/66687/216363/74694/117600/216439/52666/216445/73910/213783/94221/19386/56533/110279/70719/237422/13998/544817/19739/14784/217325/19157/207592/108903/108686/17168/94176/103724/66628/74563/76795/192786/380698/216805/16897/237782/442801/57785/216859/54189/380711/109934/216963/18015/216991/319939/58996/268480/68339/217835/217869/217944/211914/16413/238130/20403/11855/56784/20334/20663/263406/217692/50779/217715/218581/268706/140580/14569/56349/67046/30938/51791/218397/19418/218460/544963/15357/110596/210789/105689/223254/105445/211922/71704/24056/239027/268739/219140/68813/105855/223435/13196/105841/223666/72318/20401/105835/19387/66251/109270/73167/223754/223332/69440/77980/66725/223864/26934/224014/19385/224045/78618/545156/12549/21844/16443/224617/22084/240057/26382/381085/24001/320484/19732/72238/71810/70785/22324/19765/268970/240168/72536/381112/20662/225358/74002/106952/71302/107045/75415/328967/74760/14682/76088/226089/74055/209478/71085/108995/192236/71972/225870/20469/104252/67894/19395/211673/226407/14270/98710/329260/19735/50778/64214/19731/67792/19734/78255/29809/19737/226652/24012/12663/98732/98366/226970/54610/74018/210293/15463/18582/98402/347722/227377/228482/19419/19261/18795/27054/74030/241694/67231/228850/545481/277360/228998/71435/215632/67839/22325/19730/107746/70296/27387/99326/241308/66691/69601/227800/227801/76117/98910/56508/108699/228355/77038/228359/329727/109905/72121/68576/76123/57257/214137/29815/71824/13645/271981/56692/229877/229898/14469/214804/76131/13605/76089/213498/404710/83409/16800/229541/108067/69780/100088/230784/230837/110351/72754/108911/213649/269608/230972/140500/73205/230098/381605/68016/50780/329877/16476/67299/231532/14020/72542/192232/52850/26431/19415/209354/56715/94254/54153/231801/66096/231821/19159/231874/243362/213990/50907/13667/277854/71729/100855/79264/231207/20563/212285/57915/320292/259302/70727/243621/213522/11857/320560/320127/209773/243780/54324/69993/232089/20166/232201/232227/232237/207212/69710/66508/76954/19347/319934/53322/70497/70314/67865/330662/76484/101489/98845/232906/16801/101497/320435/233046/74206/233071/245886/67425/18220/19158/27414/75547/29875/22411/109689/74334/244654/54126/72325/244668/18186/17207/66790/19414/234094/102098/50768/213027/50753/234353/78816/17925/78514/71310/244548/67903/107566/208869/56032/72825/319899/330914/69632/21838/244867/270163/102442/14697/19417/67016/71544/114713/19893/12662/245638/14163/245666/11856/19889/75974/320634/385354/73341/109904/171207/14567/54645/209815/236915/94190/236920	392
GO:0060589	nucleoside-triphosphatase regulator activity	392/15333	429/28407	2.34425632451549e-65	1.51087320115023e-62	4.33070510476283e-63	78808/66687/216363/74694/117600/216439/52666/216445/73910/213783/94221/19386/56533/110279/70719/237422/13998/544817/19739/14784/217325/19157/207592/108903/108686/17168/94176/103724/66628/74563/76795/192786/380698/216805/16897/237782/442801/57785/216859/54189/380711/109934/216963/18015/216991/319939/58996/268480/68339/217835/217869/217944/211914/16413/238130/20403/11855/56784/20334/20663/263406/217692/50779/217715/218581/268706/140580/14569/56349/67046/30938/51791/218397/19418/218460/544963/15357/110596/210789/105689/223254/105445/211922/71704/24056/239027/268739/219140/68813/105855/223435/13196/105841/223666/72318/20401/105835/19387/66251/109270/73167/223754/223332/69440/77980/66725/223864/26934/224014/19385/224045/78618/545156/12549/21844/16443/224617/22084/240057/26382/381085/24001/320484/19732/72238/71810/70785/22324/19765/268970/240168/72536/381112/20662/225358/74002/106952/71302/107045/75415/328967/74760/14682/76088/226089/74055/209478/71085/108995/192236/71972/225870/20469/104252/67894/19395/211673/226407/14270/98710/329260/19735/50778/64214/19731/67792/19734/78255/29809/19737/226652/24012/12663/98732/98366/226970/54610/74018/210293/15463/18582/98402/347722/227377/228482/19419/19261/18795/27054/74030/241694/67231/228850/545481/277360/228998/71435/215632/67839/22325/19730/107746/70296/27387/99326/241308/66691/69601/227800/227801/76117/98910/56508/108699/228355/77038/228359/329727/109905/72121/68576/76123/57257/214137/29815/71824/13645/271981/56692/229877/229898/14469/214804/76131/13605/76089/213498/404710/83409/16800/229541/108067/69780/100088/230784/230837/110351/72754/108911/213649/269608/230972/140500/73205/230098/381605/68016/50780/329877/16476/67299/231532/14020/72542/192232/52850/26431/19415/209354/56715/94254/54153/231801/66096/231821/19159/231874/243362/213990/50907/13667/277854/71729/100855/79264/231207/20563/212285/57915/320292/259302/70727/243621/213522/11857/320560/320127/209773/243780/54324/69993/232089/20166/232201/232227/232237/207212/69710/66508/76954/19347/319934/53322/70497/70314/67865/330662/76484/101489/98845/232906/16801/101497/320435/233046/74206/233071/245886/67425/18220/19158/27414/75547/29875/22411/109689/74334/244654/54126/72325/244668/18186/17207/66790/19414/234094/102098/50768/213027/50753/234353/78816/17925/78514/71310/244548/67903/107566/208869/56032/72825/319899/330914/69632/21838/244867/270163/102442/14697/19417/67016/71544/114713/19893/12662/245638/14163/245666/11856/19889/75974/320634/385354/73341/109904/171207/14567/54645/209815/236915/94190/236920	392
GO:0003712	transcription coregulator activity	439/15333	497/28407	3.67473149881765e-62	1.57890963399198e-59	4.52572195117543e-60	15364/17937/17938/17684/211329/69090/13180/67500/93759/108829/641340/71371/15468/70427/50701/216154/13496/208266/14797/21886/114606/21665/67933/16480/19183/14055/12189/15184/217218/13207/22378/57316/58172/14025/18148/211652/66213/104625/18412/103806/14030/50724/22416/216820/216825/20185/52915/56310/66172/216874/12261/67279/18432/268448/70439/327987/68729/217069/18103/22057/217127/18673/19014/23989/52690/217864/116870/104721/14245/79221/17977/56856/109711/69792/238317/238330/66354/66505/108143/218613/11472/19720/214158/57441/16364/12593/21418/17152/18676/18193/28077/57748/238803/212085/54169/328365/54650/11792/27374/16475/219103/20220/66597/67381/219249/67488/20024/70350/67154/22762/223527/69790/671535/93686/223701/328572/57259/74716/21411/71175/67057/56233/381022/83797/239719/22195/94112/208146/547253/80285/12914/80859/67014/268903/74112/224440/13548/50873/72057/224613/67673/15361/111241/68776/72462/57261/13163/20182/224762/109115/224829/18519/64898/12607/116871/225182/268996/106931/78656/277250/24068/15183/14815/56070/170826/21413/17344/212163/107321/21888/67155/60533/107765/107182/54132/11632/212391/72199/225876/16825/226169/93679/67788/81601/104383/225895/23942/17978/98415/12227/75605/13211/74106/27878/30941/15951/51810/19250/214742/98403/320705/214855/14200/17936/18627/208727/353282/16909/15259/27223/58521/12848/24105/228775/228790/13436/12396/19383/56406/64899/269389/228880/17979/229003/68879/59022/18128/20933/68975/227737/320271/66935/381379/15257/18033/16911/12042/81004/14173/269424/433586/56790/97064/329650/15191/67037/76022/17829/229534/229615/77578/71148/72475/66233/56222/68050/56309/14201/230753/67525/433759/66464/67219/23957/12395/99982/56381/56273/13806/68703/57320/100072/70673/20481/57741/26885/433693/242285/230085/74735/109331/69807/21885/76804/101739/320713/56361/76199/71990/30841/67151/208908/67956/20602/21343/100683/231889/15289/381695/69188/66993/231051/72195/13016/19017/109108/77630/56353/72895/101206/19016/214899/13498/28019/107932/54343/11569/79362/108098/21848/15258/338523/14056/231986/12180/104263/80292/22591/232286/269966/20821/667823/76681/319236/244183/20128/209387/109594/18751/56312/269997/78921/101604/233893/233902/67773/233908/21804/21849/13017/70571/22286/12443/666528/272359/12051/269881/13549/386655/434156/67224/60595/58206/19777/20174/74490/22088/22215/109689/12400/80707/75796/68196/22761/12398/66855/102162/270110/244349/320165/211323/19663/11886/60406/97165/16478/234388/70625/20467/81489/320795/26992/244579/107566/81000/15587/12387/26901/29806/270118/234959/59035/20586/23871/80288/18985/100502940/69809/244879/20466/18854/18746/21887/56469/56404/69642/11797/22601/59024/12705/71458/26896/23947/320595/382252/69656/13712/22294/72693/320376/72065/22773/15161/17257/21372/382206/625480/94275/668166	439
GO:0061629	RNA polymerase II-specific DNA-binding transcription factor binding	345/15333	382/28407	1.63576113996681e-54	5.27124027354306e-52	1.51092673717987e-52	14816/71769/15364/13198/17684/211329/15214/15182/13982/93759/641340/13654/15468/16798/216154/21423/208266/16969/12952/20186/20851/20848/21428/19183/15184/13207/52639/170930/22378/57316/18148/78926/15525/15110/20185/22059/192197/327987/20747/80280/19014/23989/57376/52668/14836/52690/116870/217410/14245/15902/79221/11622/13435/15982/17977/26443/18035/15375/59036/15251/14281/66354/83602/76260/18708/16392/665596/319182/17300/15904/20184/18193/18740/14121/17260/238803/66200/18996/218772/11792/19645/67381/15370/19411/20683/67154/223499/22762/69790/211770/56438/328572/57259/19013/22337/12929/15260/15205/224111/80285/209200/15163/56637/12914/18736/268903/23872/13388/13560/18091/15361/111241/68776/19015/21678/26416/56399/13163/20182/15511/13001/20807/224829/268980/20997/13819/14465/225182/72504/78656/72512/24068/15183/56736/56070/170826/19255/210719/17128/17126/17344/67655/18018/109113/107765/11632/212391/72199/56642/319594/16825/18572/107392/21416/19697/23942/17978/13211/18933/11545/27217/209456/19130/12490/214855/20671/20846/65102/12912/14897/20684/14472/55927/18627/208727/16909/27223/77006/228790/99311/56406/266692/20779/269389/15378/58231/17979/12608/228980/68879/16871/20181/14582/18227/14725/72569/20687/11909/18024/18012/20375/22259/12953/14462/321000/18741/16842/229906/12042/50911/71492/15213/17261/11863/18129/14084/21349/66233/230673/230753/73680/433759/26922/23957/93760/99982/18600/277744/56381/77632/71890/57320/22062/230025/242285/15502/18124/19359/16600/76804/12578/16476/21386/21388/71990/208908/20602/14886/58805/15507/21343/11461/67238/231889/74132/14255/15289/66993/69852/22629/13016/19822/11518/19017/19664/109108/19712/20893/101206/19016/107932/14228/57436/79362/114142/16543/21848/15258/104263/11746/14461/22591/232286/22200/108655/101700/24075/11865/18751/21389/67278/233904/67773/233908/21804/57752/13017/60595/243910/12606/22260/75613/14884/13009/17258/11864/73845/109689/66894/22761/21781/320165/66959/11886/16478/320795/12317/58198/67378/66083/234594/321006/13813/12387/234959/13433/50868/20586/23871/20466/102774/17127/56404/235459/76365/59024/270627/12069/53380/15108/20591/13712/14460/11835/20592	345
GO:0016755	aminoacyltransferase activity	409/15333	473/28407	2.50652243479457e-52	6.4618148369004e-50	1.85218815707978e-50	268281/71865/17246/216438/67588/21929/70208/68031/268291/215919/103213/11793/209462/19386/237353/67345/13654/216080/14598/23887/20610/22213/216150/70294/93765/12189/66313/170930/217333/338364/217340/217342/11799/12418/672511/67245/67030/103583/193670/71673/66213/211007/94089/59044/66089/76901/22210/21402/407821/216781/108660/56631/94091/52915/216860/66172/67279/71522/67128/195018/21927/78889/71956/67338/103737/76892/68729/207742/217069/19014/23989/65256/22031/108089/104836/217558/207304/94090/69792/66381/68497/238330/81003/71816/71991/26401/19720/214158/74145/328234/218203/105193/218215/105239/76980/28077/66795/50789/105689/72486/212085/22194/218793/328365/93834/239083/102632837/21816/66597/66854/380918/223455/30945/70790/106052/69790/75841/68501/56438/67118/66053/22195/70238/209200/207215/54483/67841/17237/224170/208650/78913/22129/50873/224619/213753/22196/268933/56424/240055/58230/224703/19763/54197/79263/22670/19824/195359/224762/76497/224826/18140/20834/224938/12211/70536/225055/225164/67664/56515/56550/56736/28105/320253/83814/240354/240396/17344/225743/212163/50764/28000/207521/109910/109113/76073/226098/69104/12234/93679/76952/18011/74126/17248/67196/19821/26374/381305/226541/66799/66155/76843/98403/214854/381338/67702/329152/12021/381270/26554/14897/67921/65247/208727/22034/80985/228545/22222/13828/74176/70928/21818/140629/24105/16396/207182/21817/68612/81018/66589/329581/22030/68975/227738/319817/72137/68795/22193/71861/56791/107986/229644/94093/66105/381485/20585/212114/19302/24017/20439/66949/80890/50754/70093/229615/67845/381534/29864/76608/66743/67525/75234/67219/433766/12540/68350/66825/69116/50762/230903/230904/63958/242785/668173/76580/140499/107568/51813/67490/74164/67615/73469/74735/109331/76072/192120/69807/242521/12578/69587/231600/330171/117146/50849/231672/269695/80751/56715/215061/74198/384309/108086/75788/74132/140887/100763/59003/19822/70797/53323/16924/68098/55983/58186/67027/71779/101358/100502936/108098/232539/386611/22214/53621/21848/54484/26965/65255/387524/67138/73998/68477/22644/66510/74287/75212/20821/101700/94088/94094/667823/76681/319236/244183/20128/209387/55992/67150/19647/67711/233877/434246/381845/21849/22192/11907/71007/272359/67369/80794/233038/233040/50760/66394/77891/100040608/15204/22215/22652/108937/66894/234736/170737/68718/99375/77733/68867/244421/59009/72925/330812/20437/14339/23802/67610/77853/22036/74153/84585/23807/636931/331046/234959/213211/12402/140630/109161/18854/23806/56469/74165/93836/17999/11797/11796/70348/19823/59024/270627/19893/19820/71458/66889/59026/74264/20438/74365/22209/11798/70392/18744	409
GO:0019787	ubiquitin-like protein transferase activity	395/15333	457/28407	1.81601758551005e-50	3.90141111287075e-48	1.1182845131825e-48	268281/71865/17246/216438/67588/21929/70208/68031/268291/215919/103213/11793/209462/19386/237353/67345/13654/216080/20610/22213/216150/70294/93765/12189/66313/170930/217333/338364/217340/217342/11799/12418/672511/67245/67030/103583/193670/71673/66213/211007/94089/59044/66089/76901/22210/21402/407821/216781/108660/56631/94091/52915/216860/66172/67279/67128/195018/21927/78889/71956/67338/103737/76892/68729/207742/217069/19014/23989/65256/22031/108089/104836/217558/207304/94090/69792/66381/68497/238330/81003/71816/71991/26401/19720/214158/328234/218203/105193/218215/105239/76980/28077/66795/50789/105689/72486/212085/22194/218793/328365/93834/239083/102632837/66597/66854/380918/223455/30945/70790/106052/69790/75841/68501/56438/67118/66053/22195/70238/209200/207215/54483/67841/17237/224170/208650/78913/22129/50873/224619/213753/22196/268933/56424/240055/58230/224703/19763/54197/79263/22670/19824/195359/224762/76497/224826/18140/20834/224938/12211/225055/225164/67664/56515/56550/56736/28105/320253/83814/240354/240396/17344/225743/212163/50764/28000/207521/109910/109113/76073/226098/69104/12234/93679/76952/18011/74126/17248/67196/19821/26374/381305/226541/66799/66155/76843/98403/214854/381338/67702/329152/12021/381270/26554/14897/67921/65247/208727/22034/80985/228545/22222/70928/140629/24105/16396/68612/81018/66589/329581/22030/68975/227738/319817/72137/68795/22193/71861/56791/107986/229644/94093/66105/381485/20585/212114/19302/24017/20439/66949/80890/50754/70093/229615/67845/381534/29864/76608/66743/67525/75234/67219/433766/12540/68350/66825/69116/50762/230903/230904/63958/242785/668173/76580/140499/107568/51813/67490/74164/67615/73469/74735/109331/76072/192120/69807/242521/12578/69587/231600/330171/117146/50849/231672/269695/80751/56715/215061/74198/384309/108086/75788/74132/140887/100763/59003/19822/70797/53323/16924/68098/55983/58186/67027/71779/101358/100502936/108098/232539/386611/22214/53621/21848/54484/26965/65255/387524/67138/73998/68477/22644/66510/74287/75212/20821/101700/94088/94094/667823/76681/319236/244183/20128/209387/55992/67150/19647/67711/233877/434246/381845/21849/22192/71007/272359/80794/233038/233040/50760/66394/77891/100040608/15204/22215/22652/108937/66894/234736/170737/68718/99375/77733/68867/244421/59009/72925/330812/20437/14339/23802/67610/77853/22036/74153/84585/23807/636931/234959/213211/12402/140630/109161/18854/23806/56469/74165/93836/17999/11797/11796/70348/19823/59024/270627/19893/19820/71458/66889/59026/74264/20438/74365/22209/11798/70392/18744	395
GO:0004842	ubiquitin-protein transferase activity	372/15333	431/28407	2.90093406769304e-47	5.34186287608046e-45	1.53116971091768e-45	268281/71865/17246/216438/67588/21929/70208/68031/268291/215919/103213/209462/237353/67345/216080/22213/216150/70294/93765/12189/66313/217333/338364/217340/217342/11799/672511/67245/67030/103583/193670/71673/66213/211007/94089/59044/66089/76901/22210/21402/407821/216781/108660/56631/94091/216860/66172/67279/67128/21927/78889/71956/67338/103737/76892/68729/207742/217069/19014/23989/65256/22031/108089/104836/217558/207304/94090/69792/66381/68497/238330/81003/71816/71991/26401/19720/214158/328234/218203/105193/218215/105239/76980/28077/50789/105689/72486/212085/22194/218793/93834/239083/66597/66854/380918/223455/30945/70790/106052/69790/75841/68501/56438/67118/66053/22195/70238/209200/207215/54483/17237/224170/208650/78913/22129/50873/224619/213753/22196/268933/56424/240055/58230/224703/19763/54197/79263/22670/19824/195359/224762/76497/224826/18140/20834/224938/12211/225055/225164/67664/56515/56550/56736/28105/320253/83814/240354/240396/225743/212163/50764/28000/207521/109910/109113/76073/226098/69104/12234/93679/76952/18011/74126/17248/67196/19821/26374/381305/226541/66799/76843/214854/381338/67702/329152/12021/381270/26554/14897/65247/22034/80985/228545/22222/70928/140629/24105/16396/68612/81018/66589/329581/22030/68975/227738/319817/72137/68795/22193/71861/56791/107986/229644/94093/66105/381485/20585/212114/19302/24017/20439/66949/80890/50754/70093/67845/381534/29864/76608/66743/67525/75234/67219/433766/12540/68350/66825/69116/50762/230903/230904/63958/242785/668173/76580/140499/107568/51813/74164/67615/73469/74735/109331/76072/192120/69807/242521/69587/231600/330171/117146/50849/231672/269695/80751/56715/215061/74198/384309/108086/75788/74132/140887/100763/59003/19822/70797/53323/16924/68098/55983/58186/67027/71779/101358/100502936/108098/232539/386611/22214/53621/21848/54484/26965/65255/387524/67138/73998/68477/22644/66510/74287/75212/20821/101700/94088/94094/667823/76681/319236/244183/20128/209387/55992/67150/19647/67711/233877/434246/381845/21849/22192/71007/272359/80794/233038/233040/50760/66394/77891/100040608/15204/22215/22652/108937/66894/234736/170737/68718/99375/77733/68867/244421/59009/72925/330812/20437/23802/67610/77853/22036/74153/84585/23807/636931/234959/213211/12402/140630/109161/23806/74165/93836/17999/11797/11796/70348/19823/59024/270627/19893/19820/71458/66889/59026/74264/20438/74365/22209/11798/70392/18744	372
GO:0019001	guanyl nucleotide binding	340/15333	387/28407	3.93555138890462e-47	5.63658415588673e-45	1.61564741228716e-45	67844/216344/215449/216439/19344/56422/103080/20224/69288/14687/76877/20509/14676/14672/28088/104303/71966/19345/103733/11858/80981/20624/11841/14674/58222/53860/170758/217371/19324/76784/13494/66628/15944/66397/20362/11749/216749/72046/16145/54396/11840/19416/13495/14919/57837/59040/276952/56427/18952/18103/18102/108083/217151/15519/212539/217869/11565/19325/11861/217378/11855/11845/73991/18080/80837/11852/217715/81003/67295/218639/56044/22151/73710/238463/68203/56795/19336/69635/73296/69237/320806/76108/11843/30877/14661/14528/140743/74551/219144/100503545/246710/26942/67042/19354/239555/24050/68708/66725/223881/11842/69159/22143/22142/22146/12265/14852/74006/18951/74143/224092/67657/66067/106393/56297/68146/17857/17858/328778/214952/224624/442827/19326/22154/14670/15516/56055/56738/271457/22153/106572/19328/57440/56298/23984/104215/72512/14680/67951/19330/80718/14682/14675/226043/56248/19091/110855/56350/76308/73707/56327/13660/109168/64143/226421/226422/68724/103967/11566/226861/19335/12790/226982/22145/320982/347722/19329/18000/77015/228543/98878/75869/56045/21817/18534/19334/14683/545486/13628/227613/227624/13429/68365/74194/75423/67059/241489/18176/11853/109905/14686/14679/242202/433653/229898/229900/55932/14468/14469/67414/19338/74012/28030/71619/54195/60596/53868/68328/18160/11639/69908/14579/54170/230737/242681/100210/12540/76166/170731/52187/24018/230073/66401/230103/59021/68441/236573/100702/634650/107999/77407/68080/23912/80885/209354/19384/74222/67286/14673/19353/68895/242851/213990/19744/74254/100972/207704/74734/231279/12788/68939/56412/52398/67166/213895/53857/381812/14228/14917/78600/232441/16653/11844/19331/317758/107526/231931/16205/317757/83408/67653/56451/20166/69834/19349/65967/20917/19346/207728/56212/66922/233870/54204/212508/15461/259300/232906/210145/210146/19342/20130/19428/233328/101592/72433/75985/56437/19332/22152/69581/19341/16337/52065/19339/70359/17274/75141/109136/14681/333329/270192/20818/14678/14685/331026/11848/235661/13430/235072/270160/53869/235442/11891/214763/13627/17532/331487/319642/19139/245650/237107/245670/56382/110639/19889/56526/19337/72065/26905/14853/26908	340
GO:0032561	guanyl ribonucleotide binding	340/15333	387/28407	3.93555138890462e-47	5.63658415588673e-45	1.61564741228716e-45	67844/216344/215449/216439/19344/56422/103080/20224/69288/14687/76877/20509/14676/14672/28088/104303/71966/19345/103733/11858/80981/20624/11841/14674/58222/53860/170758/217371/19324/76784/13494/66628/15944/66397/20362/11749/216749/72046/16145/54396/11840/19416/13495/14919/57837/59040/276952/56427/18952/18103/18102/108083/217151/15519/212539/217869/11565/19325/11861/217378/11855/11845/73991/18080/80837/11852/217715/81003/67295/218639/56044/22151/73710/238463/68203/56795/19336/69635/73296/69237/320806/76108/11843/30877/14661/14528/140743/74551/219144/100503545/246710/26942/67042/19354/239555/24050/68708/66725/223881/11842/69159/22143/22142/22146/12265/14852/74006/18951/74143/224092/67657/66067/106393/56297/68146/17857/17858/328778/214952/224624/442827/19326/22154/14670/15516/56055/56738/271457/22153/106572/19328/57440/56298/23984/104215/72512/14680/67951/19330/80718/14682/14675/226043/56248/19091/110855/56350/76308/73707/56327/13660/109168/64143/226421/226422/68724/103967/11566/226861/19335/12790/226982/22145/320982/347722/19329/18000/77015/228543/98878/75869/56045/21817/18534/19334/14683/545486/13628/227613/227624/13429/68365/74194/75423/67059/241489/18176/11853/109905/14686/14679/242202/433653/229898/229900/55932/14468/14469/67414/19338/74012/28030/71619/54195/60596/53868/68328/18160/11639/69908/14579/54170/230737/242681/100210/12540/76166/170731/52187/24018/230073/66401/230103/59021/68441/236573/100702/634650/107999/77407/68080/23912/80885/209354/19384/74222/67286/14673/19353/68895/242851/213990/19744/74254/100972/207704/74734/231279/12788/68939/56412/52398/67166/213895/53857/381812/14228/14917/78600/232441/16653/11844/19331/317758/107526/231931/16205/317757/83408/67653/56451/20166/69834/19349/65967/20917/19346/207728/56212/66922/233870/54204/212508/15461/259300/232906/210145/210146/19342/20130/19428/233328/101592/72433/75985/56437/19332/22152/69581/19341/16337/52065/19339/70359/17274/75141/109136/14681/333329/270192/20818/14678/14685/331026/11848/235661/13430/235072/270160/53869/235442/11891/214763/13627/17532/331487/319642/19139/245650/237107/245670/56382/110639/19889/56526/19337/72065/26905/14853/26908	340
GO:0051020	GTPase binding	303/15333	337/28407	5.30976519079785e-47	6.84428733093843e-45	1.96181850733689e-45	216363/74053/74694/73192/117600/67588/213783/171580/209462/19386/216190/56208/57778/18195/56699/260302/70450/11799/74370/103573/20742/66011/94176/76884/16568/192786/72729/16897/57785/13543/18643/11736/280408/17913/380714/216963/21927/268451/18053/16211/109181/217835/27277/15519/217866/76820/19878/238130/94186/208846/18755/263406/76582/20620/66482/14569/67046/56705/218210/76895/105148/73296/218397/544963/238799/105689/18996/70572/223254/105445/22330/142687/100504663/105504/75751/56187/57258/68813/65246/18826/56419/116838/223601/17988/104445/106039/27008/105835/19387/66725/22379/74006/66863/13544/78618/224105/20655/17356/212733/22084/215445/27756/72836/20405/71810/19765/240168/260409/19877/30948/13367/15183/17919/226089/69104/74055/20170/225870/213993/26403/104252/74998/67894/13660/226407/14270/226422/226432/329260/17970/29809/12663/98732/107508/74018/329165/19275/210293/75734/18582/77040/98402/623781/228550/69470/16558/74030/56488/67231/12048/16569/241770/110750/241275/18286/263803/70296/227743/66691/227800/227801/71409/98910/56508/50884/228359/228361/66641/109905/229707/214459/13722/109333/170822/19352/13605/404710/16800/57912/230584/230673/22608/242662/54170/100088/269589/110351/108911/170731/13806/74155/230972/14688/13542/52187/73205/66592/100213/12757/11303/67299/14020/22241/192232/52850/23790/26431/75665/19894/208628/80291/75695/56715/14693/231830/231858/19353/50907/277854/101314/110157/111173/19305/14695/11857/13860/320727/320560/12121/12389/320938/320127/109880/243725/11517/20166/52055/19349/78287/66508/19347/233726/74105/74204/233877/20909/330662/12176/14470/101497/320435/233103/245886/58804/243819/20430/75547/23991/29875/434204/233489/83671/18479/74334/68051/116733/11765/244654/54126/72325/104346/102058/75767/213027/17925/320795/18747/212999/208869/56289/54214/245049/74766/20660/235380/12306/17918/19417/11977/12662/54004/27359/237038/18481/14163/245670/382253/72404/75974/320634/192176/54411/14567	303
