ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030165	PDZ domain binding	19/749	121/28407	4.45852587565583e-10	3.49548428651417e-07	2.99425211438781e-07	238988/192167/107831/50766/11480/76089/238130/140887/70729/14799/23859/12704/74053/108073/268534/13527/67972/66797/99633	19
GO:0030695	GTPase regulator activity	29/749	429/28407	4.37008904362321e-06	0.00114204993673353	0.000978286599940915	234094/57257/109294/19417/223754/98910/240168/76089/545156/231532/210789/238130/50780/20563/231874/74055/50778/69601/94190/29815/13998/227801/71704/105445/50768/231207/68016/18795/69780	29
GO:0060589	nucleoside-triphosphatase regulator activity	29/749	429/28407	4.37008904362321e-06	0.00114204993673353	0.000978286599940915	234094/57257/109294/19417/223754/98910/240168/76089/545156/231532/210789/238130/50780/20563/231874/74055/50778/69601/94190/29815/13998/227801/71704/105445/50768/231207/68016/18795/69780	29
GO:0015459	potassium channel regulator activity	8/749	50/28407	4.53865240819542e-05	0.00889575872006302	0.00762015851691757	72413/80334/16526/13483/269109/70357/56461/109676	8
GO:0045296	cadherin binding	9/749	70/28407	9.07658351971093e-05	0.0116512768962527	0.00998055136923906	12386/11735/12488/18163/12563/19274/17075/19271/380924	9
GO:0005109	frizzled binding	7/749	42/28407	0.000104029258002257	0.0116512768962527	0.00998055136923906	216795/72780/26564/22421/22419/22418/93735	7
GO:0043548	phosphatidylinositol 3-kinase binding	7/749	42/28407	0.000104029258002257	0.0116512768962527	0.00998055136923906	21898/208994/13131/14360/69601/18708/14255	7
GO:0005201	extracellular matrix structural constituent	13/749	145/28407	0.000127647526589163	0.012509457605738	0.0107156739426166	320712/16773/56429/231470/94242/12950/373864/20563/73230/71355/50530/14119/19699	13
GO:0008143	poly(A) binding	6/749	33/28407	0.000198569690396067	0.0158995849189859	0.0136196766626114	15572/18459/67543/230721/110957/207181	6
GO:0050839	cell adhesion molecule binding	20/749	306/28407	0.000202800828048289	0.0158995849189859	0.0136196766626114	192167/23965/12386/18133/23966/11735/12488/16415/20315/109711/13731/18163/17470/12563/19274/225825/17075/19271/380924/13511	20
