ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-MMU-9012999	RHO GTPase cycle	371/7045	395/8582	1.77382609223431e-12	1.98136374502573e-09	1.54416229292398e-09	75089/242202/106628/208263/75547/71302/16709/232906/330914/54216/23943/110596/68428/56419/545156/218581/11858/226525/70361/69922/18706/330177/76088/67300/140579/24001/223435/170791/70804/17974/66508/69288/13830/544963/20662/26554/19647/57257/13367/19765/13726/75415/15516/59069/195727/66894/77006/11308/70598/19229/210293/50875/56381/14269/66898/14270/50884/268970/20462/11461/12848/70350/238130/241275/16443/19877/76983/16906/27360/109331/234094/56212/69993/18710/26891/98386/228359/208846/101565/15519/52428/12704/54126/74201/269523/19230/70497/72536/68202/22352/20947/22324/102098/78514/386649/17972/244895/213649/22319/232201/277360/18708/381293/68146/233071/72754/214804/259302/15239/94221/110279/236915/211499/328232/18709/73910/53382/233489/227377/19418/238505/12345/56699/11857/20868/12540/11856/29875/21763/67784/76117/22042/20844/20742/18844/11852/17973/16412/12389/269608/21927/105855/56374/83669/117600/74159/54411/75739/22637/12549/320634/268301/77480/228482/22379/16480/66146/16801/207425/108037/17063/94176/64652/18221/104252/71085/54004/20430/231532/71782/69710/217866/106952/104445/14784/12988/214230/17920/219140/233103/226751/19655/442801/54324/326618/75974/239027/230098/53817/13171/223254/224014/66087/70719/109294/68917/434204/14674/93840/107971/319899/226652/58996/51796/243362/232237/108100/14251/270163/19878/14787/22143/16800/12709/14609/216445/224105/11855/26934/269682/214345/17970/12539/19353/56324/11736/19354/327826/12461/20619/22284/213522/242687/19299/23912/68743/214137/109333/76884/67586/66922/246710/56784/20874/109934/26382/71409/207212/68813/225358/13605/260409/74734/107746/104215/223666/330662/56349/74018/94190/68653/320557/76626/71435/20663/21873/269061/263803/59079/11671/223870/105782/71703/23853/208994/236920/15369/227937/71544/329165/16818/11853/83397/237038/101497/108686/404710/17969/58220/76577/57778/68349/228543/71704/101314/244418/263406/216197/73341/210998/19349/13518/329366/50768/22325/69581/80837/19249/320795/58909/622434/108670/20355/16449/13058/52331/223881/71972/78816/233877/12468/74194/53332/59009/109711/544817/108699/27061/70584/18481/52666/75409/13836/99412/56384/56418/230972/106504/545481/244867/109904/15381/72565/14252/207495/73167/20401/216963/14163/229658/20166/213498/26403/13511/66251/245880/71228/26431/19285/11848/13057/11465/18806/109620/68187/71893/170758/76763/386750/223921/224480	371
R-MMU-983168	Antigen processing: Ubiquitination & Proteasome degradation	268/7045	285/8582	1.74138848641244e-09	8.04243375122228e-07	6.26781577746862e-07	74153/209239/74244/78913/67345/77113/65247/21762/56371/69754/19188/52206/230903/69706/17463/69807/50789/74646/76294/70247/26440/224938/26554/66997/19647/242785/19166/22192/22215/50762/75788/216150/228769/211007/93765/59026/22200/71865/66743/19822/208650/19820/67921/74132/50754/212919/14794/27401/19182/103583/19170/22019/15204/26446/207952/321006/70294/26442/50873/240028/117589/14897/224826/225055/28105/67490/230654/26445/268291/71538/106052/76580/22190/56515/66589/218203/56438/57296/22193/73998/53380/209462/77891/66440/320118/66413/76454/26443/226541/107568/67089/50492/56736/50760/70348/68612/22201/68098/20439/22123/217342/56424/140499/329152/67588/22186/387524/56791/30843/224170/66998/23996/12449/209200/69116/22210/19167/19185/52563/71393/67138/12702/22187/19177/70093/100763/18744/16396/94090/93836/19823/242521/67615/50868/59029/59008/16912/80751/140630/68854/30945/67128/78889/22213/19181/30838/12703/142688/71999/213311/69077/79263/218215/19179/23997/235439/21402/103554/207215/448987/66105/19192/22222/17999/71745/68729/72323/68497/23807/76375/68431/269514/218793/231672/66515/66799/65256/24105/227738/59044/231380/109161/22214/19175/67845/216080/101358/71778/269529/242960/226098/19171/230904/75717/69957/65255/17237/22209/170737/217232/231670/22346/19173/67923/98766/19172/232539/214931/56550/399566/67731/22036/67673/99152/22195/66772/66663/243574/53323/170823/17222/70620/380928/72194/233902/56317/70392/78541/70928/74154/211949/16913/81018/59009/78294/20437/117146/50788/73902/240396/19186/22194/104184/26965/233040/68628/83962/16924/67151/84585/30839/69010/76608/140629/142687/66313/636931/217194/328234/68999/94091/215061/109082/217217/19155/228003/117590/104836	268
R-MMU-195258	RHO GTPase Effectors	226/7045	238/8582	2.16000906478665e-09	8.04243375122228e-07	6.26781577746862e-07	19053/56443/16709/52696/223701/71876/108000/103468/72415/232987/56419/12237/12617/54401/51792/67052/53857/22630/17978/26413/108911/226849/544963/13367/56150/22631/74117/76707/11308/26931/226747/69736/66336/14270/59015/215280/229841/50884/20807/13427/11461/19387/233406/241275/19877/56212/66442/73804/234663/208846/52428/12704/68549/26932/320394/18753/18016/100043813/23988/17886/19386/17972/70385/381293/19052/12236/102920/12532/13589/228421/94221/66713/17931/13385/16885/22151/236930/12313/12385/66468/26951/66140/12540/67733/29875/83431/19046/11852/17973/26886/105855/16319/320271/12229/22379/445007/235661/67037/22146/26416/18221/225326/54004/20430/11867/18607/14784/238463/17120/22628/192176/18751/19047/72124/22627/22629/77579/73699/17283/234865/12314/69912/76499/12615/67629/80987/16573/18817/108100/12550/19878/14787/22143/22153/224105/69928/17970/18750/98932/66570/19353/19354/227613/242687/225849/22342/66934/109333/76884/20877/13424/71409/17904/74764/67951/68014/75669/20779/52504/104215/110379/12387/263803/14083/26417/13543/22142/13542/20202/76709/67938/22145/329165/11853/75786/67771/66977/237038/56430/404710/17969/73710/14026/57778/18472/68458/101314/13544/22152/18762/12235/68097/545486/320795/216965/71960/13058/16563/11835/56378/68089/19094/18481/16572/11350/103573/12315/72155/269966/76281/20166/245880/55948/208628/18643/11848/52276/13057/11465/71893/56455/60411/13426/18645/22147/224480	226
R-MMU-109582	Hemostasis	442/7045	492/8582	6.38012540351405e-07	0.00017816500189313	0.000138851676544898	242202/11818/19053/18441/22761/74769/239273/14682/109689/19088/97908/54216/56193/320127/16579/16401/241489/15353/16423/21803/18706/76088/22371/240334/74840/51792/53857/16439/17540/215449/26413/21824/226849/381290/19085/20720/14675/14360/20662/72461/30955/57257/271457/14683/23984/22631/16438/15081/110157/12527/80718/26931/14733/210293/11820/67988/12505/229841/18783/54368/20655/170731/234779/19363/20541/67972/238130/56541/260423/14700/16578/21346/17135/16416/16561/360198/16402/14062/14678/108101/108829/56212/56508/76192/73804/218454/18439/18710/70945/14673/216869/20737/14460/11804/20344/26932/14672/227333/18753/207728/100502766/54519/110197/20912/16822/18754/12419/228139/19073/22324/14205/14462/20909/18749/16414/217864/18708/19241/19052/15461/22330/67414/227612/228421/19156/20416/20340/14723/22151/78287/18709/14701/11600/14702/13590/22388/11640/12313/53313/12345/18761/109905/12491/14679/20399/12343/12540/12927/18747/14058/15170/223864/11551/14461/18022/15234/11852/16412/70839/433759/192285/16568/74145/22041/13645/27999/104418/217837/16136/17096/17319/231871/22146/94176/319151/56055/26416/16580/100163/20969/117586/20194/319149/16408/12928/16452/18607/14784/227290/238463/16923/14676/12988/18125/13449/14708/71946/110524/13660/80884/56744/18788/269152/19091/192176/240641/18751/18803/12523/16551/20911/75974/16565/104009/20343/73699/68732/11674/72017/68038/16554/15078/14674/12314/319899/104709/14069/16784/319150/23945/16573/19348/14709/21894/22143/14066/20963/21859/14707/56697/22153/67072/11651/20725/26367/26934/209737/109552/18750/70218/319148/75396/19246/19353/56248/19354/16331/227613/223601/15182/16797/18573/14064/225849/75050/16558/19247/18436/23921/74764/68813/20363/67951/12306/14724/20779/68117/14068/14127/330662/16000/18440/19395/16411/18755/19261/16069/67059/21788/319991/14083/26365/19128/66866/12506/26417/22341/18815/16569/14726/16570/11747/99982/56077/22142/11472/60595/320202/17075/14464/22145/67374/14465/16818/58217/110891/16410/269060/19222/71819/20971/22339/380921/242851/19152/22068/73710/14706/16149/14061/12842/319152/20970/83964/320207/14695/22152/19419/22325/18613/110033/16456/20692/19084/21687/545486/21767/12512/14696/751864/268936/16399/14071/12258/11937/19039/16563/18591/69524/18792/26968/14697/12759/13052/270152/11552/12843/109711/18406/11941/22762/27359/217480/26946/238055/16572/18574/14456/114714/286942/68891/259300/14191/11938/14688/11553/21808/18752/16653/18791/56760/66066/13139/17133/11537/109232/11625/14677/235505/18590/14693/243816/12315/22612/17289/50915/57440/19124/18585/16440/18126/381484/231602/18127/14268/94045/19123/11601/22365/320707/20339/11848/58992/18106/18793/11465/99571/11905/66082/22363/22065/108078/14067/11602/20255/22147/71660/13601/14065/20719/21390/21933	442
R-MMU-983169	Class I MHC mediated antigen processing & presentation	312/7045	342/8582	8.82087388936064e-07	0.000197058322688317	0.000153576056978974	74153/209239/74244/78913/67345/77113/65247/22320/21762/56371/69754/19188/52206/230903/21355/69706/17463/69807/50789/12330/74646/76294/70247/26440/224938/26554/66997/19647/242785/19166/22192/20334/22215/50762/75788/216150/228769/211007/93765/59026/22200/71865/66743/19822/208650/19820/67921/74132/50754/212919/14794/27401/19182/103583/19170/22019/15204/26446/207952/321006/70294/26442/50873/240028/12010/117589/14827/14897/224826/225055/28105/67490/230654/21356/26445/268291/71538/106052/76580/12317/22190/56515/66589/218203/56438/57296/17972/20909/22193/73998/22319/53380/209462/77891/66440/320118/66413/76454/26443/226541/107568/67089/50492/56736/12491/50760/70348/80898/68612/22201/68098/20439/22123/217342/56424/140499/329152/67588/22186/387524/56791/30843/224170/69608/66998/23996/17533/20333/12449/209200/69116/22210/19167/19185/52563/71393/16419/67138/12702/22187/19177/70093/100763/18744/16396/94090/93836/19823/242521/67615/50868/59029/59008/16912/80751/140630/68854/30945/67128/78889/22213/19181/30838/14129/12703/142688/71999/17970/213311/69077/79263/218215/19179/20619/23997/14972/218811/235439/21402/103554/207215/448987/66105/19192/22222/17999/15039/71745/68729/72323/68497/23807/76375/68431/269514/218793/231672/66515/66799/65256/110379/24105/227738/59044/231380/109161/22214/19175/67845/216080/101358/71778/269529/242960/99683/226098/19171/230904/75717/69957/65255/17237/22209/170737/15040/217232/231670/22346/16410/19173/67923/98766/19172/232539/17969/214931/56550/399566/77371/67731/22036/67673/99152/22195/66772/66663/243574/15006/53323/170823/17222/70620/380928/72194/233902/56317/70392/78541/70928/74154/399549/14991/13058/211949/16913/81018/59009/78294/20437/27061/17534/117146/66397/50788/73902/240396/19186/22194/104184/240095/26965/233040/68628/83962/16924/67151/84585/30839/69010/76608/140629/246278/142687/69162/66313/636931/217194/328234/68999/94091/215061/109082/224761/217217/13057/19155/228003/117590/14985/104836/667977/14828	312
R-MMU-2555396	Mitotic Metaphase and Anaphase	204/7045	219/8582	1.42943184968572e-06	0.000227782907427942	0.00017752105210659	19053/67141/69482/52696/71876/108000/103468/72415/232987/12237/12617/21762/72787/69922/19188/52206/17463/68953/75430/51792/67052/53857/170791/108911/22367/226849/70247/26440/66997/56150/19166/13726/228769/76707/71955/26931/12534/13006/226747/69736/66336/59015/229841/52717/19182/13427/19170/170762/19357/105513/19387/26446/16906/26442/66442/73804/234663/98386/22196/68549/16905/105988/26445/26932/320394/100043813/23825/22190/19386/57296/100710/70385/53380/218914/19052/77891/66440/12236/102920/13589/228421/66413/22151/236930/26443/71805/20842/67089/66468/26951/66140/68612/67733/268697/83431/22123/26886/16319/75608/22186/50850/445007/235661/30939/66998/67037/23996/22146/18221/68942/19167/71782/19185/52563/238463/16211/17120/22187/19177/24061/19047/72124/116733/73699/59029/59008/16912/22218/234865/69912/76499/12615/67629/18817/20843/22143/19181/22153/19384/69928/71978/69077/66570/19179/227613/100088/23997/225849/66934/20877/103554/19192/13424/67951/68014/52504/67849/110379/19175/216080/319965/66700/22142/19171/69957/217232/22145/75786/19173/66977/56430/19172/73710/208092/18472/99152/22152/12235/68097/17222/545486/56317/70315/216965/16563/12442/16913/78294/73902/19186/22194/107939/67151/103573/72155/269966/68999/208628/66371/52276/56455/60411/13426/22147	204
R-MMU-1280215	Cytokine Signaling in Immune system	402/7045	447/8582	1.58275638361264e-06	0.000227782907427942	0.00017752105210659	23992/19053/74153/18033/20617/18148/74769/26400/97908/15962/73086/21942/21938/15979/100037258/102626/18035/230861/16193/14256/235584/21762/18706/19188/266632/15481/56468/17463/24015/51792/53857/56484/12330/26413/226849/70247/26440/22608/11909/14360/22059/20662/66997/384783/14255/19166/22192/22631/68652/108058/228769/26399/93765/24014/22200/110651/110157/19229/12534/20491/11797/16878/11820/26406/23806/66724/15975/19182/12929/67603/103583/19170/53859/26409/15289/67513/26446/12912/260423/360198/26442/19271/18710/20586/12367/15512/20112/26445/12576/16154/19698/18753/23939/60504/230396/228607/20203/20848/14783/16180/22324/22190/66589/56438/20908/16157/57296/20909/237211/16476/22164/16151/12370/67030/18034/22030/16880/18708/53380/19052/20892/15461/14281/16391/13690/14087/20416/67245/15511/66413/22151/11652/109658/27279/18709/21682/26397/17444/217069/26443/24099/93871/67089/54721/104806/80750/72775/26420/20399/13684/18747/15170/286940/14088/22123/17973/18383/17164/22186/19043/66892/16177/16176/13607/15482/56791/23797/17096/26987/66998/20111/23996/22146/319151/16197/26416/16184/20849/19167/18412/20969/16195/19185/319149/21936/12928/16452/14784/238463/16211/13211/101568/12702/20852/16923/12988/108960/22187/19177/270151/20850/192656/18036/67781/18803/20911/19823/13035/100040608/59025/240873/73699/59029/16912/237313/22218/16150/15976/50930/230979/319150/13681/15980/54607/223664/213208/22143/20963/19181/15978/83430/12703/15977/22153/101831/22031/11651/26419/69928/208643/69077/319148/19246/20614/19179/16331/227613/23997/434341/77799/26398/211948/19255/12978/21402/17762/26410/103554/16175/16190/66105/231130/19192/16367/16168/19247/14600/56480/56417/17999/21941/67951/12983/19106/16198/107746/21950/319520/56469/73914/53603/16194/20663/22034/21926/21937/18707/20851/12362/16164/19175/12323/26417/216080/326623/245527/60534/22142/16169/13682/57916/19171/16162/75717/71966/11908/211550/242700/22145/16818/19116/24110/72349/19173/16189/67923/18414/19172/73710/21949/56550/16170/319152/67673/50931/16192/12977/230828/22152/17000/12325/54473/77125/545486/12402/107607/21948/242517/21944/17874/15162/330496/17858/93834/16179/16913/16201/11796/16178/246779/66369/12322/20698/21934/218624/16161/78294/16199/19094/73902/19186/22194/26965/13019/16181/17082/107527/76527/16653/215274/69146/67151/18413/15974/22612/14599/66513/16332/209590/112419/19697/21947/21939/12504/192170/16994/216233/60505/12985/21943/338374/72049/71885/12804/19283/12981/230073/21940/76399/22147/56208/13608	402
R-MMU-68882	Mitotic Anaphase	203/7045	218/8582	1.63139056349466e-06	0.000227782907427942	0.00017752105210659	19053/69482/52696/71876/108000/103468/72415/232987/12237/12617/21762/72787/69922/19188/52206/17463/68953/75430/51792/67052/53857/170791/108911/22367/226849/70247/26440/66997/56150/19166/13726/228769/76707/71955/26931/12534/13006/226747/69736/66336/59015/229841/52717/19182/13427/19170/170762/19357/105513/19387/26446/16906/26442/66442/73804/234663/98386/22196/68549/16905/105988/26445/26932/320394/100043813/23825/22190/19386/57296/100710/70385/53380/218914/19052/77891/66440/12236/102920/13589/228421/66413/22151/236930/26443/71805/20842/67089/66468/26951/66140/68612/67733/268697/83431/22123/26886/16319/75608/22186/50850/445007/235661/30939/66998/67037/23996/22146/18221/68942/19167/71782/19185/52563/238463/16211/17120/22187/19177/24061/19047/72124/116733/73699/59029/59008/16912/22218/234865/69912/76499/12615/67629/18817/20843/22143/19181/22153/19384/69928/71978/69077/66570/19179/227613/100088/23997/225849/66934/20877/103554/19192/13424/67951/68014/52504/67849/110379/19175/216080/319965/66700/22142/19171/69957/217232/22145/75786/19173/66977/56430/19172/73710/208092/18472/99152/22152/12235/68097/17222/545486/56317/70315/216965/16563/12442/16913/78294/73902/19186/22194/107939/67151/103573/72155/269966/68999/208628/66371/52276/56455/60411/13426/22147	203
R-MMU-9006925	Intracellular signaling by second messengers	236/7045	256/8582	2.32755477705465e-06	0.000245844561008622	0.000191597278381124	11515/11513/19053/74769/19088/14256/21762/18706/19188/54383/266632/17463/18717/51792/14173/56717/18718/56484/116871/12371/26413/66508/245688/226849/70247/19085/26440/14360/66997/384783/14255/19646/19166/268980/228769/229542/66894/26931/14056/19182/19170/13982/26446/12912/75778/26442/54170/56212/18710/245670/234366/26445/19744/16337/26932/12576/16590/18753/18754/207565/16180/22324/22190/57296/14164/18749/13001/18708/53380/19052/66413/11652/54167/18709/83409/68441/26443/78757/13626/19720/12313/67089/15370/18747/23942/18720/22123/15234/56424/433759/107932/22186/21951/13645/14388/23797/66998/17246/329934/23996/98432/19167/19185/244650/12519/18607/14784/22187/56692/19177/11512/216848/13619/14302/18575/268706/18596/66096/73699/211323/19211/227743/109294/59029/16912/12314/11798/14013/18719/56716/19821/241915/19181/55984/30951/11651/29871/20393/18750/14177/69077/19353/19354/327826/19179/52615/23997/15182/18573/225849/54601/103554/68576/68031/19192/16367/19247/17999/12524/67605/20779/117150/13983/83490/14182/252870/22034/18707/15937/14165/19175/26417/14186/56458/19171/12575/12151/16818/110355/18854/19173/109270/104110/19172/12416/13869/73162/228775/12418/19084/11514/77125/74493/21802/17311/17874/71920/16334/12487/14180/494448/16179/18591/16913/13867/78294/16591/73902/18574/19186/14172/13000/58988/19763/17082/12995/18752/99377/67112/67151/14175/108083/12223/18590/15200/12315/14170/224129/18595/52187/11839/104111/12478/14183/14171/14178	236
R-MMU-8953897	Cellular responses to stimuli	398/7045	443/8582	2.34677885695417e-06	0.000245844561008622	0.000191597278381124	18024/17748/108989/233016/26400/69482/66403/21898/17684/66679/56637/69654/103468/102626/72416/21762/54563/72787/11920/11757/23871/101148/56371/12567/110920/12447/19188/15481/52206/17463/75430/12013/67669/22166/104248/53857/15505/56717/17978/26413/66508/245688/70247/26440/22059/26554/66997/270802/170644/12017/19646/19166/71844/14957/108058/228769/26399/20466/59035/15516/110651/80838/69736/17535/72630/14056/59015/12571/26462/52717/20463/27401/19182/20655/13427/19170/170762/12359/98402/116940/26446/269113/16906/17135/26442/12448/54170/13627/21372/665113/101142/12857/234663/66359/245670/14815/15519/15512/15368/20112/18477/26445/19744/231430/12576/110323/23939/26905/269523/329679/17992/11984/14950/11973/11972/22190/56438/19386/57296/17972/16476/11758/17087/53380/77891/66440/14281/26921/15511/252875/226641/29810/66413/22151/11652/68196/20602/15502/83409/66144/26397/218210/68441/26443/71805/81004/13626/13191/15251/18141/68033/11966/67089/12345/78943/26420/12343/68612/17248/67443/56351/14775/22123/230784/231042/242341/229003/17164/17250/50493/22186/71962/445007/112407/109778/15482/54130/227720/23797/235661/66998/77128/17246/20111/23996/22146/14228/26416/53598/19167/18412/12428/19185/52563/11863/238463/12867/22187/18415/56692/19177/12868/109151/76650/112406/216742/19645/19069/72124/22627/268706/66335/66096/14229/50868/216850/75560/59029/59008/16912/20181/234865/140742/69912/27354/23950/56716/15361/66237/13666/11964/224111/52892/22143/67204/19181/217365/277854/26408/22153/56444/11651/66290/26419/17977/17970/69077/15183/17168/70207/21672/19179/227613/52615/23997/67665/26398/23872/81489/12566/270669/80909/22428/21402/103554/68576/20467/66105/19192/13424/17750/29806/67951/108664/71745/50932/56453/338375/67605/230676/15260/110379/13819/50527/101488143/18759/27060/19175/12323/26417/12858/216080/319594/114143/22142/56032/15364/19171/69957/66142/319481/93759/15369/328572/217232/12575/22145/15526/111241/22346/268933/19173/67923/81601/56445/216805/19172/19013/17969/73710/14782/12460/20657/77683/56550/19014/12579/67673/99152/68275/74915/68350/22152/12325/56551/50758/20656/58233/68097/17222/545486/213539/56317/50497/11974/53417/13058/66272/14958/16913/11835/12861/14870/12322/78294/19094/238055/17751/73902/19186/22194/12608/66993/13063/73834/26965/112405/110147/16475/107939/67384/56760/67151/103573/110935/66401/14778/18667/269966/52187/75512/52466/68999/76252/14780/80888/13057/69590/108079/73442/17165/70369/56455/13426/22147/223921/22791/14828	398
