ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0044772	mitotic cell cycle phase transition	411/15700	454/28891	2.03955851933954e-64	1.3244893024591e-60	1.92362571929287e-61	17120/19192/24100/52004/19363/80280/194655/70127/11920/75430/240665/68612/12532/19708/56190/12449/18032/67849/19891/68964/12144/22059/381293/116871/381921/239985/20466/18763/12189/20877/104394/76464/19188/231600/11461/19052/12192/56371/69754/66214/105513/68142/69917/67991/75608/13194/53892/66591/68592/67941/68067/107976/12054/67141/12236/26951/12531/21423/229776/52563/59008/22680/67857/12442/382985/12428/227331/77011/93760/12452/219103/56456/330216/56469/208768/53869/52206/216965/12445/208643/23834/234736/68251/76843/67629/12704/67628/99375/76454/12576/16319/12447/231803/108000/56317/328440/71375/68014/12453/68431/20460/229543/19360/12313/269582/14056/70385/268697/13555/18647/15586/75826/12235/330177/234069/20588/53317/12571/18392/12572/118454/218793/214498/108989/11789/77891/235661/11799/26931/319651/27401/15902/100088/83560/54601/12013/12034/17246/116733/14235/20586/56150/66923/12193/12314/30949/66209/224023/63955/12315/14841/71276/18767/67121/18761/107047/70799/74370/78832/13872/19645/50523/57913/18671/68077/56453/109019/13871/19357/11820/237459/67052/387219/59126/69957/66197/72772/18027/52696/11491/66671/12545/108058/12914/12530/18514/18973/13684/12568/57261/12448/320595/18854/16323/18817/12055/12325/114714/12237/404710/228361/70891/226026/16906/26992/66442/229841/17222/72290/20104/19941/68094/20133/28036/12795/12566/18028/12298/16600/50883/116748/17283/11504/329152/208583/13557/12534/72400/72611/380694/16412/11792/22591/77044/13383/70681/52468/19211/237877/17257/18018/57376/72776/22137/13205/83797/12580/19650/76707/13860/19054/24075/21987/54394/68953/20620/17535/108911/12122/68193/19055/12021/12567/52679/12444/18669/269424/67155/67153/66991/217232/26554/448987/66977/238555/18555/22209/104418/11477/12450/81702/227292/106795/68034/83383/21803/16798/225182/16952/12322/72508/52276/50850/319195/209334/21335/18557/14199/319944/27375/15574/20184/233805/12366/59046/74268/235559/72057/69188/50927/70601/71007/27214/15170/69681/105837/56696/29861/270201/12043/244281/18715/218630/17869/50875/107995/381534/246735/19651/228714/17863/218294/67974/13649/60364/12443/238271/214444/18795/21752/79263/13924/723951/20479/72584/209091/76499/74996/14726/17420/73866/75770/67045/327799/20135/270669/723950/12649/13685/225131/19090/18764/216190/67655/15904/50496/54451/26427/12427/69274/12323/22687/77035/22410/30963/107771/59036/57775/12905/77045/387218/93695/12577/237256/12578/15512/17193/271697/69581/99152/75604/26380/11479/20555/15937/14165/74335/18214/16493/636931/68501/110957/208628/17829/66993/235041/12575/72993/19684/268709/11651	411
GO:0072594	establishment of protein localization to organelle	407/15700	452/28891	3.62953878304084e-62	1.17851124285336e-58	1.71161407873926e-59	18708/15239/66437/17713/11632/22378/445007/16211/22084/330192/228607/11983/56495/12177/74504/15275/11909/11776/77938/68051/16647/103468/15587/16905/22059/26416/12189/235442/22631/19014/224727/17155/12491/214585/12257/19069/20335/100494/69754/68818/27057/69917/56428/13207/12465/75608/497652/56417/110750/100504663/69723/216853/68943/107305/18141/227720/668173/64209/57743/50754/29810/22433/65098/212999/238799/16452/27058/230895/230673/218210/67604/66306/12953/20848/56208/271564/12631/53869/66525/170770/75387/53421/71983/70769/66069/58231/245944/68653/68729/19325/12468/66384/230908/71735/18412/21855/15568/72265/54396/66169/20813/71844/54673/98732/15525/224008/30059/17714/19225/13198/105782/260302/18969/28084/65969/26413/14828/17999/76582/71805/16145/30056/67669/108989/12461/328572/20818/69089/15183/12469/26356/18709/245474/217337/381686/12034/70790/75734/116733/21854/12051/226407/67145/93757/240614/234865/66914/56462/57785/18767/18761/70572/56322/66810/13605/19349/233726/69019/20787/21849/15277/66725/26926/230738/58801/16648/18854/28185/19164/11781/67437/19298/21937/70891/52551/19259/15519/19386/66233/11426/16480/16650/21454/19305/15944/231430/140740/108705/18128/69276/105787/56794/270096/234549/13557/12534/75311/16792/26914/16649/101185/56274/16543/71175/56338/433693/15481/12122/66449/622675/74043/606496/641376/75266/19055/16154/223696/20660/66541/21856/53600/16783/12300/74203/170731/14634/18633/320938/13858/223513/103737/381038/225326/214854/12492/104831/20963/192193/20473/227738/209018/12190/21803/67952/73078/14545/56273/27681/72565/11600/72129/16867/69482/140723/110379/74718/12466/380918/16193/12464/227699/13853/70160/240055/19384/12759/66212/66865/11865/224824/66821/103213/11774/15163/58194/20472/18753/195236/320528/29867/15516/54376/21749/14180/12028/19260/106042/22284/19302/56535/20844/18634/18035/69923/432486/81905/20661/108672/110862/15978/81896/17472/66887/320727/75788/218699/11815/14275/170829/76161/385493/21929/15510/19058/269113/15378/269966/58869/107939/21752/83946/18769/66661/72836/226432/22088/70297/15502/68512/12550/14725/30058/22218/218035/52838/66148/194309/72930/18226/17762/27061/67890/56330/218544/12159/52348/664799/213990/216190/229801/17986/11609/70261/17113/218441/21687/22687/75471/20191/20423/18760/69934/74257/67749/381716/242274/22771/76219/16784/56044/75219/67713/16536/76687/18015/13663/72825/67384/170762/12578/27643/78688/75751/241639/12402/68299/81904/230500/75669/192176/11640/319757/13488/71382/19335/11606/279706/76976/12575/72993/77125/404634/70478/67105/71446/11651/238276	407
GO:0022411	cellular component disassembly	414/15700	462/28891	9.1726876538196e-62	1.98558112079682e-58	2.88376425888504e-59	11555/18708/21916/232227/329015/276770/216781/13040/66437/56422/319162/80280/13631/20741/93739/22003/13838/226419/54712/225115/194401/11983/12177/54636/54194/13423/74747/21973/52639/22059/235040/83431/230674/225845/22241/227298/74781/24015/109242/12257/108124/232341/14232/69754/270086/66853/105513/23991/18627/75608/16001/81601/227634/108853/13191/225363/100504663/72119/16765/68943/67443/13829/50754/21405/74187/71648/76055/74392/230895/20739/269523/93760/73804/50873/56208/20615/12631/216965/20742/70218/94178/320827/23830/17318/102058/75909/21968/245944/19704/18472/69408/15194/228421/18412/100502841/56486/54396/66169/59026/65019/65973/12313/12305/16801/208691/78246/104015/12343/14296/20588/67846/56215/16145/11789/235072/105083/77573/66826/66840/12034/67886/77006/12421/18826/116733/67379/20586/22320/66155/56637/66270/68572/57436/74244/16578/17957/68732/12484/320806/234852/245860/257632/22367/246103/56085/12611/16593/63873/11938/67998/68041/20787/15277/15451/194952/26926/14186/12568/212307/15550/18817/23871/227753/66615/74374/228361/76709/99512/78428/67727/14248/107338/320878/11845/11519/14086/80877/12345/78926/11740/67871/68094/19305/27360/114741/18003/15944/99412/19230/56193/75452/12795/21812/380842/210356/231580/12752/68184/105787/13010/12660/29869/271221/12340/12534/20405/16412/80986/209815/77044/18195/67588/14251/65970/57376/67064/72512/208092/83797/108155/17754/76707/72650/209131/11783/13860/16573/20947/15481/68953/13805/15251/16865/269275/606496/78610/14089/244962/16337/319801/20833/13043/224432/170731/11739/67006/211323/11472/106583/94232/16409/20583/22388/381038/11793/225326/22333/106064/78798/13051/13482/20259/18815/208194/76561/71893/64704/20393/56273/211253/66361/171580/77987/18706/14852/16193/68942/50850/67841/53972/17756/17758/11848/12632/70997/14026/14489/70381/27412/320528/20356/12332/268396/66643/12028/12539/72685/54723/20401/106042/14168/108079/66663/74006/269254/17869/13368/23999/17755/50875/260315/73914/76959/280411/14063/19888/26921/80743/68350/75788/51800/56629/67526/20408/269514/12176/66734/14853/380969/13347/17281/11520/23794/71742/22351/20257/20479/16800/72018/76499/14726/13421/20595/100756/66454/320502/21926/29877/20404/17997/67890/51897/14466/23805/69697/66747/73470/237891/15499/76366/17386/21808/77057/100502698/110380/16009/67490/107771/68995/12259/26903/226519/20740/16784/56640/21809/546144/12578/15512/192119/230709/213556/56471/75669/11518/229534/15185/12260/30060/213948/18214/234695/26918/270058/57028/22349/12344/56431/30800/66993/217207/14464/73472/210933/23829/72349/286942/66905/235130/12262/19684/238276/13035/73420	414
GO:0031400	negative regulation of protein modification process	421/15700	473/28891	8.95489939083881e-61	1.45382791610268e-57	2.11147101426094e-58	15353/12593/19062/109689/192231/80280/17872/20617/19271/70012/19088/108837/75296/22084/18016/56812/110854/15357/97541/22210/15587/14869/108954/69847/21770/14678/12189/27050/11461/18115/12257/232341/14232/69754/12017/56310/100037258/226591/23991/381290/18627/19165/17973/56417/233328/100504663/211329/67141/71890/80985/13829/21405/76055/66801/12953/50873/217039/19252/235584/70769/208643/52065/208650/56334/12576/19735/67603/19122/67605/230908/18412/22258/14154/66861/52023/225884/320365/65019/56717/57320/217124/71059/15525/13163/268697/20677/100503670/75826/19877/69237/28135/28084/19084/14381/213539/12929/12367/57741/72828/108099/13542/19246/11789/225896/63953/108900/17295/52615/14629/23980/68917/16210/20115/56150/69601/56637/237107/66914/70834/54401/103844/68045/16476/19264/18767/67121/13197/19645/19017/50523/18148/23790/16413/228852/12018/387219/18768/67742/20541/216805/57321/66725/79566/56715/230738/12568/74019/18817/19164/117198/26936/320472/17974/110355/71974/19259/19878/229007/22185/105352/93759/170719/18605/671535/66787/66867/110524/23882/15242/12335/20459/11538/74769/230126/67025/19255/20563/63913/238871/105787/19060/17283/69216/19720/216869/22627/72400/18810/50918/26914/224617/105855/19249/211770/52468/19211/14694/52033/97064/208092/114716/108155/67916/11540/12580/16885/106504/20947/24064/114715/13805/17096/20354/15234/51791/78388/215653/24063/14682/12703/12389/268373/16337/18754/20660/107831/73205/13167/100336/70686/100038882/18230/14728/93742/22436/69726/11793/94245/19023/77446/232854/12156/227292/16176/24066/17131/83383/21803/547253/66259/97998/16798/64384/11600/18755/98496/171580/74521/19085/20821/19277/52840/80750/232431/16193/26904/14360/13853/14586/20319/76469/12387/16974/107895/18546/233805/19263/59046/54725/76571/72446/66971/269016/18753/14870/209200/16150/57438/229615/328660/18519/15170/217303/12028/18750/19260/215748/18762/108079/209743/80794/24056/22223/73914/19281/76497/19016/15978/17472/237523/16202/19261/19087/18508/19697/21929/56013/13844/15378/11816/214444/240754/333433/16000/18769/11441/15507/22088/406217/18260/18213/12702/15502/18613/75141/21926/227733/18125/327799/26365/12328/20377/11350/20404/18226/17762/18518/64144/12952/12391/14466/18205/19090/320795/56401/231474/12070/19049/15182/74155/72114/13405/69274/11819/66824/16362/56513/103136/16009/56468/68082/20730/67490/76857/66277/16183/72948/13380/26903/20648/14727/15259/21838/228775/16173/18786/18015/16332/387218/14114/64383/70315/244923/53626/12577/235505/12578/12402/20555/260299/110532/66917/73047/68606/13492/66915/11640/12061/230899/546049/13488/56693/11606/18752/19716/72349/12575/20597/17171/11651/24074	421
GO:0030099	myeloid cell differentiation	425/15700	480/28891	8.27276492068005e-60	1.07446670789792e-56	1.56050470924828e-57	13828/15129/12398/16909/22761/11733/18708/100900/241525/216781/110794/223690/242687/102791/56199/19746/18023/20514/80280/15122/18174/27419/226419/107817/217127/11656/56484/70026/22042/15467/13856/12349/11983/387162/16331/11757/12183/18032/13423/66193/20679/17260/18771/26416/238247/22083/54368/14151/59003/14462/19014/14582/12192/16969/66154/23991/67017/54624/20533/26934/19165/56417/13132/14460/233328/98386/26379/16596/216161/29809/17886/21423/12394/54411/13829/50754/208638/16452/70564/20687/20848/22228/14218/20807/109801/68235/16825/52065/16795/15977/12675/21898/99375/245944/18472/18718/217864/107173/56717/20085/50794/19743/227377/14381/12571/67773/212937/12367/69656/14815/72828/214498/11789/328572/22034/66317/209446/17268/77573/16418/15902/230721/229323/20586/233904/53621/56637/14309/21349/21399/16476/14683/387164/74370/19645/16889/226844/12053/20044/17684/12611/57259/13871/107371/14118/18383/11820/18129/99982/108655/65113/16590/29813/227358/19229/17132/19247/18854/16323/230257/19164/23871/20302/233405/16598/15289/16168/20846/15469/12912/16842/100038909/20375/93759/18605/234515/78926/11740/14628/20104/12400/15242/16449/98366/16364/20185/18003/19255/70080/83924/214133/381319/224792/399568/22778/234549/15354/14247/105855/67588/211770/70747/18018/12010/21934/104416/11308/246746/21813/22177/17096/15251/16477/74481/215653/20683/19055/235627/14281/12703/72147/21873/71982/14284/20851/56406/13819/100038882/13386/21847/244349/14728/16409/17342/22388/17874/17311/70673/216820/19411/19664/12606/237339/12156/20259/16658/21803/93675/14461/17129/21833/22041/620235/223870/53314/102466649/18102/18726/320910/320404/97165/17082/18725/12387/12608/16535/19824/17480/11480/19401/18996/16149/76044/24088/11774/20779/15163/16160/64602/216984/97086/19766/69188/56792/12978/630146/27220/229615/15170/100201/26564/18750/13637/17089/56760/57816/723848/12768/235497/18081/66663/18035/18089/17869/12633/12520/545486/50875/19698/16191/15526/20850/17863/16923/19016/15978/14063/317757/23845/20308/22695/11655/227326/210710/109711/18733/12985/14389/170826/83408/19152/18795/19659/68027/20480/12986/80752/22038/13836/12775/14734/226421/14104/15900/15404/21943/22339/14723/17536/16878/272382/12977/21926/107829/235320/14102/20535/26365/16416/14057/20377/15405/12326/67087/224109/16420/321019/74511/238377/12159/14466/19090/15499/21814/12311/17000/56492/17986/67050/18722/75766/16948/319653/223770/22402/18729/12370/76527/101488212/67490/16171/27060/78249/107771/232790/14727/14082/18015/93686/70809/387231/12577/235505/14159/117149/11479/16187/192176/11518/18997/229700/21930/17189/12981/18103/75302/15361/14308/15416/21832/13388/16189/12262/14127/77125	425
GO:0001667	ameboidal-type cell migration	415/15700	471/28891	4.68909306738495e-57	5.07516172993297e-54	7.37092524276651e-55	232227/14775/14645/192197/242687/20352/12215/19245/22084/55982/72674/67338/13001/11826/18024/15587/18607/12767/17260/100169/11947/26397/14462/71371/58233/66214/83409/23991/381290/15368/269608/30955/17886/12339/56753/18720/68465/13829/18710/50754/12317/16401/12540/14673/20807/12631/53869/60595/68750/21907/18472/69683/19353/332397/68743/20130/56717/13590/214968/15586/19877/19225/384783/243362/23942/12261/11789/171207/63953/13655/68585/26941/17295/18709/20360/52392/27494/319939/22682/67903/69601/239528/109333/380664/16476/101489/234779/18119/13197/20358/56233/23790/16413/54357/20397/72461/70839/18187/108655/18707/13616/11491/20541/16590/70097/74117/19015/73230/16776/23789/230738/338366/19229/19303/19247/212307/18854/14824/11852/23871/20671/13642/384009/15289/75723/19878/11502/11845/11426/16480/93759/20778/13036/74769/14314/21812/18128/11857/12752/53618/20563/16600/11749/108151/22341/16542/69216/24136/19141/66313/12822/16412/18810/18741/20347/22346/20355/19211/72007/17257/12331/13618/13645/67916/13731/30953/76707/66864/50525/114715/21813/20620/108911/15251/20354/21961/269275/22122/14083/20683/11946/14089/18754/19274/107831/74144/14158/54132/20971/16410/20583/23797/19876/17311/13641/16398/23938/15370/11477/22411/78560/104831/14173/13482/18815/21803/14751/14461/18188/70445/14119/11600/20315/11541/16952/18606/16367/101540/14181/15116/56048/20855/19270/14182/79221/20348/238328/13614/11848/241324/71093/16974/11818/18438/15200/29875/74030/72446/56218/263803/20779/14026/50884/18133/107321/14268/17128/20356/20317/52014/328949/16414/79264/18750/12554/20401/19279/18481/18803/11482/107351/18479/269878/12162/13615/12562/230917/20850/12458/16973/15117/19016/68813/26406/15978/26921/12721/18643/16392/16202/723924/14275/11806/18508/101401/17286/17395/12512/14389/13869/11816/330662/20346/56332/16000/12165/14472/18186/11745/109254/20359/15507/80903/13836/56426/76499/229096/22339/18704/18613/71709/22160/67784/14164/21926/18127/21333/18591/26365/16416/13617/240185/11350/73139/19130/20349/24111/20351/226352/320924/12159/11881/100038489/76905/231858/22418/18858/320795/216190/21814/20357/20613/20202/16415/73608/18645/11819/20997/21667/21687/21808/13078/14257/20423/18570/18760/22421/21418/11475/20353/20684/21983/11855/94352/80837/18935/21825/21336/628324/20361/20692/18015/67384/14234/18505/19713/16666/192119/241639/64074/11601/192897/11479/109880/107586/12168/11684/14165/15185/68606/18214/14175/20681/24071/319757/22349/319480/14172/83397/21390/105844/235041/11606/21380/68328/16189/72993/21939/17292/12558/11651/16400/57260/13846/16421	415
GO:0051098	regulation of binding	366/15700	405/28891	5.59137195915525e-57	5.1871956432506e-54	7.53363800812497e-55	11555/22761/67238/269587/18005/109689/12928/13838/13728/224647/13589/228607/56812/56424/12144/224860/18441/18763/20877/59035/14462/11461/16976/218914/13667/16969/68188/208266/18627/497652/19165/15368/13132/14460/102122/18193/193385/16765/71890/278507/67443/50754/55944/16452/67177/20739/16401/12540/15387/215243/50873/20615/74318/208643/16795/98053/208650/56334/58231/21898/208727/21844/231803/18979/74256/217356/209354/57320/12313/15525/56541/13555/98415/67459/75826/19877/13198/69237/100017/213539/18793/268970/72828/11603/20481/328572/68911/53422/22034/59022/23988/17295/15902/83560/244694/170822/77006/50755/68010/319939/20586/66743/56637/237107/16476/66603/74585/19645/227120/75613/11804/16413/242466/13871/11938/13211/11820/76089/99982/20194/21849/17191/54562/20610/21665/66725/26417/74117/12395/97112/12568/74019/57261/15257/18817/19164/107182/19298/15289/22166/67933/66573/64143/76500/21416/16842/17127/11519/93759/56291/28036/11538/16364/12064/99412/67025/21812/17169/15213/18028/16600/13017/13848/216869/72400/29816/18741/56274/69028/18821/17257/14251/14694/12010/72512/17305/13645/245000/24075/15925/14339/20620/19055/109552/12389/20660/245522/73205/14265/93687/16971/13665/170731/19719/15364/13806/110213/211286/216820/15258/16398/94245/223864/12156/107975/266692/83383/21803/15205/192656/56273/17126/11600/15110/20821/16870/67819/18102/94088/19053/14526/97165/12387/19384/67704/227737/17756/244667/19401/18996/53313/11352/21951/20779/75687/69563/17128/209200/17300/68040/434784/15516/68528/23802/26419/18519/12028/79264/54723/16341/22284/50505/18715/791070/17869/211482/11545/12143/19016/15978/68576/233532/207259/16392/228788/18508/80285/13592/17395/12985/17702/11816/15901/16000/100732/21752/72701/18012/22038/51801/22416/215001/19712/12741/21943/233744/22751/16153/22160/16878/67784/22218/22113/18591/12306/57810/15214/15216/11350/67087/226352/12159/72832/22418/20666/15499/66849/21814/229906/15958/15182/74025/16948/21808/67839/20423/109624/67490/20568/20684/16334/59036/13380/17701/54409/26903/13666/15259/228775/19268/246179/64383/18509/18121/13063/12578/73181/11421/101202684/230709/110351/18049/67557/11518/18997/229534/232560/16848/219150/52163/319757/100102/244058/17927/14958/104346/12933/66993/17240/106759/23994/12575/11490/54126/11651/13180	366
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	399/15700	451/28891	5.52056367214894e-56	4.4813175608669e-53	6.50845401348085e-54	12398/68970/22214/109689/226757/56438/27419/104318/30945/66894/207304/232566/12330/68612/19182/67338/56812/26446/19822/67163/71538/18024/12449/74126/22210/116891/56424/74251/20438/21762/381293/59003/227693/268882/224727/68477/231600/70382/17155/56371/100494/50789/54644/69754/54197/26442/21927/68818/66498/19165/13194/81601/13132/19358/234684/432879/15204/52563/223455/64209/12234/50754/59008/59025/12317/269523/19173/76425/68292/72053/50873/14673/216440/18521/56469/217069/140630/56353/52206/100041286/56407/217365/56736/76843/80751/99375/76454/16396/14198/116870/68867/14154/19185/56486/75744/75234/108086/66861/252870/71991/70247/233877/223499/231863/68431/224111/57320/74841/68795/110616/228769/13198/76577/17463/20588/57443/240263/50849/14828/11789/225896/70294/26420/77891/26931/57296/27401/11993/22213/14629/20747/17246/77006/66244/103583/108660/17846/170737/26374/140499/67903/66440/67128/19359/56637/74244/224023/78913/66245/59029/217410/14794/216150/53323/170930/65256/81004/226418/56085/68077/239510/74125/22222/76302/69957/26965/387524/12005/213753/66753/75717/66725/107035/71472/268721/14155/21402/18854/18817/224938/71816/19164/22393/628100/74374/228361/70611/67089/52551/70377/93759/17222/19179/67245/56291/66089/14084/83814/193670/75452/67025/12795/67586/20834/109815/108159/170823/58799/224826/71745/72194/319701/216869/17156/66313/100503085/24105/73296/211770/76375/14694/193740/52033/97064/239554/22215/433693/23806/108155/17754/23996/23807/66597/108089/20620/20437/74646/606496/12389/69259/69554/214158/15511/93687/217232/63958/207521/76788/26554/94232/448987/230249/101358/22209/19181/68053/232854/229644/94090/192193/76608/68034/230904/21372/66105/53380/27362/223870/77987/53312/24086/106052/67819/80750/19053/380918/80890/216080/13853/12387/12759/66212/105193/11865/50758/72844/59009/226541/320118/269016/70797/213311/11797/230815/23802/26419/12488/106042/22284/108687/211949/78896/71999/268291/108143/11836/107995/381534/66799/75788/329795/66413/237353/269514/50788/217379/232539/67118/79263/93765/71492/74165/75212/219158/30838/72179/242960/66825/66884/66967/14238/22218/20439/70620/327799/56726/12328/218215/12006/15216/68135/224109/27061/72293/233040/225131/12745/14466/23805/67812/213990/18858/399673/22027/30840/17772/22644/68098/30839/20423/56468/22410/67490/107568/76857/27373/212114/244373/70348/56207/13666/228775/18786/64383/414872/108802/30843/233038/227619/104771/71765/50760/433766/103573/236904/64295/68999/636931/226144/50762/55992/66740/434246/28199/330171/14897/77125/216622/11651	399
GO:0198738	cell-cell signaling by wnt	407/15700	462/28891	6.3128690552307e-56	4.55508573829646e-53	6.6155914309786e-54	26385/68339/104318/56484/13728/14042/22084/13001/229473/22210/218581/77938/84092/20438/26416/18099/22083/18763/74775/14462/227210/66241/73739/73389/232341/54644/54624/387177/13194/12763/13132/233328/11984/12054/71890/14367/665113/12234/21405/59024/672511/54198/269523/19043/76425/20869/50873/107515/16825/70122/56736/14773/67772/58231/268980/208846/73668/17847/21844/12447/74256/19353/433759/67943/68259/70495/20677/18647/75826/13198/14296/27041/12614/18073/69217/13542/76246/214498/11789/68911/56612/67457/360216/56515/66317/23988/18163/26941/72357/213326/70790/11798/68010/103583/12388/20969/21415/67488/212398/20586/66743/13726/69601/56637/70425/80707/12316/12505/353310/320587/50523/81004/11820/12005/17191/20042/66725/109901/21804/13543/19164/207742/20671/75723/629378/77578/21416/14362/16842/17127/26992/11426/16480/18605/432940/66787/13653/15242/11538/16348/103978/18128/19042/14371/16600/105787/21888/58799/207181/24136/18390/260305/18741/56274/16543/21885/19211/97064/13618/13205/26563/13645/26401/67916/29806/14366/64929/22420/93960/20437/18033/14370/606496/58198/72043/14682/12389/240756/66042/14241/93687/269424/16971/14634/56458/110648/330096/20680/18230/387223/71268/15364/26554/20583/17342/22419/271457/22411/78560/104831/19664/72345/12156/84035/107746/14173/20473/93897/232334/21887/68667/74493/21803/67122/68151/20187/16798/240725/14160/21833/140577/19277/68889/13853/20319/12387/239405/320343/13614/244667/16974/13000/13544/11865/56811/20890/22601/13395/11352/24088/21951/20779/27412/20356/12876/23802/15209/328949/100201/14180/14735/26564/106042/225638/108079/64297/17926/235497/107351/72780/17869/407821/494504/20729/75607/16973/14783/21414/21886/56297/244152/67974/13649/723828/16392/329795/16202/235542/14275/21929/12443/666048/621976/13393/216795/72125/11816/93735/56332/21752/226778/100503386/22416/20479/219158/22413/30838/14734/80288/74996/24117/68031/195208/70300/219134/319478/22422/12550/57265/329252/20439/66072/29811/71461/14836/12560/13617/12006/20377/11350/14183/67087/72293/228357/22408/330938/13607/22418/23805/14632/114606/18764/211383/20378/723827/380702/17986/15182/72114/20379/74025/192199/20668/22402/14368/20423/22414/53614/14365/22421/22410/217011/66277/50722/27373/21983/59036/13380/381259/230824/22409/70433/56805/387153/50781/723837/18121/22412/73181/241639/76365/319998/15248/21410/14165/76281/229534/14369/232560/12842/19273/22417/22423/110957/218952/230899/242939/68775/12995/20674/102638837/17242/12022/93840/16841/17240/53627/103236/380718/114604/65114/17292/12558/56505/73016/16400/53883	407
GO:0050767	regulation of neurogenesis	430/15700	494/28891	1.09892432313015e-55	7.13641455440721e-53	1.03645915107854e-53	70827/12227/20352/11423/13631/20539/23966/230598/13838/54712/14297/22084/233489/18016/26396/20720/12767/22059/83431/230674/67838/22241/22629/12257/12017/18627/233064/66713/665113/71955/22368/21938/268902/56381/59041/20869/14580/20807/217166/17919/20320/12704/329559/319740/76454/21907/18472/21844/217715/13169/20312/22352/18222/433759/56717/54673/76893/21817/13640/14056/269951/13555/17196/214968/104015/213084/76901/19262/50849/118454/14375/19744/13841/20481/328572/171207/63953/53872/68585/17295/240057/15902/20360/65254/12774/13508/28000/69743/12724/56637/18759/74143/13690/12385/12484/15982/12316/20358/19645/94091/18129/76089/99982/20194/239667/16590/74117/18109/234219/12568/13138/19047/20430/19164/69807/14254/11921/216858/22062/20585/14025/213541/16842/67891/11426/67414/330914/216344/545156/11538/12064/20893/99412/19280/18128/15213/20563/108151/20482/12950/22341/16542/21960/19266/24136/29869/18390/16412/20347/224617/20355/19211/17257/67287/12010/14912/18844/16835/14366/16885/13654/70237/17096/15251/20354/58234/51791/14083/19055/13385/18212/107503/83701/20660/22068/14265/16971/320790/170731/14634/18845/235402/66991/17118/211323/15364/19876/108138/13051/12156/20238/14173/227292/16176/19699/13131/21803/319583/14461/15205/387216/20429/20393/68151/20187/16579/20315/18755/22041/16653/12677/16870/11858/18606/19242/74132/13190/67095/16193/97165/12361/12387/16195/20348/17756/244667/13003/18996/11865/16728/30948/13490/13047/22601/24088/53605/17158/18223/12978/74053/14567/14268/20356/20317/26419/78748/216049/14168/104156/18481/243743/171469/18479/74006/269878/29819/17869/12162/23999/17190/17755/17863/18742/19016/15978/19283/71751/75788/13649/16202/18508/19697/18096/13844/70083/360213/245886/22326/18536/24001/11816/20346/18039/15901/16000/27279/21752/723951/19317/18186/14359/22416/20359/16800/22413/58861/19712/18213/65079/108100/13392/22339/16975/22422/12550/14725/16878/67784/56710/21926/70086/14102/18125/12306/57810/15214/17762/17344/71918/19130/11516/723950/27374/229285/20349/228357/20351/330938/12561/382253/12159/108071/54214/18205/22418/20666/114606/57434/67299/216190/15114/20357/15904/242620/79362/15182/320027/17380/17172/13048/12904/12323/52822/210108/18080/17356/20423/73191/14365/76527/22421/140570/67490/20353/18011/15208/17751/15228/14843/18208/320191/70433/56708/21838/72162/100313531/20361/11484/19268/18015/20616/320563/64383/12032/623459/20562/18121/228550/192119/73181/11421/99152/22129/50913/109880/73940/18049/12168/18997/103743/17760/66354/232560/20681/83557/20732/319757/244058/98733/22671/20674/235472/66993/229589/17242/17173/224171/19716/56711/13388/55927/27083/71653/23873/77125/13390/225908/13004/15206/238276	430
