ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030218	erythrocyte differentiation	25/431	156/28891	1.04395317064802e-18	3.91273648358877e-15	3.36702369985845e-15	13828/15129/16909/22761/11733/100900/241525/216781/223690/56199/19746/18023/20514/80280/15122/18174/226419/107817/217127/11656/56484/70026/13856/11983/387162	25
GO:0034101	erythrocyte homeostasis	25/431	168/28891	6.58691072669655e-18	1.23438707018293e-14	1.0622260245578e-14	13828/15129/16909/22761/11733/100900/241525/216781/223690/56199/19746/18023/20514/80280/15122/18174/226419/107817/217127/11656/56484/70026/13856/11983/387162	25
GO:0002262	myeloid cell homeostasis	25/431	215/28891	2.5367649548387e-15	3.16926501691181e-12	2.72724484969325e-12	13828/15129/16909/22761/11733/100900/241525/216781/223690/56199/19746/18023/20514/80280/15122/18174/226419/107817/217127/11656/56484/70026/13856/11983/387162	25
GO:0030099	myeloid cell differentiation	34/431	480/28891	7.72567130726365e-14	7.23895401490604e-11	6.22933075933048e-11	13828/15129/12398/16909/22761/11733/18708/100900/241525/216781/110794/223690/242687/102791/56199/19746/18023/20514/80280/15122/18174/27419/226419/107817/217127/11656/56484/70026/22042/15467/13856/12349/11983/387162	34
GO:0006778	porphyrin-containing compound metabolic process	11/431	43/28891	2.68723873698639e-11	2.01435415724499e-08	1.73341041897395e-08	11733/68066/233016/56199/20741/216792/18174/11656/14297/15467/11983	11
GO:0048821	erythrocyte development	11/431	49/28891	1.25610030392759e-10	7.84643989853437e-08	6.75209005479675e-08	13828/15129/11733/216781/56199/19746/15122/18174/107817/11656/13856	11
GO:0033013	tetrapyrrole metabolic process	11/431	52/28891	2.50160754768177e-10	1.33943215553018e-07	1.1526203798642e-07	11733/68066/233016/56199/20741/216792/18174/11656/14297/15467/11983	11
GO:0048872	homeostasis of number of cells	26/431	401/28891	4.82360618768732e-10	1.90289276518625e-07	1.63749464487184e-07	13828/15129/16909/22761/11733/100900/241525/216781/223690/56199/19746/18023/20514/80280/15122/18174/226419/107817/217127/11656/56484/70026/14042/13856/11983/387162	26
GO:0006779	porphyrin-containing compound biosynthetic process	9/431	31/28891	5.07708848769009e-10	1.90289276518625e-07	1.63749464487184e-07	11733/68066/56199/20741/216792/18174/11656/14297/11983	9
GO:0033014	tetrapyrrole biosynthetic process	9/431	31/28891	5.07708848769009e-10	1.90289276518625e-07	1.63749464487184e-07	11733/68066/56199/20741/216792/18174/11656/14297/11983	9
GO:0061515	myeloid cell development	13/431	98/28891	2.58058191984553e-09	8.79274639598276e-07	7.56641435637004e-07	13828/15129/22761/11733/216781/242687/56199/19746/15122/18174/107817/11656/13856	13
GO:0042168	heme metabolic process	8/431	36/28891	4.82600686267193e-08	1.50732281010787e-05	1.29709517782691e-05	68066/233016/56199/216792/18174/11656/14297/11983	8
GO:0006783	heme biosynthetic process	7/431	26/28891	8.0657234457398e-08	2.32541011343329e-05	2.00108312856249e-05	68066/56199/216792/18174/11656/14297/11983	7
GO:0060586	multicellular organismal-level iron ion homeostasis	7/431	32/28891	3.8202376405355e-07	0.000102273219119479	8.80090836887277e-05	13828/11733/19746/18174/27419/233489/15467	7
GO:0010639	negative regulation of organelle organization	21/431	387/28891	4.57476974998972e-07	0.000114308246819743	9.83655755366211e-05	17120/15081/18708/21916/14775/242687/19062/12048/13430/20741/20617/12333/22003/14297/225115/22042/11920/13589/108903/75430/56295	21
GO:0020027	hemoglobin metabolic process	6/431	22/28891	6.48808200964798e-07	0.000151983321076004	0.000130786074194483	13828/67712/56199/11656/15467/13856	6
GO:0140962	multicellular organismal-level chemical homeostasis	10/431	88/28891	7.87542916192213e-07	0.000173630049993436	0.000149413714873866	13828/11733/19062/19746/11829/18174/27419/14042/233489/15467	10
GO:0034248	regulation of amide metabolic process	23/431	482/28891	1.21497026835185e-06	0.000252983809210152	0.000217699935802928	15129/20698/18458/72416/17346/12227/276770/66612/234384/56422/217869/13631/15983/17872/20617/213988/13838/214424/233489/15467/27403/387162/19653	23
GO:0015670	carbon dioxide transport	5/431	15/28891	1.91665160985014e-06	0.000359180511685916	0.000309085291188464	15129/15135/15122/11829/12349	5
GO:0042541	hemoglobin biosynthetic process	5/431	15/28891	1.91665160985014e-06	0.000359180511685916	0.000309085291188464	67712/56199/11656/15467/13856	5
GO:0022411	cellular component disassembly	22/431	462/28891	2.14251647895529e-06	0.0003823881791964	0.000329056164988421	11555/18708/21916/232227/329015/276770/216781/13040/66437/56422/319162/80280/13631/20741/93739/22003/13838/226419/54712/225115/194401/11983	22
GO:0042744	hydrogen peroxide catabolic process	6/431	30/28891	4.66699741945811e-06	0.000795086651278591	0.000684195219771275	15129/101488143/15135/14775/15122/20617	6
GO:0015669	gas transport	5/431	19/28891	7.06469582161252e-06	0.00115123825823494	0.000990674050225206	15129/15135/15122/11829/12349	5
