ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0003712	transcription coregulator activity	441/15530	497/28407	1.05496206813685e-61	6.43873758870931e-59	1.78247686298841e-59	12398/16909/22761/12593/238330/19250/12227/238317/217218/74106/109689/11632/64898/22378/268903/217127/13496/76199/269997/70625/226169/101206/15587/56222/108098/230753/225895/12396/70439/116871/21343/20466/12189/59035/327987/54343/19014/277250/71371/212391/268448/69792/26901/56310/218613/13207/104625/208266/18627/67037/81601/19183/18193/19383/211329/58172/72199/27223/59024/16478/67956/67500/66464/56381/102162/219103/50873/56469/217069/67788/66172/57441/60595/56353/16825/30941/68879/56309/208727/68729/23989/217864/116870/232286/12042/67219/93679/18412/208908/13549/66935/81489/57748/320165/433759/71148/234388/100072/57320/14056/224613/107566/67151/26885/13163/17938/353282/381022/12607/98415/66213/13016/216154/244183/270110/78656/23942/67773/269389/20933/57741/320271/69656/20128/12261/14815/21848/50724/15161/71458/381379/20481/328572/15183/59022/67673/22057/433586/72475/67279/212163/66505/18676/18673/12051/109108/67488/20586/14055/14245/68703/67154/14030/109331/234959/106931/231986/80707/56790/58206/60406/19017/56233/18148/94112/28019/17684/81004/57259/60533/214742/270118/16911/13211/99982/101739/67381/78921/21849/216825/21665/12914/70427/12395/225876/21804/75605/12848/57261/66855/15257/320595/68776/18854/13498/69807/23871/107182/15289/320376/67933/80859/77578/14025/219249/26992/66233/13548/72895/13176/20602/16480/30937/93759/671535/228790/11569/209387/12400/107932/16364/104263/20185/69097/19663/58521/70571/18128/214899/641340/21888/13017/223701/19720/51810/11792/22591/69790/21885/24105/54169/244579/17257/70350/28077/193740/71175/67057/97064/103806/22215/433693/72567/83797/29806/109594/66597/381695/109115/268996/18033/57316/76804/21413/382252/100683/20024/329650/338523/52915/214158/211652/239719/224440/228880/56406/328365/30841/54132/269424/67155/244349/211323/11472/15364/233908/231889/13806/70673/216820/18432/15258/68196/20467/14173/21887/74735/108829/272359/18751/547253/20220/21372/17978/20182/56273/20821/225182/56070/97165/94275/11886/223527/79221/12387/77630/227737/71990/214855/434156/22601/224829/72057/69188/11797/107321/67040/229615/18519/14200/21411/67525/15191/108143/109593/231051/17937/75329/19016/21886/15951/231151/54650/80285/18746/192191/12443/22294/109711/269966/170826/56361/27878/80292/216874/12705/14534/22416/17936/22088/320713/68050/80288/26896/17977/230085/74490/17979/75796/22762/104721/52690/229003/111241/17344/27374/72065/23947/114606/320795/107765/224762/98403/22773/208146/79362/22286/12879/238803/212085/21418/81000/67014/64899/625480/100502940/12180/56856/19777/69809/13436/15259/21869/228775/18985/320705/382206/667823/93686/68975/16475/104383/17933/72462/72693/229534/66354/433182/76681/23957/22417/319236/22195/74112/18103/17829/17152/102638837/15361/66993/666528/56312/13712/72195/233893/386655/24068/56505/13180/385338/66556	441
GO:0030695	GTPase regulator activity	390/15530	429/28407	1.59698486479822e-61	6.43873758870931e-59	1.78247686298841e-59	50779/17168/232227/19387/58996/109689/217869/68339/66508/329727/231801/20469/19731/69632/268706/22084/108903/100855/15357/218581/75547/71085/71810/230784/13998/192786/219140/70497/74760/18220/231874/277360/104252/13667/102442/14784/83409/77038/26934/76954/269608/17925/14270/98710/19157/77980/66691/29809/328967/103724/233071/66687/76795/270163/244548/67894/67016/14020/66251/228359/18582/108067/19159/50778/228850/231532/544963/225358/110279/140500/19735/16443/53322/21844/217715/20662/19765/26382/223435/66790/20403/69440/69780/209354/240168/54645/74563/16801/107566/98732/380711/76123/217325/71729/109905/73910/243362/227377/210789/223754/268970/230098/217835/171207/238130/277854/26431/240057/140580/117600/100088/19732/228355/56692/319939/226652/66096/105689/226407/19414/27054/67903/69601/57257/231207/50780/76117/20334/16476/232237/107045/241694/70785/78808/57785/101489/234094/223666/16413/13605/19158/71310/213027/211922/69993/76089/228998/70296/227800/216805/320292/24012/66725/79566/236915/71302/56715/94176/236920/71704/218397/54324/13196/404710/226089/105445/19386/211914/20663/67231/14569/330914/545156/217692/98366/105841/259302/212285/11857/20563/215632/50907/234353/319934/75415/102098/57915/213783/209815/19419/224617/209773/72238/78514/105855/239027/74018/98910/109294/216963/52666/320127/12549/13645/30938/347722/216859/56349/78255/64214/210293/211673/56508/98402/229541/73341/108911/229877/51791/27414/14682/73205/67865/108686/71435/216439/94190/67046/232906/230837/73728/78618/114713/22411/320634/329260/19889/223864/107746/329877/15463/109934/72121/109270/223254/381605/94221/214804/22324/227801/29815/209478/237422/19730/74206/105835/217944/224014/232201/72542/216363/53972/74055/228482/75974/74334/29875/74030/76131/381085/229898/231821/19417/50768/14567/19739/76088/69710/268480/79264/20401/74002/24056/11856/108699/263406/232089/27387/110596/68813/68576/244668/268739/68016/243621/19261/224045/72318/54610/52850/73167/74694/54189/245886/24001/330662/226970/72536/241308/18795/245666/71544/18186/16897/233046/16800/56533/71709/235633/108995/14697/14469/442801/19385/243780/66656/214137/207592/544817/12662/106952/19347/213990/381112/207212/67299/19395/58175/19415/71824/208869/67792/216991/19737/94254/192236/67839/213522/72754/54153/99326/99371/320435/101497/11855/225870/12663/207227/21838/67425/70314/18015/72825/76484/71972/22325/244654/271981/17207/70727/110351/18545/109904/385263/245638/74286/14163/66628/78816/380698/50753/19893/320560/192232/210933/218460/319899/545481/54126/213649	390
GO:0060589	nucleoside-triphosphatase regulator activity	390/15530	429/28407	1.59698486479822e-61	6.43873758870931e-59	1.78247686298841e-59	50779/17168/232227/19387/58996/109689/217869/68339/66508/329727/231801/20469/19731/69632/268706/22084/108903/100855/15357/218581/75547/71085/71810/230784/13998/192786/219140/70497/74760/18220/231874/277360/104252/13667/102442/14784/83409/77038/26934/76954/269608/17925/14270/98710/19157/77980/66691/29809/328967/103724/233071/66687/76795/270163/244548/67894/67016/14020/66251/228359/18582/108067/19159/50778/228850/231532/544963/225358/110279/140500/19735/16443/53322/21844/217715/20662/19765/26382/223435/66790/20403/69440/69780/209354/240168/54645/74563/16801/107566/98732/380711/76123/217325/71729/109905/73910/243362/227377/210789/223754/268970/230098/217835/171207/238130/277854/26431/240057/140580/117600/100088/19732/228355/56692/319939/226652/66096/105689/226407/19414/27054/67903/69601/57257/231207/50780/76117/20334/16476/232237/107045/241694/70785/78808/57785/101489/234094/223666/16413/13605/19158/71310/213027/211922/69993/76089/228998/70296/227800/216805/320292/24012/66725/79566/236915/71302/56715/94176/236920/71704/218397/54324/13196/404710/226089/105445/19386/211914/20663/67231/14569/330914/545156/217692/98366/105841/259302/212285/11857/20563/215632/50907/234353/319934/75415/102098/57915/213783/209815/19419/224617/209773/72238/78514/105855/239027/74018/98910/109294/216963/52666/320127/12549/13645/30938/347722/216859/56349/78255/64214/210293/211673/56508/98402/229541/73341/108911/229877/51791/27414/14682/73205/67865/108686/71435/216439/94190/67046/232906/230837/73728/78618/114713/22411/320634/329260/19889/223864/107746/329877/15463/109934/72121/109270/223254/381605/94221/214804/22324/227801/29815/209478/237422/19730/74206/105835/217944/224014/232201/72542/216363/53972/74055/228482/75974/74334/29875/74030/76131/381085/229898/231821/19417/50768/14567/19739/76088/69710/268480/79264/20401/74002/24056/11856/108699/263406/232089/27387/110596/68813/68576/244668/268739/68016/243621/19261/224045/72318/54610/52850/73167/74694/54189/245886/24001/330662/226970/72536/241308/18795/245666/71544/18186/16897/233046/16800/56533/71709/235633/108995/14697/14469/442801/19385/243780/66656/214137/207592/544817/12662/106952/19347/213990/381112/207212/67299/19395/58175/19415/71824/208869/67792/216991/19737/94254/192236/67839/213522/72754/54153/99326/99371/320435/101497/11855/225870/12663/207227/21838/67425/70314/18015/72825/76484/71972/22325/244654/271981/17207/70727/110351/18545/109904/385263/245638/74286/14163/66628/78816/380698/50753/19893/320560/192232/210933/218460/319899/545481/54126/213649	390
GO:0061629	RNA polymerase II-specific DNA-binding transcription factor binding	354/15530	382/28407	1.99805666057698e-61	6.43873758870931e-59	1.78247686298841e-59	16909/22761/18708/67238/192197/67278/109689/13560/11632/80280/22378/56438/268903/66894/13001/19822/11909/18024/101206/17261/17260/52639/230753/22059/26416/21343/20466/327987/14462/19014/11461/14582/22629/212391/16969/13207/208266/18627/19183/52668/14460/18193/11863/211329/71890/21423/72199/21428/27223/59024/16478/18572/321006/20687/12317/93760/56381/230673/12953/20848/20807/60595/56399/16825/209456/56736/68879/234594/58231/208727/23989/268980/50868/116870/232286/12042/208908/320165/223499/433759/224111/57320/15525/13163/13198/13016/216154/22200/78656/23942/67773/13435/12929/269389/14884/21848/328572/15183/14121/15902/319594/20747/77006/109108/20586/233904/14245/109113/19359/56637/57436/21349/67154/234959/16476/217410/13433/15982/101700/14886/26443/19645/19017/170930/75613/18148/17684/15260/235459/57259/14816/13211/18129/99982/108655/67381/20591/12914/19015/107392/21804/68776/22260/23871/13982/20671/15289/20846/22062/18124/21416/270627/12912/16842/17127/15108/66233/20375/20602/16871/93759/14255/228790/78926/102774/107932/14084/104263/20185/83602/20893/19255/15213/16600/641340/13017/319182/12490/18741/11792/16543/22591/69790/211770/77632/14228/18018/57376/193740/72512/18736/73680/24075/17258/13654/15251/210719/321000/11835/57316/76804/58198/20683/14281/20851/56406/15511/13819/23872/15364/233908/231889/15258/19411/15370/52028/19664/12606/14465/266692/218772/18751/71769/14461/17978/15205/20182/53380/17126/16798/67378/15110/225182/18933/56070/74132/66083/11886/79221/12387/12608/71990/214855/18996/11865/20184/224829/57751/66959/20779/15163/99311/17128/209200/17300/50911/72569/21386/20186/18035/21781/114142/57752/11545/26922/19281/11864/19016/21389/73845/16392/80285/19697/15378/18600/170826/15375/18227/21412/13009/18012/71492/14472/15507/11622/19712/17977/17979/15502/22762/52690/14725/57246/14836/15214/111241/17344/20181/19130/12952/20592/19090/76260/320795/15499/107765/11746/67655/229906/15904/66200/79362/15182/18171/20997/238803/22337/18740/22259/13813/20684/69852/59036/56642/21869/230025/21388/243910/18095/12578/26380/76365/277744/93761/11518/66354/72504/228980/23957/17927/20674/15361/66993/18072/14463/19716/21678/13388/13712/55927/14897/665596/24068/24074	354
GO:0016755	aminoacyltransferase activity	412/15530	473/28407	1.10544144756293e-52	2.84982805181724e-50	7.88936106787019e-51	13828/384309/66589/56791/238330/320253/22214/69104/216781/224619/217342/224703/84585/56438/54484/71779/30945/66894/65247/207304/68612/67338/19822/75841/76580/74126/22210/56424/213211/108098/69116/20438/71861/59003/12189/19014/76073/68477/231600/67196/22670/50789/81003/69792/54197/21927/74153/218203/228545/22030/207182/12211/15204/22196/80985/223455/381485/668173/12234/105239/50754/59024/67345/67921/672511/68497/66510/66381/12540/50873/56550/56469/319817/217069/140630/66172/76952/22193/117146/234736/211007/208650/56736/76843/80751/268281/99375/16396/208727/68729/23989/68867/67219/93679/76892/67150/93836/75234/108086/71991/11907/59026/18140/233877/21817/68795/22036/69587/66213/67030/76901/244183/71673/50849/20128/21848/72137/67711/218793/17999/71458/70294/77891/11799/22034/56515/67279/22213/212163/381305/23887/70790/11798/17246/242785/103583/108660/28000/170737/105689/26374/140499/216860/66743/67128/66155/53621/109113/109331/234959/78913/101700/216150/67615/53323/170930/65256/94091/22222/67845/19823/94093/66949/26965/268933/242521/21849/387524/58186/213753/20610/73469/56715/207215/70238/71865/21402/18854/224938/71816/69807/207742/100763/51813/29864/20585/338364/74164/17248/270627/19386/22194/67245/209387/66089/192120/69097/83814/193670/330812/67369/20834/70208/14598/329152/224826/19720/77853/66313/108937/66053/386611/69790/217333/140887/24105/67588/28077/22215/23806/26401/23807/66597/81018/108089/58230/72925/13654/14339/20437/12021/76072/52915/214158/240354/66795/328365/109910/63958/207521/26554/94089/103737/11793/101358/22209/240396/225164/195018/214854/22031/229644/94090/227738/217340/22192/74735/76608/93834/230904/74145/67138/272359/215919/74287/66105/73998/74176/11796/55983/68718/65255/20821/78889/106052/94088/74132/331046/380918/80890/54483/216080/67841/240055/16924/19824/50764/105193/381338/103213/57751/59009/226541/269016/70797/100040608/11797/28105/209200/229615/71007/59044/66854/23802/77733/74198/21818/244421/19302/67525/80794/17237/407821/386454/268291/19647/381534/76497/19820/66799/68350/75788/329581/211147/21929/237353/72399/140629/232539/67118/79263/67027/93765/70536/74165/75212/68031/66825/12418/66394/20439/225743/74264/218215/24017/68274/225055/17344/209462/233040/224762/98403/19763/18744/67610/76980/22652/320311/22644/100502936/68098/70928/217558/212085/226098/67664/67490/107568/74365/195359/19821/622117/18011/224170/212114/70348/19373/70093/21816/94094/27385/109161/67702/667823/104836/68975/233038/12578/22129/12402/72486/50760/433766/640543/76681/319236/636931/68501/22195/50762/55992/22671/381270/19893/434246/328234/269695/107986/330171/14897/671564/71956	412
GO:0019787	ubiquitin-like protein transferase activity	398/15530	457/28407	6.93549902036821e-51	1.48997637287577e-48	4.12479678579794e-49	384309/66589/56791/238330/320253/22214/69104/216781/224619/217342/224703/84585/56438/54484/71779/30945/66894/65247/207304/68612/67338/19822/75841/76580/74126/22210/56424/213211/108098/69116/20438/71861/59003/12189/19014/76073/68477/231600/67196/22670/50789/81003/69792/54197/21927/74153/218203/228545/22030/12211/15204/22196/80985/223455/381485/668173/12234/105239/50754/59024/67345/67921/672511/68497/66510/66381/12540/50873/56550/56469/319817/217069/140630/66172/76952/22193/117146/234736/211007/208650/56736/76843/80751/268281/99375/16396/208727/68729/23989/68867/67219/93679/76892/67150/93836/75234/108086/71991/59026/18140/233877/68795/22036/69587/66213/67030/76901/244183/71673/50849/20128/21848/72137/67711/218793/17999/71458/70294/77891/11799/22034/56515/67279/22213/212163/381305/70790/11798/17246/242785/103583/108660/28000/170737/105689/26374/140499/216860/66743/67128/66155/53621/109113/109331/234959/78913/101700/216150/67615/53323/170930/65256/94091/22222/67845/19823/94093/66949/26965/268933/242521/21849/387524/58186/213753/20610/73469/56715/207215/70238/71865/21402/18854/224938/71816/69807/207742/100763/51813/29864/20585/338364/74164/17248/270627/19386/22194/67245/209387/66089/192120/69097/83814/193670/330812/20834/70208/329152/224826/19720/77853/66313/108937/66053/386611/69790/217333/140887/24105/67588/28077/22215/23806/26401/23807/66597/81018/108089/58230/72925/13654/14339/20437/12021/76072/52915/214158/240354/66795/328365/109910/63958/207521/26554/94089/103737/11793/101358/22209/240396/225164/195018/214854/22031/229644/94090/227738/217340/22192/74735/76608/93834/230904/67138/272359/215919/74287/66105/73998/11796/55983/68718/65255/20821/78889/106052/94088/74132/380918/80890/54483/216080/67841/240055/16924/19824/50764/105193/381338/103213/57751/59009/226541/269016/70797/100040608/11797/28105/209200/229615/71007/59044/66854/23802/77733/74198/244421/19302/67525/80794/17237/407821/386454/268291/19647/381534/76497/19820/66799/68350/75788/329581/211147/21929/237353/72399/140629/232539/67118/79263/67027/93765/74165/75212/68031/66825/12418/66394/20439/225743/74264/218215/24017/68274/225055/17344/209462/233040/224762/98403/19763/18744/67610/76980/22652/320311/22644/100502936/68098/70928/217558/212085/226098/67664/67490/107568/74365/195359/19821/622117/18011/224170/212114/70348/19373/70093/94094/27385/109161/67702/667823/104836/68975/233038/12578/22129/12402/72486/50760/433766/76681/319236/636931/68501/22195/50762/55992/22671/381270/19893/434246/328234/269695/107986/330171/14897/671564/71956	398
GO:0015631	tubulin binding	346/15530	387/28407	1.96164776129915e-50	3.61223423473515e-48	9.99997881323928e-49	72416/108907/192197/68339/13430/16581/20617/233406/272589/13589/108903/381293/83431/13006/27050/109242/100502766/170833/66146/29870/72726/219072/68142/12465/26934/15505/227634/66140/223723/13191/229474/73873/16568/16765/67443/22680/74187/237711/103268/16580/213582/14260/73804/219103/50873/67809/12125/218977/51944/18294/53869/216965/328580/12301/70218/68121/67629/17318/13494/68475/19735/18472/15194/269954/16551/21844/54141/19122/71878/228421/56350/231912/56486/14595/57748/74081/110033/434204/23924/16574/12626/74281/76071/244071/22350/75050/108989/17245/11789/64652/11799/75786/110012/104943/67886/109359/103583/20866/233276/13726/74143/71994/18578/16578/19364/19348/14683/19017/240641/16593/63873/22253/232987/239667/30960/66725/209737/72549/74410/74019/13138/212307/18817/236266/71819/22327/70430/77521/70762/16563/319953/101706/229841/17776/11426/13548/28193/78926/237436/102774/11538/99412/74360/237222/380842/328108/19060/16561/69216/100764/70681/51885/216963/235626/67971/13205/17754/230376/383592/76707/16573/50525/381933/17096/108911/56491/51791/320982/107503/14272/13426/320244/73094/14265/67166/108686/68519/20538/231807/78798/16560/78785/668880/102103/16565/74895/12190/73738/72972/71877/382010/56273/320159/18102/13518/68767/56430/14360/56724/52589/50850/17756/17758/52055/56742/20744/54418/74334/14453/70997/28105/71007/328660/21749/70737/319991/320234/79264/72425/14168/56527/100503311/18479/67269/15191/74006/259279/17755/76478/50875/70998/260315/14609/381110/16553/70892/74711/18970/243371/19888/26921/16554/319613/52570/269713/269152/16570/22294/69281/360213/226841/66734/214444/100732/66711/66468/16552/20257/406217/16800/76499/13429/16558/17984/232933/66884/105000/14623/231093/218035/78933/69310/66411/29877/21371/17988/320256/17762/69312/12589/17997/16569/16970/78317/56330/329366/330938/12391/23947/102124/23805/14632/69697/16564/16582/73470/103967/237891/74393/319675/73412/16559/18080/52250/68617/17858/72948/72205/235180/320923/26903/320191/66302/16576/100504234/104069/18015/64383/225898/381350/69987/14159/319670/237930/16571/67694/56471/15185/17760/58251/11640/382913/270058/110957/232944/14433/104346/229589/74004/232943/171531/286942/72993/73689/54126/73420	346
GO:0004842	ubiquitin-protein transferase activity	375/15530	431/28407	8.85105744700113e-48	1.42612663114806e-45	3.94803746649129e-46	384309/66589/56791/238330/320253/22214/69104/216781/224619/217342/224703/84585/56438/54484/71779/30945/66894/65247/207304/68612/67338/19822/75841/76580/74126/22210/56424/213211/108098/69116/20438/71861/59003/12189/19014/76073/68477/231600/67196/22670/50789/81003/69792/54197/21927/74153/218203/228545/22030/12211/15204/22196/80985/223455/381485/668173/12234/105239/50754/59024/67345/672511/68497/66510/66381/12540/50873/56550/319817/217069/140630/66172/76952/22193/117146/234736/211007/208650/56736/76843/80751/268281/99375/16396/68729/23989/68867/67219/93679/76892/67150/93836/75234/108086/71991/59026/18140/233877/68795/22036/69587/66213/67030/76901/244183/71673/50849/20128/21848/72137/67711/218793/17999/71458/70294/77891/11799/22034/56515/67279/22213/212163/381305/70790/11798/17246/242785/103583/108660/28000/170737/105689/26374/140499/216860/66743/67128/53621/109113/109331/234959/78913/101700/216150/67615/53323/65256/94091/22222/67845/19823/94093/66949/26965/268933/242521/21849/387524/58186/213753/73469/56715/207215/70238/71865/21402/224938/71816/69807/207742/100763/51813/29864/20585/338364/74164/17248/270627/22194/67245/209387/66089/192120/69097/83814/193670/330812/20834/70208/329152/224826/19720/77853/66313/108937/66053/386611/69790/217333/140887/24105/67588/28077/22215/23806/26401/23807/66597/81018/108089/58230/72925/20437/12021/76072/214158/240354/109910/63958/207521/26554/94089/103737/101358/22209/240396/225164/214854/22031/229644/94090/227738/217340/22192/74735/76608/93834/230904/67138/272359/215919/74287/66105/73998/11796/55983/68718/65255/20821/78889/106052/94088/74132/380918/80890/54483/216080/240055/16924/19824/50764/105193/381338/103213/57751/59009/226541/269016/70797/100040608/11797/28105/209200/71007/59044/66854/23802/77733/74198/244421/19302/67525/80794/17237/407821/386454/268291/19647/381534/76497/19820/66799/68350/75788/329581/211147/21929/237353/72399/140629/232539/67118/79263/67027/93765/74165/75212/68031/66825/66394/20439/225743/74264/218215/24017/68274/225055/209462/233040/224762/19763/18744/67610/76980/22652/320311/22644/100502936/68098/70928/217558/212085/226098/67664/107568/74365/195359/19821/622117/18011/224170/212114/70348/19373/70093/94094/27385/109161/67702/667823/104836/68975/233038/22129/12402/72486/50760/433766/76681/319236/636931/68501/22195/50762/55992/22671/381270/19893/434246/328234/269695/107986/330171/14897/71956	375
GO:0004674	protein serine/threonine kinase activity	382/15530	441/28407	1.34620885090182e-47	1.92807023201383e-45	5.33760000533003e-46	108737/17346/26385/72149/18005/13631/51789/18712/104318/226419/140859/13728/14772/11920/15467/13001/13143/26396/214230/18604/18607/17347/18747/78334/69847/26416/18099/26411/26397/381921/22241/20877/69131/12750/232341/207565/66878/21969/264064/20111/101568/30955/73086/233328/68961/68943/12236/102414/213435/665113/27103/12748/269774/321006/59041/20869/17165/231876/69922/216965/12454/12445/269224/53886/12704/12675/14773/58231/110279/228012/228026/244631/192292/107951/53415/13549/223435/71091/58800/56717/72113/56480/399510/16706/18647/19877/12235/330177/546071/12747/140780/213084/20872/18004/26413/23955/12571/65964/233020/12572/108099/230809/26420/59125/110157/234854/268930/213452/56637/18759/70425/19134/224105/109333/14841/67121/18761/16179/19079/22367/50523/74178/56542/17691/237459/59126/20868/235344/233789/66671/12545/19082/66725/108058/16886/26417/12568/19229/57261/23954/15257/16589/17279/26409/18817/12325/78943/20817/110355/74137/70762/26399/26407/270627/19878/17776/19108/13548/26410/98267/667663/545156/74769/170755/58988/53416/12795/21812/17169/231580/12566/22625/70415/50883/105787/70584/245269/11652/208583/19106/29869/69635/20873/12534/26404/217718/223255/26412/56274/26448/674895/17164/52033/22137/23939/26401/69562/245000/16885/106504/14312/13400/26405/21813/20620/13805/20874/53608/269275/606496/12567/29857/18754/26403/108097/66042/69181/93687/66587/23797/240505/18555/15258/328329/227541/23938/11477/20963/12167/20112/12041/236900/26408/18751/26398/13175/20393/192656/16798/209012/18755/18706/24086/225028/232533/101540/12322/70661/72508/110651/238564/381113/26400/230661/12361/228785/226751/18557/11480/13000/338372/263803/27206/19766/18753/77976/223775/67333/16150/27214/26419/69681/18750/56527/225638/18762/108079/18481/18715/11482/381836/18479/53859/320129/101320/11836/75607/73914/26406/55984/71751/26921/16202/18746/11481/18749/333050/245038/329421/22138/17451/320119/27219/226778/80752/71742/223649/50772/19091/116904/56489/20623/102626/105278/330721/75770/67045/26415/107589/71481/215303/20815/269209/12326/11790/12649/67071/382253/269019/19090/320795/21814/11302/279561/329509/12323/71340/75292/241113/18760/212225/57740/27373/77485/13666/15259/70568/26559/12265/117229/56532/228550/271697/93843/381983/225724/11479/109880/12168/75669/19094/26414/104175/26918/52163/50932/232944/18103/380698/12995/17152/266632/100044509/76367/18752/103236/270672/110542/635895/279029/11651/225997	382
GO:0051020	GTPase binding	305/15530	337/28407	2.66267381436351e-47	3.43218654671456e-45	9.50154129546558e-46	380714/69104/19387/231830/12048/66508/94186/16211/22084/233489/13660/68051/75547/18747/71810/18286/192786/22241/22608/56419/12757/104252/21927/65246/23991/17925/14270/22330/110750/100504663/16568/66691/29809/54411/52187/212999/238799/67894/73192/14020/230673/218210/243819/228359/56208/18582/72729/75665/17919/20742/544963/27277/213993/102058/76820/208846/77040/107508/19353/19765/233877/11977/240168/56289/98732/434204/105148/13367/66863/19877/109905/260302/54170/72404/13542/76582/217835/238130/277854/11736/11799/15183/26431/56699/20909/14470/117600/100088/170822/110157/56488/75734/18826/74204/116733/105689/101314/226407/70450/76895/224105/109333/57258/215445/57785/66592/74370/70572/17913/23790/13605/230584/213027/19349/78287/233726/20655/70296/27756/227800/66725/56715/94176/13543/20430/218397/404710/228361/226089/223601/105445/15519/76884/19878/11303/19386/67231/14569/19305/57778/19275/11857/227743/241275/280408/50907/20405/213783/73296/18195/67588/72322/74018/98910/216963/320127/80291/74105/260409/13860/210293/111173/56508/54004/98402/20620/108911/12389/11765/20660/26403/66482/73205/19352/170731/67046/320938/56187/13806/78618/243725/237038/320634/329260/75695/83671/71409/223254/18755/171580/69470/227801/56705/142687/105835/17918/216363/74055/214459/13544/18996/52055/75974/30948/74334/29875/74030/20170/263803/19417/50884/74998/74053/14567/14688/233103/22379/17970/11517/245670/18481/100503311/245049/18479/74006/116837/268451/263406/229707/68813/320727/18643/66011/52850/74694/245886/12176/330662/58869/72836/16897/13722/226432/16800/104445/16558/235633/14693/14799/12306/17988/320051/27359/209462/16569/75767/12662/382253/105504/54214/231858/19347/67299/320795/216190/100213/116838/208869/74155/106039/320311/17356/22376/56513/329165/320435/101497/225870/235380/12663/242662/226422/228550/244654/75751/110351/109880/27008/192176/103573/14163/433182/57912/208628/269589/104346/12121/320560/192232/66641/171531/18053/54126/109181/19894	305
