ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0003712	transcription coregulator activity	349/10067	497/28407	5.98256221250338e-57	7.63973194536681e-54	3.57064502577833e-54	17938/72567/211329/13180/67500/93759/108829/641340/71371/216154/13496/208266/21886/21665/67933/14534/19183/14055/12189/217218/13207/22378/57316/58172/14025/18148/66213/104625/18412/103806/14030/50724/22416/192191/216820/216825/20185/52915/56310/66172/12261/67279/18432/268448/70439/327987/68729/217069/22057/217127/18673/19014/23989/52690/217864/116870/104721/14245/12879/79221/17977/69792/238317/238330/66354/108143/218613/19720/214158/57441/12593/18676/18193/57748/66505/238803/54169/328365/54650/11792/27374/16475/219103/20220/66597/67381/219249/67488/20024/67154/223527/671535/67040/223701/328572/57259/21411/71175/67057/56233/381022/83797/239719/94112/208146/547253/80285/12914/80859/268903/74112/224440/13548/50873/72057/224613/67673/15361/111241/68776/72462/57261/13163/20182/193740/69097/224762/109115/224829/18519/64898/12607/116871/225182/268996/106931/78656/277250/24068/15183/14815/56070/433182/21413/212163/107321/21888/60533/107182/11632/212391/72199/225876/16825/226169/93679/67788/66556/81601/104383/225895/23942/98415/17978/12227/75605/13211/74106/27878/30941/51810/19250/214742/98403/14200/18627/208727/353282/16909/15259/27223/58521/12848/24105/228775/228790/13436/12396/19383/56406/269389/228880/17979/68879/59022/20933/68975/227737/320271/66935/381379/15257/18033/12042/81004/14173/269424/433586/56790/15191/67037/17829/229534/229615/71148/72475/66233/56222/68050/56309/230753/67525/433759/66464/67219/99982/22417/12395/56381/56273/13806/68703/57320/100072/70673/57741/26885/433693/230085/74735/109331/76804/101739/320713/56361/76199/71990/30841/67151/208908/67956/20602/21343/100683/231889/15289/381695/69188/231051/72195/13016/19017/109108/56353/72895/101206/19016/214899/13498/28019/107932/54343/108098/21848/15258/338523/14056/231986/104263/22591/232286/269966/20821/319236/56312/269997/78921/233893/67773/233908/21804/21849/272359/13549/434156/60595/58206/19777/22088/22215/109689/80707/68196/22761/12398/66855/102162/270110/244349/320165/19663/60406/97165/16478/234388/70625/20467/81489/320795/26992/107566/81000/15587/12387/26901/29806/270118/234959/59035/20586/80288/20466/18854/21887/56469/11797/59024/71458/26896/320595/382252/69656/13712/22294/385338/320376/72065/15161/17257	349
GO:0140098	catalytic activity, acting on RNA	280/10067	380/28407	1.02302039176545e-52	6.53198520142238e-50	3.05290822174215e-50	68281/72068/216443/19075/103135/73681/76563/338359/56200/94213/14598/216151/66420/70428/28088/80861/69684/52686/72047/78943/13207/68572/107817/338371/68730/71701/67939/104458/193116/66628/104625/27041/69125/194908/268420/52513/68626/13681/20020/216877/67493/103677/20557/237890/78394/217038/237911/217057/67487/27225/192119/328162/104721/54451/19819/328092/66132/104806/76357/211064/66254/13206/72198/218629/56196/68916/208366/69955/105148/212880/214290/28114/211948/75901/67011/11792/497106/58809/78416/19752/54159/56335/219094/67053/70152/668178/110960/14000/17749/68260/239528/69833/67040/78929/72026/74351/75284/74108/223989/70120/15547/13682/106248/52575/106338/56409/74157/112403/108077/22321/53817/224481/68915/69192/67676/66136/224805/20016/224907/67993/106794/72167/100037283/76781/225363/15115/107045/68857/70223/67897/114615/14156/59028/20589/54364/72133/107328/70044/226414/67997/212442/98685/13211/24014/226539/15278/381314/107508/52477/212679/68736/23874/208718/76894/11834/329504/69185/320632/20017/66044/74455/71715/228866/228889/67005/227674/227682/329384/227522/71586/75422/228019/17454/53975/20226/66715/66368/229780/210529/108943/12457/72162/229487/71807/230577/230594/72181/68276/140546/66966/230738/214150/107271/50912/72946/71957/24018/109093/116940/69934/74753/56361/117109/384281/71990/67848/12909/100929/100609/20022/231803/330216/20018/72587/78890/13204/211006/78796/231464/70047/14911/381802/110109/67755/56463/353172/20019/26918/214580/101437/27267/71723/14113/69920/272396/57444/244141/66369/71986/67619/64340/13680/234733/234734/71941/212728/67276/408022/234374/19704/68278/212528/66590/69724/80750/26383/20021/101985/234594/75686/97541/67789/72831/208194/102436/67667/69305/13209/104444/382137/77591/102614/213550/69606/208084/24127/83703/13205/215201/54632	280
GO:0019787	ubiquitin-like protein transferase activity	319/10067	457/28407	3.28068998417964e-51	1.39648036993247e-48	6.52684638957845e-49	268281/71865/17246/67588/21929/70208/68031/11793/209462/19386/67345/20610/22213/216150/70294/93765/12189/66313/170930/217333/338364/217340/217342/11799/672511/67245/67030/103583/193670/71673/66213/211007/94089/59044/66089/76901/22210/21402/407821/216781/108660/94091/52915/216860/66172/67279/67128/195018/21927/78889/71956/67338/103737/76892/68729/207742/217069/19014/23989/65256/22031/108089/217558/207304/69792/66381/68497/238330/81003/71991/26401/19720/214158/218203/105239/66795/50789/105689/328365/93834/66597/223455/30945/70790/75841/68501/56438/67118/66053/70238/209200/67841/17237/224170/208650/78913/22129/50873/224619/213753/22196/268933/56424/240055/58230/224703/19763/54197/79263/22670/69097/19824/195359/224762/76497/224826/18140/224938/12211/225055/225164/67664/56515/56550/56736/320253/83814/240354/240396/225743/212163/50764/28000/109910/109113/76073/226098/69104/12234/93679/76952/18011/74126/17248/67196/19821/26374/381305/226541/66799/66155/76843/98403/214854/381338/67702/12021/26554/14897/67921/65247/208727/80985/228545/22222/70928/140629/24105/16396/68612/81018/66589/329581/22030/68975/227738/319817/72137/68795/22193/71861/56791/107986/229644/94093/66105/381485/20585/212114/19302/66949/80890/50754/229615/67845/29864/76608/66743/67525/75234/67219/12540/68350/69116/230904/63958/242785/668173/76580/140499/107568/51813/74164/67615/73469/74735/109331/76072/192120/242521/69587/671564/231600/330171/117146/50849/72399/80751/56715/74198/384309/108086/74132/140887/100763/59003/19822/70797/53323/55983/58186/67027/71779/101358/100502936/108098/232539/22214/53621/21848/54484/26965/65255/387524/67138/73998/68477/22644/66510/74287/75212/20821/94088/94094/319236/67150/19647/67711/233877/434246/21849/22192/272359/80794/66394/77891/100040608/15204/22215/108937/66894/234736/170737/68718/99375/77733/244421/20437/14339/23802/67610/77853/22036/74153/84585/23807/636931/234959/213211/140630/109161/18854/23806/56469/74165/93836/17999/11797/70348/19823/59024/270627/19893/19820/71458/59026/20438/22209/11798	319
GO:0016755	aminoacyltransferase activity	327/10067	473/28407	5.59278894281762e-51	1.78549786999453e-48	8.34502981730946e-49	268281/71865/17246/67588/21929/70208/68031/11793/209462/19386/67345/14598/20610/22213/216150/70294/93765/12189/66313/170930/217333/338364/217340/217342/11799/672511/67245/67030/103583/193670/71673/66213/211007/94089/59044/66089/76901/22210/21402/407821/216781/108660/94091/52915/216860/66172/67279/67128/195018/21927/78889/71956/67338/103737/76892/68729/207742/217069/19014/23989/65256/22031/108089/217558/207304/69792/66381/68497/238330/81003/71991/26401/19720/214158/218203/105239/66795/50789/105689/328365/93834/66597/223455/30945/70790/75841/68501/56438/67118/66053/70238/209200/67841/17237/224170/208650/78913/22129/50873/224619/213753/22196/268933/56424/240055/58230/224703/19763/54197/79263/22670/69097/19824/195359/224762/76497/224826/18140/224938/12211/225055/225164/67664/56515/56550/56736/320253/83814/240354/240396/225743/212163/50764/28000/109910/109113/76073/226098/69104/12234/93679/76952/18011/74126/17248/67196/19821/26374/381305/226541/66799/66155/76843/98403/214854/381338/67702/12021/26554/14897/67921/65247/208727/80985/228545/22222/13828/640543/70928/140629/24105/16396/207182/21817/68612/81018/66589/329581/22030/68975/227738/319817/72137/68795/22193/71861/56791/107986/229644/94093/66105/381485/20585/212114/19302/66949/80890/50754/229615/67845/29864/76608/66743/67525/75234/67219/12540/68350/69116/230904/63958/242785/668173/76580/140499/107568/51813/74164/67615/73469/74735/109331/76072/192120/242521/69587/671564/231600/330171/117146/50849/72399/80751/56715/74198/384309/108086/74132/140887/100763/59003/19822/70797/53323/55983/58186/67027/71779/101358/100502936/108098/232539/22214/53621/21848/54484/26965/65255/387524/67138/73998/68477/22644/66510/74287/75212/20821/94088/94094/319236/67150/19647/67711/233877/434246/21849/11907/22192/272359/67369/80794/66394/77891/100040608/15204/22215/108937/66894/234736/170737/68718/99375/77733/244421/20437/14339/23802/67610/77853/22036/74153/84585/23807/636931/331046/234959/213211/140630/109161/18854/23806/56469/74165/93836/17999/11797/70348/19823/59024/270627/19893/19820/71458/59026/20438/22209/11798	327
GO:0004842	ubiquitin-protein transferase activity	301/10067	431/28407	1.9036833472294e-48	4.86200726882388e-46	2.27239675342962e-46	268281/71865/17246/67588/21929/70208/68031/209462/67345/22213/216150/70294/93765/12189/66313/217333/338364/217340/217342/11799/672511/67245/67030/103583/193670/71673/66213/211007/94089/59044/66089/76901/22210/21402/407821/216781/108660/94091/216860/66172/67279/67128/21927/78889/71956/67338/103737/76892/68729/207742/217069/19014/23989/65256/22031/108089/217558/207304/69792/66381/68497/238330/81003/71991/26401/19720/214158/218203/105239/50789/105689/93834/66597/223455/30945/70790/75841/68501/56438/67118/66053/70238/209200/17237/224170/208650/78913/22129/50873/224619/213753/22196/268933/56424/240055/58230/224703/19763/54197/79263/22670/69097/19824/195359/224762/76497/224826/18140/224938/12211/225055/225164/67664/56515/56550/56736/320253/83814/240354/240396/225743/212163/50764/28000/109910/109113/76073/226098/69104/12234/93679/76952/18011/74126/17248/67196/19821/26374/381305/226541/66799/76843/214854/381338/67702/12021/26554/14897/65247/80985/228545/22222/70928/140629/24105/16396/68612/81018/66589/329581/22030/68975/227738/319817/72137/68795/22193/71861/56791/107986/229644/94093/66105/381485/20585/212114/19302/66949/80890/50754/67845/29864/76608/66743/67525/75234/67219/12540/68350/69116/230904/63958/242785/668173/76580/140499/107568/51813/74164/67615/73469/74735/109331/76072/192120/242521/69587/231600/330171/117146/50849/72399/80751/56715/74198/384309/108086/74132/140887/100763/59003/19822/70797/53323/55983/58186/67027/71779/101358/100502936/108098/232539/22214/53621/21848/54484/26965/65255/387524/67138/73998/68477/22644/66510/74287/75212/20821/94088/94094/319236/67150/19647/67711/233877/434246/21849/22192/272359/80794/66394/77891/100040608/15204/22215/108937/66894/234736/170737/68718/99375/77733/244421/20437/23802/67610/77853/22036/74153/84585/23807/636931/234959/213211/140630/109161/23806/74165/93836/17999/11797/70348/19823/59024/270627/19893/19820/71458/59026/20438/22209/11798	301
GO:0140097	catalytic activity, acting on DNA	188/10067	237/28407	8.96160445462442e-44	1.90732814809256e-41	8.91443811538955e-42	268281/117599/56351/19714/77987/71567/338359/327762/19205/21665/50776/207165/170472/338371/268395/19360/27041/54125/21975/216848/237877/19364/237911/114714/18102/268465/21973/192119/74335/209334/104721/104806/19363/211064/104884/12572/56196/76251/108138/17686/27015/21974/319955/218914/21745/11792/67772/382913/71726/19355/72107/69694/93696/72960/14375/71175/106344/77782/12648/18207/75178/193838/15361/111241/17687/80905/320209/17685/17688/76781/225182/13872/26447/14156/20589/107182/15201/21673/19367/69745/56626/13006/71711/55947/18969/226409/17219/13211/21749/26909/17215/56210/54380/50755/19361/68142/66634/13436/21969/71389/269400/227525/74044/140917/55993/20585/72162/21427/21748/68058/623474/19366/73172/19646/93760/13368/66408/320790/191578/330149/18973/75560/231642/22256/72151/19718/72041/17220/18861/69263/57434/19687/333789/18294/17193/330409/107932/19691/72103/17216/67967/16881/13870/13871/22594/18807/18971/78286/330554/244059/68048/57444/18975/12144/233532/27050/214987/21750/209966/18970/22427/408022/234258/74549/19704/234396/17218/93762/13423/214627/109151/26383/319583/81000/72831/17874/208194/17535/13433/20586/104444/208084/236930/22589/13205/69537/245474/18968	188
GO:0061659	ubiquitin-like protein ligase activity	253/10067	362/28407	5.46567812351386e-41	9.38077957744677e-39	4.38437293031556e-39	268281/71865/17246/67588/70208/68031/11793/209462/19386/67345/70294/66313/217333/338364/217340/217342/11799/672511/67245/67030/103583/193670/71673/66213/211007/94089/59044/66089/76901/407821/216781/94091/52915/216860/66172/67279/195018/78889/71956/67338/76892/68729/207742/217069/19014/23989/65256/22031/108089/217558/207304/69792/66381/68497/238330/81003/19720/214158/218203/105239/105689/328365/93834/66597/223455/30945/70790/75841/68501/56438/67118/66053/70238/209200/67841/17237/224170/208650/78913/50873/224619/213753/268933/56424/240055/58230/224703/19763/54197/79263/22670/69097/19824/195359/224762/76497/224826/18140/224938/225164/67664/56515/56550/56736/83814/240396/225743/212163/50764/28000/109113/76073/226098/69104/12234/93679/76952/18011/74126/19821/26374/381305/98403/214854/381338/67702/26554/14897/65247/80985/228545/22222/70928/140629/16396/81018/329581/68975/227738/319817/68795/71861/229644/94093/66105/381485/20585/212114/19302/66949/80890/50754/229615/67845/29864/66743/67525/75234/67219/12540/68350/69116/230904/63958/668173/76580/107568/51813/74164/73469/74735/109331/76072/192120/69587/231600/117146/50849/72399/80751/56715/74198/384309/108086/74132/100763/59003/19822/70797/53323/55983/58186/67027/71779/108098/21848/54484/26965/65255/387524/67138/73998/68477/66510/74287/75212/20821/94088/94094/319236/19647/67711/434246/21849/272359/80794/66394/100040608/15204/22215/66894/234736/170737/68718/99375/77733/244421/20437/23802/77853/22036/84585/23807/636931/234959/213211/140630/18854/23806/56469/74165/93836/17999/11797/70348/19823/59024/19893/19820/59026/20438/22209/11798	253
GO:0043021	ribonucleoprotein complex binding	160/10067	195/28407	5.87676089425013e-41	9.38077957744677e-39	4.38437293031556e-39	432508/17246/78428/67851/67332/70377/103425/28109/20918/70207/67163/13207/217331/217337/20335/67579/18148/30939/14694/27041/73158/216766/276770/53422/12261/216877/116891/103677/276919/57837/71956/20557/237890/18102/67236/66244/665931/13665/218629/105083/75420/15387/69237/218506/69019/66487/219022/52535/15381/69089/27374/66897/68614/12419/52521/67819/78757/12181/67040/78913/74112/213753/20630/18712/13001/224727/224742/72322/20641/16210/66384/13664/20589/208922/19045/70769/66836/20643/13211/24014/68944/16589/51810/67459/214616/70354/20638/12995/16396/16418/170791/20014/228994/68879/13418/14828/67871/66489/57743/71586/65964/75786/18741/229096/208691/57815/74838/229317/97112/242602/102635290/66101/230738/68040/56717/107999/22256/231659/72650/66711/76366/56384/66661/56449/20901/56463/14056/75593/66870/68011/65967/53421/70316/56347/70233/67186/107686/53607/66525/73830/69804/68988/15469/211548/71974/101592/214572/270035/67276/24015/102060/15983/16785/68969/56040/213742/13205/70998/14265/19652	160
GO:0061630	ubiquitin protein ligase activity	242/10067	345/28407	1.10523096992659e-39	1.56819994288473e-37	7.32942643214478e-38	268281/71865/17246/67588/70208/68031/209462/67345/70294/66313/217333/338364/217340/217342/11799/672511/67245/67030/103583/193670/71673/66213/211007/94089/59044/66089/76901/407821/216781/94091/216860/66172/67279/78889/71956/67338/76892/68729/207742/217069/19014/23989/65256/22031/108089/217558/207304/69792/66381/68497/238330/81003/19720/214158/218203/105239/105689/93834/66597/223455/30945/70790/75841/56438/67118/66053/70238/209200/17237/224170/208650/78913/50873/224619/213753/268933/56424/240055/58230/224703/19763/54197/79263/22670/69097/19824/195359/224762/76497/224826/18140/224938/225164/67664/56515/56550/56736/83814/240396/225743/212163/50764/28000/109113/76073/226098/69104/12234/93679/76952/18011/74126/19821/26374/381305/214854/381338/67702/26554/14897/65247/80985/228545/22222/70928/140629/16396/81018/329581/68975/227738/319817/68795/71861/229644/94093/66105/381485/20585/212114/19302/66949/80890/50754/67845/29864/66743/67525/75234/67219/12540/68350/69116/230904/63958/668173/76580/107568/51813/74164/73469/74735/109331/76072/192120/69587/231600/117146/50849/72399/80751/56715/74198/384309/108086/74132/100763/59003/19822/70797/53323/55983/58186/67027/71779/108098/21848/54484/26965/65255/387524/67138/73998/68477/66510/74287/75212/20821/94088/94094/319236/19647/67711/434246/21849/272359/80794/66394/100040608/15204/22215/66894/234736/170737/68718/99375/77733/244421/20437/23802/77853/22036/84585/23807/636931/234959/213211/140630/23806/74165/93836/17999/11797/70348/19823/59024/19893/19820/59026/20438/22209/11798	242
GO:0140993	histone modifying activity	159/10067	196/28407	1.67262780814553e-39	2.13594571100185e-37	9.98294702335281e-38	12566/15182/93759/108829/12534/54387/208266/14534/14055/18750/107817/76901/216825/20877/216850/14841/52615/68729/217127/23989/73086/110616/22367/52690/79221/17977/108143/12593/16468/218214/18676/18193/54169/104416/27374/239122/105787/328572/223770/170787/56233/381022/70238/209200/12914/72117/74112/224440/13548/72057/268936/110147/224826/224836/18519/18140/193796/277250/15183/16452/76073/225888/225876/76055/20874/81601/70999/23942/75605/14048/19821/69726/226830/208727/12235/228714/21817/14049/17979/77683/140858/64707/228019/107435/11909/229675/229906/269424/73251/192195/84505/71148/230674/70088/433759/14050/99982/18602/18600/70673/26409/109331/76804/320713/69587/75387/71954/30841/208043/67956/22385/12190/12568/231051/107823/72895/78783/214899/28019/71777/338523/14056/104263/232232/24075/77035/233904/67773/233020/14113/64383/75410/15469/232811/13626/214572/244349/234135/23808/320795/321006/15235/235626/244694/59035/12649/214162/270627/70315/320595/59026/20591/635253/17692/22289/22209/15185/20937/22290	159
