ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-MMU-195258	RHO GTPase Effectors	228/6978	238/8582	1.72955416139239e-11	1.9319119982753e-08	1.47649307883077e-08	17931/103468/17904/94221/19386/52696/69912/69736/57778/18750/445007/14784/108100/11465/66713/103573/70385/76884/18016/19052/77579/83431/20877/13543/13385/18643/76281/18472/22627/216965/66140/68097/73470/12313/14026/26931/13424/19878/22630/52504/208846/26932/11852/26886/60411/16563/22151/73710/238463/66336/544963/18753/16709/56419/105855/22631/14083/14787/17886/17972/19354/223701/19387/66570/19094/22143/22142/22146/22379/26413/13544/224105/51792/18607/71893/26416/224480/20807/72415/22153/67938/67052/104215/12314/19877/225326/12532/12385/13367/16573/67951/72124/66468/11854/225849/17283/16319/76707/74117/14270/17978/381293/67771/17970/66977/226747/108000/226849/68549/329165/76709/22145/228421/12236/12235/13589/98932/66934/20779/54401/545486/11308/241275/227613/263803/11350/320271/71409/66442/13427/215280/50884/59015/75786/229841/109333/18645/404710/67037/100043813/20201/20202/73804/107995/52276/242687/18221/55948/12540/108911/69928/18762/13542/67733/56455/12704/19047/56378/56430/208628/17969/16885/22628/17120/11461/19353/56443/11867/245880/12615/19046/22629/12617/101314/110379/53857/22144/22147/12638/13426/56150/269966/56212/18817/18751/26417/12237/12315/232943/232987/68458/52428/71960/22342/20430/233406/29875/234663/320394/12550/72155/13057/22152/234865/19053/71876/320795/17973/75669/11848/80987/76499/235661/12387/23988/67629/26951/73699/68014/236930/54004/237038/102920/12229/18481/192176/13058/11835	228
R-MMU-9012999	RHO GTPase cycle	362/6978	395/8582	3.2201753213702e-09	1.79846791698526e-06	1.37450641349012e-06	12461/327826/117600/52666/108037/23943/73910/83397/94221/14609/268301/69288/110279/216197/75089/16480/19285/11858/57778/544817/21763/56699/14784/108100/11465/15239/69922/108686/20742/20868/94176/76884/56418/11671/442801/18806/11736/109934/12874/216963/21927/67300/76626/58996/15519/19878/77480/238130/76983/11855/20663/208846/80837/263406/109711/11852/18708/59079/218581/238505/109620/56349/328232/76577/544963/320557/110596/75409/223254/71228/71704/64652/239027/218952/16709/15381/219140/19229/68813/246710/108670/56419/105855/70350/223435/210998/14787/105782/223666/17972/19354/104445/20401/207495/66251/68653/73167/66871/19230/223870/223881/22143/22379/26934/224014/20462/224105/22042/17063/545156/12549/15369/74201/68146/16443/71893/23853/106504/26382/24001/53817/14251/224480/15516/107971/106628/22324/19765/268970/72536/260409/20662/104215/19877/13511/225358/13367/106952/71302/16906/75415/53382/70361/75739/269061/21873/76088/71085/71972/11854/20874/27360/26403/104252/109294/68428/14270/381293/17970/208263/226525/226652/93840/226751/98386/68187/13518/22637/17974/74018/329165/26554/210293/53972/227377/228482/214230/228543/211499/20619/12848/77006/22352/16449/20844/170791/545481/140579/277360/58220/71435/11308/74159/241275/329366/22325/107746/263803/14269/99412/13830/76117/74194/56324/71409/227937/108699/50884/68349/228359/229658/57257/13171/19299/214137/242202/109333/214804/13605/18706/70804/622434/386750/20257/404710/16800/59069/56374/18710/16818/242687/18221/67586/66146/51796/12540/12345/72754/213649/13836/56381/22319/269608/269523/230098/68917/109331/26891/231532/19249/269682/71782/26431/12704/330177/23912/12466/17969/11461/19353/66898/245880/243362/56384/54216/74734/52331/259302/66087/101314/67784/213522/11857/12389/12638/68202/54324/69993/58909/20355/12468/232201/19349/18844/232237/207212/69710/66508/56212/20947/66922/101565/19647/70497/233877/207425/330662/232906/16801/101497/70584/233071/233103/52428/20430/75547/29875/434204/233489/56513/66894/54126/13057/69581/16412/234094/102098/244418/50768/59009/78816/18709/326618/78514/320795/17973/11848/12539/319899/68743/330914/84004/244895/12988/270163/72565/50875/208994/214345/70598/17920/71544/54004/22284/237038/18481/14163/195727/76763/11856/75974/320634/73341/109904/53332/27061/13726/54411/13058/236915/94190/236920	362
R-MMU-2555396	Mitotic Metaphase and Anaphase	207/6978	219/8582	8.11473450653286e-09	2.64938840045522e-06	2.02483531335738e-06	103468/67141/19386/52717/12534/216080/52696/69912/69736/19192/217232/66997/445007/208092/103573/69922/78294/103554/70385/30939/19052/22187/83431/20877/19175/18472/216965/69077/66140/68097/73470/16211/26446/22123/19179/22367/26931/13424/52504/26443/19167/26932/26886/268697/60411/16563/19166/22151/73710/238463/66336/66413/22194/218914/67089/19173/19188/71978/105513/105988/19357/170762/19387/66570/22143/22142/22146/21762/68942/19170/51792/22196/16912/16913/72415/22153/67052/50850/52563/16906/67951/72124/66468/13006/23825/67849/225849/16319/76707/66977/226747/98386/108000/226849/68549/22218/22145/70247/228421/12236/12235/17222/228769/13589/75608/170791/66934/68612/545486/227613/99152/227699/66998/19177/59029/66442/13427/69482/59015/19182/75786/26442/229841/67037/16905/100043813/19172/19185/72787/319965/73804/107995/52276/26445/100088/18221/108911/69928/66440/67733/71782/56455/19047/56317/59008/67151/56430/208628/22190/19384/107939/17120/100710/19181/12615/52206/12617/110379/53857/22144/22147/13426/56150/66700/75430/269966/26440/18817/68953/12237/23997/232987/23996/64383/57296/77891/234663/320394/19171/116733/17463/71955/72155/22152/234865/69957/19053/71876/22186/68999/71805/20842/76499/235661/67629/26951/73699/26441/68014/12442/236930/70315/102920/53380/24061/20843/13726	207
R-MMU-68882	Mitotic Anaphase	206/6978	218/8582	9.48751441523801e-09	2.64938840045522e-06	2.02483531335738e-06	103468/19386/52717/12534/216080/52696/69912/69736/19192/217232/66997/445007/208092/103573/69922/78294/103554/70385/30939/19052/22187/83431/20877/19175/18472/216965/69077/66140/68097/73470/16211/26446/22123/19179/22367/26931/13424/52504/26443/19167/26932/26886/268697/60411/16563/19166/22151/73710/238463/66336/66413/22194/218914/67089/19173/19188/71978/105513/105988/19357/170762/19387/66570/22143/22142/22146/21762/68942/19170/51792/22196/16912/16913/72415/22153/67052/50850/52563/16906/67951/72124/66468/13006/23825/67849/225849/16319/76707/66977/226747/98386/108000/226849/68549/22218/22145/70247/228421/12236/12235/17222/228769/13589/75608/170791/66934/68612/545486/227613/99152/227699/66998/19177/59029/66442/13427/69482/59015/19182/75786/26442/229841/67037/16905/100043813/19172/19185/72787/319965/73804/107995/52276/26445/100088/18221/108911/69928/66440/67733/71782/56455/19047/56317/59008/67151/56430/208628/22190/19384/107939/17120/100710/19181/12615/52206/12617/110379/53857/22144/22147/13426/56150/66700/75430/269966/26440/18817/68953/12237/23997/232987/23996/64383/57296/77891/234663/320394/19171/116733/17463/71955/72155/22152/234865/69957/19053/71876/22186/68999/71805/20842/76499/235661/67629/26951/73699/26441/68014/12442/236930/70315/102920/53380/24061/20843/13726	206
R-MMU-68877	Mitotic Prometaphase	178/6978	187/8582	1.74155945020555e-08	3.89064381175919e-06	2.97348360866673e-06	216274/103468/69654/19386/12534/52696/18541/69912/69736/17997/103733/103768/445007/12009/104318/103573/70385/19052/83431/20877/18472/22627/216965/66140/68097/73470/26931/13424/15519/19088/52504/26932/26886/268697/60411/16563/22151/73710/238463/66336/74470/218914/219072/219103/76789/19357/27373/19387/66570/328580/22143/22142/22146/72083/51792/13001/22154/72415/22153/67052/75296/78798/67951/225659/72124/70799/66468/225745/208518/54130/13006/67849/225849/16319/76707/66977/76816/226747/108000/226849/18005/68549/22145/228421/12236/51885/99100/215387/12235/78177/12995/13589/16328/66934/545486/227613/68475/18286/66442/13427/59015/75786/229841/20873/70099/67037/100043813/73804/107995/52276/18221/108911/69928/53598/14211/214444/230376/67733/56455/19047/56430/208628/22628/17120/100710/12615/231123/100986/54392/381644/12617/110379/53857/22144/22147/83922/13426/56150/13191/236266/101706/269966/101565/18817/12237/232987/71909/233276/234663/320394/72155/22152/234865/259279/19053/18536/71876/76478/18747/13000/20842/28135/76499/235661/74360/67629/26951/73699/68014/12442/68121/236930/70315/102920/24061/237222/20843/73738	178
R-MMU-9006934	Signaling by Receptor Tyrosine Kinases	364/6978	400/8582	2.76080440882313e-08	5.1396975410924e-06	3.92809188693958e-06	17311/327826/215449/20852/17937/67588/20393/19272/15182/16775/14360/13982/13654/12833/19205/66420/26396/17179/16000/67603/16480/20851/20850/20848/11975/72349/16416/18750/260302/14784/20698/14783/108100/11465/15239/13649/114716/78294/14172/76884/14257/19052/23939/71520/22187/20020/12928/71770/319939/67300/12842/16400/217169/12313/73086/15519/11651/19878/68775/77480/11845/73834/18654/399558/18708/59079/16398/14165/140580/56705/14186/18212/218397/21828/24064/18753/18183/14180/19229/14171/68705/11908/105855/17749/66335/78757/14083/17972/69833/18591/17444/328572/109270/29857/19094/12824/26413/12929/11773/224105/11964/18815/21826/51792/18607/11984/56716/56424/11974/26416/26415/12815/66237/22339/20807/107971/20405/98053/22324/14158/20112/11682/76890/20662/18754/12314/19877/225326/69241/12385/15200/13367/15183/14164/18596/19255/18552/16452/72514/27060/396184/67710/17164/338375/17970/23797/19165/12839/19253/17974/12825/12832/108664/329165/18187/12912/13869/14268/227290/16367/12064/114715/20732/84092/71436/20844/228775/16396/20779/18803/54401/17395/140579/19246/20459/11308/22325/12831/19730/107746/227743/56324/14425/50884/16410/12388/19271/17242/18049/109905/57257/12814/13645/71355/18749/18706/14173/24063/54635/27371/21827/20416/75778/226548/94212/13858/17346/18710/114143/19268/433759/16818/19273/242687/20111/12540/56717/18762/107568/242341/17096/230126/545622/373864/66290/20404/20750/21814/116701/19303/19247/16923/21871/22190/17969/15507/23921/18590/11461/19353/245880/14255/14254/16591/15234/19248/18127/54426/14181/21682/18595/16590/16542/231329/11839/12223/101314/11973/15170/107932/18205/14177/64654/16653/12389/19283/66144/19242/140494/109880/12843/76252/110935/21802/16206/18576/18751/26417/14183/330662/15461/11772/13033/16334/14175/232910/12315/26362/19342/11652/20733/69920/15451/101568/11771/14256/13854/20430/18553/16001/18213/14159/18550/20408/12562/11972/74334/384783/12826/12827/80707/54126/13057/19341/18186/16412/18791/14182/211323/16337/19053/319520/80857/22341/11966/22186/18709/16453/13859/14388/67903/18747/20021/17973/75669/665033/81897/235584/102626/19882/15235/11848/12387/53867/12539/12649/12402/73699/75717/12988/71785/214058/208117/17999/22601/74769/80903/16370/18481/110651/58194/14205/54411/13058	364
R-MMU-983168	Antigen processing: Ubiquitination & Proteasome degradation	263/6978	285/8582	9.07045844784563e-08	1.44738601232051e-05	1.10618673702298e-05	71865/67588/268291/209462/67345/216080/22213/216150/70294/50492/56371/69754/93765/217194/19192/217217/217232/66313/66997/217342/12702/78294/103554/103583/211007/59044/22210/21402/94091/22187/19175/67128/104184/78889/69077/68729/19155/26446/72194/22123/19179/65256/104836/26443/69706/94090/19167/68497/19166/142688/328234/218203/218215/109082/213311/380928/50789/66413/22194/218793/142687/67089/19173/19188/71393/448987/30945/106052/67731/56438/27401/78541/12703/70620/22195/224023/21762/209200/207215/17237/224170/208650/78913/50873/19170/240028/67673/12449/74154/56424/16912/16913/79263/224826/224938/225055/56515/71745/52563/56550/56736/28105/240396/226098/30838/68431/226541/66799/67923/22019/329152/57751/26554/14897/70247/208372/67921/65247/22222/70928/17222/140629/228769/24105/16396/68612/81018/66589/99152/30839/98766/72323/227738/66998/19177/59029/228003/22193/56791/19182/26442/66105/66772/20439/50754/70093/19172/19185/67845/230654/76608/66743/107995/26445/69116/50762/230904/74646/242785/76580/140499/107568/269514/67490/67615/269529/66440/69807/242521/170823/117146/231670/56317/59008/80751/67151/22190/212919/75788/74132/320118/19181/117590/100763/19822/242960/52206/71778/53323/16924/231380/68098/22346/74244/101358/14794/232539/22214/26965/65255/387524/67138/73998/243574/22200/26440/19647/22192/23997/23996/233040/50760/57296/77891/15204/22215/117589/207952/76375/83962/50788/19171/17463/170737/209239/76454/69957/76294/59009/77113/22186/68999/68628/20437/69010/66663/321006/22036/74153/84585/23807/636931/30843/50868/140630/75717/26441/109161/71999/235439/93836/17999/71538/70348/19823/211949/19820/53380/59026/68854/22201/22209/18744	263
R-MMU-8953897	Cellular responses to stimuli	398/6978	443/8582	3.12827420266961e-07	3.59937372940412e-05	2.75087602558238e-05	17246/103468/15364/270802/12567/69654/56351/12566/17684/26408/140742/66403/19386/52717/93759/216080/104248/69912/56371/50493/69736/19192/217232/70207/78943/66997/26399/445007/217365/103573/78294/103554/17168/71962/26420/18412/21402/216742/14778/12323/216805/26397/23939/22187/26398/52892/216850/22059/19175/50932/19069/68275/22627/52615/69077/68097/69802/26446/19014/22123/19179/13424/15519/11651/68775/17977/112407/26443/56444/19167/15251/15512/238055/73834/13665/14281/268706/69590/19166/14780/75512/14957/80838/22151/73710/238463/218210/12867/66413/22194/12325/26419/50527/67089/16475/19173/19188/71844/19645/66335/15499/17972/14958/170762/56438/328572/18141/19094/27401/22143/22142/22146/17250/26413/26462/15260/21762/224111/56637/11964/15369/170644/110920/12013/20655/23872/20656/19170/67673/11984/56716/268933/11974/77128/15361/111241/14229/26416/12575/16912/16913/110147/15511/193740/66237/15516/22153/50758/20112/20463/72416/13819/71745/52563/15526/56550/15183/14815/16906/67665/12322/67951/72124/27060/14870/319594/54130/12460/81601/73442/11757/12868/17164/17978/17248/338375/108989/17970/11758/67923/17087/226641/23797/66359/213539/26921/108664/22145/26554/70247/98402/12359/109778/17222/72630/228769/76650/14950/67204/68612/12608/66679/545486/229003/77683/227613/99152/20181/227699/227720/14828/66998/50497/19177/59029/13427/18024/69482/59015/19182/68576/26442/108058/66105/56692/81004/665113/18759/12428/18415/12427/329679/83409/19172/19185/11863/108079/72787/67305/12448/18477/114143/230676/54170/26445/19646/230784/20111/68350/12345/56717/242341/52187/116940/15502/12017/53598/269523/22166/66440/66290/21898/68441/16476/26414/75560/56455/12861/80888/17165/56317/59008/67151/20602/22190/80909/17969/107939/66096/68033/17135/15505/19181/231042/66993/19744/23950/12571/277854/52206/231430/11657/269113/22346/110379/17992/11973/53857/22144/101142/14228/56760/12576/101148/12344/22147/12343/66144/26965/14056/76252/13063/13426/13666/252875/13191/110935/54563/75430/66508/269966/101488143/26440/26417/29810/23997/53417/112406/233016/11652/23996/57296/110323/12447/18226/67605/77891/67669/13626/234663/11972/19171/17463/319481/68196/56453/12857/67443/13057/22152/234865/112405/69957/67384/14782/22428/26400/11966/22186/20467/15368/68999/81489/21672/56445/109151/17751/17750/17748/71805/102626/14775/235661/29806/17535/50868/59035/23871/15481/11806/11920/58233/26441/20466/12858/13627/18667/66142/53380/245670/270669/110651/245688/21372/15185/26905/13058/11835	398
R-MMU-5663220	RHO GTPases Activate Formins	126/6978	131/8582	3.34049991741456e-07	3.59937372940412e-05	2.75087602558238e-05	103468/19386/52696/69912/69736/57778/445007/11465/103573/70385/19052/83431/20877/13543/18643/18472/216965/66140/68097/73470/14026/26931/13424/52504/208846/26932/11852/26886/60411/16563/22151/73710/238463/66336/56419/223701/19387/66570/22143/22142/22146/22379/13544/51792/20807/72415/22153/67052/13367/67951/72124/66468/11854/225849/16319/76707/14270/66977/226747/108000/226849/68549/22145/228421/12236/12235/13589/66934/20779/545486/227613/320271/71409/66442/13427/59015/75786/229841/18645/67037/100043813/73804/107995/52276/18221/12540/108911/69928/13542/67733/56455/19047/56430/208628/17120/11461/19353/12615/12617/110379/53857/22144/22147/13426/56150/269966/18817/12237/232987/234663/320394/72155/22152/234865/19053/71876/11848/76499/235661/67629/26951/73699/68014/236930/54004/102920	126
R-MMU-983169	Class I MHC mediated antigen processing & presentation	311/6978	342/8582	3.57585949002328e-07	3.59937372940412e-05	2.75087602558238e-05	71865/67588/268291/209462/67345/216080/22213/216150/70294/50492/56371/69754/93765/217194/19192/217217/217232/17534/66313/66997/217342/12702/78294/103554/103583/211007/59044/12330/77371/66397/22210/21402/94091/22187/19175/67128/104184/78889/69077/68729/19155/26446/72194/22123/19179/65256/104836/26443/20334/69706/94090/19167/68497/19166/142688/328234/218203/218215/109082/213311/80898/380928/50789/66413/22194/218793/218811/142687/67089/19173/19188/71393/448987/30945/106052/67731/17972/56438/27401/78541/12703/70620/22195/224023/21762/16419/209200/207215/17237/224170/208650/78913/50873/19170/240028/67673/12449/74154/56424/21356/14972/16912/21354/16913/21355/15006/15007/15040/15039/667977/79263/14985/110696/224753/224761/399549/240095/14991/224826/224938/225055/56515/71745/52563/56550/56736/28105/240396/226098/30838/68431/17970/226541/66799/67923/22019/329152/57751/26554/14897/70247/208372/67921/65247/20619/22222/14827/12010/70928/17222/140629/17533/228769/24105/16396/68612/81018/66589/99152/30839/98766/72323/227738/14828/66998/19177/59029/228003/22193/16410/56791/19182/26442/69608/99683/66105/66772/20439/50754/70093/19172/19185/14129/67845/20333/230654/76608/66743/107995/26445/69116/50762/230904/74646/22319/242785/76580/140499/107568/269514/67490/67615/269529/66440/69807/242521/69162/170823/117146/231670/56317/59008/80751/67151/22190/212919/17969/75788/74132/12491/320118/19181/117590/100763/19822/242960/52206/71778/53323/16924/231380/68098/22346/110379/74244/101358/14794/232539/22214/26965/65255/387524/67138/73998/22320/246278/243574/22200/26440/19647/20909/22192/23997/23996/233040/50760/57296/77891/15204/22215/117589/207952/76375/83962/50788/19171/17463/170737/209239/76454/13057/69957/76294/59009/77113/22186/68999/12317/68628/20437/69010/66663/321006/22036/74153/84585/23807/636931/30843/50868/140630/75717/26441/109161/71999/235439/93836/17999/71538/70348/19823/211949/19820/53380/59026/68854/22201/22209/27061/13058/18744	311
