ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-MMU-69278	Cell Cycle, Mitotic	191/2223	498/8582	2.1889840979661e-10	2.39912657137084e-07	1.96778149438215e-07	231042/64898/19088/22187/19386/21781/16319/13427/242705/18141/18005/16563/11350/319170/71648/26429/78833/19046/69922/78887/216274/319172/17219/16211/66700/108000/103468/59015/319161/19192/100088/16328/227613/69386/22218/17463/75608/108989/19188/20842/67151/218914/217718/23834/12448/19718/54563/12577/52717/26440/17997/319156/16905/19166/17220/665596/234663/19384/236266/13424/216965/19645/319167/231506/68549/100710/30939/68275/66442/77805/98386/229841/67849/52683/71805/12545/66977/50850/19170/13001/18286/17931/66671/18972/12534/381644/59046/83922/68240/26931/19175/60411/12428/56371/319965/66979/56430/13548/52206/104318/100986/12566/319160/75786/72119/68097/15519/19172/68121/76816/319179/19185/17120/12447/17215/13559/26886/73699/23997/18969/105513/319184/12445/20873/103733/22146/319187/12571/99100/59029/71876/12532/106344/99412/12530/11651/26441/69745/326619/228769/68612/56438/101706/17274/16906/69957/22153/66468/108911/19651/208518/22190/74549/69654/18538/12572/22143/12576/18392/13555/229776/12235/78303/14245/13191/27214/105988/26417/217232/71909/15270/319178/12531/70247/76308/19052/22367/56086/69270/22059/320332/319189/13000/26932/83431/22151/15516/57441/12237/107939/70385	191
R-MMU-983169	Class I MHC mediated antigen processing & presentation	127/2223	342/8582	1.99534285525992e-06	0.000559039760778858	0.000458528578280008	67921/22187/217342/242785/22214/71865/67845/81018/30945/224023/98766/109161/69754/76454/66313/67615/225055/170737/19192/17463/69116/207952/99683/19188/100529082/67151/387524/12010/208372/74244/26440/23807/19166/22210/230904/77371/21356/71538/211007/269514/65247/53323/68431/83962/50754/17972/76294/233902/170823/93765/75788/224761/231380/19170/67138/66105/321006/235439/14828/19155/209239/14991/19175/56371/268470/76608/74132/52206/208650/67923/12491/19172/209462/22019/12317/22222/19185/66743/69706/74492/23997/70928/21354/230654/15040/59029/68729/22320/218811/26441/228769/56736/68612/56791/56438/224938/79263/69957/211255/218793/20909/14972/243574/59044/14897/22190/24105/20334/21355/65255/104836/94091/71778/66397/217232/213311/70247/22192/117589/12703/80898/20439/218203/74153/14827/80751/19823	127
R-MMU-195258	RHO GTPase Effectors	94/2223	238/8582	2.24892917153551e-06	0.000559039760778858	0.000458528578280008	11848/19353/74117/19386/16319/13427/16563/11350/19046/208846/94221/17886/108000/14083/103468/59015/22631/227613/22629/17978/109333/19877/12704/80987/14270/12385/14787/76281/52428/234663/13424/17972/216965/18643/68549/544963/11465/16885/66442/19878/229841/11308/66977/12387/17931/77579/66713/26931/60411/12540/56430/13544/215280/56419/75786/68097/26416/225326/11854/71893/320795/17120/26886/73699/16709/22146/56212/71876/12532/13367/101314/67938/76884/224105/22153/66468/108911/29875/242687/11461/22143/12235/223701/26417/18762/19052/26932/83431/22151/12315/12237/13542/20807/70385	94
R-MMU-69620	Cell Cycle Checkpoints	106/2223	277/8582	2.94756870087102e-06	0.000559039760778858	0.000458528578280008	22187/15574/19386/16319/13427/16563/26429/17219/108000/29813/103468/59015/22631/319161/19192/69386/17463/17246/22629/19188/67151/12021/23834/12448/19718/52717/26440/319156/19166/107823/17220/228829/665596/234663/13424/216965/17248/68549/93765/68275/66442/229841/12545/66977/19170/12534/68240/26931/19175/60411/12428/12144/56430/52206/12566/319160/75786/68097/19172/319179/19185/17120/12447/19367/19355/17215/26886/73699/23997/319184/22427/319187/59029/71876/12532/106344/12530/26441/326619/228769/68612/69957/66468/108911/225182/22190/12576/18392/12235/78303/27214/217232/15270/319178/70247/19052/22059/320332/319189/26932/83431/12237/81601/70238/70385/26374	106
R-MMU-3214847	HATs acetylate histones	37/2223	72/8582	3.09699558885921e-06	0.000559039760778858	0.000458528578280008	319151/66262/226976/319161/69386/223770/17978/76719/319156/228829/665596/17977/97114/319150/268936/97908/76901/319160/54169/319179/319184/77853/319187/15077/70088/326619/269424/319186/28019/78303/319152/319178/217127/74026/320332/319148/319189	37
R-MMU-3247509	Chromatin modifying enzymes	79/2223	194/8582	3.71571478522511e-06	0.000559039760778858	0.000458528578280008	50724/116871/319170/319151/621893/66262/319172/54343/226976/67956/319161/69386/223770/17978/104263/76719/18601/319156/107823/228829/665596/71371/11569/17977/97114/319150/69726/19712/268936/319167/213464/18033/234135/52615/232811/93760/97908/52690/208043/238247/214899/76901/59035/319160/234366/54169/319179/216848/338523/57376/319184/77853/319187/277250/15077/70088/225888/326619/99890/73251/235626/14056/71954/269424/319186/226830/28019/78303/319152/319178/217127/74026/18676/320332/214572/319148/319189/15353/83797	79
R-MMU-4839726	Chromatin organization	79/2223	194/8582	3.71571478522511e-06	0.000559039760778858	0.000458528578280008	50724/116871/319170/319151/621893/66262/319172/54343/226976/67956/319161/69386/223770/17978/104263/76719/18601/319156/107823/228829/665596/71371/11569/17977/97114/319150/69726/19712/268936/319167/213464/18033/234135/52615/232811/93760/97908/52690/208043/238247/214899/76901/59035/319160/234366/54169/319179/216848/338523/57376/319184/77853/319187/277250/15077/70088/225888/326619/99890/73251/235626/14056/71954/269424/319186/226830/28019/78303/319152/319178/217127/74026/18676/320332/214572/319148/319189/15353/83797	79
R-MMU-68886	M Phase	138/2223	382/8582	4.08058219546611e-06	0.000559039760778858	0.000458528578280008	231042/64898/19088/22187/19386/16319/13427/18141/18005/16563/319170/69922/78887/216274/319172/16211/66700/108000/103468/59015/319161/19192/100088/16328/227613/69386/22218/17463/75608/108989/19188/20842/67151/218914/217718/54563/52717/26440/17997/319156/16905/19166/665596/234663/19384/236266/13424/216965/19645/319167/68549/100710/30939/66442/98386/229841/67849/52683/71805/66977/50850/19170/13001/18286/12534/381644/59046/83922/26931/19175/60411/319965/56430/52206/104318/100986/319160/75786/68097/15519/19172/68121/76816/319179/19185/17120/26886/73699/23997/105513/319184/20873/103733/22146/319187/99100/59029/71876/99412/26441/326619/228769/68612/101706/16906/69957/22153/66468/108911/208518/22190/74549/69654/22143/12235/78303/14245/13191/105988/26417/217232/71909/15270/319178/70247/76308/19052/22367/56086/320332/319189/13000/26932/83431/22151/12237/107939/70385	138
R-MMU-983168	Antigen processing: Ubiquitination & Proteasome degradation	105/2223	285/8582	2.27079764427348e-05	0.00276532690902637	0.00226814174059597	67921/22187/217342/242785/22214/71865/67845/81018/30945/224023/98766/109161/69754/76454/66313/67615/225055/170737/19192/17463/69116/207952/19188/67151/387524/208372/74244/26440/23807/19166/22210/230904/71538/211007/269514/65247/53323/68431/83962/50754/76294/233902/170823/93765/75788/231380/19170/67138/66105/321006/235439/19155/209239/19175/56371/268470/76608/74132/52206/208650/67923/19172/209462/22019/22222/19185/66743/69706/74492/23997/70928/230654/59029/68729/26441/228769/56736/68612/56791/56438/224938/79263/69957/211255/218793/243574/59044/14897/22190/24105/65255/104836/94091/71778/217232/213311/70247/22192/117589/12703/20439/218203/74153/80751/19823	105
R-MMU-5688426	Deubiquitination	92/2223	246/8582	3.74864885223846e-05	0.00410851914205335	0.00336983802085436	11848/170822/22187/11555/319170/22224/14232/74158/621893/18519/30940/319172/70527/66313/235441/246103/68149/19192/252870/17463/235134/17246/19188/67151/12021/26440/225280/19166/53376/21951/59025/328572/22258/17248/319167/329908/11465/17869/319651/107986/109359/19170/109689/109241/12534/68350/22632/19175/12428/327799/71472/12005/216869/21812/56436/104416/22335/19172/19358/17127/21929/56208/19185/74493/23997/110962/59029/67952/12530/18035/26441/228769/15251/76800/14479/217057/71954/22190/11797/17126/18970/170707/70247/66124/22059/17425/68837/20439/74256/66513/231130/269523	92
