ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-MMU-69278	Cell Cycle, Mitotic	213/2597	498/8582	7.73807826016612e-10	8.54283839922339e-07	6.719910068039e-07	231042/64898/19088/22187/16319/19386/18141/21781/242705/16563/18005/19046/13427/26429/11350/18968/78833/68275/71648/319170/69922/78887/17219/216274/103468/30939/22367/16211/66700/319172/218914/108000/59015/234865/75608/19192/100088/227613/76816/19188/319161/67037/16328/52717/16905/12577/108989/67151/69736/19645/23834/68942/17463/217718/12448/226849/22218/319156/68097/19166/64899/69386/54563/234663/216965/17997/26413/17220/13001/19076/19384/26440/19718/229841/665596/236266/98386/19170/20842/237222/100710/319167/68549/13424/66442/231506/71805/17931/67849/19167/19075/12545/107939/66977/18972/52683/77805/18286/12428/72151/53380/13726/83922/56371/59046/68240/66979/15519/19175/66336/66679/67141/56430/229776/52206/319179/104318/12534/50850/99412/319965/71782/19172/72119/319160/12447/17215/66671/103733/381644/100986/60411/101706/68121/19185/11651/20873/69745/73699/13548/56438/105513/23997/12445/13559/319184/71876/22190/22143/26886/22146/18969/12571/12575/99100/59029/12576/319187/26441/12530/106344/17120/29870/71909/326619/228769/75786/26931/69957/17274/66468/105988/319159/208518/12566/69654/74549/19651/12572/71988/22153/68612/16906/28135/76308/18392/22390/18538/217232/226747/12235/227699/13555/78303/27214/319178/13191/15270/26417/12531/14245/19052/69270/20843/70247/22151/26445/13000/16452/22059/57441/83431/320332	213
R-MMU-3247509	Chromatin modifying enzymes	97/2597	194/8582	4.77350884445937e-09	1.75665125476105e-06	1.38180519181719e-06	50724/116871/319151/621893/319170/319172/20591/17978/268936/54343/67956/20937/226976/104263/319161/223770/66262/320595/76719/18601/319156/69386/107823/228829/665596/97114/319150/11569/20587/17977/238247/319167/213464/11909/234135/52615/232811/93760/319152/19712/69726/71371/18676/52690/18033/208043/214899/57376/19697/59035/319179/76901/319160/338523/54169/99890/93871/73251/225876/234366/216848/15161/97908/77853/319184/14056/382207/15077/319187/225888/277250/70088/326619/71954/17192/245688/235626/56456/319159/269424/226830/67014/28019/208266/78303/94246/319178/217127/83797/15353/13626/74026/319186/319148/230674/214572/320332	97
R-MMU-4839726	Chromatin organization	97/2597	194/8582	4.77350884445937e-09	1.75665125476105e-06	1.38180519181719e-06	50724/116871/319151/621893/319170/319172/20591/17978/268936/54343/67956/20937/226976/104263/319161/223770/66262/320595/76719/18601/319156/69386/107823/228829/665596/97114/319150/11569/20587/17977/238247/319167/213464/11909/234135/52615/232811/93760/319152/19712/69726/71371/18676/52690/18033/208043/214899/57376/19697/59035/319179/76901/319160/338523/54169/99890/93871/73251/225876/234366/216848/15161/97908/77853/319184/14056/382207/15077/319187/225888/277250/70088/326619/71954/17192/245688/235626/56456/319159/269424/226830/67014/28019/208266/78303/94246/319178/217127/83797/15353/13626/74026/319186/319148/230674/214572/320332	97
R-MMU-5689880	Ub-specific processing proteases	86/2597	181/8582	6.31153826402652e-07	0.000174198456087132	0.00013702681757426	170822/22187/30941/11555/22224/14232/621893/319170/319172/30940/235441/66313/17128/246103/17246/19192/252870/19188/12638/67151/68031/14479/17463/19166/21951/22258/329908/26440/74996/53376/56324/59025/17248/19170/319651/319167/22284/17869/19167/327799/12428/109689/53380/68350/12005/19175/74493/71472/56436/107986/22335/19172/56208/54601/216869/19766/19185/21812/76800/74112/17127/18035/23997/22190/59029/67952/26441/50868/12530/228769/15251/71954/22230/18970/231151/170707/24110/17126/236733/11797/16151/70247/26445/20439/22059/217057	86
R-MMU-5688426	Deubiquitination	110/2597	246/8582	8.653199328873e-07	0.000191062641181516	0.000150292409396215	170822/11848/22187/30941/11555/22224/14232/18519/621893/319170/56207/74158/319172/68149/30940/235134/235441/66313/17128/246103/17246/19192/252870/70527/19188/12638/67151/68031/14479/12021/328572/17463/19166/225280/21951/22258/329908/26440/74996/53376/56324/59025/17248/19170/319651/17425/109241/11465/319167/22284/109359/17869/19167/327799/12428/109689/53380/68350/104416/22632/12005/19175/74493/71472/56436/107986/12534/22335/19172/56208/19358/21929/54601/110962/216869/19766/19185/21812/76800/74112/15161/17127/229603/18035/23997/22190/59029/67952/26441/50868/12530/228769/15251/71954/22230/56456/18970/231151/170707/24110/17126/236733/11797/16151/66124/70247/26445/20439/22059/217057	110
R-MMU-3214841	PKMTs methylate histone lysines	36/2597	60/8582	1.63634715972621e-06	0.000298515938405242	0.000234816599146	319151/54343/67956/20937/319161/319156/69386/107823/97114/319150/11569/213464/234135/52615/232811/319152/69726/52690/18033/208043/19697/319160/73251/97908/14056/15077/225888/326619/245688/235626/319159/226830/208266/13626/319148/320332	36
R-MMU-3214847	HATs acetylate histones	41/2597	72/8582	2.13949137599898e-06	0.000298515938405242	0.000234816599146	319151/17978/268936/226976/319161/223770/66262/76719/319156/69386/228829/665596/97114/319150/17977/11909/319152/319179/76901/319160/54169/15161/97908/77853/319184/382207/15077/319187/70088/326619/245688/319159/269424/28019/78303/319178/217127/74026/319186/319148/320332	41
R-MMU-180786	Extension of Telomeres	29/2597	45/8582	2.16315897395103e-06	0.000298515938405242	0.000234816599146	18968/68275/67857/52530/19076/19718/21749/68964/19075/18972/12428/72151/72171/68240/12144/57321/21750/69745/52036/18969/22427/245474/106344/208084/12566/216853/108689/18538/105522	29
R-MMU-983169	Class I MHC mediated antigen processing & presentation	143/2597	342/8582	2.50696683881829e-06	0.00030752126556171	0.000241900309008782	67921/22187/217342/242785/22214/71865/67845/81018/30945/224023/109161/69754/98766/76454/67615/66313/170737/74244/207952/19192/225055/20333/69116/19188/100529082/94091/208372/99683/67151/66105/23807/387524/17463/76294/19166/12010/65247/22210/71538/230904/211007/269514/21356/78889/26440/170823/68431/17972/53323/83962/77371/50754/140630/19170/224761/233902/75788/19167/15015/12491/321006/14828/53380/231380/67138/69706/21354/235439/56371/19175/93765/209239/268470/22320/76608/74492/52206/71393/208650/19172/74132/68729/24105/22019/70928/12317/209462/19185/19155/22222/15040/14991/56736/20909/56438/67923/66743/23997/66397/380928/22190/17999/230654/74154/59029/59026/26441/50868/218811/243574/228769/56791/50789/22209/224938/79263/69957/14972/66799/59044/22192/211255/218793/68612/104836/14897/21355/20334/217232/17534/12703/56228/78541/68497/71778/70247/74153/26445/117589/19647/65255/65256/20439	143
R-MMU-9012999	RHO GTPase cycle	161/2597	395/8582	3.65221861314678e-06	0.000403204934891405	0.000317166353246958	19353/11848/12468/75547/233489/66251/70804/18708/208846/69922/94221/67300/54216/214137/260409/12874/15369/12638/19877/108686/52666/545156/109333/53382/58996/216963/12704/208263/12549/232201/70719/71228/14270/24001/14787/78514/66894/75089/16412/56784/75739/277360/52428/70584/68743/17972/11308/225358/98386/56324/195727/230972/269608/330662/11465/233071/56349/59069/22284/19655/69581/11854/71704/26382/12461/434204/108037/22637/12988/109934/13726/544963/544817/76626/19878/110596/239027/14784/11856/12540/59079/15519/68428/226751/104252/16709/66146/18709/545481/68813/99412/56419/71782/21763/76088/106504/29875/207425/20401/75415/51796/320557/20742/16443/16801/330177/320795/319899/57778/22143/210998/327826/50875/27360/16800/56212/101314/19229/71893/242687/224105/223666/13830/13171/269061/56699/76884/54126/18710/19285/232906/270163/228359/58220/12539/54411/214230/238130/56381/106628/11461/117600/219140/16906/13367/53332/107746/246710/216197/223881/71435/218581/19765/12345/16818/19647/73910/20874/229658/269682/19349	161
