ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-MMU-9012999	RHO GTPase cycle	369/7002	395/8582	3.97656134845081e-12	4.44181902621955e-09	3.66680814867675e-09	18708/238130/232237/242687/13830/219140/544963/58996/66894/68349/11465/16443/22042/66251/70804/70584/327826/71228/12704/26382/214230/67300/22324/277360/11736/77480/56419/269608/69922/23912/17974/12988/51796/243362/225358/223435/75089/223666/94190/68428/20742/260409/231532/18709/21763/19229/64652/110279/195727/77006/229658/192662/56699/73910/75415/98386/104252/434204/268970/57257/16801/75547/68743/117600/14270/69288/330914/26934/66146/69993/19230/13367/16412/26403/56212/107746/76117/54216/70350/26891/20868/236915/108686/14674/242202/208846/226652/11308/19878/14784/102098/20619/224105/68653/227937/233489/232201/19285/259302/70598/105855/11852/12389/241275/19349/234094/17972/11461/56381/110596/20663/19647/73341/20874/21927/320795/244418/233071/19353/210998/210293/230098/54411/233877/16818/22352/226525/19354/16480/17973/22143/170791/16709/18710/70719/320634/53817/76088/20355/57778/76983/71085/214345/19877/29875/226751/71409/106504/20462/11854/17920/105782/69710/94176/53382/23943/99412/27360/26431/26554/18844/74734/12345/19765/56384/232906/224014/233103/54004/71302/263406/16906/330177/328232/11857/16449/12874/66898/17970/236920/56374/71782/72536/56784/71435/71704/13518/12848/74201/216197/106628/214804/22284/20401/269061/75974/21873/58909/101565/228482/22379/74194/66087/12461/208263/15381/237038/15519/216963/239027/140579/68813/20662/12540/78514/14251/14269/20844/52666/20947/101314/13171/109331/13726/381293/74159/53332/59069/12549/12539/104445/20430/330662/75739/67586/27061/14252/228543/19299/76884/14609/56513/76626/109934/50884/404710/12468/238505/67784/71544/23853/22319/545156/19249/207425/17969/320557/59079/11856/72754/106952/19418/66922/54126/15239/54324/50768/59009/109294/207495/326618/56389/208994/108699/329366/268301/386649/66871/14163/223254/70497/214137/80837/53972/213522/18706/101497/24001/213498/218581/68187/17063/71972/270163/108037/12638/50875/109333/75409/73167/269523/13605/56418/109711/12709/104215/18481/22325/13058/13836/246710/108670/207212/20166/11848/93840/228359/329165/223881/58220/18806/545481/69581/223870/11671/11853/20257/20867/11855/269682/213649/14787/244895/109620/224480/16800/105827/11858/72565/52428/622434/211499/544817/13057/83397/216445/15516/68146/109904/94221/22637/19655/245880/108100/386750/56324/263803/319899/66508/70361/74018/15369/216831/76763/217866/83669/244867/18221/68202	369
R-MMU-195258	RHO GTPase Effectors	224/7002	238/8582	1.15052730692343e-08	6.42569500916736e-06	5.30453642560487e-06	17120/67037/77579/225849/242687/544963/22629/11465/73699/228421/12704/53857/56419/59015/216965/16319/22145/83431/226747/19046/12532/14270/445007/13367/26417/22146/80987/12315/18643/229841/74117/56212/17886/67771/235661/208846/66442/19053/11308/19052/19878/68097/14784/224105/234865/66934/55948/76709/105855/12617/11852/17931/13427/11867/22630/241275/73804/17972/11461/227613/22627/75786/18607/20877/320271/320795/14083/22631/71876/233406/19353/56430/18016/26416/19354/17973/76707/22143/13424/26951/72124/16709/12237/57778/66570/67938/19877/12235/18472/29875/71409/26886/11854/108911/13542/70385/76499/269966/69928/60411/17904/215280/12314/54004/22151/16563/66713/67733/232987/18750/56443/66468/17970/226849/225326/12236/238463/12385/26931/26413/102920/234663/67951/110379/22379/26932/76281/19387/237038/16885/16573/19386/545486/12540/68014/101314/381293/67052/20430/76884/54401/14026/50884/404710/67629/18817/17978/13544/17969/223701/18762/18753/18751/69736/52696/103468/56455/68549/66336/51792/13543/72415/12615/208628/13426/19094/12313/52276/236930/12550/12638/109333/52504/71960/104215/107995/18481/13058/12229/17283/74764/66977/20166/11848/56378/11350/11835/22142/13385/20779/13589/329165/103573/11853/192176/12387/73470/22628/73710/14787/69912/56150/224480/20807/18645/108000/52428/19047/13057/72155/320394/94221/232943/245880/108100/263803/23988/75669/22153/67203/18221/68089/20202/98932	224
R-MMU-9013149	RAC1 GTPase cycle	155/7002	163/8582	2.91279496318759e-07	0.000108453065796018	8.95301188685029e-05	18708/238130/232237/242687/219140/544963/58996/22042/70584/12704/214230/22324/277360/56419/69922/225358/223435/223666/94190/231532/18709/64652/110279/195727/229658/192662/56699/75415/98386/57257/117600/14270/330914/26934/69993/16412/76117/14674/226652/11308/102098/20619/224105/232201/259302/105855/12389/241275/19349/234094/17972/20663/73341/320795/233071/19353/210293/230098/170791/16709/18710/70719/76088/57778/29875/226751/69710/94176/23943/26431/19765/232906/233103/71302/263406/330177/11857/16449/66898/17970/72536/71435/214804/20401/75974/58909/237038/216963/239027/68813/20662/12540/78514/52666/20947/101314/13726/12549/104445/20430/330662/75739/76884/56513/109934/50884/404710/71544/23853/22319/545156/17969/59079/106952/19418/54126/54324/50768/109294/108699/223254/70497/214137/53972/213522/18706/101497/24001/213498/218581/109333/13605/56418/18481/22325/13058/13836/228359/329165/18806/11855/213649/224480/105827/544817/13057/216445/109904/245880/108100/319899/66508/74018/216831/244867	155
R-MMU-8953897	Cellular responses to stimuli	396/7002	443/8582	2.695475084392e-06	0.000674867371434921	0.000557116163951365	17168/101488143/21672/268706/59035/29806/26462/230784/53380/15260/67443/228769/68612/104248/53857/52187/319481/213539/14828/59015/72416/328572/20111/233016/22059/12359/77128/12428/19182/140742/22145/217365/54130/56551/54563/12447/19167/445007/109778/17248/80838/227699/22428/26417/22146/665113/20463/102626/67151/66998/58233/17684/69654/72630/218210/14056/235661/14775/21898/26446/12571/108058/110323/19744/26398/76650/12861/66679/68097/98402/67605/26442/75560/19192/17135/234865/26965/69802/26420/71962/109151/12460/26399/52717/17165/20602/170644/12448/50868/81489/13427/216850/20466/107939/66359/66105/69957/11972/17972/19645/17992/11974/227613/19014/22627/20655/11757/18141/81004/67673/17246/56371/66237/50527/22186/18024/26416/72787/22346/329679/15505/22143/13424/72124/69482/227720/59008/16476/69077/17250/114143/78294/13191/12868/66538/23997/23797/12608/216742/20112/26443/23871/19185/59029/68240/116940/12858/11984/19186/26441/67923/26554/22230/112407/12345/56317/15251/26408/11973/99152/19173/66290/56637/269966/11652/50493/66403/242341/226641/22151/16906/17087/14957/67384/56702/19175/12576/17750/17970/54170/26921/224111/17164/21372/93759/238055/12017/77891/52206/81601/238463/18667/26413/77683/103554/234663/67951/110920/12325/56351/19646/216805/11863/110379/23872/230676/14281/245688/56438/56550/12013/13627/14815/15519/110651/277854/19386/545486/75430/13875/19172/23996/17748/15361/68033/13819/21402/231042/19177/80909/12857/67089/11758/23950/22187/68441/216080/14782/22190/18759/83409/12867/56692/15185/67665/19170/26400/229003/17463/15512/52563/14229/14950/17978/17969/13063/66142/22194/15364/69736/12566/66096/17977/103468/56455/108989/29810/52615/108664/56445/101148/71844/50497/56453/15481/231430/66997/112405/18412/13626/13426/19094/53598/19179/252875/319594/67204/12322/12323/13666/101142/66440/338375/56760/26440/26905/15183/26419/13665/22166/11964/50709/73834/26444/270669/57296/269523/50932/20656/15499/66144/70247/78943/15502/270802/13058/18477/50758/26397/20467/269113/16475/12343/54683/67305/15526/11835/22142/108079/15368/22791/71745/19166/103573/16913/100126824/70207/12427/68275/110147/68350/68196/56444/20867/73710/71805/69912/74915/11651/66335/26445/18415/15511/14780/11920/14958/52466/19181/112406/53417/13057/20181/15516/27060/14778/76252/12575/217232/66379/20930/23939/66993/67669/68576/68999/14228/11806/16912/66508/11966/18226/15369/17751/14870/110935/245670/52892/19013/22153/15482/18453/12344/12579/68775/69590/27401	396
R-MMU-9006934	Signaling by Receptor Tyrosine Kinases	359/7002	400/8582	3.05691384872577e-06	0.000674867371434921	0.000557116163951365	18708/15235/13859/242687/20459/12831/11772/116701/11465/214058/140580/73699/20698/327826/67603/67300/22324/77480/74334/17974/13033/328572/20111/12988/235584/76890/19271/16206/11771/18709/11845/19247/19229/15461/17346/16452/18747/11773/16590/20020/57257/11975/17444/13982/24064/16398/17999/13367/18550/26417/12315/18749/16412/74769/102626/71436/230126/107746/19255/13854/18553/19272/24063/11908/19165/109905/19053/11308/19052/19878/384783/14784/224105/319939/69241/105855/15234/78757/399558/12389/20851/12928/56705/71785/20416/433759/11972/14254/17972/11461/11974/29857/19248/114715/18607/14083/15382/20405/19353/66237/14388/54411/22186/14255/26362/16818/26416/14425/16480/17973/20848/20750/26395/21682/114716/18710/14360/72514/18754/114143/78294/218397/94212/12402/15200/18815/14158/23797/14164/232910/19877/71770/12912/13858/215449/20112/12929/545622/54635/19303/11984/18596/12064/18187/260302/16337/20852/11973/16001/66290/11652/12314/242341/12388/101568/26396/16000/16542/80707/69920/18750/17096/17970/21814/17164/225326/12385/67903/26413/22601/14256/319520/107932/12833/19246/15519/110651/140579/20662/12540/18803/16923/20844/22341/58194/101314/211323/16416/15182/14186/54152/69833/16410/20393/12539/22187/20430/330662/76884/22190/18591/54401/19341/73086/21871/14182/19205/50884/15451/20404/12826/13654/15170/18213/20850/16367/17969/14181/59079/17395/13867/109880/12562/18762/227743/18753/18751/17749/81897/66420/22339/19730/54126/51792/108664/15239/75778/14177/18186/17179/14173/71355/109270/15507/19094/231329/12223/54426/217169/16453/12313/18212/18706/338375/245026/15183/20408/12815/19268/14783/18127/11964/98053/73834/13869/18576/22612/19253/12824/21828/17242/66144/14178/14159/71520/19283/18481/11839/11682/22325/107568/16775/13058/23921/13649/11848/17311/71920/53867/14180/20779/12839/72349/80857/17937/329165/227290/373864/140494/20418/14268/18791/84092/12387/56424/80903/20732/67588/74915/12842/11651/66335/20807/64654/26415/14183/396184/14170/208117/13057/12843/12827/19273/27060/14175/18654/18595/21826/76252/19882/21827/224116/245880/23939/14172/18552/18590/108100/21802/665033/56324/12825/13645/75717/67710/12649/11966/14257/110935/75669/16334/20733/68705/433702/14179/12927/14165/68775/12841	359
R-MMU-2262752	Cellular responses to stress	393/7002	440/8582	3.62507092982052e-06	0.000674867371434921	0.000557116163951365	17168/101488143/21672/268706/59035/29806/26462/230784/53380/15260/67443/228769/68612/104248/53857/52187/319481/213539/14828/59015/72416/328572/20111/233016/22059/12359/77128/12428/19182/140742/22145/217365/54130/56551/54563/12447/19167/445007/109778/17248/80838/227699/22428/26417/22146/665113/20463/102626/67151/66998/58233/17684/69654/72630/218210/14056/235661/14775/21898/26446/12571/108058/110323/19744/26398/76650/12861/66679/68097/98402/67605/26442/75560/19192/17135/234865/26965/69802/26420/71962/109151/12460/26399/52717/17165/20602/170644/12448/50868/81489/13427/216850/20466/107939/66359/66105/69957/11972/17972/19645/17992/11974/227613/19014/22627/20655/11757/18141/81004/67673/17246/56371/66237/50527/22186/18024/26416/72787/22346/329679/15505/22143/13424/72124/69482/227720/59008/16476/69077/17250/114143/78294/13191/12868/66538/23997/23797/12608/216742/20112/26443/23871/19185/59029/68240/116940/12858/11984/19186/26441/67923/26554/22230/112407/12345/56317/15251/26408/11973/99152/19173/66290/56637/269966/11652/50493/66403/242341/226641/22151/16906/17087/14957/67384/56702/19175/12576/17970/54170/26921/224111/17164/21372/93759/238055/12017/77891/52206/81601/238463/18667/26413/77683/103554/234663/67951/110920/12325/56351/19646/216805/11863/110379/23872/230676/14281/245688/56438/56550/12013/13627/14815/15519/110651/277854/19386/545486/75430/13875/19172/23996/15361/68033/13819/21402/231042/19177/80909/12857/67089/11758/23950/22187/68441/216080/14782/22190/18759/83409/12867/56692/15185/67665/19170/26400/229003/17463/15512/52563/14229/14950/17978/17969/13063/66142/22194/15364/69736/12566/66096/17977/103468/56455/108989/29810/52615/108664/56445/101148/71844/50497/56453/15481/231430/66997/112405/18412/13626/13426/19094/53598/19179/252875/319594/67204/12322/12323/13666/101142/66440/338375/56760/26440/26905/15183/26419/13665/22166/11964/50709/73834/26444/270669/57296/269523/50932/20656/15499/66144/70247/78943/15502/270802/13058/18477/50758/26397/20467/269113/16475/12343/54683/67305/15526/11835/22142/108079/15368/22791/71745/19166/103573/16913/100126824/70207/12427/68275/110147/68350/68196/56444/20867/73710/71805/69912/74915/11651/66335/26445/18415/15511/14780/11920/14958/52466/19181/112406/53417/13057/20181/15516/27060/14778/76252/12575/217232/66379/20930/23939/66993/67669/68576/68999/14228/11806/16912/66508/11966/18226/15369/14870/110935/245670/52892/19013/22153/15482/18453/12344/12579/68775/69590/27401	393
R-MMU-68877	Mitotic Prometaphase	174/7002	187/8582	5.13510422057115e-06	0.000819415916339711	0.000676443804093282	17120/18286/67037/225849/16328/73699/216274/68121/228421/53857/83922/59015/216965/16319/104318/19088/218914/22145/83431/226747/18747/54130/445007/22146/225659/233276/229841/69654/12442/235661/66442/19053/19052/68097/234865/70799/66934/12617/13427/51885/13001/78177/73804/103733/227613/20842/22627/75786/101706/20877/236266/71876/18005/99100/56430/76707/22143/13424/26951/72124/215387/12237/13191/66570/12235/18472/26886/70099/74360/76478/219072/108911/22154/328580/70385/76499/269966/69928/60411/13006/78887/22151/12534/16563/67733/232987/66296/20873/66468/76789/226849/259279/12236/238463/26931/102920/101565/234663/67951/24061/110379/26932/19387/208518/15519/67849/19386/545486/100710/68014/100986/18541/14211/67052/76816/219103/67629/18817/69736/20843/268697/52696/103468/56455/381644/68549/66336/51792/78798/72415/75296/12615/208628/13426/214444/53598/17997/52276/236930/27373/18536/230376/19357/52504/74237/107995/12995/72083/66977/71909/22142/13589/103573/74470/73470/22628/73710/69912/68475/225745/54392/56150/108000/12009/19047/231123/28135/72155/320394/73738/22153/67203/18221/70315	174
R-MMU-983169	Class I MHC mediated antigen processing & presentation	308/7002	342/8582	7.49339079786882e-06	0.00102040864275947	0.000842367215810484	30945/98766/170823/22214/22193/84585/209239/50873/218203/53380/65247/209462/228769/68612/230904/74154/12330/14828/67345/67921/77371/72323/66589/217342/19182/207952/66772/56736/68497/66743/235439/100763/12491/19167/67615/30838/74153/12449/69754/212919/218793/17999/78889/68729/72194/22320/67151/66998/12703/65256/230654/26446/15040/21356/56791/83962/20619/26442/19192/26965/224938/208650/21355/94091/71538/50868/12317/81018/217194/224023/19155/66105/69957/50789/17972/321006/22019/67128/77113/19647/67673/20909/101358/56371/22210/79263/22186/24105/22346/140630/71393/22222/69807/170737/23807/59008/80751/268470/19822/69077/14827/387524/78294/224826/74646/214931/23997/71865/329152/50754/209200/207215/26443/76294/19185/59029/20334/59044/19186/26441/67923/74244/26554/93836/28105/56317/99152/20333/66397/19173/66313/76454/99683/211255/20437/19823/110557/109161/268291/19175/17970/53323/240028/77891/52206/224753/56228/22201/69116/22192/103554/225055/110379/320118/104184/78541/380928/30839/16924/56438/56550/269529/67731/68431/22195/19172/22213/21354/23996/14991/15039/21402/218811/16419/19177/80898/73998/70294/67089/16410/14794/216150/22187/27061/216080/117146/22190/69010/70620/15204/240095/19170/17463/52563/22319/75788/17969/103583/12702/106052/17533/22194/269514/93765/71778/218215/17237/226541/94090/67490/59009/117589/57751/68098/240396/76580/242960/19820/69608/242521/109082/22215/66997/17534/22036/14897/19179/211949/76375/59026/14129/67845/215061/22209/66440/232539/26440/74132/20439/18744/26444/57296/227738/50492/65255/233040/140499/70247/107995/107568/13058/50760/12010/231670/70348/226098/328234/213311/70093/15006/66799/71745/242785/19166/70928/16913/667977/68854/14972/56424/211007/67588/243574/15007/30843/26445/399549/67138/104836/448987/142687/69162/19181/70392/110696/13057/15018/217232/71999/56515/224761/246278/142688/68999/231380/117590/233902/14985/75717/50762/16912/399566/78913/50788/636931/66515/224170/27401	308
R-MMU-2565942	Regulation of PLK1 Activity at G2/M Transition	81/7002	83/8582	8.34439309593718e-06	0.00102040864275947	0.000842367215810484	18286/16328/216274/68121/83922/104318/19088/22145/18747/54130/71648/19046/225659/69654/12442/70799/26965/17931/13427/78177/103733/227613/22627/75786/236266/18005/99100/22186/76707/13424/78294/13191/18472/74360/76478/219072/22154/17274/78887/12534/66296/20873/101565/208518/15519/21402/100986/18541/22187/22190/76816/219103/18817/103583/268697/56455/381644/51792/75296/214444/53598/17997/27373/18536/230376/16475/71909/22142/13589/74470/22628/68475/225745/12009/231123/28135/73738/20878/77744/22153/67203	81
R-MMU-69278	Cell Cycle, Mitotic	441/7002	498/8582	9.13526090205433e-06	0.00102040864275947	0.000842367215810484	17120/18286/67037/320332/225849/18969/20459/104394/16328/19076/12445/73699/53380/216274/68121/16881/228421/228769/68612/75608/12531/53857/83922/16905/78303/69922/59015/22059/23834/216965/16319/104318/12428/19182/19088/64898/218914/22145/83431/226747/71819/16452/18747/54130/54563/71648/98386/19046/12532/12447/19167/16211/229776/22196/445007/18971/227699/242705/26417/22146/225659/268930/233276/67151/229841/66998/26429/69654/327762/21664/218210/12442/71988/18393/235661/26446/67177/12571/66442/66679/72119/12530/19053/19052/68097/319189/14245/26442/319160/97122/19192/234865/70799/26965/66934/52717/12448/319156/75660/12617/22367/18392/17931/13427/105988/51885/13001/78177/107939/73804/13557/433759/69957/231506/19645/67141/103733/227613/20842/100088/22627/75786/18141/56086/101706/20877/74549/236266/71876/56371/18005/99100/56430/319187/22186/59021/72787/26428/76707/319157/22143/66700/13424/26951/72124/69482/227720/170791/59008/215387/319173/13555/21781/69077/78294/12237/13191/382030/66570/23997/23797/12235/18472/319184/217708/665596/26886/70099/26443/13548/27214/74360/76478/19185/59029/219072/68240/319161/77805/22390/108911/22154/19718/19186/26441/99412/70231/12545/328580/15366/70385/76499/56317/99152/208092/19173/23825/269966/11652/69928/60411/319179/77605/17274/13006/78887/78833/22151/16906/319176/17218/319155/12534/16563/319158/100041230/22218/67733/232987/12444/19175/66296/18750/12576/20873/66468/17096/76789/226849/71782/217718/77891/52206/259279/12236/238463/26931/18968/26413/102920/18973/101565/103554/234663/67951/19646/24061/110379/26932/63955/19387/105513/12577/319166/50850/56438/208518/15519/326620/67849/19324/19386/545486/75430/67121/19172/23996/100710/21402/231042/232440/19177/68014/76044/15270/13726/19650/69263/67089/100986/18541/244329/22187/14211/12544/67052/319159/216080/22190/319185/319965/76816/19170/71955/219103/319165/17463/67629/52563/59046/18817/319168/66671/116733/103583/19384/19348/19651/319172/22194/57441/17216/18751/69736/12566/29870/78658/17420/20843/268697/52696/103468/56455/381644/108989/68549/19687/319191/66336/51792/78798/71175/12443/71844/30939/72415/18974/75296/12615/208628/19075/66997/76308/13426/214444/53598/19179/319169/17997/52276/236930/106344/66440/27373/26440/18536/52683/230376/68024/26444/19357/57296/17217/109145/52504/17220/74237/319178/70247/107995/12572/64383/18972/71978/66979/12995/319181/269113/16475/72083/66977/71909/11350/68942/22142/20779/272551/13589/19166/103573/16913/12427/68275/66634/74470/69386/73470/22628/326619/73710/71805/69912/68475/225745/54392/56150/11651/108000/12009/26445/69745/448987/19047/19181/231123/28135/72155/17215/320394/15516/56299/64899/12575/217232/319183/68999/73738/20878/16912/69270/18226/77744/17219/22153/67203/319188/18221/12579/70315/13559/27401	441
