ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-MMU-9675108	Nervous system development	220/6511	250/8582	8.30196006164049e-07	0.000361374024973277	0.000283677673093097	18708/12831/11733/12767/11772/67300/16443/11465/11771/19247/327826/53857/22145/54712/19699/22146/11848/223435/57764/11876/20739/17974/13838/11461/227613/74769/18747/19877/65254/13508/21894/18709/20416/19264/20742/22350/26396/22187/67771/57257/74117/20452/12912/13640/13841/13430/11773/16412/18643/13001/80297/22323/12540/53378/14784/67399/18761/26395/11867/26417/56378/14388/19353/19165/18717/22186/18845/623279/15461/19878/13138/170822/18707/11852/14360/26416/58234/114255/19262/14588/18710/26413/26394/18749/218397/56637/384783/22143/110596/29857/78294/14432/13429/12934/15519/71770/232906/76709/20563/214968/15529/56705/53972/22177/16885/22151/17096/26415/13842/20662/13000/13448/14733/13642/12569/16410/17390/73086/18750/215798/12568/18844/232910/20354/56443/16653/17973/14083/13449/67951/22190/22359/243743/66713/104099/12826/23939/18803/17395/13845/110351/14159/18186/245026/13848/12833/16416/330662/54126/14585/14783/545156/16402/270190/13800/20564/22240/19713/18706/14026/216963/15516/20315/19876/12839/14182/13844/14586/269116/26419/22153/12824/13131/14812/20779/67784/213498/12517/22325/20450/20346/103967/13638/18222/13649/13176/208117/16399/13836/12827/22142/11853/22152/107448/20130/12825/17967/18188/14810/11350/53867/12995/18645/83433/223881/20361/20404/73710/545486/13835/20349/76829/12933/68089/13639/238463/22612/19094/20351/14573	220
R-MMU-9012999	RHO GTPase cycle	338/6511	395/8582	8.34851562862137e-07	0.000361374024973277	0.000283677673093097	18708/238130/66894/242687/219140/56419/70804/232237/22042/66251/13830/12704/68349/67300/16443/11465/26382/71228/327826/70584/11736/434204/12988/58996/11308/22324/277360/229658/544963/214230/23912/69922/218581/269608/64652/11848/223435/75089/268970/225358/233489/12468/208846/73910/17974/77480/51796/243362/15239/11461/226751/223666/330914/110279/98386/19229/19877/14270/231532/68428/56699/117600/69993/18709/20742/22352/330177/20619/227937/26934/19285/170791/20868/21763/226652/57257/68743/260409/26891/17972/75547/21927/192662/242202/241275/109333/14674/108686/59079/16801/16412/234094/19230/232201/68653/104252/70350/12540/75415/14784/13367/78514/27360/54216/102098/70598/56381/76117/16480/19353/208263/20867/99412/259302/105782/233103/19878/20874/20663/230098/26554/11852/12389/56389/233877/16906/404710/239027/71409/18710/66146/20355/270163/16449/328232/94176/104445/56374/214345/23943/76088/107746/53382/244418/29875/22143/210293/101314/76983/110596/106504/69288/57778/56212/11857/381293/15369/71435/12539/19647/15519/15381/53817/232906/210998/58909/320795/228482/228359/20844/69710/53972/263406/66922/17920/72536/106628/21873/19354/19765/19249/101565/13171/109331/20662/70497/74194/76626/20430/74201/67586/74734/108037/18844/76577/16709/13518/214804/12874/66508/71704/17973/20462/226525/12549/22379/59009/71302/17970/20947/14269/74159/54324/23853/56513/71782/56349/12461/50768/14251/19299/207425/66898/68813/109934/50884/66087/56784/24001/223870/71085/104215/330662/54126/71544/326618/17969/76884/106952/59069/101497/70719/224014/545156/20401/268301/223254/72754/108699/329366/109294/18706/11855/216197/108670/216963/13605/15516/17063/207212/12848/83669/19418/75739/14609/109711/140579/73167/386649/228543/246710/11671/214137/75409/269523/84004/68187/74018/213522/93840/69581/67784/213498/50875/109620/329165/22325/12345/269682/66871/208994/16800/170758/13836/105855/216445/11853/107971/211499/19349/52428/13057/83397/12709/269061/72565/108100/319899/224480/80837/16818/263803/320557/56324/545481/207495/68146/442801/22319/233071/223881/18806/52666/58220/14787/213649/94221/622434/230972/217866/71972/244895/11858/56384/544817/238505/22637/20166	338
R-MMU-422475	Axon guidance	219/6511	249/8582	9.70565868325722e-07	0.000361374024973277	0.000283677673093097	18708/12831/11733/12767/11772/67300/16443/11465/11771/19247/327826/53857/22145/54712/19699/22146/11848/223435/57764/11876/20739/17974/13838/11461/227613/74769/18747/19877/65254/13508/21894/18709/20416/19264/20742/22350/26396/22187/67771/57257/74117/20452/12912/13640/13841/13430/11773/16412/18643/13001/80297/22323/12540/53378/14784/67399/18761/26395/11867/26417/56378/14388/19353/19165/18717/22186/18845/623279/15461/19878/13138/170822/18707/11852/14360/26416/58234/114255/19262/14588/18710/26413/26394/18749/218397/56637/384783/22143/110596/29857/78294/14432/13429/12934/15519/71770/232906/76709/20563/214968/15529/56705/53972/22177/16885/22151/17096/26415/13842/20662/13000/13448/14733/13642/12569/16410/17390/73086/18750/12568/18844/232910/20354/56443/16653/17973/14083/13449/67951/22190/22359/243743/66713/104099/12826/23939/18803/17395/13845/110351/14159/18186/245026/13848/12833/16416/330662/54126/14585/14783/545156/16402/270190/13800/20564/22240/19713/18706/14026/216963/15516/20315/19876/12839/14182/13844/14586/269116/26419/22153/12824/13131/14812/20779/67784/213498/12517/22325/20450/20346/103967/13638/18222/13649/13176/208117/16399/13836/12827/22142/11853/22152/107448/20130/12825/17967/18188/14810/11350/53867/12995/18645/83433/223881/20361/20404/73710/545486/13835/20349/76829/12933/68089/13639/238463/22612/19094/20351/14573	219
R-MMU-9006934	Signaling by Receptor Tyrosine Kinases	341/6511	400/8582	1.65223900995376e-06	0.000461387743529586	0.000362188182971442	18708/15235/13859/116701/12831/242687/20459/74334/16452/11772/73699/67603/67300/20698/11465/11771/19247/327826/214058/140580/328572/76890/12988/11308/22324/72514/13033/20111/12315/20020/11848/16206/11845/11975/17974/77480/19271/19052/20851/15239/11461/74769/15382/17999/17346/18747/19229/17444/13982/235584/19877/75778/18709/20416/109905/24064/19053/26396/319939/67903/69241/101568/22187/12929/57257/24063/17972/12912/18550/13854/16398/75717/114143/11908/11773/59079/16412/102626/16590/71436/66420/14158/12540/14784/13367/14254/26395/227290/14164/26417/14425/13858/16001/16480/19272/14388/19353/19165/433759/22186/66237/19255/230126/26362/11974/15461/12928/20848/399558/19878/14360/12389/26416/11964/215449/11972/67588/18710/114715/26413/11973/98053/14255/18749/218397/78757/107746/18607/384783/21682/15200/16337/101314/29857/19283/107932/23797/20750/16542/56424/20405/78294/11984/114716/12539/15519/71770/13654/12314/11652/20844/69833/20852/15234/56705/12064/54635/16367/17096/26415/18187/545622/20662/17164/260302/16410/73086/18754/242341/225326/18750/20430/80707/94212/110935/13867/232910/14256/12562/16923/20807/19246/16653/17973/14083/22601/15451/22190/17970/14173/15170/18753/18596/20393/217169/19248/18751/12826/12313/17749/23939/12385/18803/12387/12223/17395/14186/50884/231329/14159/18186/19253/54152/81897/245026/109880/12833/16416/22341/16000/330662/54126/19730/21871/17969/76884/21814/19341/18762/14783/18576/109270/227743/73834/69920/66290/71785/20112/18654/18706/12388/211323/338375/14177/18815/20850/11682/20732/19303/14181/14180/16775/15507/319520/12839/140579/66144/22339/14182/17179/12842/12824/51792/18591/66335/19242/15183/13869/12815/20779/17937/329165/16334/22325/18590/19268/19205/18127/373864/11651/13649/14175/80857/23921/74915/14172/208117/21826/224116/105855/18212/19882/12827/54426/54401/107971/12402/13057/396184/17311/108100/228775/140494/21828/18595/14183/15182/12825/12843/67710/11966/27060/16818/56324/53867/71520/21802/18183/64654/18791/20408/18211/75669/11839/12927/20404/19273/14257/14268/72349/71355/18213/76252/107568/14178/18552/71920/22612/19094/20733/68705	341
R-MMU-1280215	Cytokine Signaling in Immune system	378/6511	447/8582	2.66690683012512e-06	0.000502872633928127	0.000394753714425038	16331/18708/56484/54607/80750/22318/20491/16452/73699/67603/20698/230861/67030/16177/19247/15976/228769/228607/66589/19192/56208/53857/66513/12988/16646/22324/12330/20969/22145/20111/22059/22146/20617/230828/217069/72049/19043/56480/66105/19182/19271/208643/19052/21938/20851/19185/227613/21941/56438/19166/74769/17999/56791/18747/19229/17444/235584/67151/108960/18709/22631/20416/20909/17762/59025/56550/23806/74153/16476/16880/97114/19053/66998/101568/22034/107527/22187/12929/26442/16154/26446/108058/20892/12912/68652/19167/75717/13690/11908/15980/11820/19698/16391/13681/54473/12702/26965/102626/12931/231655/230979/12703/15977/15077/14600/18036/14784/18412/20399/286940/26417/16180/67923/50930/67673/22186/19255/100038882/20586/23997/15289/109658/16184/16193/18035/20849/69928/15461/12928/14087/20848/70247/20663/24014/26399/26398/18707/14360/26416/319154/26420/270151/19184/319149/16176/15974/12576/18710/26413/21934/13211/14255/231130/16162/107746/59029/19177/384783/21682/66369/226849/16168/26410/15975/22143/22192/26409/22123/16195/19283/23797/78294/19697/18033/319150/16201/67781/97908/192656/11652/14088/20852/53859/20614/66892/17082/12362/16367/21357/22151/17096/16170/13684/69077/16175/12534/20662/19116/19179/56417/17164/11909/20908/93834/19172/26443/26440/73086/71966/16912/13682/12325/19186/14281/230396/54131/26400/211948/14256/16194/17463/20963/16923/15979/19171/100040608/19246/67245/16653/17973/23996/237313/66997/360198/67089/16190/15978/67951/19173/319151/22190/20203/19823/15170/16198/16178/103583/22194/18753/12367/192170/12978/60504/16878/18383/319148/110157/211550/73914/23939/18803/21937/18413/22031/21949/319153/21926/17874/22218/16150/77799/216080/22164/14783/27279/15162/17858/18414/16157/50498/230073/101831/20112/242700/18706/23992/213208/11797/16197/20850/24099/103554/72775/22030/21935/16211/19106/24110/319520/26406/19170/69146/12977/60534/434341/11796/12322/93871/13035/26419/17000/22153/51792/67513/21943/326623/15481/15962/240873/26397/21402/260423/76527/19188/24015/21936/15512/11651/12323/13608/12983/18148/16192/21942/100037258/107607/22142/50931/22152/12402/12370/21939/20907/215274/85030/56469/16161/16818/26444/54721/16189/57916/16199/13019/56708/16913/240518/16181/21940/21948/72349/73710/56468/77125/545486/15511/12504/22608/26441/216233/20911/12981/238463/209590/22612/19094/16332/57296	378
R-MMU-109582	Hemostasis	414/6511	492/8582	2.70119588502127e-06	0.000502872633928127	0.000394753714425038	16331/18708/268936/238130/225849/16438/381290/17134/22761/228421/23945/19363/16452/73699/14462/18022/11465/19247/15078/16423/109689/20344/53857/68732/56055/16439/12988/30955/22324/228139/20969/22145/12315/22146/13660/70218/12491/242851/20720/11848/19088/16563/56193/110033/231871/70945/239273/18441/19052/16401/234779/14678/17135/22371/14702/19073/16822/227613/74769/67059/78287/12527/15353/18747/21894/18709/22631/20416/109905/20909/12505/16551/54368/20541/97114/19053/26934/18788/22330/56744/57257/54519/14701/242202/227612/229841/56508/71946/14674/11820/72461/20194/16412/217864/223864/15077/12540/56697/14784/18761/20399/54216/11818/227290/26417/20655/12523/18783/71819/11938/19353/14683/433759/20363/14700/68038/18793/14679/227333/21346/15461/12928/20725/14065/11852/14360/26416/319154/215449/16568/114714/319149/108829/26932/18710/74145/26413/320127/94176/70839/18749/21803/17540/60595/76088/99982/18607/226849/22143/104418/210293/217837/67972/218454/20737/19156/15081/14673/56212/241489/73804/26931/14672/319150/74764/97908/16573/751864/16554/223601/12314/15234/16414/83964/15529/14693/14676/19084/21824/238055/19354/22151/17096/20971/11600/20662/14733/22041/108101/20340/19261/16410/18754/110197/18750/74840/320202/23984/16580/240641/64435/16565/14682/18755/20963/16923/14675/16570/104009/16136/19246/18436/12506/26365/16653/269152/360198/14083/22068/53313/19348/13449/67951/14465/319151/69524/80718/11472/14688/67374/58217/14062/15170/27999/18753/13590/14726/319148/18751/110157/12313/192285/100502766/18803/19419/18106/14707/68813/19091/14067/16408/67072/16558/18585/21859/18439/319153/12343/16416/22341/16000/330662/19152/16456/66066/57440/13052/16402/12512/20343/109552/19085/72017/16411/16149/18706/271457/18792/75050/17075/18815/14456/11537/11747/56760/66866/66082/19123/16440/12759/109711/22339/14066/14127/21808/11941/11804/22153/12842/319991/22388/51792/18591/21788/19395/17289/18125/19128/14723/207728/14697/14706/11674/270152/18574/14461/20779/18613/75396/11551/260423/22325/18573/18590/12345/12306/16069/18127/11651/19222/18440/23921/108078/19124/16399/16579/26367/17319/104709/381484/14463/22142/11601/22152/56077/11640/14708/16578/58992/232943/11937/14064/16572/21687/99571/14058/319899/11806/15182/235505/19039/22762/12843/16818/76192/18752/117586/20912/14695/50915/22363/18791/380921/18126/109232/12927/22365/21767/286942/14268/20692/14696/12419/16564/73710/14068/240334/320207/14710/11625/71660/14061/16797/14724/67988/14191/628900/545486/26946/21390/17133/20911/269060/16569/16552/238463/22612/100163/22065/20970/668303/94045/12258/64337	414
R-MMU-69278	Cell Cycle, Mitotic	418/6511	498/8582	4.20344442679955e-06	0.000670749632105013	0.000526536722935943	67037/18286/17120/68121/18969/225849/231042/104318/242705/228421/104394/75608/320332/20459/16452/100088/73699/16328/12445/66700/12531/16319/228769/16881/19192/12428/53857/216965/218914/64898/68612/18005/22145/69922/22059/19076/22146/216274/23834/19088/78303/218210/16563/59015/16905/22196/225659/78833/54130/56371/15270/105988/19182/229776/66679/107995/19052/71648/69654/19046/71988/83922/19185/67177/227613/67849/56438/19166/108000/319179/98386/18747/83431/67151/233276/12447/12532/78177/66296/19053/77605/74549/66998/234865/319156/170791/226747/268930/19075/17931/12571/22187/26442/108911/71876/13548/21664/227699/71175/26446/20877/66442/19167/229841/12617/13427/22367/52206/12442/101706/18141/234663/26965/51885/68097/75786/13001/76707/66570/19386/217708/12530/103733/75430/17219/327762/56317/72787/18971/319189/75660/26417/217718/445007/71819/97122/235661/433759/22186/99412/56086/68953/20842/23997/69957/17274/219072/19645/59008/19718/68475/52717/69928/66440/19069/70799/70247/105513/71805/29870/215387/67141/16906/18393/19384/319183/19184/20873/13557/12576/26932/17216/59021/78887/70099/76308/26413/107939/22154/19324/26428/217232/319184/66934/76499/268697/18541/59029/19177/328580/18817/226849/12236/66336/22143/13424/72124/22390/14245/66468/22123/22627/319187/23797/382030/319176/78294/74360/319185/66977/319172/73804/57441/208092/13191/67121/26931/15519/319155/110379/12444/231506/11652/227720/18392/26886/50850/69482/26951/67733/236266/72119/232440/71955/22151/12572/19650/17096/326620/101565/269966/69077/60411/12534/12544/13000/19179/76816/319158/19172/26443/26440/259279/18972/18750/76478/16912/56455/63955/59046/19186/17220/13555/76044/17218/67629/22628/319159/665596/69270/244329/17463/19171/52504/232987/100041230/219103/54563/23996/19387/66997/67089/19348/67951/319161/19173/68014/76789/22190/30939/67052/28135/103583/78798/22194/71782/12545/68275/109145/319168/103573/18751/54392/100710/13006/12566/12443/69386/70231/56430/15366/13426/17222/68024/53598/78658/319173/22218/208628/66634/66140/66671/23825/272551/216080/319160/64383/108989/19357/71909/17420/319157/18226/74237/75296/15516/319178/12235/103554/18472/16475/18536/27214/16211/100986/21781/99100/269113/52276/319191/19170/319169/230376/27401/19651/22153/319181/214444/51792/319164/27373/319167/77891/69745/20779/21402/68942/20878/68549/69263/19188/319965/11651/12009/103468/208518/72083/52683/13589/72415/319190/74470/13559/22142/18973/22152/56299/326619/106344/19687/77744/52696/12567/26444/66979/11350/12995/19646/72151/16913/69912/12615/71978/73710/12577/14211/545486/12579/67203/56150/12427/26441/50793/64899/116733/238463/19047/57296	418
R-MMU-983168	Antigen processing: Ubiquitination & Proteasome degradation	246/6511	285/8582	6.59350694659113e-06	0.000920618407417786	0.000722683064014528	30945/170823/22214/65247/98766/22193/67615/217342/84585/67921/209239/224023/209462/50873/71538/218203/228769/66589/56736/19192/72323/68729/67345/74154/68612/68497/207952/208650/71393/69754/230904/235439/56371/66105/19182/107995/94091/19185/50789/23807/56438/19166/17999/56791/71865/22210/218793/76454/67151/56550/19822/230654/74153/22019/66998/100763/212919/22187/26442/224826/140630/79263/26446/217194/66772/66743/19167/75717/52206/76608/30838/12702/26965/81018/12703/19155/65256/56317/24105/117146/22222/67923/22036/67673/321006/209200/22186/23997/69957/69807/59008/170737/12449/66440/70247/83962/26554/101358/22346/17237/19184/67588/78889/69116/217232/329152/59029/19177/50868/74646/78541/22192/80751/56228/22123/214931/67731/72194/56424/109161/75788/78294/28105/19647/67128/216150/50754/268470/240028/207215/22195/93836/268291/74244/243574/50492/69077/19179/19172/26443/26440/20437/16912/76294/213311/19186/22213/320118/231380/106052/77113/17463/19171/387524/73998/68431/23996/109082/15204/66997/67089/211007/16924/380928/242521/19173/22190/140499/59009/19823/103583/22194/70294/242785/20439/14897/94090/14794/17222/68098/269514/227738/71778/67490/216080/225055/232539/269529/65255/240396/218215/211949/67138/59044/103554/76375/19170/224938/27401/104184/226098/67845/242960/104836/140629/56515/77891/226541/21402/50760/215061/19188/70620/142687/70093/217217/71745/117589/233902/53323/71999/76580/66799/22215/70928/328234/26444/231670/50762/57751/117590/233040/16913/30839/230903/78913/74492/107568/74132/69010/26441/50788/142688/66313/636931/57296	246
R-MMU-2262752	Cellular responses to stress	368/6511	440/8582	3.16278190100612e-05	0.00392536375935982	0.00308140037840713	101488143/17168/21672/268706/231042/59035/67443/104248/29806/26462/15260/228769/140742/52187/19192/233016/12428/53857/328572/68612/72416/22145/12359/20111/213539/22059/14828/22146/230784/19014/15368/218210/59015/17248/54130/56371/110920/217365/319481/52615/80838/66105/76650/19182/66679/12460/14775/69654/17135/15526/58233/19185/29810/227613/56438/19166/17165/11757/17684/15505/22428/67151/56551/12447/70207/81489/21898/665113/56550/16476/20463/77128/66998/234865/12571/22187/26442/75560/69802/17972/14056/227699/26446/108058/71962/112407/13665/19167/114143/13427/52206/66359/18141/20602/17992/234663/109151/17246/26965/68097/102626/72630/19386/98402/75430/18412/20466/23871/56317/72787/12017/81004/67605/56453/26417/20655/445007/67923/67673/235661/66538/22186/20867/66237/23997/69957/19645/59008/18024/52717/11974/66440/19069/70247/19744/170644/67204/26399/71805/26398/26554/26416/22346/14815/16906/26420/11964/19184/11972/116940/12576/22166/26413/107939/216850/11973/216742/226641/81601/217232/277854/59029/56692/56637/19177/22230/50868/68350/22143/13424/72124/13626/22123/22627/23797/12858/15369/78294/11984/110147/13191/50493/15519/17250/15251/110379/224111/26408/83409/11652/227720/12608/54170/17087/18759/11863/69482/26921/12861/56702/13819/238055/22151/11758/269966/69077/11920/19179/68033/17164/19172/26443/18667/26440/23950/242341/13875/16912/56455/12868/14957/110935/13627/12325/109778/19186/14281/12013/93759/26400/50758/67665/12857/17463/101142/19171/23872/66508/77683/54563/23996/66997/67089/329679/66379/80909/67951/19173/22190/17970/67669/66096/22194/229003/68275/67384/103573/53417/12566/23939/56032/14950/13426/17222/53598/12343/56445/78943/50709/56444/15361/17969/56351/17978/216080/110323/108989/20467/20656/73834/66290/20112/18226/14782/338375/216805/22791/15516/15364/20930/103554/56760/16475/269113/66144/19170/68441/68196/18415/12322/269523/26419/27401/15502/22153/14229/20181/66335/77891/15481/17977/15183/26397/21402/112405/19188/12345/15512/13063/50527/11651/12323/101148/103468/14780/74915/71745/67305/22142/22152/13057/270802/12567/11806/66403/52466/231430/11966/27060/14228/108079/26444/12867/14958/100126824/19646/69590/16913/69912/19013/112406/14778/18477/73710/66993/76252/50932/545486/12579/15511/12427/70369/26441/27354/238463/19094/13666/57296	368
R-MMU-8953897	Cellular responses to stimuli	370/6511	443/8582	3.87661245004627e-05	0.00433017610670169	0.00339917702198794	101488143/17168/21672/268706/231042/59035/67443/104248/29806/26462/15260/228769/140742/52187/19192/233016/12428/53857/328572/68612/72416/22145/12359/20111/213539/22059/14828/22146/230784/19014/15368/218210/59015/17248/54130/56371/110920/217365/319481/52615/80838/66105/76650/19182/66679/12460/14775/69654/17135/15526/58233/19185/29810/227613/56438/19166/17165/11757/17684/15505/22428/67151/56551/12447/70207/81489/21898/665113/56550/16476/20463/77128/66998/234865/12571/22187/26442/75560/69802/17972/14056/227699/26446/108058/71962/112407/13665/19167/114143/13427/52206/66359/18141/20602/17992/234663/109151/17246/26965/68097/102626/72630/19386/98402/75430/18412/20466/23871/56317/72787/12017/81004/67605/56453/26417/20655/445007/67923/67673/235661/66538/22186/20867/66237/23997/69957/19645/59008/18024/52717/11974/66440/19069/70247/19744/170644/67204/26399/71805/26398/26554/26416/22346/14815/16906/26420/11964/19184/11972/116940/12576/22166/26413/107939/216850/11973/216742/226641/81601/217232/277854/59029/56692/56637/19177/22230/50868/68350/22143/13424/72124/13626/22123/22627/23797/12858/15369/78294/11984/110147/13191/50493/15519/17250/15251/110379/224111/26408/83409/11652/227720/12608/54170/17087/18759/11863/69482/26921/12861/56702/13819/238055/22151/11758/269966/69077/11920/19179/68033/17164/19172/26443/18667/26440/23950/242341/13875/16912/56455/12868/14957/110935/13627/12325/109778/19186/14281/12013/93759/26400/50758/67665/12857/17463/101142/19171/23872/66508/77683/54563/23996/66997/67089/329679/66379/80909/67951/19173/22190/17970/67669/66096/22194/229003/68275/67384/103573/53417/12566/23939/56032/14950/13426/17222/53598/12343/56445/78943/50709/56444/15361/17969/56351/17748/17978/216080/110323/108989/20467/20656/73834/66290/20112/18226/14782/338375/216805/22791/15516/15364/20930/103554/56760/16475/269113/66144/19170/68441/68196/18415/12322/269523/26419/27401/15502/22153/14229/20181/66335/77891/15481/17977/15183/26397/21402/112405/19188/12345/15512/13063/50527/11651/12323/101148/103468/14780/74915/71745/67305/22142/22152/13057/270802/12567/11806/66403/52466/231430/11966/27060/14228/108079/26444/17751/12867/14958/100126824/19646/69590/16913/69912/19013/112406/14778/18477/73710/66993/76252/50932/545486/12579/15511/12427/70369/26441/27354/238463/19094/13666/57296	370
