ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-MMU-9012999	RHO GTPase cycle	372/7061	395/8582	9.30287305077697e-13	1.03913091977179e-09	7.95150833392726e-10	18708/238130/66894/219140/70804/242687/56419/22042/13830/66251/68349/12704/16443/67300/26382/11465/232237/327826/70584/71228/11736/22324/12988/544963/277360/434204/58996/229658/11308/23912/214230/268970/75089/223435/69922/269608/64652/208846/11848/73910/12468/195727/330914/233489/17974/51796/110279/225358/223666/77480/243362/19229/218581/227937/15239/231532/98386/19877/20742/117600/69993/242202/20868/68428/22352/57257/56699/26891/11461/226751/330177/26934/20619/234094/226652/260409/68743/19285/170791/21927/21763/75547/241275/236915/14674/192662/70350/14270/19230/17972/18709/16412/59079/16801/78514/13367/76117/94190/108686/70598/102098/232201/68653/56381/27360/75415/16480/239027/104252/12540/20355/19353/259302/12389/54216/208263/99412/71409/16449/11852/105782/20867/26554/236920/328232/233103/19878/94176/214345/109333/233877/20874/75974/56389/18710/73341/56374/244418/210293/66146/14784/74194/104445/23943/69288/29875/230098/270163/13726/22143/11857/20663/110596/101314/320634/76088/53382/54004/15369/16906/381293/57778/263406/71435/232906/56212/15381/69710/58909/19647/76983/72536/17920/228359/107746/404710/19249/21873/106628/15519/54411/13518/20430/106504/16709/228482/53817/19765/214137/214804/320795/20844/101565/13171/210998/19354/224480/53972/12549/237038/71704/70497/18844/66922/20662/108037/109331/74734/76577/67586/71302/59009/74201/71085/12539/66508/54324/76626/226525/19299/50768/106952/22379/17973/17970/23853/14269/224014/68813/19418/269061/22284/223254/74159/71782/207425/56513/104215/330662/20462/12461/71544/66898/109934/50884/12874/268301/14251/20947/326618/66087/76884/56349/17969/24001/216963/66871/54126/109294/11856/545156/269523/108699/269682/223870/53332/56784/15516/59069/74018/101497/224105/22319/72754/70719/20401/108670/329366/386649/11855/14609/73167/17063/18221/52666/93840/216197/208994/109711/18706/75739/13605/67784/71703/207212/18481/622434/140579/12848/83669/69581/68187/246710/68917/14163/228543/75409/109620/213522/11854/11671/22325/56418/84004/329165/56324/20257/71972/71893/16818/320557/16800/52428/50875/12345/213498/26403/70361/77006/13836/244895/83397/27061/216445/72565/13058/14787/105855/13057/170758/11853/80837/107971/211499/108100/319899/19655/545481/12709/109904/207495/22637/19349/263803/216831/58220/68146/442801/233071/18806/223881/217866/94221/213649/76763/544817/230972/238505/11858/26431/52331/56384	372
R-MMU-983168	Antigen processing: Ubiquitination & Proteasome degradation	265/7061	285/8582	8.83706387818553e-08	4.93550017596662e-05	3.7766820363614e-05	30945/170823/22214/98766/65247/84585/217342/53380/209239/67921/67615/22193/224023/50873/209462/66589/56736/218203/71538/68729/72323/68497/67345/19192/228769/74154/68612/71393/207952/208650/235439/56371/69754/19182/218793/66105/230904/94091/50789/71865/19185/56791/17999/19166/23807/22210/76454/107995/67151/230654/74153/56550/56438/19822/22019/26442/100763/140630/66998/22187/212919/26446/66772/19167/66743/65256/224826/329152/79263/217194/76608/26965/52206/81018/30838/56317/75717/12703/19155/67923/321006/216150/69807/23997/24105/22222/170737/59008/22036/22186/209200/66440/67673/26554/101358/74646/69957/117146/67588/69116/22346/12449/70247/78889/19184/83962/59029/217232/22192/19177/268291/17237/67731/75788/72194/77113/28105/12702/80751/78541/214931/240028/106052/56228/50868/78294/56424/19647/50754/67128/207215/22201/109161/22195/26443/22123/69077/93836/73998/243574/213311/50492/26440/19179/231380/19172/233040/109082/387524/269529/20437/211255/269514/74244/268470/59009/66313/22213/16924/16912/65255/22194/19186/320118/76294/68098/68431/17463/15204/19171/19173/19823/22190/67089/242521/23996/70294/211007/380928/94090/59044/140499/71778/216080/103583/20439/22209/66997/242785/14897/67845/17222/14794/227738/67490/225055/218215/77891/211949/59026/232539/76375/328234/240396/208372/26444/18744/67138/224938/103554/19170/226098/19820/242960/53323/27401/104836/140629/57296/104184/93765/50760/21402/56515/142687/226541/66413/215061/70620/19188/117589/70093/26445/70392/233902/70348/71999/71745/217217/76580/70928/448987/57751/68854/19181/231670/22215/117590/16913/99152/78913/66799/30839/142688/230903/50762/107568/52563/74132/228003/69010/50788/74492/26441/399566	265
R-MMU-2262752	Cellular responses to stress	399/7061	440/8582	2.6718131911086e-07	9.94805111489436e-05	7.61232389887784e-05	101488143/17168/21672/268706/59035/53380/67443/104248/231042/29806/26462/15260/52187/53857/12428/328572/233016/140742/72416/19192/22145/12359/228769/20111/68612/213539/14828/22059/21898/22146/59015/17248/218210/217365/56371/54130/15368/19014/19182/110920/14775/230784/80838/52615/66679/76650/17684/66105/12460/69654/17135/319481/227613/665113/19185/56551/19166/70207/17165/15505/12447/22428/29810/67151/12571/15526/16476/58233/56550/56438/26442/11757/69802/108058/66998/20602/77128/22187/112407/20463/75560/109151/26446/81004/19167/17992/14056/66359/227699/234865/18141/72787/13665/102626/17972/98402/71962/234663/23871/114143/26965/52206/20466/26399/56317/72630/17246/68097/19386/235661/67923/66538/23997/116940/56453/52717/20655/67605/18412/18024/13427/59008/445007/81489/11974/67204/22186/19069/71805/66440/67673/26417/19645/242341/66237/170644/20867/26554/69482/26416/19744/26398/69957/22166/22346/81601/12576/56637/70247/22230/11964/26413/226641/216850/13424/22143/216742/19184/59029/75430/26408/217232/11972/12017/107939/19177/238055/11973/56692/277854/26921/68350/14815/17250/15369/16906/72124/15251/50493/23797/50868/78294/17087/13191/12858/245670/110147/15519/21372/110379/13819/12013/83409/224111/56702/18667/26443/11984/22123/11863/12861/12608/17164/11652/227720/69077/269966/26420/12325/68033/13626/22151/14281/80909/14957/13627/18759/11920/26440/22627/19179/93759/19172/11758/23872/54170/13875/109778/12857/56455/23950/50758/12868/66508/16912/22194/19186/54563/67951/77683/101142/329679/17463/67665/19171/19173/26905/66096/26400/78943/56716/17970/22190/67089/23996/66379/110935/13426/229003/66403/216080/67669/338375/67384/230676/66997/12566/53417/14950/17969/23939/68275/103573/56032/17222/56445/17978/269523/26397/545486/56444/15364/12343/15361/15516/50709/18477/15185/53598/20112/77891/56351/270669/108989/20657/20656/73834/26419/66290/56760/110323/20467/14782/103468/110651/15499/216805/26444/18226/20930/22791/18453/16475/12427/319594/14229/103554/11835/19170/12579/66144/231430/12322/12448/18415/269113/14870/12867/27401/68441/68196/22153/15481/57296/11651/112405/12323/15502/66335/15183/20181/19094/21402/74915/270802/12345/80888/66413/17977/15512/12344/67305/108079/19188/50527/26445/13058/52892/13063/66993/13057/71745/22142/101148/252875/14780/19181/22152/69590/193740/11806/11966/14958/16913/12567/99152/52466/27060/76252/50497/73710/13666/14778/100126824/19646/69912/14228/19013/112406/50932/52563/70369/15511/12575/27354/22147/26441/238463/56717	399
R-MMU-8953897	Cellular responses to stimuli	401/7061	443/8582	4.23608416459432e-07	0.000111470370764504	8.52979701840238e-05	101488143/17168/21672/268706/59035/53380/67443/104248/231042/29806/26462/15260/52187/53857/12428/328572/233016/140742/72416/19192/22145/12359/228769/20111/68612/213539/14828/22059/21898/22146/59015/17248/218210/217365/56371/54130/15368/19014/19182/110920/14775/230784/80838/52615/66679/76650/17684/66105/12460/69654/17135/319481/227613/665113/19185/56551/19166/70207/17165/15505/12447/22428/29810/67151/12571/15526/16476/58233/56550/56438/26442/11757/69802/108058/66998/20602/77128/22187/112407/20463/75560/109151/26446/81004/19167/17992/14056/66359/227699/234865/18141/72787/13665/102626/17972/98402/71962/234663/23871/114143/26965/52206/20466/26399/56317/72630/17246/68097/19386/235661/67923/66538/23997/116940/56453/52717/20655/67605/18412/18024/13427/59008/445007/81489/11974/67204/22186/19069/71805/66440/67673/26417/19645/242341/66237/170644/20867/26554/69482/26416/19744/26398/69957/22166/22346/81601/12576/56637/70247/22230/11964/26413/226641/216850/13424/22143/216742/19184/59029/75430/26408/217232/11972/12017/107939/19177/238055/11973/56692/277854/26921/68350/14815/17250/15369/16906/72124/15251/50493/23797/50868/78294/17087/13191/12858/245670/110147/15519/21372/110379/13819/12013/83409/224111/56702/18667/26443/11984/22123/11863/12861/12608/17164/11652/227720/69077/269966/26420/12325/68033/13626/22151/14281/80909/14957/13627/18759/11920/26440/22627/19179/93759/19172/11758/23872/54170/13875/109778/12857/56455/23950/50758/12868/66508/16912/22194/19186/54563/67951/77683/101142/329679/17463/67665/19171/19173/26905/66096/26400/78943/56716/17970/22190/67089/23996/66379/110935/13426/229003/66403/216080/67669/338375/67384/230676/66997/12566/53417/14950/17969/23939/68275/103573/56032/17222/56445/17978/269523/26397/545486/56444/15364/12343/15361/17748/15516/50709/18477/15185/53598/20112/77891/56351/270669/108989/20657/20656/73834/26419/66290/56760/110323/20467/14782/103468/110651/15499/216805/26444/18226/20930/22791/18453/16475/12427/319594/14229/103554/11835/19170/12579/66144/231430/12322/12448/18415/269113/14870/12867/27401/68441/68196/22153/15481/57296/11651/112405/12323/15502/66335/15183/20181/19094/21402/74915/270802/12345/80888/66413/17977/15512/12344/67305/108079/19188/50527/26445/13058/52892/13063/66993/13057/71745/22142/101148/252875/14780/19181/22152/69590/17751/193740/11806/11966/14958/16913/12567/99152/52466/27060/76252/50497/73710/13666/14778/100126824/19646/69912/14228/19013/112406/50932/52563/70369/15511/12575/27354/22147/26441/238463/56717	401
R-MMU-983169	Class I MHC mediated antigen processing & presentation	313/7061	342/8582	5.64669427993373e-07	0.000111470370764504	8.52979701840238e-05	30945/170823/22214/98766/65247/84585/217342/53380/209239/67921/67615/22193/224023/50873/209462/66589/56736/218203/71538/68729/72323/68497/67345/19192/12330/228769/74154/68612/14828/71393/207952/208650/235439/12491/56371/69754/19182/77371/218793/66105/230904/94091/50789/71865/19185/56791/17999/19166/23807/22210/76454/107995/15040/67151/230654/22320/74153/20619/20909/56550/56438/19822/22019/26442/100763/140630/66998/12317/22187/212919/26446/66772/19167/66743/65256/224826/329152/79263/217194/17972/76608/26965/52206/81018/30838/56317/75717/12703/19155/67923/321006/216150/69807/23997/24105/22222/170737/59008/22036/22186/209200/66440/67673/26554/21355/101358/74646/21356/69957/117146/67588/69116/22346/12449/70247/78889/19184/83962/59029/218811/217232/22192/19177/268291/17237/20333/67731/75788/72194/77113/28105/12702/80751/78541/214931/240028/106052/56228/20334/50868/78294/56424/19647/50754/67128/207215/22201/110379/16410/109161/14827/22195/26443/22123/69077/93836/66397/73998/243574/21354/213311/50492/224753/110557/26440/19179/231380/19172/233040/109082/387524/269529/20437/69608/211255/269514/74244/268470/59009/66313/22213/16924/16912/65255/22194/19186/320118/76294/14972/68098/68431/17463/15204/19171/19173/19823/17970/22190/67089/242521/23996/70294/211007/16419/380928/94090/59044/140499/71778/216080/103583/20439/22209/66997/14991/242785/17969/14897/67845/17222/14794/227738/80898/67490/225055/224761/218215/77891/211949/59026/22319/232539/17533/240095/76375/99683/328234/240396/17534/15007/208372/26444/18744/67138/224938/110696/103554/19170/226098/19820/242960/53323/27401/104836/15006/14129/140629/57296/104184/93765/69162/50760/21402/56515/12010/142687/226541/66413/215061/70620/15018/19188/117589/27061/70093/26445/13058/70392/233902/70348/71999/13057/71745/217217/76580/70928/448987/57751/68854/19181/231670/246278/22215/117590/16913/99152/78913/66799/14985/30839/142688/399549/230903/50762/107568/52563/74132/228003/69010/50788/74492/26441/399566	313
R-MMU-1280215	Cytokine Signaling in Immune system	404/7061	447/8582	5.98766539469133e-07	0.000111470370764504	8.52979701840238e-05	16331/18708/56484/54607/53380/67603/22318/73699/20698/20491/16177/230861/67030/228607/66589/15976/53857/286940/66513/22324/19247/12988/19192/22145/12330/20969/228769/66724/20111/16646/56208/22059/22146/20617/230828/217069/80750/26410/16452/19271/21938/19182/21941/56480/19043/66105/12912/20851/72049/227613/74769/19229/235584/19185/56791/17999/19166/16880/18747/17444/20416/67151/19052/16476/23806/17762/74153/22034/22631/97114/20909/59025/56550/56438/11820/26442/208643/19053/16154/12929/108058/66998/20399/22187/26446/20892/19167/16180/13681/101568/20849/102626/16391/21934/14600/68652/18709/15980/231655/12931/26965/11908/230979/54473/108960/26399/107527/14360/13690/16193/15077/75717/12703/20963/71885/50930/16184/18036/97908/19698/18035/67923/23997/15977/19116/18412/100038882/12928/22186/18707/14087/24014/67673/16176/16168/26417/19255/26416/69928/26398/192656/20586/14255/360198/20848/18710/12576/21682/16162/14784/270151/15461/15289/70247/231130/319154/26413/109658/13211/22143/19184/20663/59029/20614/15975/22192/16195/19177/384783/66369/226849/319149/18033/26409/15974/12702/20908/14088/245527/23797/16170/17096/16201/78294/66892/73086/12362/15978/107746/19697/20852/53859/16151/19283/67781/326623/16367/18383/319150/26443/22123/16175/21357/16179/17082/17164/11652/69077/26420/12325/22151/14281/12534/16194/230396/26440/20662/71966/19179/13684/93834/13682/19172/54131/19246/237313/11909/16190/56417/16923/15979/16178/18753/16912/73914/22194/14256/16653/19186/100040608/16198/67951/15170/20203/16878/17463/19171/211948/19173/67245/26400/19823/12985/17973/22190/21937/107607/67089/23996/12978/319151/60504/77799/216080/103583/22031/21949/110157/319148/18413/192170/66997/14783/23939/21926/211550/18803/17874/16150/12367/230073/16197/213208/18414/26397/545486/22164/15162/22218/319153/27279/20112/23992/17858/50498/24099/26419/72775/319520/16157/13035/16164/13608/110651/15962/101831/26444/18706/242700/93871/21935/16181/16211/11797/17000/26406/11796/20850/22030/103554/19170/12977/21943/12322/22612/77125/19106/60534/69146/434341/24110/266632/12402/22153/15481/51792/209590/67513/57296/240873/11651/12323/93765/16192/16818/100037258/19094/21402/260423/76527/66413/15512/21936/20907/19188/12983/215274/21942/26445/18148/24015/56469/56468/22142/50931/19181/22152/12370/21948/193740/21940/18034/13607/16913/16199/85030/57916/16189/21939/54721/73710/12504/72349/16161/216233/13019/240518/56708/218624/12981/237211/53603/20911/22608/15511/22147/26441/238463/16332/21947/16186/21950/14599/26987	404
R-MMU-9013149	RAC1 GTPase cycle	155/7061	163/8582	8.0984778672178e-07	0.000129228568252604	9.88866771155016e-05	18708/238130/219140/242687/56419/22042/12704/232237/70584/22324/544963/277360/58996/229658/11308/214230/223435/69922/64652/195727/330914/110279/225358/223666/218581/231532/98386/117600/69993/57257/56699/226751/330177/26934/20619/234094/226652/170791/241275/14674/192662/14270/17972/18709/16412/59079/78514/76117/94190/102098/232201/75415/239027/12540/19353/259302/12389/16449/233103/94176/109333/75974/18710/73341/210293/104445/23943/29875/230098/13726/11857/20663/101314/76088/57778/263406/71435/232906/69710/58909/72536/228359/404710/20430/16709/19765/214137/214804/320795/224480/53972/12549/237038/70497/20662/71302/66508/54324/50768/106952/17970/23853/68813/19418/223254/56513/330662/71544/66898/109934/50884/20947/76884/17969/24001/216963/54126/109294/545156/108699/74018/101497/224105/22319/70719/20401/11855/52666/18706/75739/13605/18481/213522/22325/56418/84004/329165/71893/213498/13836/216445/13058/105855/13057/108100/319899/109904/19349/216831/442801/233071/18806/213649/544817/26431	155
R-MMU-109582	Hemostasis	442/7061	492/8582	1.06886890262212e-06	0.000148368520290857	0.000113532713071833	16331/18708/238130/225849/16438/268936/17134/23945/22761/228421/381290/14462/19363/73699/18022/15078/11465/16423/20344/53857/68732/109689/22324/16439/19247/12988/22145/20969/56055/30955/228139/12315/13660/20720/22146/56193/70218/19088/11848/16563/12491/242851/231871/16452/234779/70945/14702/16822/239273/14678/19073/17135/227613/74769/22371/18441/16401/15353/242202/20541/56744/18788/12505/18747/57257/20416/54368/19052/16551/67059/12527/21894/22631/26934/109905/97114/20909/20194/229841/11820/56508/19053/14701/22330/20399/54519/227612/14460/14674/20363/72461/18761/18709/16412/12523/11818/14360/15077/19241/20963/14683/18783/97908/18793/74145/20725/12540/71946/217864/21346/227290/14065/71819/19353/68038/56697/20655/54216/241489/108829/12928/320127/14679/11938/14700/70839/67972/11852/110033/223864/26417/215449/14465/433759/26416/94176/78287/360198/75974/218454/15234/18710/104418/210293/751864/14784/15461/319154/11472/240641/26413/217837/22143/16568/18749/26932/21803/19156/18607/99982/60595/114714/17540/238055/226849/319149/76088/26931/223601/73804/14672/56212/14673/17096/20971/227333/15529/21824/74764/18750/83964/16414/11600/18754/80884/16410/16554/23984/12314/110197/14676/319150/14693/18755/14733/16573/14682/19354/22041/19084/14083/15081/13449/20340/22151/22068/108101/67374/20662/104009/26968/26365/14675/16136/320202/269152/19246/20737/74840/16565/12506/58217/14726/16069/18436/16923/18751/18753/69524/16653/19419/16580/64435/26438/19261/67951/15170/80718/53313/14062/16570/19348/22363/27999/68813/14688/18106/319151/13590/330662/18573/19091/16558/21859/14067/16564/110157/319148/22341/16408/57440/12313/67072/216869/16000/13052/18439/192285/100502766/20343/16456/18803/240334/14707/19152/18585/66066/12512/545486/20912/12343/19085/18792/16411/16416/14066/319153/16149/16402/66082/270152/22762/17075/11747/109552/56760/14268/72017/66866/14456/12759/18815/109711/16440/21808/271457/18706/11941/21788/14127/14071/22339/380921/27359/19123/14696/117586/75050/320707/14191/11537/67414/18574/11625/20779/16784/22612/19128/73470/319991/14461/18613/75396/17289/50915/14677/110524/19395/381484/22325/22153/22388/104709/51792/18591/14697/11651/11804/18125/12842/17319/14723/18127/12306/11674/13645/18590/16818/11551/108078/19222/207728/260423/23921/15182/12345/14706/21687/18440/109821/26367/19124/16399/16579/12843/22142/11937/14708/56248/58992/319899/14463/11601/22152/16578/11640/14058/18406/56077/99571/14064/20719/235505/11806/232943/21933/19039/14068/16002/192176/16572/18752/109232/14710/18791/73710/76192/14695/71660/16797/16561/628900/56541/269060/26946/18126/286942/320207/16552/17133/12927/12419/22365/20692/14724/22065/20911/21857/94045/14061/21767/21390/67988/12258/217480/22147/16569/238463/100163/20970/668303/14464	442
R-MMU-69278	Cell Cycle, Mitotic	447/7061	498/8582	1.19544913394603e-06	0.000148368520290857	0.000113532713071833	18286/67037/17120/225849/68121/53380/104394/18969/320332/228421/231042/104318/242705/20459/73699/75608/12445/16328/12531/16881/66700/216965/53857/12428/16319/218914/64898/19192/22145/228769/68612/22059/18005/69922/23834/22146/59015/19088/100088/16905/218210/16563/56371/78833/225659/54130/16452/22196/78303/19076/15270/19182/66679/19046/69654/83922/216274/233276/227613/71988/98386/67849/67177/108000/71648/19185/105988/83431/19166/12447/18747/107995/67151/12571/319179/19052/21664/12617/66296/229841/78177/56438/229776/26442/19053/226747/170791/66998/22187/71876/26446/17931/19167/20877/319156/19075/268930/66442/227699/71175/234865/18141/72787/22367/12442/12532/74549/108911/234663/26965/52206/101706/51885/217708/76707/56317/327762/13548/68097/13001/66570/103733/75660/319189/19386/75786/12530/235661/97122/56086/71819/23997/17274/52717/13427/59008/99412/445007/22186/19069/77605/68953/71805/66440/26417/20842/19645/13557/18971/319158/433759/219072/319183/69482/69928/29870/78887/68475/67141/105513/70099/69957/70799/17216/12576/59021/18393/19384/66934/20873/17219/70247/215387/26413/18968/76308/13726/13424/22143/19184/59029/75430/12236/22154/217232/26932/208092/26428/319184/76499/107939/19177/22390/319187/226849/268697/18817/66336/319176/12444/19324/328580/26931/217718/382030/76789/16906/73804/18541/57441/72124/14245/23797/67121/17096/78294/231506/319185/319155/74360/13191/66468/18750/63955/76816/15519/244329/110379/319172/66977/50850/26886/17218/67733/26443/22123/71955/103768/101565/18392/11652/326620/227720/19718/69077/19650/269966/26951/12544/236266/60411/259279/22151/232440/12534/76478/12572/72119/26440/22627/19179/19172/67629/13000/78798/59046/13555/665596/76044/56455/18972/18751/16912/319159/17220/22194/232987/24061/19186/54563/67951/52696/52504/99100/17463/19348/69270/219103/19171/19173/19387/22190/30939/67089/67052/23996/70231/319161/100041230/22628/71782/78658/13426/28135/319168/68014/216080/12443/66671/103583/12545/66997/12566/18973/208628/56430/54392/68275/102920/109145/69386/100710/13006/103573/15366/17222/75296/23825/319160/20843/545486/66634/68024/66140/22218/319173/15516/53598/17420/77891/12995/272551/108989/64383/73738/19357/12615/18221/103468/71909/236930/52683/26444/27214/18226/19687/319157/52276/21781/74237/16475/77805/12235/12427/16211/319178/116733/319191/18472/19651/103554/19170/12579/18536/20779/319169/73470/12448/269113/230376/56150/68942/27401/100986/27373/12237/70315/319181/22153/214444/51792/326619/57296/11651/12009/17997/74470/319164/69745/20878/21402/68549/66413/319167/19188/319965/11350/69263/26445/72083/13589/237222/208518/13559/22142/448987/231123/19181/22152/19047/72415/319190/16913/56299/12567/99152/106344/64899/77744/71978/66979/73710/19646/69912/72151/12577/52563/17215/14211/12575/67203/22147/26441/238463/66371/50793/72590	447
R-MMU-453274	Mitotic G2-G2/M phases	167/7061	177/8582	1.57604598618043e-06	0.000176044336656354	0.000134710456924053	18286/68121/53380/104318/73699/16328/12531/53857/12428/19192/22145/228769/22059/18005/22146/19088/225659/54130/19182/19046/69654/83922/216274/233276/227613/71648/19185/19166/18747/67151/19052/21664/66296/78177/56438/26442/19053/66998/22187/26446/17931/19167/268930/12442/12532/26965/51885/76707/103733/75786/12530/23997/17274/13427/22186/13557/219072/29870/78887/68475/70799/20873/70247/13424/22143/19184/59029/22154/19177/22390/268697/18817/328580/76789/18541/78294/74360/13191/76816/15519/26443/22123/103768/101565/69077/236266/259279/22151/12534/76478/12572/72119/26440/22627/19179/19172/13555/56455/16912/19186/67951/99100/17463/219103/19171/19173/22190/67089/23996/22628/28135/66671/103583/66997/12566/103573/15366/75296/545486/15516/53598/17420/73738/71909/26444/74237/16475/12427/18472/103554/19170/18536/230376/100986/27373/22153/214444/51792/57296/12009/17997/74470/20878/21402/66413/19188/26445/72083/13589/237222/208518/22142/448987/231123/19181/22152/16913/56299/77744/71978/73710/12575/67203/22147/26441/238463/72590	167
