ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-MMU-69278	Cell Cycle, Mitotic	423/6286	498/8582	1.0476862231585e-10	8.86887092642187e-08	6.44126637742392e-08	17120/225849/104394/63955/16881/18286/22145/12617/67037/18005/320332/12445/23834/19088/69922/12571/73699/228421/98386/53857/22367/22059/83431/69077/228769/18969/20459/59015/233276/64898/83922/16328/448987/26443/71648/12428/12531/319156/78303/19645/16452/242705/78833/78177/21664/13557/218914/218210/12532/75608/12447/216080/229841/15270/445007/68612/19182/229776/216274/68121/19192/54130/69957/78658/227613/16319/66998/14245/19718/54563/16905/52206/18393/319179/17931/19076/545486/327762/13426/103583/208092/71876/18971/17096/216965/101706/76789/319187/66570/18747/75660/13191/319173/19167/20877/232440/22194/51885/225659/227699/18751/17218/69263/104318/26440/75786/26965/22186/71819/72119/67951/16211/66997/18750/26446/13555/319159/68275/13427/12545/56371/18221/319166/52696/19052/328580/244329/97122/52717/52276/234865/19046/77605/12530/66700/16906/26931/76707/319965/319157/226747/26442/319172/22196/12448/21402/15267/319161/20873/215387/67177/21781/13424/12576/78294/26951/23797/20842/66442/22390/17463/22123/326619/18392/26886/219103/268697/70799/68097/52504/70231/73804/108911/22146/18141/21762/26428/319176/67151/665596/59029/18472/99100/319184/77891/69654/26413/319160/59008/12444/71805/59021/23825/19184/56430/22627/17274/19053/12235/13548/22143/319185/19075/381644/319167/19185/12442/326620/12237/26417/268930/19179/100041230/259279/22154/57441/99412/72124/68942/19384/13006/100088/19175/18973/227720/319170/235661/319169/71988/19646/78887/74549/217708/107995/105988/433759/226849/76478/72415/28135/103733/76499/17420/665433/69736/319189/67141/17220/68240/19177/76044/22152/19651/16563/22190/50850/78798/12236/74470/66934/20779/56086/319155/319168/26429/59046/13001/382030/66468/66679/110379/107939/23997/29870/66671/105513/320394/66977/69386/15366/72151/77805/103468/16912/27373/19186/67849/236266/12534/20878/19166/56438/100710/219072/108989/71782/70099/76308/22628/22151/99152/106344/12544/70385/17217/217718/69928/67121/18536/19650/75430/30939/19173/74360/26932/116733/12566/11652/18974/13559/67629/22187/22142/231506/27214/19357/269966/71955/71175/12615/77744/15519/52683/19170/18541/208518/12572/75296/319158/68014/109145/12443/76816/56317/19387/16913/17222/19171/18817/70247/170791/60411/214444/67089/12427/15516/19188/12577/19386/12009/71844/68549/19172/19047/66979/231123/54392/19324/17997/69745/100986/11651/19069/66296/64899/12995/238463/68475/14211/22218/66440/26441/19687/66634/234663/72787/225745/108000/11350/101565/17219/319182/232987/66413/52563/208628/69912/26444/269113/53598/103554/56150/22144/69482/319178/56455/26445/19348/27401/230376/67052/66140/103573/103768/56299/68024/64383/12575/23996/319183/12579/12567/72590	423
R-MMU-983168	Antigen processing: Ubiquitination & Proteasome degradation	252/6286	285/8582	1.58940339183188e-10	8.86887092642187e-08	6.44126637742392e-08	98766/209462/170823/66589/230904/218793/380928/209239/22214/22193/67345/65247/30945/207952/217342/69077/228769/65256/50873/76294/218203/448987/26443/84585/207215/66772/71538/69754/68497/17999/208650/74153/77113/329152/56736/69807/216080/50754/74154/68612/19182/19823/19192/67921/69957/66998/52206/30838/93765/212919/76454/103583/170737/117146/50789/12703/12449/224938/67731/72323/72194/66743/19167/235439/22194/240028/24105/56791/26440/22019/26965/22186/67490/78889/104184/93836/74244/66997/94091/26446/74646/230654/56371/16924/22195/50868/67615/67845/214931/269529/26442/21402/19155/57751/26554/78294/17463/22123/216150/28105/66105/211255/109082/100763/217194/65255/240396/268291/67923/21762/321006/67151/59029/22222/14794/77891/59008/67673/22036/19184/142687/242960/94090/224826/19185/19179/70294/56550/225055/59044/101358/22213/71393/81018/19175/224023/387524/80751/22210/19822/19647/83962/70620/68729/20437/107995/73998/269514/268470/66313/19177/22190/56424/218215/69116/30839/22192/22346/67128/71865/23997/53323/76608/211949/56228/140630/59009/16912/243574/19186/23807/320118/19166/67138/68431/209200/71778/56438/106052/75717/99152/71745/231670/19173/12702/78541/22187/79263/15204/70928/19170/14897/233040/56317/233902/66799/16913/17222/19171/70348/109161/70247/140499/67089/78913/68098/76580/19188/19172/22200/242521/70093/20439/50788/232539/69706/242785/50492/17237/66440/26441/142688/211007/226541/50760/66413/67588/52563/76375/22215/107568/26444/103554/69010/74132/50762/26445/27401/104836/71999/56515/75788/399566/23996/226098/215061/213311/224170/117589/117590/30843/66515	252
R-MMU-983169	Class I MHC mediated antigen processing & presentation	297/6286	342/8582	4.42788763929836e-10	1.64717420181899e-07	1.19630648500342e-07	98766/12491/209462/170823/66589/230904/218793/380928/14828/209239/22214/22193/67345/65247/30945/207952/217342/69077/228769/65256/50873/76294/224753/218203/15040/12330/448987/26443/84585/207215/66772/71538/69754/68497/17999/208650/74153/77113/329152/56736/69807/216080/50754/22320/74154/68612/19182/14991/19823/19192/67921/69957/66998/52206/30838/93765/77371/212919/21356/76454/103583/170737/117146/50789/12703/12010/12449/224938/67731/72323/72194/66743/19167/80898/235439/22194/240028/24105/56791/17970/26440/22019/240095/26965/20619/22186/17972/67490/78889/104184/93836/74244/66997/94091/12317/26446/74646/230654/21354/56371/99683/16924/22195/50868/67615/67845/214931/269529/26442/21402/19155/17969/57751/26554/21355/78294/17463/22123/216150/28105/110557/66105/211255/109082/100763/217194/65255/240396/268291/67923/21762/321006/67151/59029/22222/16410/14794/77891/59008/67673/22036/19184/142687/242960/94090/224826/19185/19179/70294/56550/225055/59044/101358/22213/71393/81018/19175/224023/387524/80751/22210/19822/19647/83962/70620/68729/20437/107995/73998/269514/268470/66313/19177/22190/16419/56424/218215/69116/30839/22192/22346/67128/71865/110379/14827/23997/53323/76608/20334/22319/211949/14129/17533/66397/17534/56228/140630/59009/16912/243574/19186/23807/320118/15039/19166/67138/68431/209200/71778/56438/106052/75717/99152/71745/231670/19173/20909/12702/78541/22187/79263/20333/110696/15204/70928/19170/69608/14897/233040/56317/233902/66799/16913/17222/19171/70348/109161/70247/140499/67089/218811/78913/68098/76580/19188/19172/13057/22200/242521/70093/20439/50788/232539/15007/69706/242785/15006/50492/69162/17237/66440/26441/399549/14985/142688/211007/226541/50760/66413/67588/52563/76375/22215/107568/26444/103554/69010/74132/50762/26445/27401/104836/71999/56515/246278/75788/399566/23996/226098/215061/224761/213311/224170/117589/117590/30843/66515	297
R-MMU-9006925	Intracellular signaling by second messengers	225/6286	256/8582	5.69264779683595e-09	1.58824873531723e-06	1.15351021146413e-06	18708/225849/268706/11512/16590/207565/56484/494448/116871/18719/19088/73699/22034/117150/327826/16180/22324/69077/228769/55984/77647/216848/52187/12912/252870/11515/14255/18573/26443/66894/211323/17999/13982/244650/18707/109294/19182/18718/19192/23942/15234/66998/12487/19353/17192/19247/18754/14182/14013/98432/83490/20393/14388/110355/13619/18747/67605/19744/19167/12524/26440/22186/14056/18749/14180/56212/16337/66997/18750/26446/14784/17246/18854/15370/18596/19052/12223/74769/268980/19211/56717/19084/18710/54383/16818/26931/18709/26442/17311/17082/78757/12576/78294/109270/23797/17463/22123/14360/21951/21762/12315/234366/67151/59029/384783/229542/56458/15200/18575/26413/108083/19184/14177/19053/58988/19185/26417/19179/18574/18753/75778/19175/56716/19720/19646/18717/74493/433759/226849/13869/19177/14186/22190/68877/56424/30951/80857/20779/13649/68031/67112/13001/12519/19821/18591/64654/19085/18590/18720/23997/16367/104111/14302/18607/16912/19186/19166/54170/19354/12313/241915/12314/14256/19173/26932/227743/11652/22187/14164/19170/14175/19763/54167/52615/224129/15182/16913/19171/107932/56692/70247/17874/67089/66096/68576/83409/19188/14173/19172/13867/29871/266632/18183/68441/11651/66508/11513/15937/12995/13626/329934/12371/14183/12418/73162/26441/13645/11514/16334/77125/12416/66413/26444/103554/26445/18595/14170/13983/12151/12575/23996/11839/14172/104110/21802	225
R-MMU-69620	Cell Cycle Checkpoints	240/6286	277/8582	3.52178071910164e-08	6.60085150809637e-06	4.79405363255443e-06	17120/225849/12617/67037/320332/23834/73699/12144/228421/27223/22059/83431/69077/228769/59015/235559/26443/12428/319156/78303/22631/22629/12532/12447/216080/229841/15270/445007/68612/19182/19192/69957/16319/17248/66998/19718/52206/18393/319179/21975/93765/55948/327762/13426/26374/71876/15574/216965/107823/319187/107976/66570/19167/20877/22194/17218/223970/69263/26440/12189/75786/22186/66997/26446/17246/319159/68275/13427/12545/19367/18221/52696/19052/97122/52717/52276/234865/12530/26931/76707/319157/58230/226747/26442/12448/319161/13424/12576/78294/26951/66442/22390/17463/22123/326619/18392/26886/268697/68097/52504/73804/108911/21762/26428/67151/665596/59029/18472/319184/20184/77891/22630/319160/59008/19184/70238/56430/22627/19053/12235/319185/19185/12442/326620/12237/268930/19179/100041230/72124/19175/70620/235661/107995/226849/72415/76499/69736/319189/17220/68240/19177/16563/22190/50883/12236/68251/66934/225182/319155/59004/26429/66468/110379/23997/29870/320394/66977/69386/72151/54401/12021/103468/16912/19186/12534/19166/22628/29813/228829/11920/99152/106344/12544/70385/17217/69928/75430/19173/26932/12566/67629/22187/235610/27214/269966/15204/240087/12615/19170/319158/22427/19355/68014/269582/74386/231724/56317/19387/16913/17222/19171/18817/70247/81601/60411/70681/67089/12427/19188/19386/68549/19172/19047/66440/26441/66634/234663/108000/17219/319182/232987/26909/66413/52563/208628/69912/26444/103554/56150/319178/56455/26445/67052/66140/103573/68024/12575/23996/319183/12649	240
R-MMU-73894	DNA Repair	244/6286	282/8582	3.548844896826e-08	6.60085150809637e-06	4.79405363255443e-06	19358/14375/19363/16881/320332/14048/12144/22224/27223/224008/22059/235559/99375/252870/67030/26891/18861/11465/22632/12428/319156/217365/78303/19060/14088/217069/74153/328572/21399/15270/55982/19365/19718/80905/319179/21975/93765/23894/327762/14050/225280/18971/26572/15574/21853/107823/319187/107976/56791/223970/77593/69263/12189/22256/22186/22591/19361/93836/14049/319159/68275/16647/268420/71711/19367/97122/14087/18294/20020/319157/58230/22196/319161/17685/71885/78294/11792/326619/68026/26383/26895/52864/56469/208836/56031/665596/26447/319184/27015/20184/319160/77782/12848/269523/230674/70238/17688/19364/17686/319185/11546/326620/100041230/244666/19714/114714/13872/56626/18973/22210/66983/69920/235134/70020/70620/69714/67196/66131/170930/58186/211651/51812/17420/319189/68240/22190/50883/20610/209334/68251/14051/225182/69833/319155/69241/59004/108138/11834/231329/56210/66671/71101/18207/227525/19090/234258/56505/57905/69386/72151/12021/68142/17350/66420/19362/56438/319955/20892/11920/106344/229615/225896/69928/268395/22594/22230/19359/72775/216835/26893/12566/104416/18974/22187/22590/28000/235610/71991/15204/26754/193838/240087/268465/12190/56196/12572/319158/56456/22427/19355/15312/269582/74386/231724/50505/81601/76843/70681/12427/51869/68098/72774/100206/66979/193796/68058/60534/13194/69745/107986/26894/21665/20021/13871/67513/227195/50721/17193/57434/22218/101831/19687/100040608/54125/13870/11350/319182/26909/232314/319178/230484/71890/11785/67561/68024/71726/108679/140917/382913/319183/18970/22596/12649/319583	244
R-MMU-1257604	PIP3 activates AKT signaling	201/6286	230/8582	1.06703305278381e-07	1.70115555272391e-05	1.23551195585494e-05	18708/225849/268706/16590/56484/494448/116871/18719/73699/22034/117150/327826/16180/22324/69077/228769/77647/216848/52187/12912/252870/14255/26443/66894/211323/17999/13982/244650/18707/109294/19182/18718/19192/23942/15234/66998/12487/19353/17192/19247/14182/14013/98432/83490/20393/14388/13619/67605/19744/19167/12524/26440/22186/14056/14180/56212/16337/66997/26446/14784/17246/18854/15370/18596/19052/12223/74769/268980/19211/56717/18710/54383/16818/26931/18709/26442/17311/17082/78757/12576/78294/109270/23797/17463/22123/14360/21951/21762/234366/67151/59029/384783/229542/56458/15200/26413/108083/19184/14177/19053/58988/19185/26417/19179/75778/19175/56716/19720/19646/18717/74493/433759/226849/13869/19177/14186/22190/68877/56424/30951/80857/20779/13649/68031/67112/13001/12519/19821/18591/64654/18590/18720/23997/16367/14302/18607/16912/19186/19166/54170/19354/241915/14256/19173/26932/227743/11652/22187/14164/19170/14175/19763/54167/52615/15182/16913/19171/107932/56692/70247/17874/67089/66096/68576/83409/19188/14173/19172/13867/29871/266632/18183/68441/11651/66508/15937/12995/13626/329934/12371/14183/12418/73162/26441/13645/16334/77125/12416/66413/26444/103554/26445/18595/14170/13983/12151/12575/23996/11839/14172/21802	201
R-MMU-9012999	RHO GTPase cycle	331/6286	395/8582	2.55832894292735e-07	3.56886887538366e-05	2.59199116586061e-05	18708/231532/544963/223435/70804/76117/110279/67300/14270/219140/13830/66251/57257/234094/16443/13367/238130/277360/269608/58996/20742/69922/56419/19229/327826/242687/98386/117600/22324/68349/22042/11852/232237/260409/227937/73910/23912/70350/210293/214230/26891/77480/70584/53382/263803/12988/11465/26382/226652/54216/225358/66894/20868/268970/51796/56381/71704/77006/109294/11736/19230/69993/229658/57778/259302/17974/17920/105855/56699/223666/102098/71228/94176/19878/69288/11461/244418/330914/68743/12874/20430/214345/71409/68428/71085/434204/19353/58909/54324/545156/14674/233489/241275/320557/22352/66087/75547/16480/208846/12704/13518/228543/104252/26934/21763/224105/52666/214804/16449/76884/192662/50875/216197/74201/223254/74194/71302/69710/17970/20355/622434/75415/66871/224014/20619/106628/218581/64652/12389/404710/243362/66146/56212/17972/14784/76088/68813/16709/16801/68653/328232/29875/21873/11308/16412/12540/20401/18221/208994/11854/76626/109934/75089/230098/50884/18710/75739/16818/16906/21927/20663/18709/70719/20874/226525/11857/330177/14269/17969/26554/56784/105782/207425/26403/13171/109331/263406/71435/232201/107746/216963/53817/12549/19249/239027/108686/72565/19877/12848/270163/269523/15381/233071/232906/22143/59079/23853/78514/99412/14609/228482/27360/381293/74018/15239/71893/56513/19647/544817/22379/70598/26431/104215/226751/56384/68146/109711/19765/56374/74734/20947/67586/12345/19349/106504/320795/17063/207495/140579/19285/268301/109333/66898/22319/18844/211499/11848/59009/233877/72536/19299/76983/19354/12468/66922/71782/242202/56349/22637/12461/109620/110596/50768/23943/11858/71544/233103/208263/386750/223881/15519/101314/70497/24001/108100/326618/108699/210998/269061/214137/14252/20662/238505/73167/17973/330662/12539/11671/20462/75409/170791/53972/15516/14787/13057/329366/59069/13836/74159/80837/545481/72754/14251/244895/56418/223870/108037/66508/16800/213522/68187/20844/12709/67784/58220/56324/227377/104445/246710/329165/101565/20257/207212/106952/20166/101497/213649/18806/52428/84004/213498/319899/224480/386649/54126/83397/12638/69581/93840/22325/11853	331
R-MMU-195258	RHO GTPase Effectors	206/6286	238/8582	3.99447353335258e-07	4.86611304158003e-05	3.53415114319622e-05	17120/225849/544963/74117/22145/12617/14270/67037/77579/13367/56419/73699/228421/76709/242687/53857/83431/11852/59015/263803/11465/215280/22631/12385/80987/22629/12532/229841/445007/57778/17886/105855/11867/19878/227613/16319/225326/11461/17931/20430/71409/19353/545486/241275/55948/13426/67771/26416/208846/71876/12704/216965/224105/66570/76884/20877/223701/18751/17970/75786/404710/67951/56212/17972/18750/14784/16709/14083/13427/16885/29875/11308/67938/12540/18221/11854/52696/19052/52276/234865/19046/50884/26931/17978/76707/226747/233406/17969/18643/13424/26951/66442/26886/13543/68097/52504/73804/108911/22146/12315/18472/66713/19877/26413/22630/56430/22627/19053/12235/22143/16573/76281/12237/26417/18753/72124/17904/14026/381293/71893/22379/235661/104215/107995/71960/226849/72415/76499/69736/22152/16563/18762/12387/12236/66934/20779/66468/320795/110379/12550/109333/320394/66977/320271/18607/54401/11848/103468/19354/12313/18016/19094/22628/22151/13542/70385/12314/69928/26932/67629/22142/269966/12615/13544/101314/108100/56378/68014/17973/19387/18817/60411/13385/19386/14787/68549/19047/13057/20202/56443/238463/234663/17283/108000/11350/329165/232987/208628/69912/20807/20166/56150/22144/56455/52428/67052/66140/103573/224480/75669/74764/68458/12638/20201/232943/11853	206
R-MMU-68886	M Phase	320/6286	382/8582	4.36031634550182e-07	4.86611304158003e-05	3.53415114319622e-05	17120/225849/18286/22145/12617/67037/18005/320332/19088/69922/73699/228421/98386/53857/22367/83431/69077/228769/59015/233276/64898/83922/16328/26443/319156/78303/19645/78177/218914/218210/75608/216080/229841/15270/445007/68612/19182/216274/68121/19192/54130/69957/78658/227613/16319/66998/14245/54563/16905/52206/319179/545486/13426/208092/71876/216965/101706/76789/319187/66570/18747/13191/319173/19167/20877/232440/22194/51885/225659/227699/18751/104318/26440/75786/22186/71819/67951/16211/66997/18750/26446/319159/13427/18221/319166/52696/19052/328580/244329/97122/52717/52276/234865/77605/66700/16906/26931/76707/319965/319157/226747/26442/319172/22196/15267/319161/20873/215387/13424/78294/26951/20842/66442/17463/22123/326619/26886/219103/268697/70799/68097/52504/70231/73804/108911/22146/18141/21762/319176/67151/665596/59029/18472/99100/319184/77891/69654/26413/319160/59008/71805/59021/23825/19184/56430/22627/19053/12235/22143/319185/381644/319167/19185/12442/326620/12237/26417/19179/100041230/259279/22154/99412/72124/68942/19384/13006/100088/19175/227720/319170/235661/319169/78887/74549/107995/105988/226849/76478/72415/28135/103733/76499/665433/69736/319189/67141/19177/76044/22152/16563/22190/50850/78798/12236/74470/66934/56086/319155/319168/59046/13001/382030/66468/66679/110379/107939/23997/105513/320394/66977/69386/103468/16912/27373/19186/67849/236266/12534/19166/100710/219072/108989/71782/70099/76308/22628/22151/99152/70385/217718/69928/67121/18536/75430/30939/19173/74360/26932/116733/67629/22187/22142/19357/269966/71955/71175/12615/15519/52683/19170/18541/208518/75296/319158/68014/76816/56317/19387/16913/17222/19171/18817/70247/170791/60411/214444/67089/19188/19386/12009/71844/68549/19172/19047/231123/54392/19324/17997/100986/19069/66296/64899/12995/238463/68475/14211/22218/66440/26441/234663/72787/225745/108000/101565/319182/232987/66413/52563/208628/69912/26444/269113/53598/103554/56150/22144/69482/319178/56455/26445/19348/230376/67052/66140/103573/103768/68024/64383/23996/319183	320
