ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-MMU-9012999	RHO GTPase cycle	359/6761	395/8582	4.02310879283991e-11	4.48978941280934e-08	3.17613852066309e-08	18708/231532/544963/223435/76117/70804/67300/110279/14270/219140/13830/195727/57257/16443/66251/13367/234094/277360/238130/56419/269608/69922/58996/327826/232237/19229/20742/242687/22324/117600/98386/11852/22042/70350/210293/70584/227937/23912/68349/260409/77480/73910/20355/26891/66894/26382/244418/214230/68428/11465/53382/263803/54216/12988/51796/73341/26554/226652/225358/20868/268970/56381/71704/11736/17974/69993/19230/109294/17920/229658/57778/56699/259302/105855/77006/102098/236915/19878/11461/223666/94176/69288/54004/71409/71228/330914/320634/19353/71085/434204/20430/75547/68743/214345/54324/12704/94190/545156/58909/14674/320557/208846/233489/66087/241275/104252/22352/16480/52666/13518/236920/224105/228543/21763/50875/16449/214804/622434/26934/16412/192662/69710/76884/66871/224014/216197/64652/71302/74201/218581/106628/17970/74194/56212/223254/14784/66898/243362/404710/76088/66146/16709/20619/12389/75415/11854/16801/208994/68813/328232/18221/11308/12540/21873/19647/68653/29875/16906/12874/75739/75089/50884/70719/18709/18710/20663/109934/76626/20874/230098/16818/21927/109331/17969/14269/11857/226525/17972/207425/216963/12549/54411/263406/233071/330177/26403/237038/13171/232201/71435/108686/20401/107746/19249/53817/544817/239027/72565/14609/19877/56784/15381/12848/270163/269523/228482/232906/381293/74018/22143/56513/27360/78514/23853/105782/71893/70598/18481/59079/99412/104215/50768/22379/15239/226751/26431/20947/56384/68146/106504/19349/56374/109711/330662/140579/109333/19765/67586/320795/268301/19285/17063/22319/53332/13726/75974/233877/74734/22284/12345/246710/18844/12638/56389/59009/11856/11848/211499/12468/76983/66922/72536/22637/11858/242202/233103/19354/56349/19299/71782/71544/23943/110596/109620/12461/210998/207495/208263/15519/101314/24001/108699/386750/214137/13058/223881/22325/326618/14252/269061/108100/70497/12539/20462/15516/73167/15369/17973/20662/238505/170791/75409/53972/11671/76763/27061/329366/84004/13836/14787/545481/13057/59069/108037/80837/14251/74159/72754/16800/244895/223870/56418/68187/20844/66508/213522/58220/12709/67784/104445/329165/20257/227377/56324/14163/101565/52428/68917/207212/19655/106952/101497/20166/19418/213649/18806/386649/213498/442801/319899/224480/69581/71972/54126/83397/52331/93840/13605/11853	359
R-MMU-69278	Cell Cycle, Mitotic	443/6761	498/8582	6.77825675440944e-10	3.78226726896047e-07	2.67562766621425e-07	17120/225849/104394/63955/18286/16881/12617/67037/320332/12445/18005/23834/19088/73699/69922/12571/228421/83431/98386/53857/22367/448987/228769/59015/233276/20459/18969/83922/64898/16328/26443/22145/12531/319156/78833/71648/19645/12428/78303/78177/16452/218210/12532/242705/216080/21664/22059/13557/218914/12447/15270/68612/216274/75608/68121/69957/53380/445007/229841/19182/19718/16319/229776/17931/19192/78658/54563/52206/227613/14245/54130/319179/18393/76789/16905/66998/327762/545486/19076/101706/103583/71876/17096/13426/216965/208092/18747/18971/75660/319187/319173/66570/17218/225659/19167/18750/18751/13191/232440/51885/227699/22194/20877/26440/69263/69077/22186/71819/16211/104318/26446/13555/66997/13427/26965/67951/68275/319159/56371/12530/19046/234865/52276/66700/77605/18221/328580/19052/75786/52696/319166/16906/26931/20842/72119/12545/52717/244329/97122/76707/226747/59008/13424/26442/67177/319965/22123/23797/22196/15267/215387/66442/319161/26886/319172/268697/20873/12576/17463/219103/68097/78294/70231/59029/12448/22390/326619/319184/67151/21781/108911/26951/18141/22146/18392/73804/21762/77891/26428/52504/70799/26413/319160/69654/56430/665596/319176/18472/12444/59021/19075/71805/326620/12442/12237/19053/12235/319167/26417/319185/19184/22154/99100/23825/13548/22627/259279/57441/268930/319157/19185/319170/22143/13006/17274/19179/100088/13589/72124/227720/100041230/99412/319169/68942/19384/107995/18973/381644/74549/665433/22152/19175/18968/433759/28135/71988/217708/67141/76044/68240/50850/76478/235661/102920/17220/69736/76499/59046/19651/19646/12236/78887/103733/22190/319155/226849/13001/105988/78798/236930/72415/319168/319189/19177/382030/56086/234663/66468/17420/66934/26429/107939/16563/20779/66977/66679/29870/19186/72151/15366/13726/67849/236266/19348/105513/77805/23997/100710/69386/320394/20843/108989/219072/110379/74470/66671/16912/70099/27373/103468/12534/19166/106344/217718/22151/12544/99152/20878/75430/56438/76308/70385/71782/12566/13559/19650/18974/22628/19173/26932/17217/67121/69928/18536/19357/27214/74360/116733/30939/22187/231506/69270/11652/15519/22142/19170/71955/208518/67629/269966/71175/18538/75296/68014/109145/18541/52683/319158/56317/24061/16913/19387/12572/12443/214444/15516/12009/18817/237222/12615/12577/170791/76816/17222/60411/54392/19171/12427/70247/67089/19172/103554/71844/19386/21402/19324/19188/17997/66979/19047/68549/108000/231123/77744/19069/100986/69745/68475/11651/72083/56150/14211/66296/64899/12995/22218/26441/238463/66634/66440/19687/72787/103573/225745/231042/11350/101565/66413/17219/319182/66336/52563/232987/69912/208628/272551/53598/73710/26444/269113/73738/69482/319178/26445/56455/64383/22144/319165/71978/27401/66140/230376/67052/56299/103768/68024/12575/17216/23996/319183/12579/12567/72590	443
R-MMU-195258	RHO GTPase Effectors	219/6761	238/8582	1.91247908704466e-08	6.79440773942708e-06	4.80645708787994e-06	17120/544963/225849/74117/14270/12617/67037/13367/56419/73699/228421/242687/76709/83431/53857/11852/59015/215280/22145/11465/263803/11835/22629/80987/77579/12532/12385/22631/57778/445007/229841/17886/16319/17931/105855/11867/17978/19878/11461/227613/54004/71409/225326/19353/20430/12704/545486/208846/55948/26416/71876/241275/13426/216965/224105/66570/18750/18751/67771/76884/223701/20877/17970/56212/14784/404710/13427/67951/16709/11854/16885/19046/234865/52276/67938/18221/11308/12540/19052/75786/52696/29875/26931/50884/18643/76707/226747/13424/66713/233406/17969/66442/26886/68097/13543/17972/108911/26951/22146/73804/52504/14083/12315/237038/26413/56430/19877/18472/76281/16573/22630/12237/19053/12235/26417/22627/381293/22143/17904/13589/71893/72124/18753/14026/18481/104215/107995/22379/22152/235661/102920/69736/76499/12236/18762/226849/12387/71960/236930/72415/109333/234663/66468/320795/66934/16563/20779/66977/54401/18607/12550/320394/110379/320271/12638/11848/12313/103468/19094/18016/22151/12314/19354/70385/13542/22628/26932/69928/22142/101314/67629/13544/269966/13058/68014/108100/19387/56378/18817/12615/17973/13385/60411/19386/12229/14787/13057/19047/68549/108000/17283/56150/56443/20202/238463/329165/22342/103573/11350/52428/192176/66336/232987/20807/69912/208628/73710/20166/56455/22144/66140/67052/224480/75669/74764/68458/232943/20201/11853	219
R-MMU-983168	Antigen processing: Ubiquitination & Proteasome degradation	259/6761	285/8582	2.4352715911925e-08	6.79440773942708e-06	4.80645708787994e-06	98766/170823/209462/66589/230904/218793/209239/380928/22193/22214/30945/65247/217342/207952/50873/448987/228769/76294/65256/26443/84585/67921/68497/66772/207215/26554/71538/69754/208650/17999/77113/74153/67345/329152/218203/216080/56736/69807/74154/68612/69957/53380/50754/19182/19823/19192/52206/76454/66998/212919/103583/30838/170737/224938/117146/12703/68854/12449/50789/67731/72323/235439/19167/66743/240028/19820/22194/78889/26440/56791/104184/69077/94091/22186/72194/74244/26446/66997/26965/22019/67490/56371/93836/24105/74646/16924/67615/19647/230654/67845/50868/59008/26442/269529/22123/19155/216150/67923/66105/17463/214931/240396/78294/268291/28105/59029/211255/57751/67151/109082/100763/21762/77891/65255/67673/22222/321006/59026/22036/14794/22195/80751/224826/217194/19184/142687/19185/59044/19822/56550/242960/19179/94090/101358/22210/70620/70294/71393/20437/387524/107995/83962/22213/225055/19175/66313/224023/268470/68729/81018/73998/56424/211949/22190/30839/67128/269514/69116/22192/19177/106052/22346/71865/19186/53323/218215/76608/93765/56228/75717/67138/23997/243574/320118/59009/140630/16912/23807/209200/68431/19166/71778/99152/56438/78541/231670/19173/79263/71745/22187/15204/233040/19170/12702/233902/70928/56317/14897/16913/109161/70348/68098/17222/19171/66799/70247/67089/22200/19172/22201/103554/76580/21402/78913/19188/140499/70093/242521/20439/50788/50492/232539/69706/242785/17237/26441/66440/142688/66413/211007/226541/50760/52563/76375/22215/107568/67588/69010/26444/74132/18744/50762/75788/26445/22209/104836/27401/71999/56515/399566/226098/23996/215061/224170/213311/117589/117590/30843/66515	259
R-MMU-3700989	Transcriptional Regulation by TP53	259/6761	286/8582	5.70084282838762e-08	1.27242811929612e-05	9.00133078166467e-06	72416/268706/21672/268936/18996/77976/216456/19079/12144/73699/117150/20463/67338/57748/21981/66262/216848/17992/235559/12227/252870/52187/20869/68428/12177/140742/12428/230784/15258/22629/105787/328572/12532/22059/22631/12447/21399/18718/75747/108099/23942/19718/56717/26992/17248/67956/52679/23894/22062/104625/17192/327762/69131/108961/55948/26416/15574/226830/69181/57913/19744/20620/20393/20877/26399/69263/22186/108079/223970/74747/12189/209361/68275/231464/12028/52846/18854/219024/12868/72068/77683/19052/68742/19367/66359/26931/72119/14782/20020/13063/17246/18477/67655/23797/20924/78757/268697/67923/12576/12861/219103/78294/12448/109270/319801/110323/12858/229542/27224/108083/67673/20922/234366/70439/80751/22630/66464/69562/78783/19053/22627/223770/56187/13872/56716/333654/14751/209456/17165/70088/68033/16009/21343/69920/12366/69802/64930/14660/233058/433759/228980/50493/68240/19082/58202/15257/226182/50883/21975/13716/69241/19646/22190/13001/225182/13197/72949/19352/53325/17420/231329/107951/12867/54401/225655/20021/18607/69833/72151/12021/69076/13163/60599/66671/12569/15182/18148/54170/66420/19094/12534/27374/106344/98053/14381/11920/29813/20878/53621/231430/19355/12566/66494/22628/69260/241113/22187/69125/68776/11652/235610/234594/227743/22166/24116/53376/228829/18538/231724/237911/12572/22427/114741/24074/56692/74386/619332/12427/107932/232791/83409/66096/81601/108097/68576/78893/110147/245688/100126824/68441/68705/407786/270627/11651/27354/13871/57314/66508/12995/66142/18983/12568/72504/12905/228140/26909/17535/20833/67710/70207/12857/18997/12450/54683/17749/12575/66272/245670/12649	259
R-MMU-983169	Class I MHC mediated antigen processing & presentation	306/6761	342/8582	8.33368431285237e-08	1.55006528219054e-05	1.09653740958584e-05	98766/170823/12491/209462/66589/230904/218793/209239/14828/380928/22193/22214/30945/65247/217342/207952/50873/448987/228769/76294/65256/224753/12330/15040/26443/84585/67921/68497/66772/207215/26554/71538/69754/208650/17999/77113/74153/67345/329152/218203/216080/56736/69807/22320/74154/68612/69957/53380/50754/19182/19823/14991/19192/52206/77371/21356/76454/66998/212919/103583/30838/170737/224938/117146/12703/68854/12449/12010/50789/80898/67731/72323/235439/19167/66743/240028/19820/22194/78889/240095/26440/56791/104184/69077/94091/22186/72194/99683/17970/74244/26446/66997/26965/20619/22019/67490/56371/21354/12317/93836/24105/74646/16924/67615/19647/230654/67845/50868/59008/26442/269529/22123/19155/17969/216150/67923/66105/17463/214931/240396/78294/268291/28105/59029/211255/57751/17972/110557/67151/109082/100763/21762/77891/65255/21355/67673/22222/321006/16410/59026/22036/14794/22195/80751/224826/217194/19184/142687/19185/59044/19822/56550/242960/19179/94090/101358/22210/70620/70294/71393/20437/387524/107995/83962/22213/225055/19175/66313/224023/20334/268470/68729/81018/73998/56424/211949/22190/30839/67128/269514/16419/69116/22192/19177/106052/14827/22319/22346/71865/19186/53323/14129/218215/76608/17534/93765/56228/75717/67138/23997/17533/243574/66397/320118/110379/59009/140630/15039/16912/23807/209200/68431/19166/71778/99152/56438/20333/78541/231670/20909/19173/79263/71745/22187/15204/233040/19170/12702/110696/233902/70928/13058/69608/56317/14897/16913/109161/218811/70348/68098/17222/19171/66799/70247/67089/22200/19172/22201/103554/76580/27061/21402/78913/19188/13057/140499/70093/242521/20439/50788/15006/69162/50492/232539/15007/69706/242785/17237/26441/14985/399549/66440/142688/66413/211007/226541/50760/52563/76375/22215/107568/67588/69010/26444/74132/18744/50762/75788/26445/22209/104836/27401/246278/71999/56515/399566/226098/224761/23996/215061/224170/213311/117589/117590/30843/66515	306
R-MMU-9006925	Intracellular signaling by second messengers	232/6761	256/8582	2.46068009026749e-07	3.67257207061352e-05	2.59802778056984e-05	18708/268706/225849/11512/16590/207565/56484/494448/116871/11798/18719/19088/73699/327826/22034/16180/117150/22324/228769/55984/12912/216848/77647/252870/52187/14255/66894/11515/18573/26443/211323/244650/17999/13982/18707/109294/53380/18718/19182/23942/56717/19192/15234/19353/12487/66998/17192/14182/18754/14013/110355/98432/18747/19247/83490/14388/13619/19744/20393/19167/18750/12524/67605/26440/69077/22186/56212/14784/16337/26446/66997/14180/18749/18854/14056/15370/54167/19211/19052/18596/26931/19084/74769/268980/12223/18709/54383/18710/17246/26442/16818/22123/17311/23797/13649/78757/12576/17463/78294/59029/17082/109270/67151/14360/229542/21762/108083/21951/12315/26413/18575/234366/384783/56458/18574/19053/26417/19184/16179/15200/14177/19185/19179/19720/56716/18753/75778/14186/18717/19175/433759/80903/74493/56424/58988/13869/19646/22190/226849/13001/68031/14302/68877/19177/67112/19821/30951/18591/80857/12519/20779/18590/18720/19085/18607/19186/104111/64654/224129/23997/16367/15182/54601/16912/54170/12313/19166/12314/19354/241915/19173/26932/14164/22187/14256/11652/227743/19170/19763/14175/52615/16913/11514/56692/19171/107932/83409/66096/13867/14173/17874/70247/67089/19172/29871/103554/68576/18183/245688/19188/68441/266632/15937/11513/11651/73162/66508/329934/12995/26441/12418/14183/12371/13626/13983/13645/66413/77125/16334/12416/26444/26445/18595/14170/12151/12575/23996/11839/14172/104110/245670/21802	232
R-MMU-73894	DNA Repair	254/6761	282/8582	2.63266815097744e-07	3.67257207061352e-05	2.59802778056984e-05	19358/14375/19363/14048/16881/320332/12144/22224/27223/224008/235559/99375/252870/18861/26891/67030/22632/11465/217365/319156/12428/217069/14088/19060/78303/74153/328572/22059/15270/21399/55982/19365/19718/80905/72584/319179/23894/327762/225280/26572/14050/15574/107823/18971/107976/319187/22256/58186/21853/77593/69263/56791/22186/223970/12189/22591/19361/14049/68275/319159/268420/93836/16647/19367/71711/58230/20020/14087/97122/18294/17685/22196/319161/11792/26895/68026/71885/78294/326619/319184/52864/26383/56469/77782/208836/319160/19714/26447/56031/20184/665596/17686/27015/70238/12848/326620/230674/17688/19364/269523/319185/319157/13872/244666/22210/100041230/66983/70620/11546/114714/56626/235134/69920/18973/66131/67196/69714/68240/56505/70020/50883/21975/69241/20610/22190/319155/225182/51812/211651/319189/68251/59004/17420/71101/14051/231329/11834/108138/20021/19090/69833/234258/72151/93765/12021/57905/18207/170930/69386/56210/209334/227525/66671/68142/17350/66420/106344/11920/26893/319955/19362/19355/56438/20892/19359/12566/216835/18974/268395/28000/72775/22594/225896/229615/22230/69928/22187/22590/15204/240087/71991/235610/193838/104416/26754/12190/18538/231724/268465/319158/237911/12572/56196/22427/56456/15312/237211/51869/74386/269582/68098/12427/76843/50505/70681/81601/100206/60534/13194/193796/66979/72774/68058/26894/21665/69745/107986/50721/67513/27354/13871/227195/17193/22218/57434/319583/101831/100040608/19687/54125/13870/11350/319182/26909/232314/17535/67710/26419/319178/230484/11785/71890/67561/68024/17749/71726/74335/140917/108679/382913/319183/18970/22596/12649	254
R-MMU-8953897	Cellular responses to stimuli	389/6761	443/8582	2.99457427665722e-07	3.71327210305495e-05	2.62681954092739e-05	17168/72416/268706/665113/21672/59035/104248/14828/17250/67443/21898/81004/12571/26462/26408/53857/20463/18667/228769/109151/17992/59015/72630/17684/52187/56551/29806/101488143/233016/26443/17977/58233/22145/217365/12359/19645/140742/26554/109778/12428/11835/230784/329679/16476/226641/218210/328572/20602/112407/216080/22059/20655/213539/12447/20112/68612/116940/69957/53380/20111/445007/19182/108058/12325/15260/56717/17978/19192/23871/15364/80838/54563/52206/227613/11972/17248/238055/14775/76650/54130/77128/17164/66998/545486/18024/11757/242341/26416/23950/98402/13426/319481/14281/19744/22428/110651/19167/13191/67605/227699/22194/26440/26399/20466/69077/22186/17970/19014/108079/23872/26446/66997/13427/26965/67951/68275/14056/56371/56637/12868/18759/216850/77683/234865/13875/17087/66359/16906/15251/14957/56702/52717/14782/26398/11973/13063/50868/17246/59008/18477/71962/13424/26442/22123/23797/15505/17969/26420/216742/81489/67923/66105/12576/17463/12861/68097/78294/59029/17972/12448/67151/110323/18141/12858/22146/21762/77891/11758/18453/67673/26413/66335/69654/50527/12343/21372/71805/13819/12460/67305/269523/26417/17748/277854/19184/12013/12322/22627/114143/19185/13665/22143/56550/19179/56716/72124/227720/17165/68033/15526/69802/14950/22152/19175/13627/50493/68240/224111/12323/235661/11966/15481/67665/69736/50758/19646/15512/22190/11806/11863/15368/56444/66538/270802/14229/19177/234663/11984/107939/75512/66679/22346/12867/93759/26921/80909/17135/19186/75560/11974/68196/23997/12345/66290/108989/170644/110379/66237/16912/216805/54170/67384/12608/103468/19094/19166/66403/22151/11920/99152/231430/75430/56445/14815/56438/110920/12566/19173/112405/22230/71745/70356/22187/29810/101142/14228/101148/11652/78943/15519/22142/19170/15185/17750/22166/269966/13058/56317/12017/52615/16913/270669/230676/50709/15361/15516/26414/56692/18415/15369/17222/108664/19171/12427/83409/66096/18412/70247/56453/67089/229003/19172/81601/103554/71844/56351/68576/19386/21402/110147/245688/19188/13057/100126824/68441/319594/15499/56032/19069/11651/27354/268933/66508/26441/238463/11964/102626/13626/252875/66142/67204/66440/53417/17751/72787/103573/14780/231042/11657/66413/338375/20181/52563/69912/112406/17535/53598/73710/15183/26444/269113/26419/70207/69482/26445/56455/22144/110935/12857/26400/52466/27401/66993/26397/54683/50932/12575/13666/15502/23996/73442/14958/66272/245670/15482/12579/22791/12567/69590	389
R-MMU-2262752	Cellular responses to stress	386/6761	440/8582	4.25264876835028e-07	4.74595602547891e-05	3.35735429080285e-05	17168/72416/268706/665113/21672/59035/104248/14828/17250/67443/21898/81004/12571/26462/26408/53857/20463/18667/228769/109151/17992/59015/72630/17684/52187/56551/29806/101488143/233016/26443/17977/58233/22145/217365/12359/19645/140742/26554/109778/12428/11835/230784/329679/16476/226641/218210/328572/20602/112407/216080/22059/20655/213539/12447/20112/68612/116940/69957/53380/20111/445007/19182/108058/12325/15260/56717/17978/19192/23871/15364/80838/54563/52206/227613/11972/17248/238055/14775/76650/54130/77128/17164/66998/545486/18024/11757/242341/26416/23950/98402/13426/319481/14281/19744/22428/110651/19167/13191/67605/227699/22194/26440/26399/20466/69077/22186/17970/19014/108079/23872/26446/66997/13427/26965/67951/68275/14056/56371/56637/12868/18759/216850/77683/234865/13875/17087/66359/16906/15251/14957/56702/52717/14782/26398/11973/13063/50868/17246/59008/18477/71962/13424/26442/22123/23797/15505/17969/26420/216742/81489/67923/66105/12576/17463/12861/68097/78294/59029/17972/12448/67151/110323/18141/12858/22146/21762/77891/11758/18453/67673/26413/66335/69654/50527/12343/21372/71805/13819/12460/67305/269523/26417/277854/19184/12013/12322/22627/114143/19185/13665/22143/56550/19179/56716/72124/227720/17165/68033/15526/69802/14950/22152/19175/13627/50493/68240/224111/12323/235661/11966/15481/67665/69736/50758/19646/15512/22190/11806/11863/15368/56444/66538/270802/14229/19177/234663/11984/107939/75512/66679/22346/12867/93759/26921/80909/17135/19186/75560/11974/68196/23997/12345/66290/108989/170644/110379/66237/16912/216805/54170/67384/12608/103468/19094/19166/66403/22151/11920/99152/231430/75430/56445/14815/56438/110920/12566/19173/112405/22230/71745/70356/22187/29810/101142/14228/101148/11652/78943/15519/22142/19170/15185/22166/269966/13058/56317/12017/52615/16913/270669/230676/50709/15361/15516/26414/56692/18415/15369/17222/108664/19171/12427/83409/66096/18412/70247/56453/67089/229003/19172/81601/103554/71844/56351/68576/19386/21402/110147/245688/19188/13057/100126824/68441/319594/15499/56032/19069/11651/27354/268933/66508/26441/238463/11964/102626/13626/252875/66142/67204/66440/53417/72787/103573/14780/231042/11657/66413/338375/20181/52563/69912/112406/17535/53598/73710/15183/26444/269113/26419/70207/69482/26445/56455/22144/110935/12857/26400/52466/27401/66993/26397/54683/50932/12575/13666/15502/23996/73442/14958/66272/245670/15482/12579/22791/12567/69590	386
