ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-MMU-9012999	RHO GTPase cycle	186/2752	395/8582	1.3788883091761e-10	1.53194491149465e-07	1.41952922776235e-07	263803/17920/109294/56212/242202/54216/14269/208994/545156/622434/50768/234094/20355/71302/20257/57257/13367/207425/70598/68146/12704/243362/71409/386750/223435/226751/544963/75415/16443/77480/26934/76088/69922/18710/19249/24001/71704/76884/18844/277360/330914/67586/11858/18708/17974/66871/224480/19878/67300/544817/76626/66894/140579/23912/72565/70584/110596/108670/71435/75547/19229/12549/330177/16800/20663/13057/66898/71228/217866/12345/58909/66922/20742/269608/238130/14609/14270/50884/328232/69993/386649/210293/109934/70350/16709/19418/104252/207212/68428/17969/70497/75089/16412/56699/16801/259302/17063/214345/442801/19299/29875/15516/21763/15519/23943/78514/72754/16906/54324/67784/233489/26554/19647/17972/104445/54126/232237/64652/208846/22143/53382/98386/214804/69288/94176/268301/108699/117600/59079/19765/12988/239027/18706/58220/11857/225358/228543/71972/233071/14784/12389/56419/327826/72536/50875/70804/224014/13518/246710/68813/16818/93840/229658/231532/20947/260409/76117/68653/56381/17970/20430/109711/11852/66087/56324/227937/74201/22637/329366/216445/13830/73910/15381/52666/106628/232201/110279/58996/20868/83397/404710/75739/107746/27360/11461/105782	186
R-MMU-109582	Hemostasis	215/2752	492/8582	1.73737995686898e-08	9.65114566040718e-06	8.94293472535717e-06	56541/56212/18783/242202/54216/12505/19128/12491/18573/170731/217837/57257/217480/319991/22371/30955/110197/22365/14465/18753/22761/23984/11818/26934/80718/76088/22065/14083/218454/21346/241489/239273/18710/83964/23945/228139/16573/14360/54519/18708/14268/50915/14682/14062/19156/16416/234779/16423/16000/70945/14675/17096/18441/74769/227333/109689/18751/320127/72461/20720/14701/18754/70839/18750/14733/16331/16402/73470/17540/19091/12345/11820/19053/11941/67972/545486/11625/192285/19073/11600/20541/110157/109552/22151/20969/238130/12343/11551/22068/20655/18788/14688/14702/13660/14464/18749/20343/18613/210293/207728/16410/14462/12527/54368/751864/74145/56508/14461/16412/53313/14058/18439/12523/21933/15529/22631/16399/14700/17135/16797/215449/240334/18792/108829/381290/11804/68732/16561/22388/20909/14064/16408/19124/22143/16401/18761/19419/21859/22341/94176/67374/16568/14707/223864/12988/19363/19088/18706/14066/18803/19123/14678/14784/27999/108101/16439/269152/22330/57440/14724/16438/68813/19261/20737/22147/16818/67951/56193/18793/271457/15234/26968/56744/14127/104418/12313/217864/26931/319151/20194/71946/11552/18607/16579/109711/18590/11852/320207/74764/319150/16565/17075/26367/16414/18815/242851/14708/14683/67059/16570/22612/227612/226849/20963/67414/238055/11640/269060/94045/20971/235505/18755/60595/109821/14068	215
R-MMU-9013149	RAC1 GTPase cycle	82/2752	163/8582	8.18759744902033e-07	0.000303214025528719	0.000280963870355855	109294/545156/50768/234094/71302/57257/12704/223435/226751/544963/75415/26934/76088/69922/18710/24001/76884/277360/330914/18708/224480/544817/70584/71435/12549/330177/20663/13057/66898/58909/238130/14270/50884/69993/210293/109934/16709/19418/17969/70497/16412/56699/259302/442801/29875/23943/78514/54324/17972/104445/54126/232237/64652/98386/214804/94176/108699/117600/59079/19765/239027/18706/11857/225358/233071/12389/56419/72536/68813/229658/231532/20947/76117/17970/20430/216445/52666/232201/110279/58996/404710/75739	82
R-MMU-9006934	Signaling by Receptor Tyrosine Kinases	171/2752	400/8582	2.87442186760749e-06	0.000798370673727981	0.000739785417505297	18552/18553/19242/14158/56717/107568/18205/71355/19272/68705/18187/15451/57257/13367/13982/14783/21814/19271/18753/18183/67603/77480/114716/14083/54635/211323/18710/16206/24064/71520/12832/76884/80707/319939/80857/24063/14360/20393/18708/17974/14268/19878/67300/12826/14180/16416/14173/13649/140579/12831/16000/17096/14181/21871/74769/94212/19229/18751/19273/140580/18754/13057/18750/20732/545622/19053/17346/19730/12562/16542/12223/14425/50884/14255/19303/18749/12814/18595/12385/16410/20112/11772/26362/102626/17164/18596/17969/11973/16398/14164/16412/13869/215449/140494/17179/15519/12827/218397/16775/433702/17311/19253/12402/114715/17972/20111/54126/11974/11908/22601/14388/76890/18576/22341/20408/59079/17444/12988/78757/18706/18213/16001/72514/21682/242341/18803/14784/12389/16590/319520/54426/19268/327826/14254/373864/20850/12839/20848/12929/12815/16818/14182/15234/71436/74334/399558/12313/214058/17970/20430/18607/12387/29857/18590/56324/17242/18815/227743/20851/22612/11839/260302/73086/11966/19165/18762/12064/107746/230126/11461/19341	171
R-MMU-9013406	RHOQ GTPase cycle	33/2752	53/8582	5.6902004279744e-06	0.00126436253509591	0.00117158231969662	14269/50768/71302/68146/226751/16443/277360/330914/66871/66894/70584/71435/217866/14609/14270/328232/104252/68428/70497/56699/29875/104445/54126/233071/12389/56419/229658/260409/13830/106628/404710/75739/105782	33
R-MMU-76002	Platelet activation, signaling and aggregation	109/2752	246/8582	3.06113159104729e-05	0.00566819532942257	0.00525225736148115	56541/56212/18783/54216/19128/12491/57257/217480/22371/30955/110197/18753/11818/80718/22065/14083/218454/21346/239273/18710/23945/14360/54519/18708/14268/14682/14062/19156/16416/234779/16000/70945/14675/17096/18441/74769/227333/109689/18751/320127/14701/18754/70839/18750/11820/11625/19073/110157/11551/22068/20655/14688/14702/18613/12527/54368/74145/56508/22631/16399/14700/16797/215449/240334/11804/22388/20909/14064/18761/19419/21859/22341/14707/223864/12988/18706/14678/14784/27999/108101/16439/22330/14724/16438/16818/56193/15234/26968/56744/14127/104418/12313/71946/11552/18607/109711/18590/11852/320207/18815/242851/14708/67059/227612/20963/269060/235505/18755/60595	109
R-MMU-9013106	RHOC GTPase cycle	36/2752	67/8582	0.00018786091414632	0.0278005510343451	0.0257605181785869	263803/50768/234094/71302/13367/12704/243362/71409/26934/277360/330914/18708/19878/110596/71435/75547/109934/207212/16801/19299/29875/72754/54324/208846/98386/59079/12389/56419/229658/329366/13830/73910/52666/110279/20868/404710	36
R-MMU-9013148	CDC42 GTPase cycle	43/2752	84/8582	0.00020018398584587	0.0278005510343451	0.0257605181785869	109294/622434/50768/234094/71302/57257/243362/223435/16443/26934/76088/277360/330914/18708/544817/71435/12549/14270/210293/109934/16709/19418/70497/259302/442801/78514/54324/98386/108699/117600/19765/239027/11857/225358/71972/233071/12389/72536/224014/231532/216445/52666/110279	43
R-MMU-2029485	Role of phospholipids in phagocytosis	15/2752	21/8582	0.000246135488646552	0.0285103124275121	0.0264181965551252	18753/18708/234779/74769/18754/12503/14130/18706/18803/104759/246256/20963/53357/14129/18807	15
R-MMU-2029480	Fcgamma receptor (FCGR) dependent phagocytosis	39/2752	75/8582	0.000256618473694978	0.0285103124275121	0.0264181965551252	17909/74117/57257/18753/14083/76884/66713/14360/18708/140579/234779/17096/74769/140580/18754/50884/215280/12503/17886/15516/14130/15519/80987/17913/56443/18706/18803/14784/17918/11867/104759/246256/20430/22612/20963/53357/14129/18807/11461	39
