ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-MMU-109582	Hemostasis	286/3740	492/8582	1.74925911610581e-11	1.94692539622576e-08	1.7713550207303e-08	56541/18783/56212/242202/12505/54216/19128/12491/57257/18573/238130/21346/14360/170731/217837/22371/16438/217480/14071/23984/22761/16423/319991/18708/11818/239273/18753/110197/381290/22365/80718/14465/269152/11472/16822/30955/76088/22065/218454/109711/12345/74145/26934/228139/12527/18710/73699/18754/20720/16439/241489/70945/22144/14062/20969/18751/16416/19091/99571/210293/23945/14083/14064/227333/20343/94176/751864/20963/54519/76192/83964/16797/14682/330662/15234/11806/20541/16570/17540/14268/14675/68732/16573/16561/50915/19156/67972/70839/18441/109689/320127/16401/192285/16331/74769/234779/11551/72461/11820/99982/207728/11600/13660/16402/14058/16000/17096/238055/16558/18792/21788/14702/18750/14733/240334/229841/19073/21859/20655/14460/20909/14701/22151/209737/380921/11640/110157/108829/545486/19247/269060/18749/73470/13041/18755/109552/19053/18125/18788/12523/320707/21390/18761/11625/54368/11941/12506/22631/12759/16554/56508/22068/12343/12540/14462/67951/14709/17135/217864/14700/14461/18613/18439/15529/11852/14464/228421/215449/14061/14696/21933/22153/16410/226849/19363/19088/381484/68813/16456/20194/60595/14688/16412/18815/16408/16399/53313/20912/19241/14784/19261/243816/22388/71946/109905/223864/19124/22612/14677/27999/104418/100502766/22341/11804/26931/75974/14707/14678/68891/12988/17075/14683/16784/12313/19353/22325/14068/14679/19419/16568/11747/20737/67374/319151/14724/22143/104709/108101/14066/12843/68117/66866/18803/12314/19052/56744/668303/14205/16414/18793/17134/18706/56193/74764/271457/14127/21687/12842/26367/15078/22152/22147/231602/11601/19123/16580/22330/19246/26968/57440/16411/16565/17319/242851/14786/14708/22762/100163/223601/13590/15353/227612/27359/16653/14673/67059/21808/22339/56248/260423/319150/12258/320202/18590/360198/19152	286
R-MMU-9012999	RHO GTPase cycle	230/3740	395/8582	1.52070234640802e-09	8.46270855776064e-07	7.69955609076061e-07	263803/17920/109294/56212/242202/14269/208994/54216/622434/545156/57257/54004/234094/238130/50768/20355/71302/68146/20257/24001/70598/12704/18708/13367/231532/94190/207425/232237/544963/386750/64652/19249/107746/66087/69922/223435/76088/226751/18844/243362/109711/12345/237038/71409/26934/77480/18710/20619/17974/277360/93840/75415/110596/330914/71704/56419/210293/16443/259302/16906/66898/94176/75547/11858/70350/19229/223666/20874/67586/76884/195727/19878/53332/104252/224480/13836/330662/16709/263406/140579/330177/269523/11856/76763/217866/66894/13830/233489/67300/13511/66871/76626/269608/544817/71435/12549/20947/108670/70584/75739/72565/208846/23912/72754/225358/13057/16800/17969/17063/20663/71228/98386/72536/328232/69288/19647/239027/52666/54324/20742/29875/26554/58909/14270/224014/14609/50884/386649/66922/19418/210998/21763/27360/69993/56699/68428/70497/12540/71972/76117/108100/214804/74194/207212/16801/223254/11852/109934/15516/214345/23943/106952/216197/67784/68813/233071/19299/53382/75089/268301/104445/268970/17972/16412/50875/54126/19285/14784/70719/117600/442801/56381/327826/15381/70804/23853/213498/227937/15519/75974/78514/11308/12988/13518/19765/246710/11857/18481/19353/22325/108699/58220/12389/59079/12874/68653/22143/109331/20430/22637/14787/57778/105782/18706/216445/229658/26382/241275/218581/228543/102098/66146/22042/17970/74201/226525/80837/14786/224105/13605/260409/106628/56324/99412/58996/329366/404710/11461/71085/110279	230
R-MMU-9013149	RAC1 GTPase cycle	108/3740	163/8582	3.26768227740178e-09	1.21231012491606e-06	1.10298608802123e-06	109294/545156/57257/234094/238130/50768/71302/24001/12704/18708/231532/94190/232237/544963/64652/69922/223435/76088/226751/237038/26934/18710/20619/277360/75415/330914/56419/210293/259302/66898/94176/223666/76884/195727/224480/13836/330662/16709/263406/330177/544817/71435/12549/20947/70584/75739/225358/13057/17969/20663/98386/72536/239027/52666/54324/29875/58909/14270/50884/19418/69993/56699/70497/12540/76117/108100/214804/223254/109934/23943/106952/68813/233071/104445/17972/16412/54126/70719/117600/442801/23853/213498/75974/78514/11308/19765/11857/18481/19353/22325/108699/12389/59079/20430/57778/18706/216445/229658/241275/218581/102098/22042/17970/224105/13605/58996/404710/110279	108
R-MMU-9006934	Signaling by Receptor Tyrosine Kinases	225/3740	400/8582	1.26062361836231e-07	3.50768521809313e-05	3.19136821280143e-05	18552/18553/19242/14158/21682/56717/57257/18205/14360/71355/107568/15451/68705/19272/14783/18187/13982/17346/18708/18212/13367/21814/19271/18753/107746/14180/54635/12064/373864/18183/94212/19255/71436/67603/16001/319939/114716/77480/18710/73699/18754/16206/17974/18751/16542/80857/16416/12832/80707/211323/14083/24063/19229/71520/24064/76884/19878/140580/20408/71785/330662/15234/140579/14164/14268/20393/14173/16398/12826/67300/58194/545622/21871/12815/74769/13649/101568/11908/12831/17164/11973/16000/230126/17096/12839/19248/14181/18750/20111/16400/13057/19273/11839/11682/18654/17969/17311/20850/21802/20112/19247/18749/20732/73086/396184/235584/19730/19053/14255/50884/14254/19303/18596/12385/11772/12562/14425/12388/19253/26362/102626/18595/12540/108100/12223/73834/227743/110651/242341/76890/17179/14182/215449/16590/12814/18213/13869/16410/218397/114715/15507/338375/12827/78757/13654/29857/17972/16412/66237/18815/15200/54126/14784/17999/217169/433702/11974/16775/109905/19165/14388/13867/20848/22612/327826/11845/140494/19268/15519/22341/17444/18576/11308/12988/18186/12402/12313/18481/19353/22325/14165/12389/22601/54426/59079/319520/11652/13859/12843/225326/20430/20851/18803/12314/19052/14205/74334/72514/18706/56705/214058/12842/80903/399558/12929/232910/23797/20020/17395/11966/19246/17970/14786/224105/16337/16653/12387/22339/56324/260302/18590/54152/13854/11461/18762	225
R-MMU-76002	Platelet activation, signaling and aggregation	144/3740	246/8582	1.23032997877739e-06	0.000273871453275848	0.000249174197807127	56541/18783/56212/54216/19128/12491/57257/21346/14360/22371/16438/217480/18708/11818/239273/18753/110197/80718/11472/16822/30955/22065/218454/109711/74145/12527/18710/18754/16439/70945/14062/18751/16416/99571/23945/14083/14064/227333/20963/54519/76192/16797/14682/15234/11806/14268/14675/19156/70839/18441/109689/320127/74769/234779/11551/11820/16000/17096/14702/18750/240334/19073/21859/20655/20909/14701/380921/110157/19247/269060/13041/18755/21390/18761/11625/54368/22631/12759/56508/22068/12540/14709/14700/18613/11852/215449/14061/14696/60595/14688/18815/16399/20912/19241/14784/243816/22388/71946/109905/223864/14677/27999/104418/22341/11804/14707/14678/12988/16784/12313/19353/22325/14679/19419/11747/14724/104709/108101/12843/68117/66866/12314/56744/14205/18706/56193/14127/12842/22330/19246/26968/242851/14708/223601/13590/227612/27359/14673/67059/21808/22339/12258/320202/18590	144
R-MMU-9013406	RHOQ GTPase cycle	40/3740	53/8582	2.25822152661448e-06	0.000418900093186986	0.000381124405018093	14269/50768/71302/68146/94190/226751/20619/277360/330914/56419/16443/104252/263406/217866/66894/13830/66871/71435/70584/75739/328232/29875/14270/14609/56699/68428/70497/12540/233071/104445/54126/12389/105782/229658/218581/22042/224105/260409/106628/404710	40
R-MMU-9013148	CDC42 GTPase cycle	57/3740	84/8582	5.59018982748093e-06	0.000888840182569468	0.000808686107373933	109294/622434/57257/234094/50768/71302/18708/231532/94190/223435/76088/243362/26934/277360/330914/210293/16443/259302/223666/16709/263406/544817/71435/12549/225358/98386/72536/239027/52666/54324/14270/224014/19418/70497/12540/71972/223254/109934/106952/233071/70719/117600/442801/23853/213498/75974/78514/19765/11857/22325/108699/12389/216445/26382/218581/13605/110279	57
R-MMU-8875878	MET promotes cell motility	25/3740	30/8582	8.83053971036548e-06	0.0012285488372046	0.0011177604212331	71355/107746/373864/319939/12832/14083/15234/14268/16398/12815/12831/16400/215449/12814/16412/14784/217169/16775/109905/14388/19353/12843/214058/12842/12929	25
R-MMU-194138	Signaling by VEGF	65/3740	100/8582	1.16421621923738e-05	0.00143974739112356	0.00130991345369165	56717/57257/14360/18187/18708/18753/17974/18751/16542/16416/14083/19229/76884/19878/140580/330662/140579/74769/17164/230126/18750/13057/18654/17969/18749/50884/14254/19303/12385/12562/12388/26362/102626/12540/108100/227743/16410/218397/15507/78757/29857/17972/15519/22341/11308/18186/12313/18481/19353/22325/12389/11652/20430/18803/12314/14205/18706/23797/17970/224105/16653/12387/22339/11461/18762	65
R-MMU-216083	Integrin cell surface interactions	45/3740	66/8582	4.48272463351878e-05	0.0049892725171064	0.00453934852362639	12505/241226/12837/22371/16423/16420/15894/16416/12832/99571/21923/83964/104099/14268/16398/12826/16419/14118/16401/12831/16402/12839/16400/109700/12822/12550/18613/15896/16410/16456/12827/16412/16408/16399/94216/67374/12843/16414/78369/320910/12842/12830/16411/107581/16421	45
