ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-MMU-69278	Cell Cycle, Mitotic	422/6309	498/8582	5.13357534126272e-10	5.7290700808492e-07	4.02040005673628e-07	225849/12617/104394/18286/19088/16881/12571/17120/69922/18005/78833/67037/64898/73699/228421/22367/23834/22145/63955/320332/104318/12428/53857/218210/14245/233276/68121/18969/19645/12445/19192/71648/83431/242705/218914/17219/21664/216965/319156/98386/12531/56371/319179/228769/76789/16905/78658/20459/75608/66700/16452/448987/54130/69957/15270/78887/17931/231042/227613/78177/19718/26443/19185/16319/229841/101706/13426/22194/16563/19076/445007/19046/59015/100088/13557/68612/225659/19182/12447/83922/16328/234865/22187/208092/69386/229776/244329/108000/12532/66570/75660/216274/545486/66997/22059/66998/56438/67177/18751/12576/52504/328580/26440/66977/20877/107995/232440/18472/18393/215387/21762/18141/22146/69654/103583/19052/13424/66671/52206/76707/26442/19184/51885/97122/99412/19075/26446/18747/17096/67151/327762/17218/22186/78798/59008/268697/52276/23825/319172/26965/71876/75786/69077/78303/105988/216080/19387/71988/21402/73804/23797/12530/319187/70247/227699/13548/18750/52696/319178/19386/319173/12448/67951/18971/12444/19172/108911/67849/20842/319155/52717/217708/20873/68942/66679/433759/59029/19167/66442/22123/22196/15267/57441/12534/100710/17274/26413/18221/22390/19053/15519/217232/219103/72151/78294/76308/19173/20779/17220/68014/19348/319159/19069/13191/319176/13589/76499/26951/74549/20878/26428/18541/69263/268930/69745/12442/103733/19166/26931/75430/320394/68953/259279/226849/16211/50850/319965/100041230/17463/226747/71175/319184/18972/319185/72124/70799/68097/319189/665596/28135/103573/72119/67121/13006/22190/382030/11652/13001/13000/319158/26417/77891/12545/67141/21781/70099/66440/75296/22152/319170/319161/19651/70231/319169/22154/12566/12443/19175/26886/234663/68475/59046/235661/219072/319165/56317/71819/13427/319166/227720/381644/59021/12236/17420/66413/30939/71782/12544/29870/272551/22151/326619/12009/22143/76044/19179/107939/56086/12237/72787/105513/19324/12572/68275/16906/19171/109145/103554/170791/18974/326620/13555/69270/19384/22142/319168/269113/23997/69736/77605/19650/71955/69928/22628/26932/74360/66934/66336/66468/106344/103468/19177/76478/18973/52683/665433/16912/15516/319167/319183/76816/74470/99100/14211/217718/67629/22627/110379/66296/71909/71805/208628/12235/11651/54392/77805/71978/19047/269966/108989/12995/18817/26445/170762/54563/56455/66634/19357/56430/231123/17997/13559/15366/27373/69912/231506/18392/11350/72415/19186/12427/68024/214444/101565/17216/26429/19188/12615/27401/225745/52563/18536/69482/116733/22153/230376/67089/56150/53598/16475/232987/72590/60411/19687/71844/100986/66979/22218/17217/67052/22144/19170/56299/16913/12567/12579/70385/236266/103768/23996/64383/26444	422
R-MMU-9012999	RHO GTPase cycle	335/6309	395/8582	2.85086508659844e-08	1.59078271832193e-05	1.1163387496996e-05	18708/67300/57257/16443/238130/11852/70804/231532/66251/13830/69922/219140/22324/223435/544963/227937/110279/20742/14270/20868/71228/19878/56419/234094/73910/26891/327826/268970/13367/26382/22042/66894/269608/76117/277360/12468/226652/68349/19229/70584/23912/330914/117600/54324/71704/242687/98386/56381/54216/233489/12988/434204/58996/11736/22352/229658/260409/69993/53382/208846/210293/232237/225358/12704/109294/20430/94176/214230/241275/20355/51796/11465/77480/75547/11848/76884/58909/70350/16449/76088/263803/19230/239027/57778/109333/16480/76626/74194/56699/71302/19249/214804/17974/71409/102098/75415/14674/75089/108686/16412/622434/68653/13518/66871/17972/20619/104252/330177/12461/259302/14269/244418/545156/21873/64652/106628/66087/17920/74201/11857/12389/71435/218581/109711/214345/19353/29875/243362/99412/26934/13171/19877/12549/104215/328232/223666/320557/68743/69288/11308/56212/68813/11461/78514/59079/192662/21927/12540/68428/404710/15239/26554/16709/263406/230098/18710/27360/224105/23853/52666/224480/72536/12874/228543/224014/14784/109331/232201/15381/21763/71085/207425/66146/226751/23943/228482/223254/107746/17969/326618/18221/53817/109934/15519/108037/20874/216197/105782/232906/223870/16801/76577/17063/74734/72565/233877/269523/69710/386750/56784/20662/11858/270163/20663/74018/53972/70598/56374/18709/67586/16818/101314/17970/22319/11671/19285/381293/20867/56513/19647/110596/208263/269061/50875/66898/22379/208994/50768/210998/75739/14609/19299/26431/216963/56389/20257/233103/330662/75409/71782/20844/19765/66922/73167/22143/20947/50884/15369/233071/71893/16906/66508/59009/170791/12539/70497/228359/18844/109620/108699/12848/106504/84004/211499/15516/76983/105855/13057/17973/68917/11854/214137/244895/104445/320795/227377/14251/329366/19354/19349/140579/226525/544817/246710/74159/72754/242202/20462/207495/24001/56324/56349/238505/71544/67784/59069/18706/101565/108100/13836/80837/329165/16800/83669/545481/213522/68146/223881/22637/101497/26403/14787/106952/52428/207212/14252/56418/83397/11855/18806/319899/12709/213498/213649/12345/22325/54126/268301/245880/170758/93840/386649/70719/107971/20166	335
R-MMU-983169	Class I MHC mediated antigen processing & presentation	291/6309	342/8582	1.23847359769314e-07	4.6071217834185e-05	3.23306791818842e-05	170823/209239/98766/66589/218793/22214/217342/12491/12330/209462/65247/30945/207952/14828/22193/67921/69807/230904/380928/68497/67345/71538/56736/69754/67615/50873/218203/170737/19192/329152/56371/228769/84585/76294/224023/65256/50789/76454/17999/235439/448987/224753/77113/69957/19823/207215/22320/26443/19185/94091/22194/67731/74153/74154/77371/68612/208650/19182/240028/66772/72323/22187/66105/22036/14991/94090/66997/66998/56438/16410/56791/67923/12317/17972/50754/20619/26440/212919/107995/21762/66743/103583/230654/24105/52206/21356/26442/19184/224826/109082/12703/26446/65255/216150/67151/16924/22195/22186/59008/50868/19822/30838/26965/69077/75717/216080/269529/21355/26554/74646/56424/67490/21402/23807/93836/211255/70247/74244/321006/71865/22019/19172/68729/19155/21354/12449/71393/81018/59029/19167/269514/142687/57751/22123/67673/67845/100763/140499/76608/20437/17969/69608/80898/217232/78294/28105/22222/19173/110696/110557/22192/73998/22213/69116/66313/224938/59044/214931/14827/56550/19166/240396/78889/14794/140630/117146/17463/268470/17970/242785/22319/20909/22210/101358/70294/217194/268291/67138/22190/387524/80751/19647/77891/56228/66440/99683/15006/12010/70620/218811/213311/66397/19175/83962/67588/240095/56317/50492/71778/72194/66413/16419/209200/20333/79263/20439/19179/78541/320118/22346/19171/59009/103554/12702/20334/17534/23997/17533/15007/233040/14972/242960/233902/53323/19177/15204/67128/68431/231670/71745/16912/211949/75788/17237/109161/211007/76375/110379/399549/242521/13057/232539/106052/22200/26445/225055/231380/243574/218215/246278/68628/69162/14897/19186/93765/19188/208372/50788/70093/27401/226098/68098/52563/69706/104184/227738/67089/50760/100529082/142688/15040/66799/14985/14129/50762/56515/224761/78913/19170/16913/22215/117590/23996/70928/107568/399566/140629/215061/30839/69010/26444	291
R-MMU-983168	Antigen processing: Ubiquitination & Proteasome degradation	245/6309	285/8582	1.98642365491166e-07	5.54212199720353e-05	3.8892084190902e-05	170823/209239/98766/66589/218793/22214/217342/209462/65247/30945/207952/22193/67921/69807/230904/380928/68497/67345/71538/56736/69754/67615/50873/218203/170737/19192/329152/56371/228769/84585/76294/224023/65256/50789/76454/17999/235439/448987/77113/69957/19823/207215/26443/19185/94091/22194/67731/74153/74154/68612/208650/19182/240028/66772/72323/22187/66105/22036/94090/66997/66998/56438/56791/67923/50754/26440/212919/107995/21762/66743/103583/230654/24105/52206/26442/19184/224826/109082/12703/26446/65255/216150/67151/16924/22195/22186/59008/50868/19822/30838/26965/69077/75717/216080/269529/26554/74646/56424/67490/21402/23807/93836/211255/70247/74244/321006/71865/22019/19172/68729/19155/12449/71393/81018/59029/19167/269514/142687/57751/22123/67673/67845/100763/140499/76608/20437/217232/78294/28105/22222/19173/22192/73998/22213/69116/66313/224938/59044/214931/56550/19166/240396/78889/14794/140630/117146/17463/268470/242785/22210/101358/70294/217194/268291/67138/22190/387524/80751/19647/77891/56228/66440/70620/213311/19175/83962/67588/56317/50492/71778/72194/66413/209200/79263/20439/19179/78541/320118/22346/19171/59009/103554/12702/23997/233040/242960/233902/53323/19177/15204/67128/68431/231670/71745/16912/211949/75788/17237/109161/211007/76375/242521/232539/106052/22200/26445/225055/231380/243574/218215/68628/14897/19186/93765/19188/208372/50788/70093/27401/226098/68098/52563/69706/104184/227738/67089/50760/142688/66799/50762/56515/78913/19170/16913/22215/117590/23996/70928/107568/399566/140629/215061/30839/69010/26444	245
R-MMU-9006925	Intracellular signaling by second messengers	221/6309	256/8582	3.85664233101044e-07	8.60802568281531e-05	6.04071977741425e-05	18708/225849/268706/12912/56484/19088/207565/18719/22324/116871/73699/11512/22034/494448/77647/55984/18718/327826/52187/16590/66894/75778/252870/117150/19192/216848/16180/244650/228769/18573/18707/17999/109294/83490/13982/11515/14255/23942/26443/19247/19185/98432/211323/14360/20393/19182/22187/15234/12315/66997/12487/66998/12223/14013/12576/19211/26440/21762/110355/56458/19052/18754/19353/17246/26442/19184/15370/52615/14182/26446/14180/13619/18747/74769/17311/56212/67151/21951/22186/54383/12524/14388/18575/17192/69077/67605/234366/16337/56424/23797/18710/70247/18750/14056/13649/108083/19172/109270/14784/433759/19720/15200/59029/19167/22123/18749/18590/18854/26413/16367/18183/19053/78294/19173/20779/18720/14177/56692/56716/18717/58988/19744/224129/14186/68877/13869/19166/26931/226849/18709/16818/17463/104111/268980/68576/227743/22190/11652/13001/56717/13000/26417/67112/18607/80857/18753/19084/19175/78757/66413/64654/12313/17082/12371/19179/14164/74493/19085/19171/66508/329934/103554/13626/229542/12314/18596/23997/384783/26932/19177/83409/14173/68031/13867/16912/17874/12519/15182/18574/54170/73162/11651/14256/66096/12418/14175/14183/19763/12995/26445/19354/241915/30951/11513/14302/107932/19186/19821/16334/18595/18706/18591/19188/11839/77125/12416/67089/29871/11514/12151/19170/16913/18752/21802/14172/23996/12478/26444/15937/14170/54167	221
R-MMU-8953897	Cellular responses to stimuli	368/6309	443/8582	7.07403416531411e-07	0.000124261147473723	8.72008052447179e-05	17168/72416/268706/665113/104248/21672/67443/12571/21898/59035/14828/81004/101488143/26462/17992/22145/109151/17250/12428/53857/58233/218210/52187/19645/14775/116940/19192/72630/16476/29806/233016/217365/17248/71962/56371/20463/228769/23871/56551/112407/238055/328572/17684/54130/69957/140742/242341/12359/26399/108058/231042/227613/19014/12325/15368/80838/18667/26443/19185/20602/20111/13426/22194/216850/445007/213539/59015/230784/68612/19182/12447/15260/23950/98402/67665/234865/76650/22187/11972/66105/13665/18024/17135/329679/545486/66997/22059/66998/56438/20655/56702/50758/18759/67923/14281/17972/56637/12576/26440/15364/21762/18141/22146/69654/15505/13424/52206/17246/26416/26442/19184/52615/20466/11757/17977/26446/22428/67151/22186/66359/11758/15526/59008/20112/12460/50868/26965/12858/69077/67605/26408/216080/77128/26554/66335/17165/13819/21402/23797/29810/70247/227699/216742/11973/17087/12343/17978/19386/12448/23872/67951/14056/19172/81489/114143/75560/52717/15251/14950/66679/59029/68350/19167/22123/319481/12013/67673/11984/26413/17969/15519/217232/78294/110920/13627/19173/112406/19069/68033/56692/13191/18477/80909/70207/269523/12868/75512/26398/56716/69802/56453/66538/19744/78943/56550/26921/68196/11966/15481/19166/226641/75430/11863/50709/14957/12322/17463/13875/17970/108079/270802/12861/20867/72124/68097/103573/68576/22190/77683/18412/11652/56717/26417/14782/77891/12867/66440/17748/50493/22152/67305/50527/12608/66237/18453/12566/67204/19175/234663/235661/22230/81601/56317/13427/227720/22166/17164/66413/110323/193740/22151/22143/20467/19179/109778/107939/93759/22346/11806/15369/72787/101142/68275/16906/19171/66508/103554/17751/14815/13626/12017/26420/22142/11920/269113/23997/69736/11974/224111/26419/12857/103468/19177/83409/216805/277854/229003/71745/16912/15516/170644/66403/100126824/14229/26397/66379/22627/54170/110379/56445/230676/13057/110935/71805/110147/67384/11651/12323/26400/15499/56032/17750/66096/269966/108989/13063/20656/53417/112405/26445/20181/170762/54563/56455/50932/56351/268933/11964/56444/69912/66290/19186/12427/50497/23939/101148/19188/27401/102626/52563/231430/69482/22153/67089/53598/18415/16475/15361/15183/71844/52892/15512/15502/14228/338375/19094/73442/22144/19170/16913/12567/14780/12579/12345/52466/23996/319594/26444	368
R-MMU-68886	M Phase	320/6309	382/8582	7.79415799566363e-07	0.000124261147473723	8.72008052447179e-05	225849/12617/18286/19088/17120/69922/18005/67037/64898/73699/228421/22367/22145/320332/104318/53857/218210/14245/233276/68121/19645/19192/83431/218914/216965/319156/98386/319179/228769/76789/16905/78658/75608/66700/54130/69957/15270/78887/231042/227613/78177/26443/19185/16319/229841/101706/13426/22194/16563/445007/59015/100088/68612/225659/19182/83922/16328/234865/22187/208092/69386/244329/108000/66570/216274/545486/66997/66998/18751/52504/328580/26440/66977/20877/107995/232440/18472/215387/21762/18141/22146/69654/19052/13424/52206/76707/26442/19184/51885/97122/99412/26446/18747/67151/22186/78798/59008/268697/52276/23825/319172/71876/75786/69077/78303/105988/216080/19387/73804/319187/70247/227699/18750/52696/319178/19386/319173/67951/19172/108911/67849/20842/319155/52717/20873/68942/66679/59029/19167/66442/22123/22196/15267/12534/100710/26413/18221/19053/15519/217232/219103/78294/76308/19173/68014/19348/319159/19069/13191/319176/13589/76499/26951/74549/18541/12442/103733/19166/26931/75430/320394/68953/259279/226849/16211/50850/319965/100041230/17463/226747/71175/319184/319185/72124/70799/68097/319189/665596/28135/103573/67121/13006/22190/382030/13001/13000/319158/26417/77891/67141/70099/66440/75296/22152/319170/319161/70231/319169/22154/19175/26886/234663/68475/59046/235661/219072/319165/56317/71819/13427/319166/227720/381644/59021/12236/66413/30939/71782/22151/326619/12009/22143/76044/19179/107939/56086/12237/72787/105513/19324/16906/19171/103554/170791/326620/19384/22142/319168/269113/23997/69736/77605/71955/69928/22628/26932/74360/66934/66336/66468/103468/19177/76478/52683/665433/16912/319167/319183/76816/74470/99100/14211/217718/67629/22627/110379/66296/71909/71805/208628/12235/54392/71978/19047/269966/108989/12995/18817/26445/170762/54563/56455/19357/56430/231123/17997/27373/69912/72415/19186/68024/214444/101565/19188/12615/225745/52563/18536/69482/116733/22153/230376/67089/56150/53598/232987/60411/71844/100986/22218/67052/22144/19170/16913/70385/236266/103768/23996/64383/26444	320
R-MMU-2262752	Cellular responses to stress	365/6309	440/8582	1.05117506502306e-06	0.000146638921570717	0.000102904506365416	17168/72416/268706/665113/104248/21672/67443/12571/21898/59035/14828/81004/101488143/26462/17992/22145/109151/17250/12428/53857/58233/218210/52187/19645/14775/116940/19192/72630/16476/29806/233016/217365/17248/71962/56371/20463/228769/23871/56551/112407/238055/328572/17684/54130/69957/140742/242341/12359/26399/108058/231042/227613/19014/12325/15368/80838/18667/26443/19185/20602/20111/13426/22194/216850/445007/213539/59015/230784/68612/19182/12447/15260/23950/98402/67665/234865/76650/22187/11972/66105/13665/18024/17135/329679/545486/66997/22059/66998/56438/20655/56702/50758/18759/67923/14281/17972/56637/12576/26440/15364/21762/18141/22146/69654/15505/13424/52206/17246/26416/26442/19184/52615/20466/11757/17977/26446/22428/67151/22186/66359/11758/15526/59008/20112/12460/50868/26965/12858/69077/67605/26408/216080/77128/26554/66335/17165/13819/21402/23797/29810/70247/227699/216742/11973/17087/12343/17978/19386/12448/23872/67951/14056/19172/81489/114143/75560/52717/15251/14950/66679/59029/68350/19167/22123/319481/12013/67673/11984/26413/17969/15519/217232/78294/110920/13627/19173/112406/19069/68033/56692/13191/18477/80909/70207/269523/12868/75512/26398/56716/69802/56453/66538/19744/78943/56550/26921/68196/11966/15481/19166/226641/75430/11863/50709/14957/12322/17463/13875/17970/108079/270802/12861/20867/72124/68097/103573/68576/22190/77683/18412/11652/56717/26417/14782/77891/12867/66440/50493/22152/67305/50527/12608/66237/18453/12566/67204/19175/234663/235661/22230/81601/56317/13427/227720/22166/17164/66413/110323/193740/22151/22143/20467/19179/109778/107939/93759/22346/11806/15369/72787/101142/68275/16906/19171/66508/103554/14815/13626/12017/26420/22142/11920/269113/23997/69736/11974/224111/26419/12857/103468/19177/83409/216805/277854/229003/71745/16912/15516/170644/66403/100126824/14229/26397/66379/22627/54170/110379/56445/230676/13057/110935/71805/110147/67384/11651/12323/26400/15499/56032/66096/269966/108989/13063/20656/53417/112405/26445/20181/170762/54563/56455/50932/56351/268933/11964/56444/69912/66290/19186/12427/50497/23939/101148/19188/27401/102626/52563/231430/69482/22153/67089/53598/18415/16475/15361/15183/71844/52892/15512/15502/14228/338375/19094/73442/22144/19170/16913/12567/14780/12579/12345/52466/23996/319594/26444	365
R-MMU-453274	Mitotic G2-G2/M phases	156/6309	177/8582	1.27239429569628e-06	0.000155118112734685	0.000108854815954165	18286/19088/18005/73699/22145/104318/12428/53857/233276/68121/19192/71648/21664/12531/228769/76789/448987/54130/78887/17931/227613/78177/26443/19185/19046/13557/225659/19182/83922/16328/22187/12532/216274/545486/66997/22059/66998/56438/328580/26440/18472/21762/22146/69654/103583/19052/13424/66671/76707/26442/19184/51885/26446/18747/67151/22186/268697/26965/75786/69077/21402/12530/70247/67951/19172/20873/59029/19167/22123/12534/17274/22390/19053/15519/219103/78294/19173/13191/13589/20878/18541/268930/12442/103733/19166/259279/17463/70799/28135/103573/72119/22190/75296/22152/22154/12566/19175/68475/219072/13427/381644/17420/66413/29870/22151/12009/22143/19179/12572/19171/103554/13555/22142/23997/22628/74360/19177/76478/16912/15516/76816/74470/99100/22627/66296/71909/71978/18817/26445/56455/231123/17997/15366/27373/19186/12427/214444/101565/19188/225745/18536/22153/230376/67089/53598/16475/72590/100986/22144/19170/56299/16913/236266/103768/23996/26444	156
R-MMU-1280215	Cytokine Signaling in Immune system	370/6309	447/8582	1.38994724672657e-06	0.000155118112734685	0.000108854815954165	18708/18383/66589/12912/56484/56480/12330/16331/21941/15976/67603/21938/22324/26409/73699/22034/286940/59025/54607/22145/21934/228607/230861/22318/53857/20969/20698/19271/16170/19229/66513/19192/56208/50930/16476/15977/68652/16168/16180/26410/16646/20849/228769/12988/67030/16880/230979/18707/16184/107527/17999/16452/20963/17444/19823/19116/22631/14088/26399/21937/19043/16177/15077/108058/14255/227613/16162/12325/26443/19247/19185/217069/20111/237313/11908/22194/15979/211948/74153/24014/14360/108960/19182/20416/20399/230828/319154/17762/22187/14600/97114/66105/15289/73914/11820/20491/93871/16154/192656/545486/21935/66997/22059/66998/56438/21949/77799/20614/56791/67923/14281/12576/53859/20617/230073/26440/21762/14783/15978/93834/13681/22146/103583/19052/73086/72049/26416/20851/26442/16193/19184/12703/208643/26446/18747/17096/74769/67151/211550/22186/20112/15162/15980/26965/50498/69077/75717/23806/216080/14087/18033/360198/80750/21402/23797/18710/70247/54473/26406/11796/15962/12978/71885/67951/22031/19172/16176/16197/16175/16178/16391/56469/14784/16198/16195/59029/19167/16190/319148/22123/66892/67673/12534/19246/13608/107746/26413/16367/19053/78294/16194/16201/19173/97908/192170/22192/26987/12928/13211/15975/18803/15461/109658/26398/19698/20892/13690/20662/15170/231655/56550/21943/19283/20663/67245/15481/19166/319149/226849/16211/18709/16818/12322/17463/16150/20909/21682/16878/101568/18036/22190/18412/11652/26417/20848/12931/20586/18753/12929/22152/270151/19175/66369/12983/18035/107607/20908/13684/17164/66413/21357/193740/22151/17082/260423/19255/22143/231130/20852/56417/19179/54131/319152/100038882/19697/319150/19171/103554/434341/12702/67781/218624/26420/22142/235584/23997/12402/100037258/384783/69928/110157/23992/26419/21926/12977/18413/24015/19177/319520/60534/71966/16912/16199/17874/72775/17000/15974/20850/26397/242700/20907/319151/18148/16653/17973/11651/12323/26400/14256/16157/223664/22200/26445/20203/11909/16923/60504/56468/11797/319153/18414/17858/112419/12367/19186/13682/213208/240873/23939/21940/22608/18706/56708/93765/19188/16169/16192/102626/21950/27279/77125/230396/22153/12370/67089/326623/21942/18034/16161/69146/24110/15512/101831/57916/22218/21936/100040608/22164/19094/22144/19170/16913/16189/12981/13035/67513/23996/24099/26444/209590	370
