ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-MMU-9012999	RHO GTPase cycle	363/6766	395/8582	6.1990170037207e-13	6.9181029761523e-10	5.07014338093788e-10	18708/57257/16443/70804/11852/231532/66251/195727/13830/544963/69922/22324/219140/223435/67300/227937/238130/110279/56419/19878/20742/14270/20868/234094/327826/73910/210293/26382/268970/22042/26891/13367/269608/66894/12468/277360/226652/76117/23912/19229/70584/330914/242687/68349/54324/117600/71704/98386/56381/54216/233489/12988/11736/434204/22352/58996/69993/229658/53382/232237/225358/12704/11465/109294/94176/77480/214230/20430/241275/20355/51796/75547/11848/260409/236915/58909/76884/70350/74194/16449/236920/76088/263803/19230/57778/76626/54004/239027/109333/16480/56699/68187/71228/17974/214804/71302/19249/75089/71409/102098/622434/14674/16412/75415/208846/66871/73341/330177/20619/320634/545156/14269/108686/64652/13518/244418/12461/259302/17920/66087/21873/106628/104252/109711/19353/11857/218581/214345/74201/208994/12549/243362/71435/12389/29875/99412/223666/328232/13171/68813/19877/320557/104215/68743/54411/11308/26554/59079/78514/192662/69288/72536/56212/11461/68653/21927/68428/16709/17972/404710/12540/230098/15239/326618/94190/27360/263406/237038/224480/18710/23853/52666/26934/224105/224014/71085/228543/21763/15381/108037/232201/14784/23943/226751/12874/109331/20874/66146/18481/207425/244895/18221/223254/107746/109934/66922/105782/228482/216197/232906/17969/75974/72565/53817/11858/16801/386750/233877/20662/17063/74018/76577/69710/20844/269523/270163/19285/20663/16818/18709/70598/101314/56374/17970/67586/22319/13726/20867/56513/269061/11671/53972/381293/19647/15519/50875/16906/18844/208263/110596/22379/223870/66898/330662/56389/56784/74734/50768/20257/19299/75739/71782/210998/14609/71544/71893/233103/19765/75409/15369/22143/73167/228359/216963/50884/233071/11856/170791/12539/66508/59009/76763/70497/20947/106504/108699/12848/84004/26431/109620/211499/76983/105855/15516/52331/74159/68917/17973/53332/13057/329165/214137/11854/22284/104445/227377/329366/19354/320795/14251/13058/19349/140579/226525/52428/22325/246710/19418/72754/544817/20462/207495/242202/24001/67784/56324/18706/56349/108670/59069/238505/101565/83669/16800/108100/83397/13836/545481/213522/80837/71703/69581/101497/223881/22637/68146/13511/14787/106952/26403/19655/14252/207212/56418/11855/14163/18806/319899/12709/213498/213649/12345/12638/245880/268301/54126/170758/58220/93840/107971/386649/70719/20166	363
R-MMU-69278	Cell Cycle, Mitotic	437/6766	498/8582	7.64665756652339e-08	4.26683492212005e-05	3.12708048904667e-05	225849/12617/104394/19088/16881/18286/17120/12571/67037/69922/18005/64898/73699/228421/23834/78833/22367/22145/104318/63955/12428/53857/320332/218210/53380/14245/233276/68121/12445/83431/218914/71648/19192/19645/242705/319156/21664/56371/98386/76789/78658/228769/18969/20459/66700/16905/448987/319179/75608/12531/54130/16452/69957/15270/231042/78177/19185/17931/16319/227613/26443/78887/101706/19718/229841/225659/22194/19046/13426/19076/59015/100088/445007/13557/12447/19182/83922/68612/16563/216965/16328/234865/22187/208092/244329/12532/216274/229776/66570/66997/545486/67177/22059/108000/18751/52504/107995/26440/12576/66998/232440/20877/21762/75660/78798/18472/215387/69654/19052/328580/26442/22146/13424/103583/18141/26446/66671/327762/97122/52206/19184/51885/99412/76707/18747/268697/17096/67151/17218/23825/18393/71876/59008/19075/105988/56438/319172/78303/52276/19387/216080/52696/71988/319173/22186/73804/69077/17274/75786/19386/319187/26965/13548/70247/18750/227699/67951/12444/319178/17219/12448/23797/20842/18971/319155/19172/217708/67849/52717/57441/12530/66679/219103/59029/19167/12534/22123/100710/22196/433759/66442/68942/22390/15267/72151/19053/19173/18221/319159/17220/26413/20779/69386/76308/68014/217232/19069/78294/13191/319176/76499/26428/26951/20878/69263/74549/75430/12442/26931/19166/18541/100041230/108911/268930/68953/259279/50850/319184/66977/69745/16211/103733/17463/320394/319185/20873/226747/226849/18972/68097/13726/319158/319965/13006/72124/103573/67121/665596/67141/28135/319189/70799/22190/26417/72119/77891/71175/15519/66440/21781/12545/13001/16906/19348/319170/319169/70099/13000/70231/319161/19651/75296/22154/76816/13589/22151/234663/219072/319165/12443/59046/12544/11652/71819/22152/59021/235661/319166/26886/68475/66413/30939/71782/326619/13427/17420/12236/382030/19175/12009/56317/227720/29870/76044/381644/19179/12566/272551/102920/22143/105513/319168/103554/12237/107939/326620/72787/170791/68275/269113/109145/20843/77605/19171/19384/69270/13555/19324/74360/12615/19650/12572/56086/69736/22142/69928/18974/23997/71955/22628/66468/26932/66934/103468/665433/66336/18973/76478/19177/319167/106344/236930/16912/52683/217718/319183/15516/22627/74470/67629/99100/110379/71805/73738/66296/208628/11651/14211/71909/54392/12235/71978/12995/103768/19047/269966/18817/108989/26445/77805/54563/170762/21402/56430/319164/24061/56455/66634/19357/15366/13559/231123/12577/17997/231506/69912/27373/18392/19186/12427/11350/68024/72415/214444/101565/17216/26429/237222/19188/225745/27401/18536/52563/230376/319157/116733/53598/22153/67089/69482/18968/64383/16475/232987/72590/56150/60411/71844/19687/100986/26444/66979/22147/22218/319182/17217/67052/22144/56299/19170/12567/16913/12579/70385/236266/23996/26370	437
R-MMU-195258	RHO GTPase Effectors	217/6766	238/8582	1.93124021988493e-07	7.18421361797194e-05	5.26517070473892e-05	225849/12617/11852/17120/74117/544963/67037/73699/228421/56419/19878/14270/22145/53857/13367/11835/83431/242687/11867/12704/17886/77579/11465/20430/22631/225326/241275/17931/16319/227613/22629/11848/80987/76884/229841/19046/13426/263803/59015/445007/57778/54004/76709/16563/109333/216965/234865/71409/12532/14083/215280/12315/16885/66570/208846/545486/108000/18751/12385/52504/107995/20877/18472/19052/19353/22146/13424/26416/29875/223701/76707/19877/104215/11308/71876/55948/56212/11461/52276/16709/17972/13543/404710/19387/12540/18762/52696/73804/67771/237038/75786/19386/224480/17978/18750/67951/233406/224105/14784/71960/17904/66442/18643/18481/19053/18221/26413/20779/68014/17969/76499/12387/98932/26951/26931/108911/22630/66713/66977/320394/101314/226747/17970/226849/68097/72124/103573/56378/381293/26417/16573/67938/18753/22379/13542/18016/13589/22151/234663/22152/235661/26886/13427/12236/71893/102920/22143/50884/12237/14026/12314/12615/12313/18607/69736/22142/69928/22628/66468/26932/320271/66934/20202/103468/66336/20807/236930/105855/22627/67629/110379/13385/208628/17973/12235/13057/329165/17283/54401/20201/19047/269966/18817/11854/13544/19354/320795/13058/56430/56455/22342/52428/69912/18645/12550/11350/72415/108100/22153/232987/56150/60411/192176/14787/74764/68458/22147/67052/75669/19094/22144/23988/70385/232943/12638/245880/20166	217
R-MMU-8953897	Cellular responses to stimuli	388/6766	443/8582	6.93271569704797e-07	0.000162793436160079	0.000119308149308037	17168/72416/268706/104248/665113/21672/67443/12571/59035/21898/14828/81004/101488143/26462/17992/22145/109151/17250/58233/12428/53857/52187/218210/53380/11835/14775/116940/19192/217365/19645/72630/16476/29806/17248/56371/233016/20463/228769/56551/23871/238055/112407/328572/17684/54130/242341/140742/69957/12359/108058/231042/19014/19185/227613/12325/26443/18667/80838/20602/20111/22194/13426/213539/15368/59015/445007/12447/15260/19182/68612/50758/23950/11972/66105/76650/234865/98402/22187/13665/18024/20655/26399/17135/329679/66997/545486/22059/18759/67923/56702/14281/230784/26440/12576/56637/66998/21762/67665/15364/17246/69654/15505/26442/22146/13424/18141/26446/26416/52615/52206/19184/56717/20466/11757/245670/22428/66359/67151/17977/11758/15526/26554/12460/50868/59008/20112/12858/110651/56438/17972/67605/216850/216080/77128/29810/26408/22186/69077/13819/12343/66335/19386/17165/26965/81489/70247/17978/17087/227699/216742/67951/71962/23872/12448/23797/114143/19172/15251/52717/14056/66679/11973/75560/319481/14950/59029/19167/22123/67673/112406/21372/19173/11984/12013/26413/68033/110920/13627/12868/56692/217232/56716/19069/17969/78294/13191/70207/75512/18477/19744/69802/56453/68350/269523/75430/26921/13875/15481/80909/19166/68196/56550/66538/11966/226641/78943/17463/26398/50709/14957/11863/12322/17970/12861/68097/20867/72124/18412/103573/77683/338375/12867/22190/26417/77891/270802/108079/15519/66440/68576/15185/50493/16906/14782/17748/14815/50527/81601/12608/67204/18453/66237/22151/234663/11652/67305/22152/235661/22230/193740/66413/110323/17164/22166/13427/19175/56317/227720/19179/12566/15369/22143/11806/101142/93759/103554/22346/26420/107939/20467/109778/72787/13626/68275/269113/12017/66508/19171/231430/11920/26905/17751/56445/69736/22142/23997/11974/277854/224111/66403/103468/71745/83409/12857/19177/216805/170644/26419/16912/229003/14229/54170/15516/100126824/26397/22627/20930/110379/71805/67384/11651/230676/15499/12323/110147/56032/53417/13057/110935/66096/269966/108989/13063/26445/54563/20181/66142/112405/50932/20656/17750/170762/21402/268933/13058/56455/26400/56351/56444/11964/69912/66290/245688/66379/23939/19186/12427/50497/101148/19188/27401/102626/52563/69590/53598/22153/67089/18415/69482/16475/15361/15183/270669/71844/26444/15512/52892/15502/14228/11657/22147/19094/73442/22144/19170/12567/14780/16913/13666/12579/12345/26414/108664/52466/23996/319594/14778/66272	388
R-MMU-2262752	Cellular responses to stress	385/6766	440/8582	9.74554426938706e-07	0.000162793436160079	0.000119308149308037	17168/72416/268706/104248/665113/21672/67443/12571/59035/21898/14828/81004/101488143/26462/17992/22145/109151/17250/58233/12428/53857/52187/218210/53380/11835/14775/116940/19192/217365/19645/72630/16476/29806/17248/56371/233016/20463/228769/56551/23871/238055/112407/328572/17684/54130/242341/140742/69957/12359/108058/231042/19014/19185/227613/12325/26443/18667/80838/20602/20111/22194/13426/213539/15368/59015/445007/12447/15260/19182/68612/50758/23950/11972/66105/76650/234865/98402/22187/13665/18024/20655/26399/17135/329679/66997/545486/22059/18759/67923/56702/14281/230784/26440/12576/56637/66998/21762/67665/15364/17246/69654/15505/26442/22146/13424/18141/26446/26416/52615/52206/19184/56717/20466/11757/245670/22428/66359/67151/17977/11758/15526/26554/12460/50868/59008/20112/12858/110651/56438/17972/67605/216850/216080/77128/29810/26408/22186/69077/13819/12343/66335/19386/17165/26965/81489/70247/17978/17087/227699/216742/67951/71962/23872/12448/23797/114143/19172/15251/52717/14056/66679/11973/75560/319481/14950/59029/19167/22123/67673/112406/21372/19173/11984/12013/26413/68033/110920/13627/12868/56692/217232/56716/19069/17969/78294/13191/70207/75512/18477/19744/69802/56453/68350/269523/75430/26921/13875/15481/80909/19166/68196/56550/66538/11966/226641/78943/17463/26398/50709/14957/11863/12322/17970/12861/68097/20867/72124/18412/103573/77683/338375/12867/22190/26417/77891/270802/108079/15519/66440/68576/15185/50493/16906/14782/14815/50527/81601/12608/67204/18453/66237/22151/234663/11652/67305/22152/235661/22230/193740/66413/110323/17164/22166/13427/19175/56317/227720/19179/12566/15369/22143/11806/101142/93759/103554/22346/26420/107939/20467/109778/72787/13626/68275/269113/12017/66508/19171/231430/11920/26905/56445/69736/22142/23997/11974/277854/224111/66403/103468/71745/83409/12857/19177/216805/170644/26419/16912/229003/14229/54170/15516/100126824/26397/22627/20930/110379/71805/67384/11651/230676/15499/12323/110147/56032/53417/13057/110935/66096/269966/108989/13063/26445/54563/20181/66142/112405/50932/20656/170762/21402/268933/13058/56455/26400/56351/56444/11964/69912/66290/245688/66379/23939/19186/12427/50497/101148/19188/27401/102626/52563/69590/53598/22153/67089/18415/69482/16475/15361/15183/270669/71844/26444/15512/52892/15502/14228/11657/22147/19094/73442/22144/19170/12567/14780/16913/13666/12579/12345/26414/108664/52466/23996/319594/14778/66272	385
R-MMU-9013404	RAC2 GTPase cycle	79/6766	81/8582	1.02321532379379e-06	0.000162793436160079	0.000119308149308037	18708/57257/70804/195727/69922/22324/223435/238130/110279/56419/210293/22042/277360/70584/330914/242687/98386/229658/94176/20430/56699/71302/16412/330177/218581/71435/12389/29875/223666/11308/59079/192662/68653/17972/12540/94190/18710/23853/26934/224105/23943/109934/232906/17969/18709/101314/17970/22319/13726/66898/330662/75739/71782/71544/233103/75409/228359/216963/50884/170791/66508/70497/20947/84004/26431/105855/52331/13057/329165/104445/19354/13058/19349/22325/18706/13836/71703/13511/18806	79
R-MMU-983168	Antigen processing: Ubiquitination & Proteasome degradation	255/6766	285/8582	1.16095101708176e-06	0.000162793436160079	0.000119308149308037	170823/209239/98766/66589/218793/22214/217342/209462/329152/65247/30945/207952/22193/67921/69807/230904/380928/68497/71538/56736/69754/53380/50873/170737/19192/67615/56371/77113/228769/84585/76294/17999/65256/76454/224023/448987/50789/235439/69957/19823/207215/19185/67345/26443/94091/22194/67731/74153/74154/19182/208650/68612/240028/66772/94090/66105/72323/22036/22187/218203/66997/67923/56791/50754/212919/107995/26440/66998/21762/66743/230654/26442/103583/26446/216150/52206/19184/65255/109082/19822/12703/67151/24105/224826/16924/26554/50868/59008/56438/68854/75717/56424/269529/216080/74646/211255/22186/74244/30838/69077/67490/59026/26965/23807/70247/71865/93836/321006/22019/19172/68729/12449/81018/71393/59029/19167/269514/19155/22123/67845/67673/142687/100763/22195/57751/28105/20437/19173/76608/22222/22213/224938/217232/66313/69116/22192/78294/73998/59044/214931/19820/19166/268470/56550/78889/240396/17463/14794/140630/22210/242785/217194/80751/117146/101358/70294/22190/140499/77891/67138/268291/19647/66440/56228/387524/70620/83962/213311/67588/209200/211949/66413/78541/19175/56317/79263/72194/19179/50492/70348/71778/20439/103554/22346/68098/22209/320118/19171/59009/12702/233040/23997/242960/15204/67128/233902/71745/53323/17237/68431/19177/16912/231670/75788/109161/76375/211007/142688/242521/22200/232539/26445/106052/21402/226541/231380/225055/243574/68628/69010/218215/22201/14897/19186/93765/208372/50788/19188/70093/27401/52563/226098/69706/227738/104184/67089/50760/66799/230903/18744/50762/26444/56515/78913/19170/70928/16913/22215/117590/23996/107568/399566/140629/215061/30839	255
R-MMU-9013149	RAC1 GTPase cycle	151/6766	163/8582	1.16697803698981e-06	0.000162793436160079	0.000119308149308037	18708/57257/231532/195727/544963/69922/22324/219140/223435/238130/110279/56419/14270/234094/210293/22042/277360/226652/76117/70584/330914/242687/54324/117600/98386/58996/69993/229658/232237/225358/12704/109294/94176/214230/20430/241275/58909/76884/16449/76088/57778/239027/109333/56699/214804/71302/102098/14674/16412/75415/73341/330177/20619/545156/64652/259302/19353/11857/218581/12549/71435/12389/29875/223666/68813/11308/59079/78514/192662/72536/16709/17972/404710/12540/230098/94190/263406/237038/224480/18710/23853/52666/26934/224105/232201/23943/226751/18481/223254/109934/232906/17969/75974/20662/74018/69710/20663/18709/101314/17970/22319/13726/56513/53972/66898/330662/50768/75739/71544/71893/233103/19765/228359/216963/50884/233071/170791/66508/70497/20947/108699/84004/26431/105855/13057/329165/214137/104445/227377/320795/13058/19349/22325/19418/544817/24001/18706/108100/13836/213522/101497/106952/56418/11855/18806/319899/213498/213649/245880/54126/70719	151
R-MMU-9006925	Intracellular signaling by second messengers	230/6766	256/8582	1.79746505321975e-06	0.00022288566659925	0.000163348578520672	18708/225849/268706/12912/56484/19088/207565/22324/18719/116871/11798/11512/22034/73699/77647/494448/55984/18718/327826/52187/16590/66894/53380/98432/75778/117150/252870/216848/19192/15234/16180/244650/83490/228769/17999/18573/18707/14360/109294/13869/11515/13982/14255/19185/26443/23942/211323/20393/19182/19247/16179/22187/12487/12315/14182/66997/12223/21951/19211/26440/12576/14013/66998/21762/17246/110355/56458/19052/19353/26442/26446/15370/18575/52615/14180/18754/19184/56717/13619/18747/245670/67151/14388/17192/74769/17311/54383/12524/56212/234366/67605/56424/22186/16337/69077/54601/13649/18710/70247/18750/108083/23797/109270/19172/14056/18749/14784/59029/19167/22123/18854/433759/18183/19720/19053/19173/16367/18590/26413/56692/14177/18720/20779/56716/78294/19744/18717/80903/224129/26931/19166/58988/14186/17463/16818/18709/68877/268980/226849/15200/54167/227743/104111/22190/26417/67112/68576/13001/80857/74493/13000/18753/19084/11652/66413/78757/17082/19175/15182/64654/19179/14164/12371/103554/14302/13626/329934/66508/12314/19171/229542/12313/18607/18596/23997/19085/384783/26932/13867/68031/14173/83409/19177/16912/18574/17874/13645/54170/12519/11514/11651/14256/12995/73162/19763/66096/12418/26445/14175/11513/19354/241915/14183/16334/21802/30951/107932/245688/19186/18706/18595/18591/19821/19188/11839/67089/12416/77125/29871/26444/12151/13983/19170/18752/16913/14172/23996/12478/15937/14170	230
R-MMU-983169	Class I MHC mediated antigen processing & presentation	302/6766	342/8582	2.35356448395247e-06	0.000240240068816952	0.000176067283032231	170823/209239/98766/66589/218793/22214/217342/12491/209462/329152/65247/30945/207952/22193/14828/67921/69807/230904/380928/68497/71538/56736/69754/53380/50873/170737/19192/67615/56371/77113/228769/84585/76294/17999/65256/76454/224023/448987/50789/235439/12330/224753/69957/19823/207215/22320/19185/67345/26443/94091/22194/67731/74153/74154/19182/208650/68612/240028/66772/94090/66105/77371/72323/22036/22187/218203/14991/16410/66997/67923/20619/56791/12317/50754/212919/107995/26440/66998/21762/66743/230654/26442/103583/26446/21356/216150/52206/19184/65255/109082/19822/12703/67151/24105/224826/16924/26554/50868/59008/56438/68854/75717/17972/56424/269529/216080/74646/211255/22186/74244/30838/69077/67490/59026/26965/23807/70247/71865/93836/110696/321006/22019/19172/68729/12449/81018/21354/71393/21355/59029/19167/269514/19155/22123/67845/67673/142687/100763/22195/57751/28105/20437/19173/76608/22222/69608/80898/22213/224938/217232/66313/69116/22192/17969/110557/78294/73998/59044/214931/19820/19166/268470/56550/78889/240396/17463/14794/20909/140630/17970/22319/22210/242785/217194/80751/117146/101358/70294/22190/140499/77891/67138/268291/19647/66440/14827/99683/56228/387524/15006/70620/12010/83962/213311/67588/209200/218811/211949/16419/66413/240095/20333/78541/19175/56317/66397/79263/72194/19179/50492/70348/71778/20439/103554/22346/68098/22209/320118/19171/20334/59009/12702/233040/17533/23997/15007/14972/242960/17534/15204/67128/233902/71745/53323/17237/68431/19177/16912/231670/75788/109161/76375/211007/110379/142688/242521/399549/22200/13057/232539/26445/106052/21402/226541/231380/13058/225055/243574/68628/246278/69010/218215/69162/22201/14897/19186/93765/208372/50788/19188/70093/27401/52563/226098/69706/15040/227738/100529082/104184/67089/50760/66799/14985/230903/18744/14129/50762/26444/56515/224761/78913/19170/70928/16913/22215/117590/23996/107568/399566/140629/215061/30839	302
