ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-MMU-9012999	RHO GTPase cycle	305/5635	395/8582	2.1993429797827e-07	0.000163366938783437	0.000125737994762578	231532/110279/223435/69922/57257/13367/20742/214230/73910/22324/238130/98386/242687/23912/234094/117600/226652/11852/270163/26891/56381/227937/18708/19353/16443/268970/11461/58996/20868/22143/22319/233877/22042/19229/277360/76117/69993/105855/19230/263803/225358/66146/75547/94176/11465/241275/210293/56419/57778/101314/11736/19354/14784/58909/236915/12874/22352/71302/330914/232906/259302/224105/16480/66251/102098/21763/71704/330177/216963/236920/20430/54324/19878/66087/232237/59079/104252/18710/208846/12461/244418/76884/16818/216197/214804/16449/68146/223666/16906/12539/56699/109294/228543/54004/70350/12540/53382/207212/16412/69710/20662/71409/214345/76088/328232/18221/56513/70804/320634/219140/56212/226525/108037/74201/13830/544963/29875/20355/218581/51796/26431/106628/64652/233103/15516/232201/20874/13171/73341/15369/68653/21873/11857/13518/77480/269608/327826/233489/11856/170791/404710/78514/75415/68743/260409/75739/223870/19249/12389/26382/70584/105782/68202/20663/71782/74194/233071/53332/223254/101497/269061/381293/11854/208263/239027/71435/14251/20947/22284/20401/17920/109934/263406/74159/108686/17970/207425/19655/20619/107746/12988/228359/72565/19299/14270/56418/622434/18709/23853/50875/19647/54216/50884/26934/27360/14269/67586/108100/52428/19877/16709/17974/26403/22379/238505/24001/237038/545481/75089/223921/69288/214137/58220/94190/11308/66922/76577/14787/84004/329366/195727/545156/19765/70598/107971/26554/70497/12549/75974/320795/17969/66894/15239/109331/71703/66508/15519/109711/67784/110596/544817/244895/106504/104215/13058/69581/66871/246710/66898/17972/16800/208994/76626/17063/72754/244867/223881/71085/78816/210998/13605/83669/70719/20867/68428/74018/230098/68813/18481/99412/12704/54411/59069/19349/72536/226751/68187/320557/70361/227377/12345/319899/12468/211499/22325/21927/50768/14786/14609/224014/56324/23943/59009/243362/74734/18844/20844/230972/75409/93840/326618/108670/386649/73167/170758	305
R-MMU-3214841	PKMTs methylate histone lysines	56/5635	60/8582	4.26279633229551e-07	0.000163366938783437	0.000125737994762578	97114/15077/208266/97122/319150/319154/77683/233904/225888/319149/208043/319148/319151/319155/11569/67956/213464/13626/226830/360198/326620/319159/234135/69386/97908/75410/110147/18033/140858/54343/319152/52615/64707/319160/19697/319153/319157/319158/66083/14013/235626/70673/69726/319161/20937/319156/245688/73251/326619/14056/232811/19646/260423/100041230/52690/18034	56
R-MMU-983169	Class I MHC mediated antigen processing & presentation	266/5635	342/8582	4.39158437589886e-07	0.000163366938783437	0.000125737994762578	14828/217342/218793/56791/74153/235439/56736/72323/170737/380928/66998/68431/218203/207215/21762/22187/65256/30838/22319/84585/14991/269529/76294/53323/69807/98766/56317/19823/59044/21356/71538/22193/26443/56424/30945/59029/20437/71865/21355/19155/224753/66743/50868/56228/50873/77891/21402/66772/67151/268470/66313/50492/72194/100763/22213/94091/67731/22036/22194/75717/70247/19192/22195/59008/22209/230654/67490/240028/66589/329152/19182/117146/50788/69706/74244/69010/207952/19167/19177/77371/78541/103583/19185/22214/19173/80898/17463/22186/50789/106052/22222/26440/67673/208650/448987/68497/66997/66663/65255/209462/19181/17222/67345/69957/19184/20909/399566/110557/269514/56438/74646/26444/16924/22320/74132/217194/52206/67089/50754/22210/109082/77113/12703/110379/240396/320118/22190/22201/71745/69116/22019/69608/70928/103554/117589/212919/68999/140499/142687/17970/19170/12491/14972/16410/20619/79263/242521/17999/170823/67615/50762/81018/15040/230904/142688/66397/56371/19647/224761/69162/69754/56550/209239/80751/67128/19822/19172/224938/70093/110696/65247/59026/99152/22192/216080/16396/23807/19171/99683/52563/242960/19166/16419/67138/140629/15007/14794/217217/100529082/231672/57751/15018/12010/224170/26446/240095/321006/15204/16912/26554/227738/93836/71393/73998/23997/94090/225055/233902/140630/17969/76375/71778/101358/28105/67921/19820/228769/13058/387524/66105/20334/17237/17972/74154/78889/69077/216150/78913/14985/17533/209200/12449/20439/66515/15006/12330/213311/12317/66799/214931/232539/17534/12702/226098/22215/22200/70348/20333/59009/76580/218811/30839/78294/75788/19179/68612/230903/68628/242785/70620/224826/76454/243574/107995/107568/268291	266
R-MMU-983168	Antigen processing: Ubiquitination & Proteasome degradation	224/5635	285/8582	8.65983673938125e-07	0.000241609445028737	0.000185958599456187	217342/218793/56791/74153/235439/56736/72323/170737/380928/66998/68431/218203/207215/21762/22187/65256/30838/84585/269529/76294/53323/69807/98766/56317/19823/59044/71538/22193/26443/56424/30945/59029/20437/71865/19155/66743/50868/56228/50873/77891/21402/66772/67151/268470/66313/50492/72194/100763/22213/94091/67731/22036/22194/75717/70247/19192/22195/59008/22209/230654/67490/240028/66589/329152/19182/117146/50788/69706/74244/69010/207952/19167/19177/78541/103583/19185/22214/19173/17463/22186/50789/106052/22222/26440/67673/208650/448987/68497/66997/66663/65255/209462/19181/17222/67345/69957/19184/399566/269514/56438/74646/26444/16924/74132/217194/52206/67089/50754/22210/109082/77113/12703/240396/320118/22190/22201/71745/69116/22019/70928/103554/117589/212919/68999/140499/142687/19170/79263/242521/17999/170823/67615/50762/81018/230904/142688/56371/19647/69754/56550/209239/80751/67128/19822/19172/224938/70093/65247/59026/99152/22192/216080/16396/23807/19171/52563/242960/19166/67138/140629/14794/217217/231672/57751/224170/26446/321006/15204/16912/26554/227738/93836/71393/73998/23997/94090/225055/233902/140630/76375/71778/101358/28105/67921/19820/228769/387524/66105/17237/74154/78889/69077/216150/78913/209200/12449/20439/66515/213311/66799/214931/232539/12702/226098/22215/22200/70348/59009/76580/30839/78294/75788/19179/68612/230903/68628/242785/70620/224826/76454/243574/107995/107568/268291	224
R-MMU-3700989	Transcriptional Regulation by TP53	223/5635	286/8582	2.7347442964734e-06	0.000610394926972863	0.000469800283352062	18996/22059/17992/72416/12227/56716/66491/74747/67338/19367/17192/12858/75747/22187/20922/22628/12144/20877/60599/26992/18854/53325/140742/108099/77683/12861/12028/73699/66464/22631/268936/20020/117150/333654/68742/21981/21343/21975/230784/12857/81601/67956/56692/70088/64930/13001/234366/15258/20463/68776/110323/19352/226830/19718/98053/228829/223970/327762/13000/20021/12867/22629/231464/55948/18718/26416/69131/57748/11652/216456/12566/26399/23797/66420/245670/68033/19079/17246/110147/328572/22186/268697/69833/17165/26931/12447/29813/57314/319801/67673/56187/20620/107932/18607/114741/407786/12995/14782/106344/252870/225655/50493/74386/66359/104625/22627/209361/231724/54401/22427/52846/69562/270627/66142/69125/83409/12569/22190/12448/109270/23894/226182/52679/14751/15257/108083/108097/20393/13063/15574/12649/69181/225182/72068/18983/19052/233058/69263/11651/433759/68576/80751/12189/227743/209456/228140/19053/237911/69260/22062/27354/68275/17248/66262/15182/13716/13163/23988/20869/100126824/67710/12177/70439/17749/235559/12021/54170/245688/72119/70207/66508/14381/24074/72504/108079/66272/14660/67655/12575/19082/66671/107951/77976/219103/68705/22630/12366/68428/20924/12450/20833/27224/20930/13872/18538/19646/19744/53376/16009/17420/13871/14885/231329/108961/72151/12868/58202/11920/229542/78294/23942/12905/12427/53621/228980/13197/66096/78783/268706/69920/18148/27374/12572	223
R-MMU-109582	Hemostasis	368/5635	492/8582	4.37456286222347e-06	0.000813668692373565	0.000626253209749886	14462/20344/22761/18441/70945/57257/109689/53857/14065/20194/97114/19088/19073/54368/22324/67972/238130/15077/20416/16438/16452/70839/11852/56193/12505/16822/20969/14702/13590/18708/18793/19353/110033/11747/11938/14683/22143/319150/20541/234779/83964/18761/15234/94176/17134/22365/16653/14069/319154/30955/19363/15353/14701/225849/11465/20363/73699/16580/210293/22631/268936/239273/319149/19354/14784/319148/223601/229841/20725/319151/20340/21346/19156/26417/16568/109905/751864/74769/14676/215449/54519/12928/56055/15529/18710/22041/16401/22371/67072/16579/16423/18022/16818/18754/16573/60595/73804/360198/14461/56508/259300/17319/227333/16439/12343/14678/26416/192285/67059/18573/12523/22068/12540/16408/14360/11600/16412/53313/20662/238055/23984/16565/320127/11820/97908/19246/76088/18783/56697/26968/56212/26931/75050/71819/20399/14693/18815/11941/104418/231871/21824/13660/15078/18406/14723/67951/56744/14672/18607/114714/20963/108829/223864/240334/18126/319152/20909/19241/20720/21788/14708/381290/227612/67374/240641/27999/17540/17135/22151/19084/66866/72017/68038/72461/14682/319991/22330/16569/14083/80718/26413/12314/14679/16554/12313/19419/17096/319153/14064/11472/12491/16410/14700/12988/18803/110157/12759/16399/12315/22388/19052/18436/242851/15170/18709/54216/11651/104009/433759/26934/228139/16558/70218/14707/18792/12419/16149/19053/110524/19348/56541/64435/109552/218454/12258/13449/21859/18755/20971/19085/14062/11818/22341/15461/18750/99982/22142/19152/18590/19247/74145/217864/15081/15182/56248/18439/16923/20255/14696/20737/18574/64337/19128/69524/14465/16414/110197/80884/20912/23945/68732/58217/16402/18751/209737/12512/21767/99571/232943/75974/217837/11640/11806/241489/14268/67988/19124/12842/18788/109711/19123/16440/16416/13139/16331/226849/16456/18747/12843/57440/16136/668303/22339/20655/14688/71946/22146/66082/19261/12927/14205/12527/227613/269152/12506/22363/18106/14675/17289/78287/68813/56077/100502766/228421/20779/14733/320207/16570/16578/14709/75396/18753/23921/100163/12345/319899/260423/14706/18127/22325/14127/14786/545486/18591/17075/16784/68117/14710/14464/270152/11552/216869/22065/21390/217480/14456/108101/11551/271457/16552/13645/320202/16000/66066/19091/19222/21933/27359/14066/16572/21808/16411/14724/320707/14673/13052/11602/170731	368
R-MMU-1280215	Cytokine Signaling in Immune system	336/5635	447/8582	5.40966618167618e-06	0.000862455351250088	0.000663802647255303	21938/21941/18383/20698/19271/56791/22059/67603/74153/22034/53857/97114/20491/22324/15077/20416/16452/16177/54607/20969/18708/66998/50930/16476/12912/15976/21762/22187/22143/18707/319150/19229/16162/286940/19255/68652/14088/19823/14255/16180/73914/21934/26443/12325/16653/16170/16168/319154/108058/14256/59029/73699/53859/21935/15979/22631/319149/192170/11908/14784/319148/16880/20111/319151/66513/21937/26417/74769/26409/12928/21402/67151/16211/18710/56417/14600/270151/16818/26410/13211/22194/245527/16151/56469/75717/70247/19192/17874/360198/112419/11796/18412/54131/16154/66589/19182/56484/26416/15962/18035/19698/14281/11652/223664/12402/20849/19167/19177/14360/26399/237313/23797/103583/19185/21357/66369/20662/19173/11820/13682/97908/24110/19246/16184/26420/17463/22186/434341/20399/18033/13684/16179/26440/67673/67951/16195/66997/20963/19181/208643/110651/17164/16176/319152/23806/19184/20909/11909/20852/26400/56438/50498/26444/16199/67089/21949/12978/20848/22151/72775/26987/16150/12703/217069/56208/60534/230979/56480/20614/77799/12985/20617/71966/15511/22190/19106/20663/16198/59025/17762/193740/26413/20586/211948/103554/384783/20112/213208/19697/16190/69928/17096/16161/319153/17444/218624/72049/16391/19170/266632/22031/16201/107746/12988/18803/17999/110157/67781/19043/16175/231655/19052/15512/93871/230861/231130/15170/69146/108960/18709/11651/71885/57916/56550/23939/11797/16194/15162/13681/19053/19172/16367/72349/192656/26406/230073/19116/12983/22192/80750/15461/216080/19171/22142/16193/19166/19247/14087/16923/16178/12929/24014/66892/21948/20892/12323/12322/15978/15980/26446/15974/13607/16912/237211/230396/15977/73086/26419/21682/50931/23997/242700/12367/53603/211550/93834/102626/21926/16331/226849/14783/18747/228769/54721/54473/66105/26398/22146/69077/242517/227613/16646/22030/15975/104806/20851/56468/235584/12330/216233/20908/16878/12977/18753/12804/14599/260423/17858/15289/13019/12702/24015/23992/22200/545486/13608/16186/60504/67245/78294/19179/16197/101831/215274/18034/15964/67513/22218/56708/18148/19283/100037258/21942/26397/27279/101568	336
R-MMU-72613	Eukaryotic Translation Initiation	98/5635	117/8582	9.00406099393318e-06	0.000904400581401757	0.0006960864689906	18458/20044/20088/268449/22187/16341/19921/54217/27050/209354/27979/56040/27370/226982/20055/57808/26905/54709/54127/20090/26961/76808/67097/67891/65019/22384/13682/56347/67204/20116/267019/22186/20042/53356/13684/108067/67281/223691/208643/100503670/20068/20084/13665/68436/66481/78655/66475/19944/55944/270106/19951/20054/66489/76846/67025/13669/13681/19988/98221/75705/27207/100042807/16898/20085/224045/20102/110954/66085/19981/67115/67248/19989/16785/13685/19942/68052/20091/20104/67671/319195/67941/11837/19933/100502825/68028/22121/19899/13667/20103/67186/68193/20005/217869/66480/114641/217715/26451/27367	98
R-MMU-72737	Cap-dependent Translation Initiation	98/5635	117/8582	9.00406099393318e-06	0.000904400581401757	0.0006960864689906	18458/20044/20088/268449/22187/16341/19921/54217/27050/209354/27979/56040/27370/226982/20055/57808/26905/54709/54127/20090/26961/76808/67097/67891/65019/22384/13682/56347/67204/20116/267019/22186/20042/53356/13684/108067/67281/223691/208643/100503670/20068/20084/13665/68436/66481/78655/66475/19944/55944/270106/19951/20054/66489/76846/67025/13669/13681/19988/98221/75705/27207/100042807/16898/20085/224045/20102/110954/66085/19981/67115/67248/19989/16785/13685/19942/68052/20091/20104/67671/319195/67941/11837/19933/100502825/68028/22121/19899/13667/20103/67186/68193/20005/217869/66480/114641/217715/26451/27367	98
R-MMU-2262752	Cellular responses to stress	330/5635	440/8582	9.24143389148904e-06	0.000904400581401757	0.0006960864689906	72630/14828/665113/21898/17250/22059/12571/17992/53857/72416/109151/56716/81004/114143/81489/66998/16476/12858/11984/21762/76650/217365/22187/22143/18667/77128/277854/116940/224111/56317/329679/140742/112407/23871/26443/15368/12325/77683/108058/12861/13875/59029/268933/93759/13191/20602/54130/20111/13424/230784/17168/26417/445007/12857/81601/56351/67443/98402/56692/11835/50868/18024/18415/11966/226641/77891/21402/66335/107939/234663/67151/13626/56551/20463/104248/110323/14957/22194/52717/70247/71805/19192/67605/26905/59008/23950/18412/16906/12867/59015/11964/12343/101488143/19182/11972/70356/26416/242341/68097/14281/11652/14815/14950/213539/19167/19177/12566/26399/17087/71962/235661/23797/50709/19185/216805/72787/245670/238055/68033/19173/17246/54563/110147/66290/67204/328572/26420/17463/22186/66403/17165/20656/12447/216850/15251/22428/23872/11974/14228/26440/67673/15516/29810/17977/15369/67951/270802/13426/15183/66997/19181/15364/110651/17222/56637/19645/17164/11863/17684/69957/14782/52615/19184/50493/27060/26400/13665/56438/26444/66359/56445/21372/67665/22627/66237/52206/67089/218210/16475/17135/22151/110379/216742/66142/15361/53417/66538/50932/83409/15511/22190/12448/71745/103468/11973/193740/17978/26413/13819/26408/58233/103554/78943/13063/20112/68999/29806/18141/50758/17970/19170/12608/75430/14870/15512/56371/11651/234865/68576/56550/23939/15502/72124/13627/19172/101142/26462/69912/27354/99152/18226/68275/170762/223921/20181/216080/17248/19171/52563/22142/19166/112406/269113/12323/12322/26446/100126824/16912/26554/14229/26419/13666/23997/54170/13427/245688/11758/230676/11806/15260/17969/12013/68196/70207/56453/66508/70369/18453/15519/102626/108079/66272/69736/12575/170644/228769/13058/80838/66105/227720/20655/69482/17972/26398/22146/69077/227613/80909/19386/56444/68350/20867/14056/20930/50527/67305/52466/101148/14775/229003/19069/12345/19646/19744/18759/545486/20466/66679/15526/56702/233016/12868/231042/11920/78294/12017/19179/68612/15185/14778/22230/12427/11757/66096/268706/73442/12460/12579/26921/26397	330
