"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000000058.6",259.912071893252,2.48780788920143,0.527752630652905,1.33365611462562e-07,5.36972067204526e-06
"ENSMUSG00000000078.6",15911.0291961497,1.24263786435533,0.158401104223919,5.28051049932691e-16,1.04730124903317e-13
"ENSMUSG00000000149.6",1952.09503536568,-0.682926350302727,0.225407087110198,0.000647882268645532,0.00761949388418043
"ENSMUSG00000000157.11",498.587519035914,2.94905823135083,0.728076313586265,2.39809328046181e-06,7.01737132069563e-05
"ENSMUSG00000000204.11",877.982056814243,3.11840993672705,0.433218448370004,3.59383942599921e-14,5.49857432177879e-12
"ENSMUSG00000000290.9",1605.50775326686,1.54063169339792,0.31969396498413,1.19421295902789e-07,4.84498945296265e-06
"ENSMUSG00000000384.11",1047.57663289381,-0.683678327835907,0.291799587609288,0.00460453415186348,0.0346310117741979
"ENSMUSG00000000409.10",431.202976726212,2.04303845786351,0.417896359431714,6.55987963059257e-08,2.86370832243124e-06
"ENSMUSG00000000420.11",15217.433686512,-0.457265596322692,0.151239848242864,0.00125800147871221,0.0128153416331716
"ENSMUSG00000000486.9",2283.34864776361,1.36476251028485,0.229707132762556,2.88412516507795e-10,2.21691247736733e-08
"ENSMUSG00000000532.10",1595.4956526193,0.630660178904097,0.278335067936276,0.00665130978023041,0.0453922224381485
"ENSMUSG00000000690.5",15.2266431239471,0.102141687395888,0.456567103597302,0.00638763172819677,0.0439851280383546
"ENSMUSG00000000731.11",37.7660259742308,8.56939768129874,3.32526919299046,1.88446140392898e-05,0.000411703499902337
"ENSMUSG00000000732.8",107.73803022998,1.87382878496764,1.07771342419392,0.00273622476667713,0.0232780725104915
"ENSMUSG00000000791.8",272.240101734466,1.28341954325665,0.644023811995012,0.00292908856109411,0.0245337892252226
"ENSMUSG00000000915.11",1971.55229410412,0.980328709377791,0.271350914326904,4.60498859832232e-05,0.000874457941277165
"ENSMUSG00000000938.11",290.571938763467,2.32974744942624,0.530941767831065,6.1205520375986e-07,2.09651745168489e-05
"ENSMUSG00000000957.8",528.546349231369,-1.12752196443942,0.480965047598971,0.00172470541770311,0.0165121528816451
"ENSMUSG00000000982.5",3529.19190887399,0.729072234421037,0.222389296956673,0.000258421052215936,0.00362263019533072
"ENSMUSG00000000983.9",35.7414703245144,8.37343763921483,3.3949431978637,3.71009546005559e-05,0.000726861994704793
"ENSMUSG00000001025.4",402.84585977842,2.35982394114011,0.845066509549329,0.000202786263817528,0.00298603238151109
"ENSMUSG00000001056.3",1991.6101241093,-1.0173892626112,0.2727640549239,2.61616205770815e-05,0.000537450683594392
"ENSMUSG00000001123.11",3607.49592818676,-0.952517557745758,0.287578655543096,0.000135905665713994,0.0021363253617371
"ENSMUSG00000001150.6",2879.09702666286,-0.491981533047385,0.192162960589849,0.00420561053464372,0.0324199295772799
"ENSMUSG00000001156.7",1769.82620458801,1.1155548329876,0.237151506971993,3.31888499828844e-07,1.2221364084825e-05
"ENSMUSG00000001229.7",903.48375241903,-0.665505381255413,0.293890101409398,0.00587620394131172,0.041404042244374
"ENSMUSG00000001248.10",3516.35846032275,1.07237966022793,0.2052229199776,2.44480148611776e-08,1.18300409260487e-06
"ENSMUSG00000001380.6",2873.30667744977,-0.596738049031234,0.246697579678383,0.00483755937585187,0.0358962546757784
"ENSMUSG00000001419.13",2276.43032633702,-0.508778928582221,0.200709590798819,0.00468781457201126,0.0351162101806082
"ENSMUSG00000001482.10",3543.82028894886,0.500036437412939,0.206657008212965,0.00671375846483501,0.045682562362378
"ENSMUSG00000001588.8",5091.99470218759,0.705387756448241,0.197698788250142,9.62973294646689e-05,0.00161315599358697
"ENSMUSG00000001674.7",3378.19757669362,-0.779979955189345,0.192293104990299,1.11921671019707e-05,0.000262484911668846
"ENSMUSG00000001707.7",1834.18944094812,-0.893010649958361,0.329485233589892,0.00102006424827349,0.0108813626484155
"ENSMUSG00000001750.11",1798.36979684983,0.733519562826061,0.239020845334046,0.000510400511073048,0.00626337362199222
"ENSMUSG00000001763.10",560.940582938355,-1.80085276360809,0.412796948551872,8.6438205915585e-07,2.8455528238399e-05
"ENSMUSG00000001794.8",4244.09358959137,0.532202122096003,0.168349868460075,0.000651253270341725,0.00764235484882383
"ENSMUSG00000001865.2",2567.35145806515,-2.11580842875597,0.30173385385299,1.60442162184009e-13,2.17351034805212e-11
"ENSMUSG00000001870.11",165.657479334716,-1.45964972105299,0.758742155174803,0.0026981279731363,0.023037711818563
"ENSMUSG00000001930.13",938.938520533424,-1.41431765997511,0.297488058921251,1.79284416133434e-07,7.00779597368275e-06
"ENSMUSG00000001942.7",1351.21450312044,0.769837341238059,0.250916534699877,0.00047065380289531,0.00584366214266654
"ENSMUSG00000001946.9",294.071254242304,2.07094805413108,0.546039366096459,8.34044561900023e-06,0.000205326782724088
