"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"31383",13.1350608931472,0.534045324861727,1.24189858823072,0.00347071331380745,0.0108164208329208
"ENSMUSG00000000028.10",1402.52790991351,0.533908896489413,0.220937501148032,0.0132495876481359,0.0345308384520675
"ENSMUSG00000000037.12",161.74781656115,-1.24866250163703,0.631646377262197,0.0168410005057317,0.042423437643476
"ENSMUSG00000000056.7",12836.7809167146,4.49586501380468,0.221506931067409,1.44286580098436e-92,5.89157611616598e-91
"ENSMUSG00000000093.6",30.5109522307922,5.52501743101938,1.95998265509948,0.000228445931268704,0.000940170786677265
"ENSMUSG00000000134.13",492.827003733547,1.34436396032337,0.36355805137913,8.23743726449863e-05,0.000368159158887248
"ENSMUSG00000000157.11",1279.74334112284,5.88948247032893,0.465719745291064,1.71215776265857e-37,3.70405503217037e-36
"ENSMUSG00000000168.5",879.438506048942,-0.781362396155079,0.307519700412424,0.00746947117647663,0.0211449748476738
"ENSMUSG00000000184.9",2237.78979241103,-2.27472800690719,0.256729100251761,1.23280575370843e-19,1.72614938477057e-18
"ENSMUSG00000000194.9",725.825188771363,1.36282387342007,0.349765836136972,3.68099865445442e-05,0.000176556632878782
"ENSMUSG00000000204.11",1212.38981634514,4.99317729431697,0.311553393082689,1.13811238150208e-58,3.34317832893964e-57
"ENSMUSG00000000223.9",67.7702559599274,4.78796823251497,1.33377960338832,1.15488542794434e-05,5.98755827833677e-05
"ENSMUSG00000000244.12",1572.14729442769,0.531493862286981,0.226103935683477,0.0158653563850564,0.0403042066602784
"ENSMUSG00000000253.8",169.053199909434,-1.41008749623907,0.604380548284187,0.00592123786512715,0.017247333000981
"ENSMUSG00000000275.12",2033.98430477893,1.21394233402473,0.274715184873552,4.44546666310973e-06,2.45800740911682e-05
"ENSMUSG00000000290.9",2263.6231268384,3.65160739495465,0.210566131342708,1.92979047067903e-68,6.32371255496879e-67
"ENSMUSG00000000295.8",275.334899051095,-1.17546747669975,0.484584373354876,0.00622358696871909,0.01801364066396
"ENSMUSG00000000326.8",1041.64299246907,0.941858717146156,0.295652162950693,0.000852531667284388,0.00307534434465816
"ENSMUSG00000000339.10",377.29322755764,-1.0647755184576,0.39591075468932,0.00348790822035657,0.0108656665510529
"ENSMUSG00000000346.8",3825.53293866386,0.527634017845915,0.197080075830617,0.00636276769723566,0.0183687674516902
"ENSMUSG00000000374.7",2664.60278220741,2.03545639884677,0.207408056413946,2.05119757889534e-23,3.25478940341907e-22
"ENSMUSG00000000392.13",53.3245197268137,3.61550690681049,2.08748503853463,0.00252133829186102,0.00814915762048243
"ENSMUSG00000000420.11",15945.6624802709,1.67287183307095,0.1241807845388,5.02413981645195e-42,1.17315168947631e-40
"ENSMUSG00000000440.8",83.6503403985014,2.99107888637831,3.02394084716795,0.00551011284466336,0.0161980286752844
"ENSMUSG00000000486.9",2294.59981773354,2.92977270608084,0.188805222509569,3.29973614507315e-55,9.35805170742747e-54
"ENSMUSG00000000530.12",56.1329242472726,1.91333879975574,1.18808865530761,0.0127209717828162,0.033398706929535
"ENSMUSG00000000555.6",304.397613388165,-1.06500106588729,0.526447379041953,0.0197048973723142,0.0484790203806556
"ENSMUSG00000000594.7",2279.11149694921,-0.632740150462452,0.238665861161444,0.00624508539815535,0.0180624591211621
"ENSMUSG00000000631.15",2119.85511608286,-0.939132290550679,0.218059073055825,9.76299784392321e-06,5.12393137178715e-05
"ENSMUSG00000000682.7",1488.22811756537,1.64817031556087,0.401009622048663,1.02782377668978e-05,5.37265256997561e-05
"ENSMUSG00000000706.11",400.809749325036,14.4450860435986,3.30125408489159,1.65132256338999e-18,2.24954841430193e-17
"ENSMUSG00000000708.10",1285.69928407562,1.03372700489784,0.26653514110354,5.80353553498872e-05,0.000267662765448711
"ENSMUSG00000000711.2",2707.3323902084,2.55923135100306,0.206867590221644,5.97519431650962e-36,1.25947406687726e-34
"ENSMUSG00000000732.8",118.023260676983,3.72000633461344,0.961694507204871,8.0722734141438e-06,4.29438338041661e-05
"ENSMUSG00000000740.7",13726.2248957418,-1.20087080086267,0.126466758818151,1.03015499030578e-21,1.54801132358281e-20
"ENSMUSG00000000743.8",704.818233727251,1.02527438517883,0.334640071292969,0.00116188697925821,0.00406712592066194
"ENSMUSG00000000753.11",450.77874040863,-3.60411751158066,0.442861069575509,3.03390397010931e-17,3.94685855927981e-16
"ENSMUSG00000000759.10",1748.89460970879,0.632622922889865,0.21127932097328,0.00219764943049976,0.00720492472975216
"ENSMUSG00000000776.8",264.837336435257,-1.47173741861729,0.656993333639012,0.00649558019128497,0.0186795833008228
"ENSMUSG00000000787.8",15186.3865760003,-0.937101567026693,0.144519912143727,5.43419668554757e-11,4.86024082002128e-10
"ENSMUSG00000000804.10",37810.5165308269,6.04871594314886,0.148110461158299,0,0
"ENSMUSG00000000811.9",231.722941259474,-1.66625845704083,0.692518776301991,0.0033467730733334,0.0104741104329563
"ENSMUSG00000000823.12",400.048222115281,-1.76870233273834,0.523082038108915,0.000147214597995332,0.00062876596372705
