"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000000001.4",1417.34251980076,0.918809533532611,0.274300128351291,0.000312176054457976,0.00255921448319728
"ENSMUSG00000000056.7",9271.27374545546,0.993075479926455,0.166512711882104,9.11784989196867e-10,1.88772251505878e-08
"ENSMUSG00000000157.11",835.62359119954,1.55951004256109,0.369972675021371,4.04382357747468e-06,5.11675023572505e-05
"ENSMUSG00000000204.11",729.574164559553,1.90492956378529,0.558041491465395,6.75389688383269e-05,0.000657825093007195
"ENSMUSG00000000223.9",173.843939647401,-1.6912529443675,0.706584427065817,0.00170656834390673,0.0112550501651073
"ENSMUSG00000000278.10",340.739740945448,-1.13671579451121,0.571063938200323,0.00963935163336915,0.0469740074311118
"ENSMUSG00000000290.9",1452.14041892992,1.35921032549596,0.285229895781007,3.98644893438118e-07,6.07187100908499e-06
"ENSMUSG00000000301.12",18.3053603245683,0.308887327801501,0.819883281258344,0.00294326442288405,0.0177167347393531
"ENSMUSG00000000326.8",1049.6068073111,-0.906133476672385,0.299767428614964,0.000950101067986772,0.00680118932207922
"ENSMUSG00000000374.7",3074.52988485586,-0.831740975205319,0.20789691922175,2.81550625708495e-05,0.000303419077230227
"ENSMUSG00000000420.11",8886.46116250378,1.12598211911173,0.194378454564827,2.09302773248499e-09,4.21347504225144e-08
"ENSMUSG00000000486.9",1204.11705892653,2.44691271032184,0.342687535529539,8.4697646358676e-14,2.62051107190266e-12
"ENSMUSG00000000561.10",441.954995424742,0.912071656652883,0.415541620671946,0.00977577004693249,0.047454861266787
"ENSMUSG00000000568.11",1460.84311224007,-0.996169374050851,0.266954799962173,6.40938126442568e-05,0.0006268864419166
"ENSMUSG00000000706.11",220.102844200544,3.11524138468543,0.845788839688761,1.3442946439217e-05,0.000154929957711976
"ENSMUSG00000000708.10",1390.31800380689,-1.02068707598449,0.291899406703665,0.000151474995123243,0.00135067645554768
"ENSMUSG00000000711.2",1831.11351983523,0.737130651815555,0.308407053955101,0.00838157431693846,0.0418775913306571
"ENSMUSG00000000732.8",60.1497485907324,1.0695401340314,2.52233473523246,0.0102524342760554,0.0492501445077618
"ENSMUSG00000000751.9",2797.57415370611,-0.63712958930359,0.221223479266379,0.00235726058077696,0.0148320809063446
"ENSMUSG00000000759.10",1735.64168630047,-1.08390349715518,0.250064704183375,4.4137483523576e-06,5.56446123182367e-05
"ENSMUSG00000000804.10",28486.4102913298,0.933732167389246,0.155760576094974,8.30931767305977e-10,1.73591938698515e-08
"ENSMUSG00000000902.9",951.631574113536,-1.35054364879153,0.320478186556858,4.99597315444061e-06,6.2585424570574e-05
"ENSMUSG00000000903.3",90.8189099857225,-7.385294433845,1.64085126674732,6.73109628343863e-07,9.84049276955141e-06
"ENSMUSG00000001014.5",576.853720166257,-1.41377401998179,0.44250053955288,0.000235620154728167,0.0019930438776089
"ENSMUSG00000001016.8",1296.43807488013,-1.0044411345337,0.319365514300322,0.000533990094389257,0.00409827025827049
"ENSMUSG00000001020.7",296.103182636376,1.66575148425666,0.524964630531669,0.000194277103245192,0.00167975139129463
"ENSMUSG00000001025.4",424.856555629007,1.38299636617968,0.479990320968116,0.000699705270481449,0.00519148277401203
"ENSMUSG00000001123.11",587.10054479372,1.04152626656555,0.478638695098106,0.00801410873899929,0.0404212705544713
"ENSMUSG00000001151.9",6654.4703567237,-1.48269903366037,0.231478978568325,2.73586979863292e-11,6.74457741802019e-10
"ENSMUSG00000001156.7",17067.1891526084,2.0200005329677,0.15956686727437,1.32693151645853e-37,1.63852347076978e-35
"ENSMUSG00000001228.10",4403.00018755666,-1.05939662663154,0.233810787904572,1.81691368447532e-06,2.43723727025157e-05
"ENSMUSG00000001249.10",16.1094341503174,0.295426952435027,0.810370181140733,0.004165823862338,0.0234677572367147
"ENSMUSG00000001280.8",4531.53848850327,-1.51357833345661,0.191678249235669,5.28096117673672e-16,1.89703098894205e-14
"ENSMUSG00000001348.10",533.89023594761,-2.1386640454806,0.407656112443312,1.53728002929226e-08,2.79376909397003e-07
"ENSMUSG00000001366.10",8261.55689236383,2.06905503607216,0.181447156816363,4.96161216974475e-31,4.39866001971602e-29
"ENSMUSG00000001380.6",1392.85219004024,-1.10572726158182,0.307662264356428,9.05341280696906e-05,0.000858770227163114
"ENSMUSG00000001403.9",4879.42251024685,-1.91448134252928,0.31475728934702,1.44468396237738e-10,3.2700456955285e-09
"ENSMUSG00000001440.5",7070.0299901078,-1.18765873780182,0.168604318312777,5.09109829692023e-13,1.50127696047776e-11
"ENSMUSG00000001482.10",363.368123986827,1.62063912756988,0.571888680869075,0.000597455361818854,0.00451272946693324
"ENSMUSG00000001517.10",1805.16629956437,-2.26766093065148,0.261116997354277,3.67989548547903e-19,1.64702118330664e-17
"ENSMUSG00000001521.8",35.2094519131773,-7.59570756502575,3.36256445467669,0.000108540736832496,0.00100881612257623
"ENSMUSG00000001525.10",15595.6820430029,-1.30176367992414,0.221403660759405,9.31331107544443e-10,1.92530780528246e-08
"ENSMUSG00000001542.6",2060.40229199273,0.766046308205527,0.26357060543627,0.00179771314578021,0.0117520759162025
"ENSMUSG00000001632.12",1334.77990759183,-0.872564430012212,0.264809196804209,0.00040200901502159,0.00318794992990172
"ENSMUSG00000001666.8",15.5694544172606,0.292818772076586,0.808582475493623,0.00449194631244753,0.0249665331359069
"ENSMUSG00000001739.10",134.372025773797,2.0320557112361,0.805482177113805,0.000911199051882572,0.006549835180632
"ENSMUSG00000001741.7",800.869559467683,0.934172919822634,0.360413386903859,0.00338396363793174,0.0198054240848904
"ENSMUSG00000001767.5",2112.49828453307,0.894488477565219,0.262703874699202,0.000267383449208488,0.0022330393131361
"ENSMUSG00000001768.11",165.878472411465,1.46158868530764,0.721641255035344,0.0053806658908245,0.0290115435750888
"ENSMUSG00000001855.11",1075.41483247086,-1.45976420132291,0.332135853070198,1.99484081457037e-06,2.65476108211011e-05
"ENSMUSG00000001911.12",764.126778024881,-0.892881953516158,0.381069355021519,0.00693082101431136,0.0359404779257316
"ENSMUSG00000001918.13",12876.7938572115,0.848802545917731,0.169659576668652,2.61196810275317e-07,4.08175354362444e-06
"ENSMUSG00000002007.5",24.069751590656,-0.492550928027657,1.00223322506593,0.00123507427939189,0.00849804839999493
"ENSMUSG00000002028.8",2293.93941258929,-1.03575357704218,0.231562040046027,2.52277889426491e-06,3.27913835598531e-05
"ENSMUSG00000002031.7",307.374636447122,1.37199277723595,0.587231779573983,0.00312971832726181,0.0186529873192307
"ENSMUSG00000002055.5",7718.36625681972,-2.65435879785129,0.206011181074526,4.47016997849145e-39,6.12103473292443e-37
"ENSMUSG00000002068.12",1944.1116445719,-1.37778556226768,0.246872612813131,4.94063689162754e-09,9.55509553932444e-08
"ENSMUSG00000002221.7",1657.90733136504,-1.48091913891777,0.269292496419917,6.86220834639704e-09,1.3072223337558e-07
"ENSMUSG00000002222.10",5289.16810529697,0.909407313496782,0.190760203324689,7.74057976829703e-07,1.12096563555548e-05
"ENSMUSG00000002297.11",3479.55661494384,-2.20926619563064,0.231289683108627,1.31982913398431e-22,7.2147181513846e-21
"ENSMUSG00000002320.11",839.977899851966,-1.48677710512532,0.358918537787502,5.91882579043236e-06,7.29566494489122e-05
"ENSMUSG00000002372.8",1092.64760977052,-1.12084832912247,0.339082742375541,0.000255986094934348,0.00214432931129136
"ENSMUSG00000002486.11",240.235019266501,-1.45889059182742,0.800166178253941,0.00745862666655391,0.0382047432586817
"ENSMUSG00000002565.12",18.8273397845951,0.368063875741337,0.86675797713851,0.0016759182778928,0.011084624477885
"ENSMUSG00000002617.10",38.1421570166035,4.68598351228991,2.00136329481296,0.000611197701418275,0.00459894679576428
"ENSMUSG00000002718.10",1814.87773449471,-0.981055260153716,0.248327234437403,2.71398268368639e-05,0.000293466618572188
"ENSMUSG00000002748.6",9438.60424736933,-1.02393369275267,0.165925719282182,1.90911052579517e-10,4.2654278791191e-09
"ENSMUSG00000002820.5",1419.18484303904,-0.91033933778575,0.332067240617967,0.00222587088242738,0.0141016006889467
"ENSMUSG00000002833.10",1090.18156354317,-0.909078084166821,0.341248977815959,0.00279880492057925,0.0170367394593358
"ENSMUSG00000002835.8",1570.69386625999,-0.879771303050873,0.264619532014942,0.00035635466081216,0.00288034101044217
"ENSMUSG00000002870.7",4227.13638513946,-0.943707260554931,0.195149448169841,5.07699296556709e-07,7.56625137002078e-06
"ENSMUSG00000002871.10",1428.80962204186,1.49429906058288,0.303755454055839,1.58123747068235e-07,2.55473296957207e-06
"ENSMUSG00000002944.11",33032.7869278953,3.31212089657208,0.171038790728637,1.04930616834651e-84,9.06994019264511e-82
"ENSMUSG00000002957.8",4577.83822803407,-0.548064429753142,0.19107130334945,0.00281097314264369,0.0170807375056073
"ENSMUSG00000002981.9",1005.92816641469,-0.747568488957443,0.30950403147248,0.00754116288189285,0.0385418635094524
"ENSMUSG00000002992.12",20.486305946832,0.452916878353149,0.947566708539462,0.00480314258312855,0.0264335304117262
"ENSMUSG00000002996.13",5368.66215628278,2.52420655547762,0.182237712255822,1.30266476646341e-44,2.5374441859421e-42
"ENSMUSG00000003031.10",11380.1755232031,1.94124020506346,0.207942779231631,1.48404898432332e-21,7.545734357791e-20
"ENSMUSG00000003068.11",6481.04845086416,-1.23182784900083,0.258814114285946,4.7657159374544e-07,7.15633565852274e-06
"ENSMUSG00000003119.10",11199.6064716372,2.42645772382349,0.193327873535531,4.17157252815916e-37,5.01676939690793e-35
"ENSMUSG00000003134.6",406.096668133852,1.61747330730429,0.467088836063139,7.61153214423548e-05,0.00073255037964354
"ENSMUSG00000003153.6",765.767266656831,0.918664262199027,0.330622530946653,0.00202323395071478,0.0129783513628875
"ENSMUSG00000003166.15",819.556850813186,-1.07904723278678,0.367034751206046,0.000916070885893026,0.00658143394903925
"ENSMUSG00000003269.10",425.58464849487,-1.61301264206922,0.496515461280209,0.000158295316375813,0.0014015520009459
"ENSMUSG00000003308.10",874.293694972325,-1.82767838822083,0.344154748614175,1.40977646499833e-08,2.58898977348851e-07
"ENSMUSG00000003316.10",2485.08014645144,-0.595583714250674,0.220737275803296,0.0044073712524042,0.0245980405249193
"ENSMUSG00000003345.11",845.333542956736,-0.812265961256955,0.314144922718612,0.00419088476080307,0.0235897176401735
"ENSMUSG00000003360.10",1561.90238414623,-0.717181934245183,0.260385057394826,0.003041527567417,0.0181703353163616
"ENSMUSG00000003363.11",1359.71478117513,2.02696578538901,0.306051140045167,4.25176658725388e-12,1.14909660515547e-10
"ENSMUSG00000003379.7",107.428854980341,-4.68649485463718,1.00055812262423,1.8749689075483e-07,2.99086735771546e-06
"ENSMUSG00000003559.7",59.1760995069738,2.89019328574399,1.31102213880996,0.00109828994407707,0.00767138885181108
"ENSMUSG00000003573.11",14.2554997717106,0.264312687627171,0.79073649761898,0.00684674716162978,0.035584559656272
