"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000000001.4",3656.99475984538,1.09998360297084,0.209908547031211,8.14857290153348e-08,4.47510001821117e-07
"ENSMUSG00000000028.10",2398.80485219334,-1.03134370007056,0.202826297408361,1.9167146941778e-07,1.00729042349747e-06
"ENSMUSG00000000037.12",215.304529060124,1.44425297214348,0.630620636427489,0.00635498108321023,0.0157793098867898
"ENSMUSG00000000056.7",8147.77153527794,-3.30057203241733,0.240443312462325,7.88664466070404e-44,1.97937491543437e-42
"ENSMUSG00000000078.6",3821.9022182945,1.22181066229969,0.291632499587223,1.21689678564205e-05,5.05895945829908e-05
"ENSMUSG00000000134.13",652.485667774137,-1.23849348541112,0.42914079623956,0.00154604780363135,0.00442666976942003
"ENSMUSG00000000148.13",366.176753310177,1.47489558451742,0.501771045133274,0.00102843022582428,0.00305450549809274
"ENSMUSG00000000157.11",509.488840204101,-3.96222363207159,0.610810567869561,7.40783579241343e-12,5.77531797268146e-11
"ENSMUSG00000000168.5",1026.28468981418,1.52452392156797,0.361621240766168,7.80450938278435e-06,3.3406532396888e-05
"ENSMUSG00000000171.4",1970.20038574362,0.627354060568554,0.252299697851427,0.010134907198816,0.0238365714032835
"ENSMUSG00000000184.9",2952.1522705466,2.60666817310223,0.307579800417559,2.9422948606683e-18,3.29497173900122e-17
"ENSMUSG00000000204.11",376.7037142341,-2.34395450045829,0.827944265863386,0.000529492220883139,0.00167135370591808
"ENSMUSG00000000223.9",342.360463154581,-7.10637896335998,0.976658226294486,4.04912783328526e-15,3.90558454587067e-14
"ENSMUSG00000000253.8",206.968997817824,2.21478073980054,0.718998449450792,0.000302472582846872,0.000997717076797429
"ENSMUSG00000000275.12",2633.57999387859,-1.09909495888394,0.271473290939444,2.5661360530008e-05,0.000101709195410948
"ENSMUSG00000000278.10",785.011535700226,-1.58313873383603,0.452717403326838,0.000128120885929818,0.000450253399124788
"ENSMUSG00000000290.9",1176.28796910336,-1.99714792199737,0.336463455524257,5.76442452318897e-10,3.91029763804109e-09
"ENSMUSG00000000295.8",297.314964888833,2.60558090032249,1.22105601177563,0.00243761200999906,0.00667138277764179
"ENSMUSG00000000326.8",2169.33284267277,-1.78296400987556,0.262972799658155,2.92693507219704e-12,2.34706760126662e-11
"ENSMUSG00000000374.7",5520.1568314212,-2.75379226407809,0.182881406769432,3.68625155797043e-52,1.10609842615472e-50
"ENSMUSG00000000384.11",490.26919440079,1.7903327939556,0.464580799678235,2.63987655645331e-05,0.000104381728984311
"ENSMUSG00000000392.13",156.032684885159,-5.29323251759898,1.53828231993781,2.48618881837987e-05,9.87508625138715e-05
"ENSMUSG00000000409.10",226.488932741527,-1.72330835181909,0.656266404092458,0.00181009593528223,0.00510124177330155
"ENSMUSG00000000440.8",107.377574253179,-1.12685996043456,2.11808236420084,0.0128076281049965,0.02918633120298
"ENSMUSG00000000531.4",42.7135867081843,6.86937543554725,3.66841847090502,0.000663204787559512,0.00205036910121484
"ENSMUSG00000000532.10",424.856546592364,1.98927431587844,0.462757089662679,3.38232652035986e-06,1.52220035084717e-05
"ENSMUSG00000000555.6",310.283648475347,4.09126391768077,0.693687983311731,2.43644160411853e-10,1.70002627257834e-09
"ENSMUSG00000000561.10",1379.99580962226,1.53414592567587,0.297503746287438,7.74933656899673e-08,4.2637107636369e-07
"ENSMUSG00000000568.11",3971.92203635561,-0.571562967023802,0.232912816436989,0.0114671793973888,0.0265710775294001
"ENSMUSG00000000594.7",2629.62936330666,1.36457875906507,0.282602353728732,5.08904712282798e-07,2.54418167044168e-06
"ENSMUSG00000000600.11",2644.40715859833,-0.715199077785643,0.202310206735279,0.000298371241428211,0.000985936764248683
"ENSMUSG00000000628.6",1044.467749416,0.900499080464395,0.306962834153973,0.00204795593027286,0.00571637811520086
"ENSMUSG00000000631.15",2994.74320576404,0.81848427943055,0.186915108212862,8.21705513280691e-06,3.50514277849141e-05
"ENSMUSG00000000686.11",156.125614867595,1.69380472451561,0.781721295732387,0.00602971674904659,0.0150419501133189
"ENSMUSG00000000706.11",43.2677623754813,-9.3004319789022,3.99964713869507,7.41130339742351e-05,0.000270680806046268
"ENSMUSG00000000708.10",2864.8585082325,-1.98278434116177,0.238021144556855,1.68672422183063e-17,1.82836974461072e-16
"ENSMUSG00000000711.2",2126.16548992067,-1.50271576400406,0.355128408030821,7.32118950535765e-06,3.14462520658695e-05
"ENSMUSG00000000738.13",1851.13844194199,-1.12758348386977,0.362047798565287,0.000848746352385473,0.00256641445805628
"ENSMUSG00000000740.7",18696.1008758538,1.22243178172395,0.154928332895933,1.41409352232643e-15,1.39562028466739e-14
"ENSMUSG00000000743.8",842.348469503889,-0.73750876142364,0.332550255593929,0.0184210498396817,0.0399825703316294
"ENSMUSG00000000751.9",6661.40668009687,-0.730311012628682,0.166796124430644,8.68112670441325e-06,3.68935490410572e-05
"ENSMUSG00000000753.11",582.91525258852,0.54517734717983,1.24077512607129,0.0207993803376438,0.0446305042625652
"ENSMUSG00000000759.10",3825.2435563489,-1.61375179826564,0.180613454906897,1.24650663013897e-19,1.49129888877478e-18
"ENSMUSG00000000776.8",301.691944736963,3.44984379261093,0.745064644873773,2.8330319497184e-07,1.46047850736609e-06
"ENSMUSG00000000787.8",19653.7627998442,1.18172736446054,0.173196721621153,3.69935054126103e-12,2.94582311961412e-11
"ENSMUSG00000000804.10",24205.7563614321,-4.9247005806939,0.131897064195027,4.33561519638022e-306,2.01646753024146e-303
"ENSMUSG00000000823.12",479.134856019283,3.07588336500187,0.639294656651763,1.61444117417753e-07,8.55383695097336e-07
"ENSMUSG00000000826.12",3079.52658422525,-0.815987165960064,0.22458796616995,0.000185031186667705,0.000633207438761888
"ENSMUSG00000000838.13",7401.65518713393,-1.21938484998835,0.21588698211264,7.13390663096514e-09,4.36570445677032e-08
"ENSMUSG00000000861.11",2896.0665608839,1.56172950897812,0.299049620402276,5.6469739137765e-08,3.15007169260628e-07
"ENSMUSG00000000881.8",362.104211536295,3.46336434398234,0.559796412387299,5.2904104698956e-11,3.86914884636148e-10
"ENSMUSG00000000902.9",2549.62583436064,-0.92686427533226,0.237071453830134,5.45104553582068e-05,0.000203685439893596
"ENSMUSG00000000903.3",218.789453888246,-13.0147805637786,3.39198871733571,1.02331130310078e-13,9.05466238052852e-13
"ENSMUSG00000000934.8",197.894044581823,5.74445274185759,1.13861373881148,4.89190217497434e-08,2.75051681413461e-07
"ENSMUSG00000000957.8",279.692651159569,1.72765909932148,0.620174093176749,0.00119683440418627,0.00351331093441898
"ENSMUSG00000000976.9",576.345767085273,1.50219361713351,0.559713675204426,0.00211968487376336,0.00588678297746224
"ENSMUSG00000000982.5",893.67157261317,2.27006069859979,0.351711993492874,1.90950398471743e-11,1.43676176969411e-10
"ENSMUSG00000001014.5",1129.21940602267,-3.54792626929222,0.498932675033075,1.11331669058634e-13,9.83352659109587e-13
"ENSMUSG00000001025.4",285.760792483796,-2.70636971419433,0.908555766787509,0.000250372401856459,0.000837557306547466
"ENSMUSG00000001029.11",357.825665981018,1.85657015025344,0.499572044400857,4.36015124210585e-05,0.000165330269901303
"ENSMUSG00000001052.11",864.840791545832,1.28698867962415,0.452349299462465,0.00171593110976823,0.00486164148233021
"ENSMUSG00000001056.3",961.223916108786,2.14301965445558,0.391500857347072,8.10518863375584e-09,4.92969033249645e-08
"ENSMUSG00000001065.10",482.434081654379,-1.27099090394871,0.415196254806575,0.000850442698957898,0.00256997739869856
"ENSMUSG00000001082.8",548.943680329976,1.69038243322386,0.568595452299256,0.000704857103696075,0.00217057485501938
"ENSMUSG00000001089.10",484.579042594485,1.00267920682399,0.433406279207339,0.0108705909681367,0.0253465463541874
"ENSMUSG00000001098.11",1529.70900382344,0.924040422160935,0.289891762480777,0.000853473652521536,0.00257700662277823
"ENSMUSG00000001100.6",815.876971150512,1.90412041511435,0.858595818841305,0.00431454241944791,0.011140412010521
"ENSMUSG00000001120.11",112.85437419373,9.42344964225339,3.11882436090927,3.51471920004163e-07,1.79045493311259e-06
"ENSMUSG00000001123.11",1839.47519802244,1.63007753630494,0.448908926204641,7.75767925761458e-05,0.000282568625528825
