"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000000001.4",3675.22513158899,1.31846344598623,0.290908659536045,2.34322452629745e-06,1.25928680150437e-05
"ENSMUSG00000000028.10",2012.29494406317,-1.28040858646814,0.301440076607819,8.71343392094594e-06,4.29116736314511e-05
"ENSMUSG00000000037.12",180.328515238267,1.30756578080437,0.647362951125458,0.0142254468451181,0.034336831431459
"ENSMUSG00000000056.7",7115.21057360243,-3.66981096684613,0.241418000188175,5.25583531581716e-53,2.86525433279705e-51
"ENSMUSG00000000078.6",6944.26775600164,2.525576023046,0.320879226827108,5.09756803720887e-16,6.88149693789215e-15
"ENSMUSG00000000134.13",573.304395055855,-1.30199671722321,0.438338185259524,0.0010969250778865,0.00361087518801015
"ENSMUSG00000000148.13",299.830592978031,1.27501909750226,0.548479046739348,0.00730847452265708,0.0193942320864133
"ENSMUSG00000000154.11",30.7832949239658,6.05879402611061,4.10120869260869,0.00180244275138316,0.00561549567665091
"ENSMUSG00000000168.5",744.551335407306,1.10318352837579,0.388322560163523,0.00216810554795531,0.00662154585268568
"ENSMUSG00000000184.9",2310.40755819666,2.37566895010983,0.349268973739754,1.68064271777178e-12,1.80723958503486e-11
"ENSMUSG00000000223.9",305.112078921454,-6.4540327637865,1.42686213777381,1.84215715526014e-07,1.15059444515769e-06
"ENSMUSG00000000253.8",141.543800974319,1.60383086530095,0.840014268499944,0.0118139097508834,0.029260793408631
"ENSMUSG00000000275.12",2372.28713120034,-1.05223254287699,0.259223921571942,2.57958094721793e-05,0.00011725776728696
"ENSMUSG00000000276.7",508.064406199795,1.2198110995637,0.439220421857532,0.00225331041929482,0.00685100948703591
"ENSMUSG00000000278.10",687.167452577416,-1.67386315283929,0.475451075811201,0.000107074275674326,0.000436726829301489
"ENSMUSG00000000295.8",353.900405340475,3.16543263828816,1.17069779408926,0.00043508196930538,0.00155808937783291
"ENSMUSG00000000301.12",20.1556866480905,0.523415686290666,1.22660093347677,0.0149336104497636,0.0358305887282627
"ENSMUSG00000000326.8",2009.08468736244,-1.54292821145584,0.249625961432868,2.00100020426638e-10,1.77508933134977e-09
"ENSMUSG00000000374.7",4778.38481607974,-3.10397042021053,0.228086896366126,3.87065055825593e-43,1.52161303101689e-41
"ENSMUSG00000000392.13",156.352277935635,-2.29160498324967,0.953011803921873,0.00174849541713394,0.00546592593336217
"ENSMUSG00000000420.11",9262.05452607882,-0.782363134686295,0.257789919465735,0.00158540484272162,0.00502333822787007
"ENSMUSG00000000440.8",102.584317597367,-2.40262275209923,1.21887551043649,0.00381766098117316,0.0109447100899193
