seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr4	41353396	41353579	184	*	Intron (ENSMUST00000108060.9/67123, intron 1 of 5)	4	41349048	41371285	22238	1	67123	ENSMUST00000136705.1	4348	ENSMUSG00000028437	Ubap1	ubiquitin-associated protein 1
chr1	90281190	90281586	397	*	Intron (ENSMUST00000188640.1/ENSMUST00000188640.1, intron 1 of 1)	1	90204006	90213833	9828	1	12778	ENSMUST00000159654.1	77184	ENSMUSG00000044337	Ackr3	atypical chemokine receptor 3
chr1	5083446	5083548	103	*	Promoter (<=1kb)	1	5083164	5099777	16614	1	108664	ENSMUST00000192142.1	282	ENSMUSG00000033793	Atp6v1h	ATPase, H+ transporting, lysosomal V1 subunit H
chr1	132355814	132356152	339	*	Distal Intergenic	1	132361026	132364948	3923	2	68875	ENSMUST00000125439.1	8796	ENSMUSG00000042066	Tmcc2	transmembrane and coiled-coil domains 2
chr13	36200512	36200764	253	*	Intron (ENSMUST00000021857.12/69955, intron 1 of 6)	13	36232122	36246609	14488	1	69955	ENSMUST00000224540.1	-31358	ENSMUSG00000021420	Fars2	phenylalanine-tRNA synthetase 2, mitochondrial
chr4	41352825	41353070	246	*	Intron (ENSMUST00000108060.9/67123, intron 1 of 5)	4	41349048	41371285	22238	1	67123	ENSMUST00000136705.1	3777	ENSMUSG00000028437	Ubap1	ubiquitin-associated protein 1
chr5	24152254	24152500	247	*	Intron (ENSMUST00000030841.9/52323, intron 8 of 10)	5	24164963	24184013	19051	1	231042	ENSMUST00000049887.12	-12463	ENSMUSG00000048439	Nupl2	nucleoporin like 2
chr6	72099370	72099686	317	*	Promoter (1-2kb)	6	72097757	72147150	49394	1	20454	ENSMUST00000187007.2	1613	ENSMUSG00000056091	St3gal5	ST3 beta-galactoside alpha-2,3-sialyltransferase 5
chr1	132377869	132378072	204	*	Intron (ENSMUST00000045473.15/68875, intron 2 of 4)	1	132356316	132367887	11572	2	68875	ENSMUST00000142609.7	-9982	ENSMUSG00000042066	Tmcc2	transmembrane and coiled-coil domains 2
chr10	75504882	75505117	236	*	Intron (ENSMUST00000145890.7/68778, intron 5 of 8)	10	75508832	75511264	2433	2	68778	ENSMUST00000129307.1	6147	ENSMUSG00000033416	Gucd1	guanylyl cyclase domain containing 1
chr3	84035777	84036064	288	*	Intron (ENSMUST00000191758.5/229473, intron 2 of 34)	3	84030315	84040128	9814	2	229473	ENSMUST00000193696.1	4064	ENSMUSG00000033767	Tmem131l	transmembrane 131 like
