logFC	logCPM	LR	PValue	FDR	Geneid	Chr	Start	End
-4.11843980444192	6.29416012019465	188.23423430388	7.72269334660459e-43	1.67644227168093e-38	cfue_erythroblast_merged_41670	chr4	41353396	41353579
-3.5037453074406	7.3097894797532	183.037481556415	1.05255498756258e-41	1.14244318350043e-37	cfue_erythroblast_merged_1366	chr1	90281190	90281586
5.77486099557352	3.56730113366114	167.163036202974	3.08189303080417e-38	2.2300577970899e-34	cfue_erythroblast_merged_25	chr1	5083446	5083548
-3.36325191700678	6.26842710068996	145.208338308117	1.93380751538271e-33	1.0494773385982e-29	cfue_erythroblast_merged_1889	chr1	132355814	132356152
-3.1222883316413	6.85607611266186	144.248503301405	3.13515950174593e-33	1.36116084927801e-29	cfue_erythroblast_merged_16602	chr13	36200512	36200764
-2.93423204523194	6.99027812586931	133.660123053303	6.48368019921147e-31	2.34579549607471e-27	cfue_erythroblast_merged_41669	chr4	41352825	41353070
-3.40271340289797	5.84543313263674	131.359153947609	2.06626755029361e-30	6.40779085453908e-27	cfue_erythroblast_merged_45933	chr5	24152254	24152500
-2.63763348644789	8.24627513699516	126.522107254625	2.36354081052122e-29	6.41346798934933e-26	cfue_erythroblast_merged_51281	chr6	72099370	72099686
-3.057208756914	6.16799916847378	123.421235751159	1.12775323190238e-28	2.72014079534854e-25	cfue_erythroblast_merged_1896	chr1	132377869	132378072
-3.30140573793702	5.653082049887	120.646885777539	4.56578673346472e-28	9.91140984100521e-25	cfue_erythroblast_merged_5338	chr10	75504882	75505117
-2.67880820675337	6.86964021471389	113.387258326619	1.77491856323285e-26	3.50272110642352e-23	cfue_erythroblast_merged_38884	chr3	84035777	84036064
-2.65123166472447	6.8473429822473	111.170573692881	5.42924462420042e-26	9.82150352517856e-23	cfue_erythroblast_merged_8082	chr11	31824475	31825097
-2.87159430164756	6.11419398557041	110.910141957894	6.19144401281839e-26	1.03387589715586e-22	cfue_erythroblast_merged_1386	chr1	91251399	91251577
-3.38865142412296	5.08901074836244	102.175607679773	5.08117293436996e-24	7.87872157566451e-21	cfue_erythroblast_merged_28198	chr17	71165097	71165316
-3.02663862111143	5.52096853042454	101.965234064405	5.65047830991572e-24	8.17737221011003e-21	cfue_erythroblast_merged_11918	chr11	103404680	103404943
-2.68688896944497	6.1708246416577	101.150814166942	8.52398932307312e-24	1.15649225140795e-20	cfue_erythroblast_merged_9189	chr11	62005565	62005849
-2.62294218158938	6.32582382165112	100.491774726538	1.18889656310457e-23	1.51815097599259e-20	cfue_erythroblast_merged_13621	chr12	32017627	32018020
-2.71009334937337	6.02841388213823	99.1756950322502	2.31065499630318e-23	2.78664992554164e-20	cfue_erythroblast_merged_64437	chr9	108307562	108307723
-2.82859279070332	5.75083206237348	98.4009657911136	3.41692556016591e-23	3.90392737158324e-20	cfue_erythroblast_merged_30929	chr19	5823573	5823742
-3.3187188231329	5.04005417297968	97.4927446497638	5.40539708811538e-23	5.86701799944044e-20	cfue_erythroblast_merged_9621	chr11	70079273	70079434
-3.61444237844696	4.76108372677998	96.1751932782054	1.05154235067771e-22	1.08699434992913e-19	cfue_erythroblast_merged_42144	chr4	53485494	53485680
-2.65685756213441	6.00367486992854	95.5456278179248	1.44521674300637e-22	1.42603477532647e-19	cfue_erythroblast_merged_12995	chr11	120938065	120938294
-2.88327713457193	5.54506717189139	95.3593948131145	1.58777218186107e-22	1.46347969785282e-19	cfue_erythroblast_merged_28215	chr17	71206273	71206433
-3.35227126766549	4.96362116131696	95.3220624895156	1.61799856036796e-22	1.46347969785282e-19	cfue_erythroblast_merged_40950	chr3	152355417	152355805
-2.45743920701997	6.63910210595553	95.1929875902981	1.72700959100478e-22	1.49959696806127e-19	cfue_erythroblast_merged_29666	chr18	56893509	56893737
-2.77787782237619	5.69968397627674	94.6812043652	2.23652729460044e-22	1.86732825043024e-19	cfue_erythroblast_merged_41671	chr4	41368147	41368411
