seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr12	91965996	91966453	458	*	Distal Intergenic	12	91806043	91849157	43115	2	20338	ENSMUST00000178462.7	-116839	ENSMUSG00000020964	Sel1l	sel-1 suppressor of lin-12-like (C. elegans)
chr4	10510059	10510330	272	*	Intron (ENSMUST00000145856.1/73624, intron 1 of 3)	4	10479962	10742904	262943	2	73624	ENSMUST00000145856.1	232574	ENSMUSG00000086080	1700123O12Rik	RIKEN cDNA 1700123O12 gene
chr18	43967835	43968109	275	*	Intron (ENSMUST00000069245.7/72432, intron 3 of 31)	18	43963235	44022501	59267	1	72432	ENSMUST00000069245.7	4600	ENSMUSG00000055561	Spink5	serine peptidase inhibitor, Kazal type 5
chr12	101766533	101766797	265	*	Intron (ENSMUST00000021603.8/23876, intron 6 of 10)	12	101645443	101718523	73081	2	74413	ENSMUST00000162735.7	-48010	ENSMUSG00000021187	Tc2n	tandem C2 domains, nuclear
chr1	10700096	10700291	196	*	Intron (ENSMUST00000153695.7/329093, intron 1 of 9)	1	10595366	10719905	124540	2	329093	ENSMUST00000140938.1	19614	ENSMUSG00000042501	Cpa6	carboxypeptidase A6
chr9	28289743	28290012	270	*	Intron (ENSMUST00000115243.8/330908, intron 1 of 7)	9	28403149	28405951	2803	1	330908	ENSMUST00000133142.1	-113137	ENSMUSG00000062257	Opcml	opioid binding protein/cell adhesion molecule-like
chr19	17650883	17651104	222	*	Intron (ENSMUST00000025618.15/18552, intron 8 of 37)	19	17673452	17837617	164166	2	18552	ENSMUST00000235505.1	186513	ENSMUSG00000024713	Pcsk5	proprotein convertase subtilisin/kexin type 5
chr11	111377814	111377903	90	*	Distal Intergenic	11	111066164	111076821	10658	1	16518	ENSMUST00000042970.2	311650	ENSMUSG00000041695	Kcnj2	potassium inwardly-rectifying channel, subfamily J, member 2
chr1	118711638	118711971	334	*	Distal Intergenic	1	118627946	118685168	57223	1	81879	ENSMUST00000027629.9	83692	ENSMUSG00000026380	Tfcp2l1	transcription factor CP2-like 1
chr10	7438994	7439279	286	*	Distal Intergenic	10	7446183	7473341	27159	2	77777	ENSMUST00000169796.3	34062	ENSMUSG00000079685	Ulbp1	UL16 binding protein 1
chr7	86321387	86321615	229	*	Promoter (<=1kb)	7	86320995	86322050	1056	2	258614	ENSMUST00000044256.5	435	ENSMUSG00000054498	Or6f1	olfactory receptor family 6 subfamily F member 1
chr7	93254453	93254596	144	*	Distal Intergenic	7	93178983	93184176	5194	2	100040298	ENSMUST00000133910.2	-70277	ENSMUSG00000087412	Gm15501	predicted pseudogene 15501
chr10	27265959	27266156	198	*	Intron (ENSMUST00000092639.11/16773, intron 13 of 64)	10	27204801	27212254	7454	2	16773	ENSMUST00000239098.1	-53705	ENSMUSG00000019899	Lama2	laminin, alpha 2
chr7	89835564	89835916	353	*	Intron (ENSMUST00000032856.12/109264, intron 7 of 13)	7	89829282	89851962	22681	1	109264	ENSMUST00000032853.8	6282	ENSMUSG00000030621	Me3	malic enzyme 3, NADP(+)-dependent, mitochondrial
chr9	87210901	87211171	271	*	Promoter (<=1kb)	9	87204015	87209910	5896	2	382090	ENSMUST00000139301.1	-991	ENSMUSG00000056919	Cep162	centrosomal protein 162
