seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr18	43967835	43968109	275	*	Intron (ENSMUST00000069245.7/72432, intron 3 of 31)	18	43963235	44022501	59267	1	72432	ENSMUST00000069245.7	4600	ENSMUSG00000055561	Spink5	serine peptidase inhibitor, Kazal type 5
chr3	90695632	90695811	180	*	Promoter (<=1kb)	3	90692632	90695711	3080	2	20202	ENSMUST00000069960.11	0	ENSMUSG00000056071	S100a9	S100 calcium binding protein A9 (calgranulin B)
chr4	10510059	10510330	272	*	Intron (ENSMUST00000145856.1/73624, intron 1 of 3)	4	10479962	10742904	262943	2	73624	ENSMUST00000145856.1	232574	ENSMUSG00000086080	1700123O12Rik	RIKEN cDNA 1700123O12 gene
chr12	91965996	91966453	458	*	Distal Intergenic	12	91806043	91849157	43115	2	20338	ENSMUST00000178462.7	-116839	ENSMUSG00000020964	Sel1l	sel-1 suppressor of lin-12-like (C. elegans)
chr1	10700096	10700291	196	*	Intron (ENSMUST00000153695.7/329093, intron 1 of 9)	1	10595366	10719905	124540	2	329093	ENSMUST00000140938.1	19614	ENSMUSG00000042501	Cpa6	carboxypeptidase A6
chr7	93254453	93254596	144	*	Distal Intergenic	7	93178983	93184176	5194	2	100040298	ENSMUST00000133910.2	-70277	ENSMUSG00000087412	Gm15501	predicted pseudogene 15501
chr7	86321387	86321615	229	*	Promoter (<=1kb)	7	86320995	86322050	1056	2	258614	ENSMUST00000044256.5	435	ENSMUSG00000054498	Or6f1	olfactory receptor family 6 subfamily F member 1
chr3	121111187	121111358	172	*	Distal Intergenic	3	121155400	121156820	1421	2	66568	ENSMUST00000164968.1	45462	ENSMUSG00000028133	Rwdd3	RWD domain containing 3
chr9	28289743	28290012	270	*	Intron (ENSMUST00000115243.8/330908, intron 1 of 7)	9	28403149	28405951	2803	1	330908	ENSMUST00000133142.1	-113137	ENSMUSG00000062257	Opcml	opioid binding protein/cell adhesion molecule-like
chr12	101766533	101766797	265	*	Intron (ENSMUST00000021603.8/23876, intron 6 of 10)	12	101645443	101718523	73081	2	74413	ENSMUST00000162735.7	-48010	ENSMUSG00000021187	Tc2n	tandem C2 domains, nuclear
chr10	7438994	7439279	286	*	Distal Intergenic	10	7446183	7473341	27159	2	77777	ENSMUST00000169796.3	34062	ENSMUSG00000079685	Ulbp1	UL16 binding protein 1
chr10	27265959	27266156	198	*	Intron (ENSMUST00000092639.11/16773, intron 13 of 64)	10	27204801	27212254	7454	2	16773	ENSMUST00000239098.1	-53705	ENSMUSG00000019899	Lama2	laminin, alpha 2
chr19	17650883	17651104	222	*	Intron (ENSMUST00000025618.15/18552, intron 8 of 37)	19	17673452	17837617	164166	2	18552	ENSMUST00000235505.1	186513	ENSMUSG00000024713	Pcsk5	proprotein convertase subtilisin/kexin type 5
chr18	60952398	60952703	306	*	Promoter (1-2kb)	18	60953873	60953932	60	1	102465703	ENSMUST00000183978.1	-1170	ENSMUSG00000098247	Mir7220	microRNA 7220
chr5	49001977	49002185	209	*	Intron (ENSMUST00000087395.10/80334, intron 1 of 8)	5	48389502	48889557	500056	2	80334	ENSMUST00000176978.7	-112420	ENSMUSG00000029088	Kcnip4	Kv channel interacting protein 4
chr8	74660119	74660293	175	*	Intron (ENSMUST00000127757.7/ENSMUST00000127757.7, intron 5 of 9)	8	74873173	74893506	20334	1	71597	ENSMUST00000034034.9	-212880	ENSMUSG00000031621	Isx	intestine specific homeobox
chr9	87210901	87211171	271	*	Promoter (<=1kb)	9	87204015	87209910	5896	2	382090	ENSMUST00000139301.1	-991	ENSMUSG00000056919	Cep162	centrosomal protein 162
chr14	37298761	37299036	276	*	Distal Intergenic	14	37131398	37135272	3875	2	66092	ENSMUST00000223921.1	-163489	ENSMUSG00000041028	Ghitm	growth hormone inducible transmembrane protein
chr1	118711638	118711971	334	*	Distal Intergenic	1	118627946	118685168	57223	1	81879	ENSMUST00000027629.9	83692	ENSMUSG00000026380	Tfcp2l1	transcription factor CP2-like 1
chr3	32979269	32979521	253	*	Intron (ENSMUST00000192259.1/ENSMUST00000192259.1, intron 8 of 9)	3	32950630	32985079	34450	2	58869	ENSMUST00000108221.1	5558	ENSMUSG00000027674	Pex5l	peroxisomal biogenesis factor 5-like
chr8	8051218	8051433	216	*	Intron (ENSMUST00000208946.1/ENSMUST00000208946.1, intron 5 of 5)	8	8620597	8639363	18767	2	13642	ENSMUST00000152698.1	587930	ENSMUSG00000001300	Efnb2	ephrin B2
