PeakID	seqnames.x	start.x	end.x	width.x	strand.x	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME	X	seqnames.y	start.y	end.y	width.y	strand.y	Conc	Conc_CFUE	Conc_ERY	Fold	p.value	FDR
chr10_100487021_100487938	chr10	100487021	100487938	918	*	Promoter (<=1kb)	10	100487558	100573655	86098	1	216274	ENSMUST00000220346.1	0	ENSMUSG00000019971	Cep290	centrosomal protein 290	210	chr10	100487021	100487938	918	*	11.0011749292166	11.3846642303871	10.4773116843921	0.842188246286258	3.73334985920388e-14	7.22260974904172e-12
chr10_100498316_100498716	chr10	100498316	100498716	401	*	Promoter (<=1kb)	10	100498331	100500195	1865	1	216274	ENSMUST00000220231.1	0	ENSMUSG00000019971	Cep290	centrosomal protein 290	2206	chr10	100498316	100498716	401	*	7.97919312521256	8.30630565789023	7.55547327861941	0.612000973834871	4.93181591885551e-05	0.000907972935790757
chr10_100524648_100525301	chr10	100524648	100525301	654	*	Intron (ENSMUST00000220346.1/216274, intron 26 of 53)	10	100540454	100545130	4677	1	216274	ENSMUST00000218703.1	-15153	ENSMUSG00000019971	Cep290	centrosomal protein 290	1764	chr10	100524648	100525301	654	*	8.27985964972125	8.63468171456407	7.80827524514637	0.670931511118081	1.53446803619585e-05	0.000353406082236558
chr10_100629493_100630232	chr10	100629493	100630232	740	*	Distal Intergenic	10	100609155	100618309	9155	1	66605	ENSMUST00000191033.1	20338	ENSMUSG00000056912	1700017N19Rik	RIKEN cDNA 1700017N19 gene	6903	chr10	100629493	100630232	740	*	6.76991503670938	6.34966499679147	7.0949616399247	-0.488505713571068	0.00653881789736497	0.0384804796142542
chr10_103368191_103368591	chr10	103368191	103368591	401	*	Promoter (<=1kb)	10	103367843	103419377	51535	1	103098	ENSMUST00000074204.11	348	ENSMUSG00000019894	Slc6a15	solute carrier family 6 (neurotransmitter transporter), member 15	4287	chr10	103368191	103368591	401	*	4.7873540089781	5.42396246280703	3.62030046341079	0.825400960533792	0.00104583982487637	0.00991017620906832
chr10_104041913_104042313	chr10	104041913	104042313	401	*	Distal Intergenic	10	104142987	104145456	2470	1	637578	ENSMUST00000181634.7	-100674	ENSMUSG00000095022	Gm20765	predicted gene, 20765	828	chr10	104041913	104042313	401	*	7.43438968249108	7.91876804189995	6.69986755396157	1.00335673951439	9.02673295583821e-08	4.42909516662849e-06
chr10_104042363_104042973	chr10	104042363	104042973	611	*	Distal Intergenic	10	104142987	104145456	2470	1	637578	ENSMUST00000181634.7	-100014	ENSMUSG00000095022	Gm20765	predicted gene, 20765	3410	chr10	104042363	104042973	611	*	7.80170259594332	8.1075193624241	7.41312381721187	0.547420959264391	0.000378123394305699	0.00450499095028083
chr10_104043623_104044023	chr10	104043623	104044023	401	*	Distal Intergenic	10	104142987	104145456	2470	1	637578	ENSMUST00000181634.7	-98964	ENSMUSG00000095022	Gm20765	predicted gene, 20765	5908	chr10	104043623	104044023	401	*	7.47835241852232	7.77579287224941	7.10322605484342	0.482298601038513	0.00373939333492469	0.0257143420815818
chr10_105574350_105574750	chr10	105574350	105574750	401	*	Promoter (<=1kb)	10	105187663	105574435	386773	2	278279	ENSMUST00000061506.8	0	ENSMUSG00000036019	Tmtc2	transmembrane and tetratricopeptide repeat containing 2	5396	chr10	105574350	105574750	401	*	4.71993017607861	5.32800741680103	3.64827719897471	0.699216104060898	0.00262005857051382	0.0197216606552682
chr10_107962148_107962548	chr10	107962148	107962548	401	*	Intron (ENSMUST00000219670.1/628877, intron 2 of 5)	10	107946645	107977834	31190	1	628877	ENSMUST00000219670.1	15503	ENSMUSG00000112910	Gm29685	predicted gene, 29685	4727	chr10	107962148	107962548	401	*	5.43733125975919	5.97797361764587	4.56266485256559	0.727608298996773	0.00154753394939322	0.0133005419424579
chr10_108033185_108033798	chr10	108033185	108033798	614	*	Distal Intergenic	10	107946645	107977834	31190	1	628877	ENSMUST00000219670.1	86540	ENSMUSG00000112910	Gm29685	predicted gene, 29685	1151	chr10	108033185	108033798	614	*	7.33536987977528	7.82200760876918	6.59557488927063	0.960088818099429	1.11328640065544e-06	3.9295818070746e-05
chr10_108161432_108162122	chr10	108161432	108162122	691	*	Promoter (<=1kb)	10	108162193	108277351	115159	1	17931	ENSMUST00000219263.1	-71	ENSMUSG00000019907	Ppp1r12a	protein phosphatase 1, regulatory subunit 12A	2707	chr10	108161432	108162122	691	*	9.49689400373664	9.78677741675102	9.13373161773638	0.538022326030663	0.000131271538204863	0.00197013992709604
chr10_108582309_108582709	chr10	108582309	108582709	401	*	Intron (ENSMUST00000105276.7/20979, intron 10 of 11)	10	108627286	108636964	9679	2	20979	ENSMUST00000147593.1	54255	ENSMUSG00000035864	Syt1	synaptotagmin I	5960	chr10	108582309	108582709	401	*	6.86610339663649	7.19769856472253	6.43480875327163	0.521368535581386	0.00383455367470235	0.0261386597553913
chr10_109856234_109856634	chr10	109856234	109856634	401	*	Intron (ENSMUST00000032719.14/260315, intron 7 of 38)	10	109683145	109833221	150077	2	260315	ENSMUST00000238286.1	-23013	ENSMUSG00000020181	Nav3	neuron navigator 3	3933	chr10	109856234	109856634	401	*	4.60247392261805	5.28818980737923	3.24955834572617	0.910490580467884	0.000699660413597166	0.00722701314487586
