logFC	logCPM	LR	PValue	FDR	Geneid	Chr	Start	End
-4.15943132135869	6.08409521672251	179.639483524218	5.80946468685421e-41	1.63054245365937e-36	cfue_erythroblast_merged_41670	chr4	41353396	41353579
-3.51170858316964	7.10035579749657	169.623517904713	8.94117208411606e-39	1.25475938442443e-34	cfue_erythroblast_merged_1366	chr1	90281190	90281586
-3.36614365617335	6.0572709888618	135.686092263829	2.33705013279884e-31	2.1864662025755e-27	cfue_erythroblast_merged_1889	chr1	132355814	132356152
-3.11796774921629	6.64554350650405	133.175679670789	8.27549912906865e-31	5.80671085138924e-27	cfue_erythroblast_merged_16602	chr13	36200512	36200764
-2.93623399452058	6.77929183001504	123.630083331603	1.01508400802575e-28	4.98216217255864e-25	cfue_erythroblast_merged_41669	chr4	41352825	41353070
-3.40497771300938	5.63369503410908	123.534727810954	1.06505764903096e-28	4.98216217255864e-25	cfue_erythroblast_merged_45933	chr5	24152254	24152500
-2.63806391607031	8.03578736920164	115.713472989549	5.49175731393975e-27	2.2019593218621e-23	cfue_erythroblast_merged_51281	chr6	72099370	72099686
-3.05770315613185	5.95622646775305	115.196207811557	7.1283784725142e-27	2.5009024823507e-23	cfue_erythroblast_merged_1896	chr1	132377869	132378072
-3.30793984748974	5.44081969398478	113.992587515981	1.30796519632724e-26	4.07896212947962e-23	cfue_erythroblast_merged_5338	chr10	75504882	75505117
7.3534839909951	2.20518501498579	111.271276856154	5.16034538107486e-26	1.32703659288369e-22	cfue_erythroblast_merged_2154	chr1	135204854	135205062
5.72216966197538	2.63243263546356	111.255752628885	5.20091300164627e-26	1.32703659288369e-22	cfue_erythroblast_merged_16910	chr13	51737989	51738198
-2.68717788264556	6.65811273361075	105.406192859921	9.94984405786659e-25	2.32718560976785e-21	cfue_erythroblast_merged_38884	chr3	84035777	84036064
-2.87290934832847	5.90205323473835	103.575527351563	2.5065430079186e-24	5.41162635409625e-21	cfue_erythroblast_merged_1386	chr1	91251399	91251577
-2.65240832628215	6.63575917000628	102.831675374057	3.64868799745108e-24	7.31483757317568e-21	cfue_erythroblast_merged_8082	chr11	31824475	31825097
-3.45211163414303	4.87578987013674	100.983470669213	9.27542534613215e-24	1.73555575459927e-20	cfue_erythroblast_merged_28198	chr17	71165097	71165316
-4.26584251167126	4.25773000457147	98.0447906003816	4.09025254017957e-23	7.17506987782625e-20	cfue_erythroblast_merged_49579	chr5	143518196	143518372
-3.7186953473367	4.54699442775309	97.8504552784981	4.51202979815512e-23	7.28102056137492e-20	cfue_erythroblast_merged_42144	chr4	53485494	53485680
-3.05236350363818	5.30810023081947	97.7825337933844	4.66948267020873e-23	7.28102056137492e-20	cfue_erythroblast_merged_11918	chr11	103404680	103404943
-3.4609716941966	4.75003578329121	97.319486080811	5.8996862601808e-23	8.7150786454997e-20	cfue_erythroblast_merged_40950	chr3	152355417	152355805
-3.38633258569087	4.8265106988514	96.7049992553679	8.046582710039e-23	1.12921718461332e-19	cfue_erythroblast_merged_9621	chr11	70079273	70079434
-4.67756282093897	3.98823732159117	95.0900115259624	1.81922345598196e-22	2.43143546376407e-19	cfue_erythroblast_merged_20192	chr14	70691293	70691373
-2.69175451028277	5.95830071344655	94.5748948172108	2.35992433172164e-22	3.01072710083778e-19	cfue_erythroblast_merged_9189	chr11	62005565	62005849
-2.62730049578454	6.11334717094034	93.7058860314047	3.66070683604089e-22	4.35548333157257e-19	cfue_erythroblast_merged_13621	chr12	32017627	32018020
