logFC	logCPM	LR	PValue	FDR	Geneid	Chr	Start	End
7.29226462755403	4.60739900318748	239.070954314203	6.27018790797292e-54	3.66116271946539e-49	hsc_cmp_merged_64610	chr18	43967835	43968109
7.99108468305969	3.5327702522244	202.725294496311	5.31044893648378e-46	1.27585538170135e-41	hsc_cmp_merged_86406	chr3	90695632	90695811
6.16921096636042	5.02963618828219	202.306187456629	6.55517407964387e-46	1.27585538170135e-41	hsc_cmp_merged_91034	chr4	10510059	10510330
5.71734909155449	5.33573646607538	196.640087095196	1.12997928702225e-44	1.64948726423073e-40	hsc_cmp_merged_30998	chr12	91965996	91966453
6.48928276335518	4.50345190428518	195.494252591034	2.00974838896386e-44	2.34698416863199e-40	hsc_cmp_merged_193	chr1	10700096	10700291
6.30769221153116	4.40704865186875	183.813677193622	7.12503354437426e-42	6.93384514426688e-38	hsc_cmp_merged_121643	chr7	93254453	93254596
7.19027424049326	3.924439938042	179.594095544223	5.94355475269166e-41	4.95777374299523e-37	hsc_cmp_merged_121274	chr7	86321387	86321615
5.51573756944132	4.79412125304237	174.658935615649	7.10700754653398e-40	5.18722713302649e-36	hsc_cmp_merged_88272	chr3	121111187	121111358
5.66079397357948	4.86004615307562	173.15917264509	1.5108031415352e-39	9.80175504824889e-36	hsc_cmp_merged_133744	chr9	28289743	28290012
5.16939294907412	5.27873709802382	171.326185640649	3.79770076351639e-39	2.21747747581722e-35	hsc_cmp_merged_31419	chr12	101766533	101766797
5.63318237757424	4.48590432051744	166.418199564572	4.48244741538224e-38	2.37936458712881e-34	hsc_cmp_merged_10220	chr10	7438994	7439279
5.92041756997988	4.19928313305337	164.860158106375	9.8142747294913e-38	4.77546251212497e-34	hsc_cmp_merged_11441	chr10	27265959	27266156
4.99866205600714	5.20504031730224	162.150823487061	3.8347609604353e-37	1.71805228671264e-33	hsc_cmp_merged_68597	chr19	17650883	17651104
5.86324763466616	4.2105778791312	162.00852704232	4.11932385921851e-37	1.71805228671264e-33	hsc_cmp_merged_65359	chr18	60952398	60952703
6.63322177155632	3.72554723267565	160.873130130341	7.29261129769072e-37	2.83877049114774e-33	hsc_cmp_merged_101558	chr5	49001977	49002185
7.3933908367116	3.8354116006214	160.289560850087	9.7809970001781e-37	3.56945259275249e-33	hsc_cmp_merged_128825	chr8	74660119	74660293
5.74537190313637	4.4353475610871	157.934739199094	3.19816415748466e-36	1.09847532444429e-32	hsc_cmp_merged_137479	chr9	87210901	87211171
5.19135731358676	4.67580107536888	156.432476242781	6.81024564238696e-36	2.2091680169943e-32	hsc_cmp_merged_41492	chr14	37298761	37299036
4.43494304280215	5.87513141111173	155.627215886169	1.0212441981947e-35	3.13844467013625e-32	hsc_cmp_merged_4687	chr1	118711638	118711971
5.2991312508145	4.5089518500362	155.125575048436	1.31447354866355e-35	3.71542225869104e-32	hsc_cmp_merged_83640	chr3	32979269	32979521
5.79029032312332	4.03992308753516	155.092915201187	1.33625393787484e-35	3.71542225869104e-32	hsc_cmp_merged_125693	chr8	8051218	8051433
6.70483533529636	3.04416513256427	152.338349541862	5.34413753772355e-35	1.41838268558035e-31	hsc_cmp_merged_23197	chr11	81414757	81414866
5.58550495784257	4.23714526379631	152.158819898835	5.84944675923801e-35	1.48499650553003e-31	hsc_cmp_merged_41044	chr14	30502487	30502574
5.17852584088589	4.52144196585	151.513665157007	8.09318106347239e-35	1.9690035095673e-31	hsc_cmp_merged_77402	chr2	114491960	114492201
6.17969705981722	4.22834927833175	151.371991563766	8.69128173032542e-35	2.0299357609348e-31	hsc_cmp_merged_104515	chr5	110704159	110704302
4.85350189507555	4.95166284046971	151.051741780055	1.02112565502475e-34	2.29321257680366e-31	hsc_cmp_merged_64567	chr18	42723827	42724133
5.99592892908844	3.82789401214944	149.346028121322	2.40937521056022e-34	5.21049698313375e-31	hsc_cmp_merged_93652	chr4	75449584	75449756
4.57418811067883	5.26987722966048	146.177296060588	1.18735814060635e-33	2.47606577964302e-30	hsc_cmp_merged_121406	chr7	89835564	89835916
4.74866075003644	4.84937035688775	143.995772406815	3.56053397502526e-33	7.16895099316292e-30	hsc_cmp_merged_36844	chr13	64187091	64187344
6.27083927991131	3.9321367028125	141.064830537536	1.55727745540968e-32	3.03098102071236e-29	hsc_cmp_merged_83583	chr3	31902480	31902650
3.64061156853232	8.20291984273302	140.766837780462	1.8093692379065e-32	3.4080345097213e-29	hsc_cmp_merged_104930	chr5	114636707	114636793
4.01061152829988	6.20465823530971	139.871052437863	2.84061047666336e-32	5.18322642913667e-29	hsc_cmp_merged_139967	chr9	122648030	122648171
3.7257448169114	7.31775985691326	139.66171395805	3.15638302867856e-32	5.58488500134974e-29	hsc_cmp_merged_99208	chr4	154908634	154908766
4.46908075586155	5.09678920506189	138.58609806173	5.42515640552538e-32	9.31690830937138e-29	hsc_cmp_merged_102853	chr5	79734975	79735213
4.80086175450452	4.61016594813757	138.447978021438	5.81591639361688e-32	9.70261023495112e-29	hsc_cmp_merged_115940	chr6	140357323	140357560
4.65355729807309	4.78877294071188	137.82460269533	7.96065166339054e-32	1.29117347395937e-28	hsc_cmp_merged_132923	chr9	9107818	9107985
5.34789157179842	4.08909208830848	137.122269928773	1.13384069087537e-31	1.78932318757332e-28	hsc_cmp_merged_106346	chr5	132884159	132884358
4.78983320666025	4.56408422169858	137.021353445676	1.19295316364311e-31	1.82646660242822e-28	hsc_cmp_merged_36664	chr13	61476521	61476607
4.42593424358483	5.06267257008148	136.976936285718	1.21993830270081e-31	1.82646660242822e-28	hsc_cmp_merged_4383	chr1	98479240	98479517
4.10810393053382	5.75987611620661	136.900637789619	1.26772530027859e-31	1.85056200708167e-28	hsc_cmp_merged_109970	chr6	40013427	40013767
3.79347674479909	6.79494981169038	136.841492672431	1.30605319956868e-31	1.86001088592232e-28	hsc_cmp_merged_24494	chr11	97932394	97932537
3.93754972473053	6.20664785999068	136.677427403972	1.41854792869087e-31	1.93512303636153e-28	hsc_cmp_merged_83943	chr3	40002965	40003111
5.19237376800856	4.05047942551706	136.668307947066	1.42507776269132e-31	1.93512303636153e-28	hsc_cmp_merged_46291	chr15	26894360	26894522
4.71142276253769	4.70129914673979	136.486283099192	1.56188865888739e-31	2.0726972452826e-28	hsc_cmp_merged_83644	chr3	33399491	33399735
4.88833452871965	4.56602893490748	135.558014705579	2.49276803132875e-31	3.2345050077619e-28	hsc_cmp_merged_127442	chr8	45505916	45506002
5.61721822044252	3.755460973271	135.450671702667	2.63124126628914e-31	3.33996038127442e-28	hsc_cmp_merged_64757	chr18	47177362	47177547
4.82679694626573	4.58178538767018	134.984929914444	3.32684433301893e-31	4.13307320436118e-28	hsc_cmp_merged_139656	chr9	119806450	119806540
4.5627342823564	4.84287614571685	134.749670082345	3.74534536915521e-31	4.55605658552026e-28	hsc_cmp_merged_129644	chr8	86032977	86033261
4.49133663526331	4.91929025809628	134.421732466845	4.41798406587909e-31	5.24849178538981e-28	hsc_cmp_merged_56370	chr17	5580157	5580248
3.83286955328146	6.45723161123142	134.387710719924	4.49434131305858e-31	5.24849178538981e-28	hsc_cmp_merged_16739	chr10	115764215	115764352
5.15186137801931	4.07854840132255	134.251918355662	4.81248470958386e-31	5.50982318024709e-28	hsc_cmp_merged_119743	chr7	54898657	54898785
6.97721106699553	3.42393068911679	133.485770432741	7.0788241658015e-31	7.94870275079134e-28	hsc_cmp_merged_91870	chr4	39305695	39305826
4.73037828056942	4.45505867411354	133.078342293665	8.69134940699279e-31	9.57524324291149e-28	hsc_cmp_merged_45074	chr14	116977395	116977559
3.55657641623745	7.69154876712879	132.621744834826	1.09388477022322e-30	1.18281355061729e-27	hsc_cmp_merged_29583	chr12	71424872	71424990
4.32238774372912	5.11898880407206	132.377696684611	1.23697264543111e-30	1.31321514121314e-27	hsc_cmp_merged_82070	chr2	174242522	174242779
5.72149552350912	3.64457245189149	132.160939118606	1.37968221910876e-30	1.43856508524572e-27	hsc_cmp_merged_101225	chr5	39802227	39802353
4.3133766319372	5.10627070985889	131.767905133043	1.68175450739677e-30	1.72276571380522e-27	hsc_cmp_merged_128824	chr8	74639381	74639601
4.07860833910516	5.56170785395835	131.61828174493	1.81341000120567e-30	1.8256036201793e-27	hsc_cmp_merged_28464	chr12	36136080	36136217
3.8772740277324	6.02437987391905	130.376444956649	3.38989063476296e-30	3.35484261294591e-27	hsc_cmp_merged_68000	chr19	9132223	9132361
4.77805298883602	4.37897687904152	130.060212967992	3.97533857718959e-30	3.868666992035e-27	hsc_cmp_merged_126834	chr8	29836153	29836473
3.71919434657247	6.52981719621706	129.688887705865	4.79311682920789e-30	4.58803428946637e-27	hsc_cmp_merged_114951	chr6	126351054	126351149
4.06617513066675	5.42681407293107	129.509042234835	5.24768573841622e-30	4.94213500429231e-27	hsc_cmp_merged_71648	chr2	6896974	6897248
4.01256987819137	5.55265673921365	128.908010090725	7.10354804417727e-30	6.58374873491287e-27	hsc_cmp_merged_54193	chr16	51807395	51807721
3.53625959880056	7.28301350827209	128.518848194446	8.64226278001586e-30	7.88471443320509e-27	hsc_cmp_merged_35082	chr13	39423830	39423969
4.54407567357911	4.49374905884481	128.117096842064	1.05812342058467e-29	9.50520408122136e-27	hsc_cmp_merged_93554	chr4	67424087	67424430
3.76974502902564	6.20120251350228	127.970607586226	1.13917581558411e-29	1.00782539199933e-26	hsc_cmp_merged_13649	chr10	70195170	70195302
4.25982175831007	4.96290896243497	127.621650509978	1.35815652436127e-29	1.1836232754844e-26	hsc_cmp_merged_80036	chr2	153049362	153049632
4.03559275648333	5.39433337819793	126.147792454499	2.85415863889263e-29	2.45079886654324e-26	hsc_cmp_merged_103015	chr5	89536144	89536284
5.82837322829321	3.44345303391559	125.922064367996	3.19799153201059e-29	2.70624239933475e-26	hsc_cmp_merged_18516	chr11	7562200	7562360
5.22084216671994	3.76039193696215	125.748904403846	3.48957678890774e-29	2.9108055529189e-26	hsc_cmp_merged_63299	chr18	14283071	14283219
5.88506594931613	3.04021189725726	125.578287854484	3.80287440781194e-29	3.12746248833999e-26	hsc_cmp_merged_12803	chr10	59444145	59444451
3.8519044150933	5.74444034136036	125.213429899895	4.57048203501709e-29	3.70653397256455e-26	hsc_cmp_merged_54341	chr16	56483531	56483828
3.77163276510078	6.05998043659491	125.100990376227	4.83693243517109e-29	3.8688833546526e-26	hsc_cmp_merged_73120	chr2	30088238	30088379
4.16086345251325	5.09474221315861	124.891585984395	5.37526388601037e-29	4.24137376086683e-26	hsc_cmp_merged_137207	chr9	80360187	80360384
5.26354354610381	3.83225978112454	124.250150826506	7.4265399498989e-29	5.71838771864359e-26	hsc_cmp_merged_93901	chr4	85837723	85838023
4.95346746274307	4.0744537379678	124.24575459645	7.44301193041467e-29	5.71838771864359e-26	hsc_cmp_merged_44448	chr14	95956454	95956649
